"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бондаренко
Євген
Володимирович","Волков
Олександр
Михайлович","Дружченко
Андрій
Вікторович","Кіріченко
Сергій
Єфремович","Костенко
Олександр
Михайлович","Макаренко
Павло
Дмитрович","Парфило
Валерій
Андрійович","Приходько
Катерина
Степанівна","Сергієнко
Сергій
Анатолійович","Сугоняко
Олександр
Леонідович","Токар
Володимир
Миколайович","Дата підписання протоколу"
"590620","158","Сумська область","адміністративний будинок АФ ""Северинівська"", к.2
вул.Гагаріна, 1А, с.Северинівка, Сумський р-н, Сумська обл., 42301","810","337","801","99","379","94","473","","0","379","94","473","18","455","8","200","12","20","88","4","7","10","7","38","61","29.10.12"
"590621","158","Сумська область","сільський клуб, к.2
вул.Молодіжна, 5, с.Склярівка, Сумський р-н, Сумська обл., 42302","342","132","347","44","166","44","210","","0","166","44","210","7","203","1","107","10","5","49","0","3","4","3","13","8","29.10.12"
"590622","158","Сумська область","ФАП, к.2
вул.Дімітрова, 5, с.Головашівка, Сумський р-н, Сумська обл., 42307","294","79","282","26","190","25","215","","0","190","25","215","3","212","3","119","18","6","47","0","0","3","1","4","11","29.10.12"
"590623","158","Сумська область","будинок культури, к.2
вул.Центральна, 3, смт Степанівка, Сумський р-н, Сумська обл., 42304","1500","740","1498","28","734","26","760","","0","734","26","760","12","748","19","334","21","32","185","12","2","14","5","40","84","29.10.12"
"590624","158","Сумська область","селищний клуб, к.2
вул.Кооперативна, 4, смт Степанівка, Сумський р-н, Сумська обл., 42304","1488","756","1470","77","662","70","732","","0","662","70","732","18","714","6","299","31","64","194","7","2","9","8","64","30","29.10.12"
"590625","158","Сумська область","ДНЗ ""Жайворонок"", к.2
вул.Комсомольська, 61, смт Степанівка, Сумський р-н, Сумська обл., 42305","1260","614","1248","41","608","38","646","","0","608","38","646","18","628","8","291","28","27","150","10","1","25","4","55","29","29.10.12"
"590626","158","Сумська область","дитячий садок, к.2
вул.Піонерська, 1, с.Стецьківка, Сумський р-н, Сумська обл., 42303","1656","783","1630","52","828","45","873","","0","828","45","873","20","853","11","362","19","78","202","6","0","25","2","93","55","29.10.12"
"590627","158","Сумська область","школа, к.2
вул.Шкільна, 5, с.Стецьківка, Сумський р-н, Сумська обл., 42303","1806","830","1786","84","908","68","976","","0","907","68","975","33","942","8","362","15","111","226","10","0","19","10","134","47","29.10.12"
"590628","158","Сумська область","колишня восьмирічна школа, к.2
вул.Тополянська, 2, с.Печище, Сумський р-н, Сумська обл., 42346","234","88","229","27","121","25","146","","0","121","25","146","8","138","4","49","18","6","29","6","2","5","1","7","11","29.10.12"
"590629","158","Сумська область","навчально-виховний комплекс, к.2
вул.Леніна, 1А, с.Сула, Сумський р-н, Сумська обл., 42346","414","176","409","36","206","32","238","","0","206","32","238","4","234","4","108","12","7","47","4","2","8","1","15","26","29.10.12"
"590630","158","Сумська область","будинок культури, к.2
вул.Леніна, 41, с.Терешківка, Сумський р-н, Сумська обл., 42344","816","351","803","82","395","70","465","","0","395","70","465","5","460","1","216","15","16","131","6","1","18","7","19","30","29.10.12"
"590631","158","Сумська область","будинок культури, к.2
вул.Леніна, 1, с.Токарі, Сумський р-н, Сумська обл., 42334","1542","592","1523","66","892","58","950","","0","892","58","950","38","912","5","389","37","20","196","12","3","72","24","55","99","29.10.12"
"590632","158","Сумська область","Хотінський аграрний ліцей, к.2
вул.Леніна, 32, смт Хотінь, Сумський р-н, Сумська обл., 42320","1920","984","1906","57","882","54","936","","0","882","54","936","31","905","6","335","69","176","220","4","2","7","3","57","26","29.10.12"
"590633","158","Сумська область","навчально-виховний комплекс, к.2
вул.Шосейна, 86, с.Писарівка, Сумський р-н, Сумська обл., 42321","618","277","611","30","312","29","341","","0","312","29","341","22","319","0","102","8","25","144","1","1","5","3","22","8","29.10.12"
"590634","158","Сумська область","будинок культури, к.2
вул.Першотравнева, 6А, с.Червоне, Сумський р-н, Сумська обл., 42353","1938","729","1933","165","1061","148","1209","","0","1061","148","1209","34","1175","15","613","74","69","191","4","8","28","11","98","64","29.10.12"
"590635","158","Сумська область","сільський клуб, к.2
пл.Лисенка, 9, с.Шпилівка, Сумський р-н, Сумська обл., 42354","636","322","621","19","298","16","314","","0","298","16","314","14","300","3","139","8","14","70","1","1","7","5","18","34","29.10.12"
"590636","158","Сумська область","школа, к.2
вул.Новоселівка, 1, с.Юнаківка, Сумський р-н, Сумська обл., 42317","1176","648","1161","93","444","84","528","","0","444","84","528","9","519","3","123","33","60","244","4","1","6","5","18","22","29.10.12"
"590637","158","Сумська область","будинок культури, к.2
вул.Центральна, 11, с.Яструбине, Сумський р-н, Сумська обл., 42314","852","345","843","155","367","140","507","","0","367","140","507","9","498","6","227","11","100","91","3","1","8","2","16","33","29.10.12"
"590638","158","Сумська область","Сумський обласний клінічний протитуберкульозний диспансер, стаціонар, 1 поверх
вул.Крупської, 6, смт Степанівка, Сумський р-н, Сумська обл., 42304","252","198","61","3","51","3","54","","0","51","3","54","4","50","4","12","7","3","9","2","1","5","1","4","2","28.10.12"
"590896","158","Сумська область","Сумський міський еколого-натуралістичний центр учнівської молоді, актова зала
вул.Харківська, 13, м.Суми, 40024","2286","895","2259","11","1382","9","1391","","0","1382","9","1391","56","1335","15","535","67","24","206","18","12","23","23","300","112","29.10.12"
"590897","158","Сумська область","школа №9, коридор
вул.Даргомижського, 3, м.Суми, 40024","1824","772","1803","17","1036","16","1052","","0","1036","16","1052","42","1010","11","427","54","19","130","17","14","27","11","221","79","29.10.12"
"590898","158","Сумська область","школа №9, коридор
вул.Даргомижського, 3, м.Суми, 40024","2388","990","2362","17","1383","15","1398","","0","1383","15","1398","43","1355","17","545","86","34","211","25","9","40","18","290","80","29.10.12"
"590899","158","Сумська область","Сумський державний обласний навчально-курсовий комбінат, вестибюль
вул.Даргомижського, 2, м.Суми, 40024","2328","1003","2322","16","1313","12","1325","","0","1312","12","1324","70","1254","20","489","52","34","159","39","19","41","17","290","94","29.10.12"
"590900","158","Сумська область","школа №6, коридор
вул.Сумсько-Київських Дивізій, 17, м.Суми, 40024","2406","1013","2372","20","1378","15","1393","","0","1378","15","1393","42","1351","24","641","76","20","157","22","16","53","20","243","79","29.10.12"
"590901","158","Сумська область","школа №6, коридор
вул.Сумсько-Київських Дивізій, 17, м.Суми, 40024","2220","851","2192","19","1353","16","1369","","0","1353","16","1369","42","1327","22","583","80","38","179","29","13","35","19","263","66","29.10.12"
"590902","158","Сумська область","філія №2 Центральної міської бібліотечної системи ім. Т.Г.Шевченка, читальна зала 2
вул.Сумсько-Київських Дивізій, 22, м.Суми, 40024","2388","815","2362","17","1560","13","1573","","0","1560","13","1573","46","1527","20","642","79","36","218","25","12","45","35","311","104","29.10.12"
"590903","158","Сумська область","громадська організація ""Федерація карате-до"", спортивна зала
вул.Катерини Зеленко, 4, м.Суми, 40024","2460","1000","2427","15","1450","10","1460","","0","1450","10","1460","47","1413","20","583","76","24","199","23","8","45","32","287","116","29.10.12"
"590904","158","Сумська область","Сумський професійний хіміко-технологічний ліцей, спортивна зала
вул.Прокоф’єва, 38, м.Суми, 40024","2130","811","2109","6","1315","4","1319","","0","1315","4","1319","41","1278","21","575","43","23","183","29","9","30","18","263","84","29.10.12"
"590905","158","Сумська область","Сумський професійний хіміко-технологічний ліцей, дискозал
вул.Прокоф’єва, 38, м.Суми, 40024","1962","823","1993","4","1135","4","1139","","0","1135","4","1139","26","1113","26","488","51","17","164","21","8","28","15","213","82","29.10.12"
"590906","158","Сумська область","школа №24, фойє
вул.Паризької Комуни, 20, м.Суми, 40007","2292","1279","1907","20","994","19","1013","","0","994","19","1013","24","989","17","375","56","14","147","20","15","23","8","224","90","29.10.12"
"590907","158","Сумська область","школа №24, фойє
вул.Паризької Комуни, 20, м.Суми, 40007","2148","902","2123","10","1238","8","1246","","0","1238","8","1246","41","1205","12","478","49","21","192","20","16","19","16","307","75","29.10.12"
"590908","158","Сумська область","школа №21, коридор
вул.Котовського, 32, м.Суми, 40007","1908","880","1900","19","1013","15","1028","","0","1013","15","1028","39","989","8","364","31","27","115","20","8","20","11","187","198","29.10.12"
"590909","158","Сумська область","Сумський медичний коледж, читальна зала гуртожитку
вул.Паркова, 2, м.Суми, 40016","1614","756","1573","21","838","20","858","","0","838","20","858","20","838","9","385","24","14","105","22","16","29","8","143","83","28.10.12"
"590910","158","Сумська область","Сумський медичний коледж, коридор
вул.Паркова, 4, м.Суми, 40016","2154","890","2200","24","1244","20","1264","","0","1244","20","1264","30","1234","15","456","65","36","249","30","12","28","14","233","96","29.10.12"
"590911","158","Сумська область","школа №27, спортивна зала
вул.Охтирська, 33, м.Суми, 40007","2160","954","2143","9","1197","9","1206","","0","1197","9","1206","31","1175","18","463","59","22","148","30","9","28","15","242","141","29.10.12"
"590912","158","Сумська область","медичний інститут Сумського Державного університету, хол
вул.Санаторна, 31, м.Суми, 40018","1482","654","1456","3","826","2","828","","0","826","2","828","22","806","7","343","22","12","168","17","2","12","3","153","67","29.10.12"
"590913","158","Сумська область","медичний інститут Сумського Державного університету, спортивна зала
вул.Санаторна, 31, м.Суми, 40018","1608","665","1610","8","935","8","943","","0","935","8","943","28","915","7","496","33","14","113","15","5","17","11","139","65","29.10.12"
"590914","158","Сумська область","Сумський обласний інститут післядипломної освіти педагогічних працівників, коридор
вул.Римського-Корсакова, 5, м.Суми, 40007","2352","1027","2320","5","1321","4","1325","","0","1321","4","1325","48","1277","11","599","70","27","176","20","6","26","19","191","132","29.10.12"
"590915","158","Сумська область","Сумське вище професійне училище будівництва і дизайну №6, банкетна зала
вул.Охтирська, 28, м.Суми, 40007","2424","1145","2376","7","1276","3","1279","","0","1276","3","1279","45","1234","19","565","47","23","199","25","10","22","27","188","109","29.10.12"
"590916","158","Сумська область","школа №26, актова зала
вул.Охтирська, 21, м.Суми, 40007","2022","933","1978","12","1080","9","1089","","0","1080","9","1089","43","1046","18","489","48","17","140","20","8","17","15","158","116","29.10.12"
"590917","158","Сумська область","Сумський Державний університет, центральний корпус, хол
вул.Римського-Корсакова, 2, м.Суми, 40007","2088","856","2136","3","1229","3","1232","","2","1227","3","1230","38","1192","33","357","63","18","284","28","17","38","30","242","82","29.10.12"
"590918","158","Сумська область","Харківський національний університет внутрішніх справ, Сумська філія, актова зала
вул.Миру, 24, м.Суми, 40007","2238","1169","2201","8","1061","8","1069","","0","1061","8","1069","42","1027","22","438","62","23","172","12","9","24","18","161","86","29.10.12"
"590919","158","Сумська область","палац культури ""Хімік"", танцювальна зала 1
вул.Миру, 28, м.Суми, 40007","2346","1110","2315","23","1219","17","1236","","0","1219","17","1236","33","1203","16","475","56","21","207","26","8","35","16","243","100","29.10.12"
"590920","158","Сумська область","палац культури ""Хімік"", танцювальна зала 2
вул.Миру, 28, м.Суми, 40007","2370","1033","2354","8","1329","8","1337","","0","1329","8","1337","39","1298","24","526","71","18","179","22","14","49","19","231","145","29.10.12"
"590921","158","Сумська область","Сумський Державний університет, гуртожиток №3, хол
вул.1-ша Замостянська, 7, м.Суми, 40007","2442","1241","2404","16","1186","15","1201","","0","1186","15","1201","58","1143","18","496","47","31","143","29","6","41","14","217","101","29.10.12"
"590922","158","Сумська область","Сумський Державний університет, гуртожиток №2, хол
вул.1-ша Замостянська, 5, м.Суми, 40007","1896","950","1896","8","941","5","946","","0","941","5","946","27","919","10","380","30","12","145","14","5","20","14","215","74","29.10.12"
"590923","158","Сумська область","ПАТ ""Сумиавто"", к.1
вул.Черепіна, 13, м.Суми, 40035","786","347","800","1","438","1","439","","0","438","1","439","15","424","10","129","14","8","93","9","2","10","2","110","37","29.10.12"
"590924","158","Сумська область","торговий центр ""Планета"", торгова зала
вул.Черепіна, 60, м.Суми, 40034","2364","987","2338","6","1376","1","1377","","0","1376","1","1377","45","1332","19","537","45","23","233","17","17","54","12","262","113","29.10.12"
"590925","158","Сумська область","ПРБП ""Рембуд"", актова зала
вул.Черепіна, 50 Б, м.Суми, 40034","2286","1097","2244","1","1188","1","1189","","0","1188","1","1189","44","1145","17","456","47","13","178","25","16","42","14","225","112","29.10.12"
"590944","158","Сумська область","Комунальна установа ""Сумська міська клінічна лікарня №5"", хол рентгенкабінету
вул.Марко Вовчок, 2, м.Суми, 40016","342","301","47","31","16","25","41","","0","16","25","41","6","35","2","11","2","2","10","1","0","1","1","2","3","29.10.12"
"590945","158","Сумська область","Комунальна установа ""Сумська центральна районна лікарня"", к.3
вул.Марко Вовчок, 2, м.Суми, 40016","234","149","91","5","81","4","85","","0","81","4","85","4","81","0","34","2","5","25","3","0","0","1","2","9","29.10.12"
"590946","158","Сумська область","Комунальний заклад ""Обласний клінічний перинатальний центр"", актова зала
вул.Санаторна, 3, м.Суми, 40018","174","114","64","0","60","0","60","","0","60","0","60","2","58","4","13","1","1","24","3","0","4","1","3","4","28.10.12"
