"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Деркач
Андрій
Леонідович","Доля
Олексій
Васильович","Кравченко
Світлана
Анатоліївна","Кубраков
Сергій
Володимирович","Любивий
Володимир
Анатолійович","Московченко
Віктор
Васильович","Петрук
Ольга
Андріївна","Семеніхін
Артем
Юрійович","Шульга
Микола
Іванович","Дата підписання протоколу"
"590573","159","Сумська область","школа, спортивна зала
вул.Леніна, 15, смт Зноб-Новгородське, Середино-Будський р-н, Сумська обл., 41022","816","355","805","24","443","18","461","","0","443","18","461","15","446","308","7","8","62","1","42","5","10","3","29.10.12"
"590574","159","Сумська область","будинок культури, танцювальна зала, 1-й поверх
вул.Планова, 11, смт Зноб-Новгородське, Середино-Будський р-н, Сумська обл., 41022","744","318","727","29","400","26","426","","0","400","26","426","17","409","262","12","6","56","1","50","4","13","5","28.10.12"
"590575","159","Сумська область","сільська рада, приймальня голови
сільська рада, с.Стягайлівка, Середино-Будський р-н, Сумська обл., 41023","150","43","148","10","97","10","107","","0","97","10","107","1","106","88","1","1","7","0","8","0","0","1","29.10.12"
"590576","159","Сумська область","фельдшерський пункт, каб.1
вул.Комуністична, 51, с.Лісне, Середино-Будський р-н, Сумська обл., 41032","108","19","104","9","80","9","89","","0","80","9","89","0","89","76","1","4","1","0","3","0","3","1","28.10.12"
"590577","159","Сумська область","сільська рада, обрядова кімната
вул.Перемоги, 50, с.Голубівка, Середино-Будський р-н, Сумська обл., 41032","174","49","170","12","113","12","125","","0","113","12","125","0","125","95","1","5","13","0","7","0","4","0","28.10.12"
"590578","159","Сумська область","навчально-виховний комплекс, коридор
навчально-виховний комплекс, с.Стара Гута, Середино-Будський р-н, Сумська обл., 41030","258","79","245","26","156","23","179","","0","156","23","179","7","172","97","0","1","54","1","18","1","0","0","28.10.12"
"590579","159","Сумська область","об’єкт дозвілевої роботи, глядацька зала
об’єкт дозвілевої роботи, с.Нова Гута, Середино-Будський р-н, Сумська обл., 41030","48","10","47","7","31","7","38","","0","31","7","38","2","36","30","1","1","3","0","1","0","0","0","29.10.12"
"590580","159","Сумська область","фельдшерський пункт, приміщення колишньої початкової школи, класна кімната
фельдшерський пункт, с.Гаврилова Слобода, Середино-Будський р-н, Сумська обл., 41030","48","9","50","2","37","2","39","","0","37","2","39","2","37","24","0","0","3","0","10","0","0","0","29.10.12"
"590581","159","Сумська область","терапевтичне відділення, їдальня, 2-й поверх
вул.Вокзальна, 26, м.Середина-Буда, Середино-Будський р-н, Сумська обл., 41000","102","55","47","4","43","4","47","","0","43","4","47","0","47","33","1","1","3","0","6","0","3","0","28.10.12"
"590679","159","Сумська область","школа, к.1
вул.Леніна, 104, с.Богданівка, Шосткинський р-н, Сумська обл., 41121","708","339","704","66","307","62","369","","0","307","62","369","16","353","206","32","5","12","4","34","8","35","17","29.10.12"
"590680","159","Сумська область","клуб, к.1
вул.Перемоги, 17, с.Пирогівка, Шосткинський р-н, Сумська обл., 41123","390","167","384","26","203","20","223","","0","203","20","223","16","207","92","20","6","10","2","25","5","34","13","29.10.12"
"590681","159","Сумська область","школа, актова зала
вул.Жовтнева, 66, с.Вовна, Шосткинський р-н, Сумська обл., 41111","360","140","357","39","186","34","220","","0","186","34","220","8","212","86","20","6","2","3","52","4","32","7","29.10.12"
"590682","159","Сумська область","ТОВ ""АФ Мрія"", адмінбудинок, к.1
вул.Центральна, 20, с.Дібрівка, Шосткинський р-н, Сумська обл., 41111","174","58","169","26","90","26","116","","0","90","26","116","6","110","63","11","1","1","1","19","3","10","1","28.10.12"
"590683","159","Сумська область","клуб, вестибюль
вул.Радянська, 52В, с.Гамаліївка, Шосткинський р-н, Сумська обл., 41132","438","195","438","23","225","18","243","","0","225","18","243","19","224","138","17","9","2","6","25","5","18","4","29.10.12"
"590684","159","Сумська область","фельдшерський пункт, коридор
вул.Чапаєва, 2, с.Гукове, Шосткинський р-н, Сумська обл., 41131","96","47","91","6","44","5","49","","0","44","5","49","4","45","34","3","1","0","0","4","1","1","1","28.10.12"
"590685","159","Сумська область","сільська рада, актова зала
вул.Кірова, 1, с.Глазове, Шосткинський р-н, Сумська обл., 41110","306","105","296","42","166","35","201","","0","166","35","201","17","184","106","12","8","11","1","12","2","25","7","29.10.12"
"590686","159","Сумська область","школа, вестибюль
вул.Коротченка, 67, с.Івот, Шосткинський р-н, Сумська обл., 41113","672","299","654","45","335","38","373","","0","335","38","373","17","356","249","16","9","5","5","16","6","47","3","28.10.12"
"590687","159","Сумська область","сільська рада, к.1
вул.Першотравнева, 43, с.Каліївка, Шосткинський р-н, Сумська обл., 41112","192","89","184","19","88","15","103","","0","88","15","103","3","100","80","8","1","3","1","3","0","2","2","29.10.12"
"590688","159","Сумська область","школа, фойє
вул.Цибенка, 25А, с.Коротченкове, Шосткинський р-н, Сумська обл., 41114","636","332","627","55","255","49","304","","0","255","49","304","12","292","190","11","15","8","1","36","4","22","5","29.10.12"
"590694","159","Сумська область","адмінбудинок, актова зала
вул.Колгоспна, 4, с.Макове, Шосткинський р-н, Сумська обл., 41131","342","115","347","18","210","17","227","","0","210","17","227","12","215","139","13","4","1","4","30","1","13","10","28.10.12"
"590695","159","Сумська область","будинок культури, глядацька зала
вул.Гагаріна, 93, с.Миронівка, Шосткинський р-н, Сумська обл., 41130","696","344","696","55","300","52","352","","0","300","52","352","27","325","196","25","9","9","2","49","5","20","10","29.10.12"
"590696","159","Сумська область","школа, спортивна зала
вул.Миру, 5, с.Миронівка, Шосткинський р-н, Сумська обл., 41130","660","325","655","77","273","62","335","","0","273","62","335","17","318","153","14","14","22","2","78","2","27","6","29.10.12"
"590697","159","Сумська область","школа, коридор
пров.Радянський-2, 6, с.Ображіївка, Шосткинський р-н, Сумська обл., 41120","1050","553","1049","46","456","41","497","","0","456","41","497","51","446","239","38","21","26","9","42","4","49","18","29.10.12"
"590698","159","Сумська область","школа, спортивна зала
вул.Ланівська, 6, с.Собич, Шосткинський р-н, Сумська обл., 41124","978","473","968","96","434","71","505","","0","434","71","505","23","482","314","21","11","6","2","57","5","60","6","29.10.12"
"590699","159","Сумська область","їдальня, к.1
пров.Молодіжний, 1А, с.Собичеве, Шосткинський р-н, Сумська обл., 41133","528","205","519","46","277","46","323","","0","277","46","323","15","308","214","17","7","0","2","30","4","27","7","28.10.12"
"590704","159","Сумська область","ДП ""Свеське лісове господарство"", фойє
вул.Дачна, 24, смт Свеса, Ямпільський р-н, Сумська обл., 41226","1464","755","1425","51","661","48","709","","0","661","48","709","31","678","357","14","19","50","5","87","4","138","4","29.10.12"
"590705","159","Сумська область","школа №2, спортивна зала
вул.Горького, 6, смт Свеса, Ямпільський р-н, Сумська обл., 41226","1302","553","1290","23","735","14","749","","0","735","14","749","33","716","417","10","18","52","2","68","8","136","5","29.10.12"
"590706","159","Сумська область","школа №1, спортивна зала
вул.Леніна, 25, смт Свеса, Ямпільский р-н, Сумська обл., 41226","1452","710","1436","32","714","28","742","","0","714","28","742","36","706","399","19","13","43","6","75","6","135","10","28.10.12"
"590707","159","Сумська область","аграрний ліцей, зал
вул.Орджонікідзе, 2, смт Свеса, Ямпільський р-н, Сумська обл., 41226","1284","714","1289","28","552","18","570","","0","552","18","570","30","540","294","17","19","30","5","73","5","91","6","29.10.12"
"590708","159","Сумська область","школа, фойє
вул.Комуністична, 2А, с.Воздвиженське, Ямпільський р-н, Сумська обл., 41242","564","224","551","61","288","52","340","","0","288","52","340","16","324","223","7","4","6","3","37","5","36","3","29.10.12"
"590709","159","Сумська область","школа, фойє
вул.М.Штанюк, 50, с.Грем’ячка, Ямпільський р-н, Сумська обл., 41243","264","108","258","47","115","41","156","","0","115","41","156","1","155","119","1","4","2","1","12","1","15","0","28.10.12"
"590710","159","Сумська область","школа, спортивний зал
вул.П.Сагайдачного, 30, с.Княжичі, Ямпільський р-н, Сумська обл., 41244","378","150","374","30","199","29","228","","0","199","29","228","8","220","158","4","4","3","4","18","2","25","2","28.10.12"
"590711","159","Сумська область","школа, фойє
вул.Центральна, 15, с.Марчихина Буда, Ямпільський р-н, Сумська обл., 41224","744","281","732","79","395","68","463","","0","395","68","463","14","449","316","6","8","4","3","65","3","41","3","28.10.12"
"590712","159","Сумська область","сільська рада, зала засідань
вул.Радянська, 3, с.Микитівка, Ямпільський р-н, Сумська обл., 41241","342","135","333","35","173","34","207","","0","173","34","207","4","203","104","3","4","4","2","29","2","54","1","29.10.12"
"590713","159","Сумська область","школа, спортивний зал
вул.Леніна, 82, с.Орлівка, Ямпільський р-н, Сумська обл., 41240","912","375","909","75","471","66","537","","0","471","66","537","9","528","319","21","10","34","5","66","3","63","7","29.10.12"
"590714","159","Сумська область","сільська рада, зала засідань
вул.Леніна, 5, с.Усок, Ямпільський р-н, Сумська обл., 41230","486","187","476","60","242","57","299","","0","242","57","299","15","284","190","5","7","4","4","45","4","20","5","29.10.12"
"590715","159","Сумська область","сільська рада, зала засідань
вул.Леніна, 63, с.Паліївка, Ямпільський р-н, Сумська обл., 41231","348","122","342","46","188","38","226","","0","188","38","226","6","220","132","4","8","13","0","19","6","33","5","29.10.12"
"590716","159","Сумська область","школа №1, спортивний зал
вул.Кожедуба, 6, м.Дружба, Ямпільський р-н, Сумська обл., 41220","696","294","701","51","351","51","402","","0","351","51","402","11","391","252","11","12","27","1","32","2","52","2","29.10.12"
"590717","159","Сумська область","будинок культури, актова зала
вул.Шкільна, 13, м.Дружба, Ямпільський р-н, Сумська обл., 41220","1014","429","991","68","525","60","585","","0","525","60","585","20","565","396","11","4","29","6","66","4","49","0","29.10.12"
"590718","159","Сумська область","Юрасівський клуб, глядацька зала
вул.Кооперативна, 18, м.Дружба, Ямпільський р-н, Сумська обл., 41220","258","110","254","27","125","23","148","","0","125","23","148","1","147","113","0","4","7","1","12","2","7","1","29.10.12"
"590719","159","Сумська область","школа, спортивний зал
вул.Ватутіна, 19, м.Дружба, Ямпільський р-н, Сумська обл., 41220","726","386","726","79","274","66","340","","0","274","66","340","17","323","237","6","5","22","0","24","1","26","2","29.10.12"
"590720","159","Сумська область","Хутір-Михайлівська дистанція колії, актова зала
вул.Калініна, 12, м.Дружба, Ямпільський р-н, Сумська обл., 41220","1218","622","1191","60","555","41","596","","0","555","41","596","25","571","377","13","15","47","3","53","6","54","3","29.10.12"
"590721","159","Сумська область","будинок культури, фойє
вул.Боженка, 17, смт Ямпіль, Ямпільський р-н, Сумська обл., 41200","1104","504","1092","24","579","21","600","","0","579","21","600","19","581","339","14","21","30","4","42","10","111","10","29.10.12"
"590722","159","Сумська область","школа №2, фойє
вул.Боженка, 56, смт Ямпіль, Ямпільський р-н, Сумська обл., 41200","1482","595","1456","26","865","22","887","","0","865","22","887","27","860","495","20","31","48","6","62","11","165","22","29.10.12"
"590723","159","Сумська область","школа №1, фойє
вул.Щорса, 10, смт Ямпіль, Ямпільський р-н, Сумська обл., 41200","1392","748","1368","45","618","26","644","","0","618","26","644","26","618","364","20","18","67","3","53","9","80","4","29.10.12"
"590724","159","Сумська область","контора лісництва, фойє
вул.Партизанська, 32, с.Прудище, Ямпільський р-н, Сумська обл., 41200","228","85","232","18","125","18","143","","0","125","18","143","8","135","86","5","2","2","0","18","2","19","1","28.10.12"
"590725","159","Сумська область","ТОВ ""Агропромсервіс"", к.1
вул.Ватутіна, 1, с-ще Привокзальне, Ямпільський р-н, Сумська обл., 41200","222","103","217","13","108","11","119","","0","108","11","119","1","118","84","2","1","1","1","9","3","17","0","29.10.12"
"590726","159","Сумська область","будинок культури, фойє
вул.Радгоспна, 28, с.Імшана, Ямпільський р-н, Сумська обл., 41200","330","98","318","43","189","43","232","","0","189","43","232","7","225","163","5","5","5","1","26","2","16","2","28.10.12"
"590727","159","Сумська область","сільська рада, зала засідань
вул.Першотравнева, 2, с.Антонівка, Ямпільський р-н, Сумської обл., 41212","204","74","201","18","113","17","130","","0","113","17","130","3","127","90","7","4","3","3","8","3","6","3","29.10.12"
"590728","159","Сумська область","сільський клуб, глядацька зала
сільський клуб, вул.Леніна, с.Білиця, Ямпільський р-н, Сумської обл., 41214","198","59","201","23","118","21","139","","0","118","21","139","5","134","89","4","4","3","12","1","16","4","1","29.10.12"
"590729","159","Сумська область","школа, к.3
вул.Центральна, 12, с.Дорошівка, Ямпільський р-н, Сумська обл., 41213","222","75","214","15","134","13","147","","0","134","13","147","5","142","105","1","2","3","1","13","1","15","1","29.10.12"
"590730","159","Сумська область","сільська рада, зала засідань
вул.Центральна, 41, с.Степне, Ямпільський р-н, Сумська обл., 41210","534","240","522","68","232","62","294","","0","232","62","294","6","288","229","5","4","12","0","14","0","22","2","29.10.12"
"590731","159","Сумська область","бібліотека, актова зала
вул.Лугова, 12, с.Чуйківка, Ямпільський р-н, Сумська обл., 41223","528","197","512","82","260","71","331","","0","260","71","331","12","319","251","3","8","14","1","25","3","13","1","29.10.12"
"590732","159","Сумська область","школа, фойє
вул.Леніна, 68А, с.Шатрище, Ямпільський р-н, Сумська обл., 41211","642","295","631","62","295","52","347","","0","295","52","347","14","333","230","15","17","5","2","29","3","29","3","29.10.12"
"590733","159","Сумська область","КЗ""Центральна районна лікарня"", фойє, 3-й поверх
вул.Червонопрапорна, 38, смт Ямпіль, Ямпільський р-н, Сумська обл., 41200","144","116","47","11","19","9","28","","0","19","9","28","1","27","19","2","0","0","0","2","1","3","0","28.10.12"
"590734","159","Сумська область","Глухівський профліцей, актова зала, 2-й поверх
вул.40 років Перемоги, 17А, м.Глухів, Сумська обл., 41400","2022","952","1983","18","1054","16","1070","","0","1054","16","1070","41","1029","689","7","14","18","3","116","29","143","10","29.10.12"
"590735","159","Сумська область","школа №6, коридор, 2-й поверх
вул.70 років Жовтня, 5, м.Глухів, Сумська обл., 41400","2010","803","1965","39","1173","34","1207","","0","1173","34","1207","45","1162","736","7","24","13","5","118","26","217","16","29.10.12"
"590736","159","Сумська область","школа мистецтв ім.М.Березовського, холл, 1-й поверх
вул.Києво-Московська, 10, м.Глухів, Сумська обл., 41400","1500","789","1481","20","697","14","711","","0","697","14","711","37","674","438","10","10","10","0","69","11","121","5","29.10.12"
"590737","159","Сумська область","медичне училище, спортивна зала, 1-й поверх
вул.Вознесенська, 1, м.Глухів, Сумська обл., 41400","2154","957","2105","19","1181","16","1197","","0","1181","16","1197","48","1149","676","15","25","15","10","114","26","250","18","29.10.12"
"590738","159","Сумська область","школа №1, кабінет історії, 1-й поверх
вул.Вознесенська, 13, м.Глухів, Сумська обл., 41400","1578","635","1535","19","926","17","943","","0","926","17","943","29","914","541","8","11","17","2","146","18","159","12","29.10.12"
"590739","159","Сумська область","ГНПУ ім. О.Довженка, корп.5, фойє, 1-й поверх
вул.Києво-Московська, 24, м.Глухів, Сумська обл., 41400","1530","601","1566","10","920","9","929","","0","920","9","929","22","907","697","10","5","11","4","49","16","109","6","29.10.12"
"590740","159","Сумська область","школа №3, фойє, 1-й поверх
вул.Києво-Московська, 45, м.Глухів, Сумська обл., 41400","1350","597","1323","49","708","45","753","","0","708","45","753","18","735","456","11","10","8","1","72","18","154","5","29.10.12"
"590741","159","Сумська область","професійно-педагогічний коледж ГНПУ, холл, 2-й поверх
вул.Києво-Московська, 51, м.Глухів, Сумська обл., 41400","1356","590","1335","26","742","24","766","","0","742","24","766","24","742","433","9","7","20","6","95","26","138","8","29.10.12"
"590742","159","Сумська область","інститут луб’яних культур, актова зала, 2-й поверх
вул.Терещенків, 45, м.Глухів, Сумська обл., 41400","1356","578","1335","41","741","37","778","","0","741","37","778","20","758","496","11","12","10","4","89","16","106","14","29.10.12"
"590743","159","Сумська область","школа-інтернат ім. М.І.Жужоми, їдальня, 1-й поверх
вул.Жужоми, 8, м.Глухів, Сумська обл., 41400","1680","688","1676","41","959","33","992","","0","959","33","992","34","958","645","8","15","13","4","125","16","122","10","29.10.12"
"590744","159","Сумська область","ФАП, к.1
вул.Васильченка, 39, с.Сліпород, м.Глухів, Сумська обл., 41400","210","55","209","9","146","9","155","","0","146","9","155","4","151","125","3","2","0","0","13","1","6","1","29.10.12"
"590745","159","Сумська область","естетичне відділення ЦДЮТ, актова зала, 2-й поверх
вул.Києво-Московська, 34, м.Глухів, Сумська обл., 41400","1434","708","1417","34","695","31","726","","0","695","31","726","25","701","469","5","6","23","2","59","18","112","7","29.10.12"
"590746","159","Сумська область","школа №4, к.2, 3
пров.Шкільний, 1, м.Глухів, Сумська обл., 41400","2034","923","2023","43","1069","42","1111","","0","1069","42","1111","34","1077","758","11","14","19","3","107","17","140","8","29.10.12"
"590747","159","Сумська область","школа №5, коридор
вул.Покровська, 63, м.Глухів, Сумська обл., 41400","1596","743","1571","48","810","43","853","","0","810","43","853","47","806","512","4","18","19","3","97","12","128","13","29.10.12"
"590748","159","Сумська область","Глухівськиїй коледж СНАУ, корп.2, холл, 1-й поверх
вул.Терещенків, 36, м.Глухів, Сумська обл., 41400","1656","725","1691","20","913","18","931","","0","913","18","931","30","901","577","10","8","11","5","106","25","153","6","29.10.12"
"590749","159","Сумська область","школа №2, коридор, 1-й поверх
вул.Інститутська, 41, м.Глухів, Сумська обл., 41400","1860","862","1831","55","945","53","998","","0","945","53","998","19","979","776","5","11","24","4","89","22","40","8","29.10.12"
"590750","159","Сумська область","Глухівська ЦРЛ, центральний корпус, актова зала, 2-й поверх
вул.Інститутська, 3, м.Глухів, Сумська обл., 41400","312","253","59","11","48","11","59","","0","48","11","59","1","58","42","2","1","0","0","3","1","9","0","28.10.12"
"590751","159","Сумська область","Комунальний заклад ""Третя обласна спеціалізована психіатрична лікарня"", фойє, 2-й поверх
вул.Інститутська, 3, м.Глухів, Сумська обл., 41400","204","119","85","4","81","4","85","","0","81","4","85","6","79","72","1","0","1","0","1","0","3","1","28.10.12"
