"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бова
Юрій
Анатолійович","Волощук
Віталій
Володимирович","Даниленко
Володимир
Андрійович","Дашутін
Григорій
Петрович","Купрейчик
Ірина
Валеріївна","Лепков
Олексій
Анатолійович","Федірко
Петро
Трохимович","Дата підписання протоколу"
"590096","162","Сумська область","будинок культури, фойє
вул.Леніна, 13, смт Велика Писарівка, Великописарівський р-н, Сумська обл., 42800","904","369","891","23","514","21","535","","0","514","21","535","22","512","28","3","109","196","168","5","3","29.10.12"
"590097","162","Сумська область","філія Охтирського професійного ліцею, кабінет, англ. мови, 2-й поверх
вул.Коцюбинського, 28, смт Велика Писарівка, Великописарівський р-н, Сумська обл., 42800","664","298","642","11","356","10","366","","0","356","10","366","7","359","26","3","83","106","134","2","5","29.10.12"
"590098","162","Сумська область","станція юнатів, класна кімната
вул.Жовтнева, 2, смт Велика Писарівка, Великописарівський р-н, Сумська обл., 42800","912","430","872","19","467","15","482","","0","467","15","482","26","456","46","9","81","182","133","2","3","29.10.12"
"590099","162","Сумська область","лікарня ветеринарної медицини, великий зал
вул.Кантемирівська, 8, смт Велика Писарівка, Великописарівський р-н, Сумська обл., 42800","1016","462","1011","16","538","16","554","","0","538","16","554","21","533","26","14","101","205","176","9","2","29.10.12"
"590100","162","Сумська область","філія ""Великописарівський райавтодор"", актова зала
вул.Сумська, 7, смт Велика Писарівка, Великописарівський р-н, Сумська обл., 42800","472","162","468","16","295","15","310","","0","295","15","310","23","287","11","3","48","141","76","2","6","29.10.12"
"590101","162","Сумська область","селищна рада, зал засідань
вул.Леніна, 12, смт Кириківка, Великописарівський р-н, Сумська обл., 42830","832","390","815","39","406","36","442","","0","406","36","442","26","416","29","5","92","125","161","0","4","29.10.12"
"590102","162","Сумська область","будинок культури, фойє
вул.Шевченка, 38, смт Кириківка, Великописарівський р-н, Сумська обл., 42830","632","243","634","66","323","66","389","","0","323","66","389","12","377","30","4","98","103","133","5","4","29.10.12"
"590103","162","Сумська область","кафе ""Форум"", великий зал
пров.Вокзальний, 27, смт Кириківка, Великописарівський р-н, Сумська обл., 42831","512","219","499","43","253","40","293","","0","253","40","293","8","285","33","4","44","102","96","3","3","29.10.12"
"590104","162","Сумська область","школа, спортивний зал
вул.Правдинська, 32, с.Заводське, Великописарівський р-н, Сумська обл., 42832","760","282","740","56","424","54","478","","0","424","54","478","17","461","40","4","41","154","217","0","5","29.10.12"
"590105","162","Сумська область","сільська рада, зал засідань
вул.Харківська, 1, с.Вищевеселе, Великописарівський р-н, Сумська обл., 42850","368","147","360","21","202","19","221","","0","202","19","221","9","212","15","0","37","107","51","2","0","29.10.12"
"590106","162","Сумська область","об’єкт дозвілевої роботи, читальний зал
вул.Садова, 2, с.Володимирівка, Векликописарівський р-н, Сумська обл., 42850","208","83","197","15","111","14","125","","0","111","14","125","6","119","7","1","18","64","29","0","0","29.10.12"
"590107","162","Сумська область","навчально виховний комплекс, спортивний зал
вул.Першотравнева, 18, с.Вільне, Великописарівський р-н, Сумська обл., 42820","640","269","632","98","278","93","371","","0","278","93","371","17","354","7","4","73","190","78","0","2","28.10.12"
"590108","162","Сумська область","об’єкт дозвілевої роботи, читальний зал
вул.Андріанова, 1, с.Їздецьке, Великописарівський р-н, Сумська обл., 42821","160","56","150","34","72","32","104","","0","72","32","104","2","102","2","4","20","66","10","0","0","28.10.12"
"590109","162","Сумська область","ПСП ""Рассвєт"", зал засідань
вул.Широкий Берег, 6, с.Широкий Берег, Великописарівський р-н, Сумська обл., 42821","168","51","163","18","103","14","117","","0","103","14","117","3","114","3","2","50","47","11","1","0","29.10.12"
"590110","162","Сумська область","сільська рада, зал засідань
вул.Центральна, 12, с.Дмитрівка, Великописарівський р-н, Сумська обл., 42810","208","67","202","16","127","14","141","","0","127","14","141","4","137","8","2","28","73","24","0","2","29.10.12"
"590111","162","Сумська область","школа, спротивний зал
вул.Київська, 59, с.Олександрівка, Великописарівський р-н, Сумська обл., 42806","272","92","266","22","160","20","180","","0","160","20","180","8","172","6","4","30","71","58","1","2","29.10.12"
"590112","162","Сумська область","фельдшерський пункт, приймальний зал
вул.Лукашівська, 1, с.Лукашівка, Великописарівський р-н, Сумська обл., 42806","80","27","73","16","39","14","53","","0","0","0","53","2","51","1","0","12","29","9","0","0","30.10.12"
"590113","162","Сумська область","школа, спортивний зал
вул.Братеничанська, 34, с.Братениця, Великописарівський р-н, Сумська обл., 42812","160","56","155","17","91","13","104","","0","91","13","104","4","100","4","3","30","33","26","2","2","29.10.12"
"590114","162","Сумська область","об‘єкт дозвілевої роботи, читальний зал
вул.Жовтнева, 47, с.Шевченкове, Великописарівський р-н, Сумська обл., 42812","96","36","95","16","47","13","60","","0","47","13","60","3","57","12","0","8","18","19","0","0","28.10.12"
"590115","162","Сумська область","навчально виховний комплекс, спортивний зал
вул.Леніна, 8А, с.Добрянське, Великописарівський р-н, Сумська обл., 42840","688","314","673","30","350","24","374","","0","350","24","374","16","358","33","0","70","217","32","4","2","28.10.12"
"590116","162","Сумська область","фельдшерський пункт, приймальний зал
вул.8-е Березня, 62А, с.Сидорова Яруга, Великописарівський р-н, Сумська обл., 42841","256","101","251","14","141","14","155","","0","141","14","155","7","148","11","2","24","94","13","4","0","28.10.12"
"590117","162","Сумська область","будинок культури, фойє
вул.Іванівська, 7, с.Іванівка, Великописарівський р-н, Сумська обл., 42839","896","401","886","45","457","38","495","","0","457","38","495","33","462","62","6","78","143","171","0","2","29.10.12"
"590118","162","Сумська область","сільський клуб, фойє
вул.Леніна, 3, с.Катанське, Великописарівський р-н, Сумська обл., 42828","288","91","280","43","155","42","197","","0","155","42","197","6","191","17","1","34","96","41","1","1","29.10.12"
"590119","162","Сумська область","сільський клуб, фойє
вул.Центральна, 29А, с.Березівка, Великописарівський р-н, Сумська обл., 42828","72","22","63","6","45","5","50","","0","45","5","50","0","50","5","0","8","21","16","0","0","29.10.12"
"590120","162","Сумська область","сільська рада, зал засідань
вул.Митрофанова, 5, с.Пожня, Великописарівський р-н, Сумська обл., 42824","496","167","492","50","282","47","329","","0","282","47","329","7","322","8","1","46","235","28","2","2","29.10.12"
"590121","162","Сумська область","сільська рада, зал засідань
пл.Миру, 1, с.Попівка, Великописарівський р-н, Сумська обл., 42822","672","240","657","36","401","31","432","","0","401","31","432","23","409","15","9","63","208","109","1","4","29.10.12"
"590122","162","Сумська область","об’єкт дозвілевої роботи, читальний зал
вул.Піщана, 16, с.Лугівка, Великописарівський р-н, Сумська обл., 42800","288","119","288","22","148","21","169","","0","148","21","169","8","161","4","2","26","90","35","2","2","29.10.12"
"590123","162","Сумська область","фельдшерський пункт, приймальний зал
вул.Партизанська, 8, с.Стрілецька Пушкарка, Великописарівський р-н, Сумська обл., 42820","88","26","86","15","51","11","62","","0","51","11","62","2","60","6","0","13","25","15","1","0","29.10.12"
"590124","162","Сумська область","сільська рада, зал засідань
вул.Центральна, 132, с.Розсоші, Великописарівський р-н, Сумська обл., 42813","424","185","417","40","204","35","239","","0","204","35","239","8","231","5","7","61","95","59","3","1","29.10.12"
"590125","162","Сумська область","сільська рада, зал засідань
вул.Шкільна, 1, с.Рябина, Великописарівський р-н, Сумська обл., 42843","552","210","540","44","298","44","342","","0","298","44","342","19","323","25","8","58","122","103","2","5","29.10.12"
"590126","162","Сумська область","школа, спортивний зал
вул.Жовтнева, 1А, с.Рябина, Великописарівський р-н, Сумська обл., 42843","504","176","489","52","278","50","328","","0","278","50","328","19","309","40","5","50","151","59","2","2","29.10.12"
"590127","162","Сумська область","будинок культури, фойє
вул.Центральна, 2, с.Солдатське, Великописарівський р-н, Сумська обл., 42826","504","174","494","39","293","37","330","","0","293","37","330","15","315","3","4","71","197","35","1","4","29.10.12"
"590128","162","Сумська область","об’єкт дозвілевої роботи, читальний зал
вул.Гагаріна, 67, с.Крамчанка, Великописарівський р-н, Сумська обл., 42827","240","71","230","23","146","23","169","","0","146","23","169","14","155","11","3","27","91","18","4","1","29.10.12"
"590129","162","Сумська область","будинок культури, фойє
вул.Сумська, 1, с.Тарасівка, Великописарівський р-н, Сумська обл., 42825","560","176","553","43","344","40","384","","0","344","40","384","13","371","15","5","65","249","34","0","3","29.10.12"
"590130","162","Сумська область","будинок культури, фойє
вул.Кірова, 2, с.Яблучне, Великописарівський р-н, Сумська обл., 42846","856","311","837","109","455","90","545","","0","455","90","545","17","528","35","5","94","212","175","3","4","29.10.12"
"590131","162","Сумська область","сільська рада, зал засідань
вул.Леніна, 1, с.Ямне, Великописарівський р-н, Сумська обл., 42807","688","290","662","23","378","20","398","","0","378","20","398","19","379","20","7","68","131","142","5","6","29.10.12"
"590132","162","Сумська область","ФГ ""Бриз ВЛКОМ"", зал засідань
вул.Леніна, 81А, с.Ямне, Великописарівський р-н, Сумська обл., 42807","424","174","432","9","241","9","250","","0","241","9","250","15","235","20","2","41","88","76","5","3","29.10.12"
"590133","162","Сумська область","фельдшерський пункт, приймальний зал
вул.Леніна, 1А, с.Спірне, Великописарівський р-н, Сумська обл., 42800","168","59","169","2","107","2","109","","0","107","2","109","5","104","9","0","10","40","45","0","0","29.10.12"
"590134","162","Сумська область","центральна районна лікарня, актовий зал
вул.Коцюбинського, 5, смт Велика Писарівка Великописарівський р-н, Сумська обл., 42800","24","4","20","3","17","3","20","","0","17","3","20","3","17","1","0","4","6","5","0","1","28.10.12"
"590300","162","Сумська область","навчально-виховний комплекс, коридор
вул.Сергеєва, 126, с.Бишкінь, Лебединський р-н, Сумська обл., 42245","744","313","731","42","398","33","431","","0","398","33","431","7","424","23","18","159","79","129","1","15","29.10.12"
"590301","162","Сумська область","сільський будинок культури, к.1
вул.Шевченка, 9, с.Боровенька, Лебединський р-н, Сумська обл., 42236","440","152","430","28","262","26","288","","0","262","26","288","5","283","6","11","52","112","96","3","3","28.10.12"
"590302","162","Сумська область","сільський будинок культури, малий зал
вул.Леніна, 56, с.Будилка, Лебединський р-н, Сумська обл., 42238","880","376","875","48","466","38","504","","0","466","38","504","16","488","10","16","140","139","166","2","15","29.10.12"
"590303","162","Сумська область","Будильська амбулаторія, кабінет головного лікаря
вул.Радянська, 34, с.Будилка, Лебединський р-н, Сумська обл., 42238","928","378","911","41","516","34","550","","0","516","34","550","30","520","26","7","103","129","240","4","11","29.10.12"
"590304","162","Сумська область","загальноосвітня школа, фойє
вул.Комсомольська, 8, с.Василівка, Лебединський р-н, Сумська обл., 42231","1176","474","1156","97","608","94","702","","0","608","94","702","16","686","83","21","143","185","227","5","22","28.10.12"
"590305","162","Сумська область","навчально-виховний комплекс, фойє
вул.Середня, 1, с.Великий Вистороп, Лебединський р-н, Сумська обл., 42242","640","240","628","58","349","51","400","","0","349","51","400","11","389","22","15","95","106","140","2","9","29.10.12"
"590306","162","Сумська область","навчально-виховний комплекс, фойє
вул.Сумська, 1, с.Ворожба, Лебединський р-н, Сумська обл., 42240","1264","520","1239","200","567","177","744","","0","567","177","744","18","726","30","22","181","186","289","3","15","29.10.12"
"590307","162","Сумська область","фельдшерський пункт, к.1
вул.Лифинська, 47, с.Лифине, Лебединський р-н, Сумська обл., 42240","120","50","113","29","41","29","70","","0","41","29","70","4","66","3","3","23","26","9","0","2","28.10.12"
"590308","162","Сумська область","приміщення 1-го Сумського кінзаводу, к.1
вул.Фрунзенська, 18, с.Патриотівка, Лебединський р-н, Сумська обл., 42240","160","43","155","10","108","9","117","","0","108","9","117","3","114","8","4","15","47","35","3","2","29.10.12"
"590309","162","Сумська область","дозвілевий об’єкт, фойє
пров.Прифермський, 2, с.Гарбузівка, Лебединський р-н, Сумська обл., 42244","288","91","286","42","156","41","197","","0","156","41","197","5","192","7","6","22","79","77","0","1","28.10.12"
"590310","162","Сумська область","сільський будинок культури, фойє
вул.Пролетарська, 1В, с.Голубівка, Лебединський р-н, Сумська обл., 42221","840","347","826","21","473","20","493","","0","473","20","493","24","469","23","11","71","172","98","4","90","28.10.12"
"590311","162","Сумська область","сільський будинок культури, зал
вул.Леніна, 10Б, с.Гринцеве, Лебединський р-н, Сумська обл., 42223","704","337","696","11","357","10","367","","0","357","10","367","18","349","19","7","73","118","120","0","12","29.10.12"
"590312","162","Сумська область","Калюжненський сільський клуб, фойє
вул.Центральна, 41, с.Калюжне, Лебединський р-н, Сумська обл., 42253","392","134","384","40","221","37","258","","0","221","37","258","12","246","18","6","87","63","64","3","5","29.10.12"
"590313","162","Сумська область","Ляшківський сільський клуб, фойє
вул.Молодіжна, 49, с.Ляшки, Лебединський р-н, Сумська обл., 42253","120","50","116","19","52","18","70","","0","52","18","70","3","67","3","2","15","39","6","1","1","29.10.12"
"590314","162","Сумська область","сільський будинок культури, зал
вул.Леніна, 44, с.Кам’яне, Лебединський р-н, Сумська обл., 42233","592","236","575","90","272","84","356","","0","272","84","356","14","342","28","2","109","84","109","3","7","29.10.12"
"590315","162","Сумська область","навчально-виховний комплекс, фойє
вул.Індика, 1, с.Катеринівка, Лебединський р-н, Сумська обл., 42227","504","211","488","35","266","27","293","","0","266","27","293","12","281","7","6","83","120","59","0","6","28.10.12"
"590316","162","Сумська область","сільський будинок культури, фойє
вул.Горова, 13, с.Курган, Лебединський р-н, Сумська обл., 42217","448","188","438","30","230","30","260","","0","230","30","260","12","248","14","13","46","75","87","2","11","29.10.12"
"590317","162","Сумська область","фельдшерський пункт, к.3
вул.Шевченка, 37А, с.Олександрівка, Лебединський р-н, Сумська обл., 42217","88","24","92","6","59","5","64","","0","59","5","64","1","63","3","1","11","15","32","0","1","29.10.12"
"590318","162","Сумська область","сільський будинок культури, зал
вул.Рибалко, 21, с.Малий Вистороп, Лебединський р-н, Сумська обл., 42243","832","353","829","64","417","62","479","","0","417","62","479","20","459","32","12","74","161","172","5","3","29.10.12"
"590319","162","Сумська область","приміщення сільської ради, обрядовий зал
вул.Радянська, 85, с.Межиріч, Лебединський р-н, Сумська обл., 42230","1048","492","1034","23","535","21","556","","0","535","21","556","27","529","11","16","125","207","156","3","11","28.10.12"
"590320","162","Сумська область","сільський будинок культури, зал
пров.Клубний, 10, с.Михайлівка, Лебединський р-н, Сумська обл., 42218","784","310","770","71","403","71","474","","0","403","71","474","16","458","24","11","110","163","126","1","23","28.10.12"
"590321","162","Сумська область","контора відділення №2 ПАТ ""П-з ""Михайлівка"", к.3
вул.Байдужного, 2, с-ще Першотравневе, Лебединський р-н, Сумська обл., 42219","400","129","391","29","246","25","271","","0","246","25","271","16","255","33","5","80","73","55","1","8","29.10.12"
"590322","162","Сумська область","сільська рада, зал
вул.Леніна, 24, с.Московський Бобрик, Лебединський р-н, Сумська обл., 42235","688","220","678","63","408","60","468","","0","408","60","468","22","446","18","12","83","179","135","6","13","29.10.12"
"590323","162","Сумська область","Павленківський сільський клуб, зал
вул.Ковалівська, 2, с.Павленкове, Лебединський р-н, Сумська обл., 42224","264","76","256","22","172","16","188","","0","172","16","188","10","178","11","3","66","54","36","1","7","28.10.12"
"590324","162","Сумська область","навчально-виховний комплекс, каб.3
вул.Центральна, 2А, с.Підопригори, Лебединський р-н, Сумська обл., 42226","512","164","501","80","275","73","348","","0","275","73","348","13","335","15","14","71","117","103","4","11","29.10.12"
"590325","162","Сумська область","сільський будинок культури, фойє
вул.Радянська, 4, с.Пристайлове, Лебединський р-н, Сумська обл., 42232","512","189","505","29","297","26","323","","0","297","26","323","12","311","19","12","70","106","96","2","6","28.10.12"
"590326","162","Сумська область","сільський будинок культури, зал
вул.Миру, 283, с.Рябушки, Лебединський р-н, Сумська обл., 42250","752","319","732","73","378","55","433","","0","378","55","433","25","408","34","7","101","164","90","3","9","28.10.12"
"590327","162","Сумська область","навчально-виховний комплекс, спортивний зал
вул.Першотравнева, 30, с.Червлене, Лебединський р-н, Сумська обл., 42216","400","156","393","24","228","16","244","","0","228","16","244","8","236","8","2","59","96","67","1","3","29.10.12"
"590328","162","Сумська область","сільський будинок культури, фойє
вул.Роменська, 6, с.Штепівка, Лебединський р-н, Сумська обл., 42220","928","290","906","105","542","96","638","","0","542","96","638","34","604","20","12","136","164","167","3","102","29.10.12"
