"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андрусенко
Микола
Андрійович","Ващенко
Олександр
Григорович","Коломієць
Віталій
Миколайович","Моісеєнко
Віталій
Володимирович","Непочатов
Олександр
Миколайович","Позняк
Віталій
Степанович","Саєнко
Олександр
Іванович","Солдатенко
Надія
Олексіївна","Хоменко
Альберт
Анатолійович","Храпатий
Віктор
Федорович","Шульга
Володимир
Петрович","Ющенко
Петро
Андрійович","Дата підписання протоколу"
"590369","161","Сумська область","адмінбудинок сільської ради, зал засідань
вул.Зарічна, 5, с.Засулля, Недригайлівський р-н, Сумська обл., 42107","780","235","758","86","467","78","545","","0","467","78","545","16","529","2","28","13","1","5","22","133","3","4","4","209","105","29.10.12"
"590370","161","Сумська область","сільський клуб, коридор
вул.Шевченка, 39, с.Баба, Недригайлівський р-н, Сумська обл., 42107","222","55","216","35","140","27","167","","0","140","27","167","8","159","0","10","3","1","4","5","39","0","0","1","63","33","29.10.12"
"590371","161","Сумська область","сільський клуб, фойє
вул.Любимова, 31Б, с.Зеленківка, Недригайлівський р-н, Сумська обл., 42125","240","49","238","32","162","29","191","","0","162","29","191","12","179","0","4","2","1","1","19","42","0","1","0","91","18","29.10.12"
"590372","161","Сумська область","будинок культури, фойє
вул.Космонавтів, 1В, с.Комишанка, Недригайлівський р-н, Сумська обл., 42126","462","108","444","107","253","101","354","","0","253","101","354","9","345","3","15","4","1","4","25","76","1","2","1","184","29","29.10.12"
"590373","161","Сумська область","сільський клуб, фойє
вул.Пролетарська, 10, с.Зелене, Недригайлівський р-н, Сумська обл., 42120","408","134","396","59","222","52","274","","0","222","52","274","3","271","2","16","2","0","2","6","56","0","0","2","149","36","29.10.12"
"590374","161","Сумська область","школа, актовий зал
вул.Шкільна, 1, с.Іваниця, Недригайлівський р-н, Сумська обл., 42120","276","53","273","20","205","18","223","","0","205","18","223","4","219","0","9","4","1","2","7","58","0","0","1","67","70","29.10.12"
"590375","161","Сумська область","будинок культури, фойє
вул.Кошового, 2, с.Козельне, Недригайлівський р-н, Сумська обл., 42146","420","114","418","64","245","61","306","","0","245","61","306","8","298","0","14","4","3","7","20","79","0","0","0","118","53","29.10.12"
"590376","161","Сумська область","сільський клуб, фойє
сільський клуб, вул.Комінтерна, с.Саєве, Недригайлівський р-н, Сумська обл., 42146","216","36","216","42","142","38","180","","0","142","38","180","5","175","2","4","3","1","2","13","39","1","1","2","87","20","29.10.12"
"590377","161","Сумська область","сільський клуб, фойє
сільський клуб, вул.Мічуріна, с.Тимченки, Недригайлівський р-н, Сумська обл., 42146","204","55","198","24","125","24","149","","0","125","24","149","1","148","0","13","4","0","2","5","51","1","0","1","62","9","29.10.12"
"590378","161","Сумська область","школа, актовий зал
вул.Леніна, 70, с.Коровинці, Недригайлівський р-н, Сумська обл., 42140","1194","455","1180","67","675","64","739","","0","675","64","739","15","724","2","19","3","3","19","19","157","1","4","4","381","112","29.10.12"
"590379","161","Сумська область","адмінбудинок ТОВ ""Довіра 2008"", коридор
вул.Леніна, 113, с.Коровинці, Недригайлівський р-н, Сумська обл., 42140","990","447","977","72","485","58","543","","0","485","58","543","22","521","2","14","4","3","16","13","131","6","5","4","246","77","29.10.12"
"590380","161","Сумська область","адмінбудинок відділення ПП ""Коровинці"", коридор
вул.Сільська, 31, с.Малі Будки, Недригайлівський р-н, Сумська обл., 42141","132","30","129","20","82","20","102","","0","82","20","102","2","100","0","3","4","0","3","8","45","1","0","0","23","13","29.10.12"
"590381","161","Сумська область","колишня початкова школа, коридор
вул.Центральна, 8, с.Мухувате, Недригайлівський р-н, Сумська обл., 42140","132","27","126","22","84","21","105","","0","84","21","105","1","104","0","1","0","0","0","3","23","0","1","0","66","10","29.10.12"
"590382","161","Сумська область","сільський клуб, глядацький зал
вул.Шевченка, 10, с.Кулішівка, Недригайлівський р-н, Сумська обл., 42108","360","109","353","58","201","50","251","","0","201","50","251","9","242","1","2","2","2","1","4","64","1","0","0","78","87","29.10.12"
"590383","161","Сумська область","будинок культури, глядацький зал
будинок культури, вул.Леніна, с.Курмани, Недригайлівський р-н, Сумська обл., 42137","486","163","480","45","285","38","323","","0","285","38","323","3","320","4","7","4","3","1","4","71","0","0","0","181","45","29.10.12"
"590384","161","Сумська область","сільський клуб, глядацький зал
сільський клуб, вул.Циганівка, с.Березняки, Недригайлівський р-н, Сумська обл., 42137","330","79","322","33","219","32","251","","0","219","32","251","11","240","1","18","4","0","1","14","58","1","2","1","94","46","29.10.12"
"590385","161","Сумська область","будинок культури, фойє
вул.Центральна, 2, с.Маршали, Недригайлівський р-н, Сумська обл., 42133","312","71","307","44","204","37","241","","0","204","37","241","8","233","0","5","10","1","1","8","66","0","0","3","86","53","29.10.12"
"590386","161","Сумська область","школа, коридор
вул.Шкільна, 3, с.Рубанка, Недригайлівський р-н, Сумська обл., 42144","240","69","232","30","142","29","171","","0","142","29","171","3","168","0","10","0","0","2","7","85","1","0","0","45","18","29.10.12"
"590387","161","Сумська область","сільський клуб, глядацький зал
вул.Рябова, 107, с.Сакуниха, Недригайлівський р-н, Сумська обл., 42142","306","71","300","36","201","34","235","","0","201","34","235","2","233","0","4","2","0","5","6","115","3","0","0","69","29","29.10.12"
"590388","161","Сумська область","сільський клуб, фойє
вул.Перетічки, 72, с.Кірове, Недригайлівський р-н, Сумська обл., 42143","150","41","142","25","90","19","109","","0","90","19","109","2","107","0","0","0","0","0","6","51","0","0","0","41","9","29.10.12"
"590389","161","Сумська область","будинок культури, фойє
вул.Центральна, 60, с.Томашівка, Недригайлівський р-н, Сумська обл., 42134","396","98","392","54","251","47","298","","0","251","47","298","8","290","3","1","12","2","3","25","69","1","0","0","125","49","29.10.12"
"590390","161","Сумська область","сільський клуб, фойє
вул.Сільська, 38, с.Беседівка, Недригайлівський р-н, Сумська обл., 42135","288","78","289","26","187","23","210","","0","187","23","210","8","202","1","1","3","0","5","3","58","1","0","0","72","58","29.10.12"
"590391","161","Сумська область","ФАП, коридор
вул.Польова, 33, с.Коритище, Недригайлівський р-н, Сумська обл., 42136","90","24","87","22","44","22","66","","0","44","22","66","0","66","0","0","0","0","3","0","26","0","0","0","31","6","29.10.12"
"590392","161","Сумська область","приміщення ФАПу, приміщення для прийому хворих
вул.Садова, 53/2, с.Косенки, Недригайліський р-н, Сумська обл., 42136","90","23","83","12","57","10","67","","0","57","10","67","1","66","0","0","0","0","3","5","21","0","0","0","30","7","29.10.12"
"590393","161","Сумська область","будинок культури, фойє
вул.Центральна, 3, с.Хоружівка, Недригайлівський р-н, Сумська обл., 42130","276","56","276","41","185","35","220","","0","185","35","220","3","217","0","1","1","1","1","2","50","0","0","0","57","104","29.10.12"
"590394","161","Сумська область","адмінбудинок ТОВ ""Хоружівка"", актовий зал
вул.Центральна, 9, с.Хоружівка, Недригайлівський р-н, Сумська обл., 42130","522","146","511","101","282","94","376","","0","282","94","376","8","368","0","3","6","0","6","10","66","0","0","0","43","234","29.10.12"
"590395","161","Сумська область","школа, фойє
вул.Духанівка, 35, с.Червона Слобода, Недригайлівський р-н, Сумська обл., 42145","300","60","290","36","204","36","240","","0","204","36","240","3","237","0","5","3","1","4","7","107","4","0","0","93","13","29.10.12"
"590396","161","Сумська область","сільський клуб, глядацький зал
вул.Молодіжна, 1, с.Мелешківка, Недригайлівський р-н, Сумська обл., 42145","132","37","125","11","84","11","95","","0","84","11","95","2","93","0","3","1","2","1","8","34","0","0","2","32","10","28.10.12"
"590397","161","Сумська область","центральня районна лікарня, актовий зал
вул.Чапаєва, 12, смт Недригайлів, Недригайлівський р-н, Сумська обл., 42100","126","57","70","18","51","18","69","","0","51","18","69","4","65","0","2","4","1","2","3","16","0","1","2","25","9","29.10.12"
"590471","161","Сумська область","школа, фойє
вул.Шкільна, 63, с.Анастасівка, Роменський р-н, Сумська обл., 42075","552","156","546","56","343","53","396","","0","343","53","396","10","386","9","4","5","2","4","6","190","1","3","6","144","12","29.10.12"
"590472","161","Сумська область","клуб, фойє
вул.Перемоги, 20А, с.Попівщина, Роменський р-н, Сумська обл., 42076","300","91","285","21","188","21","209","","0","188","21","209","5","204","2","1","2","0","4","8","84","0","2","2","91","8","29.10.12"
"590473","161","Сумська область","фельдшерсько-акушерський пункт, фойє
вул.Жовтневої революції, 6А, с.Новопетрівка, Роменський р-н, Сумська обл., 42075","144","36","136","15","94","14","108","","0","94","14","108","2","106","2","0","0","1","0","1","35","0","1","0","64","2","29.10.12"
"590474","161","Сумська область","навчально-виховний комплекс, спортивний зал
вул.Першотравнева, 30, с.Андріївка, Роменский р-н, Сумська обл., 42078","354","94","348","18","242","18","260","","0","242","18","260","9","251","2","0","5","1","0","2","103","0","3","1","117","17","29.10.12"
"590475","161","Сумська область","школа, спортивний зал
вул.Шкільна, 56А, с.Андріяшівка, Роменський р-н, Сумська обл., 42087","816","318","807","63","435","63","498","","0","435","63","498","12","486","1","1","53","1","6","119","101","14","3","5","166","16","29.10.12"
"590476","161","Сумська область","будинок культури, малий зал
вул.Соборна, 9, с.Андріяшівка, Роменський р-н, Сумська обл., 42087","768","343","694","64","362","63","425","","0","362","63","425","12","413","2","2","30","4","4","73","93","5","2","8","171","19","29.10.12"
"590477","161","Сумська область","школа, фойє
вул.Зацарянська, 6, с.Гудими, Роменський р-н, Сумська обл., 42088","444","104","440","41","300","40","340","","0","300","40","340","6","334","1","2","163","1","3","20","35","7","0","2","82","18","29.10.12"
"590478","161","Сумська область","будинок культури, малий зал
вул.Радянська, 23, с.Артюхівка, Роменський р-н, Сумська обл., 42062","306","89","297","45","174","43","217","","0","174","43","217","7","210","10","5","10","0","4","9","61","2","0","3","89","17","29.10.12"
"590479","161","Сумська область","школа, фойє
вул.Роменська, 6, с.Басівка, Роменський р-н, Сумська обл., 42035","480","189","471","26","270","21","291","","0","270","21","291","6","285","0","3","5","2","0","8","80","7","0","1","135","44","28.10.12"
"590480","161","Сумська область","школа, фойє
вул.Конотопська, 68, с.Гаї, Роменський р-н, Сумська обл., 42036","420","144","417","9","268","8","276","","0","268","8","276","12","264","2","1","6","0","3","4","109","6","0","3","107","23","29.10.12"
"590481","161","Сумська область","об’єкт дозвіллевої роботи, фойє
вул.Центральна, 28, с.Великі Будки, Роменський р-н, Сумська обл., 42041","114","29","111","8","78","7","85","","0","78","7","85","3","82","0","0","4","2","3","0","43","0","1","0","27","2","29.10.12"
"590482","161","Сумська область","фельдшерський пункт, кабінет завідуючого
вул.Шкільна, 17, с.Вощилиха, Роменський р-н, Сумська обл., 42038","132","35","128","12","85","12","97","","0","85","12","97","1","96","2","1","0","0","4","12","30","2","1","2","32","10","29.10.12"
"590483","161","Сумська область","школа, фойє
бульв.Щорса, 15, с.Біловод, Роменський р-н, Сумська обл., 42065","876","292","851","58","531","53","584","","0","531","53","584","20","564","3","4","6","0","6","8","349","3","16","5","151","13","29.10.12"
"590484","161","Сумська область","об’єкт дозвіллевої роботи, малий зал
вул.Жовтнева, 6, с.Москалівка, Роменський р-н, Сумська обл., 42066","120","25","121","7","88","7","95","","0","88","7","95","0","95","0","2","6","0","2","1","47","2","1","0","27","7","29.10.12"
"590485","161","Сумська область","будинок культури, актовий зал
вул.Леніна, 60, с.Бобрик, Роменський р-н, Сумська обл., 42070","1530","573","1511","124","843","114","957","","0","843","114","957","17","940","12","10","12","6","5","16","257","10","88","19","465","40","29.10.12"
"590486","161","Сумська область","школа, спортивний зал
вул.Молодіжна, 3А, с.Василівка, Роменський р-н, Сумська обл., 42077","504","175","489","36","295","34","329","","0","295","34","329","15","314","6","0","9","1","5","22","109","0","1","1","115","45","28.10.12"
"590487","161","Сумська область","будинок культури, танцювальний зал
вул.Центральна, 27, с.Великі Бубни, Роменський р-н, Сумська обл., 42037","1068","393","1047","88","592","83","675","","0","592","83","675","19","656","13","9","9","4","3","24","144","10","14","11","362","53","29.10.12"
"590488","161","Сумська область","об’єкт дозвіллевої роботи, танцювальний зал
вул.Хандоги, 2, с.Матлахове, Роменський р-н, Сумська обл., 42043","114","31","111","11","72","11","83","","0","72","11","83","1","82","1","1","1","0","2","10","43","3","1","1","16","3","29.10.12"
"590489","161","Сумська область","об’єкт дозвіллевої роботи, танцювальний зал
вул.Миру, 27, с.Посад, Роменський р-н, Сумська обл., 42042","216","72","216","19","129","15","144","","0","129","15","144","8","136","3","0","5","4","1","11","33","6","3","1","63","6","29.10.12"
"590490","161","Сумська область","будинок культури, більярдний зал
вул.Центральна, 36, с.Волошнівка, Роменський р-н, Сумська обл., 42080","426","116","417","62","249","61","310","","0","249","61","310","17","293","11","7","41","3","3","19","52","3","4","2","120","28","29.10.12"
"590491","161","Сумська область","будинок культури, фойє
вул.Миру, 2А, с.Галка, Роменський р-н, Сумська обл., 42040","306","91","297","24","192","23","215","","0","192","23","215","10","205","2","1","2","2","5","14","60","5","2","2","100","10","29.10.12"
"590492","161","Сумська область","професійний аграрний ліцей, корпус 1, фойє
вул.Роменська, 14, с.Глинськ, Роменський р-н, Сумська обл., 42081","900","341","894","43","521","38","559","","0","521","38","559","6","553","7","6","43","5","10","41","109","3","10","7","253","59","29.10.12"
"590493","161","Сумська область","об’єкт дозвіллевої роботи, актовий зал
вул.Центральна, 2, с.Чеберяки, Роменський р-н, Сумська обл., 42082","168","33","163","13","122","13","135","","0","122","13","135","3","132","0","0","50","0","6","4","31","3","1","3","31","3","29.10.12"
"590494","161","Сумська область","будинок культури, кімната щастя
вул.Миру, 35Е, с.Гришине, Роменський р-н, Сумська обл., 42052","402","132","394","52","223","47","270","","0","223","47","270","10","260","1","2","18","2","4","7","73","3","0","4","128","18","29.10.12"
"590495","161","Сумська область","клуб, фойє
вул.Гнідаша, 44Б, с.Салогубівка, Роменський р-н, Сумська обл., 42053","222","77","218","23","126","19","145","","0","126","19","145","2","143","0","0","6","5","1","6","45","6","2","0","63","9","29.10.12"
"590496","161","Сумська область","об’єкт дозвіллевої роботи, малий зал
вул.Шкільна, 5А, с.Королівщина, Роменський р-н, Сумська обл., 42054","120","34","117","17","75","11","86","","0","75","11","86","3","83","1","0","2","0","3","2","28","3","0","0","43","1","29.10.12"
"590497","161","Сумська область","навчально-виховний комплекс, актовий зал
вул.Садова, 5, с-ще Діброва, Роменський р-н, Сумська обл., 42032","252","98","252","10","144","10","154","","0","144","10","154","0","154","4","5","4","0","0","15","40","2","1","3","67","13","29.10.12"
"590498","161","Сумська область","об’єкт дозвіллевої роботи, глядацький зал
вул.Савченка, 69А, с.Хрещатик, Роменський р-н, Сумська обл., 42032","150","52","143","6","92","6","98","","0","92","6","98","3","95","0","4","1","1","3","3","20","5","0","1","49","8","29.10.12"
"590499","161","Сумська область","клуб, кабінет для репетицій
вул.Центральна, 54, с.Володимирівка, Роменський р-н, Сумська обл., 42032","126","30","126","8","88","8","96","","0","88","8","96","1","95","2","2","2","0","4","13","23","3","0","0","38","8","28.10.12"
"590500","161","Сумська область","клуб, глядацький зал
вул.Перемоги, 71А, с.Дзеркалька, Роменський р-н, Сумська обл., 42032","240","99","236","4","138","3","141","","0","138","3","141","6","135","0","2","0","0","3","5","31","6","3","1","45","39","29.10.12"
"590501","161","Сумська область","фельдшерський пункт, кабінет фельдшера
вул.Сонячна, 33, с.Косарівщина, Роменський р-н, Сумська обл., 42032","72","24","64","5","43","5","48","","0","43","5","48","1","47","0","0","0","0","1","1","28","1","0","0","13","3","29.10.12"
"590502","161","Сумська область","клуб, актовий зал
вул.40 річчя Перемоги, 2Б, с.Довгополівка, Роменський р-н, Сумська обл., 42026","228","66","224","18","144","18","162","","0","144","18","162","8","154","3","0","4","2","4","6","61","4","1","1","54","14","29.10.12"
"590503","161","Сумська область","об’єкт дозвіллевої роботи, танцювальний зал
вул.Першотравнева, 32А, с.Левченки, Роменський р-н, Сумська обл., 42025","138","41","134","6","91","6","97","","0","91","6","97","6","91","4","2","1","1","3","2","31","2","0","3","33","9","29.10.12"
"590504","161","Сумська область","школа, спортивний зал
вул.Шевченка, 38А, с.Овлаші, Роменський р-н, Сумська обл., 42027","1014","384","987","38","593","37","630","","0","593","37","630","13","617","9","4","8","2","2","12","177","6","9","7","336","45","29.10.12"
"590505","161","Сумська область","школа, коридор
вул.Леніна, 1, с.Заруддя, Роменський р-н, Сумська обл., 42072","360","104","358","39","219","37","256","","0","219","37","256","8","248","2","6","12","6","6","5","92","1","1","3","91","23","29.10.12"
"590506","161","Сумська область","школа, актовий зал
вул.Роменська, 5, с.Коржі, Роменський р-н, Сумська обл., 42063","594","250","577","40","305","39","344","","0","305","39","344","8","336","12","1","6","0","9","20","131","6","1","5","122","23","29.10.12"
"590507","161","Сумська область","школа, клас української мови та літератури
вул.Глинська, 1, с.Ярмолинці, Роменський р-н, Сумська обл., 42064","246","104","240","22","122","20","142","","0","122","20","142","6","136","8","1","3","2","4","9","40","0","4","3","56","6","29.10.12"
"590508","161","Сумська область","фельдшерський пункт, приймальня
вул.Соснова, 15А, с.Піски, Роменський р-н, Сумська обл., 42063","84","30","79","4","53","1","54","","0","53","1","54","1","53","0","0","0","0","0","0","12","3","0","0","34","4","29.10.12"
"590509","161","Сумська область","ТОВ ""ім.Браташа"", контора, зала засідань
вул.Калнишевського, 10А, с.Малі Бубни, Роменський р-н, Сумська обл., 42055","270","95","268","16","159","16","175","","0","159","16","175","7","168","63","1","1","1","4","0","26","2","0","0","63","7","29.10.12"
"590510","161","Сумська область","школа, спортивний зал
вул.Перемоги, 21А, с.Бацмани, Роменський р-н, Сумська обл., 42056","414","188","400","37","191","35","226","","0","191","35","226","9","217","14","2","4","2","5","20","88","1","3","1","64","13","29.10.12"
"590511","161","Сумська область","школа, фойє
вул.Центральна, 9, с.Миколаївка, Роменський р-н, Сумська обл., 42046","516","192","513","36","288","36","324","","0","288","36","324","17","307","1","3","19","0","3","5","101","34","3","6","109","23","29.10.12"
"590512","161","Сумська область","школа, коридор
вул.Прокопенка, 2Б, с.Житне, Роменський р-н, Сумська обл., 42048","570","182","560","52","343","45","388","","0","343","45","388","13","375","4","4","12","1","2","5","119","13","7","7","175","26","29.10.12"
"590513","161","Сумська область","клуб, актовий зал
вул.Радянська, 2А, с.Калинівка, Роменський р-н, Сумська обл., 42047","366","100","360","28","238","28","266","","0","238","28","266","8","258","2","0","11","3","6","7","79","25","4","4","99","18","28.10.12"
"590514","161","Сумська область","школа, фойє
вул.Шевченка, 30, с.Нова Гребля, Роменський р-н, Сумська обл., 42085","252","77","248","28","148","27","175","","0","148","27","175","3","172","0","2","35","1","3","9","52","3","3","0","58","6","29.10.12"
"590515","161","Сумська область","школа, фойє
вул.Вишнева, 2, с.Голінка, Роменський р-н, Сумська обл., 42086","252","87","245","30","138","27","165","","0","138","27","165","4","161","2","1","46","0","1","3","40","1","0","0","59","8","29.10.12"
"590516","161","Сумська область","сільська рада, актовий зал
вул.Перемоги, 1, с.Перекопівка, Роменський р-н, Сумська обл., 42083","444","176","438","36","233","35","268","","0","233","35","268","5","263","1","0","9","1","2","5","81","5","14","4","123","18","29.10.12"
"590517","161","Сумська область","школа, фойє
вул.Леніна, 2А, с.Перекопівка, Роменський р-н, Сумська обл., 42083","648","259","630","54","342","47","389","","0","342","47","389","10","379","3","3","23","1","8","14","120","7","14","2","163","21","29.10.12"
"590518","161","Сумська область","сільська рада, зала для урочистих подій
вул.Леніна, 59, с.Перехрестівка, Роменський р-н, Сумська обл., 42073","1116","440","1098","41","637","39","676","","0","637","39","676","23","653","5","15","24","2","6","29","248","13","15","7","237","52","29.10.12"
"590519","161","Сумська область","клуб, глядацький зал
вул.Нова, 2, с.Кашпури, Роменський р-н, Сумська обл., 42074","378","106","377","22","250","22","272","","0","250","22","272","7","265","3","2","17","0","1","9","108","0","3","3","104","15","29.10.12"
"590520","161","Сумська область","клуб, глядацький зал
вул.Гагаріна, 28Б, с.Левондівка, Роменський р-н, Сумська обл., 42073","174","48","164","3","124","2","126","","0","124","2","126","4","122","0","1","12","0","2","2","45","1","4","1","42","12","29.10.12"
"590521","161","Сумська область","будинок культури, хол
пл.Жовтнева, 56, с.Плавинище, Роменський р-н, Сумська обл., 42024","954","411","938","25","518","25","543","","0","518","25","543","20","523","10","3","16","1","7","22","187","15","14","13","201","34","29.10.12"
"590522","161","Сумська область","клуб, глядацький зал
вул.Конотопська, 4, с.Борозенка, Роменський р-н, Сумська обл., 42005","282","95","279","4","183","4","187","","0","183","4","187","8","179","5","3","4","1","4","10","50","3","5","3","76","15","29.10.12"
"590523","161","Сумська область","фельдшерський пункт, кабінет фельдшера
вул.Глущенка, 5А, с.Сененкове, Роменський р-н, Сумська обл., 42024","180","48","183","21","113","19","132","","0","113","19","132","2","130","3","1","2","2","3","3","39","5","0","1","53","18","29.10.12"
"590524","161","Сумська область","школа, хол
вул.Леніна, 13, с.Погожа Криниця, Роменський р-н, Сумська обл., 42071","468","129","457","56","286","53","339","","0","286","53","339","13","326","4","2","4","1","3","11","123","2","0","10","131","35","29.10.12"
"590525","161","Сумська область","будинок культури, фойє
пров.4 Центральної, 4, с.Пустовійтівка, Роменський р-н, Сумська обл., 42020","948","399","927","35","518","31","549","","0","518","31","549","18","531","6","4","6","2","4","8","134","12","13","4","211","127","30.10.12"
"590526","161","Сумська область","клуб, зала
пров.2 Шкільної, 1А, с.Вовківці, Роменський р-н, Сумська обл., 42022","294","124","293","22","149","21","170","","0","149","21","170","6","164","1","4","2","3","3","10","52","1","3","2","70","13","29.10.12"
"590527","161","Сумська область","школа, коридор
вул.Герасимівська, 1А, с.Герасимівка, Роменський р-н, Сумська обл., 42021","972","365","960","37","573","34","607","","0","573","34","607","17","590","21","4","8","2","6","10","172","5","4","11","289","58","29.10.12"
"590528","161","Сумська область","клуб, зала
пров.1 Клубної, 2, с.Правдюки, Роменський р-н, Сумська обл., 42023","228","48","229","26","154","26","180","","0","154","26","180","2","178","2","5","0","0","5","5","36","1","3","1","106","14","29.10.12"
"590529","161","Сумська область","клуб, фойє
пл.Миру, 3, с.Ріпки, Роменський р-н, Сумська обл., 42050","396","160","383","18","222","14","236","","0","222","14","236","8","228","2","1","10","1","2","6","133","4","1","3","56","9","29.10.12"
"590530","161","Сумська область","будинок культури, фойє
вул.Миру, 74, с.Мокіївка, Роменський р-н, Сумська обл., 42051","258","73","252","19","167","18","185","","0","167","18","185","9","176","4","2","3","2","2","7","58","11","2","2","67","16","28.10.12"
"590531","161","Сумська область","клуб, актовий зал
вул.Центральна, 2, с.Рогинці, Роменський р-н, Сумська обл., 42044","948","421","938","23","505","22","527","","0","505","22","527","27","500","14","6","3","1","8","22","183","9","6","6","217","25","28.10.12"
"590532","161","Сумська область","будинок культури, фойє
вул.40 річчя Перемоги, 51, с.Ведмеже, Роменський р-н, Сумська обл., 42045","348","139","340","25","184","25","209","","0","184","25","209","11","198","3","1","9","0","3","7","46","3","1","2","108","15","29.10.12"
"590533","161","Сумська область","об’єкт дозвіллевої роботи, актовий зал
вул.Миру, 7, с.Авраменкове, Роменський р-н, Сумська обл., 42032","84","28","80","1","55","1","56","","0","55","1","56","6","50","0","0","4","0","3","4","12","0","0","2","20","5","29.10.12"
"590534","161","Сумська область","навчально-виховний комплекс, коридор
вул.Мірошниченка, 8, с.Сміле, Роменський р-н, Сумська обл., 42033","738","308","714","18","416","14","430","","0","416","14","430","15","415","7","1","5","1","3","15","81","13","12","2","242","33","29.10.12"
"590535","161","Сумська область","будинок культури, танцювальний зал
вул.Леніна, 49, с.Сміле, Роменський р-н, Сумська обл., 42033","726","306","708","12","408","12","420","","0","408","12","420","9","411","4","2","6","1","8","9","114","5","6","10","210","36","29.10.12"
"590536","161","Сумська область","школа, фойє
вул.1 Травня, 55, с.Сулими, Роменський р-н, Сумська обл., 42030","312","103","302","21","191","18","209","","0","191","18","209","5","204","4","5","3","5","3","20","42","1","2","12","92","15","29.10.12"
"590537","161","Сумська область","клуб, актовий зал
вул.Кооперативна, 6, с.Коновали, Роменський р-н, Сумська обл., 42031","186","57","180","17","112","17","129","","0","112","17","129","6","123","1","0","1","0","2","13","38","2","2","9","46","9","29.10.12"
"590538","161","Сумська область","навчально-виховний комплекс, спортивний зал
вул.Федька, 55, с.Хмелів, Роменський р-н, Сумська обл., 42034","672","251","658","19","403","18","421","","0","403","18","421","14","407","9","3","17","3","9","11","125","6","4","4","170","46","28.10.12"
"590539","161","Сумська область","клуб, хол
вул.Конотопська, 9, с.Хмелів, Роменський р-н, Сумська обл., 42034","390","141","378","18","232","17","249","","0","232","17","249","9","240","5","2","14","0","6","16","76","3","2","5","100","11","28.10.12"
"590540","161","Сумська область","будинок культури, актовий зал
вул.Маяковського, 9, с.Хоминці, Роменський р-н, Сумська обл., 42060","348","101","338","30","219","28","247","","0","219","28","247","11","236","4","3","3","2","2","6","96","2","1","0","101","16","29.10.12"
"590541","161","Сумська область","об’єкт дозвіллевої роботи, центральний зал
вул.Центральна, 25, с.Локня, Роменський р-н, Сумська обл., 42061","240","85","235","42","114","41","155","","0","114","41","155","8","147","5","5","16","4","4","6","46","3","2","1","43","12","29.10.12"
"590542","161","Сумська область","об’єкт дозвіллевої роботи, танцювальний зал
вул.Миру, 6, с.Ярошівка, Роменський р-н, Сумська обл., 42084","390","90","389","56","248","52","300","","0","248","52","300","5","295","3","7","22","2","4","5","96","2","2","6","131","15","28.10.12"
"590543","161","Сумська область","Роменська виправна колонія (№56), клуб, актовий зал
вул.Чапаєва, 4, с.Перехрестівка, Роменський р-н, Сумська обл., 42073","816","21","811","142","653","142","795","","0","653","142","795","96","699","9","13","9","12","17","8","490","20","4","6","79","32","29.10.12"
"590827","161","Сумська область","Центр позашкільної освіти, актова зала
вул.Гетьмана Мазепи, 39, м.Ромни, Сумська обл., 42000","1704","790","1670","14","901","13","914","","0","901","13","914","36","878","27","11","20","6","16","39","317","13","20","11","352","46","29.10.12"
"590828","161","Сумська область","будинок культури, фойє 2
бульв.Шевченко, 6, м.Ромни, Сумська обл., 42000","1716","717","1680","25","981","18","999","","0","981","18","999","45","954","25","14","31","1","31","55","313","13","8","14","386","63","29.10.12"
"590829","161","Сумська область","школа №3, коридор 1-го поверху
бульв.Шевченко, 16, м.Ромни, Сумська обл., 42000","1788","848","1712","16","928","12","940","","0","928","12","940","44","896","15","13","29","6","11","39","291","10","14","15","407","46","29.10.12"
"590830","161","Сумська область","школа №4, спортивна зала
вул.Щучки, 2, м.Ромни, Сумська обл., 42000","1758","746","1734","42","977","35","1012","","0","977","35","1012","29","983","22","13","22","10","11","31","297","15","13","11","476","62","29.10.12"
"590831","161","Сумська область","школа №1, вестибюль, 1-й поверх
вул.Пушкіна, 15, м.Ромни, Сумська обл., 42000","1830","787","1783","25","1020","23","1043","","0","1020","23","1043","30","1013","30","12","35","11","26","39","354","16","10","25","412","43","29.10.12"
"590832","161","Сумська область","школа №2, вестибюль
вул.Соборна, 33, м.Ромни, Сумська обл., 42000","1782","754","1742","30","1001","27","1028","","0","1001","27","1028","40","988","38","13","21","4","24","39","302","15","29","21","414","68","29.10.12"
