"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Балабан
Наталія
Володимирівна","Білоус
Василь
Васильович","Білоус
Інна
Василівна","Благодир
Андрій
Валерійович","Гінзбург
Ольга
Петрівна","Демидко
Віталій
Олегович","Молоток
Ігор
Федорович","Нога
Микола
Олександрович","Нога
Микола
Петрович","Петько
Сергій
Валентинович","Портянко
Максим
Андрійович","Ружина
Анастасія
Олегівна","Рябченко
Олег
Миколайович","Стриженко
Микола
Миколайович","Талала
Сергій
Миколайович","Ходькова
Аліна
Миколаївна","Яровий
Андрій
Михайлович","Дата підписання протоколу"
"590860","160","Сумська область","ТОВ ""Будівельно-монтажне управління-3"", фойє, 3-й поверх
вул.Депутатська, 1, м.Шостка, Сумська обл., 41100","1068","442","1061","10","617","9","626","","0","617","9","626","18","608","4","1","1","0","77","6","238","27","135","0","2","0","61","0","50","5","1","29.10.12"
"590861","160","Сумська область","школа №7, спортивна зала, 1-й поверх
вул.Матросова, 1, м.Шостка, Сумська обл., 41100","1752","796","1715","32","929","27","956","","0","929","27","956","22","934","1","0","4","2","74","2","367","40","249","2","0","3","82","1","72","33","2","29.10.12"
"590862","160","Сумська область","центр культури і дозвілля, зала, 2-й поверх
вул.Леніна, 13, м.Шостка, Сумська обл., 41100","2404","1168","2375","19","1223","13","1236","","0","1223","13","1236","50","1186","2","1","4","1","104","4","450","51","326","1","6","0","104","1","116","15","0","29.10.12"
"590863","160","Сумська область","центральна міська бібліотека, фойє
вул.Миру, 11, м.Шостка, Сумська обл., 41100","1316","547","1297","13","757","12","769","","0","757","12","769","22","747","4","1","2","1","46","3","298","31","194","0","0","4","63","0","88","7","5","29.10.12"
"590864","160","Сумська область","школа №9, каб.5
вул.Сумська, 2, м.Шостка, Сумська обл., 41103","2096","1069","2072","22","1007","20","1027","","0","1007","20","1027","40","987","2","1","2","4","55","2","446","39","204","0","1","3","96","1","118","11","2","28.10.12"
"590865","160","Сумська область","Шосткинське вище професійне училище, фойє, 2-й поверх
вул.Воронізька, 38, м.Шостка, Сумська обл., 41103","2332","1162","2294","8","1164","6","1170","","0","1164","6","1170","26","1144","3","2","0","1","53","2","647","45","222","1","1","2","81","1","67","13","3","29.10.12"
"590866","160","Сумська область","Шосткинська філія ""Райавтодор"", фойє, 2-й поверх
вул.Паризької Комуни, 28, м.Шостка, Сумська обл., 41103","1556","819","1531","13","725","12","737","","0","725","12","737","20","717","0","0","1","1","54","0","354","28","145","2","2","1","51","0","68","8","2","29.10.12"
"590867","160","Сумська область","Шосткинський хіміко-технологічний коледж ім.І.Кожедуба, фойє, 2-й поверх
вул.Інститутська, 1, м.Шостка, Сумська обл., 41100","1852","920","1857","10","922","10","932","","0","922","10","932","23","909","3","0","2","1","54","3","393","36","212","0","1","0","89","3","99","11","2","01.11.12"
"590868","160","Сумська область","школа №5, фойє, 1-й поверх
вул.Марата, 24А, м.Шостка, Сумська обл., 41100","1928","803","1905","11","1116","9","1125","","0","1116","9","1125","29","1096","3","1","4","1","104","6","419","41","265","0","2","2","92","3","144","7","2","29.10.12"
"590869","160","Сумська область","центр естетичного виховання, фойє, 2-й поверх, ліворуч
вул.К.Маркса, 38, м.Шостка, Сумська обл., 41100","2340","1218","2303","28","1097","24","1121","","1","1097","24","1121","28","1093","2","0","3","2","92","2","427","50","290","0","1","1","100","0","112","8","3","29.10.12"
"590870","160","Сумська область","центр естетичного виховання, зала, 2-й поверх, праворуч
вул.К.Маркса, 38, м.Шостка, Сумська обл., 41100","1796","819","1763","24","955","22","977","","0","955","22","977","23","954","0","2","2","1","64","1","335","57","273","2","2","2","106","3","85","15","4","29.10.12"
"590871","160","Сумська область","центр естетичного виховання, танцзала, 1-й поверх
вул.К.Маркса, 38, м.Шостка, Сумська обл., 41100","1452","735","1415","15","705","12","717","","0","705","12","717","15","702","0","0","2","0","62","3","287","30","157","0","2","2","70","0","69","15","3","28.10.12"
"590872","160","Сумська область","школа №11, актова зала, 2-й поверх
вул.К.Маркса, 70, м.Шостка, Сумська обл., 41100","1892","863","1862","15","1019","10","1029","","0","1019","10","1029","33","996","5","0","3","0","65","5","396","44","249","0","1","1","115","2","91","16","3","29.10.12"
"590873","160","Сумська область","Шосткинське медичне училище, актова зала
вул.Марата, 43, м.Шостка, Сумська обл., 41100","2244","1126","2203","24","1103","15","1118","","0","1103","15","1118","29","1089","1","3","1","1","94","3","441","42","258","1","5","5","98","0","124","9","3","29.10.12"
"590874","160","Сумська область","Шосткинський професійний ліцей, актова зала
вул.Робоча, 1, м.Шостка, Сумська обл., 41100","2252","989","2215","12","1253","10","1263","","0","1253","10","1263","41","1222","3","3","5","0","111","1","549","45","265","3","2","3","89","2","130","8","3","29.10.12"
"590875","160","Сумська область","ТОВ ""Харківенергоремонт"", вестибюль, 2-й поверх
вул.Онупрієнка, 12, м.Шостка, Сумська обл., 41106","2348","1168","2308","12","1171","9","1180","","0","1171","9","1180","34","1146","2","2","3","4","89","1","526","35","252","1","1","1","106","2","103","13","5","29.10.12"
"590876","160","Сумська область","Укртелеком, цех телекомунікаційних послуг №16, вестибюль, 3-й поверх
вул.Онупрієнка, 13, м.Шостка, Сумська обл., 41106","2424","1137","2394","10","1277","10","1287","","0","1277","10","1287","33","1254","1","0","0","2","94","10","496","52","303","0","2","1","121","2","152","12","6","29.10.12"
"590877","160","Сумська область","школа №6, фойє
вул.Піонерська, 6, м.Шостка, Сумська обл., 41104","1868","934","1855","8","928","6","934","","0","928","6","934","29","905","1","1","5","1","55","13","429","40","204","1","3","4","61","1","71","7","8","29.10.12"
"590878","160","Сумська область","школа №8, актова зала
вул.Бабушкіна, 29, м.Шостка, Сумська обл., 41109","2396","1145","2360","30","1229","22","1251","","0","1229","22","1251","43","1208","4","2","4","2","121","3","474","60","379","4","3","3","58","2","73","9","7","29.10.12"
"590879","160","Сумська область","БК ім.Куйбишева, фойє, 1-й поверх
вул.Орджонікідзе, 2, м.Шостка, Сумська обл., 41101","1936","985","1905","30","925","26","951","","0","925","26","951","22","929","2","0","3","1","102","3","342","52","312","1","1","0","60","1","43","4","2","29.10.12"
"590880","160","Сумська область","школа №4, фойє, 2-й поверх
вул.Куйбишева, 30, м.Шостка, Сумська обл., 41101","1624","731","1601","21","875","18","893","","0","875","18","893","33","860","2","0","0","1","76","1","373","48","252","0","1","0","57","2","43","3","1","29.10.12"
"590881","160","Сумська область","гуртожиток №3, кімната відпочинку, 1-й поверх
вул.Орджонікідзе, 8, м.Шостка, Сумська обл., 41101","1488","756","1484","36","699","33","732","","0","699","33","732","27","705","1","1","3","1","50","4","251","45","247","0","1","2","50","0","43","3","3","29.10.12"
"590882","160","Сумська область","профілакторій ""Лісний"", їдальня
пров.Красний, 2, м.Шостка, Сумська обл., 41109","2440","1051","2411","22","1370","19","1389","","0","1370","19","1389","47","1342","1","0","8","0","147","6","599","80","319","1","2","1","107","4","53","8","6","29.10.12"
"590883","160","Сумська область","ЦРЛ, фойє
вул.Щедріна, 1, м.Шостка, Сумська обл., 41100","184","96","95","64","31","57","88","","0","31","57","88","1","87","1","0","0","0","13","0","16","11","34","1","1","0","2","0","4","3","1","29.10.12"
