"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Козловський
Анатолій
Михайлович","Корнацький
Аркадій
Олексійович","Пєшехонов
Анатолій
Анатолійович","Романюк
Анатолій
Сергійович","Терьохін
Сергій
Євгенович","Толубко
Володимир
Борисович","Травянко
Віталій
Іванович","Дата підписання протоколу"
"480586","132","Миколаївська область","школа, фойє
вул.Центральна, 13, с.Кам’яна Балка, Первомайський р-н, Миколаївська обл., 55233","472","160","469","27","286","26","312","","0","286","26","312","10","302","3","258","0","1","1","3","36","30.10.12"
"480587","132","Миколаївська область","школа, спортивний зал
вул.Шкільна, 1, с-ще Кам’яний Міст, Первомайський р-н, Миколаївська обл., 55231","1080","531","1076","77","481","68","549","","0","481","68","549","9","540","33","274","3","23","0","28","179","29.10.12"
"480588","132","Миколаївська область","школа, актовий зал
вул.Радянська, 1, с.Катеринка, Первомайський р-н, Миколаївська обл., 55263","664","343","652","69","266","55","321","","0","266","55","321","8","313","21","160","6","10","1","20","95","29.10.12"
"480589","132","Миколаївська область","сільський клуб, фойє
вул.Первомайська, 10, с.Тарасівка, Первомайський р-н, Миколаївська обл., 55244","264","93","259","11","161","10","171","","0","161","10","171","2","169","17","67","6","4","4","5","66","29.10.12"
"480590","132","Миколаївська область","сільський клуб, фойє
вул.Степова, 3А, с.Лозуватка, Первомайський р-н, Миколаївська обл., 55244","144","62","138","6","77","5","82","","0","77","5","82","2","80","8","22","0","11","0","5","34","29.10.12"
"480591","132","Миколаївська область","сільський клуб, фойє
вул.Київська, 86, с.Бандурка, Первомайський р-н, Миколаївська обл., 55247","160","63","156","7","90","7","97","","0","90","7","97","4","93","12","22","1","9","4","10","35","29.10.12"
"480592","132","Миколаївська область","сільський клуб, фойє
вул.50-річчя Жовтня, 50, с-ще Новоолександрівка, Первомайський р-н, Миколаївська обл., 55244","104","43","97","18","47","14","61","","0","47","14","61","4","57","3","28","1","3","0","3","19","29.10.12"
"480593","132","Миколаївська область","сільський клуб, фойє
вул.Антонова, 9, с.Чаусове, Первомайський р-н, Миколаївська обл., 55234","472","182","470","20","271","19","290","","0","271","19","290","9","281","14","144","4","11","4","17","87","29.10.12"
"480674","132","Миколаївська область","гімназія, актова зала
вул.Дзержинського, 20, м.Первомайськ, Миколаївська обл., 55200","2040","1000","1995","42","1005","35","1040","","0","1005","35","1040","19","1021","81","527","5","7","9","32","360","29.10.12"
"480675","132","Миколаївська область","будинок культури, фойє
вул.Грушевського, 1, м.Первомайськ, Миколаївська обл., 55200","1768","826","1736","32","916","26","942","","0","916","26","942","28","914","63","428","9","8","11","12","383","29.10.12"
"480676","132","Миколаївська область","медичне училище, актова зала
вул.Грушевського, 50, м.Первомайськ, Миколаївської обл., 55200","768","396","762","13","359","13","372","","0","359","13","372","10","362","35","205","1","10","4","2","105","29.10.12"
"480677","132","Миколаївська область","Первомайський РЕМ, актова зала
вул.Пушкіна, 5, м.Первомайськ, Миколаївської обл., 55200","1008","591","1011","14","405","12","417","","0","405","12","417","13","404","21","213","1","6","3","15","145","29.10.12"
"480678","132","Миколаївська область","школа №1, спортивна зала
вул.Лейтенанта Шмідта, 25, м.Первомайськ, Миколаївська обл., 55200","1000","537","989","21","444","19","463","","0","444","19","463","11","452","33","236","3","7","2","8","163","29.10.12"
"480679","132","Миколаївська область","Одеський університет імені І.І.Мечникова, актова зала
вул.40 років Перемоги, 4, м.Первомайськ, Миколаївська обл., 55200","2224","1132","2197","22","1078","14","1092","","0","1078","14","1092","30","1062","57","365","5","16","7","40","572","29.10.12"
"480680","132","Миколаївська область","АТВТ ""Первомайсьдизельмаш"", їдальня
вул.Гагаріна, 17, м.Первомайськ, Миколаївська обл., 55200","2248","1208","2235","28","1015","25","1040","","0","1015","25","1040","36","1004","79","466","5","8","8","12","426","29.10.12"
"480681","132","Миколаївська область","школа №3, спортивна зала
вул.Урицького, 155, м.Первомайськ, Миколаївська обл., 55200","1880","1108","1848","38","738","34","772","","0","738","34","772","30","742","78","306","7","9","6","4","332","29.10.12"
"480682","132","Миколаївська область","школа №7, спортивна зала
вул.1 Травня, 37, м.Первомайськ, Миколаївська обл., 55200","1832","1001","1819","24","811","20","831","","0","811","20","831","25","806","63","433","2","23","11","5","269","29.10.12"
"480683","132","Миколаївська область","школа №16, спортивна зала
вул.Одеська, 109, м.Первомайськ, Миколаївська обл., 55200","2112","1125","2101","10","978","9","987","","0","978","9","987","33","954","51","412","6","4","7","36","438","29.10.12"
"480684","132","Миколаївська область","школа №16, актова зала
вул.Одеська, 109, м.Первомайськ, Миколаївська обл., 55200","1808","1006","1781","16","789","13","802","","0","789","13","802","28","774","40","301","4","3","7","7","412","29.10.12"
"480685","132","Миколаївська область","школа №8, спортивна зала
вул.20 років Жовтня, 103, м.Первомайськ, Миколаївська обл., 55200","1704","929","1702","51","732","43","775","","0","732","43","775","14","761","75","310","4","4","7","5","356","29.10.12"
"480686","132","Миколаївська область","школа №9, фойє
вул.Юності, 1, м.Первомайськ, Миколаївська обл., 55200","1216","726","1201","25","471","19","490","","0","471","19","490","15","475","23","258","5","23","4","7","155","29.10.12"
"480687","132","Миколаївська область","школа №9, актова зала
вул.Юності, 1, м.Первомайськ, Миколаївська обл., 55200","1432","728","1416","31","678","26","704","","0","678","26","704","14","690","41","347","2","2","3","22","273","29.10.12"
"480688","132","Миколаївська область","спеціальна школа-інтернат, спортивна зала
вул.Червонофлотська, 25, м.Первомайськ, Миколаївська обл., 55200","1680","913","1644","44","731","36","767","","0","731","36","767","27","740","45","365","9","3","5","33","280","29.10.12"
"480689","132","Миколаївська область","приватний будинок, к.2
вул.З.Космодем’янської, 55Б, м.Первомайськ, Миколаївська обл., 55200","1312","809","1302","62","457","46","503","","0","457","46","503","22","481","65","231","4","9","7","9","156","29.10.12"
"480690","132","Миколаївська область","школа №17, фойє
вул.Шолом Алейхема, 56, м.Первомайськ, Миколаївська обл., 55200","1984","1017","1961","56","924","43","967","","0","924","43","967","32","935","77","427","8","1","10","16","396","29.10.12"
"480691","132","Миколаївська область","школа-сад №14, актова зала
вул.Поповича, 60, м.Первомайськ, Миколаївська обл., 55200","544","272","537","19","253","19","272","","0","253","19","272","5","267","7","80","3","18","4","3","152","29.10.12"
"480692","132","Миколаївська область","ВАТ ПМК 226, їдальня
вул.9 Січня, 78, м.Первомайськ, Миколаївська обл., 55200","1424","778","1403","40","609","37","646","","0","609","37","646","14","632","51","308","0","22","9","58","184","29.10.12"
"480693","132","Миколаївська область","школа №12, спортивна зала
вул.Чкалова, 19, м.Первомайськ, Миколаївська обл., 55200","1328","761","1313","44","541","26","567","","0","541","26","567","17","550","40","282","5","30","5","3","185","29.10.12"
"480694","132","Миколаївська область","школа №12, фойє
вул.Чкалова, 19, м.Первомайськ, Миколаївська обл., 55200","768","408","774","17","344","16","360","","0","344","16","360","12","348","35","178","1","8","2","5","119","29.10.12"
"480695","132","Миколаївська область","міська лікарня, актова зала
вул.Трудової Слави, 13, м.Первомайськ, Миколаївська обл., 55200","2056","1126","2035","55","883","47","930","","0","883","47","930","44","886","98","359","4","39","10","45","331","29.10.12"
"480696","132","Миколаївська область","школа №4, актова зала
вул.Київська, 76, м.Первомайськ, Миколаївська обл., 55200","1872","1004","1838","25","844","24","868","","0","844","24","868","34","834","83","311","13","38","6","23","360","29.10.12"
"480697","132","Миколаївська область","ВАТ ""Первомайськавтотранс"", актова зала
вул.Загородня, 48, м.Первомайськ, Миколаївська обл., 55200","2216","1215","2182","48","962","39","1001","","0","962","39","1001","38","963","88","500","4","2","14","35","320","29.10.12"
"480698","132","Миколаївська область","АТЗТ ""Санта-Україна"", будинок культури
вул.Андрія Чернецького, 108, м.Первомайськ, Миколаївська обл., 55200","1432","781","1415","21","636","15","651","","0","636","15","651","23","628","66","275","1","32","6","21","227","29.10.12"
"480699","132","Миколаївська область","школа №6, спортивна зала
вул.П.Тичини, 50, м.Первомайськ, Миколаївська обл., 55200","1328","732","1318","30","567","29","596","","0","567","29","596","19","577","69","230","5","26","8","18","221","29.10.12"
"480700","132","Миколаївська область","дитячий навчальний заклад №13, актова зала
вул.Комінтерна, 26, м.Первомайськ, Миколаївська обл., 55200","1456","829","1441","28","605","22","627","","0","605","22","627","13","614","71","278","7","20","3","8","227","30.10.12"
"480701","132","Миколаївська область","ПТУ №22, актова зала
вул.Корабельна, 20/2, м.Первомайськ, Миколаївська обл., 55200","2144","1246","2091","20","884","14","898","","0","884","14","898","24","874","71","459","3","23","4","18","296","29.10.12"
"480702","132","Миколаївська область","школа №5, фойє
вул.Корабельна, 4А, м.Первомайськ, Миколаївська обл., 55200","2256","1268","2203","13","979","9","988","","0","979","9","988","28","960","63","451","6","55","5","28","352","29.10.12"
"480703","132","Миколаївська область","БКіТ ""Фрегат"", фойє
вул.Корабельна, м.Первомайськ, Миколаївська обл., 55200","2376","1107","2352","27","1255","14","1269","","0","1255","14","1269","48","1221","126","626","6","63","9","23","368","29.10.12"
"480704","132","Миколаївська область","школа №15, актова зала
вул.Коротченка, 18, м.Первомайськ, Миколаївська обл., 55200","2448","1231","2407","11","1208","9","1217","","0","1208","9","1217","36","1181","57","462","4","85","8","50","515","29.10.12"
"480705","132","Миколаївська область","школа №15, спортивна зала
вул.Коротченка, 18, м.Первомайськ, Миколаївська обл., 55200","2448","1165","2452","18","1268","15","1283","","0","1268","15","1283","22","1261","88","331","15","116","23","16","672","29.10.12"
"480706","132","Миколаївська область","""Комунбудтехсервіс"", актова зала
вул.Достоєвського, 14, м.Первомайськ, Миколаївська обл., 55200","2504","1322","2473","15","1171","11","1182","","0","1171","11","1182","18","1164","45","448","4","45","5","223","394","29.10.12"
"480707","132","Миколаївська область","міська лікарня, дитяче відділення
вул.Толбухіна, 17, м.Первомайськ, Миколаївська обл., 55200","56","39","27","19","3","14","17","","0","3","14","17","0","17","5","5","0","2","0","2","3","29.10.12"
"480708","132","Миколаївська область","пологовий будинок, к.1
вул.Червонофлотська, 43, м.Первомайськ, Миколаївська обл., 55200","32","15","17","1","16","1","17","","0","16","1","17","0","17","2","9","0","1","0","1","4","29.10.12"
"480709","132","Миколаївська область","первомайська районна лікарня, актова зала
вул.Луначарського, 28А, м.Первомайськ, Миколаївська обл., 55200","64","39","28","22","5","20","25","","0","5","20","25","0","25","2","11","0","3","1","3","5","29.10.12"
