"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Власюк
Віктор
Дмитрович","Гержов
Юрій
Іванович","Іванченко
Василь
Миколайович","Печерський
Володимир
Анатолійович","Стулін
Андрій
Миколайович","Телятник
Юрій
Васильович","Чупрін
Сергій
Анатолійович","Шелех
Петро
Валентинович","Дата підписання протоколу"
"480289","131","Миколаївська область","сільська бібліотека, к.2
вул.Шкільна, 3, с.Великосербулівка, Єланецький р-н, Миколаївська обл., 55530","488","190","486","9","290","8","298","","0","290","8","298","15","283","19","163","8","5","23","36","14","15","28.10.12"
"480290","131","Миколаївська область","сільська рада, обрядова кімната
вул.Леніна, 20, с.Водяно-Лорине, Єланецький р-н, Миколаївська обл., 55560","376","132","370","24","221","23","244","","0","221","23","244","4","240","7","74","11","2","58","37","20","31","28.10.12"
"480291","131","Миколаївська область","ФАП, к.2
вул.Первомайська, 10, с.Семенівка, Єланецький р-н, Миколаївська обл., 55560","104","39","102","5","60","5","65","","0","60","5","65","4","61","7","14","4","0","18","15","1","2","29.10.12"
"480292","131","Миколаївська область","сільська рада, обрядова кімната
вул.Шкільна, 45, с.Возсіятське, Єланецький р-н, Миколаївська обл., 55542","1464","787","1451","63","617","60","677","","0","617","60","677","37","640","47","204","23","12","172","84","44","54","31.10.12"
"480293","131","Миколаївська область","сільська рада, обрядова кімната
пров.Янтарний, 6, с.Калинівка, Єланецький р-н, Миколаївська обл., 55553","736","334","716","34","374","28","402","","0","374","28","402","24","378","20","157","13","1","56","77","38","16","29.10.12"
"480294","131","Миколаївська область","школа, вестибюль
вул.Шкільна, 6, с.Новоолександрівка, Єланецький р-н, Миколаївська обл., 55555","384","185","374","16","184","15","199","","0","184","15","199","14","185","13","67","6","4","27","28","31","9","29.10.12"
"480295","131","Миколаївська область","школа, актовий зал
вул.Леніна, 4, с.Куйбишевка, Єланецький р-н, Миколаївська обл., 55534","696","314","692","50","338","44","382","","0","338","44","382","23","359","16","201","14","4","28","54","23","19","29.10.12"
"480296","131","Миколаївська область","школа, актовий зал
вул.Шкільна, 9, с.Нововасилівка, Єланецький р-н, Миколаївська обл., 55520","312","93","310","22","199","20","219","","0","199","20","219","7","212","15","116","11","2","18","31","10","9","28.10.12"
"480297","131","Миколаївська область","сільський клуб, актовий зал
вул.Шевченка, 18, с.Федоро-Михайлівка, Єланецький р-н, Миколаївська обл., 55520","112","27","100","8","77","8","85","","0","77","8","85","3","82","6","35","5","2","7","11","5","11","28.10.12"
"480298","131","Миколаївська область","школа, фойє, 1-й поверх
вул.Леніна, 55, с.Малодворянка, Єланецький р-н, Миколаївська обл., 55523","336","136","335","13","187","13","200","","0","187","13","200","10","190","8","89","7","2","11","19","20","34","29.10.12"
"480299","131","Миколаївська область","школа, спортивний зал
вул.Шкільна, 22, с.Малоукраїнка, Єланецький р-н, Миколаївська обл., 55540","456","181","447","34","245","30","275","","0","245","30","275","6","269","15","128","13","2","14","53","29","15","28.10.12"
"480300","131","Миколаївська область","школа, вестибюль
вул.Розкидного, 3, с.Маложенівка, Єланецький р-н, Миколаївська обл., 55550","464","172","456","37","263","29","292","","0","263","29","292","21","271","34","98","10","5","7","64","26","27","28.10.12"
"480301","131","Миколаївська область","дитячий садок, ігрова кімната
вул.Центральна, 15, с.Кам’янка, Єланецький р-н, Миколаївська обл., 55550","160","42","153","16","103","15","118","","0","103","15","118","8","110","8","51","4","3","7","18","7","12","29.10.12"
"480302","131","Миколаївська область","школа, фойє
вул.Садова, 3, с.Ольгопіль, Єланецький р-н, Миколаївська обл., 55525","400","164","388","18","218","18","236","","0","218","18","236","9","227","16","86","6","10","37","30","11","31","28.10.12"
"480303","131","Миколаївська область","будинок культури, дискотечний зал
вул.Спортивна, 20, с.Ясногородка, Єланецький р-н, Миколаївська обл., 55510","400","147","395","15","238","15","253","","0","238","15","253","7","246","13","67","5","1","65","36","45","14","29.10.12"
"480304","131","Миколаївська область","сільський клуб, к.2
вул.Шевченка, 11, с.Гражданка, Єланецький р-н, Миколаївська обл., 55510","80","15","73","2","63","2","65","","0","63","2","65","3","62","3","24","1","0","15","12","5","2","29.10.12"
"480305","131","Миколаївська область","сільський клуб, фойє
вул.1-го Травня, 34, с.Крутоярка, Єланецький р-н, Миколаївська обл., 55513","168","55","163","10","103","10","113","","0","103","10","113","5","108","7","37","4","1","13","24","13","9","28.10.12"
"480306","131","Миколаївська область","сільський клуб, актовий зал
вул.Інтернаціональна, 26, с.Півні, Єланецький р-н, Миколаївська обл., 55510","56","8","56","3","46","2","48","","0","46","2","48","1","47","2","25","0","0","6","5","6","3","28.10.12"
"480307","131","Миколаївська область","лікарня, адміністративне приміщення №2
вул.Горького, 55, смт Єланець, Єланецький р-н, Миколаївська обл., 55500","104","82","31","1","21","1","22","","0","21","1","22","0","22","1","9","1","0","3","2","3","3","28.10.12"
"480647","131","Миколаївська область","загальноосвітня школа №3, їдальня
вул.Тітова, 4, м.Вознесенськ, Миколаївська обл., 56500","1608","882","1593","45","692","34","726","","0","692","34","726","17","709","13","458","11","3","74","69","40","41","29.10.12"
"480648","131","Миколаївська область","загальноосвітня школа №3 - вхід з вул.Тітова, фойє
вул.Тітова, 4, м.Вознесенськ, Миколаївська обл., 56500","1512","822","1500","38","659","31","690","","0","659","31","690","14","676","11","411","3","0","102","63","59","27","29.10.12"
"480649","131","Миколаївська область","професійний аграрний ліцей, спортивна зала
вул.Танасчишина, 20, м.Вознесенськ, Миколаївська обл., 56500","1840","1021","1834","83","749","70","819","","0","749","70","819","20","799","23","532","9","6","95","60","56","18","29.10.12"
"480650","131","Миколаївська область","гімназія №1, спортивна зала
вул.Шевченка, 2, м.Вознесенськ, Миколаївська обл., 56500","1848","849","1818","56","957","42","999","","0","957","42","999","28","971","24","551","18","6","152","105","77","38","29.10.12"
"480651","131","Миколаївська область","загальноосвітня школа №7, спортивна зала
вул.Шевченка, 14, м.Вознесенськ, Миколаївська обл., 56500","2344","1173","2300","81","1113","58","1171","","0","1113","58","1171","27","1144","40","654","18","6","166","128","83","49","29.10.12"
"480652","131","Миколаївська область","ВАТ ""Вознесенськавтотранс"", фойє
вул.Жовтневої революції, 182, м.Вознесенськ, Миколаївська обл., 56500","1344","661","1325","41","650","33","683","","0","650","33","683","20","663","27","398","11","5","87","43","63","29","29.10.12"
"480653","131","Миколаївська область","загальноосвітня школа №8, вхід з вул.Слободянюка, мала спортивна зала
вул.Сухомлинського, 8, м.Вознесенськ, Миколаївська обл., 56500","1704","771","1725","184","755","178","933","","0","755","178","933","24","909","30","591","9","5","140","55","55","24","28.10.12"
"480654","131","Миколаївська область","загальноосвітня школа №8, фойє
вул.Сухомлинського, 8, м.Вознесенськ, Миколаївська обл., 56500","1792","818","1791","33","950","24","974","","0","950","24","974","20","954","40","551","7","8","158","66","88","36","29.10.12"
"480655","131","Миколаївська область","загальноосвітня школа №6, спортивна зала
вул.60-років Жовтня, 7, м.Вознесенськ, Миколаївська обл., 56500","2128","1021","2097","22","1092","15","1107","","0","1092","15","1107","36","1071","51","492","28","8","251","99","95","47","31.10.12"
"480656","131","Миколаївська область","станція юних техніків, фойє
вул.Чапаєва, 20, м.Вознесенськ, Миколаївська обл., 56500","2184","1207","2165","69","912","65","977","","0","912","65","977","36","941","30","559","19","8","112","116","68","29","29.10.12"
"480657","131","Миколаївська область","міський будинок культури, фойє
вул.Кірова, 22, м.Вознесенськ, Миколаївська обл., 56500","1360","703","1351","51","619","38","657","","0","619","38","657","14","643","25","387","10","2","95","58","32","34","29.10.12"
"480658","131","Миколаївська область","терцентр соц. обслуговування, актова зала
вул.Щорса, 3, м.Вознесенськ, Миколаївська обл., 56500","1792","855","1787","46","905","32","937","","0","905","32","937","27","910","31","519","18","5","119","96","75","47","29.10.12"
"480659","131","Миколаївська область","Вознесенський коледж Миколаївського державного аграрного університету, учбовий корпус, фойє
вул.Леніна, 100, м.Вознесенськ, Миколаївська обл., 56500","1472","736","1445","52","691","45","736","","0","691","45","736","24","712","29","393","12","2","106","93","46","31","31.10.12"
"480660","131","Миколаївська область","загальноосвітня школа №4, спортивна зала
вул.Кооперативна, 1, м.Вознесенськ, Миколаївська обл., 56500","1816","838","1799","44","942","36","978","","0","942","36","978","36","942","28","578","17","4","134","60","72","49","29.10.12"
"480661","131","Миколаївська область","адмінбудинок ПСП ""Прогресс"", фойє
вул.Папаніна, 53, м.Вознесенськ, Миколаївська обл., 56500","1992","948","1971","58","997","47","1044","","0","997","47","1044","35","1009","50","609","18","4","115","92","82","39","29.10.12"
"480662","131","Миколаївська область","загальноосвітня школа №5, спортивна зала
вул.Матросова, 205, м.Вознесенськ, Миколаївська обл., 56500","1848","923","1838","42","898","27","925","","0","898","27","925","41","884","39","563","14","9","117","54","50","38","29.10.12"
"480663","131","Миколаївська область","буд. культури АТ ""Зелений Гай"", спортивна зала
Центральна Садиба АТ ""Зелений Гай"", м.Вознесенськ, Миколаївська обл., 56500","1752","764","1734","57","936","52","988","","0","936","52","988","32","956","41","549","16","6","132","82","88","42","29.10.12"
"480664","131","Миколаївська область","поліклініка Центральної районної лікарні, фойє
вул.228 стрілкової дивізії, 26, м.Вознесенськ, Миколаївська обл., 56500","1720","791","1728","31","903","26","929","","0","903","26","929","27","902","39","518","13","3","138","79","59","53","29.10.12"
"480665","131","Миколаївська область","Клуб мікрорайону Пряме, актова зала
Миколаєва, 2А, м.Вознесенськ, Миколаївська обл., 56500","632","292","634","6","334","6","340","","0","334","6","340","15","325","13","231","7","1","27","16","17","13","28.10.12"
"480666","131","Миколаївська область","виправна колонія №72, актова зала
вул.Жовтневої революції, 300","808","8","800","0","800","0","800","","0","800","0","800","57","743","45","564","27","10","38","19","22","18","29.10.12"
"480710","131","Миколаївська область","ККСС ""Олімп"", фойє, 1-й поверх
вул.Спортивна, 2, м.Южноукраїнськ, Миколаївська обл., 55000","1840","1094","1847","12","736","10","746","","0","736","10","746","36","710","66","215","18","8","153","120","109","21","29.10.12"
"480711","131","Миколаївська область","школа №1, фойє, 1-й поверх
бульв.Курчатова, 8, м.Южноукраїнськ, Миколаївська обл., 55000","1968","985","1950","6","979","4","983","","0","979","4","983","46","937","62","228","15","8","217","192","191","24","29.10.12"
"480712","131","Миколаївська область","школа №1, фойє, 1-й поверх
бульв.Курчатова, 8, м.Южноукраїнськ, Миколаївська обл., 55000","1872","917","1870","11","946","9","955","","0","946","9","955","28","927","45","240","23","11","217","200","161","30","29.10.12"
"480713","131","Миколаївська область","школа №2, фойє, 1-й поверх
бульв.Шкільний, 3, м.Южноукраїнськ, Миколаївська обл., 55000","1768","904","1745","12","854","10","864","","0","854","10","864","33","831","54","219","13","6","207","164","148","20","29.10.12"
"480714","131","Миколаївська область","школа №2, фойє, 1-й поверх
бульв.Шкільний, 3, м.Южноукраїнськ, Миколаївська обл., 55000","1880","918","1858","16","947","15","962","","0","947","15","962","39","923","56","238","13","13","185","244","147","27","29.10.12"
"480715","131","Миколаївська область","ПК ""Енергетик"", фойє, 1-й поверх
просп.Леніна, 10, м.Южноукраїнськ, Миколаївська обл., 55000","1864","1024","1843","10","833","7","840","","0","833","7","840","33","807","33","197","11","6","200","157","182","21","29.10.12"
"480716","131","Миколаївська область","ПК ""Енергетик"", фойє, 1-й поверх
просп.Леніна, 10, м.Южноукраїнськ, Миколаївська обл., 55000","1808","921","1792","13","875","12","887","","0","875","12","887","22","865","42","224","15","7","220","190","139","28","29.10.12"
"480717","131","Миколаївська область","адміністративно-виробнича будівля, 2-й поверх
вул.Дружби Народів, 23, м.Южноукраїнськ, Миколаївська обл., 55000","1696","859","1679","7","833","4","837","","0","833","4","837","53","784","30","211","20","10","177","152","160","24","29.10.12"
"480718","131","Миколаївська область","школа №3, фойє, 1-й поверх
бульв.Цвіточній, 5, м.Южноукраїнськ, Миколаївська обл., 55000","1928","987","1909","6","935","6","941","","0","935","6","941","36","905","41","258","18","6","199","195","159","29","29.10.12"
"480719","131","Миколаївська область","школа №3, фойє, 1-й поверх
бульв.Цвіточний, 5, м.Южноукраїнськ, Миколаївська обл., 55000","1752","922","1724","5","827","3","830","","0","827","3","830","41","789","41","228","11","13","186","155","135","20","29.10.12"
"480720","131","Миколаївська область","школа №4, фойє, 1-й поверх
просп.Леніна, 16, м.Южноукраїнськ, Миколаївська обл., 55000","1808","924","1785","11","877","7","884","","0","877","7","884","40","844","47","206","14","11","231","143","164","28","29.10.12"
"480721","131","Миколаївська область","школа №4, фойє, 1-й поверх
просп.Леніна, 16, м.Южноукраїнськ, Миколаївська обл., 55000","1776","957","1763","10","813","6","819","","0","813","6","819","43","776","43","177","20","9","198","142","171","16","29.10.12"
"480722","131","Миколаївська область","ІКЦ ""Імпульс"", фойє, 1-й поверх
бульв.Шевченка, 8А, м.Южноукраїнськ, Миколаївська обл., 55000","1784","944","1763","11","831","9","840","","0","831","9","840","36","804","47","216","15","17","203","127","151","28","29.10.12"
"480723","131","Миколаївська область","блок-вставка гуртожитку №9, фойє
вул.Дружби Народів, 54, м.Южноукраїнськ, Миколаївська обл., 55000","1736","927","1734","5","804","5","809","","0","804","5","809","35","774","44","219","12","10","182","137","156","14","29.10.12"
"480724","131","Миколаївська область","професійний машино-будівний ліцей, 2-й поверх
вул.Молодіжна, 9, м.Южноукраїнськ, Миколаївська обл., 55000","1728","964","1711","11","757","7","764","","0","757","7","764","40","724","33","150","9","13","195","160","148","16","29.10.12"
"480725","131","Миколаївська область","професійний машино-будівний ліцей, 1-й поверх
вул.Молодіжна, 9, м.Южноукраїнськ, Миколаївська обл., 55000","1752","823","1739","11","921","8","929","","0","921","8","929","39","890","50","209","9","16","224","175","177","30","29.10.12"
"480726","131","Миколаївська область","центр дитячої та юнацької творчості, виставкова зала
вул.Набережна Енергетиків, 41, м.Южноукраїнськ, Миколаївська обл., 55000","1872","1068","1849","9","797","7","804","","0","797","7","804","34","770","43","192","15","12","194","145","149","20","29.10.12"
"480727","131","Миколаївська область","центр дитячої та юнацької творчості, актова зала
вул.Набережна Енергетиків, 41, м.Южноукраїнськ, Миколаївська обл., 55000","1896","997","1890","6","895","4","899","","0","895","4","899","36","863","52","216","12","10","233","135","179","26","29.10.12"
"480937","131","Миколаївська область","ТОВ імені Б.Хмельницького, їдальня, зала
вул.Б.Хмельницького, 14, с.Мостове, Доманівський р-н, Миколаївська обл., 56470","408","236","394","6","167","5","172","","0","167","5","172","13","159","59","26","8","1","15","39","8","3","28.10.12"
