"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Гарматюк
Сергій
Васильович","Задирко
Геннадій
Олександрович","Іванов
Володимир
Володимирович","Матвєєв
Володимир
Йосипович","Наконечний
Володимир
Леонтієвич","Плужніков
Михайло
Броніславович","Тимошин
Володимир
Володимирович","Шевченко
Євген
Валерійович","Юрлов
Павло
Олегович","Яремич
Андрій
Леонідович","Дата підписання протоколу"
"480545","127","Миколаївська область","будинок культури, фойє
вул.Леніна, 19, с.Парутине, Очаківський р-н, Миколаївська обл., 57540","1674","689","1661","73","922","63","985","","0","922","63","985","60","925","14","75","39","117","525","5","62","37","42","9","29.10.12"
"480546","127","Миколаївська область","школа, спортивна зала
вул.Морозівська, 29, с.Покровка, Очаківський р-н, Миколаївська обл., 57555","156","73","149","8","76","7","83","","0","76","7","83","6","77","1","4","4","10","43","0","3","6","4","2","28.10.12"
"480547","127","Миколаївська область","школа, спортивна зала
вул.Шкільна, 16, с.Василівка, Очаківський р-н, Миколаївська обл., 57555","252","77","251","11","164","11","175","","0","164","11","175","9","166","6","36","15","15","78","1","3","9","1","2","28.10.12"
"480548","127","Миколаївська область","сільський клуб, глядацька зала
вул.Хуторська, 61, с.Покровське, Очаківський р-н, Миколаївська обл., 57555","102","33","103","7","62","7","69","","0","62","7","69","3","66","0","15","3","3","34","1","0","5","4","1","29.10.12"
"480549","127","Миколаївська область","школа, спортивна зала
вул.Леніна, 43, с-ще Рівне, Очаківський р-н, Миколаївська обл., 57530","762","261","759","30","478","23","501","","0","478","23","501","23","478","5","63","10","55","250","2","48","21","14","10","29.10.12"
"480550","127","Миколаївська область","школа, актова зала
вул.Центральна, 1, с.Благодатне, Очаківський р-н, Миколаївська обл., 57530","336","125","327","10","202","9","211","","0","202","9","211","10","201","2","36","9","18","106","1","3","9","12","5","29.10.12"
"480551","127","Миколаївська область","школа, фойє
вул.Очаківська, 25, с.Солончаки, Очаківський р-н, Миколаївська обл., 57543","648","306","644","33","311","31","342","","0","311","31","342","20","322","6","48","13","68","145","4","13","16","3","6","29.10.12"
"480552","127","Миколаївська область","сільський клуб, глядацька зала
вул.Суворова, 109/1, с.Чорноморка, Очаківський р-н, Миколаївська обл., 57515","1884","852","1878","83","957","75","1032","","0","957","75","1032","30","1002","4","56","39","105","646","2","24","60","62","4","29.10.12"
"480667","127","Миколаївська область","школа №1, спортивний зал, 1-й поверх.
вул.Суворова, 41, м.Очаків, Миколаївська обл., 57500","2148","1093","2131","59","1002","53","1055","","0","1002","53","1055","21","1034","12","75","33","205","536","2","40","63","66","2","28.10.12"
"480668","127","Миколаївська область","музична школа, актовий зал, 1-й поверх.
вул.Кірова, 7, м.Очаків, Миколаївська обл., 57500","1488","752","1467","40","700","36","736","","0","700","36","736","24","712","8","40","26","152","374","2","10","37","57","6","29.10.12"
"480669","127","Миколаївська область","школа №2, спортивний зал, 1-й поверх.
вул.Шевченко, 4, м.Очаків, Миколаївська обл., 57500","1716","841","1678","38","847","28","875","","0","847","28","875","25","850","9","26","25","154","505","1","26","42","54","8","28.10.12"
"480670","127","Миколаївська область","дитячо-юнацька спортивна школа, спортивний зал, 1-й поверх.
вул.Миру, 30, м.Очаків, Миколаївська обл., 57500","2190","1061","2156","39","1094","35","1129","","0","1094","35","1129","35","1094","11","47","40","145","689","4","30","73","51","4","29.10.12"
"480671","127","Миколаївська область","філія ""Очаківський райавтодор"", кабінет тренінгів, 1-й поверх.
вул.Чижикова, 137, м.Очаків, Миколаївська обл., 57500","1260","650","1248","33","581","29","610","","0","581","29","610","18","592","7","22","17","86","396","3","11","19","26","5","29.10.12"
"480672","127","Миколаївська область","Очаківська СЕС, актовий зал, 1-й поверх.
вул.Першотравнева, 46, м.Очаків, Миколаївська обл., 57500","1926","1021","1896","27","882","23","905","","0","882","23","905","28","877","11","60","48","136","442","4","39","65","67","5","29.10.12"
"480673","127","Миколаївська область","школа №4, спортивний зал, 1-й поверх.
вул.60 років СРСР, 8, м.Очаків, Миколаївська обл., 57500","2160","1170","2135","25","971","19","990","","0","971","19","990","39","951","18","50","31","166","498","3","47","62","71","5","29.10.12"
"480728","127","Миколаївська область","обласна санітарно-епідеміологічна станція, актова зала
вул.Лазурна, 1, м.Миколаїв, 54058","2334","1130","2282","18","1190","14","1204","","0","1190","14","1204","27","1177","10","75","50","173","595","0","78","104","89","3","28.10.12"
"480729","127","Миколаївська область","дитячо-юнацька спортивна школа, мала спортивна зала
вул.Лазурна, 18В, м.Миколаїв, 54058","2214","1052","2201","24","1140","22","1162","","0","1140","22","1162","32","1130","7","99","44","164","513","4","80","119","94","6","29.10.12"
"480730","127","Миколаївська область","дитячо-юнацька спортивна школа, велика спортивна зала
вул.Лазурна, 18В, м.Миколаїв, 54058","2322","1167","2282","16","1141","14","1155","","0","1141","14","1155","29","1126","22","61","44","192","515","5","92","97","94","4","29.10.12"
"480731","127","Миколаївська область","гімназія №4, фойє
вул.Лазурна, 48, м.Миколаїв, 54058","2406","1231","2358","8","1169","6","1175","","0","1168","6","1174","43","1131","15","87","37","150","556","8","79","121","75","3","29.10.12"
"480732","127","Миколаївська область","школа №65, фойє
вул.Лазурна, 48, м.Миколаїв, 54058","2484","1245","2448","19","1228","11","1239","","0","1228","11","1239","42","1197","16","116","46","170","591","8","62","110","75","3","29.10.12"
"480733","127","Миколаївська область","школа №57, фойє, праве крило
вул.Лазурна, 46, м.Миколаїв, 54058","2322","1219","2287","20","1089","14","1103","","0","1089","14","1103","32","1071","14","79","51","135","489","7","88","108","98","2","29.10.12"
"480734","127","Миколаївська область","школа №57, фойє, ліве крило
вул.Лазурна, 46, м.Миколаїв, 54058","2418","1239","2365","8","1177","2","1179","","0","1177","2","1179","40","1139","19","106","56","185","488","1","73","130","76","5","29.10.12"
"480735","127","Миколаївська область","дитяча бібліотека №6, читацька зала
вул.Червоних Майовщиків, 21, м.Миколаїв, 54058","2364","1198","2338","7","1159","7","1166","","0","1159","7","1166","32","1134","15","117","48","158","515","8","72","113","85","3","29.10.12"
"480736","127","Миколаївська область","Миколаївська обласна лікарня, актова зала
вул.Київська, 1, м.Миколаїв, 54058","2358","1179","2314","15","1170","9","1179","","0","1170","9","1179","36","1143","16","97","79","195","439","3","90","119","101","4","29.10.12"
"480737","127","Миколаївська область","школа №6, фойє, ліве крило
вул.Бутоми, 2А, м.Миколаїв, 54038","1842","811","1815","19","1022","9","1031","","0","1022","9","1031","48","983","11","62","31","164","474","5","67","90","78","1","29.10.12"
"480738","127","Миколаївська область","школа №6, фойє, праве крило
вул.Бутоми, 2А, м.Миколаїв, 54038","1458","658","1437","18","786","14","800","","0","786","14","800","37","763","10","65","30","139","320","5","70","61","60","3","29.10.12"
"480739","127","Миколаївська область","школа №18, фойє
вул.Дачна, 8, м.Миколаїв, 54038","2286","1081","2239","16","1190","15","1205","","0","1190","15","1205","38","1167","27","89","53","207","502","4","76","117","87","5","29.10.12"
"480740","127","Миколаївська область","Миколаївський аграрний державний університет, спортивна зала
вул.Крилова, 17А, м.Миколаїв, 54040","2352","1174","2325","18","1167","11","1178","","0","1167","11","1178","44","1134","22","86","45","165","535","11","73","104","88","5","29.10.12"
"480741","127","Миколаївська область","Миколаївський аграрний державний університет, фойє
вул.Крилова, 17А, м.Миколаїв, 54040","2418","1071","2371","24","1324","23","1347","","0","1324","23","1347","47","1300","25","113","33","253","587","2","67","119","94","7","29.10.12"
"480742","127","Миколаївська область","школа №52, фойє, ліве крило
вул.Крилова, 42, м.Миколаїв, 54040","2352","1197","2333","14","1145","10","1155","","0","1145","10","1155","52","1103","15","100","58","158","505","5","48","126","85","3","29.10.12"
"480743","127","Миколаївська область","школа №52, фойє, праве крило
вул.Крилова, 42, м.Миколаїв, 54040","2376","1110","2342","16","1254","12","1266","","0","1254","12","1266","52","1214","17","123","47","196","550","6","69","130","71","5","29.10.12"
"480744","127","Миколаївська область","школа-інтернат №7, фойє
вул.Бутоми, 14А, м.Миколаїв, 54038","1812","932","1810","24","865","15","880","","0","865","15","880","38","842","17","58","28","162","352","2","53","98","65","7","29.10.12"
"480745","127","Миколаївська область","музична школа №5, фойє
вул.Дачна, 50, м.Миколаїв, 54038","1516","761","1511","16","742","13","755","","0","742","13","755","21","734","21","45","33","94","373","2","41","70","52","3","29.10.12"
"480746","127","Миколаївська область","школа №17, фойє
вул.Крилова, 12/6, м.Миколаїв, 54038","2208","1035","2188","27","1147","26","1173","","0","1147","26","1173","50","1123","24","91","56","175","496","4","66","115","88","8","29.10.12"
"480747","127","Миколаївська область","Миколаївський навчальний центр Одеської національної юридичної академії, актова зала
вул.Генерала Карпенка, 18, м.Миколаїв, 54038","2148","1003","2146","31","1119","26","1145","","0","1119","26","1145","38","1107","18","88","55","190","491","5","66","113","73","8","28.10.12"
"480748","127","Миколаївська область","спортивна школа ""Надія"", фойє, 2-й поверх
вул.Генерала Карпенка, 40, м.Миколаїв, 54021","1662","685","1642","19","961","16","977","","0","961","16","977","29","948","16","61","59","185","375","3","61","123","63","2","29.10.12"
"480749","127","Миколаївська область","ВПКДАВТ професійно-технічне училище ""Морехідна школа"", актова зала
вул.Морехідна, 2, м.Миколаїв, 54021","2118","919","2164","34","1170","29","1199","","0","1170","29","1199","26","1173","24","70","53","144","591","2","52","132","100","5","28.10.12"
"480750","127","Миколаївська область","Національний університет кораблебудування імені адмірала С.О.Макарова, фойє
просп.Леніна, 3, м.Миколаїв, 54025","2340","1134","2359","26","1185","21","1206","","0","1184","21","1205","41","1164","30","120","58","222","424","3","67","128","106","6","29.10.12"
"480751","127","Миколаївська область","школа №35, фойє
вул.Морехідна, 10А, м.Миколаїв, 54010","2388","1010","2368","55","1323","55","1378","","0","1323","55","1378","41","1337","15","115","77","224","524","4","76","153","145","4","29.10.12"
"480752","127","Миколаївська область","Миколаївський аграрний державний університет, спортивна зала
вул.Паризької Комуни, 9, м.Миколаїв, 54021","2250","1046","2261","9","1197","7","1204","","0","1197","7","1204","44","1160","21","64","77","131","573","2","49","151","86","6","29.10.12"
"480753","127","Миколаївська область","Миколаївський навчально-реабілітаційний центр, спортивна зала
вул.8 Березня, 53, м.Миколаїв, 54029","1962","889","1949","25","1052","21","1073","","0","1052","21","1073","35","1038","24","93","65","177","378","4","81","105","103","8","29.10.12"
"480754","127","Миколаївська область","будинок культури будівельників, фойє
Спаський спуск, 13, м.Миколаїв, 54030","2298","992","2263","36","1272","34","1306","","0","1272","34","1306","39","1267","17","117","68","226","459","5","96","150","122","7","29.10.12"
"480755","127","Миколаївська область","школа №39, фойє
вул.Нікольська, 6, м.Миколаїв, 54030","2322","1194","2294","21","1108","20","1128","","0","1108","20","1128","41","1087","19","98","64","219","386","4","55","122","111","9","29.10.12"
"480756","127","Миколаївська область","школа №22, велике фойє
вул.Робоча, 8, м.Миколаїв, 54029","2058","951","2016","20","1091","16","1107","","0","1091","16","1107","34","1073","16","68","68","211","376","7","88","125","110","4","29.10.12"
"480757","127","Миколаївська область","школа №22, мале фойє
вул.Робоча, 8, м.Миколаїв, 54029","1482","724","1463","13","749","9","758","","0","749","9","758","30","728","10","57","38","118","281","7","75","75","65","2","29.10.12"
"480758","127","Миколаївська область","обласний центр науково-технічної творчості учнівської молоді, методичний кабінет
пров.Кур’єрський, 5, м.Миколаїв, 54029","2040","971","2021","45","1027","42","1069","","0","1027","42","1069","38","1031","23","83","57","171","399","3","95","114","79","7","29.10.12"
"480759","127","Миколаївська область","школа №25, фойє
вул.Защука, 2А, м.Миколаїв, 54030","1818","865","1809","37","927","26","953","","0","927","26","953","40","913","12","60","42","169","402","4","47","92","79","6","29.10.12"
"480760","127","Миколаївська область","Миколаївський технікум залізничного транспорту, фойє
вул.Пушкінська, 71, м.Миколаїв, 54020","2094","1188","2088","22","892","14","906","","0","892","14","906","40","866","38","73","65","130","344","3","36","83","87","7","29.10.12"
"480761","127","Миколаївська область","будинок науки і техніки Миколаївського технікуму залізничного транспорту, фойє
вул.Пушкінська, 73, м.Миколаїв, 54020","1536","738","1532","14","789","9","798","","0","789","9","798","31","767","21","65","45","152","292","1","43","95","50","3","29.10.12"
"480762","127","Миколаївська область","клуб імені Костянтина Ольшанського, актова зала
вул.Декабристів, 58, м.Миколаїв, 54020","2016","933","1983","28","1056","27","1083","","0","1056","27","1083","49","1034","25","86","45","190","445","7","43","101","89","3","29.10.12"
"480763","127","Миколаївська область","школа №34, фойє
вул.Лягіна, 28, м.Миколаїв, 54017","2028","990","2013","18","1022","16","1038","","0","1022","16","1038","39","999","17","56","56","162","399","7","69","103","124","6","28.10.12"
"480764","127","Миколаївська область","Миколаївський обласний палац культури, фойє
пл.Суднобудівників, 3, м.Миколаїв, 54017","1584","828","1578","15","743","13","756","","0","743","13","756","40","716","13","50","33","115","295","8","41","78","75","8","28.10.12"
"480765","127","Миколаївська область","школа №37, спортивна зала
вул.Даля, 11А, м.Миколаїв, 54002","1530","798","1530","20","716","16","732","","0","716","16","732","52","680","21","32","51","100","311","4","36","83","36","6","29.10.12"
"480766","127","Миколаївська область","школа №4, спортивна зала
вул.Мала Морська, 78, м.Миколаїв, 54002","1590","793","1565","27","772","25","797","","0","772","25","797","36","761","28","56","45","122","257","5","56","97","89","6","29.10.12"
"480767","127","Миколаївська область","Національний університет кораблебудування імені адмірала С.О.Макарова, фойє
вул.Скороходова, 5, м.Миколаїв, 54002","1440","709","1451","11","720","11","731","","0","720","11","731","42","689","18","53","47","114","291","8","51","62","37","8","29.10.12"
"480768","127","Миколаївська область","Вище училище фізичної культури, спортивна зала
вул.Чигрина, 41, м.Миколаїв, 54055","2358","1181","2328","22","1160","17","1177","","0","1160","17","1177","51","1126","18","67","70","234","415","9","66","137","102","8","28.10.12"
"480769","127","Миколаївська область","Вище професійне училище №21, спортивна зала
вул.Садова, 31/2, м.Миколаїв, 54002","2346","1265","2312","17","1067","14","1081","","0","1067","14","1081","60","1021","16","88","64","175","382","5","81","93","107","10","29.10.12"
"480770","127","Миколаївська область","школа №31, спортивна зала
вул.1 Слобідська, 42, м.Миколаїв, 54055","2220","1061","2201","15","1149","10","1159","","0","1149","10","1159","46","1113","16","81","76","163","434","10","106","116","104","7","29.10.12"
"480771","127","Миколаївська область","ПАТ ""Миколаївський комбінат хлібопродуктів"", фойє
вул.1 Слобідська, 122, м.Миколаїв, 54002","1590","767","1570","28","798","25","823","","0","798","25","823","30","793","16","44","42","153","319","5","63","76","68","7","29.10.12"
"480772","127","Миколаївська область","школа-інтернат №3, фойє
вул.1 Слобідська, 74, м.Миколаїв, 54055","2208","1255","2206","18","935","18","953","","0","935","18","953","32","921","15","84","74","179","358","4","70","87","45","5","29.10.12"
"480773","127","Миколаївська область","школа №36, спортивна зала
вул.Чигрина, 143, м.Миколаїв, 54008","2442","1460","2428","11","973","9","982","","0","973","9","982","57","925","26","90","63","142","342","3","68","111","71","9","29.10.12"
"480774","127","Миколаївська область","школа №23, фойє, праве крило
вул.Радянська, 10, мікрорайон Велика Корениха, м.Миколаїв, 57156","1500","964","1487","35","503","33","536","","0","503","33","536","22","514","3","42","14","77","241","2","51","48","34","2","29.10.12"
"480775","127","Миколаївська область","школа №23, фойє, ліве крило
вул.Радянська, 10, мікрорайон Велика Корениха, м.Миколаїв, 57156","1170","555","1161","21","597","18","615","","0","597","18","615","20","595","19","31","19","106","289","2","45","28","49","7","29.10.12"
"480776","127","Миколаївська область","школа №21, фойє
вул.Молдавська, 7, мікрорайон Мала Корениха, м.Миколаїв, 57157","1050","466","1009","41","543","41","584","","0","543","41","584","27","557","10","61","21","77","275","1","27","53","28","4","29.10.12"
"480777","127","Миколаївська область","шпиталь інвалідів Великої Вітчизняної війни, актова зала
вул.Київська, 1, м.Миколаїв, 54058","246","103","152","47","105","38","143","","0","105","38","143","12","131","3","8","3","49","45","1","6","9","4","3","29.10.12"
"480778","127","Миколаївська область","Миколаївська обласна лікарня, фойє
вул.Київська, 1, м.Миколаїв, 54058","516","416","148","33","73","27","100","","0","73","27","100","4","96","5","7","7","16","36","1","4","11","7","2","29.10.12"
"480779","127","Миколаївська область","пологовий будинок №3, актова зала
вул.Київська, 3, м.Миколаїв, 54058","144","85","67","0","59","0","59","","0","59","0","59","3","56","1","3","3","7","26","1","5","4","6","0","29.10.12"
"480780","127","Миколаївська область","лікарня швидкої медичної допомоги, актова зала
вул.Корабелів, 14, м.Миколаїв, 54020","414","366","165","147","9","39","48","","0","9","39","48","2","46","0","4","1","11","22","0","0","6","2","0","05.11.12"
