"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бондаренко
Євгенія
Сергіївна","Виноградський
Максим
Павлович","Волошин
Юрій
Миколайович","Данилевська
Надія
Леонідівна","Ільюк
Артем
Олександрович","Іовенко
Катерина
Вікторівна","Ісаков
Сергій
Михайлович","Макар’ян
Давид
Борисович","Мудрак
Олег
Іванович","Найда
Олег
Володимирович","Паливода
Сергій
Миколайович","Пучков
Сергій
Євгенійович","Дата підписання протоколу"
"480844","128","Миколаївська область","Миколаївський професійний машинобудівний ліцей, фойє
вул.Космонавтів, 66, м.Миколаїв, 54018","1626","755","1613","19","852","19","871","","0","852","19","871","21","850","12","8","9","7","317","2","252","50","96","5","9","83","29.10.12"
"480845","128","Миколаївська область","палац культури ""Молодіжний"", фойє
вул.Васляєва, 1, м.Миколаїв, 54018","1080","470","1072","13","599","11","610","","0","599","11","610","14","596","8","3","6","1","225","3","134","48","59","4","11","94","30.10.12"
"480846","128","Миколаївська область","школа №20, спортивна зала
вул.Космонавтів, 70, м.Миколаїв, 54018","2178","989","2160","20","1172","17","1189","","0","1172","17","1189","28","1161","14","12","12","4","515","6","275","84","102","22","9","106","29.10.12"
"480847","128","Миколаївська область","палац спорту ""Зоря"", спортивна зала
вул.Васляєва, 10, м.Миколаїв, 54018","1590","695","1573","29","870","25","895","","0","870","25","895","34","861","11","12","11","6","263","4","223","58","131","11","23","108","29.10.12"
"480848","128","Миколаївська область","школа №20, фойє
вул.Космонавтів, 70, м.Миколаїв, 54018","2310","1044","2275","17","1249","17","1266","","0","1249","17","1266","34","1232","16","12","4","7","501","8","321","92","129","7","16","119","29.10.12"
"480849","128","Миколаївська область","школа №11, спортивна зала
вул.Китобоїв, 3, м.Миколаїв, 54056","1518","746","1498","6","767","5","772","","0","767","5","772","21","751","9","12","7","6","330","1","145","66","87","10","7","71","29.10.12"
"480850","128","Миколаївська область","школа №11, їдальня
вул.Китобоїв, 3, м.Миколаїв, 54056","1614","697","1603","9","909","8","917","","0","909","8","917","29","888","8","13","6","11","424","7","172","50","67","20","15","95","29.10.12"
"480851","128","Миколаївська область","школа №50, фойє, праве крило
просп.Миру, 54А, м.Миколаїв, 54056","2280","1131","2262","14","1136","13","1149","","0","1136","13","1149","33","1116","13","17","13","4","432","11","274","83","133","16","24","96","29.10.12"
"480852","128","Миколаївська область","школа №50, фойє, ліве крило
просп.Миру, 54А, м.Миколаїв, 54056","2382","1090","2364","17","1276","16","1292","","0","1276","16","1292","40","1252","19","18","7","4","451","3","390","74","128","14","27","117","30.10.12"
"480853","128","Миколаївська область","школа №11, фойє
вул.Китобоїв, 3, м.Миколаїв, 54056","1650","914","1637","9","729","7","736","","0","729","7","736","13","723","6","14","4","6","317","3","129","53","89","8","9","85","29.10.12"
"480854","128","Миколаївська область","приміщення ВАТ ""Інгул"", фойє
вул.Гмирьова, 8, м.Миколаїв, 54028","1794","884","1767","11","901","9","910","","0","901","9","910","30","880","9","8","8","5","441","7","151","51","89","13","14","84","29.10.12"
"480855","128","Миколаївська область","школа №45, фойє
вул.4 Поздовжня, 58, м.Миколаїв, 54028","2352","1262","2328","19","1073","17","1090","","0","1073","17","1090","37","1053","17","14","9","14","404","8","200","91","142","11","21","122","29.10.12"
"480856","128","Миколаївська область","будинок творчості молоді, фойє
вул.Космонавтів, 128А, м.Миколаїв, 54031","2244","1226","2230","25","999","19","1018","","0","999","19","1018","29","989","8","9","6","5","411","5","202","68","86","26","21","142","29.10.12"
"480857","128","Миколаївська область","міська поліклініка №2, фойє
вул.Космонавтів, 126, м.Миколаїв, 54028","2028","1015","2002","14","999","14","1013","","0","999","14","1013","43","970","7","11","10","6","425","2","225","59","98","8","19","100","29.10.12"
"480858","128","Миколаївська область","школа №42, фойє, праве крило
вул.Електронна, 73, м.Миколаїв, 54031","2412","1184","2402","20","1210","18","1228","","0","1210","18","1228","40","1188","5","18","14","7","504","5","213","100","135","11","27","149","29.10.12"
"480859","128","Миколаївська область","школа №56, фойє, праве крило
вул.Космонавтів, 138А, м.Миколаїв, 54031","1740","862","1722","12","867","11","878","","0","867","11","878","31","847","12","8","8","8","335","10","169","68","112","13","26","78","29.10.12"
"480860","128","Миколаївська область","школа №56, фойє, ліве крило
вул.Космонавтів, 138А, м.Миколаїв, 54031","2214","1043","2185","15","1157","14","1171","","0","1157","14","1171","35","1136","13","19","8","7","511","3","216","88","129","10","20","112","29.10.12"
"480861","128","Миколаївська область","школа №56, центральне фойє
вул.Космонавтів, 138А, м.Миколаїв, 54031","2226","1112","2190","19","1095","19","1114","","0","1095","19","1114","30","1084","9","17","9","6","458","5","240","93","112","6","15","114","29.10.12"
"480862","128","Миколаївська область","школа №42, спортивна зала
вул.Електронна, 73, м.Миколаїв, 54031","2292","1094","2276","7","1193","5","1198","","0","1193","5","1198","42","1156","18","26","8","13","415","4","223","98","150","16","37","148","29.10.12"
"480863","128","Миколаївська область","школа №42, фойє, ліве крило
вул.Електронна, 73, м.Миколаїв, 54031","2262","1260","2277","26","978","24","1002","","0","978","24","1002","38","964","10","12","3","10","470","3","162","73","106","5","14","96","29.10.12"
"480864","128","Миколаївська область","КП ""Дорога"", фойє
вул.Новозаводська, 7, м.Миколаїв, 54028","2334","1397","2215","23","921","16","937","","0","921","16","937","47","890","20","19","17","10","375","11","157","79","78","5","35","84","29.10.12"
"480865","128","Миколаївська область","школа №50, фойє
просп.Миру, 54А, м.Миколаїв, 54056","2226","1105","2209","17","1108","13","1121","","0","1108","13","1121","26","1095","21","16","9","5","480","7","242","79","89","15","20","112","29.10.12"
"480866","128","Миколаївська область","Інститут Украгроінжпроект, фойє
просп.Миру, 34, м.Миколаїв, 54034","2316","1026","2303","10","1280","10","1290","","0","1280","10","1290","35","1255","20","18","13","6","448","5","315","100","159","19","28","124","29.10.12"
"480867","128","Миколаївська область","пологовий будинок №2, медична палата
вул.Будівельників, 8, м.Миколаїв, 54034","114","46","72","0","68","0","68","","0","68","0","68","1","67","0","5","3","2","35","1","7","4","3","0","0","7","29.10.12"
"480868","128","Миколаївська область","офтальмологічна лікарня, актова зала
вул.Васляєва, 10, м.Миколаїв, 54018","138","93","48","0","45","0","45","","0","45","0","45","2","43","3","0","3","1","12","1","8","2","5","0","3","5","29.10.12"
"480869","128","Миколаївська область","онкодиспансер, актова зала
вул.Миколаївська, 18, м.Миколаїв, 54018","276","132","155","20","124","20","144","","0","124","20","144","7","137","3","5","4","3","56","2","15","10","14","1","2","22","29.10.12"
"480870","128","Миколаївська область","міська лікарня №3, актова зала
вул.Космонавтів, 97, м.Миколаїв, 54028","402","213","201","86","104","85","189","","0","104","85","189","8","181","2","6","5","4","57","2","39","20","9","1","5","31","29.10.12"
"480871","128","Миколаївська область","обласна інфекційна лікарня, актова зала
вул.Космонавтів, 43, м.Миколаїв, 54018","114","81","61","23","16","17","33","","0","16","17","33","0","33","2","1","0","2","18","0","3","2","1","0","0","4","29.10.12"
"480872","128","Миколаївська область","обласна дитяча лікарня, актова зала
вул.Миколаївська, 21, м.Миколаїв, 54018","54","15","61","0","39","0","39","","0","39","0","39","0","39","3","1","1","2","17","0","1","6","3","1","2","2","29.10.12"
