"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Влащенко
Олександр
Володимирович","Воронцов
Михайло
Юрійович","Жолобецький
Олександр
Олександрович","Жук
Микола
Васильович","Мірошниченко
Олексій
Володимирович","Сторчеус
Віктор
Олександрович","Хобта
Лариса
Юріївна","Дата підписання протоколу"
"480892","129","Миколаївська область","центр туризму учнівської молоді, хол
вул.Севастопольська, 63, м.Миколаїв, 54055","2136","944","2122","15","1179","13","1192","","0","1179","13","1192","86","1106","23","119","251","650","27","18","18","29.10.12"
"480893","129","Миколаївська область","Національний університет ім.В.О. Сухомлинського, гуртожиток №3, актова зала
вул.Потьомкінська, 131А, м.Миколаїв, 54003","2296","1229","2281","12","1059","8","1067","","0","1059","8","1067","81","986","22","129","215","551","38","15","16","29.10.12"
"480894","129","Миколаївська область","будівельний коледж, спортивна зала
вул.1 Слобідська, 2, м.Миколаїв, 54055","1840","836","1828","29","983","21","1004","","0","983","21","1004","51","953","16","121","320","390","52","20","34","29.10.12"
"480895","129","Миколаївська область","школа №53, хол вздовж вул.Потьомкінська
вул.Потьомкінська, 154, м.Миколаїв, 54003","1992","927","1950","27","1044","21","1065","","0","1044","21","1065","53","1012","20","150","294","472","34","14","28","29.10.12"
"480896","129","Миколаївська область","школа №53, хол вздовж вул.Дзержинського
вул.Потьомкінська, 154, м.Миколаїв, 54003","1984","906","1953","15","1066","12","1078","","0","1065","12","1077","107","970","19","127","271","474","33","18","28","29.10.12"
"480897","129","Миколаївська область","Національний університет ім.В.О. Сухомлинського, гуртожиток №2, актова зала
вул.Дзержинського, 19, м.Миколаїв, 54003","1784","827","1776","49","913","44","957","","0","913","44","957","53","904","12","154","242","424","30","15","27","29.10.12"
"480898","129","Миколаївська область","бібліотека для дорослих, хол
вул.Потьомкінська, 143А, м.Миколаїв, 54003","2296","1181","2250","18","1099","16","1115","","0","1095","16","1111","61","1050","26","139","252","561","44","12","16","29.10.12"
"480899","129","Миколаївська область","школа №3, хол, 1-й поверх
вул.Чкалова, 114, м.Миколаїв, 54003","2336","1030","2308","30","1280","26","1306","","0","1280","26","1306","67","1239","35","194","352","555","39","39","25","29.10.12"
"480900","129","Миколаївська область","школа №3, спортивна зала, 2-й поверх
вул.Чкалова, 114, м.Миколаїв, 54033","2408","1088","2373","33","1297","23","1320","","0","1297","23","1320","97","1223","26","222","319","554","42","26","34","29.10.12"
"480901","129","Миколаївська область","будинок вчителя, хол
просп.Леніна, 166, м.Миколаїв, 54003","2184","955","2157","23","1210","19","1229","","0","1210","19","1229","78","1151","30","146","348","520","49","30","28","29.10.12"
"480902","129","Миколаївська область","Муніципальний колегіум, хол
вул.Котельна, 8, м.Миколаїв, 54003","2352","1218","2332","22","1114","20","1134","","0","1114","20","1134","80","1054","19","141","252","545","42","29","26","29.10.12"
"480903","129","Миколаївська область","Чорноморський державний університет ім.Петра Могили, читальна зала
вул.68 Десантників, 10, м.Миколаїв, 54055","1232","636","1242","12","589","7","596","","0","589","7","596","33","563","9","78","185","221","30","15","25","28.10.12"
"480904","129","Миколаївська область","КП ""Експлуатаційно-лінійне управління автодоріг"", актова зала
вул.Гречишникова, 54, м.Миколаїв, 54003","1296","681","1285","18","603","12","615","","0","603","12","615","43","572","13","83","195","230","18","8","25","29.10.12"
"480905","129","Миколаївська область","Миколаївський міжрегіональний інститут розвитку людини, корпус 2, актова зала
вул.2 Воєнна, 22, м.Миколаїв, 54003","1496","828","1477","16","653","15","668","","0","653","15","668","35","633","10","78","192","272","40","25","16","29.10.12"
"480906","129","Миколаївська область","школа-інтернат №3, хол, 1-й поверх
вул.Котельна, 117, м.Миколаїв, 54003","1400","786","1405","8","608","6","614","","0","606","6","612","50","562","16","79","155","260","14","12","26","29.10.12"
"480907","129","Миколаївська область","школа №12, хол
вул.Урицького, 2, м.Миколаїв, 54039","1632","875","1618","5","752","5","757","","0","752","5","757","51","706","26","114","203","293","21","23","26","29.10.12"
"480908","129","Миколаївська область","музична школа №8, хол
вул.Косіора, 1, м.Миколаїв, 54039","1456","809","1441","14","637","10","647","","0","637","10","647","45","602","8","75","213","241","17","18","30","29.10.12"
"480909","129","Миколаївська область","міні-маркет, зала
вул.Привільна, 71А, м.Миколаїв, 54039","2328","1198","2318","38","1098","32","1130","","0","1098","32","1130","74","1056","15","121","358","468","31","13","50","29.10.12"
"480910","129","Миколаївська область","дитячий садок №87, приміщення 2 групи
вул.Привільна, 57, м.Миколаїв, 54039","928","452","922","11","470","6","476","","0","470","6","476","33","443","9","42","139","214","17","3","19","29.10.12"
"480911","129","Миколаївська область","Національний університет кораблебудування ім.Адмірала Макарова, гуртожиток, хол
просп.Героїв Сталінграда, 11, м.Миколаїв, 54001","1336","674","1325","7","656","6","662","","0","656","6","662","40","622","12","81","163","312","24","16","14","29.10.12"
"480912","129","Миколаївська область","ліцей ""Педагог"", хол
пров.Парусний, 3, м.Миколаїв, 54025","1808","866","1786","9","934","8","942","","0","934","8","942","60","882","16","131","222","453","27","11","22","29.10.12"
"480913","129","Миколаївська область","школа №51, хол, праве крило
пров.Парусний, 5, м.Миколаїв, 54025","2336","1111","2295","8","1219","6","1225","","0","1219","6","1225","61","1164","18","186","286","584","39","24","27","29.10.12"
"480914","129","Миколаївська область","школа №51, хол, ліве крило
пров.Парусний, 5, м.Миколаїв, 54025","2304","1137","2286","34","1143","24","1167","","0","1140","24","1164","94","1070","22","161","286","499","38","22","42","29.10.12"
"480915","129","Миколаївська область","школа №32, хол, 1-й поверх
вул.Гайдара, 1, м.Миколаїв, 54025","2112","976","2090","29","1113","23","1136","","0","1113","23","1136","73","1063","16","212","242","498","42","21","32","29.10.12"
"480916","129","Миколаївська область","школа №32, хол, 2-й поверх
вул.Гайдара, 1, м.Миколаїв, 54025","2312","1190","2279","36","1097","25","1122","","0","1097","25","1122","52","1070","20","188","299","472","29","26","36","29.10.12"
"480917","129","Миколаївська область","підлітковий клуб ""Юноармієць"", хол
просп.Героїв Сталінграда, 81А, м.Миколаїв, 54025","2360","1008","2332","9","1346","6","1352","","0","1346","6","1352","84","1268","60","150","199","726","62","30","41","29.10.12"
"480918","129","Миколаївська область","інститут післядипломної освіти, хол
просп.Героїв Сталінграда, 91А, м.Миколаїв, 54025","2223","1048","2154","18","1162","13","1175","","0","1162","13","1175","56","1119","19","109","175","751","24","20","21","29.10.12"
"480919","129","Миколаївська область","школа №64, спортивна зала
вул.Архітектора Старова, 6Г, м.Миколаїв, 54046","2480","1096","2446","12","1373","11","1384","","0","1373","11","1384","77","1307","17","176","363","635","64","26","26","29.10.12"
"480920","129","Миколаївська область","дитячий садок №1, хол
вул.Архітектора Старова, 6Г, м.Миколаїв, 54046","2400","1101","2390","9","1291","8","1299","","0","1290","8","1298","85","1213","24","171","354","559","50","20","35","29.10.12"
"480921","129","Миколаївська область","відділ соціально-економічного розвитку мікрорайону Тернівка, зал 1
вул.Тухачевського, 10, м.Миколаїв, 54046","2296","1808","2291","13","480","8","488","","0","480","8","488","34","454","7","61","127","226","15","3","15","28.10.12"
"480922","129","Миколаївська область","відділ соціально-економічного розвитку мікрорайону Тернівка, зал 2
вул.Тухачевського, 10, м.Миколаїв, 54046","2312","1148","2308","85","1101","63","1164","","0","1101","63","1164","72","1092","13","131","203","658","22","14","51","29.10.12"
"480923","129","Миколаївська область","школа №16, хол, 1-й поверх
вул.Христо Ботєва, 41, м.Миколаїв, 54046","2136","1127","2106","23","986","23","1009","","0","986","23","1009","41","968","4","101","258","531","27","15","32","29.10.12"
"480924","129","Миколаївська область","центр дозвілля ""Софія"", хол
вул.Софіївська, 18А, м.Миколаїв, 54046","2344","1245","2327","45","1054","45","1099","","0","1047","45","1092","64","1028","12","126","268","536","33","13","40","29.10.12"
"480925","129","Миколаївська область","дитячий садок №99, музична зала
вул.Курчатова, 22, м.Миколаїв, 54048","2048","1097","2030","17","939","12","951","","0","939","12","951","48","903","7","101","202","529","29","16","19","29.10.12"
"480926","129","Миколаївська область","школа №24, хол, 1-й поверх
вул.Лісова, 1, м.Миколаїв, 54048","1928","1038","1889","18","874","16","890","","0","874","16","890","43","847","5","97","242","438","25","17","23","29.10.12"
"480927","129","Миколаївська область","школа №24, спортивна зала
вул.Лісова, 1, м.Миколаїв, 54048","1312","758","1306","20","536","18","554","","0","536","18","554","36","518","5","45","162","265","19","11","11","29.10.12"
"480928","129","Миколаївська область","Центральна районна лікарня Миколаївського р-ну, кімната для статистики
вул.Поштова, 118, м.Миколаїв, 54036","128","107","26","7","19","2","21","","0","19","2","21","0","21","0","3","6","11","1","0","0","28.10.12"
"480929","129","Миколаївська область","міська лікарня №4, хол
вул.Адмірала Макарова, 1, м.Миколаїв, 54001","208","157","54","6","46","5","51","","0","46","5","51","3","48","0","8","11","25","3","0","1","28.10.12"
"480930","129","Миколаївська область","центр профілактики та лікування хворих на СНІД, зал моніторингу та оцінки
вул.Потьомкінська, 138Б, м.Миколаїв, 54003","64","33","32","0","31","0","31","","0","31","0","31","1","30","1","3","7","18","0","0","1","29.10.12"
"480931","129","Миколаївська область","наркологічний диспансер, конференц-зал
вул.Володарського, 4Б, м.Миколаїв, 54003","136","87","53","0","49","0","49","","0","49","0","49","5","44","2","6","5","24","4","0","3","29.10.12"
"480932","129","Миколаївська область","міська лікарня №1, штаб цивільної оборони
вул.Володарського, 4, м.Миколаїв, 54003","328","205","157","54","82","41","123","","0","82","41","123","12","111","6","24","14","55","1","3","8","29.10.12"
"480933","129","Миколаївська область","психіатрична лікарня №1, конференц-зал
вул.Володарського, 4, м.Миколаїв, 54003","504","480","25","0","24","0","24","","0","24","0","24","3","21","0","3","4","13","0","0","1","28.10.12"
"480934","129","Миколаївська область","пологовий будинок №1, палата 13
вул.Володарського, 5, м.Миколаїв, 54003","112","83","29","0","29","0","29","","0","29","0","29","3","26","0","3","4","14","1","1","3","29.10.12"
"480935","129","Миколаївська область","пологовий будинок №1, ординаторська
вул.Мала Морська, 7, м.Миколаїв, 54001","32","0","73","0","32","0","32","","0","32","0","32","3","29","1","3","4","17","1","1","2","28.10.12"
"480936","129","Миколаївська область","військовий шпиталь А-2428, актова зала
вул.Урицького, 4, м.Миколаїв, 54039","104","54","54","8","44","6","50","","0","44","6","50","0","50","2","5","5","26","0","3","9","29.10.12"
