"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Азаров
Олексій
Миколайович","Бондарєв
Вадим
Анатолійович","Вєкуа
Фрідон
Напойович","Єрмак
Олег
Віталійович","Зонтов
Олег
Вячеславович","Казацький
Дмитро
Геннадійович","Котенко
Олег
Олексійович","Мельник
Віталій
Володимирович","Підлісний
Ігор
Павлович","Хмельовий
Анатолій
Петрович","Дата підписання протоколу"
"141184","47","Донецька область","Слов’янський професійний ліцей залізничного транспорту, хол
вул.Гагаріна, 5, м.Слов'янськ, Донецька обл., 84109","1620","830","1599","70","721","69","790","","0","721","69","790","18","772","580","17","3","0","24","35","6","0","2","105","29.10.12"
"141185","47","Донецька область","Слов’янський технікум залізничного транспорту, актова зала
вул.Гагаріна, 7, м.Слов'янськ, Донецька обл., 84109","1968","1090","1968","88","805","73","878","","0","805","73","878","17","861","625","9","3","3","45","69","2","0","4","101","29.10.12"
"141186","47","Донецька область","станція Слов’янськ, червоний куток
вул.Ком’яхова, 9, м.Слов'янськ, Донецька обл., 84109","1782","808","1766","67","917","57","974","","0","917","57","974","28","946","688","20","7","8","41","60","4","2","5","111","29.10.12"
"141187","47","Донецька область","школа №18, фойє
вул.Підгірна, 242, м.Слов'янськ, Донецька обл., 84111","2004","992","1981","48","972","40","1012","","0","972","40","1012","35","977","713","24","4","2","54","76","1","0","3","100","29.10.12"
"141188","47","Донецька область","допоміжна школа-інтернат №2, хол
вул.Інтернатна, 1, м.Слов'янськ, Донецька обл., 84111","1278","620","1287","71","597","61","658","","0","596","61","657","18","639","457","20","3","6","32","52","7","0","2","60","30.10.12"
"141189","47","Донецька область","будинок культури Залізничників, фойє
вул.Свердлова, 77, м.Слов'янськ, Донецька обл., 84109","2184","984","2150","39","1164","36","1200","","0","1164","36","1200","20","1180","864","31","5","4","42","49","5","1","4","175","29.10.12"
"141190","47","Донецька область","школа №19, спортивна зала
вул.Свердлова, 32, м.Слов'янськ, Донецька обл., 84109","1866","852","1861","34","985","29","1014","","0","985","29","1014","24","990","707","25","10","4","60","43","4","0","3","134","29.10.12"
"141191","47","Донецька область","школа №11, спортивна зала
вул.Свердлова, 22, м.Слов'янськ, Донецька обл., 84109","1890","897","1880","44","959","34","993","","0","959","34","993","15","978","734","24","5","5","61","46","10","3","4","86","29.10.12"
"141192","47","Донецька область","ЗАТ ""Кераммаш"", хол
вул.Свердлова, 1А, м.Слов'янськ, Донецька обл., 84105","1878","925","1859","48","912","41","953","","0","912","41","953","24","929","649","28","10","3","66","54","6","1","7","105","29.10.12"
"141193","47","Донецька область","будинок культури і техніки ЗАТ""Бетонмаш"", вестибюль
вул.Солодилова, 1, м.Слов'янськ, Донецька обл., 84105","2027","844","2012","111","1088","95","1183","","0","1088","95","1183","31","1152","899","25","2","2","62","40","8","2","9","103","29.10.12"
"141194","47","Донецька область","ЗАТ ""М’ясопродукти"", їдальня
вул.Гранична, 42, м.Слов'янськ, Донецька обл., 84102","1374","706","1364","83","620","48","668","","0","620","48","668","14","654","485","28","4","2","38","27","2","0","6","62","29.10.12"
"141195","47","Донецька область","центр дитячої та юнацької творчості, актова зала
вул.Карла Маркса, 39, м.Слов'янськ, Донецька обл., 84122","1836","937","1816","44","866","33","899","","0","866","33","899","27","872","626","23","4","3","61","43","5","0","3","104","29.10.12"
"141196","47","Донецька область","школа №1, спортивна зала
вул.Свободи, 28, м.Слов'янськ, Донецька обл., 84122","2022","1013","2010","44","975","34","1009","","0","975","34","1009","29","980","680","36","11","6","84","36","7","1","4","115","29.10.12"
"141197","47","Донецька область","школа №15, хол
вул.Фрунзе, 8, м.Слов'янськ, Донецька обл., 84122","2208","1053","2180","40","1118","37","1155","","0","1118","37","1155","34","1121","790","36","7","3","78","53","12","3","8","131","29.10.12"
"141198","47","Донецька область","Слов’янський коледж національного авіаційного університету, корпус Д, хол
вул.Карла Маркса, 27, м.Слов'янськ, Донецька обл., 84122","1542","659","1532","33","856","27","883","","0","856","27","883","21","862","594","31","11","1","73","47","6","3","7","89","29.10.12"
"141199","47","Донецька область","Слов’янський хіміко-механічний технікум, вестибюль
вул.Карла Маркса, 41, м.Слов'янськ, Донецька обл., 84122","1434","626","1421","39","773","35","808","","0","773","35","808","22","786","540","15","2","5","61","44","9","1","1","108","29.10.12"
"141200","47","Донецька область","Палац культури ім.Леніна, фойє
вул.Леніна, 60, м.Слов'янськ, Донецька обл., 84122","2148","912","2123","61","1182","54","1236","","0","1182","54","1236","26","1210","847","26","12","5","106","54","4","1","5","150","29.10.12"
"141201","47","Донецька область","школа №5, вестибюль
вул.Урицького, 4, м.Слов'янськ, Донецька обл., 84122","2466","1169","2426","80","1221","76","1297","","0","1221","76","1297","27","1270","883","39","9","7","92","53","17","0","7","163","29.10.12"
"141202","47","Донецька область","Слов’янський професійний аграрний ліцей, вестибюль
вул.Науки, 2, м.Слов'янськ, Донецька обл., 84122","1608","849","1595","25","738","21","759","","0","738","21","759","23","736","493","21","5","1","36","68","6","0","3","103","29.10.12"
"141203","47","Донецька область","Слов’янський державний педагогічний університет, корпус 1, кабінет хореографії
вул.Леніна, 12, м.Слов’янськ, Донецька обл., 84122","1656","877","1634","66","719","60","779","","0","719","60","779","9","770","538","25","0","6","41","54","6","2","3","95","29.10.12"
"141204","47","Донецька область","КП ""АТП №052814"", актова зала
вул.Дем’яна Бєдного, 109, м.Слов'янськ, Донецька обл., 84107","2118","1048","2110","62","1022","48","1070","","0","1022","48","1070","24","1046","750","32","3","2","54","64","3","2","3","133","29.10.12"
"141205","47","Донецька область","Науково-дослідний інститут високих напруг, хол
вул.Батюка, 22, м.Слов'янськ, Донецька обл., 84121","2166","993","2134","58","1125","48","1173","","0","1125","48","1173","15","1158","851","29","7","3","75","82","9","0","5","97","29.10.12"
"141206","47","Донецька область","школа-інтернат №1, їдальня
вул.Батюка, 20, м.Слов'янськ, Донецька обл., 84121","1980","933","1965","48","1010","37","1047","","0","1010","37","1047","16","1031","746","38","4","4","49","57","8","1","5","119","30.10.12"
"141207","47","Донецька область","міський відділ РАЦС, зала урочистих подій
вул.Батюка, 24Б, м.Слов’янськ, Донецька обл., 84121","1992","930","1961","32","1033","29","1062","","0","1033","29","1062","20","1042","748","34","6","4","57","54","10","2","5","122","29.10.12"
"141208","47","Донецька область","Слов’янський державний педагогічний університет, гуртожиток 3, актова зала
вул.Батюка, 17, м.Слов'янськ, Донецька обл., 84116","1338","536","1334","16","791","11","802","","0","789","11","800","12","788","567","34","6","3","50","48","64","2","4","10","30.10.12"
"141209","47","Донецька область","Державний педагогічний університет, головний учбовий корпус, вестибюль
вул.Батюка, 19, м.Слов'янськ, Донецька обл., 84116","1566","687","1528","43","850","29","879","","0","850","29","879","27","852","612","31","4","3","68","58","6","1","1","68","29.10.12"
"141210","47","Донецька область","школа №17, вестибюль
вул.Олімпійська, 4, м.Слов'янськ, Донецька обл., 84116","2256","1063","2207","22","1176","17","1193","","0","1176","17","1193","23","1170","818","31","2","2","89","90","4","5","7","122","29.10.12"
"141211","47","Донецька область","школа №10, спортивна зала
вул.Бульварна, 6, м.Слов'янськ, Донецька обл., 84116","2454","1018","2420","81","1369","67","1436","","0","1369","67","1436","28","1408","989","41","4","3","85","88","14","1","6","177","29.10.12"
"141212","47","Донецька область","школа №13, хол
вул.Ясна, 19, м.Слов'янськ, Донецька обл., 84116","2490","1047","2468","75","1374","69","1443","","0","1374","69","1443","34","1409","1026","44","19","8","78","81","4","1","5","143","29.10.12"
"141213","47","Донецька область","КП ""Слов’янське тролейбусне управління"", технічний клас, 1-й поверх
вул.Ясна, 34, м.Слов'янськ, Донецька обл., 84116","2370","1094","2335","62","1232","44","1276","","0","1232","44","1276","35","1241","923","33","9","3","58","77","4","1","9","124","29.10.12"
"141214","47","Донецька область","школа №16, хол
вул.8 Березня, 1, м.Слов'янськ, Донецька обл., 84107","2484","1176","2470","67","1248","60","1308","","0","1248","60","1308","33","1275","948","31","6","4","41","88","8","3","4","142","29.10.12"
"141215","47","Донецька область","КП ""Водозниження"", актова зала
вул.Сользаводська, 6, м.Слов'янськ, Донецька обл., 84116","498","216","504","14","268","14","282","","0","268","14","282","2","280","223","5","0","2","9","13","1","0","0","27","29.10.12"
"141216","47","Донецька область","Слов’янський державний педагогічний університет, корпус 1, ауд.5, 1-й поверх
вул.Леніна, 12, м.Слов'янськ, Донецька обл., 84122","2316","1113","2286","60","1149","54","1203","","0","1149","54","1203","25","1178","801","34","7","5","83","51","9","1","5","182","29.10.12"
"141217","47","Донецька область","Сіверське-Донецьке басейне управління водних ресурсів, хол
вул.Комунарів, 35, м.Слов'янськ, Донецька обл., 84122","2286","1071","2257","72","1149","66","1215","","0","1149","66","1215","36","1179","855","32","9","9","57","47","9","0","6","155","29.10.12"
"141218","47","Донецька область","Слов’янський енергобудівельний технікум, спортивна зала
вул.Калініна, 40, м.Слов'янськ, Донецька обл., 84122","2142","993","2119","46","1105","44","1149","","0","1105","44","1149","17","1132","764","51","7","4","82","53","12","0","8","151","29.10.12"
"141219","47","Донецька область","Управління газопостачання і газифікації, хол
вул.Чубаря, 28Б, м.Слов'янськ, Донецька обл., 84122","1974","973","1943","46","959","42","1001","","0","959","42","1001","27","974","680","32","9","2","63","42","7","1","4","134","29.10.12"
"141220","47","Донецька область","Слов’янський державний аграрний технікум, хол
вул.Свободи, 23, м.Слов'янськ, Донецька обл., 84122","1596","764","1566","31","806","26","832","","0","806","26","832","20","812","569","32","4","3","41","34","6","3","4","116","29.10.12"
"141221","47","Донецька область","школа №8, хол
вул.Комунарів, 55, м.Слов'янськ, Донецька обл., 84122","1890","805","1881","18","1068","17","1085","","0","1068","17","1085","23","1062","771","38","6","2","57","63","9","1","2","113","29.10.12"
"141222","47","Донецька область","ВАТ ""Словважмаш"", гуртожиток, червоний куток
вул.Кільцева, 12, м.Слов'янськ, Донецька обл., 84102","1668","794","1648","41","838","36","874","","0","838","36","874","19","855","648","18","6","4","41","35","6","0","3","94","29.10.12"
"141223","47","Донецька область","Церква Божа ""Еммануїл"", актова зала
вул.Криворізька, 60А, м.Слов'янськ, Донецька обл., 84118","1638","787","1639","40","812","39","851","","0","812","39","851","19","832","653","23","4","1","32","48","17","2","1","51","29.10.12"
"141224","47","Донецька область","клуб ЗАТ ""Слов’янськолія"", зала для танців
вул.Паризької Комуни, 10, м.Слов'янськ, Донецька обл., 84122","1278","615","1267","42","624","39","663","","0","624","39","663","15","648","462","14","3","4","25","40","2","2","4","92","28.10.12"
"141225","47","Донецька область","філія школи №4, хол
вул.Ленінградська, 2, м.Слов'янськ, Донецька обл., 84108","1818","797","1809","186","864","157","1021","","0","864","157","1021","20","1001","760","27","2","4","60","59","8","0","6","75","29.10.12"
"141226","47","Донецька область","школа №4, вестибюль
вул.Смольна, 17, м.Слов'янськ, Донецька обл., 84108","2316","1293","2282","64","964","59","1023","","0","964","59","1023","34","989","722","20","2","3","50","65","6","1","1","119","02.11.12"
"141227","47","Донецька область","школа №9, спортивна зала
вул.Кутузова, 5, м.Слов'янськ, Донецька обл., 84101","1428","695","1414","18","718","15","733","","0","717","15","732","19","713","513","14","5","3","46","27","4","1","4","96","29.10.12"
"141228","47","Донецька область","міська лікарня №3, актова зала
вул.Донська, 3, м.Слов'янськ, Донецька обл., 84101","1650","782","1616","15","853","15","868","","0","853","15","868","25","843","630","28","2","5","42","41","5","2","4","84","29.10.12"
"141229","47","Донецька область","бальнеофізіотерапевтична лікувальниця санаторію ""Донбас"", вестибюль
вул.Пушкінська, 1, м.Слов'янськ, Донецька обл., 84110","888","310","887","76","505","73","578","","0","505","73","578","15","563","408","16","6","2","37","35","6","1","3","49","29.10.12"
"141230","47","Донецька область","школа №7, спортивна зала
вул.Енергетиків, 6, м.Слов'янськ, Донецька обл., 84110","1314","614","1305","47","661","39","700","","0","661","39","700","19","681","502","18","2","0","27","21","5","1","4","101","29.10.12"
"141231","47","Донецька область","школа №21, спортивна зала
вул.Лисичанська, 121, м.Слов'янськ, Донецька обл., 84115","1602","754","1578","59","793","55","848","","0","793","55","848","25","823","667","10","3","1","37","20","1","1","3","80","29.10.12"
"141232","47","Донецька область","бібліотека-філія №5, хол
вул.40 років Жовтня, 2, м.Слов'янськ, Донецька обл., 84108","2070","1008","2047","60","1005","57","1062","","0","1005","57","1062","23","1039","806","30","3","1","42","36","8","3","5","105","29.10.12"
"141233","47","Донецька область","Миколаївська державна гімназія, фойє, 1-й поверх
вул.Горького, 4, м.Миколаївка, м.Слов’янськ, Донецька обл., 84180","2232","903","2202","90","1249","80","1329","","0","1249","80","1329","31","1298","1064","29","3","4","34","59","2","1","2","100","29.10.12"
"141234","47","Донецька область","Миколаївська школа №2, фойє, 2-й поверх
вул.50-річчя Слов’янської ТЕС, 11, м.Миколаївка, м.Слов’янськ, Донецька обл., 84182","2172","992","2153","110","1084","96","1180","","0","1084","96","1180","19","1161","955","20","2","1","20","67","5","1","8","82","29.10.12"
"141235","47","Донецька область","Миколаївська школа №1, фойє, 2-й поверх
вул.Пархоменко, 11, м. Миколаївка, м.Слов’янськ, Донецька обл., 84180","2310","1034","2286","64","1219","57","1276","","0","1219","57","1276","31","1245","1008","30","2","4","29","52","4","1","5","110","29.10.12"
"141236","47","Донецька область","Палац культури, мала зала
вул.50-річчя Слов’янської ТЕС, 16, м.Миколаївка, м.Слов’янськ, Донецька обл., 84182","2130","886","2080","55","1189","55","1244","","0","1189","55","1244","22","1222","1004","18","11","2","20","72","2","1","4","88","29.10.12"
"141237","47","Донецька область","Миколаївська школа №3, фойє, 1-й поверх
вул.Миру, 8, м.Миколаївка, м.Слов’янськ, Донецька обл., 84182","2082","857","2056","45","1182","43","1225","","0","1182","43","1225","28","1197","968","22","2","3","37","55","7","2","8","93","29.10.12"
"141238","47","Донецька область","Святогірська школа, їдальня
вул.Леніна, 57, м.Святогірськ, м.Слов’янськ, Донецька обл., 84130","1506","748","1473","69","701","57","758","","0","701","57","758","19","739","531","32","4","10","66","19","4","4","4","65","29.10.12"
"141239","47","Донецька область","ПАТ ""Укртелеком"" Донецька філія цех №21, телеграфна зала
вул.Островського, 54, м.Святогірськ, м.Слов’янськ, Донецька обл., 84130","1248","528","1237","35","692","28","720","","0","692","28","720","33","687","522","22","4","3","50","10","4","1","5","66","29.10.12"
"141240","47","Донецька область","міська лікарня №1, неврологічне відділення, хол
вул.Жовтневої Революції, 31, м.Слов’янськ, Донецька обл., 84122","42","25","17","5","12","5","17","","0","12","5","17","0","17","8","0","0","1","4","0","0","0","0","4","29.10.12"
"141241","47","Донецька область","міська лікарня №1, терапевтичне відділення №2, хол
вул.Заводська, 2, м.Слов’янськ, Донецька обл., 84102","30","13","21","0","17","0","17","","0","17","0","17","0","17","9","1","0","0","2","0","0","1","0","4","29.10.12"
"141242","47","Донецька область","Вузлова лікарня станції Слов’янськ , хол, 1-поверх
вул.Маломіська, 142, м.Слов’янськ, Донецька обл., 84109","72","42","30","4","26","4","30","","0","26","4","30","0","30","18","3","0","0","2","2","1","0","0","4","29.10.12"
"141243","47","Донецька область","пологовий будинок, хол, 1-поверх
вул.Леніна, 15, м.Слов’янськ, Донецька обл., 84122","54","28","26","0","26","0","26","","0","26","0","26","0","26","23","0","0","0","2","0","0","0","0","1","29.10.12"
"141244","47","Донецька область","обласна психіатрична лікарня, фізіотерапевтичне відділення, хол
вул.Нарвська, 16, м.Слов’янськ, Донецька обл., 84115","306","94","239","19","195","17","212","","0","195","17","212","109","103","75","7","3","2","1","7","0","4","1","3","02.11.12"
"141245","47","Донецька область","Слов’янська центральна районна лікарня, актова зала
вул.Миру, 13, м.Миколаївка, м.Слов’янськ, Донецька обл., 84182","54","31","28","20","8","15","23","","0","8","15","23","0","23","18","0","0","0","2","0","0","0","0","3","29.10.12"
"141246","47","Донецька область","Слов’янський міський протитуберкульозний диспансер, хол лікарні
вул.Урицького, 24, м.Слов’янськ, Донецька обл., 84122","42","23","23","4","15","4","19","","0","15","4","19","0","19","15","1","0","1","1","0","0","0","0","1","28.10.12"
"141247","47","Донецька область","міська лікарня ім.Леніна, актова зала, 4-й поверх
вул.Тараса Шевченка, 40, м.Слов’янськ, Донецька обл., 84122","102","69","33","15","18","15","33","","0","18","15","33","1","32","20","3","0","0","4","1","0","0","0","4","29.10.12"
"141248","47","Донецька область","обласний госпіталь для ветеранів війни, їдальня
вул.Піонерська, 66, м.Святогірськ, м.Слов’янськ, Донецька обл., 84130","204","65","159","0","139","0","139","","0","139","0","139","108","31","17","1","0","0","6","1","0","1","0","5","02.11.12"
