"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бєліков
Юрій
Миколайович","Кисельов
Юрій
Анатолійович","Ложечкін
Вадим
Сергійович","Нагорний
Тимофій
Олександрович","Новиков
Станіслав
Олегович","Омельченко
Валерій
Павлович","Дата підписання протоколу"
"142076","55","Донецька область","клінічна Руднічна лікарня, актова зала
вул.Лікарняна, 1, м.Макіївка, Донецька обл., 86108","696","183","514","192","321","192","513","","0","321","192","513","12","501","32","14","63","55","16","321","28.10.12"
"142077","55","Донецька область","міська лікарня №4, актова зала
вул.Енгельса, 1, м.Макіївка, Донецька обл., 86154","112","0","112","14","98","14","112","","0","98","14","112","0","112","0","0","0","6","0","106","28.10.12"
"142108","55","Донецька область","ПК ім.Воровського, циркова зала
вул.Гаврилова, 5, м.Макіївка, Донецька обл., 86141","1512","579","1470","31","902","31","933","","0","902","31","933","30","903","24","15","120","146","21","577","28.10.12"
"142109","55","Донецька область","КУ ""ЦДЮТ"", хол
вул.Гаврилова, 20, м.Макіївка, Донецька обл., 86145","1624","506","1610","50","1068","50","1118","","0","1068","50","1118","31","1087","20","10","87","214","12","744","28.10.12"
"142110","55","Донецька область","КУ ""ЦДЮТ"", глядацька зала
вул.Гаврилова, 20, м.Макіївка, Донецька обл., 86145","1504","805","1490","19","680","19","699","","0","680","19","699","34","665","24","14","93","160","10","364","29.10.12"
"142111","55","Донецька область","Макіївське вище профучилище, хол
вул.Кірова, 1А, м.Макіївка, Донецька обл., 86141","1864","872","1812","58","936","56","992","","0","936","56","992","45","947","26","14","185","194","12","516","29.10.12"
"142112","55","Донецька область","школа №80, спортивна зала
вул.Скнарьова, 31, м.Макіївка, Донецька обл., 86141","1656","749","1630","44","863","44","907","","0","863","44","907","24","883","19","23","123","206","11","501","29.10.12"
"142113","55","Донецька область","школа №16, коридор
вул.Кірова, школа №16, м.Макіївка, Донецька обл., 86141","1040","417","1031","55","568","55","623","","0","568","55","623","24","599","19","9","90","136","8","337","28.10.12"
"142114","55","Донецька область","ТОВ ""Макіївпромтранс"", актова зала
ТОВ ""Макіївпромтранс"", м.Макіївка, Донецька обл., 86141","1512","536","1486","33","946","30","976","","0","946","30","976","31","945","21","18","111","148","10","637","29.10.12"
"142115","55","Донецька область","школа №72, коридор, центральний вхід
вул.Гаврилова, 20А, м.Макіївка, Донецька обл., 86145","1816","529","1784","57","1231","56","1287","","0","1231","56","1287","36","1251","19","27","182","169","16","838","29.10.12"
"142116","55","Донецька область","школа №72, коридор, праве крило
вул.Гаврилова, 20А, м.Макіївка, Донецька обл., 86145","1616","706","1592","29","881","29","910","","0","881","29","910","24","886","33","15","126","161","16","535","29.10.12"
"142117","55","Донецька область","школа №19, спортивна зала
вул.Вишинського, 33, м.Макіївка, Донецька обл., 86140","1600","712","1559","75","821","67","888","","0","821","67","888","12","876","7","34","84","352","7","392","29.10.12"
"142118","55","Донецька область","школа №3, спортивна зала
вул.Шмідта, школа №3, м.Макіївка, Донецька обл., 86140","1280","643","1244","24","613","24","637","","0","613","24","637","17","620","11","33","53","242","7","274","29.10.12"
"142119","55","Донецька область","школа №91, спортивна зала
вул.Театральна, 1, м.Макіївка, Донецька обл., 86137","768","274","756","44","450","44","494","","0","450","44","494","25","469","10","11","68","101","5","274","29.10.12"
"142120","55","Донецька область","ПК ""Юність"", хол
вул.Жовтнева, ПК ""Юність"", смт Кринична, м.Макіївка, Донецька обл., 86183","1240","350","1220","53","838","52","890","","0","838","52","890","32","858","23","16","98","69","15","637","28.10.12"
"142121","55","Донецька область","НВК ""Світанок"" №35, спортивна зала
вул.Шкільна, 1, смт Кринична, м.Макіївка, Донецька обл., 86183","1576","446","1552","55","1075","55","1130","","0","1075","55","1130","27","1103","31","22","115","115","26","794","28.10.12"
"142122","55","Донецька область","ВАТ ""Будмаш"", красний куточок
вул.Вавиліна, 18, смт Кринична, м.Макіївка, Донецька обл., 86183","768","188","762","18","562","18","580","","0","562","18","580","42","538","16","14","59","105","10","334","29.10.12"
"142123","55","Донецька область","школа №83, спортивна зала
вул.40 років Жовтня, 10, м.Макіївка, Донецька обл., 86144","1872","879","1826","54","940","53","993","","0","940","53","993","23","970","13","34","88","122","19","694","01.11.12"
"142124","55","Донецька область","школа №83, коридор
вул.40 років Жовтня, 10, м.Макіївка, Донецька обл., 86144","1640","798","1599","36","807","35","842","","0","807","35","842","19","823","25","23","87","103","10","575","29.10.12"
"142125","55","Донецька область","школа №17, коридор
пров.Шкільний, 17, м.Макіївка, Донецька обл., 86142","1376","498","1336","37","841","37","878","","0","841","37","878","34","844","26","19","83","149","13","554","29.10.12"
"142126","55","Донецька область","ПК ім.Маяковського, хол
вул.Гагаріна, ПК ім.Маяковського, м.Макіївка, Донецька обл., 86143","1424","631","1396","17","778","15","793","","0","778","15","793","20","773","21","14","77","125","13","523","29.10.12"
"142127","55","Донецька область","школа №1, актова зала
квартал 8, 12, м.Макіївка, Донецька обл., 86143","1304","550","1270","34","720","34","754","","0","720","34","754","16","738","17","22","73","71","4","551","28.10.12"
"142128","55","Донецька область","ВАТ ""Укрвуглепостачання"", актова зала
вул.Новочеркаська, 25, м.Макіївка, Донецька обл., 86145","1344","561","1308","50","733","50","783","","0","731","50","781","25","756","18","15","66","109","16","532","28.10.12"
"142129","55","Донецька область","школа №45, коридор
вул.Калініна, 100, м.Макіївка, Донецька обл., 86135","1432","496","1415","37","899","37","936","","0","899","37","936","27","909","4","22","20","158","9","696","29.10.12"
"142130","55","Донецька область","палац культури ім.40-річчя ЛКСМУ, хол, праве крило
квартал 57, палац культури ім.40-річчя ЛКСМУ, м.Макіївка, Донецька обл., 86116","2296","1109","2235","58","1134","53","1187","","0","1134","53","1187","42","1145","34","44","133","199","24","711","29.10.12"
"142131","55","Донецька область","палац культури ім.40-річчя ЛКСМУ, хол, ліве крило
квартал 57, палац культури ім.40-річчя ЛКСМУ, м.Макіївка, Донецька обл., 86116","2040","960","2003","42","1038","42","1080","","0","1038","42","1080","45","1035","42","39","141","192","25","596","29.10.12"
"142132","55","Донецька область","школа №41, коридор, 1-й поверх
вул.Маркса Карла, 1, м.Макіївка, Донецька обл., 86141","1128","549","1109","44","539","40","579","","0","539","40","579","24","555","10","6","84","109","8","338","29.10.12"
"142133","55","Донецька область","школа №41, коридор, 2-й поверх
вул.Маркса Карла, 1, м.Макіївка, Донецька обл., 86141","1712","878","1709","45","791","43","834","","0","791","43","834","33","801","21","21","94","172","16","477","28.10.12"
"142134","55","Донецька область","школа №102, спортивна зала
вул.Молодої Гвардії, 1, смт Нижня Кринка, м.Макіївка, Донецька обл., 86185","1664","853","1636","42","769","42","811","","0","769","42","811","29","782","18","20","66","72","13","593","28.10.12"
"142135","55","Донецька область","школа №99, спортивна зала
вул.Волгоградська, школа №99, смт Нижня Кринка, м.Макіївка, Донецька обл., 86185","1320","618","1303","25","678","24","702","","0","678","24","702","34","668","10","16","58","87","16","481","29.10.12"
"142136","55","Донецька область","палац культури ім.50-річчя Радянської влади, хол
вул.Центральна, палац культури ім.50-річчя Радянської влади, смт Нижня Кринка, м.Макіївка, Донецька обл., 86185","1544","496","1516","45","1003","45","1048","","0","1003","45","1048","10","1038","10","15","54","63","17","879","28.10.12"
"142137","55","Донецька область","школа №104, клубна кімната
вул.Радянська, 1Б, с.Верхня Кринка, м.Макіївка, Донецька обл., 86190","872","359","864","70","443","70","513","","0","443","70","513","17","496","14","9","66","27","9","371","29.10.12"
"142138","55","Донецька область","спорткомплекс шахти ""Ясинівська-Глибока"", спортивна зала, центральний вхід
вул.Театральна, спорткомплекс шахти ""Ясинівська-Глибока"", смт Нижня Кринка, м.Макіївка, Донецька обл., 86184","1024","501","999","26","497","26","523","","0","497","26","523","20","503","22","8","47","46","4","376","29.10.12"
"142139","55","Донецька область","ПК ""Спартак"", хол
ПК ""Спартак"", смт Красний Октябр, м.Макіївка, Донецька обл., 86189","1144","437","1118","61","648","59","707","","0","648","59","707","31","676","8","4","56","83","9","516","28.10.12"
"142140","55","Донецька область","спорткомплекс шахти ""Ясинівська-Глибока"", спортивна зала, праве крило
вул.Театральна, спорткомплекс шахти ""Ясинівська-Глибока"", смт Нижня Кринка, м.Макіївка, Донецька обл., 86184","1456","651","1426","36","769","36","805","","0","769","36","805","33","772","27","11","67","60","12","595","29.10.12"
"142141","55","Донецька область","школа №98, коридор, ліве крило
вул.Тургенєва, школа №98, смт Нижня Кринка, м.Макіївка, Донецька обл., 86186","728","275","717","50","404","49","453","","0","404","49","453","11","442","5","6","14","24","3","390","28.10.12"
"142142","55","Донецька область","школа №98, коридор, праве крило
вул.Тургенєва, школа №98, смт Нижня Кринка, м.Макіївка, Донецька обл., 86186","1544","593","1532","70","883","68","951","","0","883","68","951","12","939","0","0","20","16","3","900","28.10.12"
"142143","55","Донецька область","міська лікарня №6, хол
пл.Трестівська, 1, м.Макіївка, Донецька обл., 86141","160","8","152","15","137","15","152","","0","137","15","152","4","148","4","6","12","22","2","102","28.10.12"
