"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Другашов
Дмитро
Олександрович","Жмурко
Андрій
Анатолійович","Поддубний
Володимир
Анатолійович","Подколзін
Тимур
Сергійович","Попов
Василь
Миколайович","Проценко
Володимир
Васильович","Рибак
Володимир
Іванович","Рижков
Анатолій
Іванович","Шкіря
Ігор
Миколайович","Дата підписання протоколу"
"140709","52","Донецька область","школа-інтернат, їдальня
вул.Глінки, 1, м.Дзержинськ, Донецька обл., 85200","1776","704","1744","60","1012","60","1072","","0","1012","60","1072","35","1037","8","30","258","7","8","127","54","52","493","29.10.12"
"140710","52","Донецька область","навчально-виробничий комбінат, вестибюль
вул.Свердлова, 47, м.Дзержинськ, Донецька обл., 85200","2016","1044","1992","69","917","55","972","","0","917","55","972","56","916","5","27","135","3","5","138","54","75","474","29.10.12"
"140711","52","Донецька область","школа №2, фойє
вул.Гоголя, 2, м.Дзержинськ, Донецька обл., 85200","1864","1010","1836","65","793","61","854","","0","793","61","854","41","813","2","26","110","7","3","103","40","57","465","29.10.12"
"140712","52","Донецька область","амбулаторія, м.Артемове, червоний куточок
просп.Піонерів, 23, м.Артемове, м.Дзержинськ, Донецька обл., 85290","768","295","751","62","411","62","473","","0","411","62","473","13","460","1","10","117","2","3","32","13","32","250","29.10.12"
"140713","52","Донецька область","школа №13, зала
вул.Першотравнева, 11А, м.Артемове, м.Дзержинськ, Донецька обл., 85290","1208","548","1167","66","595","65","660","","0","595","65","660","10","650","3","3","163","2","3","52","18","33","373","29.10.12"
"140714","52","Донецька область","професійний гірничий ліцей, актова зала
вул.Піонерів, 2, м.Артемове, м.Дзержинськ, Донецька обл., 85290","1336","575","1304","64","701","60","761","","0","701","60","761","11","750","2","6","58","4","1","10","4","7","658","29.10.12"
"140717","52","Донецька область","клуб ш.""Південна"", зала
вул.Чернишевського, 1, смт Ленінське, м.Дзержинськ, Донецька обл., 85293","976","221","957","62","693","62","755","","0","693","62","755","6","749","3","4","26","3","6","19","14","10","664","29.10.12"
"140718","52","Донецька область","адміністративна будівля ш.""Північна"", їдальня
вул.Леніна, 1, смт Кірове, м.Дзержинськ, Донецька обл., 85280","1696","770","1653","118","818","108","926","","0","818","108","926","23","903","3","13","114","1","2","124","28","53","565","29.10.12"
"140719","52","Донецька область","адміністративна будівля ш.""Північна"", великий зал
вул.Леніна, 1, смт Кірове, м.Дзержинськ, Донецька обл., 85280","1072","329","1053","60","686","57","743","","0","686","57","743","13","730","3","8","70","2","4","86","22","43","492","29.10.12"
"140720","52","Донецька область","школа №10, зала
вул.Нова, 4, смт Кірове, м.Дзержинськ, Донецька обл., 85280","2192","928","2161","72","1192","72","1264","","0","1192","72","1264","26","1238","9","25","6","162","7","107","49","73","800","29.10.12"
"140721","52","Донецька область","палац культури ш.""Північна"", великий зал
вул.Леніна, 5, смт Кірове, м.Дзержинськ, Донецька обл., 85280","2000","916","1962","58","1042","42","1084","","0","1042","42","1084","35","1049","3","22","136","2","15","96","40","57","678","29.10.12"
"140722","52","Донецька область","школа №7, фойє
вул.Зарічна, 1, с-ще Дружба, м.Дзержинськ, Донецька обл., 85286","1360","612","1349","65","683","65","748","","0","683","65","748","17","731","2","17","31","4","2","114","25","82","454","29.10.12"
"140723","52","Донецька область","школа №12, вестибюль
вул.Філатова, 6, смт Курдюмівка, м.Дзержинськ, Донецька обл., 85285","944","405","934","72","468","71","539","","0","468","71","539","33","506","5","17","145","5","0","70","13","27","224","29.10.12"
"140724","52","Донецька область","палац культури Новгородського машинобудівного заводу, зала
пров.1-й Поштовий, палац культури Новгородського машинобудівного заводу, смт Новгородське, м.Дзержинськ, Донецька обл., 85297","1568","164","1544","58","1346","58","1404","","0","1346","58","1404","0","1404","0","2","126","0","2","23","6","0","1245","29.10.12"
"140725","52","Донецька область","школа №16, актова зала
вул.Єсеніна, 2, смт Новгородське, м.Дзержинськ, Донецька обл., 85297","1520","330","1494","30","1164","26","1190","","0","1164","26","1190","0","1190","0","0","96","2","0","13","0","0","1079","29.10.12"
"140726","52","Донецька область","Новгородська школа-інтернат №38, спортзал
пров.Пролетарський, 24, смт Новгородське, м.Дзержинськ, Донецька обл., 85297","704","137","696","17","550","17","567","","0","550","17","567","7","560","0","3","41","0","2","38","13","9","454","29.10.12"
"140727","52","Донецька область","будинок громадських організацій, зал засідань
вул.Зарічна, 1, смт Новгородське, м.Дзержинськ, Донецька обл., 85295","1480","388","1455","126","966","126","1092","","0","966","126","1092","12","1080","2","21","54","3","5","112","36","29","818","29.10.12"
"140728","52","Донецька область","клуб Фенольного заводу, фойє
вул.Соцгородок, 5А, смт Новгородське, м.Дзержинськ, Донецька обл., 85295","1696","284","1677","79","1333","79","1412","","0","1333","79","1412","37","1375","8","37","162","6","4","112","33","37","976","29.10.12"
"140729","52","Донецька область","будинок культури, вестибюль
вул.Клубна, 1, смт Неліпівка, м.Дзержинськ, Донецька обл., 85298","728","75","715","63","595","58","653","","0","595","58","653","7","646","5","7","29","1","5","57","21","23","498","29.10.12"
"140730","52","Донецька область","школа №18, актова зала
вул.Радянська, 1, смт Новгородське, м.Дзержинськ, Донецька обл., 85296","768","138","765","49","581","49","630","","0","581","49","630","24","606","4","5","120","1","3","25","12","11","425","29.10.12"
"140731","52","Донецька область","кафе СПД Фостик Т.М., фойє
вул.Радянська, 106, смт Новгородське, м.Дзержинськ, Донецька обл., 85296","512","122","504","40","352","38","390","","0","352","38","390","3","387","5","5","23","7","4","25","7","8","303","29.10.12"
"140732","52","Донецька область","ДП ""Донецьке"", червоний куточок
вул.Миру, ДП ""Донецьке"", с-ще Суха Балка, м.Дзержинськ, Донецька обл., 85299","488","96","476","35","357","35","392","","0","357","35","392","7","385","2","5","116","3","4","14","12","2","227","29.10.12"
"140733","52","Донецька область","будинок народних традицій, зала
вул.Кірова, 33А, смт Щербинівка, м.Дзержинськ, Донецька обл., 85287","1240","341","1220","128","771","128","899","","0","771","128","899","15","884","6","17","82","3","4","85","35","28","624","29.10.12"
"140734","52","Донецька область","школа №21, актова зала
вул.Дзержинського, 9, смт Щербинівка, м.Дзержинськ, Донецька обл., 85287","1136","143","1119","112","884","109","993","","0","884","109","993","8","985","2","12","14","0","5","61","20","15","856","29.10.12"
"140735","52","Донецька область","дитячий садок №4 ""Дзвіночок"", фойє
вул.Енгельса, 10, смт Петрівка, м.Дзержинськ, Донецька обл., 85287","768","253","752","83","432","83","515","","0","432","83","515","0","515","7","7","21","0","0","63","33","16","368","29.10.12"
"140736","52","Донецька область","міська лікарня, червоний куточок
вул.Дзержинського, 55, м.Дзержинськ, Донецька обл., 85200","152","2","150","49","101","49","150","","0","101","49","150","5","145","0","1","13","0","0","20","4","6","101","29.10.12"
"140737","52","Донецька область","Дзержинська виправна колонія №2, зала
вул.Херсонська, 1, м.Дзержинськ, Донецька обл., 85200","904","11","893","0","893","0","893","","0","893","0","893","20","873","6","5","3","6","7","10","12","8","816","29.10.12"
"141453","52","Донецька область","школа №33, спортзал
вул.Гуртянська, 18, м.Горлівка, Донецька обл., 84640","608","303","600","7","299","6","305","","0","299","6","305","9","296","2","13","72","2","3","22","16","4","162","29.10.12"
"141454","52","Донецька область","будинок колишньої їдальні, зал
вул.Козацька, будинок колишньої їдальні, м.Горлівка, Донецька обл., 84640","192","69","196","17","106","17","123","","0","106","17","123","3","120","2","2","2","1","0","12","7","0","94","29.10.12"
"141455","52","Донецька область","клуб ТОВ ""Гурти"", зал
вул.Бєлецького, 99А, м.Горлівка, Донецька обл., 84640","368","158","366","4","206","4","210","","0","206","4","210","0","210","0","14","21","0","1","13","4","1","156","29.10.12"
"141456","52","Донецька область","школа №28, коридор
вул.Сіверськодонецька, 46, м.Горлівка, Донецька обл., 84628","848","471","840","40","338","39","377","","0","338","39","377","7","370","1","10","47","0","0","26","18","1","267","29.10.12"
"141457","52","Донецька область","шахта імені М.І.Калініна, хол АБК
вул.Празька, 101, м.Горлівка, Донецька обл., 84612","1112","675","1102","31","408","29","437","","0","408","29","437","22","415","4","17","90","0","2","32","24","1","245","29.10.12"
"141458","52","Донецька область","музична школа №2, фойє
вул.Празька, 25, м.Горлівка, Донецька обл., 84612","1128","674","1107","45","409","45","454","","0","409","45","454","17","437","2","17","63","2","4","42","21","3","283","29.10.12"
"141459","52","Донецька область","школа №62, хол
вул.Красносільська, 6, м.Горлівка, Донецька обл., 84612","1368","764","1365","25","579","25","604","","0","579","25","604","38","566","1","26","122","2","4","61","32","6","312","29.10.12"
"141460","52","Донецька область","КП ""Кінотеатр ""Спартак"", фойє
вул.Черникова, 26, м.Горлівка, Донецька обл., 84618","1696","915","1666","18","764","17","781","","0","764","17","781","45","736","5","42","129","10","5","66","36","14","429","28.10.12"
"141461","52","Донецька область","філія будинку дитячої творчості, вестибюль
вул.Вільямса, 7, м.Горлівка, Донецька обл., 84618","1648","823","1628","14","813","12","825","","0","813","12","825","36","789","7","49","158","5","3","60","31","5","471","29.10.12"
"141462","52","Донецька область","школа №49, кабінет музики
вул.Немировича-Данченка, 7, м.Горлівка, Донецька обл., 84647","1896","1040","1859","17","843","13","856","","0","843","13","856","47","809","5","71","123","6","7","87","49","5","456","29.10.12"
"141463","52","Донецька область","школа №50, хол
вул.Соколовського, 15, м.Горлівка, Донецька обл., 84618","2232","1258","2198","7","967","7","974","","0","967","7","974","35","939","6","71","149","4","8","68","52","7","574","28.10.12"
"141464","52","Донецька область","школа-інтернат №4, хол
вул.Немировича-Данченка, 8, м.Горлівка, Донецька обл., 84647","2120","1153","2082","13","954","13","967","","0","954","13","967","50","917","5","123","197","10","1","98","29","7","447","29.10.12"
"141465","52","Донецька область","школа №22, коридор 2
вул.40 років України, 66, м.Горлівка, Донецька обл., 84647","2288","1224","2234","41","1030","34","1064","","0","1030","34","1064","64","1000","3","126","160","7","7","110","58","8","521","29.10.12"
"141466","52","Донецька область","школа №22, коридор 1
вул.40 років України, 66, м.Горлівка, Донецька обл., 84647","2320","1284","2261","25","1014","22","1036","","0","1014","22","1036","54","982","6","179","195","3","7","81","45","7","459","29.10.12"
"141467","52","Донецька область","шахта імені Румянцева, хол
вул.Енергетична, 1, м.Горлівка, Донецька обл., 84604","1112","705","1088","22","385","22","407","","0","385","22","407","15","392","2","19","59","0","4","26","10","4","268","29.10.12"
"141468","52","Донецька область","школа №86, вестибюль
вул.Швидкого, 20, м.Горлівка, Донецька обл., 84604","1840","1057","1829","23","762","21","783","","0","762","21","783","30","753","3","33","153","5","10","88","30","8","423","30.10.12"
"141469","52","Донецька область","рада ветеранів війни та праці, зал
вул.Шепелєва, 23, м.Горлівка, Донецька обл., 84624","592","273","600","14","308","11","319","","0","308","11","319","21","298","0","17","24","0","2","41","18","3","193","29.10.12"
"141470","52","Донецька область","будинок дитячої творчості, спортзал
вул.Мазикових, 32, м.Горлівка, Донецька обл., 84624","2080","1079","2053","54","959","42","1001","","0","959","42","1001","61","940","6","69","162","7","11","101","70","14","500","31.10.12"
"141471","52","Донецька область","КП ""Міський палац молоді"", фойє
вул.Мазикових, 25, м.Горлівка, Донецька обл., 84624","2208","1181","2191","31","999","28","1027","","0","999","28","1027","51","976","4","69","174","5","11","121","37","18","537","29.10.12"
"141472","52","Донецька область","школа №53, хол 1-й поверх
вул.Рогозіна, 10, м.Горлівка, Донецька обл., 84624","2264","1179","2239","30","1060","25","1085","","0","1060","25","1085","55","1030","6","61","240","4","5","118","56","16","524","29.10.12"
"141473","52","Донецька область","школа №53, хол 2-й поверх
вул.Рогозіна, 10, м.Горлівка, Донецька обл., 84624","2296","1204","2236","10","1085","7","1092","","0","1085","7","1092","71","1021","5","67","306","4","11","93","75","15","445","29.10.12"
"141474","52","Донецька область","гімназія ""Інтелект"", хол 1
вул.Малинича, 34, м.Горлівка, Донецька обл., 84624","2240","1157","2208","14","1069","14","1083","","0","1069","14","1083","76","1007","10","83","168","6","11","103","73","12","541","29.10.12"
"141475","52","Донецька область","гімназія ""Інтелект"", хол 2
вул.Малинича, 34, м.Горлівка, Донецька обл., 84624","2240","1242","2216","31","975","23","998","","0","975","23","998","43","955","5","59","162","2","6","108","48","13","552","31.10.12"
"141476","52","Донецька область","школа №41, їдальня
вул.Малинича, 32, м.Горлівка, Донецька обл., 84624","2208","1273","2173","20","917","18","935","","0","917","18","935","67","868","3","49","172","7","10","100","53","24","450","29.10.12"
"141477","52","Донецька область","будинок дитячої творчості, зал
вул.Безсонова, 31, м.Горлівка, Донецька обл., 84624","2200","1173","2175","36","1001","26","1027","","0","1001","26","1027","58","969","7","37","318","3","5","76","60","14","449","29.10.12"
"141478","52","Донецька область","школа №52, вестибюль 1
вул.Гречнєва, 4, м.Горлівка, Донецька обл., 84624","2400","1326","2376","17","1060","14","1074","","0","1060","14","1074","65","1009","4","64","254","8","6","118","60","19","476","29.10.12"
"141479","52","Донецька область","школа №52, вестибюль 2
вул.Гречнєва, 4, м.Горлівка, Донецька обл., 84624","2248","1207","2217","13","1029","12","1041","","0","1029","12","1041","52","989","13","67","184","8","9","130","61","24","493","29.10.12"
"141480","52","Донецька область","школа №41, спортзал
вул.Малинича, 32, м.Горлівка, Донецька обл., 84624","2352","1323","2307","26","1003","26","1029","","0","1003","26","1029","64","965","8","55","217","5","12","123","51","17","477","29.10.12"
"141481","52","Донецька область","школа №60, спортзал
вул.Горлівської дивізії, 14, м.Горлівка, Донецька обл., 84634","1416","875","1409","24","517","24","541","","0","517","24","541","29","512","2","22","12","1","7","69","28","3","368","29.10.12"
"141482","52","Донецька область","міжшкільний навчально-виробничий комбінат, вестибюль
вул.30 років ВЛКСМ, 5, м.Горлівка, Донецька обл., 84609","1648","780","1615","66","802","66","868","","0","802","66","868","41","827","5","34","45","5","5","101","44","13","575","29.10.12"
"141483","52","Донецька область","школа №5, спортзал
вул.Умова, 49, м.Горлівка, Донецька обл., 84609","1536","836","1505","34","668","32","700","","0","668","32","700","40","660","4","43","30","3","7","68","31","11","463","31.10.12"
"141484","52","Донецька область","школа №5, фойє
вул.Умова, 49, м.Горлівка, Донецька обл., 84609","1488","829","1475","35","624","35","659","","0","624","35","659","29","630","8","48","55","4","7","81","30","6","391","29.10.12"
"141485","52","Донецька область","Палац культури імені Гайового Горлівської міської ради, кімната для репетицій
вул.Шахтарська, 1, м.Горлівка, Донецька обл., 84622","2224","1251","2164","29","944","29","973","","0","944","29","973","67","906","8","41","100","6","2","86","41","15","607","29.10.12"
"141486","52","Донецька область","школа №21, коридор
вул.Педагогічна, 7, м.Горлівка, Донецька обл., 84613","1968","1209","1938","35","727","32","759","","0","727","32","759","32","727","5","43","37","5","4","94","32","4","503","29.10.12"
"141487","52","Донецька область","Спорткомплекс ПАТ ""Концерн Стирол"", фойє
вул.Возняка, 2, м.Горлівка, Донецька обл., 84610","888","421","899","24","446","21","467","","0","446","21","467","20","447","2","30","39","3","3","55","17","1","297","29.10.12"
"141488","52","Донецька область","школа №13, їдальня
вул.Щербакова, 4, м.Горлівка, Донецька обл., 84610","1984","1084","1963","40","861","39","900","","0","861","39","900","44","856","7","54","83","4","5","115","44","8","536","29.10.12"
"141489","52","Донецька область","шахта ""Олександр-Захід"", фойє
вул.Вуглегірське шосе, 1, м.Горлівка, Донецька обл., 84647","1024","595","1024","40","389","40","429","","0","389","40","429","9","420","4","22","123","1","4","41","11","5","209","29.10.12"
"141490","52","Донецька область","спеціальна школа-інтернат №24 облради, коридор
вул.Фіалкова, 23, м.Горлівка, Донецька обл., 84611","1144","583","1138","36","526","35","561","","0","526","35","561","15","546","6","19","22","1","5","35","22","8","428","29.10.12"
"141491","52","Донецька область","школа №23, хол, 1-й поверх
вул.Бітумна, 6, м.Горлівка, Донецька обл., 84611","2040","887","1993","52","1102","51","1153","","0","1102","51","1153","47","1106","3","25","24","3","5","102","33","6","905","29.10.12"
"141492","52","Донецька область","КП ""Палац культури ""Кіндратівський"", балетний клас
вул.Бітумна, 6, м.Горлівка, Донецька обл., 84611","1112","545","1078","51","516","51","567","","0","516","51","567","14","553","3","27","20","1","3","32","16","4","447","28.10.12"
"141493","52","Донецька область","школа №29, актова зала
вул.Майкопська, 43, м.Горлівка, Донецька обл., 84611","952","419","942","59","474","59","533","","0","474","59","533","22","511","8","20","9","1","1","47","12","5","408","29.10.12"
"141494","52","Донецька область","будинок-інтернат для громадян похилого віку, хол, 1-й поверх
вул.Санаторна, 5, м.Горлівка, Донецька обл., 84611","240","8","237","97","136","96","232","","0","136","96","232","8","224","3","2","1","0","2","7","6","0","203","29.10.12"
"141495","52","Донецька область","міська лікарня №3, актова зала
вул.Політехнічна, 39, м.Горлівка, Донецька обл., 84609","280","151","140","19","115","14","129","","0","115","14","129","15","114","1","3","13","0","2","14","11","1","69","28.10.12"
"141496","52","Донецька область","виправна колонія №27, клуб
вул.Немировича-Данченка, 9, м.Горлівка, Донецька обл., 84647","1648","100","1548","0","1548","0","1548","","0","1548","0","1548","127","1421","10","24","17","11","22","25","45","28","1239","29.10.12"
