"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Асєєв
Олег
Анатолійович","Білий
Олексій
Петрович","Гудзюк
Сергій
Степанович","Дейнєс
Віталій
Геннадійович","Конишев
Геннадій
Аркадійович","Красновський
Сергій
Борисович","Решетняк
Ігор
Миколайович","Тіхонова
Лілія
Валентинівна","Дата підписання протоколу"
"142413","58","Донецька область","електромеханічний технікум, центральний вестибюль
вул.Зелінського, 11, м.Маріуполь, Донецька обл., 87534","1040","448","1030","4","588","4","592","","0","588","4","592","26","566","72","234","10","92","28","29","85","16","29.10.12"
"142414","58","Донецька область","школа №29, рекреація
вул.Зелінського, 37/39, м.Маріуполь, Донецька обл., 87534","1504","634","1504","31","841","29","870","","0","841","29","870","39","831","84","317","11","134","28","89","152","16","29.10.12"
"142415","58","Донецька область","гімназія №2, коридор
вул.Лавицького, 7, м.Маріуполь, Донецька обл., 87525","1864","823","1843","21","1023","18","1041","","0","1023","18","1041","49","992","76","441","20","204","38","34","153","26","29.10.12"
"142416","58","Донецька область","гімназія №2, коридор
вул.Лавицького, 7, м.Маріуполь, Донецька обл., 87525","1968","825","1933","16","1127","16","1143","","0","1127","16","1143","34","1109","87","566","9","170","45","52","165","15","29.10.12"
"142417","58","Донецька область","школа №54, коридор, 1-й поверх
вул.Кронштадтська, 11, м.Маріуполь, Донецька обл., 87534","1792","776","1769","45","973","43","1016","","0","973","43","1016","46","970","85","491","16","200","20","29","103","26","29.10.12"
"142418","58","Донецька область","школа №54, коридор, 2-й поверх
вул.Кронштадтська, 11, м.Маріуполь, Донецька обл., 87534","1416","627","1402","19","771","18","789","","0","771","18","789","41","748","57","374","15","177","18","23","68","16","29.10.12"
"142419","58","Донецька область","морський ліцей, актова зала
просп.Будівельників, 28А, м.Маріуполь, Донецька обл., 87534","2088","909","2072","31","1150","29","1179","","0","1150","29","1179","19","1160","76","621","24","203","32","50","118","36","29.10.12"
"142420","58","Донецька область","школа №23, коридор
просп.Будівельників, 28, м.Маріуполь, Донецька обл., 87534","1744","837","1712","35","881","26","907","","0","881","26","907","40","867","95","389","13","194","19","31","94","32","29.10.12"
"142421","58","Донецька область","школа №26, коридор, 1-й поверх
вул.Чорноморська, 12, м.Маріуполь, Донецька обл., 87517","1816","910","1792","35","876","30","906","","0","876","30","906","41","865","66","482","9","154","19","23","92","20","29.10.12"
"142422","58","Донецька область","школа №26, коридор, 2-й поверх
вул.Чорноморська, 12, м.Маріуполь, Донецька обл., 87517","1752","805","1718","35","916","31","947","","0","916","31","947","56","891","75","440","11","181","29","26","102","27","29.10.12"
"142423","58","Донецька область","пожежна частина №23, коридор
вул.Червонофлотська, 66, м.Маріуполь, Донецька обл., 87533","1688","837","1675","24","829","22","851","","0","829","22","851","47","804","64","408","13","146","13","31","104","25","29.10.12"
"142424","58","Донецька область","пожежна частина №23, актова зала
вул.Червонофлотська, 66, м.Маріуполь, Донецька обл., 87533","1400","670","1392","34","698","32","730","","0","698","32","730","19","711","71","365","12","124","14","21","89","15","29.10.12"
"142425","58","Донецька область","школа №15, рекреація лівого крила, 1-й поверх
вул.Новоросійська, 12, м.Маріуполь, Донецька обл., 87553","2200","978","2173","21","1203","19","1222","","0","1203","19","1222","48","1174","101","637","22","199","23","48","108","36","29.10.12"
"142426","58","Донецька область","школа №15, рекреація правого крила, 1-й поверх
вул.Новоросійська, 12, м.Маріуполь, Донецька обл., 87553","2264","1025","2240","23","1218","21","1239","","0","1218","21","1239","55","1184","107","636","19","220","25","27","114","36","29.10.12"
"142427","58","Донецька область","школа №15, рекреація лівого крила, 2-й поверх
вул.Новоросійська, 12, м.Маріуполь, Донецька обл., 87553","1264","559","1271","43","665","40","705","","0","665","40","705","69","636","64","331","4","110","8","17","89","13","29.10.12"
"142428","58","Донецька область","школа №15, рекреація правого крила, 2-й поверх
вул.Новоросійська, 12, м.Маріуполь, Донецька обл., 87553","2344","1208","2316","5","1131","5","1136","","0","1131","5","1136","66","1070","112","469","14","196","44","44","164","27","29.10.12"
"142429","58","Донецька область","школа №33, рекреація
вул.Маріупольська, 18А, м.Маріуполь, Донецька обл., 87521","2192","963","2182","31","1198","31","1229","","0","1198","31","1229","29","1200","109","641","12","200","30","48","138","22","29.10.12"
"142430","58","Донецька область","школа №32, актова зала
вул.Маркелова, 2, м.Маріуполь, Донецька обл., 87510","1488","722","1483","42","726","40","766","","0","726","40","766","38","728","63","357","7","119","19","25","117","21","29.10.12"
"142431","58","Донецька область","школа №32, коридор
вул.Маркелова, 2, м.Маріуполь, Донецька обл., 87510","1816","954","1789","36","831","31","862","","0","831","31","862","34","828","63","391","24","151","26","35","112","26","29.10.12"
"142432","58","Донецька область","палац культури ""Чайка"", фойє, 1-й поверх
просп.Луніна, 71, м.Маріуполь, Донецька обл., 87510","1648","873","1635","32","746","29","775","","0","746","29","775","27","748","67","342","13","155","16","25","112","18","28.10.12"
"142433","58","Донецька область","палац культури ""Чайка"", фойє, 2-й поверх
просп.Луніна, 71, м.Маріуполь, Донецька обл., 87510","1904","932","1893","43","931","41","972","","0","931","41","972","40","932","81","427","21","210","22","23","127","21","29.10.12"
"142434","58","Донецька область","морський порт, вестибюль
просп.Луніна, 99, м.Маріуполь, Донецька обл., 87510","1280","641","1265","32","607","32","639","","0","607","32","639","19","620","46","336","13","101","16","20","74","14","28.10.12"
"142435","58","Донецька область","гуртожиток СРЗ, актова зала
просп.Луніна, 9, м.Маріуполь, Донецька обл., 87510","2032","844","1986","158","1030","158","1188","","0","1030","158","1188","28","1160","21","1061","4","30","7","7","18","12","29.10.12"
"142436","58","Донецька область","школа №37, актова зала
вул.Котовського, 102, м.Маріуполь, Донецька обл., 87501","1880","836","1875","41","1003","41","1044","","0","1003","41","1044","31","1013","68","664","11","154","14","20","66","16","29.10.12"
"142437","58","Донецька область","школа №37, їдальня
вул.Котовського, 102, м.Маріуполь, Донецька обл., 87501","1864","952","1851","38","877","35","912","","0","877","35","912","55","857","50","465","11","165","15","27","96","28","29.10.12"
"142438","58","Донецька область","лікарня залізниці, актова зала
вул.Новоросійська, 28, м.Маріуполь, Донецька обл., 87553","48","4","45","3","42","2","44","","0","42","2","44","2","42","7","20","2","4","1","2","5","1","29.10.12"
"142439","58","Донецька область","Маріупольська міська лікарня №9, актова зала
вул.Гагаріна, 114/116, м.Маріуполь, Донецька обл., 87510","256","176","86","19","63","17","80","","0","63","17","80","2","78","9","41","1","12","0","6","6","3","29.10.12"
