"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Волинець
Євгеній
Валерійович","Здор
Костянтин
Семенович","Кушніров
Олександр
Леонідович","Лук’янов
Владислав
Валентинович","Півень
Микола
Іванович","Подорожко
Євген
Сергійович","Романченко
Олексій
Віталійович","Дата підписання протоколу"
"141362","54","Донецька область","школа №25, фойє
мікрорайон Металургів, школа №25, м.Харцизьк, Донецька обл., 86700","2440","1100","2412","32","1317","23","1340","","0","1317","23","1340","64","1276","199","7","28","894","26","41","81","29.10.12"
"141363","54","Донецька область","школа №25, фойє
мікрорайон Металургів, школа №25, м.Харцизьк, Донецька обл., 86700","1440","611","1431","26","804","25","829","","0","804","25","829","39","790","97","6","11","588","18","28","42","29.10.12"
"141364","54","Донецька область","школа №19, актова зала
вул.Шкільна, 36, смт Гірне, м.Харцизьк, Донецька обл., 86782","1504","746","1485","38","720","38","758","","0","720","38","758","26","732","87","3","10","561","7","27","37","28.10.12"
"141365","54","Донецька область","приміщення КП ""Міськводоканал"", фойє
вул.Кірова, 24А, смт Гірне, м.Харцизьк, Донецька обл., 86782","1144","448","1113","42","659","37","696","","0","659","37","696","9","687","69","3","9","558","6","18","24","28.10.12"
"141366","54","Донецька область","обчислювальний центр, фойє
Третя ділянка, обчислювальний центр, смт Гірне, м.Харцизьк, Донецька обл., 86782","504","234","506","20","252","18","270","","0","252","18","270","14","256","35","3","2","190","7","7","12","29.10.12"
"141367","54","Донецька область","клуб ""Зуївський енергомеханічний завод"", фойє
вул.Леніна, 16, м.Зугрес, м.Харцизьк, Донецька обл., 86783","728","426","718","19","285","17","302","","0","285","17","302","14","288","81","1","4","181","5","3","13","28.10.12"
"141368","54","Донецька область","Зугреський технікум, актова зала
вул.Станційна, 1, м.Зугрес, м.Харцизьк, Донецька обл., 86783","1976","977","1937","17","985","14","999","","0","985","14","999","43","956","128","11","16","716","20","15","50","29.10.12"
"141369","54","Донецька область","школа №10, актова зала
вул.Комсомольська, 1, м.Зугрес, м.Харцизьк, Донецька обл., 86783","1568","826","1530","34","712","30","742","","0","712","30","742","51","691","85","5","19","495","23","14","50","29.10.12"
"141370","54","Донецька область","палац культури, фойє
вул.Леніна, 8А, м.Зугрес, м.Харцизьк, Донецька обл., 86783","1448","808","1419","28","621","19","640","","0","621","19","640","51","589","86","6","15","406","16","15","45","29.10.12"
"141371","54","Донецька область","профільний ліцей, спортивна зала
вул.Корнієнка, 1, м.Зугрес, м.Харцизьк, Донецька обл., 86783","1984","908","1952","31","1053","23","1076","","0","1053","23","1076","50","1026","127","6","23","759","29","13","69","29.10.12"
"141372","54","Донецька область","школа №9, спортивна зала
вул.Маяковського, 24, м.Зугрес, м.Харцизьк, Донецька обл., 86783","1352","657","1332","33","665","30","695","","0","665","30","695","39","656","91","8","17","472","9","14","45","29.10.12"
"141373","54","Донецька область","школа-інтернат, актова зала
вул.Маяковського, 16, м.Зугрес, м.Харцизьк, Донецька обл., 86783","1632","892","1617","54","698","42","740","","0","698","42","740","51","689","96","3","14","511","13","9","43","28.10.12"
"141374","54","Донецька область","гуртожиток №8 ""Зуївська ТЕС"", фойє
вул.60 років Жовтня, 8, м.Зугрес, м.Харцизьк, Донецька обл., 86783","1448","623","1427","13","815","10","825","","0","815","10","825","42","783","93","9","18","539","26","15","83","29.10.12"
"141375","54","Донецька область","культурний центр ""Луч"", фойє
вул.60 років Жовтня, 38, м.Зугрес, м.Харцизьк, Донецька обл., 86783","1432","641","1412","11","782","9","791","","0","782","9","791","36","755","103","3","20","547","20","15","47","29.10.12"
"141376","54","Донецька область","різнопрофільний ліцей №3, спортивна зала
вул.60 років Жовтня, різнопрофільний ліцей №3, м.Зугрес, м.Харцизьк, Донецька обл., 86783","1536","609","1527","20","909","18","927","","0","909","18","927","58","869","111","11","18","639","23","10","57","29.10.12"
"141377","54","Донецька область","школа №13, спортивна зала
вул.Шевченка, 18, м.Іловайськ, м.Харцизьк, Донецька обл., 86793","1360","617","1357","50","693","50","743","","0","693","50","743","45","698","145","2","18","481","18","13","21","28.10.12"
"141378","54","Донецька область","станція юних техніків, фойє
вул.Шевченка, 78, м.Іловайськ, м.Харцизьк, Донецька обл., 86793","2240","1018","2209","31","1195","27","1222","","0","1195","27","1222","91","1131","208","6","26","763","25","26","77","29.10.12"
"141379","54","Донецька область","пункт технічного огляду вагонів, актова зала
вул.Вокзальна, 34, м.Іловайськ, м.Харцизьк, Донецька обл., 86793","1504","650","1497","40","814","40","854","","0","814","40","854","74","780","146","7","32","471","44","28","52","28.10.12"
"141380","54","Донецька область","будинок науки та техніки локомотивного депо, фойє
вул.Первомайська, будинок науки та техніки локомотивного депо, м.Іловайськ, м.Харцизьк, Донецька обл., 86793","2136","982","2121","23","1135","19","1154","","0","1135","19","1154","48","1106","223","4","24","725","34","26","70","29.10.12"
"141381","54","Донецька область","навчально-виховний комплекс №1, спортивна зала
вул.Ярославського, 5А, м.Іловайськ, м.Харцизьк, Донецька обл., 86793","2232","913","2189","57","1269","50","1319","","0","1269","50","1319","112","1207","246","7","28","794","43","24","65","29.10.12"
"141382","54","Донецька область","локомотивне депо, актова зала
вул.Пролетарська, 33, м.Іловайськ, м.Харцизьк, Донецька обл., 86793","1280","531","1269","51","699","50","749","","0","699","50","749","53","696","163","8","20","428","30","21","26","28.10.12"
"141383","54","Донецька область","школа №14, актова зала
вул.Ломоносова, 54, м.Іловайськ, м.Харцизьк, Донецька обл., 86793","1064","514","1041","31","519","31","550","","0","519","31","550","44","506","84","7","9","341","21","15","29","28.10.12"
"141384","54","Донецька область","колійно-машинна станція №191, фойє
вул.Ломоносова, 169, м.Іловайськ, м.Харцизьк, Донецька обл., 86793","1136","522","1135","29","585","29","614","","0","585","29","614","57","557","81","6","15","401","25","11","18","29.10.12"
"141385","54","Донецька область","будинок медпункту смт Шахтне, фойє
вул.Комсомольська, будинок медпункту смт Шахтне, смт Шахтне, смт Троїцько-Харцизьк, м.Харцизьк, Донецька обл., 86791","800","254","779","66","481","65","546","","0","481","65","546","27","519","95","1","5","384","10","15","9","29.10.12"
"141386","54","Донецька область","школа №18, фойє
вул.Совєтська, 3, смт Троїцько-Харцизьк, м.Харцизьк, Донецька обл., 86790","1040","406","1029","73","569","65","634","","0","569","65","634","25","609","60","1","14","484","18","19","13","29.10.12"
"141387","54","Донецька область","селищний клуб смт Широке, зал
вул.Вокзальна, селищний клуб смт Широке, смт Широке, смт Троїцько-Харцизьк, м.Харцизьк, Донецька обл., 86792","632","247","612","32","356","29","385","","0","356","29","385","26","359","46","4","9","273","5","10","12","28.10.12"
"141388","54","Донецька область","школа №11, спортивна зала
вул.Леніна, 4А, смт Зуївка, м.Харцизьк, Донецька обл., 86781","1576","644","1562","107","832","100","932","","0","832","100","932","40","892","143","5","10","681","14","11","28","29.10.12"
"141389","54","Донецька область","будинок культури, зал
вул.Леніна, 4Б, смт Зуївка, м.Харцизьк, Донецька обл., 86781","1232","501","1232","58","681","50","731","","0","681","50","731","34","697","160","0","6","478","20","15","18","28.10.12"
"141390","54","Донецька область","Центральна міська лікарня, терапевтичний корпус, к.2
вул.Краснознаменська, 164, м.Харцизьк, Донецька обл., 86700","256","187","70","55","15","54","69","","0","15","54","69","2","67","9","0","4","46","1","1","6","29.10.12"
"141391","54","Донецька область","Зугреська міська лікарня №2, к.2
вул.Калініна, 17А, м.Зугрес, м.Харцизьк, Донецька обл., 86783","56","21","37","3","32","3","35","","0","32","3","35","4","31","5","0","0","20","0","2","4","28.10.12"
"141392","54","Донецька область","Вузлова лікарня станції Іловайськ, к.2
пров.Побєди, 8, м.Іловайськ, м.Харцизьк, Донецька обл., 86793","48","29","20","3","16","3","19","","0","16","3","19","2","17","3","0","0","10","1","2","1","28.10.12"
"141393","54","Донецька область","Шахтарський профліцей, актова зала
мікрорайон 7, Шахтарський профліцей, м.Шахтарськ, Донецька обл., 86200","2136","869","2127","47","1224","43","1267","","0","1224","43","1267","17","1250","218","15","27","899","24","2","65","29.10.12"
"141394","54","Донецька область","спортивний комплекс ""Олімп"", хол, 1-й поверх
вул.Крупської, 22, м.Шахтарськ, Донецька обл., 86200","1624","509","1606","48","1067","48","1115","","0","1067","48","1115","48","1067","144","14","26","817","20","9","37","29.10.12"
"141395","54","Донецька область","школа №19, хол, 1-й поверх
мікрорайон 7, школа №19, м.Шахтарськ, Донецька обл., 86200","2312","778","2280","39","1507","27","1534","","0","1507","27","1534","33","1501","170","13","28","1237","13","5","35","29.10.12"
"141396","54","Донецька область","дошкільний навчальний заклад ""Ёлочка"", музична зала
мікрорайон 7, 27, м.Шахтарськ, Донецька обл., 86200","848","220","840","25","605","23","628","","0","605","23","628","15","613","97","8","17","460","11","1","19","29.10.12"
"141397","54","Донецька область","гімназія, хол, 1-й поверх
мікрорайон Журавлівка, гімназія, м.Шахтарськ, Донецька обл., 86200","2424","469","2394","27","1933","22","1955","","0","1933","22","1955","37","1918","8","2","22","1854","9","2","21","29.10.12"
"141398","54","Донецька область","центральна міська бібліотека, читальна зала
мікрорайон Журавлівка, 2, м.Шахтарськ, Донецька обл., 86200","2000","674","1958","36","1290","36","1326","","0","1290","36","1326","33","1293","169","12","15","1065","11","1","20","28.10.12"
"141399","54","Донецька область","ДП ""Шахтарськантрацит"", хол, 1-й поверх
вул.Крупської, 20, м.Шахтарськ, Донецька обл., 86200","1672","446","1650","60","1170","56","1226","","0","1170","56","1226","57","1169","163","19","23","909","11","5","39","29.10.12"
"141400","54","Донецька область","школа №18, актова зала, 1-й поверх
вул.Суворова, 11, м.Шахтарськ, Донецька обл., 86200","1600","308","1570","45","1247","45","1292","","0","1247","45","1292","33","1259","83","13","31","1101","5","0","26","28.10.12"
"141401","54","Донецька область","будинок дитячої та юнацької творчості, танцювальна зала
вул.Суворова, 17, м.Шахтарськ, Донецька обл., 86200","1200","402","1190","60","743","55","798","","0","743","55","798","9","789","105","8","13","630","7","1","25","28.10.12"
"141402","54","Донецька область","КП ""Городок"", актова зала
вул.Суворова, 48, м.Шахтарськ, Донецька обл., 86200","1368","545","1326","54","770","53","823","","0","770","53","823","38","785","106","14","12","609","12","3","29","29.10.12"
"141403","54","Донецька область","школа №2, актова зала
вул.50 років СРСР, 61, м.Шахтарськ, Донецька обл., 86200","1904","912","1871","57","938","54","992","","0","938","54","992","53","939","135","8","35","694","15","3","49","29.10.12"
"141404","54","Донецька область","технікум ім.Туган-Барановського, хол, 1-й поверх
вул.50 років СРСР, 5, м.Шахтарськ, Донецька обл., 86200","1016","216","1015","52","755","45","800","","0","755","45","800","24","776","86","19","15","611","15","2","28","29.10.12"
"141405","54","Донецька область","навчально-виховний комплекс №2, хол, 1-й поверх
вул.Кірова, 28, м.Шахтарськ, Донецька обл., 86200","1024","203","1026","39","783","38","821","","0","783","38","821","32","789","115","16","11","613","7","2","25","28.10.12"
"141406","54","Донецька область","школа №11, хол
вул.Бєлінського, 25, м.Шахтарськ, Донецька обл., 86200","1856","611","1831","45","1209","36","1245","","0","1209","36","1245","39","1206","173","4","2","1003","5","0","19","28.10.12"
"141407","54","Донецька область","управління матеріальними ресурсами ДП ""Шахтарськантрацит"", актова зала
пров.Деповський, 1, м.Шахтарськ, Донецька обл., 86200","1000","156","987","62","782","62","844","","0","782","62","844","18","826","97","4","17","670","14","7","17","29.10.12"
"141408","54","Донецька область","центральна збагачувальна фабрика ""Шахтарська"", актова зала
вул.Кірова, 6, м.Шахтарськ, Донецька обл., 86200","1152","231","1132","45","876","45","921","","0","876","45","921","14","907","147","10","4","723","3","0","20","28.10.12"
"141409","54","Донецька область","КП ""Промінь"", хол, 1-й поверх
вул.Ушакова, 23, м.Шахтарськ, Донецька обл., 86200","1144","141","1152","80","925","78","1003","","0","925","78","1003","17","986","111","11","17","813","8","3","23","29.10.12"
"141410","54","Донецька область","ДП ""Регіональні електричні мережі"", актова зала
вул.Мінська, 32, м.Шахтарськ, Донецька обл., 86200","912","300","887","56","557","55","612","","0","557","55","612","31","581","77","7","16","438","12","1","30","29.10.12"
"141411","54","Донецька область","школа №15, їдальня
вул.Матросова, 53, м.Шахтарськ, Донецька обл., 86200","1448","181","1435","46","1228","39","1267","","0","1228","39","1267","12","1255","137","0","2","1106","2","0","8","28.10.12"
"141412","54","Донецька область","школа №4, актова зала
вул.Шкільна, 8, м.Шахтарськ, Донецька обл., 86200","1464","520","1442","87","857","87","944","","0","857","87","944","25","919","118","7","25","724","8","6","31","29.10.12"
"141413","54","Донецька область","профілакторій ""Горняк"", хол, 1-й поверх
вул.Філатова, 1, м.Шахтарськ, Донецька обл., 86200","976","235","978","43","703","38","741","","0","703","38","741","4","737","13","1","4","715","2","0","2","28.10.12"
"141414","54","Донецька область","навчально-виховний комплекс №1, хол
вул.Раскової, 10, м.Шахтарськ, Донецька обл., 86200","1632","357","1595","109","1166","109","1275","","0","1166","109","1275","0","1275","87","11","18","1093","40","0","26","28.10.12"
"141415","54","Донецька область","вантажно-транспортне управління ""Шахтарськвантажтранс"", актова зала
вул.Кірова, 1А, м.Шахтарськ, Донецька обл., 86200","1264","141","1247","65","1059","64","1123","","0","1059","64","1123","7","1116","121","4","0","991","0","0","0","29.10.12"
"141416","54","Донецька область","школа №14, спортивна зала
вул.Косіора, 9, м.Шахтарськ, Донецька обл., 86200","1624","455","1616","113","1060","109","1169","","0","1060","109","1169","14","1155","106","6","16","987","20","2","18","28.10.12"
"141417","54","Донецька область","громадський комітет ""Олексієво-Орловка"", хол
вул.Партизанська, 5, м.Шахтарськ, Донецька обл., 86200","1072","60","1063","10","1002","10","1012","","0","1002","10","1012","7","1005","50","2","2","945","3","2","1","28.10.12"
"141418","54","Донецька область","клуб ім.Горького, хол
вул.Ленінградська, клуб ім.Горького, м.Шахтарськ, Донецька обл., 86200","1368","183","1346","131","1067","118","1185","","0","1067","118","1185","22","1163","181","6","7","904","22","6","37","29.10.12"
"141419","54","Донецька область","школа №21, хол
вул.Руднична, 1А, м.Шахтарськ, Донецька обл., 86200","832","79","820","101","652","101","753","","0","652","101","753","73","680","77","3","0","574","9","3","14","29.10.12"
"141420","54","Донецька область","школа №22, хол
вул.Голосного, 21, м.Шахтарськ, Донецька обл., 86200","2128","555","2094","106","1467","106","1573","","0","1467","106","1573","31","1542","217","13","21","1232","20","3","36","29.10.12"
"141421","54","Донецька область","клуб ім.Пушкіна, хол, 1-й поверх
вул.Шосейна, клуб ім.Пушкіна, м.Шахтарськ, Донецька обл., 86200","688","33","683","35","620","35","655","","0","620","35","655","2","653","21","3","2","616","4","0","7","29.10.12"
"141422","54","Донецька область","шахтоуправління ім.17 Партз’їзду, хол адміністративної будівлі
вул.Радищева, 7, с-ще Вікторія, м.Шахтарськ, Донецька обл., 86203","456","87","441","21","348","21","369","","0","348","21","369","4","365","29","3","3","325","1","1","3","28.10.12"
"141423","54","Донецька область","будівля ПП Лагоди І.К., господарське приміщення
вул.Петровського, 55А, м.Шахтарськ, Донецька обл., 86200","952","101","939","57","794","57","851","","0","794","57","851","11","840","102","7","10","687","16","0","18","28.10.12"
"141424","54","Донецька область","школа №8, спортивна зала
вул.Львівська, 8, м.Шахтарськ, Донецька обл., 86200","1400","80","1382","63","1257","63","1320","","0","1257","63","1320","17","1303","266","0","0","1002","12","0","23","29.10.12"
"141425","54","Донецька область","будівля ПП Передерєєвої Н.І., хол
вул.Полєтаєва, 9, с-ще Гірне, м.Шахтарськ, Донецька обл., 86208","904","282","898","61","561","61","622","","0","561","61","622","17","605","182","1","6","384","9","5","18","29.10.12"
"141426","54","Донецька область","Контарнівська селищна рада, хол
вул.Театральна, 1, смт Контарне, м.Шахтарськ, Донецька обл., 86241","1120","18","1105","83","1019","83","1102","","0","1019","83","1102","11","1091","50","2","3","1017","6","0","13","28.10.12"
"141427","54","Донецька область","навчально-виховний комплекс №3, хол
вул.Шкільна, 1, смт Московське, м.Шахтарськ, Донецька обл., 86241","528","72","519","50","406","50","456","","0","406","50","456","2","454","56","0","0","385","5","0","8","28.10.12"
"141428","54","Донецька область","школа №13, хол
пров.Шкільний, 2, смт Сердите, м.Шахтарськ, Донецька обл., 86250","1536","191","1506","86","1260","85","1345","","0","1260","85","1345","2","1343","16","1","2","1314","0","0","10","29.10.12"
"141429","54","Донецька область","центр первинної медіко-санітарної допомоги, амбулаторія №5, хол
вул.40 лєт Октября, 5, смт Стіжківське, м.Шахтарськ, Донецька обл., 86233","1744","680","1723","89","978","86","1064","","0","978","86","1064","19","1045","176","7","14","815","9","4","20","28.10.12"
"141430","54","Донецька область","школа №9, хол
вул.40 лєт Октября, 3, смт Стіжківське, м.Шахтарськ, Донецька обл., 86233","1464","169","1445","42","1259","36","1295","","0","1259","36","1295","25","1270","164","5","7","1069","5","1","19","28.10.12"
"141431","54","Донецька область","Шахтарська центральна міська лікарня, к.1 адміністративного корпусу
вул.Кірова, 37, м.Шахтарськ, Донецька обл., 86200","232","78","156","32","124","30","154","","0","124","30","154","13","141","19","0","5","110","4","0","3","28.10.12"
"141432","54","Донецька область","міський протитуберкульозний диспансер, хол, 1-й поверх
вул.Плеханова, 2, м.Шахтарськ, Донецька обл., 86200","216","118","99","3","95","3","98","","0","95","3","98","3","95","13","1","8","64","4","0","5","28.10.12"
