"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Герасимчук
Анатолій
Андрійович","Коваленко
Василь
Васильович","Міщенко
Ігор
Іванович","Раковський
Олександр
Степанович","Риженков
Олександр
Миколайович","Філіндаш
Сергій
Миколайович","Ясько
Геннадій
Геннадійович","Дата підписання протоколу"
"140527","60","Донецька область","школа, спортивний зал
вул.Леніна, 37, с.Старогнатівка, Тельманівський р-н, Донецька обл., 87110","1536","668","1522","155","721","147","868","","0","721","147","868","35","833","4","93","14","5","560","142","15","29.10.12"
"140528","60","Донецька область","школа, спортивний зал
вул.Шкільна, 1, с.Новоселівка, Тельманівський р-н, Донецька обл., 87140","712","240","709","47","426","46","472","","0","426","46","472","31","441","12","79","11","6","226","84","23","28.10.12"
"140529","60","Донецька область","будинок культури, фойє
вул.Комсомольська, 10, с.Новоселівка Друга, Тельманівський р-н, Донецька обл., 87140","320","91","312","11","218","11","229","","0","218","11","229","6","223","7","49","9","2","99","40","17","28.10.12"
"140530","60","Донецька область","будинок культури, фойє
вул.Дзержинського, 14, с.Степанівка, Тельманівський р-н, Донецька обл., 87140","344","146","336","18","180","18","198","","0","180","18","198","14","184","6","52","5","1","63","49","8","28.10.12"
"140531","60","Донецька область","будинок культури, к.2
вул.Центральна, 16, с.Кам’янка, Тельманівський р-н, Донецька обл., 87141","760","312","750","42","410","38","448","","0","410","38","448","22","426","6","56","21","7","245","81","10","28.10.12"
"140532","60","Донецька область","будинок культури, фойє
вул.Леніна, 8, смт Мирне, Тельманівський р-н, Донецька обл., 87124","1256","402","1242","53","807","47","854","","0","807","47","854","10","844","12","56","23","11","595","124","23","29.10.12"
"140533","60","Донецька область","будинок культури, фойє
вул.Леніна, 38, с.Чермалик, Тельманівський р-н, Донецька обл., 87142","1408","436","1388","60","912","60","972","","0","912","60","972","22","950","8","50","14","8","506","315","49","29.10.12"
"140534","60","Донецька область","дитячий садок, к.2
вул.Центральна, 31, с.Орловське, Тельманівський р-н, Донецька обл., 87142","224","52","221","12","163","9","172","","0","163","9","172","11","161","3","18","5","8","89","36","2","28.10.12"
"140535","60","Донецька область","школа, спортивний зал
пров.Шкільний, 1, смт Андріївка, Тельманівський р-н, Донецька обл., 87120","2288","1112","2259","115","1105","71","1176","","0","1105","71","1176","66","1110","11","129","46","23","553","307","41","29.10.12"
"140537","60","Донецька область","школа, каб.2
вул.Центральна, 5, с-ще Бахчовик, Тельманівський р-н, Донецька обл., 87122","496","175","485","39","282","39","321","","0","282","39","321","23","298","3","69","16","6","117","59","28","29.10.12"
