"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Волинко
Микола
Миколайович","Жнівін
Сергій
Юрійович","Кравченко
Анатолій
Васильович","Левицький
Євген
Леонідович","Левченко
Микола
Олександрович","Лигін
Роман
Олександрович","Лягін
Роман
Вікторович","Нікітін
Станіслав
Олександрович","Симоненко
Олександр
Борисович","Дата підписання протоколу"
"141931","44","Донецька область","центр дитячої творчості, танцювальна зала
вул.Петровського, 231Б, м.Донецьк, 83010","1272","279","1262","34","961","32","993","","0","953","32","985","39","946","36","4","14","10","777","3","0","17","85","29.10.12"
"141932","44","Донецька область","приміщення Петровського територіального центру, їдальня
вул.Брикетна, 19, м.Донецьк, 83111","1608","404","1567","39","1173","31","1204","","0","1173","31","1204","26","1178","30","6","20","6","998","1","0","21","96","29.10.12"
"141933","44","Донецька область","Донецький навчально-виховний комплекс №114, хол
вул.Стаханова, 8, м.Донецьк, 83111","1176","316","1167","12","849","11","860","","0","849","11","860","27","833","34","4","11","12","643","2","6","13","108","29.10.12"
"141934","44","Донецька область","Донецький навчально-виховний комплекс №114, їдальня
вул.Стаханова, 8, м.Донецьк, 83111","1192","305","1179","17","870","17","887","","0","870","17","887","8","879","60","5","13","7","709","1","0","19","65","28.10.12"
"141935","44","Донецька область","ясла - садок №386 ""Антошка"", музичний зал
вул.Степана Щипачова, 41А, м.Донецьк, 83111","1584","367","1566","20","1200","17","1217","","0","1200","17","1217","29","1188","57","5","9","16","970","4","1","28","98","29.10.12"
"141936","44","Донецька область","гімназія ім.В.Стуса, хол
вул.Архітекторів, 21, м.Донецьк, 83111","1376","370","1357","10","999","7","1006","","0","999","7","1006","20","986","47","5","20","21","749","3","6","36","99","29.10.12"
"141937","44","Донецька область","Донецький навчально-виховний комплекс №114, зал сухого плавання
вул.Стаханова, 8, м.Донецьк, 83111","1168","356","1157","25","788","24","812","","0","788","24","812","47","765","45","4","13","5","585","4","5","23","81","28.10.12"
"141938","44","Донецька область","палац культури ім.Г.І.Петровського, лекційна зала
вул.Архітекторів, 2, м.Донецьк, 83010","1480","116","1449","35","1329","35","1364","","0","1329","35","1364","16","1348","51","3","14","17","1118","5","4","28","108","29.10.12"
"141939","44","Донецька область","""Шахта 4-21"" ДП"" Донецька вугільна енергетична кампанія"", актова зала
вул.Петровського, 238, м.Донецьк, 83010","1096","184","1082","40","874","38","912","","0","874","38","912","6","906","45","0","4","4","728","2","1","8","114","29.10.12"
"141940","44","Донецька область","школа №100, хол
пл.Перемоги, 21, м.Донецьк, 83010","1640","406","1605","58","1183","51","1234","","0","1183","51","1234","0","1234","44","0","27","12","1070","3","2","20","56","29.10.12"
"141941","44","Донецька область","школа №106, спортивна зала, 1-й поверх
вул.Петровського, 255, м.Донецьк, 83039","1392","145","1380","46","1209","38","1247","","0","1209","38","1247","0","1247","23","0","9","8","1166","1","3","7","30","29.10.12"
"141942","44","Донецька область","ТОВ ""Петровчанка"", зал
вул.Тельнова, 1, м.Донецьк, 83010","1520","162","1491","46","1312","46","1358","","0","1312","46","1358","12","1346","44","2","14","16","1104","7","3","28","128","29.10.12"
"141943","44","Донецька область","спортивна дитяча школа олімпійського резерву з велоспорту №4, актова зала
вул.Тріумфальна, 13, м.Донецьк, 83038","1472","263","1455","42","1174","35","1209","","0","1174","35","1209","1","1208","2","0","3","1","1194","0","0","1","7","29.10.12"
"141944","44","Донецька область","клуб ДП""Петровський завод""Вугільного машинобудування"", актова зала
вул.Лациса, 1, м.Донецьк, 83038","1200","282","1192","65","855","63","918","","0","855","63","918","23","895","45","4","14","16","731","2","3","6","74","29.10.12"
"141945","44","Донецька область","школа №116, спортивна зала, 2-й поверх
вул.Самарська, 1, м.Донецьк, 83039","1664","357","1645","64","1257","50","1307","","0","1257","50","1307","15","1292","70","5","4","2","1116","1","0","10","84","29.10.12"
"141946","44","Донецька область","філія КП""ЖЕК №1"", к.2
вул.Шестакова, 16, м.Донецьк, 83039","1824","225","1794","98","1501","98","1599","","0","1501","98","1599","19","1580","56","1","12","6","1345","10","3","21","126","29.10.12"
"141947","44","Донецька область","школа №103, хол
вул.Дунаєвського, 1, м.Донецьк, 83061","1456","265","1442","68","1123","68","1191","","0","1123","68","1191","24","1167","42","11","38","5","957","0","2","31","81","29.10.12"
"141948","44","Донецька область","палац культури ""Шахтоуправління""Трудівське"", хол
вул.Удачна, 1, м.Донецьк, 83061","1808","422","1766","33","1353","33","1386","","0","1353","33","1386","0","1386","50","1","15","14","1162","0","2","23","119","29.10.12"
"141949","44","Донецька область","будинок молоді ""Шахтоуправління"" Трудівське"", хол
вул.Полухіна, 7, м.Донецьк, 83039","1388","246","1353","61","1086","56","1142","","0","1086","56","1142","15","1127","45","3","12","13","921","6","0","18","109","29.10.12"
"141950","44","Донецька область","школа №101, мала спортивна зала
вул.Карамзіна, 18, м.Донецьк, 83010","936","231","916","13","693","12","705","","0","693","12","705","9","696","33","5","13","8","555","3","1","17","61","29.10.12"
"141951","44","Донецька область","філія школи №106, спортивна зала, 1 -й поверх
пров.Кантемирівський, 2, м.Донецьк, 83039","1136","194","1127","66","878","64","942","","0","878","64","942","21","921","22","2","8","15","843","5","0","15","11","29.10.12"
"141952","44","Донецька область","школа №104, хол
просп.Центральний, 2, м.Донецьк, 83038","1272","355","1260","66","851","66","917","","0","851","66","917","8","909","42","4","22","11","700","0","5","14","111","29.10.12"
"141953","44","Донецька область","школа №108, спортивна зала, 1-й поверх
вул.Рубена Ібаррурі, 102, м.Донецьк, 83038","1064","314","1078","27","727","23","750","","0","727","23","750","38","713","28","1","18","8","567","0","0","14","77","29.10.12"
"141954","44","Донецька область","Донецький завод ""Продмаш"", зал засідань
вул.Електровозна, 25, м.Донецьк, 83038","1248","350","1242","120","780","118","898","","0","780","118","898","19","879","33","1","7","7","733","1","3","24","70","29.10.12"
"141955","44","Донецька область","школа №87, актова зала
вул.Ревякіна, 2, м.Донецьк, 83024","1960","625","1929","16","1325","10","1335","","0","1325","10","1335","25","1310","44","1","23","11","1026","8","8","51","138","29.10.12"
"141956","44","Донецька область","школа №84, спортивна зала
вул.Лохтіна, 1, м.Донецьк, 83024","1448","385","1430","61","1003","60","1063","","0","1003","60","1063","0","1063","7","0","0","0","981","0","0","0","75","29.10.12"
"141957","44","Донецька область","ясла - садок №74 ""Маяк"", музичний зал
пров.Боткіна, 1, м.Донецьк, 83024","1776","460","1747","60","1258","58","1316","","0","1258","58","1316","17","1299","28","3","9","9","1146","2","2","25","75","29.10.12"
"141958","44","Донецька область","школа №113, хол
вул.Бринька, 23, м.Донецьк, 83078","1024","313","1009","40","675","36","711","","0","675","36","711","8","703","9","2","5","1","657","3","2","6","18","29.10.12"
"141959","44","Донецька область","приватна фірма ""Пассервіс"", їдальня
вул.Автобазівська, 1, м.Донецьк, 83022","1504","600","1477","68","844","60","904","","0","836","60","896","31","865","43","3","17","9","655","3","4","19","112","29.10.12"
"141960","44","Донецька область","філія Донецького професійного гірничого ліцею №93, каб.2
вул.Магнітна, 25, м.Донецьк, 83010","696","103","692","29","564","29","593","","0","564","29","593","7","586","19","4","5","5","507","0","0","7","39","29.10.12"
"141961","44","Донецька область","палац культури шахти ім.Челюскінців, хол
пл.Правди, 5, м.Донецьк, 83022","1376","239","1349","69","1077","60","1137","","0","1077","60","1137","43","1094","41","5","10","9","922","0","1","18","88","29.10.12"
"141962","44","Донецька область","школа №110, кабінет рекреації
вул.Вуглегорська, 1, м.Донецьк, 83022","1464","158","1447","100","1208","98","1306","","0","1208","98","1306","17","1289","29","8","19","20","1103","4","5","20","81","29.10.12"
"141963","44","Донецька область","комунальне підприємство ""Керуюча компанія Петровського району"", хол
вул.Маркіна, 1, м.Донецьк, 83022","1368","282","1355","75","1020","66","1086","","0","1020","66","1086","45","1041","101","9","29","7","794","3","1","8","89","29.10.12"
"141964","44","Донецька область","школа №105, каб.4, 5
вул.Войкова, 1, м.Донецьк, 83022","1232","313","1208","54","868","51","919","","0","868","51","919","31","888","26","8","5","2","751","2","3","14","77","29.10.12"
"141965","44","Донецька область","Донецька обласна лікарня відновного лікування, актова зала
вул.Родникова, 1А, м.Донецьк, 83038","400","175","232","40","189","36","225","","0","189","36","225","16","209","10","4","5","8","131","3","0","9","39","29.10.12"
"141966","44","Донецька область","психіатрична лікарня №1, хол
вул.Петровського, 268А, м.Донецьк, 83111","320","142","178","43","135","43","178","","0","135","43","178","4","174","18","3","8","4","107","2","3","5","24","29.10.12"
"141967","44","Донецька область","Центральна міська лікарня №14 м.Донецька, актова зала
вул.Петровського, 197, м.Донецьк, 83111","248","161","88","39","48","39","87","","0","48","39","87","1","86","3","0","3","3","66","1","1","0","9","29.10.12"
