"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Абрамчук
Євген
Миколайович","Бунтовський
Сергій
Юрійович","Вельдяксова
Ольга
Олександрівна","Волков
Роман
Юрійович","Екштейн
Інна
Миколаївна","Коваленко
Юрій
Тимофійович","Кутепов
Микола
Леонідович","Ландик
Валентин
Іванович","Лівочка
Олександр
Васильович","Рищенко
Наталя
Ашотовна","Дата підписання протоколу"
"141889","43","Донецька область","школа №44, хол, 1-й поверх
вул.Кірова, 39, м.Донецьк, 83016","1446","717","1440","35","700","29","729","","0","700","29","729","58","671","6","20","22","58","21","90","42","354","53","5","29.10.12"
"141890","43","Донецька область","школа №44, фойє, 2-й поверх
вул.Кірова, 39, м.Донецьк, 83016","2118","1225","2095","78","828","65","893","","0","828","65","893","75","818","12","39","18","70","33","134","46","413","33","20","29.10.12"
"141891","43","Донецька область","школа №44, спортивна зала
вул.Кірова, 39, м.Донецьк, 83016","1710","747","1699","43","923","40","963","","0","923","40","963","60","903","14","48","25","77","33","156","69","430","43","8","28.10.12"
"141892","43","Донецька область","хореографічна школа, спортивна зала
вул.Арктична, 1, м.Донецьк, 83045","1458","723","1458","70","672","63","735","","0","672","63","735","34","701","7","26","25","58","18","111","56","383","8","9","02.11.12"
"141893","43","Донецька область","школа №45, спортивна зала
просп.Ленінський, 16, м.Донецьк, 83045","1014","458","1010","20","539","17","556","","0","539","17","556","38","518","9","36","15","34","16","79","47","259","15","8","29.10.12"
"141894","43","Донецька область","спортивне училище, актова зала
вул.Луговцова, 2А, м.Донецьк, 83045","1248","577","1245","41","636","35","671","","0","636","35","671","52","619","15","41","16","52","20","89","49","300","27","10","28.10.12"
"141895","43","Донецька область","школа №44, хол, 2-й поверх
вул.Кірова, 39, м.Донецьк, 83016","1362","690","1355","31","645","27","672","","0","645","27","672","64","608","15","26","20","52","24","108","44","292","21","6","29.10.12"
"141896","43","Донецька область","районна санітарно-епідеміологічна станція, актова зала, 2-й поверх
вул.Кірова, 19, м.Донецьк, 83016","1434","661","1428","16","758","15","773","","0","758","15","773","60","713","18","23","21","55","20","116","63","336","49","12","29.10.12"
"141897","43","Донецька область","гуртожиток Донецького металургійного заводу, фойє
вул.Куйбишева, 47, м.Донецьк, 83045","1416","670","1410","40","712","34","746","","0","712","34","746","64","682","11","31","25","56","30","116","47","322","35","9","28.10.12"
"141898","43","Донецька область","Центр слов’янської культури, фойє
вул.Куйбишева, 67, м.Донецьк, 83045","1494","660","1480","41","794","40","834","","0","794","40","834","53","781","16","40","22","63","32","109","54","374","59","12","29.10.12"
"141899","43","Донецька область","школа №28, фойє
вул.Стратонавта Українського, 79А, м.Донецьк, 83101","1854","776","1837","56","1030","48","1078","","0","1030","48","1078","60","1018","25","25","11","83","21","167","34","607","27","18","29.10.12"
"141900","43","Донецька область","школа №28, спортивна зала
вул.Стратонавта Українського, 79А, м.Донецьк, 83101","2364","1031","2332","30","1308","25","1333","","0","1308","25","1333","94","1239","37","58","26","100","52","167","97","625","55","22","29.10.12"
"141901","43","Донецька область","школа №42, спортивна зала
вул.Льва Толстого, 32, м.Донецьк, 83080","1494","750","1488","72","691","53","744","","0","691","53","744","50","694","7","15","9","49","77","112","35","358","23","9","29.10.12"
"141902","43","Донецька область","ДП ""Донецький дослідний завод Еталон"", фойє
просп.Ленінський, 88, м.Донецьк, 83112","1722","716","1670","28","988","18","1006","","0","988","18","1006","65","941","12","47","20","77","48","162","52","462","39","22","29.10.12"
"141903","43","Донецька область","територіальний центр соціального обслуговування, актова зала
просп.Ленінський, 116, м.Донецьк, 83080","1488","635","1475","11","844","9","853","","0","844","9","853","38","815","14","37","16","74","85","148","46","317","41","37","29.10.12"
"141904","43","Донецька область","дошкільний навчальний заклад №398, музична зала
просп.Ленінський, 148, м.Донецьк, 83080","1512","579","1504","20","915","18","933","","0","915","18","933","47","886","16","40","12","58","71","155","59","422","35","18","29.10.12"
"141905","43","Донецька область","школа №39, фойє, 1-й поверх
вул.Квірінга, 39, м.Донецьк, 83072","1728","265","1727","57","1417","46","1463","","0","1417","46","1463","56","1407","10","22","21","59","37","123","89","998","32","16","29.10.12"
"141906","43","Донецька область","школа №42, їдальня, 2-й поверх
вул.Льва Толстого, 32, м.Донецьк, 83080","1494","867","1497","35","594","33","627","","0","593","33","626","57","569","11","14","8","34","72","99","23","266","25","17","02.11.12"
"141907","43","Донецька область","школа №26, спортивна зала
вул.Героїв-панфіловців, 2, м.Донецьк, 83005","1344","519","1329","37","792","33","825","","0","792","33","825","53","772","6","18","14","46","52","121","29","453","17","16","29.10.12"
"141908","43","Донецька область","школа №26, актова зала
вул.Героїв-панфіловців, 2, м.Донецьк, 83005","1818","711","1792","44","1063","44","1107","","0","1063","44","1107","56","1051","17","38","18","45","40","205","46","597","30","15","29.10.12"
"141909","43","Донецька область","палац культури ""Донецькгірмаш"", фойє, 1-й поверх
вул.Купріна, 64, м.Донецьк, 83005","1788","551","1776","22","1216","21","1237","","0","1211","21","1232","70","1162","7","34","22","71","60","171","90","664","30","13","29.10.12"
"141910","43","Донецька область","палац культури ""Донецькгірмаш"", хол, 1-й поверх
вул.Купріна, 64, м.Донецьк, 83005","2016","899","2010","35","1083","34","1117","","0","1083","34","1117","100","1017","13","38","17","57","42","172","67","556","27","28","29.10.12"
"141911","43","Донецька область","будинок торгівлі ""Донецькгірмаш"", їдальня
вул.Купріна, 17, м.Донецьк, 83005","1614","798","1582","21","797","19","816","","0","797","19","816","59","757","12","28","19","64","22","122","54","392","27","17","29.10.12"
"141912","43","Донецька область","ліцей №37, фойє, 1-й поверх
вул.Рєчна, 40, м.Донецьк, 83005","1632","780","1608","9","843","9","852","","0","843","9","852","58","794","19","35","24","60","34","124","62","383","42","11","29.10.12"
"141913","43","Донецька область","ліцей №37, спортивна зала
вул.Рєчна, 40, м.Донецьк, 83005","990","468","986","14","509","13","522","","0","509","13","522","48","474","11","17","11","40","17","91","23","237","19","8","28.10.12"
"141914","43","Донецька область","ліцей №37, актова зала, 2-й поверх
вул.Рєчна, 40, м.Донецьк, 83005","1776","877","1751","40","863","36","899","","0","863","36","899","83","816","23","29","19","76","31","145","66","377","38","12","29.10.12"
"141915","43","Донецька область","навчально-виховний комплекс ""Гармонія"", фойє
вул.Пухова, 23, м.Донецьк, 83005","1824","873","1774","53","915","36","951","","0","915","36","951","94","857","37","36","16","72","29","154","54","407","35","17","29.10.12"
"141916","43","Донецька область","школа №40, спортивна зала
вул.Кленова, 1, м.Донецьк, 83069","1842","1032","1814","35","779","31","810","","0","779","31","810","105","705","14","24","13","78","33","131","56","311","32","13","29.10.12"
"141917","43","Донецька область","школа №40, фойє, 1-й поверх
вул.Кленова, 1, м.Донецьк, 83069","1278","738","1254","25","515","25","540","","0","515","25","540","62","478","8","12","11","55","24","62","55","225","17","9","29.10.12"
"141918","43","Донецька область","ліцей №37, актова зала, 1-й поверх
вул.Рєчна, 40, м.Донецьк, 83005","2136","928","2115","22","1192","16","1208","","0","1192","16","1208","100","1108","29","37","36","67","48","188","72","558","52","21","29.10.12"
"141919","43","Донецька область","палац культури ""Донецькгірмаш"", хол, 2-й поверх
вул.Купріна, 64, м.Донецьк, 83005","1656","819","1639","37","800","37","837","","0","800","37","837","64","773","15","36","7","62","24","146","57","373","40","13","29.10.12"
"141920","43","Донецька область","АТП ""Геркулес"", хол
вул.Зубкова, 2, м.Донецьк, 83005","1734","1041","1710","25","676","17","693","","0","676","17","693","45","648","9","18","11","46","9","83","48","403","17","4","29.10.12"
"141921","43","Донецька область","військовий ліцей, актова зала
вул.Купріна, 1, м.Донецьк, 83005","768","252","760","13","504","12","516","","0","504","12","516","51","465","24","16","21","102","15","68","38","157","10","14","29.10.12"
"141922","43","Донецька область","Центральна міська клінічна лікарня №6 м.Донецька, актова зала
вул.Клінічна, 11, м.Донецьк, 83062","252","116","138","59","77","59","136","","0","77","59","136","6","130","5","4","4","11","13","16","9","62","3","3","29.10.12"
"141923","43","Донецька область","Міська лікарня №7 м.Донецька, їдальня
вул.Молодіжна, 9, м.Донецьк, 83005","90","19","72","14","57","14","71","","0","57","14","71","1","70","1","2","0","8","2","9","11","34","1","2","29.10.12"
"141924","43","Донецька область","Інститут невідкладної і відновлювальної хірургії, актова зала
просп.Ленінський, 47, м.Донецьк, 83045","492","14","482","354","127","351","478","","0","127","351","478","23","455","15","22","11","29","10","43","16","294","9","6","28.10.12"
"141925","43","Донецька область","Міська психоневрологічна лікарня №2 м.Донецька, актова зала
вул.хутір Рудчанськ, 2, м.Донецьк, 83069","402","101","328","61","241","60","301","","0","241","60","301","30","271","19","5","9","14","8","25","11","171","5","4","29.10.12"
