"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Боярський
Юрій
Іванович","Гордієнко
Сергій
Леонідович","Городенський
Максим
Олексійович","Корнієнко
Сергій
Миколайович","Кривошеєв
Дмитро
Олексійович","Ржавський
Володимир
Іванович","Сопельник
Віктор
Іванович","Дата підписання протоколу"
"141046","48","Донецька область","Донбаська державна машинобудівна академія, 1-й корпус, хол
вул.Шкадінова, 72, м.Краматорськ, Донецька обл., 84313","1504","568","1543","20","917","19","936","","0","917","19","936","43","893","504","71","99","41","28","91","59","29.10.12"
"141047","48","Донецька область","Донбаська державна машинобудівна академія, 1-й корпус, рекреація
вул.Шкадінова, 72, м.Краматорськ, Донецька обл., 84313","1520","756","1492","48","719","45","764","","0","719","45","764","35","729","407","37","103","34","27","65","56","29.10.12"
"141048","48","Донецька область","палац культури і техніки ""НКМЗ"", читальна зала, 2-й поверх
пл.Леніна, 1, м.Краматорськ, Донецька обл., 84313","1696","619","1686","37","1042","35","1077","","0","1042","35","1077","37","1040","585","77","113","44","29","128","64","29.10.12"
"141049","48","Донецька область","палац культури і техніки ""НКМЗ"", фойє, 2-й поверх
пл.Леніна, 1, м.Краматорськ, Донецька обл., 84313","1584","602","1559","57","926","56","982","","0","926","56","982","32","950","502","66","110","34","34","126","78","29.10.12"
"141050","48","Донецька область","палац культури і техніки ""НКМЗ"", вестибюль, 3-й поверх
пл.Леніна, 1, м.Краматорськ, Донецька обл., 84313","1600","660","1596","41","902","38","940","","0","902","38","940","30","910","500","73","88","36","25","127","61","28.10.12"
"141051","48","Донецька область","школа №22, коридор, 1-й поверх
вул.Двірцева, 3, м.Краматорськ, Донецька обл., 84301","2224","992","2207","31","1206","26","1232","","0","1204","26","1230","53","1177","667","88","141","41","52","136","52","29.10.12"
"141052","48","Донецька область","школа №5, хол, 2-й поверх
вул.Соціалістична, 40, м.Краматорськ, Донецька обл., 84301","2112","823","2080","54","1237","52","1289","","0","1235","52","1287","47","1240","699","78","140","46","35","179","63","04.11.12"
"141053","48","Донецька область","КЛПУ ""Протитуберкульозний диспансер м.Краматорська"", лікувальне відділення №3, коридор
вул.Щербакова, 1А, м.Краматорськ, Донецька обл., 84333","136","9","140","3","124","3","127","","0","124","3","127","10","117","81","4","10","1","8","8","5","28.10.12"
"141054","48","Донецька область","КЛПУ ""Психіатрична лікарня м.Краматорська"", лікувальний корпус, коридор
вул.Клари Цеткін, 1А, м.Краматорськ, Донецька обл., 84308","184","61","123","0","123","0","123","","0","123","0","123","14","109","84","2","4","4","6","8","1","28.10.12"
"141055","48","Донецька область","КМУ ""Міська лікарня № 2"", терапевтичний корпус, коридор, 4-й поверх
вул.Дніпропетровська, 14, м.Краматорськ, Донецька обл., 84306","56","4","52","36","16","36","52","","0","16","36","52","0","52","34","0","9","0","3","5","1","28.10.12"
"141056","48","Донецька область","КМУ ""Міська лікарня №3"", відділення травматології, коридор
вул.Вознесенського, 17, м.Краматорськ, Донецька обл., 84301","208","98","115","42","72","38","110","","0","72","38","110","2","108","66","5","9","2","9","15","2","28.10.12"
"141057","48","Донецька область","КМУ ""Міська лікарня №1"", хірургічний корпус, коридор
вул.Орджонікідзе, 17, м.Краматорськ, Донецька обл., 84307","304","252","52","34","18","34","52","","0","18","34","52","0","52","20","5","8","3","4","8","4","28.10.12"
"141058","48","Донецька область","міський онкологічний диспансер м.Краматорська, лікувальний корпус, коридор
вул.Орджонікідзе, 31, м.Краматорськ, Донецька обл., 84307","64","24","44","16","25","15","40","","0","25","15","40","0","40","16","2","8","3","1","9","1","28.10.12"
