"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бакуліна
Наталія
Василівна","Борт
Віталій
Петрович","Молоков
Денис
Геннадійович","Наумов
Олександр
Олександрович","Новаковський
Іван
Сергійович","Поліванов
Олег
Олександрович","Ткачук
Лариса
Віталіївна","Дата підписання протоколу"
"142200","56","Донецька область","школа №18, хол, 1-й поверх
вул.Бестужева, 15, м.Макіївка, Донецька обл., 86114","1272","567","1240","34","672","33","705","","0","672","33","705","37","668","17","449","93","50","6","18","35","28.10.12"
"142201","56","Донецька область","школа №2, спортивна зала
вул.Крилова, 1, м.Макіївка, Донецька обл., 86117","1736","853","1709","66","826","57","883","","0","826","57","883","14","869","23","607","125","48","5","13","48","29.10.12"
"142202","56","Донецька область","школа №2, хол, 1-й поверх
вул.Крилова, 1, м.Макіївка, Донецька обл., 86117","1952","885","1919","78","1006","61","1067","","0","1006","61","1067","43","1024","25","676","175","47","4","12","85","29.10.12"
"142203","56","Донецька область","""Красногвардійська автобаза"", диспетчерська
вул.Чубаря, 1, м.Макіївка, Донецька обл., 86114","1384","506","1336","50","828","50","878","","0","828","50","878","44","834","21","569","98","57","4","17","68","28.10.12"
"142204","56","Донецька область","школа №18, хол, 2-й поверх
вул.Бестужева, 15, м.Макіївка, Донецька обл., 86114","1688","788","1681","66","851","49","900","","0","851","49","900","50","850","21","518","124","73","11","13","90","29.10.12"
"142205","56","Донецька область","""Макіївпромтранс"", актова зала
вул.Чижевського, 2, м.Макіївка, Донецька обл., 86149","1416","653","1379","36","727","36","763","","0","727","36","763","48","715","11","521","71","54","9","9","40","29.10.12"
"142206","56","Донецька область","школа №32, блок початкових класів
вул.Черняховського, 3, м.Макіївка, Донецька обл., 86149","1656","463","1616","64","1129","64","1193","","0","1129","64","1193","35","1158","22","936","84","36","5","11","64","29.10.12"
"142207","56","Донецька область","Макіївський професійний ліцей, методичний кабінет
вул.Тореза, 51, м.Макіївка, Донецька обл., 86121","1424","518","1395","55","852","54","906","","0","852","54","906","35","871","8","671","96","29","6","7","54","29.10.12"
"142208","56","Донецька область","школа №58, їдальня
вул.Чигиринська, 7, м.Макіївка, Донецька обл., 86121","1448","592","1444","52","813","43","856","","0","813","43","856","43","813","15","588","110","45","3","13","39","29.10.12"
"142209","56","Донецька область","Будинок дитячої та юнацької творчості, хол, 2-й поверх
вул.Черепанових, 1, м.Макіївка, Донецька обл., 86121","1408","617","1367","40","754","37","791","","0","754","37","791","48","743","19","558","82","27","3","9","45","29.10.12"
"142210","56","Донецька область","актова зала обчислювального центру
вул.Тореза, обчислювальний центр ЗВК №97, м.Макіївка, Донецька обл., 86121","1384","446","1379","45","895","43","938","","0","895","43","938","19","919","19","754","80","28","10","0","28","28.10.12"
"142211","56","Донецька область","Клуб шахти ""Бутівська"", хол, 1-й поверх
вул.Тухачевського, клуб шахти ""Бутівська"", м.Макіївка, Донецька обл., 86109","1552","606","1541","36","911","35","946","","0","911","35","946","36","910","23","691","91","38","4","11","52","28.10.12"
"142212","56","Донецька область","школа №43, хол, 2-й поверх
вул.Теплогірська, 27, м.Макіївка, Донецька обл., 86109","1832","719","1805","76","1037","76","1113","","0","1037","76","1113","36","1077","18","883","74","38","6","11","47","28.10.12"
"142213","56","Донецька область","школа №25, спортивна зала
вул.Давиденка, 144, м.Макіївка, Донецька обл., 86121","1688","723","1668","35","930","35","965","","0","930","35","965","24","941","17","728","92","43","8","9","44","29.10.12"
"142214","56","Донецька область","школа №25, їдальня
вул.Давиденка, 144, м.Макіївка, Донецька обл., 86121","1776","885","1745","46","845","46","891","","0","845","46","891","11","880","31","638","93","42","6","12","58","28.10.12"
"142215","56","Донецька область","школа №8, їдальня
вул.Героїв Сталінграду, 5А, м.Макіївка, Донецька обл., 86113","1480","584","1447","37","859","37","896","","0","859","37","896","50","846","21","586","100","52","5","13","69","29.10.12"
"142216","56","Донецька область","школа №8, актова зала
вул.Героїв Сталінграду, 5А, м.Макіївка, Донецька обл., 86113","1680","722","1649","50","909","49","958","","0","909","49","958","58","900","27","599","116","60","6","16","76","28.10.12"
"142217","56","Донецька область","школа №44, ліва сторона холу, 2-й поверх
вул.Туполєва, 50, м.Макіївка, Донецька обл., 86113","1528","769","1506","47","712","47","759","","0","712","47","759","49","710","19","500","84","35","5","15","52","29.10.12"
"142218","56","Донецька область","школа №44, права сторона холу, 2-й поверх
вул.Туполєва, 50, м.Макіївка, Донецька обл., 86113","1384","690","1361","87","612","82","694","","0","612","82","694","52","642","16","440","106","41","4","7","28","29.10.12"
"142219","56","Донецька область","школа №77, хол, 2-й поверх
вул.Тичини, 27, м.Макіївка, Донецька обл., 86131","1240","512","1208","52","676","52","728","","0","676","52","728","17","711","14","539","72","28","5","13","40","28.10.12"
"142220","56","Донецька область","школа №64, каб.1
вул.Курська, 8, м.Макіївка, Донецька обл., 86120","1560","768","1529","70","722","70","792","","0","722","70","792","43","749","25","509","111","29","9","15","51","28.10.12"
"142221","56","Донецька область","гуртожиток шахти ""Чайкіно"", хол, 1-й поверх
вул.Коккінакі, 45, м.Макіївка, Донецька обл., 86120","1696","896","1644","33","767","33","800","","0","767","33","800","62","738","21","484","129","37","4","12","51","29.10.12"
"142222","56","Донецька область","школа №64, хол, 2-й поверх
вул.Курська, 8, м.Макіївка, Донецька обл., 86120","1624","560","1584","51","1013","51","1064","","0","1013","51","1064","45","1019","27","746","97","61","4","19","65","29.10.12"
"142223","56","Донецька область","Палац культури шахти ""Бутівська"", ліва сторона холу, 2-й поверх
вул.Туполєва, палац культури шахти ""Бутівська"", м.Макіївка, Донецька обл., 86113","1504","625","1478","51","830","49","879","","0","830","49","879","20","859","19","628","111","36","8","15","42","29.10.12"
"142224","56","Донецька область","Палац культури шахти ""Бутівська"", права сторона холу, 2-й поверх
вул.Туполєва, палац культури шахти ""Бутівська"", м.Макіївка, Донецька обл., 86113","1488","760","1454","16","713","15","728","","0","713","15","728","60","668","24","471","89","28","6","10","40","28.10.12"
"142225","56","Донецька область","Комунальна медична установа ""Міська клінічна лікарня № 5"", хол терапевтичного відділення
вул.Лікарняна, 1А, м.Макіївка, Донецька обл., 86114","136","6","130","24","106","24","130","","0","106","24","130","3","127","4","103","7","4","2","1","6","28.10.12"
"142226","56","Донецька область","Клуб Західної виправної колонії №97, актова зала клубу
вул.Тореза, 21, м.Макіївка, Донецька обл., 86121","1496","81","1415","0","1415","0","1415","","0","1415","0","1415","90","1325","77","1086","25","56","9","22","50","28.10.12"
