"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Батенко
Тарас
Іванович","Бродецький
Анатолій
Миколайович","Дубик
Ігор
Іванович","Заваруєв
Анатолій
Михайлович","Канака
Остап
Тарасович","Котеляк
Лідія
Леонідівна","Оприско
Микола
Васильович","Петришин
Петро
Васильович","Свистович
Ігор
Михайлович","Сірків
Михайло
Миколайович","Федорів
Лариса
Йосипівна","Шкляр
Василь
Миколайович","Дата підписання протоколу"
"460894","123","Львівська область","Народний Дім, актовий зал
вул.Галицька, 40А, с.Білка, Перемишлянський р-н, Львівська обл., 81244","270","88","267","32","153","29","182","","0","153","29","182","5","177","56","1","4","0","3","47","1","0","4","41","9","11","29.10.12"
"460895","123","Львівська область","Народний Дім, актовий зал
вул.Володимира, 80, с.Подусів, Перемишлянський р-н, Львівська обл., 81260","420","135","415","38","248","37","285","","0","248","37","285","7","278","117","1","9","0","3","50","0","0","0","72","14","12","28.10.12"
"460896","123","Львівська область","Народний Дім, актовий зал
вул.Львівська, 79, с.Іванівка, Перемишлянський р-н, Львівська обл., 81262","426","115","420","68","246","65","311","","0","246","65","311","7","304","110","0","1","0","2","46","1","0","1","97","7","39","28.10.12"
"460897","123","Львівська область","адмінбудинок сільської ради, актовий зал
вул.Шевченка, 5А, с.Болотня, Перемишлянський р-н, Львівська обл., 81261","450","164","450","50","239","47","286","","0","239","47","286","6","280","101","2","3","1","5","58","2","0","0","62","13","33","29.10.12"
"460898","123","Львівська область","Народний Дім, актовий зал
вул.Шевченка, 26, с.Прибинь, Перемишлянський р-н, Львівська обл., 81254","84","11","90","15","61","12","73","","0","61","12","73","1","72","13","1","0","0","2","34","0","0","1","10","0","11","29.10.12"
"460899","123","Львівська область","фойє, 1-й поверх
вул.Перемоги, 93, с.Кореличі, Перемишлянський р-н, Львівська обл., 81254","750","290","736","123","341","119","460","","0","341","119","460","6","454","153","0","7","3","1","112","1","2","4","113","14","44","29.10.12"
"460900","123","Львівська область","Народний Дім, актовий зал
вул.Бунта, 4, с.Дусанів, Перемишлянський р-н, Львівська обл., 81263","468","153","459","67","250","65","315","","0","250","65","315","16","299","97","1","7","1","2","42","6","2","1","93","12","35","29.10.12"
"460901","123","Львівська область","Народний Дім, актовий зал
вул.Нова, 18, с.Бачів, Перемишлянський р-н, Львівська обл., 81264","420","111","413","37","274","35","309","","0","274","35","309","11","298","155","2","9","3","2","48","4","2","4","41","8","20","29.10.12"
"460902","123","Львівська область","адмінбудинок сільської ради, актовий зал
вул.Зелена, 19, с.Подусільна, Перемишлянський р-н, Львівська обл., 81261","246","72","244","36","138","36","174","","0","138","36","174","4","170","70","2","2","0","0","58","0","1","0","23","0","14","01.11.12"
"460903","123","Львівська область","центральна районна лікарня, актовий зал, 1-й поверх
вул.Галицька, 8, м.Перемишляни, Перемишлянський р-н, Львівська обл., 81200","54","34","28","25","3","17","20","","0","3","17","20","0","20","7","0","1","0","1","6","0","0","0","2","0","3","28.10.12"
"461746","123","Львівська область","будинок дитячої та юнацької творчості, фойє
вул.Зелена, 18, м.Новий Розділ, Львівська обл., 81652","1464","541","1454","37","889","34","923","","0","889","34","923","22","901","117","4","16","1","1","391","15","8","9","34","48","257","29.10.12"
"461747","123","Львівська область","гуртожиток професійного ліцею, актовий зал
вул.Чорновола, 9, м.Новий Розділ, Львівська обл., 81652","1680","736","1680","26","924","20","944","","0","924","20","944","17","927","148","9","21","2","5","417","16","7","3","32","66","201","29.10.12"
"461748","123","Львівська область","школа №2, фойє, 1-й поверх
просп.Шевченка, 9Б, м.Новий Розділ, Львівська обл., 81652","1608","664","1600","30","924","20","944","","0","924","20","944","21","923","115","5","26","6","6","422","16","6","6","57","83","175","29.10.12"
"461749","123","Львівська область","КУ МКПЦ ""Молодість"", фойє, 1-й поверх
просп.Шевченка, 13, м.Новий Розділ, Львівська обл., 81652","1794","792","1763","25","984","18","1002","","0","984","18","1002","30","972","146","7","49","7","1","426","18","10","8","51","76","173","29.10.12"
"461750","123","Львівська область","школа №3, ліве крило, 1-й поверх
вул.В.Винниченка, 35, м.Новий Розділ, Львівська обл., 81652","1626","692","1610","27","914","20","934","","0","914","20","934","23","911","152","7","33","2","4","380","13","6","2","38","94","180","29.10.12"
"461751","123","Львівська область","школа №3, праве крило, 1-й поверх
вул.В.Винниченка, 35, м.Новий Розділ, Львівська обл., 81652","1530","608","1501","19","909","13","922","","0","909","13","922","25","897","136","2","36","0","1","401","12","0","10","33","72","194","29.10.12"
"461752","123","Львівська область","професійний ліцей будівництва та побуту, фойє, 2-й поверх
вул.Гетьмана Сагайдачного, 15А, м.Новий Розділ, Львівська обл., 81652","1476","715","1494","9","755","6","761","","0","755","6","761","13","748","107","6","23","3","4","327","16","12","10","22","66","152","29.10.12"
"461753","123","Львівська область","політехнічний коледж, актовий зал, 1-й поверх
вул.Героя України Степана Бандери, 8, м.Новий Розділ, Львівська обл., 81652","1560","721","1529","7","835","4","839","","0","835","4","839","17","822","105","7","26","5","7","369","15","2","5","24","55","202","29.10.12"
"461754","123","Львівська область","школа №4, фойє, 2-й поверх
вул.Героя України Степана Бандери, 7, м.Новий Розділ, Львівська обл., 81652","1584","640","1574","18","929","15","944","","0","929","15","944","14","930","111","4","31","4","2","418","23","6","6","27","58","240","29.10.12"
"461755","123","Львівська область","школа №4, ліве крило, 2-й поверх
вул.Героя України Степана Бандери, 7, м.Новий Розділ, Львівська обл., 81652","1614","716","1586","7","892","6","898","","0","892","6","898","18","880","141","2","28","3","3","372","17","6","5","26","72","205","29.10.12"
"461756","123","Львівська область","школа №5, ліве крило, 1-й поверх
просп.Шевченка, 35, м.Новий Розділ, Львівська обл., 81652","1668","746","1647","11","919","3","922","","0","919","3","922","11","911","122","5","21","2","7","448","11","5","5","27","67","191","29.10.12"
"461757","123","Львівська область","школа №5, праве крило, 1-й поверх
просп.Шевченка, 35, м.Новий Розділ, Львівська обл., 81652","1584","650","1563","7","930","4","934","","0","930","4","934","16","918","141","5","20","0","11","429","10","7","4","36","71","184","29.10.12"
"461758","123","Львівська область","міська лікарня, к.15а
вул.В.Винниченка, 37, м.Новий Розділ, Львівська обл., 81652","54","2","94","25","52","0","52","","0","52","0","52","2","50","7","1","3","1","0","28","0","0","0","0","2","8","28.10.12"
