"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Алексюк
Леонід
Михайлович","Білак
Іван
Іванович","Галамай
Йосиф
Іванович","Денькович
Іван
Васильович","Дубневич
Ярослав
Васильович","Куп’як
Іван
Петрович","Петришин
Андрій
Михайлович","Тиндик
Андрій
Богданович","Чорновол
Тетяна
Миколаївна","Дата підписання протоколу"
"461123","120","Львівська область","Народний дім, глядацька зала
вул.Центральна, 26, с.Конюшки-Королівські, Самбірський р-н, Львівська обл., 81446","640","175","627","40","425","40","465","","0","425","40","465","13","452","1","10","2","15","266","0","1","3","154","29.10.12"
"461124","120","Львівська область","Народний дім, глядацька зала
вул.Центральна, 47, с.Новий Острів, Самбірський р-н, Львівська обл., 81474","112","36","108","9","69","7","76","","0","69","7","76","0","76","0","7","1","1","29","2","0","2","34","29.10.12"
"461125","120","Львівська область","Погірцівська сільська рада, актова зала
вул.Центральна, 14, с.Погірці, Самбірський р-н, Львівська обл., 81445","1208","404","1193","28","776","28","804","","0","776","28","804","16","788","1","44","1","33","318","16","3","13","359","29.10.12"
"461126","120","Львівська область","ФАП, фойє
вул.Галицька, 17А, с.Задністря, Самбірський р-н, Львівська обл., 81473","312","107","309","6","199","6","205","","0","199","6","205","9","196","1","20","0","5","73","6","2","13","76","29.10.12"
"461127","120","Львівська область","Народний дім, актова зала
вул.Шевченка, 1, с.Нагірне, Самбірський р-н, Львівська обл., 81473","880","245","870","34","605","30","635","","0","605","30","635","4","631","2","40","1","12","227","9","4","22","314","29.10.12"
"461128","120","Львівська область","Народний дім, актова зала
вул.Галицька, 143, с.Ралівка, Самбірський р-н, Львівська обл., 81473","848","338","840","20","492","18","510","","0","492","18","510","9","501","1","31","1","12","214","9","1","14","218","29.10.12"
"461129","120","Львівська область","школа, фойє
вул.І.Франка, 27, с.Ралівка, Самбірський р-н, Львівська обл., 81473","1168","443","1163","21","706","19","725","","0","706","19","725","11","714","4","34","2","6","201","9","0","30","428","29.10.12"
"461130","120","Львівська область","Ралівська сільська рада, кабінет спеціалістів
вул.І.Франка, 28, с.Ралівка, Самбірський р-н, Львівська обл., 81473","1360","488","1339","17","859","13","872","","0","859","13","872","14","858","4","49","0","10","286","14","3","48","444","29.10.12"
"461131","120","Львівська область","школа, класна кімната
вул.Шкільна, 34, с.Роздільне, Самбірський р-н, Львівська обл., 81432","296","96","287","21","179","21","200","","0","179","21","200","4","196","0","5","0","5","102","3","0","15","66","29.10.12"
"461132","120","Львівська область","Народний дім, фойє, 1-й поверх
пл.Відродження, 22, м.Рудки, Самбірський р-н, Львівська обл., 81440","1400","532","1365","42","826","42","868","","0","826","42","868","16","852","5","54","0","9","285","6","2","50","441","29.10.12"
"461133","120","Львівська область","Народний дім, танцювальна зала, 1-й поверх
пл.Відродження, 22, м.Рудки, Самбірський р-н, Львівська обл., 81440","1312","426","1288","21","865","21","886","","0","865","21","886","16","870","2","24","2","7","364","17","0","48","406","29.10.12"
"461134","120","Львівська область","Народний дім, актова зала, 1-й поверх
пл.Відродження, 22, м.Рудки, Самбірський р-н, Львівська обл., 81440","1152","391","1136","20","742","19","761","","0","742","19","761","11","750","8","21","0","12","226","12","1","40","430","29.10.12"
"461135","120","Львівська область","Народний дім, танцювальна зала
вул.І. Франка, 59, с.Вербівка, Самбірський р-н, Львівська обл., 81420","328","124","325","26","178","26","204","","0","178","26","204","1","203","1","5","2","5","101","17","1","3","68","29.10.12"
"461136","120","Львівська область","Садковицька сільська рада, актова зала
вул.Л. Українки, 28, с.Садковичі, Самбірський р-н, Львівська обл., 81420","552","141","546","36","375","36","411","","0","375","36","411","6","405","0","33","1","16","188","4","1","16","146","29.10.12"
"461140","120","Львівська область","Народний дім, глядацька зала
вул.Миру, 1, с.Задністряни, Самбірський р-н, Львівська обл., 81474","432","107","426","16","310","15","325","","0","310","15","325","5","320","0","11","0","11","225","5","1","8","59","29.10.12"
"461141","120","Львівська область","Народний дім, глядацька зала
вул.Рудківська, 11, с.Подільці, Самбірський р-н, Львівська обл., 81445","200","48","196","21","132","20","152","","0","132","20","152","1","151","0","1","0","5","62","1","0","7","75","29.10.12"
"461142","120","Львівська область","Народний дім, глядацька зала
вул.Центральна, 3, с.Сусолів, Самбірський р-н, Львівська обл., 81448","560","183","556","15","363","14","377","","0","363","14","377","25","352","2","17","0","3","207","1","0","8","114","29.10.12"
"461143","120","Львівська область","Народний дім, актова зала
вул.Шевченка, 1, с.Колбаєвичі, Самбірський р-н, Львівська обл., 81443","440","111","439","33","296","33","329","","0","296","33","329","4","325","0","11","0","21","167","1","0","16","109","29.10.12"
"461144","120","Львівська область","Народний дім, актова зала
вул.Січових Стрільців, 20, с.Чайковичі, Самбірський р-н, Львівська обл., 81442","1216","391","1200","89","737","88","825","","0","737","88","825","21","804","3","32","1","10","390","26","3","53","286","29.10.12"
"461145","120","Львівська область","Народний дім, глядацька зала
вул.Вишнева, 151, с.Бережниця, Самбірський р-н, Львівська обл., 81480","272","63","271","7","202","7","209","","0","202","7","209","5","204","1","2","0","3","114","8","0","4","72","29.10.12"
"461146","120","Львівська область","Народний дім, танцювальна зала
вул.Шкільна, 45, с.Чуква, Самбірський р-н, Львівська обл., 81480","1208","467","1191","47","697","44","741","","0","697","44","741","16","725","2","31","2","12","324","13","2","27","312","29.10.12"
"461147","120","Львівська область","Рудківська районна лікарня, адміністративний корпус
вул.Шевченка, 15А, м.Рудки, Самбірський р-н, Львівська обл., 81440","128","28","118","15","87","13","100","","0","87","13","100","2","98","0","0","0","2","53","1","1","1","40","29.10.12"
