"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вуй
Юрій
Ярославович","Гладиш
Ігор
Дмитрович","Гринчук
Роман
Зіновійович","Добродомов
Дмитро
Євгенович","Желада
Олександр
Федорович","Задорожний
Іван
Іванович","Козинець
Світлана
Анатоліївна","Козицький
Андрій
Богданович","Костюк
Петро
Іванович","Новоженець
Ростислав
Павлович","Путас
Юрій
Володимирович","Туісов
Олександр
Володимирович","Федишин
Роман
Степанович","Хміль
Михайло
Михайлович","Чупило
Олег
Володимирович","Яковець
Оксана
Степанівна","Дата підписання протоколу"
"462001","115","Львівська область","школа-ліцей ""Оріяна"", їдальня, 1-й поверх
вул.Чукаріна Г., 3, м.Львів, Львівська обл., 79070","2448","766","2432","19","1667","15","1682","","0","1667","15","1682","31","1651","3","4","5","475","13","2","3","2","5","17","24","38","376","678","1","5","30.10.12"
"462002","115","Львівська область","школа-ліцей ""Оріяна"", коридор, 1-й поверх
вул.Чукаріна Г., 3, м.Львів, Львівська обл., 79070","1920","645","1904","8","1269","6","1275","","0","1269","6","1275","21","1254","0","1","4","330","20","1","6","1","3","26","13","38","413","393","1","4","29.10.12"
"462003","115","Львівська область","школа №90, коридор, 2-й поверх
вул.Антоненка-Давидовича, 2, м.Львів, Львівська обл., 79066","2312","836","2289","7","1472","4","1476","","0","1472","4","1476","41","1435","7","2","5","524","19","7","8","8","4","22","22","48","128","619","2","10","29.10.12"
"462004","115","Львівська область","школа №90, коридор, 2-й поверх
вул.Антоненка-Давидовича, 2, м.Львів, Львівська обл., 79066","2424","751","2418","26","1658","15","1673","","0","1657","15","1672","33","1639","6","4","7","512","19","3","3","7","8","23","27","70","172","763","4","11","30.10.12"
"462005","115","Львівська область","школа №90, спортивний зал, 2-й поверх
вул.Антоненка-Давидовича, 2, м.Львів, Львівська обл., 79066","2400","840","2385","23","1543","17","1560","","0","1543","17","1560","27","1533","6","7","3","466","20","9","1","3","6","32","29","69","125","744","7","6","29.10.12"
"462006","115","Львівська область","школа №93, коридор, 1-й поверх
вул.Кос-Анатольського, 10, м.Львів, Львівська обл., 79066","1876","546","1868","14","1319","11","1330","","0","1319","11","1330","26","1304","3","3","8","402","17","3","9","7","8","20","19","34","117","647","2","5","29.10.12"
"462007","115","Львівська область","школа №93, спортивний зал молодшої школи, 2-й поверх
вул.Кос-Анатольського, 10, м.Львів, Львівська обл., 79066","2224","711","2207","18","1500","13","1513","","0","1500","13","1513","32","1481","2","2","7","533","22","9","7","2","5","16","16","37","154","657","6","6","29.10.12"
"462008","115","Львівська область","школа №93, коридор, 1-й поверх
вул.Кос-Анатольського, 10, м.Львів, Львівська обл., 79066","2140","678","2130","12","1452","10","1462","","0","1452","10","1462","36","1426","5","6","2","434","15","11","5","9","11","27","20","31","164","672","5","9","29.10.12"
"462009","115","Львівська область","школа №86, актова зала, 2-й поверх
вул.Скорини Ф., 34, м.Львів, Львівська обл., 79031","2416","765","2419","15","1642","9","1651","","2","1640","9","1649","48","1601","4","4","10","512","48","3","7","3","14","33","17","55","183","687","2","19","29.10.12"
"462010","115","Львівська область","школа №86, спортивний зал, 2-й поверх
вул.Скорини Ф., 34, м.Львів, Львівська обл., 79031","2328","902","2312","18","1411","15","1426","","0","1411","15","1426","36","1390","5","3","13","448","95","6","2","7","22","15","9","104","143","503","3","12","29.10.12"
"462011","115","Львівська область","школа №86, вестибюль, 2-й поверх
вул.Скорини Ф., 34, м.Львів, Львівська обл., 79031","2116","755","2112","21","1344","17","1361","","0","1344","17","1361","31","1330","6","2","8","452","27","2","3","8","7","37","10","33","231","488","5","11","29.10.12"
"462012","115","Львівська область","школа-гімназія ""Сихівська"", вестибюль, 1-й поверх
вул.Хоткевича Г., 48, м.Львів, Львівська обл., 79070","2444","841","2435","12","1596","7","1603","","0","1596","7","1603","22","1581","3","2","9","423","25","6","6","8","13","28","17","43","430","560","3","5","29.10.12"
"462013","115","Львівська область","школа-гімназія ""Сихівська"", вестибюль, 1-й поверх
вул.Хоткевича Г., 48, м.Львів, Львівська обл., 79070","2264","791","2255","19","1459","14","1473","","0","1459","14","1473","21","1452","0","2","5","404","17","6","3","6","3","19","20","52","292","612","4","7","29.10.12"
"462014","115","Львівська область","школа-гімназія ""Сихівська"", їдальня, 1-й поверх
вул.Хоткевича Г., 48, м.Львів, Львівська обл., 79070","1532","552","1524","15","975","5","980","","0","975","5","980","11","969","0","2","5","237","11","1","2","4","4","19","12","42","289","337","1","3","29.10.12"
"462015","115","Львівська область","школа №98, вестибюль початкової школи, 1-й поверх
вул.Трильовського, 12, м.Львів, Львівська обл., 79049","2344","821","2319","15","1513","10","1523","","0","1512","10","1522","29","1493","4","3","9","570","17","5","4","5","5","36","24","26","140","626","4","15","29.10.12"
"462016","115","Львівська область","школа №98, вестибюль основної школи, 1-й поверх
вул.Трильовського, 12, м.Львів, Львівська обл., 79049","2120","640","2089","18","1463","17","1480","","0","1456","17","1473","27","1446","3","2","6","504","10","1","5","6","9","17","29","31","159","657","0","7","31.10.12"
"462017","115","Львівська область","школа №98, вестибюль основної школи, 1-й поверх
вул.Трильовського, 12, м.Львів, Львівська обл., 79049","2460","758","2453","19","1691","12","1703","","0","1688","12","1700","39","1661","7","3","7","541","20","1","11","5","13","29","20","39","150","803","3","9","29.10.12"
"462018","115","Львівська область","школа №98, їдальня, 1-й поверх
вул.Трильовського, 12, м.Львів, Львівська обл., 79049","2488","835","2451","7","1649","4","1653","","0","1649","4","1653","21","1632","4","2","3","572","12","2","7","5","8","41","17","56","146","740","2","15","29.10.12"
"462019","115","Львівська область","початкова школа ""Дивосвіт"", актова зала, 1-й поверх
вул.Трильовського, 24, м.Львів, Львівська обл., 79049","2496","815","2472","19","1671","10","1681","","0","1671","10","1681","33","1648","3","1","4","551","18","4","3","5","12","24","22","37","211","740","1","12","29.10.12"
"462020","115","Львівська область","школа №1, коридор, 1-й поверх
вул.Трильовського, 17, м.Львів, Львівська обл., 79049","1996","670","1973","9","1317","9","1326","","0","1316","9","1325","31","1294","6","6","12","412","5","8","6","2","8","24","25","25","133","608","3","11","29.10.12"
"462021","115","Львівська область","школа №1, коридор, 1-й поверх
вул.Трильовського, 17, м.Львів, Львівська обл., 79049","2056","671","2046","13","1374","11","1385","","0","1374","11","1385","24","1361","2","5","2","443","15","7","0","5","5","33","13","33","146","630","4","18","30.10.12"
"462022","115","Львівська область","школа №1, їдальня, 1-й поверх
вул.Трильовського, 17, м.Львів, Львівська обл., 79049","2480","732","2477","25","1732","16","1748","","0","1732","16","1748","26","1722","4","6","3","500","20","16","2","8","5","15","22","38","189","876","5","13","29.10.12"
"462023","115","Львівська область","школа №13, їдальня, 1-й поверх
вул.Драгана, 7, м.Львів, Львівська обл., 79049","2408","685","2381","4","1720","3","1723","","0","1720","3","1723","22","1701","7","5","6","584","10","3","10","4","8","31","16","31","155","815","2","14","29.10.12"
"462024","115","Львівська область","школа №13, вестибюль, 1-й поверх
вул.Драгана, 7, м.Львів, Львівська обл., 79049","2480","753","2452","16","1715","12","1727","","0","0","0","1727","24","1703","12","4","4","618","12","2","7","7","12","23","32","30","137","791","1","11","01.11.12"
"462025","115","Львівська область","школа №13, їдальня, 1-й поверх
вул.Драгана, 7, м.Львів, Львівська обл., 79049","2192","701","2156","8","1485","6","1491","","0","1485","6","1491","26","1465","2","4","13","524","12","2","2","7","8","25","20","23","114","697","1","11","29.10.12"
"462026","115","Львівська область","школа №13, вестибюль, 1-й поверх
вул.Драгана, 7, м.Львів, Львівська обл., 79049","2444","701","2438","14","1734","9","1743","","0","1729","9","1738","22","1716","8","12","11","597","7","4","4","2","4","25","26","34","128","837","3","14","29.10.12"
"462027","115","Львівська область","школа №32, коридор, 1-й поверх
вул.Гашека Я., 13, м.Львів, Львівська обл., 79031","2344","934","2329","23","1390","20","1410","","0","1390","20","1410","36","1374","5","3","5","422","79","4","8","13","32","18","23","92","147","507","3","13","29.10.12"
"462028","115","Львівська область","школа №32, коридор, 2-й поверх
вул.Гашека Я., 13, м.Львів, Львівська обл., 79031","2436","885","2333","17","1540","11","1551","","0","1540","11","1551","41","1510","3","3","7","415","51","5","8","8","32","25","17","110","178","631","2","15","29.10.12"
"462029","115","Львівська область","школа №32, коридор, 3-й поверх
вул.Гашека Я., 13, м.Львів, Львівська обл., 79031","2116","754","2103","12","1353","9","1362","","0","1353","9","1362","32","1330","8","3","10","393","47","5","8","10","18","17","9","103","150","519","5","25","29.10.12"
"462030","115","Львівська область","БУ-4 КЕВ, актова зала, 2-й поверх
вул.Стрийська, 105, м.Львів, Львівська обл., 79031","2440","885","2432","9","1552","3","1555","","0","1551","3","1554","39","1515","14","6","13","485","83","5","6","4","41","7","9","138","169","505","8","22","03.11.12"
"462031","115","Львівська область","онкологічний центр, актова зала
вул.Гашека Я., 2а, м.Львів, Львівська обл., 79031","544","467","83","41","37","40","77","","0","37","40","77","1","76","0","0","1","26","1","2","0","2","2","0","2","3","3","30","0","4","29.10.12"
"462032","115","Львівська область","фтизіопульмонологічний центр, актова зала
вул.Зелена, 477, м.Львів, Львівська обл., 79000","724","580","178","20","126","18","144","","0","126","18","144","7","137","3","0","4","53","3","3","2","0","4","0","1","5","10","44","1","4","29.10.12"
"462033","115","Львівська область","обласний перинатальний центр, актова зала
вул.Дж.Вашингтона, 6, м.Львів, Львівська обл., 79032","256","84","172","6","128","6","172","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01.11.12"
"462034","115","Львівська область","лікарня №8, актова зала
вул.Навроцького В., 23, м.Львів, Львівська обл., 79034","384","269","131","74","51","64","115","","0","0","0","115","1","114","1","5","0","38","1","0","3","3","2","1","3","7","14","30","0","6","01.11.12"
"462035","115","Львівська область","ЛВК №48, актова зала
вул.Хуторівка, 2, м.Львів, Львівська обл., 79070","980","57","923","67","856","67","923","","0","856","67","923","102","821","21","17","16","52","20","25","40","16","20","5","14","18","396","87","9","65","29.10.12"
