"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Баран
Олег
Володимирович","Бебик
Валерій
Михайлович","Василишин
Іван
Йосипович","Васюник
Ігор
Васильович","Войцеховський
Олег
Ігорович","Волошина
Оксана
Петрівна","Данилків
Мирослав
Іванович","Куспись
Світлана
Анатоліївна","Лінський
Микола
Васильович","Оксенчук
Надія
Володимирівна","Садовий
Віталій
Степанович","Соскін
Олег
Ігорович","Стецьків
Тарас
Степанович","Ткаченко
Юрій
Миколайович","Юринець
Оксана
Василівна","Дата підписання протоколу"
"462050","117","Львівська область","Міжрегіональний центр профтехосвіти художнього моделювання і дизайну, фойє, 1-й поверх
вул.Городоцька, 195, м.Львів, 79015","2072","746","2045","13","1319","7","1326","","0","1319","7","1326","36","1290","125","6","21","433","3","15","19","14","5","11","17","36","331","35","219","29.10.12"
"462051","117","Львівська область","Міжрегіональний центр профтехосвіти художнього моделювання і дизайну, актова зала, 1-й поверх
вул.Городоцька, 195, м.Львів, 79015","2388","850","2361","25","1521","17","1538","","0","1521","17","1538","39","1499","216","9","43","404","7","12","19","9","2","10","25","39","381","58","265","29.10.12"
"462052","117","Львівська область","гуртожиток Національного університету ""Львівська політехніка"", ауд.5, 1-й поверх
вул.Сахарова А., акад., 23, м.Львів, 79044","1588","797","1612","2","789","2","791","","0","789","2","791","20","771","106","7","7","216","5","9","18","8","3","15","42","13","67","13","242","29.10.12"
"462053","117","Львівська область","Львівське державне училище фізичної культури, вестибюль, 1-й поверх
вул.Княгині Ольги, 1/3, м.Львів, 79044","1932","583","1927","10","1339","10","1349","","0","1339","10","1349","32","1317","183","2","27","339","5","7","13","13","1","35","22","68","294","41","267","29.10.12"
"462054","117","Львівська область","Палац гімнастики навчально-спортивної бази, хол
вул.Княгині Ольги, 3А, м.Львів, 79044","1936","614","1934","16","1307","15","1322","","0","1307","15","1322","28","1294","193","3","26","322","4","5","10","17","0","19","19","33","270","67","306","29.10.12"
"462055","117","Львівська область","гуртожиток Національного університету ""Львівська політехніка"", хол, 1-й поверх
вул.Карпинця, 27, м.Львів, 79012","1916","741","1907","13","1166","9","1175","","0","1166","9","1175","30","1145","228","1","21","284","4","11","15","7","2","22","27","47","165","78","233","29.10.12"
"462056","117","Львівська область","гуртожиток Національного університету ""Львівська політехніка"", хол, 1-й поверх
вул.Лукаша, 5, м.Львів, 79012","2384","1202","2376","0","1182","0","1182","","0","1182","0","1182","16","1166","239","2","25","318","7","9","18","3","3","2","49","14","50","3","424","29.10.12"
"462057","117","Львівська область","школа №50, спортивний зал молодшої школи, 1-й поверх
вул.Комаринця, 2, м.Львів, 79012","2196","998","2187","31","1172","26","1198","","0","1172","26","1198","21","1177","301","3","26","281","1","14","16","6","1","6","41","27","108","38","308","29.10.12"
"462058","117","Львівська область","школа ""Джерельце"", спортивний зал, 1-й поверх
вул.Сахарова А., акад., 80, м.Львів, 79026","2260","671","2305","2","1589","0","1589","","0","1589","0","1589","60","1529","550","17","30","226","8","48","24","15","12","38","86","31","153","60","231","29.10.12"
"462059","117","Львівська область","гуртожиток Національного університету ""Львівська політехніка"", хол, 1-й поверх
вул.Лазаренка Є., акад., 40, м.Львів, 79026","2384","813","2331","9","1565","6","1571","","0","1565","6","1571","35","1536","548","6","31","307","14","19","24","8","9","12","65","31","37","145","280","29.10.12"
"462060","117","Львівська область","гуртожиток Національного університету ""Львівська політехніка"", хол, 1-й поверх
вул.Лазаренка Є., акад., 42, м.Львів, 79026","2384","859","2364","7","1520","5","1525","","0","1520","5","1525","25","1500","178","1","39","449","7","10","15","13","2","27","35","57","300","41","326","29.10.12"
"462061","117","Львівська область","Львівський коледж ДУ інформаційно-комунікаційних технологій, хол, 1-й поверх
вул.Володимира Великого, 12, м.Львів, 79026","2124","664","2118","23","1441","19","1460","","0","1441","19","1460","20","1440","178","6","18","398","7","6","24","17","2","4","23","28","453","51","225","30.10.12"
"462062","117","Львівська область","Львівський коледж ДУ інформаційно-комунікаційних технологій, хол, 1-й поверх
вул.Володимира Великого, 12, м.Львів, 79026","2040","684","2013","8","1349","7","1356","","0","1349","7","1356","31","1325","91","1","29","482","3","12","18","7","2","12","14","41","360","24","229","29.10.12"
"462063","117","Львівська область","Інститут геології та геохімії горючих копалин НАН України, вестибюль, 1-й поверх
вул.Наукова, 3А, м.Львів, 79053","2163","614","2154","18","1534","15","1549","","0","1534","15","1549","24","1525","99","3","15","452","4","14","24","12","2","5","33","46","566","36","214","29.10.12"
"462064","117","Львівська область","школа №48, спортивний зал, 1-й поверх
вул.Рубчака І., 8, м.Львів, 79026","2240","782","2234","14","1445","13","1458","","0","1445","13","1458","30","1428","81","5","31","481","6","6","26","12","1","11","35","50","392","42","249","29.10.12"
"462065","117","Львівська область","школа №48, актова зала, 2-й поверх
вул.Рубчака І., 8, м.Львів, 79026","2348","868","2234","13","1468","12","1480","","0","1468","12","1480","28","1452","221","7","31","316","7","24","34","15","1","16","51","39","303","48","339","29.10.12"
"462066","117","Львівська область","школа №2, хол, 1-й поверх
вул.Володимира Великого, 55А, м.Львів, 79053","2176","716","2169","18","1445","15","1460","","0","1445","15","1460","48","1412","112","4","31","417","2","16","12","13","1","11","26","50","460","31","226","29.10.12"
"462067","117","Львівська область","школа №2, хол, 1-й поверх
вул.Володимира Великого, 55А, м.Львів, 79053","1988","586","1972","58","1345","57","1402","","0","1320","57","1377","24","1353","293","2","24","375","1","10","25","9","0","9","28","48","326","23","180","29.10.12"
"462068","117","Львівська область","школа №36, їдальня, 1-й поверх
вул.Володимира Великого, 55Б, м.Львів, 79053","1628","493","1643","20","1121","14","1135","","0","1121","14","1135","20","1115","111","4","23","327","3","8","19","6","0","4","16","27","355","34","178","29.10.12"
"462069","117","Львівська область","школа №36, спортивний зал, 1-й поверх
вул.Володимира Великого, 55Б, м.Львів, 79053","1888","637","1803","21","1234","17","1251","","0","1234","17","1251","28","1223","158","5","13","328","11","18","19","12","2","16","37","34","303","50","217","29.10.12"
"462070","117","Львівська область","кінотеатр ""Сокіл"", фойє, 1-й поверх
вул.Володимира Великого, 14А, м.Львів, 79053","1896","632","1867","22","1245","19","1264","","0","1245","19","1264","35","1229","96","5","32","375","9","6","12","13","1","5","44","48","320","64","199","29.10.12"
"462071","117","Львівська область","школа №31, хол, 1-й поверх
вул.Княгині Ольги, 104, м.Львів, 79053","1988","667","1983","37","1298","23","1321","","0","1297","23","1320","36","1284","91","6","33","407","6","10","20","21","1","15","45","44","332","37","216","31.10.12"
"462072","117","Львівська область","школа №31, хол, 1-й поверх
вул.Княгині Ольги, 104, м.Львів, 79053","2108","687","2093","26","1400","21","1421","","0","1400","21","1421","28","1393","128","9","37","438","6","10","19","12","1","16","25","44","373","58","217","29.10.12"
"462073","117","Львівська область","школа №31, хол, 1-й поверх
вул.Княгині Ольги, 104, м.Львів, 79053","1832","630","1820","16","1189","13","1202","","0","1189","13","1202","31","1171","69","4","21","373","6","10","26","4","1","8","12","44","356","40","197","29.10.12"
"462074","117","Львівська область","Львівський ліцей менеджменту, хол, 1-й поверх
вул.Кульпарківська, 99, м.Львів, 79021","2404","828","2383","14","1565","11","1576","","0","1565","11","1576","21","1555","98","2","42","439","4","22","28","11","2","7","27","50","509","38","276","29.10.12"
"462075","117","Львівська область","Львівський ліцей менеджменту, хол, 1-й поверх
вул.Кульпарківська, 99, м.Львів, 79021","2272","736","2262","19","1518","18","1536","","0","1517","18","1535","41","1494","80","2","39","498","6","7","27","18","0","14","29","46","441","18","269","29.10.12"
"462076","117","Львівська область","школа ""Надія"", актова зала, 2-й поверх
вул.Наукова, 60, м.Львів, 79060","1876","598","1867","20","1268","10","1278","","0","1268","10","1278","36","1242","111","4","15","392","4","10","24","4","1","2","21","49","340","51","214","29.10.12"
"462077","117","Львівська область","школа №46 імені В.Чорновола, їдальня, 1-й поверх
вул.Наукова, 90, м.Львів, 79060","2244","713","2200","32","1501","30","1531","","0","1501","30","1531","45","1486","80","1","30","454","4","8","22","8","0","12","21","49","506","50","241","29.10.12"
"462078","117","Львівська область","школа №46 імені В.Чорновола, спортивний зал, 1-й поверх
вул.Наукова, 90, м.Львів, 79060","2172","687","2161","23","1467","18","1485","","0","1467","18","1485","36","1449","131","4","32","390","6","9","16","10","1","21","28","55","456","55","235","29.10.12"
"462079","117","Львівська область","школа №46 імені В.Чорновола, актова зала, 2-й поверх
вул.Наукова, 90, м.Львів, 79060","1584","520","1563","20","1053","11","1064","","0","1053","11","1064","32","1032","107","3","16","280","2","5","10","16","2","5","24","44","323","40","155","29.10.12"
"462080","117","Львівська область","школа №66, вестибюль, 1-й поверх
вул.Наукова, 92, м.Львів, 79060","2240","809","2225","23","1414","17","1431","","0","1414","17","1431","40","1391","102","4","29","475","4","10","26","12","0","13","31","43","368","45","229","29.10.12"
"462081","117","Львівська область","школа №66, вестибюль молодшої школи, 1-й поверх
вул.Наукова, 92, м.Львів, 79060","2080","633","2065","20","1431","16","1447","","0","1431","16","1447","26","1421","122","2","25","471","5","6","19","13","3","15","28","34","411","48","219","29.10.12"
"462082","117","Львівська область","Туристично-краєзнавчий центр ""Княжий"", кабінет історичного краєзнавства
вул.Володимира Великого, 125А, м.Львів, 79071","1672","540","1676","18","1117","15","1132","","0","1117","15","1132","23","1109","86","2","14","354","2","8","13","6","1","10","22","43","352","29","167","29.10.12"
"462083","117","Львівська область","гімназія імені В.Симоненка, хол, 1-й поверх
вул.Симоненка В., 6, м.Львів, 79071","1940","589","1937","6","1348","3","1351","","0","1348","3","1351","36","1315","120","6","23","419","1","7","23","8","1","9","28","32","341","36","261","29.10.12"
"462084","117","Львівська область","гімназія імені В.Симоненка, хол, 1-й поверх
вул.Симоненка В., 6, м.Львів, 79071","1652","580","1642","10","1064","8","1072","","0","1064","8","1072","16","1056","93","2","26","371","3","7","18","5","1","6","25","24","289","19","167","29.10.12"
"462085","117","Львівська область","ЛКП ""Південне"", актова зала, 2-й поверх
вул.Кульпарківська, 131, м.Львів, 79071","1880","538","1880","17","1330","12","1342","","0","1330","12","1342","34","1308","109","5","29","410","2","5","20","18","0","4","33","32","389","53","199","29.10.12"
"462086","117","Львівська область","школа №83, хол, 2-й поверх
вул.Пулюя І., 16, м.Львів, 79071","2256","689","2239","17","1560","7","1567","","0","1560","7","1567","30","1537","169","4","31","510","5","12","23","14","0","6","23","37","438","37","228","29.10.12"
"462087","117","Львівська область","Технологічний коледж Національного лісотехнічного університету, хол, 1-й поверх
вул.Пулюя, 20, м.Львів, 79071","2302","835","2279","13","1461","6","1467","","0","1461","6","1467","28","1439","104","3","27","553","8","10","27","20","1","7","39","51","350","20","219","29.10.12"
"462088","117","Львівська область","Львівське ВПУ ресторанного сервісу та туризму, хол, 1-й поверх
вул.Пулюя І., 36, м.Львів, 79060","2344","752","2342","18","1583","9","1592","","0","1583","9","1592","39","1553","125","3","23","536","2","11","21","23","3","7","35","55","423","32","254","30.10.12"
"462089","117","Львівська область","Технічний коледж Національного університету ""Львівська політехніка"", читальний зал бібліотеки
вул.Пулюя І., 30, м.Львів, 79071","2020","625","2005","21","1381","14","1395","","0","1380","14","1394","27","1367","114","5","20","456","5","13","16","8","2","8","26","36","408","35","215","29.10.12"
"462090","117","Львівська область","школа №45, спортивний зал, 1-й поверх
вул.Наукова, 25, м.Львів, 79060","2452","738","2422","12","1704","10","1714","","0","1704","10","1714","25","1689","124","2","30","575","2","10","25","14","2","6","22","42","452","48","335","29.10.12"
"462091","117","Львівська область","Комунальна 5-та міська клінічна лікарня, актова зала, 1-й поверх
вул.Коновальця Є., 22, м.Львів, 79013","304","216","91","66","24","64","88","","0","24","64","88","1","87","6","0","5","35","0","2","2","1","0","1","5","0","17","8","5","31.10.12"
"462092","117","Львівська область","Львівська обласна лікарня позалегеневого туберкульозу, актова зала, 1-й поверх
вул.Бой-Желенського, 5, м.Львів, 79012","152","97","59","0","55","0","55","","0","55","0","55","4","51","10","0","2","13","0","0","3","1","0","2","4","5","2","1","8","29.10.12"
"462093","117","Львівська область","Львівський обласний державний клінічний кардіологічний центр, світлиця, 1-й поверх
вул.Кульпарківська, 35, м.Львів, 79015","224","86","161","60","78","60","138","","0","78","60","138","4","134","16","0","6","34","1","3","4","1","0","0","4","11","27","4","23","29.10.12"
"462094","117","Львівська область","Львівська обласна державна клінічна психіатрична лікарня, актова зала, 1-й поверх
вул.Кульпарківська, 95, м.Львів, 79021","1056","190","1049","435","521","345","866","","0","521","345","866","112","754","288","19","20","113","20","33","20","17","11","11","88","29","27","14","44","29.10.12"
"462130","117","Львівська область","Гімназія ""Престиж"", хол, 1-й поверх
вул.Ветеранів, 11, м.Львів, 79007","1472","756","1445","5","712","4","716","","0","712","4","716","30","686","78","4","21","154","5","7","5","9","1","7","34","19","121","38","183","29.10.12"
"462131","117","Львівська область","Гімназія ""Престиж"", хол, 2-й поверх
вул.Ветеранів, 11, м.Львів, 79007","1444","600","1417","8","837","7","844","","0","837","7","844","19","825","95","7","16","255","5","12","12","13","1","11","27","23","146","49","153","31.10.12"
"462132","117","Львівська область","Правнича гімназія, каб.1/8, 1-й поверх
вул.Леонтовича М., 2, м.Львів, 79007","1176","468","1174","0","708","0","708","","0","708","0","708","21","687","69","2","20","159","5","6","22","4","0","5","24","32","180","38","121","29.10.12"
"462133","117","Львівська область","Львівський кооперативний коледж економіки і права, актова зала, 1-й поверх
вул.Клепарівська, 11, м.Львів, 79007","1580","284","1746","8","1288","8","1296","","0","1288","8","1296","18","1278","445","5","24","270","5","15","13","6","1","8","29","25","189","37","206","29.10.12"
"462134","117","Львівська область","школа №33, актова зала, 1-й поверх
вул.Шевченка Т., 34, м.Львів, 79016","2216","801","2190","27","1390","25","1415","","0","1390","25","1415","36","1379","104","6","32","457","7","14","22","10","2","15","23","46","328","58","255","29.10.12"
"462135","117","Львівська область","школа №44, спортзал, 1-й поверх
вул.Пстрака Я., 1, м.Львів, 79039","2360","900","2360","22","1440","20","1460","","0","1440","20","1460","33","1427","230","2","31","353","10","20","21","16","5","18","27","45","373","51","225","29.10.12"
"462136","117","Львівська область","ВПУ №29, хол, 2-й поверх
вул.Шевченка Т., 116, м.Львів, 79039","2564","1234","2540","10","1323","7","1330","","0","1323","7","1330","44","1286","118","8","33","350","10","18","29","13","4","20","43","40","272","63","265","29.10.12"
