"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Будулич
Андрій
Володимирович","Василько
Ростислав
Степанович","Великач
Зеновій
Мирославович","Дубневич
Богдан
Васильович","Загорський
Володимир
Степанович","Іщук
Андрій
Богданович","Мандзюк
Тарас
Ігорович","Михальчишин
Юрій
Адріянович","Пущак
Микола
Зіновійович","Свелеба
Ярослав
Богданович","Снєгирьов
Дмитро
Васильович","Дата підписання протоколу"
"460904","118","Львівська область","народний дім, актовий зал
вул.Шухевича, 81, с.Зимна Вода, Пустомитівський р-н, Львівська обл., 81110","2136","607","2122","27","1504","25","1529","","0","1504","25","1529","26","1503","5","8","3","362","11","2","107","990","10","4","1","01.11.12"
"460905","118","Львівська область","школа №1, фойє
вул.Мазепи, 2, с.Зимна Вода, Пустомитівський р-н, Львівська обл., 81110","2136","636","2133","23","1480","20","1500","","0","1480","20","1500","19","1481","2","2","5","316","14","2","72","1060","2","2","4","29.10.12"
"460906","118","Львівська область","поліклініка, фойє
вул.М.Вовчка, 1, с.Зимна Вода, Пустомитівський р-н, Львівська обл., 81110","1968","582","1959","38","1352","34","1386","","0","1352","34","1386","17","1369","4","8","7","237","23","3","91","987","6","2","1","29.10.12"
"460907","118","Львівська область","школа №2, фойє
вул.Сірка, 75, с.Зимна Вода, Пустомитівський р-н, Львівська обл., 81110","2166","657","2155","20","1491","18","1509","","0","1491","18","1509","20","1489","4","6","9","223","2","8","86","1139","8","2","2","29.10.12"
"460908","118","Львівська область","народний дім, актовий зал
вул.Городоцька, 2, с.Конопниця, Пустомитівський р-н, Львівська обл., 81111","534","102","535","13","420","12","432","","0","420","12","432","8","424","5","0","3","109","6","2","29","269","1","0","0","29.10.12"
"460909","118","Львівська область","школа, фойє
вул.Геофізиків, 25, с.Лапаївка, Пустомитівський р-н, Львівська обл., 81113","2460","713","2449","16","1732","15","1747","","0","1732","15","1747","27","1720","5","5","7","288","21","5","102","1272","5","4","6","29.10.12"
"460910","118","Львівська область","музична школа, каб.1
вул.Тичини, 1, с.Холодновідка, Пустомитівський р-н, Львівська обл., 81112","870","217","860","16","637","16","653","","0","637","16","653","10","643","2","3","2","170","5","2","44","411","2","1","1","02.11.12"
"460911","118","Львівська область","народний дім, актовий зал
вул.Шевченка, 5, с.Оброшине, Пустомитівський р-н, Львівська обл., 81115","1806","478","1792","42","1287","41","1328","","0","1287","41","1328","21","1307","6","5","0","226","12","1","68","983","1","4","1","29.10.12"
"460912","118","Львівська область","адміністративний корпус інституту, фойє
вул.Грушевського, 5, с.Оброшине, Пустомитівський р-н, Львівська обл., 81115","1530","480","1518","21","1033","17","1050","","0","1033","17","1050","10","1040","4","5","1","183","10","5","42","784","3","1","2","29.10.12"
"460913","118","Львівська область","народний дім, актовий зал
вул.Шашкевича, 44, с.Ставчани, Пустомитівський р-н, Львівська обл., 81118","1710","530","1710","20","1162","18","1180","","0","1162","18","1180","19","1161","4","3","1","285","5","1","52","802","5","2","1","29.10.12"
"460914","118","Львівська область","школа, каб.2
вул.Шевченка, 2, с.Годовиця, Пустомитівський р-н, Львівська обл., 81117","738","200","731","40","500","38","538","","0","500","38","538","2","536","3","1","4","124","2","1","16","382","1","2","0","29.10.12"
"460915","118","Львівська область","народний дім, актовий зал
вул.Львівська, народний дім, с.Басівка, Пустомитівський р-н, Львівська обл., 81115","942","245","926","22","677","20","697","","0","677","20","697","12","685","4","2","3","201","0","1","41","422","9","1","1","29.10.12"
"460916","118","Львівська область","народний дім, актовий зал
вул.І.Франка, 27, с.Скнилів, Пустомитівський р-н, Львівська обл., 81114","1050","308","1049","26","718","24","742","","0","718","24","742","15","727","4","8","1","170","5","5","63","461","8","1","1","29.10.12"
"460917","118","Львівська область","школа, історичний клас
вул.Д.Галицького, 16, с.Сокільники, Пустомитівський р-н, Львівська обл., 81130","2514","685","2495","46","1787","42","1829","","0","1787","42","1829","14","1815","8","5","5","349","9","0","71","1313","48","2","5","29.10.12"
"460918","118","Львівська область","школа, спортзал
вул.Д.Галицького, 16, с.Сокільники, Пустомитівський р-н, Львівська обл., 81130","2538","728","2513","48","1765","45","1810","","0","1765","45","1810","25","1785","5","1","5","497","15","3","90","1144","16","7","2","29.10.12"
"460919","118","Львівська область","школа №1, актовий зал
вул.Паркова, 2, м.Пустомити, Пустомитівський р-н, Львівська обл., 81100","1830","610","1811","24","1199","21","1220","","0","1199","21","1220","13","1207","0","6","0","565","23","0","14","596","1","1","1","29.10.12"
"460920","118","Львівська область","школа №2, спортзал
вул.Даші Дяченко, 17, м.Пустомити, Пустомитівський р-н, Львівська обл., 81100","1536","461","1528","15","1061","14","1075","","0","1061","14","1075","18","1057","4","12","5","368","12","0","73","574","6","2","1","29.10.12"
"460921","118","Львівська область","Пустомитівське УЕГГ, зал
вул.Шептицького, 22, м.Пустомити, Пустомитівський р-н, Львівська обл., 81100","1896","693","1889","24","1183","20","1203","","0","1183","20","1203","18","1185","1","6","7","398","13","1","78","671","6","2","2","29.10.12"
"460922","118","Львівська область","народний дім, актовий зал
вул.Глинська, 42, м.Пустомити, Пустомитівський р-н, Львівська обл., 81100","1752","532","1751","37","1189","31","1220","","0","1189","31","1220","11","1209","4","1","6","497","9","3","54","627","3","3","2","29.10.12"
"460923","118","Львівська область","народний дім, актовий зал
вул.Львівська, 10, с.Наварія, Пустомитівський р-н, Львівська обл., 81105","1320","327","1312","31","962","31","993","","0","962","31","993","10","983","2","5","8","253","11","2","78","614","5","3","2","29.10.12"
"460924","118","Львівська область","народний дім, актовий зал
вул.Тичини, 2, м.Пустомити, Пустомитівський р-н, Львівська обл., 81100","1206","317","1207","41","849","40","889","","0","849","40","889","18","871","0","7","0","373","2","0","32","447","6","2","2","01.11.12"
"460925","118","Львівська область","народний дім, актовий зал
вул.Центральна, 29А, с.Містки, Пустомитівський р-н, Львівська обл., 81119","720","160","709","19","541","19","560","","0","541","19","560","10","550","1","0","3","275","1","1","14","251","3","1","0","29.10.12"
"460926","118","Львівська область","народний дім, актовий зал
вул.Центральна, 39А, с.Полянка, Пустомитівський р-н, Львівська обл., 81119","390","82","388","24","285","23","308","","0","285","23","308","6","302","0","0","2","153","6","0","13","122","3","3","0","01.11.12"
"460927","118","Львівська область","народний дім, актовий зал
вул.Шевченка, 2А, с.Семенівка, Пустомитівський р-н, Львівська обл., 81162","1698","545","1678","92","1066","87","1153","","0","1066","87","1153","18","1135","5","7","5","452","6","0","80","563","9","5","3","01.11.12"
"460928","118","Львівська область","народний дім, актовий зал
вул.І.Мазепи, 1А, с.Милошевичі, Пустомитівський р-н, Львівська обл., 81162","276","61","279","16","199","16","215","","0","199","16","215","1","214","0","1","0","80","1","0","18","113","1","0","0","29.10.12"
"460929","118","Львівська область","дошкільний навчальний заклад №1, актовий зал
вул.Острівська, 2, смт Щирець, Пустомитівський р-н, Львівська обл., 81160","1206","424","1184","8","774","8","782","","0","774","8","782","14","768","4","9","4","299","18","5","23","396","4","3","3","29.10.12"
"460930","118","Львівська область","школа №2, спортзал
вул.П.Адермаха, 22, смт Щирець, Пустомитівський р-н, Львівська обл., 81160","1590","445","1587","14","1132","13","1145","","0","1132","13","1145","16","1129","3","6","3","464","7","3","36","596","8","0","3","29.10.12"
"460931","118","Львівська область","дошкільний навчальний заклад №2, актовий зал
вул.Шашкевича, 38, смт Щирець, Пустомитівський р-н, Львівська обл., 81160","1536","495","1518","18","1023","18","1041","","0","1023","18","1041","21","1020","5","2","2","384","2","1","30","587","5","2","0","29.10.12"
"460932","118","Львівська область","школа, спортзал
вул.М.Кураха, 46, с.Сердиця, Пустомитівський р-н, Львівська обл., 81160","426","133","431","34","260","33","293","","0","260","33","293","12","281","1","1","0","156","5","1","3","110","4","0","0","01.11.12"
"460933","118","Львівська область","школа, актовий зал
вул.Грушевського, 13, с.Соколівка, Пустомитівський р-н, Львівська обл., 81171","138","24","144","14","100","14","114","","0","100","14","114","0","114","0","1","0","91","5","1","3","13","0","0","0","29.10.12"
"460934","118","Львівська область","школа, каб.1
вул.Соняшна, 67, с.Никонковичі, Пустомитівський р-н, Львівська обл., 81170","288","58","292","27","209","21","230","","0","209","21","230","3","227","2","1","0","137","6","0","9","71","0","0","1","28.10.12"
"460935","118","Львівська область","громадський дім, каб.2
вул.Л.Українки, 4, с.Сороки, Пустомитівський р-н, Львівська обл., 81171","72","14","69","10","48","10","58","","0","48","10","58","1","57","0","0","1","37","0","0","0","19","0","0","0","29.10.12"
"460936","118","Львівська область","народний дім, актовий зал
вул.Львівська, 9А, с.Яструбків, Пустомитівський р-н, Львівська обл., 81171","90","15","96","18","62","13","75","","0","62","13","75","2","73","0","0","1","50","10","0","0","12","0","0","0","28.10.12"
"460937","118","Львівська область","народний дім, актовий зал
19А, с.Гуменець, Пустомитівський р-н, Львівська обл., 81173","234","53","232","19","163","18","181","","0","163","18","181","2","179","1","0","0","104","0","1","1","71","0","1","0","29.10.12"
"460938","118","Львівська область","народний дім, актовий зал
вул.Шевченка, 89, с.Лани, Пустомитівський р-н, Львівська обл., 81173","798","215","783","37","546","37","583","","0","546","37","583","4","579","2","3","1","243","12","1","26","286","1","3","1","29.10.12"
"460939","118","Львівська область","народний дім, актовий зал
317, с.Дмитре, Пустомитівський р-н, Львівська обл., 81174","492","109","482","63","322","61","383","","0","322","61","383","5","378","2","0","0","201","2","0","2","169","2","0","0","29.10.12"
"460940","118","Львівська область","бібліотека, каб.2
914, с.Попеляни, Пустомитівський р-н, Львівська обл., 81174","258","45","253","21","192","21","213","","0","192","21","213","5","208","2","2","0","99","0","0","6","96","1","1","1","29.10.12"
"460941","118","Львівська область","народний дім, актовий зал
472, с.Черкаси, Пустомитівський р-н, Львівська обл., 81176","252","35","251","16","201","16","217","","0","201","16","217","4","213","0","1","0","100","18","1","3","90","0","0","0","29.10.12"
