"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андрущенко
Андрій
Олександрович","Коб’ялковський
Михайло
Степанович","Кожан
Володимир
Дмитрович","Матвієнко
Ігор
Володимирович","Сенчук
Сергій
Степанович","Сех
Ірина
Ігорівна","Стецик
Юрій
Михайлович","Тлємішок
Наталія
Олександрівна","Туркевич
Леся
Йосипівна","Шульба
Михайло
Степанович","Щепанкевич
Іван
Станіславович","Яремків
Ольга
Михайлівна","Дата підписання протоколу"
"461036","119","Львівська область","школа, спортзала
вул.Джерельна, 4, с.Павлів, Радехівський р-н, Львівська обл., 80250","1626","624","1608","47","960","42","1002","","0","960","42","1002","34","968","7","27","25","0","77","595","7","2","4","103","111","10","29.10.12"
"461037","119","Львівська область","школа, фойє
вул.Джерельна, 4, с.Павлів, Радехівський р-н, Львівська обл., 80250","1428","594","1403","34","802","32","834","","0","802","32","834","19","815","13","19","18","4","76","429","5","3","4","113","126","5","29.10.12"
"461038","119","Львівська область","навчально-виховний комплекс, спортзала
вул.І.Франка, 60, с.Пиратин, Радехівський р-н, Львівська обл., 80223","504","170","495","33","303","31","334","","0","303","31","334","9","325","0","13","4","2","149","123","1","0","0","0","33","0","29.10.12"
"461039","119","Львівська область","школа, фойє
вул.Б.Хмельницького, 27, с.Поздимир, Радехівський р-н, Львівська обл., 80216","720","126","717","43","551","43","594","","0","551","43","594","12","582","13","19","12","3","62","436","2","1","4","7","14","9","29.10.12"
"461040","119","Львівська область","народний дім, фойє
вул.Набережного, 5А, с.Полове, Радехівський р-н, Львівська обл., 80218","612","233","597","27","354","25","379","","0","354","25","379","9","370","1","6","10","1","53","236","1","2","0","25","33","2","29.10.12"
"461041","119","Львівська область","народний дім, актова зала
вул.Л.Українки, 31, с.Розжалів, Радехівський р-н, Львівська обл., 80211","444","132","439","26","287","25","312","","0","287","25","312","5","307","0","1","12","2","40","203","5","1","0","0","36","7","29.10.12"
"461042","119","Львівська область","народний дім, актова зала
вул.Піскова, 95, с.Андріївка, Радехівський р-н, Львівська обл., 80211","234","54","238","12","168","12","180","","0","168","12","180","3","177","0","9","1","2","20","136","0","0","0","2","5","2","29.10.12"
"461043","119","Львівська область","народний дім, актовий зал
вул.Центральна, 11, с.Синьків, Радехівський р-н, Львівська обл., 80222","414","98","406","4","313","3","316","","0","313","3","316","8","308","3","16","9","1","127","128","3","0","3","2","13","3","28.10.12"
"461044","119","Львівська область","школа, фойє
вул.Підлісна, 2А, с.Середпільці, Радехівський р-н, Львівська обл., 80240","366","73","367","31","263","30","293","","0","263","30","293","5","288","1","27","18","1","46","167","0","0","2","1","19","6","28.10.12"
"461045","119","Львівська область","народний дім, актова зала
вул.Садова, 43, с.Мукані, Радехівський р-н, Львівська обл., 80240","132","35","128","6","91","6","97","","0","91","6","97","4","93","0","0","3","0","6","77","1","0","0","1","5","0","28.10.12"
"461046","119","Львівська область","школа, фойє
вул.Зелена, 3, с.Сморжів, Радехівський р-н, Львівська обл., 80234","648","179","644","61","409","60","469","","0","409","60","469","8","461","0","36","4","1","102","278","10","3","0","3","23","1","29.10.12"
"461047","119","Львівська область","школа, актова зала
вул.Лопатинська, 3, с.Щуровичі, Радехівський р-н, Львівська обл., 80236","378","110","375","32","242","26","268","","0","241","26","267","13","254","2","8","4","1","22","187","4","4","2","2","11","7","01.11.12"
"461048","119","Львівська область","народний дім, актова зала
вул.Миру, 69, с.Станин, Радехівський р-н, Львівська обл., 80251","396","99","392","18","279","18","297","","0","279","18","297","6","291","1","9","4","0","18","100","1","2","0","123","31","2","29.10.12"
"461049","119","Львівська область","народний дім, фойє
вул.В.Стуса, 12, с.Стоянів, Радехівський р-н, Львівська обл., 80220","2208","767","2199","81","1363","78","1441","","0","1363","78","1441","23","1418","14","23","75","12","152","905","13","2","6","34","157","25","30.10.12"
"461050","119","Львівська область","народний дім, актова зала
вул.Шевченка, 10, с.Збоївська, Радехівський р-н, Львівська обл., 80220","84","17","83","7","60","7","67","","0","60","7","67","0","67","0","1","4","1","8","39","1","0","1","7","4","1","29.10.12"
"461051","119","Львівська область","народний дім, фойє
вул.Центральна, 8, с.Стремільче, Радехівський р-н, Львівська обл., 80235","330","94","320","24","214","22","236","","0","214","22","236","12","224","0","5","1","2","76","133","2","0","0","2","3","0","29.10.12"
"461052","119","Львівська область","народний дім, актова зала
вул.Шевченка, 2, с.Сушно, Радехівський р-н, Львівська обл., 80214","444","89","435","31","324","31","355","","0","324","31","355","9","346","3","12","4","1","44","244","3","3","2","5","21","4","29.10.12"
"461053","119","Львівська область","народний дім, фойє
вул.Шевченка, 1А, с.Тетевчиці, Радехівський р-н, Львівська обл., 80221","828","170","820","35","623","35","658","","0","623","35","658","8","650","15","27","53","1","86","394","2","1","0","11","55","5","29.10.12"
"461054","119","Львівська область","дім дослідного господарства, к.1
вул.Польова, дім дослідного господарства, с.Сабанівка, Радехівський р-н, Львівська обл., 80221","258","57","260","6","195","6","201","","0","195","6","201","2","199","0","3","8","0","31","137","3","0","1","1","12","3","29.10.12"
"461055","119","Львівська область","сільська рада, актова зала
вул.І.Франка, 9, с.Увин, Радехівський р-н, Львівська обл., 80230","210","56","211","19","137","17","154","","0","137","17","154","7","147","0","12","2","1","23","102","1","0","0","1","5","0","29.10.12"
"461056","119","Львівська область","сільська рада, актова зала
вул.Центральна, 31, с.Хмільно, Радехівський р-н, Львівська обл., 80243","540","171","533","37","332","37","369","","0","332","37","369","7","362","2","14","2","1","161","146","3","4","0","0","27","2","29.10.12"
"461057","119","Львівська область","школа, фойє
вул.Зелена, 93, с.Яструбичі, Радехівський р-н, Львівська обл., 80215","876","142","862","89","645","89","734","","0","645","89","734","17","717","27","22","8","7","81","469","14","3","3","16","53","14","29.10.12"
"461058","119","Львівська область","центральна районна лікарня, фойє
вул.Львівська, 10, м.Радехів, Радехівський р-н, Львівська обл., 80200","54","25","39","17","19","10","29","","0","19","10","29","0","29","0","6","2","1","6","12","0","0","0","0","2","0","28.10.12"
