"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Багай
Ярослав
Романович","Березюк
Андрій
Тарасович","Герчук
Ігор
Володимирович","Купінець
Богдан
Іванович","Нєкрасов
Ігор
Євгенович","Садовий
Василь
Степанович","Середа
Степан
Васильович","Фаріон
Ірина
Дмитрівна","Хруставчук
Богдан
Іванович","Дата підписання протоколу"
"462112","116","Львівська область","школа №81, їдальня, 1-й поверх
вул.Мазепи, І., гетьм., 1А, м.Львів, 79068","2480","773","2469","12","1696","11","1707","","0","1696","11","1707","58","1649","9","293","26","7","47","64","24","1118","61","29.10.12"
"462113","116","Львівська область","школа №81, хол, 1-й поверх
вул.Мазепи, І., гетьм., 1А, м.Львів, 79068","2368","878","2361","10","1481","9","1490","","0","1481","9","1490","33","1457","5","266","21","15","54","70","26","926","74","29.10.12"
"462119","116","Львівська область","школа №54, хол, 2-й поверх
вул.Хвильового М., 16, м.Львів, 79068","2416","867","2399","22","1527","22","1549","","0","1527","22","1549","38","1511","7","311","22","12","69","50","16","964","60","31.10.12"
"462120","116","Львівська область","школа №97, їдальня, 1-й поверх
вул.Миколайчука І., 18, м.Львів, 79059","2504","844","2490","9","1651","9","1660","","0","1651","9","1660","27","1633","8","279","22","8","37","63","22","1134","60","29.10.12"
"462121","116","Львівська область","школа №97, хол, 1-й поверх
вул.Миколайчука І., 18, м.Львів, 79059","2512","827","2496","10","1677","8","1685","","0","1677","8","1685","35","1650","7","301","25","7","37","53","23","1142","55","29.10.12"
"462122","116","Львівська область","МАУП, ауд.112, 1-й поверх
вул.Мазепи І., гетьм., 29, м.Львів, 79059","2272","839","2257","13","1423","10","1433","","0","1423","10","1433","49","1384","12","297","13","9","70","62","25","803","93","29.10.12"
"462123","116","Львівська область","школа №30, хол, 1-й поверх
вул.Мазепи І., гетьм., 31, м.Львів, 79059","2512","899","2495","19","1600","13","1613","","0","1600","13","1613","32","1581","6","332","18","6","60","66","20","985","88","29.10.12"
"462124","116","Львівська область","школа №30, хол, 2-й поверх
вул.Мазепи І., гетьм., 31, м.Львів, 79059","2408","901","2367","17","1494","13","1507","","0","1494","13","1507","30","1477","10","382","39","7","30","56","15","878","60","29.10.12"
"462125","116","Львівська область","школа №99, хол, ліве крило, 1-й поверх
вул.Творча, 1, м.Львів, 79037","2496","779","2478","9","1711","6","1717","","0","1710","6","1716","32","1684","13","377","47","14","25","86","26","1057","39","01.11.12"
"462126","116","Львівська область","школа №99, хол, праве крило, 1-й поверх
вул.Творча, 1, м.Львів, 79037","2488","760","2482","7","1724","4","1728","","0","1724","4","1728","42","1686","9","355","41","7","25","56","29","1140","24","30.10.12"
"462127","116","Львівська область","школа №99, спортзал, 2-й поверх
вул.Творча, 1, м.Львів, 79037","2520","839","2496","5","1678","3","1681","","0","1678","3","1681","29","1652","13","345","36","9","30","74","21","1092","32","29.10.12"
"462128","116","Львівська область","Будинок школяра, зала засідань, 1-й поверх
вул.Грінченка Б., 4А, м.Львів, 79037","2464","817","2465","14","1637","10","1647","","0","1637","10","1647","47","1600","7","298","42","5","29","59","32","1070","58","29.10.12"
"462129","116","Львівська область","Народний дім ""Просвіта"", зала, 1-й поверх
вул.Мурована, 32, м.Львів, 79037","2144","704","2124","6","1434","6","1440","","0","1434","6","1440","28","1412","5","239","61","2","2","50","15","1016","22","29.10.12"
"462137","116","Львівська область","школа №38, хол, 1-й поверх
вул.Порічкова, 4, м.Львів, 79069","2424","829","2413","20","1575","20","1595","","0","1575","20","1595","38","1557","5","219","17","7","12","56","93","1113","35","31.10.12"
"462138","116","Львівська область","школа №38, хол, 2-й поверх
вул.Порічкова, 4, м.Львів, 79069","2256","721","2240","7","1528","7","1535","","0","1528","7","1535","26","1509","13","259","15","3","14","72","69","1024","40","29.10.12"
"462139","116","Львівська область","ВПУ №63, спортзал, 1-й поверх
вул.Ожинова, 5, м.Львів, 79069","2200","841","2141","16","1346","13","1359","","0","1346","13","1359","33","1326","5","185","16","12","17","55","31","967","38","29.10.12"
"462140","116","Львівська область","НВК школа-садок №94, їдальня, 1-й поверх
вул.Брюховицька, 99, м.Львів, 79069","2376","692","2344","13","1672","12","1684","","0","1672","12","1684","42","1642","9","150","14","2","5","53","20","1358","31","29.10.12"
"462141","116","Львівська область","ЛКП ""Рясне-402"", зала, 1-й поверх
вул.Шевченка, 350А, м.Львів, 79069","1648","491","1638","7","1150","7","1157","","0","1150","7","1157","32","1125","5","162","10","10","19","45","28","792","54","29.10.12"
"462142","116","Львівська область","школа №92, хол, 1-й поверх
вул.Шевченка Т., 390, м.Львів, 79069","2392","817","2375","7","1571","4","1575","","0","1571","4","1575","31","1544","10","254","13","6","18","83","35","1089","36","31.10.12"
"462143","116","Львівська область","школа №92, їдальня, 1-й поверх
вул.Шевченка Т., 390, м.Львів, 79069","2376","730","2349","17","1635","11","1646","","0","1635","11","1646","54","1592","7","224","13","8","12","71","51","1163","43","30.10.12"
"462144","116","Львівська область","школа №92, хол, 2-й поверх
вул.Шевченка Т., 390, м.Львів, 79069","2376","756","2362","18","1602","18","1620","","0","1602","18","1620","26","1594","6","249","3","11","17","76","54","1137","41","29.10.12"
"462145","116","Львівська область","школа №100, хол, 1-й поверх
вул.Величковського І., 58, м.Львів, 79002","2200","758","2180","6","1438","4","1442","","0","1438","4","1442","28","1414","2","259","14","4","16","69","24","986","40","29.10.12"
"462146","116","Львівська область","школа №100, хол, 1-й поверх
вул.Величковського І., 58, м.Львів, 79002","2208","721","2194","8","1482","5","1487","","0","1482","5","1487","26","1461","13","205","14","5","22","59","19","1091","33","29.10.12"
"462147","116","Львівська область","школа №100, хол, 2-й поверх
вул.Величковського І., 58, м.Львів, 79002","1688","541","1671","9","1140","7","1147","","0","1140","7","1147","17","1130","9","159","9","8","9","62","15","813","46","29.10.12"
"462148","116","Львівська область","Львівський регіональний інститут державного управління НАДУ, хол, 2-й поверх
вул.Сухомлинського, 16, смт Брюховичі, м.Львів, 79491","1584","608","1596","29","951","25","976","","0","951","25","976","27","949","5","149","9","1","7","36","21","700","21","29.10.12"
"462149","116","Львівська область","Львівський регіональний інститут державного управління НАДУ, к.122, 1-й поверх
вул.Сухомлинського, 16, смт Брюховичі, м.Львів, 79491","1856","705","1883","31","1128","23","1151","","0","1127","23","1150","30","1120","13","220","20","7","31","61","21","708","39","01.11.12"
"462150","116","Львівська область","школа №41, корпус початкової школи, спортзал, 1-й поверх
вул.Незалежності України, 27, смт Брюховичі, м.Львів, 79491","1840","671","1836","45","1129","40","1169","","0","1129","40","1169","30","1139","10","199","27","7","24","45","20","766","41","29.10.12"
