"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Барнацький
Павло
Степанович","Возняк
Віктор
Франкович","Гентош
Тарас
Йосифович","Грабовський
Святослав
Мирославович","Гук
Микола
Петрович","Задорожний
Іван
Маркович","Задорожний
Михайло
Леонович","Зубицька
Наталія
Петрівна","Ілик
Роман
Романович","Конц
Віктор
Ярославович","Курус
Ігор
Федорович","Курчик
Тарас
Михайлович","Лагодич
Микола
Миколайович","Одрехівський
Микола
Васильович","Сендак
Михайло
Дмитрович","Соколов
Віктор
Михайлович","Старовойтова
Валентина
Михайлівна","Трощановський
Костянтин
Анатолійович","Тустановський
Микола
Миронович","Янковський
Михайло
Петрович","Дата підписання протоколу"
"000006","121","Львівська область","
вул. Шевченка, 300, смт Східниця, м. Борислав, Львівська обл., 82391","80","50","36","0","30","0","30","","0","30","0","30","1","29","0","0","1","0","0","0","0","1","7","0","1","0","1","0","0","0","1","0","0","17","29.10.12"
"460223","121","Львівська область","народний дім, к.1
вул.І.Франка, 121, с.Бистриця, Дрогобицький р-н, Львівської обл., 82122","328","86","325","21","221","21","242","","0","221","21","242","7","235","4","2","0","0","8","8","25","3","110","1","37","1","23","0","1","0","0","0","0","12","29.10.12"
"460224","121","Львівська область","народний дім, к.1
вул.Залужна, 48, с.Биків, Дрогобицький р-н, Львівської обл., 82122","216","53","216","4","159","4","163","","0","159","4","163","5","158","3","0","1","2","6","3","17","3","71","1","11","3","24","1","0","1","0","1","0","10","29.10.12"
"460225","121","Львівська область","школа, к.1
вул.Шкільна, 7, с.Болехівці, Дрогобицький р-н, Львівська обл., 82170","1272","306","1268","78","890","76","966","","0","890","76","966","17","949","25","25","1","2","11","32","313","7","396","12","44","24","24","9","4","0","1","3","1","15","29.10.12"
"460226","121","Львівська область","народний дім, к.2
вул.Самбірська, 6, с.Брониця, Дрогобицький р-н, Львівська обл., 82120","664","206","670","59","399","59","458","","0","399","59","458","2","456","13","3","3","0","29","5","40","4","278","9","19","8","12","8","5","1","0","0","3","16","29.10.12"
"460227","121","Львівська область","народний дім, к.2
вул.Ювілейна, 75, с.Бистриця (Гірська), Дрогобицький р-н, Львівська обл., 82190","220","81","221","23","117","22","139","","0","117","22","139","5","134","16","0","0","1","0","2","5","1","74","5","9","1","1","0","17","0","0","0","0","2","29.10.12"
"460228","121","Львівська область","школа, к.3
вул.Дрогобицька, 19, с.Волоща, Дрогобицький р-н, Львівська обл., 82130","940","243","934","37","660","37","697","","0","660","37","697","17","680","35","34","0","0","10","39","268","1","215","6","16","1","3","2","7","0","0","1","0","42","29.10.12"
"460229","121","Львівська область","народний дім, к.1
вул.Волянська, 110, с.Воля Якубова, Дрогобицький р-н, Львівська обл., 82134","244","58","246","27","160","26","186","","0","160","26","186","3","183","5","1","0","0","4","5","30","1","107","2","9","0","0","1","2","1","0","0","0","15","29.10.12"
"460230","121","Львівська область","народний дім, к.2
вул.Тараса Шевченка, 23, с.Верхній Дорожів, Дрогобицький р-н, Львівська обл., 82131","1148","356","1150","114","685","107","792","","0","685","107","792","13","779","67","7","3","1","38","7","76","21","428","8","61","13","17","3","5","1","1","3","1","18","29.10.12"
"460231","121","Львівська область","народний дім, к.2
вул.Кармелюка, народний дім, с.Винники, Дрогобицький р-н, Львівська обл., 82125","620","177","606","52","391","52","443","","0","391","52","443","7","436","28","6","0","2","26","11","32","8","219","13","32","8","41","0","4","2","0","0","0","4","29.10.12"
"460232","121","Львівська область","народний дім, к.2
вул.30 річчя Перемоги, народний дім, с.Вороблевичі, Дрогобицький р-н, Львівська обл., 82150","804","240","805","45","519","45","564","","0","519","45","564","13","551","33","7","2","1","13","21","91","10","252","14","47","31","4","6","4","1","2","1","0","11","29.10.12"
"460233","121","Львівська область","школа, к.6
вул.30 річчя Перемоги, школа, с.Вороблевичі, Дрогобицький р-н, Львівська обл., 82150","628","182","618","35","411","35","446","","0","411","35","446","31","415","31","5","0","0","12","12","47","1","217","8","23","28","3","3","5","2","0","0","3","15","29.10.12"
"460234","121","Львівська область","школа, к.3
вул.Грушевського, 44, с.Грушів (Красне), Дрогобицький р-н, Львівська обл., 82132","872","230","877","19","623","19","642","","0","623","19","642","23","619","23","1","2","0","45","18","62","9","321","37","50","9","4","2","7","1","2","0","1","25","29.10.12"
"460235","121","Львівська область","школа, к.2
вул.Миру, 93, с.Грушів (Старе), Дрогобицький р-н, Львівська обл., 82132","712","246","713","34","434","32","466","","0","434","32","466","6","460","23","2","3","4","20","11","54","9","246","25","20","6","11","2","8","1","0","1","1","13","29.10.12"
"460236","121","Львівська область","народний дім, к.2
вул.Стуса, 2, с.Городківка, Дрогобицький р-н, Львівська обл., 82133","120","12","128","12","96","12","108","","0","96","12","108","2","106","0","0","1","1","2","2","15","0","65","2","10","6","0","0","0","0","0","0","0","2","29.10.12"
"460237","121","Львівська область","школа, к.26
вул.Стебницька, 18, с.Доброгостів, Дрогобицький р-н, Львівська обл., 82176","1332","534","1334","23","775","23","798","","0","775","23","798","12","786","12","3","10","1","28","19","121","2","369","58","84","8","54","0","2","0","2","0","4","9","29.10.12"
"460238","121","Львівська область","народний дім, к.2
вул.1 Травня, 11, с.Доброгостів, Дрогобицький р-н, Львівська обл., 82176","1336","528","1330","16","793","15","808","","0","793","15","808","22","786","15","4","4","0","23","26","95","5","385","47","101","15","41","0","5","0","0","1","1","18","29.10.12"
"460239","121","Львівська область","навчально виховний комплекс, к.2
вул.Шкільна, 14, с.Добрівляни, Дрогобицький р-н, Львівська обл., 82134","900","267","883","53","580","53","633","","0","580","53","633","12","621","17","9","8","1","32","10","70","5","352","9","68","6","7","1","3","0","2","1","2","18","29.10.12"
"460240","121","Львівська область","сільська рада, к.3
вул.Молодіжна, 73, с.Дережичі, Дрогобицький р-н, Львівська обл., 82185","1088","334","1080","19","735","19","754","","0","735","19","754","17","737","75","29","9","0","28","15","96","10","327","27","62","9","12","3","13","2","1","0","5","14","29.10.12"
"460241","121","Львівська область","школа, к.1
вул.Шевченка, 1, с.Довге Гірське, Дрогобицький р-н, Львівська обл., 82195","632","259","633","40","333","40","373","","0","333","40","373","10","363","203","1","0","1","0","0","4","1","92","1","11","3","26","1","3","1","0","0","0","15","29.10.12"
"460242","121","Львівська область","школа, к.1
вул.Л.Українки, 165, с.Долішній Лужок, Дрогобицький р-н, Львівська обл., 82121","528","123","522","42","364","41","405","","0","364","41","405","9","396","26","3","6","1","36","8","28","7","192","6","51","4","9","0","4","0","1","1","0","13","29.10.12"
"460243","121","Львівська область","народний дім, к.2
вул.Шкільна, 10, с.Далява, Дрогобицький р-н, Львівська обл., 82166","288","95","297","34","159","34","193","","0","159","34","193","7","186","10","7","1","1","5","5","41","3","78","2","15","1","0","2","2","0","1","0","0","12","29.10.12"
"460244","121","Львівська область","народний дім, к.1
вул.Шевченка, 41А, с.Жданівка, Дрогобицький р-н, Львівська обл., 82190","120","44","121","9","67","9","76","","0","67","9","76","1","75","1","0","1","0","3","0","3","0","10","1","5","1","1","0","41","1","0","2","3","2","29.10.12"
"460245","121","Львівська область","народний дім, к.2
вул.Миру, 122, с.Залокоть, Дрогобицький р-н, Львівська обл., 82192","844","262","840","53","532","50","582","","0","532","50","582","14","568","49","3","1","0","49","8","48","0","290","10","39","28","18","0","20","0","1","0","1","3","29.10.12"
"460246","121","Львівська область","школа, к.3
вул.Верховини, 105, с.Залужани, Дрогобицький р-н, Львівська обл., 82152","620","170","620","36","414","36","450","","0","414","36","450","12","438","56","4","3","0","3","6","51","7","219","18","25","8","17","1","2","0","1","0","1","16","29.10.12"
"460247","121","Львівська область","народний дім, к.2
вул.І.Франка, 135, с.Нагуєвичі, Дрогобицький р-н, Львівська обл., 82126","1752","536","1741","130","1086","130","1216","","0","1086","130","1216","21","1195","108","44","5","2","109","16","129","15","535","33","74","27","14","8","14","1","2","1","1","57","29.10.12"
"460248","121","Львівська область","народний дім, к.1
вул.Зелена, 31, с.Котоване, Дрогобицький р-н, Львівська обл., 82123","76","10","80","7","59","7","66","","0","59","7","66","1","65","4","1","0","1","2","1","4","1","15","2","18","7","0","0","1","0","0","0","0","8","29.10.12"
"460249","121","Львівська область","народний дім, к.2
вул.Кобилянської, 1, с.Літиня, Дрогобицький р-н, Львівська обл., 82133","672","70","675","56","546","56","602","","0","546","56","602","11","591","33","8","2","4","29","7","46","5","391","14","23","8","4","0","1","0","0","2","2","12","29.10.12"
"460250","121","Львівська область","школа, к.3
вул.І.Франка, 2, с.Лішня, Дрогобицький р-н, Львівська обл., 82127","1956","588","1940","39","1329","39","1368","","0","1329","39","1368","12","1356","39","27","5","1","425","12","68","12","539","79","45","9","27","7","32","1","2","1","2","23","29.10.12"
"460251","121","Львівська область","народний дім, к.1
вул.Шевченка, 51А, с.Майдан, Дрогобицький р-н, Львівська обл., 82195","300","120","297","18","162","18","180","","0","162","18","180","9","171","32","2","0","0","3","4","18","2","60","3","14","3","5","1","11","0","0","2","1","10","29.10.12"
"460252","121","Львівська область","народний дім, к.2
вул.Долішня, 1, с.Медвежа, Дрогобицький р-н, Львівська обл., 82129","600","135","595","40","426","39","465","","0","426","39","465","7","458","12","8","1","0","30","11","35","2","282","15","28","5","4","1","0","0","0","0","1","23","29.10.12"
"460253","121","Львівська область","народний дім, к.2
вул.Дрогобицька, 17, с.Михайлевичі, Дрогобицький р-н, Львівська обл., 82153","740","158","736","27","557","25","582","","0","557","25","582","14","568","65","10","1","2","8","8","46","0","292","32","28","7","57","1","0","0","1","0","1","9","29.10.12"
"460254","121","Львівська область","навчально виховний комплекс, к.2
вул.Шкільна, 6, с.Модричі, Дрогобицький р-н, Львівська обл., 82186","996","330","994","27","642","24","666","","0","642","24","666","15","651","51","9","33","0","17","9","60","5","354","8","32","9","34","1","6","1","1","0","4","17","29.10.12"
"460255","121","Львівська область","школа, к.2
вул.Шевченка, 15А, с.Мокряни, Дрогобицький р-н, Львівська обл., 82125","296","72","305","26","198","26","224","","0","198","26","224","6","218","20","3","3","0","7","5","12","2","110","2","13","3","17","0","3","0","0","0","0","18","29.10.12"
"460256","121","Львівська область","школа, к.3
вул.Медвежанська, 53, с.Монастир-Лішнянський, Дрогобицький р-н, Львівська обл., 82127","232","44","241","7","181","7","188","","0","181","7","188","0","188","2","3","3","0","33","1","10","0","118","1","6","0","2","1","1","0","1","0","0","6","29.10.12"
"460257","121","Львівська область","народний дім, к.2
вул.Довбуша, 160, с.Новий Кропивник, Дрогобицький р-н, Львівська обл., 82194","1052","374","1039","73","610","68","678","","0","610","68","678","12","666","256","4","10","2","17","11","33","17","166","9","44","12","25","10","15","1","9","9","3","13","29.10.12"
"460258","121","Львівська область","народний дім, к.1
вул.Шевченка, 110, с.Новошичі, Дрогобицький р-н, Львівська обл., 82122","388","104","391","18","266","18","284","","0","266","18","284","5","279","8","1","0","0","13","2","10","3","147","8","30","1","41","2","5","0","1","0","0","7","29.10.12"
"460259","121","Львівська область","народний дім, к.3
вул.Шевченка, 241А, с.Опака, Дрогобицький р-н, Львівська обл., 82191","1376","586","1370","70","720","70","790","","0","720","70","790","24","766","174","1","5","1","38","3","19","4","349","13","44","6","14","10","62","0","5","1","3","14","29.10.12"
"460260","121","Львівська область","школа, к.1
вул.Зарічна, 4, с.Ортиничі, Дрогобицький р-н, Львівська обл., 82122","120","47","115","9","64","9","73","","0","64","9","73","1","72","3","0","0","0","0","1","1","1","50","0","2","2","0","2","1","0","0","0","0","9","29.10.12"
"460261","121","Львівська область","народний дім, к.2
вул.Грушевського, 22, смт Підбуж, Дрогобицький р-н, Львівська обл., 82180","2400","952","2371","143","1305","143","1448","","0","1305","143","1448","23","1425","71","29","11","1","42","10","61","21","744","143","74","10","22","3","32","1","7","3","8","132","29.10.12"
"460262","121","Львівська область","народний дім, к.2
вул.Садова, 4А, с.Підмонастирок, Дрогобицький р-н, Львівська обл., 82124","156","45","160","19","92","19","111","","0","92","19","111","2","109","5","0","1","0","1","1","15","3","59","3","9","0","2","0","1","0","0","0","1","8","29.10.12"
"460263","121","Львівська область","школа, к.2
вул.Сонячна, 2, с.Попелі, Дрогобицький р-н, Львівська обл., 82184","1928","734","1921","30","1164","30","1194","","0","1164","30","1194","16","1178","377","7","4","2","14","58","11","13","539","52","39","10","16","3","10","0","2","2","3","16","29.10.12"
"460264","121","Львівська область","народний дім, к.2
вул.Шкільна, 14, с.Почаєвичі, Дрогобицький р-н, Львівська обл., 82167","808","247","798","11","550","11","561","","0","550","11","561","11","550","77","11","9","0","25","14","102","1","212","9","36","6","19","1","7","0","0","1","1","19","30.10.12"
"460265","121","Львівська область","народний дім, к.2
вул.Дрогобицька, 46, с.Раневичі, Дрогобицький р-н, Лвівська обл., 82171","1408","485","1404","23","900","23","923","","0","900","23","923","12","911","43","40","22","1","23","33","161","9","463","7","30","19","37","1","5","3","2","0","0","12","29.10.12"
"460266","121","Львівська область","народний дім, к.2
вул.Тимошенка, 3, с.Рибник, Дрогобицький р-н, Львівська обл., 82195","512","207","499","29","276","29","305","","0","276","29","305","6","299","84","3","0","1","5","4","20","6","112","2","21","4","7","0","5","0","1","1","0","23","29.10.12"
"460267","121","Львівська область","школа, к.2
460267 вул.Шкільна, 7, с.Рихтичі, Дрогобицький р-н, Львівська обл., 82151","1676","600","1676","30","1046","30","1076","","0","1046","30","1076","18","1058","162","36","5","1","32","12","96","13","490","14","64","23","71","9","7","0","5","0","1","17","29.10.12"
"460268","121","Львівська область","народний дім, к.2
вул.Українська, 50, с.Рихтичі, Дрогобицький р-н, Львівська обл., 82151","1044","331","1035","31","682","31","713","","0","682","31","713","17","696","129","25","4","0","13","5","53","7","359","5","22","10","41","11","3","1","1","2","0","5","29.10.12"
"460269","121","Львівська область","народний дім, к.2
вул.Шевченка, 48, с.Ролів, Дрогобицький р-н, Львівська обл., 82135","676","184","671","42","450","42","492","","0","450","42","492","41","451","36","9","3","2","26","9","27","9","256","13","16","5","10","1","8","1","1","2","2","15","29.10.12"
"460270","121","Львівська область","народний дім, к.1
вул.Грушевського, 3, с.Селець, Дрогобицький р-н, Львівська обл., 82123","116","30","120","12","74","12","86","","0","74","12","86","0","86","2","0","1","0","5","1","5","7","40","4","12","1","2","0","0","0","0","1","1","4","29.10.12"
"460271","121","Львівська область","народний дім, к.1
вул.Шевченка, 16А, с.Смільна, Дрогобицький р-н, Львівська обл., 82190","316","123","315","39","156","37","193","","0","156","37","193","1","192","17","1","0","1","3","1","13","1","92","4","11","0","4","1","40","0","0","0","0","3","29.10.12"
"460272","121","Львівська область","народний дім, к.2
вул.Зелена, 71/1, с.Снятинка, Дрогобицький р-н, Львівська обл., 82155","764","205","761","33","527","32","559","","0","527","32","559","13","546","17","6","4","0","18","7","39","10","279","30","47","12","53","4","3","1","1","0","0","15","29.10.12"
"460273","121","Львівська область","народний дім, к.2
вул.Меденицька, 25, с.Солонське, Дрогобицький р-н, Львівська обл., 82166","620","177","613","40","405","38","443","","0","405","38","443","11","432","47","16","4","0","11","13","78","14","116","4","34","14","43","1","6","2","1","0","3","25","29.10.12"
"460274","121","Львівська область","сільська рада, к.2
вул.Грушевського, сільська рада, с.Станиля, Дрогобицький р-н, Львівська обл., 82172","920","193","923","45","684","43","727","","0","684","43","727","23","704","18","22","6","4","29","4","34","14","442","48","48","11","5","3","3","0","0","2","2","9","29.10.12"
"460275","121","Львівська область","школа, к.1
вул.Першотравнева, 47, с.Старий Кропивник, Дрогобицький р-н, Львівська обл., 82193","708","289","700","52","369","50","419","","0","369","50","419","11","408","28","5","6","1","9","14","67","3","141","13","52","8","21","0","19","3","0","2","3","13","29.10.12"
"460276","121","Львівська область","народний дім, к.2
вул.Шевченка, 21, с.Старе Село, Дрогобицький р-н, Львівська обл., 82154","548","130","542","14","404","14","418","","0","404","14","418","12","406","22","11","6","2","23","15","34","7","184","22","35","13","12","4","3","0","0","0","0","13","29.10.12"
"460277","121","Львівська область","народний дім, к.2
вул.Л.Українки, 174, с.Сторона, Дрогобицький р-н, Львівська обл., 82180","1392","556","1391","14","822","14","836","","0","822","14","836","12","824","57","9","12","1","25","12","33","6","458","41","82","9","17","3","15","2","3","2","1","36","29.10.12"
"460278","121","Львівська область","народний дім, к.1
вул.Перемоги, 11, с.Ступниця, Дрогобицький р-н, Львівська обл., 82123","372","128","368","40","204","40","244","","0","204","40","244","6","238","11","5","5","0","8","5","9","1","106","20","49","2","5","0","4","1","0","0","0","7","29.10.12"
"460279","121","Львівська область","школа, к.1
вул.Л.Українки, 46, с.Тинів, Дрогобицький р-н, Львівська обл., 82132","360","99","368","30","231","30","261","","0","231","30","261","7","254","2","1","0","0","1","14","151","2","55","3","9","1","2","0","3","0","1","0","0","9","29.10.12"
"460280","121","Львівська область","сільська рада, к.2
вул.Центральна, 76, с.Уличне, Дрогобицький р-н, Львівська обл., 82177","1312","488","1301","37","789","35","824","","0","789","35","824","15","809","35","12","5","0","56","6","37","15","417","12","173","13","3","1","10","1","0","3","3","7","29.10.12"
"460281","121","Львівська область","школа, к.2
вул.Шкільна, школа, с.Уличне, Дрогобицький р-н, Львівська обл., 82177","1520","565","1521","40","916","39","955","","0","916","39","955","31","924","31","18","10","0","54","9","32","9","479","30","200","15","4","2","14","0","4","0","3","10","29.10.12"
"460282","121","Львівська область","школа, к.3
вул.І.Франка, 50, с.Унятичі, Дрогобицький р-н, Львівська обл., 82128","928","252","921","3","673","3","676","","0","673","3","676","12","664","28","10","5","1","68","6","40","5","306","12","26","5","139","0","0","0","0","0","1","12","30.10.12"
"460283","121","Львівська область","народний дім, к.2
вул.Л.Українки, 88А, с.Уріж, Дрогобицький р-н, Львівська обл., 82124","872","197","864","65","610","65","675","","0","610","65","675","8","667","97","3","2","0","28","16","71","7","326","30","40","8","15","6","4","1","0","0","0","13","29.10.12"
"460284","121","Львівська область","школа, к.2
вул.Шевченка, 12А, с.Ясениця Сільна, Дрогобицький р-н, Львівська обл., 82183","1072","265","1070","68","739","68","807","","0","739","68","807","15","792","58","2","1","1","23","6","21","4","485","65","56","9","45","1","5","0","1","0","7","2","29.10.12"
"460285","121","Львівська область","бібліотека, к.2
вул.Дрогобицька, 55, с.Нове Село, Дрогобицький р-н, Львівська обл., 82170","676","166","678","28","482","28","510","","0","482","28","510","7","503","24","22","3","1","10","15","134","6","211","7","38","7","5","11","0","0","0","0","1","8","29.10.12"
"460286","121","Львівська область","школа, к.2
вул.В.Николяка, школа, с.Бійничі, Дрогобицький р-н, Львівська обл., 82168","208","49","207","13","146","13","159","","0","146","13","159","3","156","10","1","1","0","5","0","25","1","77","4","15","2","0","0","3","1","0","0","0","11","29.10.12"
"460287","121","Львівська область","народний дім, к.2
вул.Залізнична, 2, с.Верхні Гаї, Дрогобицький р-н, Львівська обл., 82169","728","187","726","53","488","53","541","","0","488","53","541","14","527","6","23","3","0","10","15","156","3","221","18","26","9","18","2","4","0","1","0","0","12","29.10.12"
