"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Абаімов
Василь
Петрович","Вавриньчук
Алла
Дмитрівна","Дідусь
Роман
Іванович","Заболотній
Анатолій
Григорович","Кравченко
Ярослав
Валентинович","Криштопа
Микола
Григорович","Курпіль
Степан
Володимирович","Лешик
Володимир
Іванович","Осміловський
Денис
Васильович","Дата підписання протоколу"
"461310","124","Львівська область","лікарня, к.2
вул.Шашкевича, 100, м.Сокаль, Сокальський р-н, Львівська обл., 80000","16","5","11","0","11","0","11","","0","11","0","11","0","11","0","1","0","5","0","0","5","0","0","28.10.12"
"461311","124","Львівська область","лікарня, к.2
вул.Ярослава Мудрого, 26, м.Сокаль, Сокальський р-н, Львівська обл., 80000","240","203","37","28","9","28","37","","0","9","28","37","0","37","1","0","0","0","0","4","32","0","0","29.10.12"
"461312","124","Львівська область","лікарня, к.2
вул.Підкови, 4, м.Сокаль, Сокальський р-н, Львівська обл., 80000","40","17","23","0","23","0","23","","0","23","0","23","0","23","0","1","0","0","0","11","10","0","1","29.10.12"
"461313","124","Львівська область","лікарня, к.2
вул.Равська, 19, м.Угнів, Сокальський р-н, Львівська обл., 80064","48","25","29","0","23","0","23","","0","23","0","23","0","23","0","0","0","0","0","1","17","1","4","29.10.12"
"461314","124","Львівська область","лікарня, к.2
вул.8 Березня, 11, м.Белз, Сокальський р-н, Львівська обл., 80063","40","12","28","4","24","4","28","","0","24","4","28","1","27","0","0","2","3","0","2","19","0","1","28.10.12"
"461315","124","Львівська область","лікарня, к.2
вул.Сагайдачного, 39, м.Великі Мости, Сокальський р-н, Львівська обл., 80074","56","25","33","2","30","1","31","","0","30","1","31","0","31","0","1","2","1","2","5","19","1","0","28.10.12"
"461316","124","Львівська область","медична частина, 2-й поверх
вул.Вокзальна, 42, смт Жвирка, Сокальський р-н, Львівська обл., 80040","368","29","339","0","339","0","339","","0","339","0","339","28","311","7","10","16","185","10","11","53","11","8","28.10.12"
"461816","124","Львівська область","школа №8, коридор
вул.Шептицького, 15, м.Червоноград, Львівська обл., 80100","2352","829","2317","16","1515","8","1523","","0","1515","8","1523","27","1496","2","22","94","34","6","453","835","14","36","29.10.12"
"461817","124","Львівська область","школа №9, їдальня
вул.Шептицького, 17, м.Червоноград, Львівська обл., 80100","2008","666","2000","29","1319","23","1342","","0","1319","23","1342","23","1319","5","13","76","36","9","340","804","11","25","30.10.12"
"461818","124","Львівська область","школа №9, вестибюль
вул.Шептицького, 17, м.Червоноград, Львівська обл., 80100","1920","649","1905","33","1246","25","1271","","0","1246","25","1271","34","1237","2","12","99","43","5","307","739","7","23","29.10.12"
"461819","124","Львівська область","міська бібліотека для дітей, читальний зал
вул.Шептицького, 1, м.Червоноград, Львівська обл., 80100","2360","824","2330","29","1515","21","1536","","0","1515","21","1536","28","1508","5","20","114","29","11","400","878","8","43","29.10.12"
"461820","124","Львівська область","школа-колегіум №3, їдальня
вул.Корольова, 11, м.Червоноград, Львівська обл., 80100","2480","856","2452","13","1613","11","1624","","0","1613","11","1624","27","1597","6","17","93","29","10","478","917","11","36","29.10.12"
"461821","124","Львівська область","школа-колегіум №3, вестибюль
вул.Корольова, 11, м.Червоноград, Львівська обл., 80100","2504","863","2483","20","1626","15","1641","","0","1626","15","1641","33","1608","9","9","111","21","10","477","932","10","29","29.10.12"
"461822","124","Львівська область","ВПУ №11, вестибюль
вул.Стуса, 3, м.Червоноград, Львівська обл., 80100","2248","754","2228","29","1471","23","1494","","0","1465","23","1488","16","1472","3","34","85","37","10","385","884","6","28","29.10.12"
"461823","124","Львівська область","гірничо-будівельний ліцей, вестибюль
вул.Стуса, 15, м.Червоноград, Львівська обл., 80100","2200","804","2182","33","1368","28","1396","","0","1368","28","1396","32","1364","2","18","121","44","9","358","763","6","43","29.10.12"
"461824","124","Львівська область","гірничо-економічний коледж, фойє
вул.Стуса, 17, м.Червоноград, Львівська обл., 80100","2352","795","2328","35","1529","28","1557","","0","1529","28","1557","29","1528","4","25","107","40","16","443","837","9","47","29.10.12"
"461825","124","Львівська область","центральна міська бібліотека, читальний зал
вул.Бандери, 11, м.Червоноград, Львівська обл., 80100","2384","793","2351","19","1575","16","1591","","0","1575","16","1591","35","1556","3","30","115","26","11","406","924","7","34","29.10.12"
"461826","124","Львівська область","школа №12, вестибюль
вул.Бандери, 17, м.Червоноград, Львівська обл., 80100","2392","854","2363","38","1511","27","1538","","0","1511","27","1538","31","1507","5","19","115","41","13","368","905","8","33","29.10.12"
"461827","124","Львівська область","гімназія, вестибюль
вул.Бандери, 17А, м.Червоноград, Львівська обл., 80100","2392","826","2347","25","1549","17","1566","","0","1549","17","1566","34","1532","4","19","102","41","11","409","902","2","42","28.10.12"
"461828","124","Львівська область","навчально-виховний комплекс №10, вестибюль
вул.Шухевича, 1, м.Червоноград, Львівська обл., 80100","2200","772","2185","51","1398","30","1428","","0","1398","30","1428","47","1381","3","30","120","40","9","334","799","9","37","29.10.12"
"461829","124","Львівська область","Народний дім, фойє
просп.Шевченка, 15, м.Червоноград, Львівська обл., 80100","2328","889","2300","53","1400","39","1439","","0","1400","39","1439","35","1404","1","32","111","47","6","341","825","5","36","29.10.12"
"461830","124","Львівська область","школа №5, їдальня
вул.Грінченка, 9, м.Червоноград, Львівська обл., 80100","2384","908","2366","23","1460","16","1476","","0","1460","16","1476","37","1439","7","22","90","43","12","386","837","7","35","29.10.12"
"461831","124","Львівська область","школа №5, вестибюль
вул.Грінченка, 9, м.Червоноград, Львівська обл., 80100","2280","800","2248","30","1456","24","1480","","0","1456","24","1480","37","1443","5","40","113","37","13","395","780","12","48","29.10.12"
"461832","124","Львівська область","школа-інтернат, хол
вул.Івасюка, 4, м.Червоноград, Львівська обл., 80100","2424","839","2388","38","1560","25","1585","","0","1560","25","1585","29","1556","6","27","117","46","9","408","894","10","39","29.10.12"
"461833","124","Львівська область","дитяча школа мистецтв, актовий зал
вул.Грушевського, 11, м.Червоноград, Львівська обл., 80100","2248","887","2216","38","1334","27","1361","","0","1334","27","1361","45","1316","3","25","128","56","9","355","683","13","44","29.10.12"
"461834","124","Львівська область","школа №2, їдальня
вул.Клюсівська, 3, м.Червоноград, Львівська обл., 80100","2048","737","1973","27","1287","24","1311","","0","1287","24","1311","31","1280","14","62","116","58","25","282","648","19","56","29.10.12"
"461835","124","Львівська область","школа №1, їдальня
вул.Клюсівська, 19, м.Червоноград, Львівська обл., 80100","2400","800","2377","34","1577","23","1600","","0","1577","23","1600","38","1562","8","16","123","31","7","406","911","5","55","29.10.12"
"461836","124","Львівська область","Палац спорту, вестибюль
вул.Перемоги, 2, м.Червоноград, Львівська обл., 80100","1704","602","1688","31","1079","23","1102","","0","1079","23","1102","21","1081","5","28","77","45","11","332","563","2","18","29.10.12"
"461837","124","Львівська область","Львівсько-Волинський ВГРЗ, спортзал
вул.Львівська, 15, м.Червоноград, Львівська обл., 80100","2488","841","2476","58","1609","38","1647","","0","1609","38","1647","29","1618","4","20","130","23","14","454","912","10","51","29.10.12"
"461838","124","Львівська область","школа №4, вестибюль
вул.Пушкіна, 4, м.Червоноград, Львівська обл., 80100","2448","773","2425","95","1596","79","1675","","0","1596","79","1675","29","1646","5","16","119","25","7","415","1019","6","34","29.10.12"
"461839","124","Львівська область","Народний дім, танцювальний зал
вул.Січових Сртільців, 10, смт Гірник, м.Червоноград, Львівська обл., 80191","2224","618","2222","38","1576","30","1606","","0","1576","30","1606","22","1584","2","10","44","21","9","708","773","3","14","30.10.12"
"461840","124","Львівська область","Народний дім, вестибюль
вул.Галицька, 7А, м.Соснівка, м.Червоноград, Львівська обл., 80193","2416","910","2393","37","1471","35","1506","","0","1471","35","1506","26","1480","8","16","69","29","11","578","728","13","28","29.10.12"
"461841","124","Львівська область","навчально-виховний комплекс №13, вестибюль
вул.Театральна, 14А, м.Соснівка, м.Червоноград, Львівська обл., 80193","2304","843","2275","20","1441","20","1461","","0","1441","20","1461","33","1428","7","18","66","25","11","499","760","13","29","29.10.12"
"461842","124","Львівська область","школа №14, коридор
вул.Галицька, 3, м.Соснівка, м.Червоноград, Львівська обл., 80193","1864","711","1850","17","1136","17","1153","","0","1136","17","1153","31","1122","3","22","41","13","9","441","558","10","25","29.10.12"
"461843","124","Львівська область","школа №7, їдальня
вул.Шептицького, 2, м.Соснівка, м.Червоноград, Львівська обл., 80193","2152","811","2111","51","1296","45","1341","","0","1296","45","1341","41","1300","2","14","50","23","9","422","753","8","19","29.10.12"
"461844","124","Львівська область","психоневрологічне відділення МЛ, поліклініка
вул.Клюсівська, 8А, м.Червоноград, Львівська обл., 80100","40","19","21","0","21","0","21","","0","21","0","21","0","21","0","0","1","8","0","5","6","0","1","29.10.12"
"461845","124","Львівська область","центральна міська лікарня, актовий зал
вул.Івасюка, 2, м.Червоноград, Львівська обл., 80100","256","187","96","46","36","33","69","","0","36","33","69","2","67","0","1","6","6","1","16","35","1","1","29.10.12"
"461846","124","Львівська область","шкірно-венерологічне відділення МЛ, кімната процедур
вул.Шевська, 36, м.Червоноград, Львівська обл., 80100","16","0","21","0","16","0","16","","0","16","0","16","0","16","1","0","0","7","0","2","6","0","0","29.10.12"
"461847","124","Львівська область","Соснівська міська лікарня, кабінет сімейного лікаря
вул.Грушевського, 36, м.Соснівка, м.Червоноград, Львівська обл., 80193","72","47","25","7","18","7","25","","0","18","7","25","0","25","1","0","2","1","0","10","11","0","0","28.10.12"
