"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Гурський
Володимир
Сергійович","Загородний
Василь
Іванович","Канівець
Олег
Леонідович","Канівець
Сергій
Миколайович","Кіт
Андрій
Богданович","Михайлишин
Петро
Степанович","Муряш
Андрій
Богданович","Осташ
Ігор
Іванович","Рябошапко
Василь
Іванович","Семенюк
Анна
Богданівна","Сидоренко
Олександр
Нестерович","Тенюх
Ігор
Йосифович","Дата підписання протоколу"
"461492","126","Львівська область","будинок культури, актовий зал, к.2
вул.І.Франка, 67, с.Семигинів, Стрийський р-н, Львівська обл., 82471","846","193","840","40","614","39","653","","0","614","39","653","12","641","0","11","140","28","166","0","0","11","0","2","0","283","29.10.12"
"461493","126","Львівська область","будинок культури, актовий зал, к.2
вул.І.Франка, 106, с.Сихів, Стрийський р-н, Львівська обл., 82447","606","186","600","51","374","46","420","","0","374","46","420","17","403","1","19","171","29","98","0","0","12","2","1","1","69","29.10.12"
"461494","126","Львівська область","будинок культури, актовий зал, к.2
вул.І.Франка, 4, с.Довге, Стрийський р-н, Львівська обл., 82466","942","262","933","31","650","30","680","","0","650","30","680","11","669","0","10","317","39","70","1","0","6","1","2","1","222","29.10.12"
"461495","126","Львівська область","будинок культури, актовий зал, к.2
вул.В.Великого, 2, с.Станків, Стрийський р-н, Львівська обл., 82464","762","201","725","30","533","28","561","","0","533","28","561","10","551","0","5","279","24","123","0","0","12","1","2","0","105","28.10.12"
"461496","126","Львівська область","будинок культури, актовий зал, к.2
вул.І.Франка, 2, с.Фалиш, Стрийський р-н, Львівська обл., 82467","546","176","530","10","360","10","370","","0","360","10","370","4","366","1","6","222","20","48","0","0","12","0","1","0","56","01.11.12"
"461497","126","Львівська область","будинок культури, актовий зал, к.2
вул.І.Франка, 70, с.Верхня Стинава, Стрийський р-н, Львівська обл., 82454","750","257","741","61","434","59","493","","0","434","59","493","6","487","2","2","235","27","113","1","0","25","5","2","1","74","29.10.12"
"461498","126","Львівська область","будинок культури, актовий зал, к.2
вул.Миру, 65, с.Стриганці, Стрийський р-н, Львівська обл., 82429","414","82","412","18","314","18","332","","0","314","18","332","7","325","0","3","167","24","38","0","0","3","0","0","0","90","29.10.12"
"461499","126","Львівська область","будинок культури, актовий зал, к.2
вул.Січових Стрільців, 26, с.Бережниця, Стрийський р-н, Львівська обл., 82461","468","107","467","16","345","16","361","","0","345","16","361","20","341","0","8","150","16","68","0","0","18","0","2","1","78","29.10.12"
"461500","126","Львівська область","будинок культури, актовий зал, к.2
вул.Шевченка, 1, с.Лотатники, Стрийський р-н, Львівська обл., 82460","264","69","261","12","183","12","195","","0","183","12","195","0","195","0","2","36","8","112","0","0","9","0","0","0","28","29.10.12"
"461501","126","Львівська область","будинок культури, актовий зал, к.2
вул.І.Франка, 75, с.Стрілків, Стрийський р-н, Львівська обл., 82460","995","141","987","29","827","27","854","","0","827","27","854","8","846","1","12","431","44","130","2","0","13","0","3","3","207","29.10.12"
"461502","126","Львівська область","будинок культури, актовий зал, к.2
вул.Івана Франка, 35, с.Угерсько, Стрийський р-н, Львівська обл., 82424","1338","282","1328","46","1012","44","1056","","0","1012","44","1056","12","1044","0","2","482","48","202","2","0","40","0","2","2","264","29.10.12"
"461503","126","Львівська область","будинок культури, актовий зал, к.2
вул.Колесси, 5, с.Піщани, Стрийський р-н, Львівська обл., 82428","372","64","369","14","294","14","308","","0","294","14","308","1","307","0","9","194","9","29","0","1","6","0","1","0","58","29.10.12"
"461504","126","Львівська область","сільська рада, зал засідань, к.2
вул.Миру, 5, с.Ходовичі, Стрийський р-н, Львівська обл., 82428","726","183","721","18","525","18","543","","0","525","18","543","11","532","2","20","292","19","102","1","2","8","0","2","0","84","29.10.12"
"461744","126","Львівська область","школа-ліцей, актова зала, 1-й поверх
вул.Лесі Українки, 36, м.Моршин, Львівська обл., 82482","1890","767","1864","18","1106","17","1123","","0","1106","17","1123","15","1108","5","22","316","31","206","5","2","46","5","11","14","445","29.10.12"
"461745","126","Львівська область","Палац культури, мала зала, 1-й поверх
вул.І.Франка, 52, м.Моршин, Львівська обл., 82482","1962","713","1938","25","1231","18","1249","","0","1231","18","1249","21","1228","12","44","421","45","217","3","1","39","1","25","20","400","29.10.12"
"461779","126","Львівська область","Стрийський коледж Львівського національного аграрного університету, корпус №3, к.5
вул.Галицька, 9, м.Стрий, Львівська обл., 82400","2094","852","2082","20","1222","20","1242","","0","1222","20","1242","16","1226","1","14","475","48","172","6","0","64","1","8","9","428","29.10.12"
"461780","126","Львівська область","вище професійне училище №35, актова зала
вул.Львівська, 141, м.Стрий, Львівська обл., 82400","2382","955","2372","12","1418","9","1427","","0","1418","9","1427","12","1415","5","16","594","54","157","6","1","75","3","8","14","482","29.10.12"
"461781","126","Львівська область","філія Інституту підприємництва та перспективних технологій НУ ""Львівська політехніка"", ауд.207
вул.Січових Стрільців, 12В, м.Стрий, Львівська обл., 82400","1878","705","1869","15","1162","11","1173","","0","1162","11","1173","19","1154","3","16","443","45","195","5","1","57","1","6","24","358","30.10.12"
"461782","126","Львівська область","філія Центру творчості дітей та юнацтва, актова зала
вул.Сковороди, 6В, м.Стрий, Львівська обл., 82400","2370","818","2351","8","1548","4","1552","","0","1548","4","1552","20","1532","0","14","563","47","239","5","1","82","0","15","15","551","29.10.12"
"461783","126","Львівська область","школа №3, актова зала
вул.50-річчя УПА, 2, м.Стрий, Львівська обл., 82400","2070","806","2036","26","1244","20","1264","","0","1244","20","1264","22","1242","6","28","499","52","168","4","0","76","2","12","32","363","29.10.12"
"461784","126","Львівська область","школа №10, фойє
вул.Красівського, 31, м.Стрий, Львівська обл., 82400","2100","862","2087","17","1223","15","1238","","0","1223","15","1238","25","1213","1","19","416","53","190","3","1","62","2","9","21","436","29.10.12"
"461785","126","Львівська область","Будинок учнівської творчості, танцювальна зала
вул.Красівського, 28, м.Стрий, Львівська обл., 82400","1374","523","1382","29","822","29","851","","0","822","29","851","21","830","1","12","333","30","89","5","0","58","1","6","23","272","29.10.12"
"461786","126","Львівська область","Стрийська дорожно-експлуатаційна дільниця, к.1
вул.Добрівлянська, 41, м.Стрий, Львівська обл., 82400","1674","578","1656","15","1082","14","1096","","0","1082","14","1096","14","1082","1","11","386","40","155","1","1","47","2","10","7","421","29.10.12"
"461787","126","Львівська область","школа №11, к.20-21
вул.Січових Стрільців, 12Б, м.Стрий, Львівська обл., 82400","1308","506","1302","18","790","12","802","","0","790","12","802","13","789","3","18","294","29","125","7","1","41","3","4","18","246","29.10.12"
"461788","126","Львівська область","хорова школа ""Щедрик"", актова зала
вул.Хмельницького, 27, м.Стрий, Львівська обл., 82400","2184","764","2223","9","1413","7","1420","","0","1413","7","1420","21","1399","5","24","572","56","240","2","1","63","0","8","22","406","29.10.12"
"461789","126","Львівська область","школа №1, приміщення початкових класів, к.1
вул.Мазепи, 7, м.Стрий, Львівська обл., 82400","1404","552","1404","31","826","26","852","","0","826","26","852","16","836","4","20","254","27","128","4","1","52","1","12","39","294","29.10.12"
"461790","126","Львівська область","школа №2, спортивна зала, 2-й поверх
вул.Шевченка, 70, м.Стрий, Львівська обл., 82400","1800","661","1776","31","1112","27","1139","","0","1112","27","1139","17","1122","3","23","412","35","170","3","0","49","2","10","38","377","29.10.12"
"461791","126","Львівська область","міжшкільний навчально-виробничий комбінат, клас безпеки дорожнього руху
вул.Бандери, 51, м.Стрий, Львівська обл., 82400","1884","749","1849","20","1119","16","1135","","0","1119","16","1135","25","1110","6","27","374","37","181","1","0","54","3","9","28","390","29.10.12"
"461792","126","Львівська область","будинок працівників освіти м.Стрия, актова зала
вул.Бобикевича, 5, м.Стрий, Львівська обл., 82400","1866","682","1851","25","1163","21","1184","","0","1163","21","1184","25","1159","4","36","394","37","164","4","0","65","3","15","63","374","29.10.12"
"461793","126","Львівська область","школа №7, спортивна зала
вул.Колесси, 12, м.Стрий, Львівська обл., 82400","1680","709","1670","24","949","22","971","","0","949","22","971","20","951","1","33","342","42","134","5","0","57","1","11","35","290","29.10.12"
"461794","126","Львівська область","дитяча музична школа ім.О.Нижанківського, актова зала
вул.Валова, 11, м.Стрий, Львівська обл., 82400","1734","685","1738","32","1017","32","1049","","0","1017","32","1049","26","1023","3","41","369","41","165","1","1","46","3","10","26","317","29.10.12"
"461795","126","Львівська область","міський Будинок культури, глядацька зала
вул.Крушельницької, 18, м.Стрий, Львівська обл., 82400","2208","860","2168","32","1319","29","1348","","0","1319","29","1348","21","1327","3","34","528","55","175","3","3","69","1","11","53","392","29.10.12"
"461796","126","Львівська область","школа №8, фойє
вул.Вузька, 9, м.Стрий, Львівська обл., 82400","1476","584","1469","20","875","17","892","","0","875","17","892","16","876","1","22","319","29","164","1","0","38","2","8","44","248","29.10.12"
"461797","126","Львівська область","Стрийське управління підземного зберігання газу УМГ ""Львівтрансгаз"", актова зала, 2-й поверх
вул.Сколівська, 3, м.Стрий, Львівська обл., 82400","1788","720","1755","16","1054","14","1068","","0","1054","14","1068","26","1042","7","68","354","37","178","6","0","49","3","14","37","289","29.10.12"
"461798","126","Львівська область","ЖЕК №4, актова зала
вул.Харкова, 6, м.Стрий, Львівська обл., 82400","1482","611","1457","18","859","12","871","","0","859","12","871","18","853","8","60","262","30","184","1","2","38","4","7","79","178","29.10.12"
"461799","126","Львівська область","школа №9, спортивна зала
вул.Грабовецька, 23, м.Стрий, Львівська обл., 82400","1482","697","1468","8","777","8","785","","0","777","8","785","23","762","4","40","324","30","113","3","1","29","6","5","32","175","29.10.12"
"461800","126","Львівська область","Будинок просвіти Храму Всіх Святих Українського Народу, їдальня
вул.Виговського, 8, м.Стрий, Львівська обл., 82400","1506","726","1489","9","773","7","780","","0","773","7","780","20","760","3","21","321","26","132","3","0","27","1","8","24","194","29.10.12"
"461801","126","Львівська область","філія Стрийського ""Райавтодору"", актова зала, 2-й поверх
вул.Дрогобицька, 68, м.Стрий, Львівська обл., 82400","1146","427","1152","29","694","25","719","","0","694","25","719","18","701","0","12","266","33","91","0","0","24","0","5","6","264","28.10.12"
"461802","126","Львівська область","ЕЧ-8, актова зала, 2-й поверх
вул.Петлюри, 3, м.Стрий, Львівська обл., 82400","1272","389","1265","31","855","28","883","","0","855","28","883","20","863","1","5","203","22","84","2","0","22","1","6","3","514","29.10.12"
"461803","126","Львівська область","Державне підприємство ""Стрийський вагоноремонтний завод"", адмінкорпус, актова зала
вул.Зубенка, 2, м.Стрий, Львівська обл., 82400","1956","605","1956","26","1328","23","1351","","0","1328","23","1351","24","1327","2","20","342","30","124","3","1","70","1","15","30","689","29.10.12"
"461804","126","Львівська область","Стрийська центральна районна лікарня, зал засідань
вул.О.Басараб, 15, м.Стрий, Львівська обл., 82400","156","108","77","20","37","11","48","","0","37","11","48","0","48","0","1","21","1","7","0","0","0","0","2","2","14","29.10.12"
"461805","126","Львівська область","Стрийський пологовий будинок, 4-й поверх, фойє
вул.Шашкевича, 17, м.Стрий, Львівська обл., 82400","55","29","27","0","26","0","26","","0","26","0","26","0","26","0","0","11","1","6","0","0","2","0","0","2","4","29.10.12"
"461806","126","Львівська область","дорожна лікарня № 2 станції ""Стрий"", фітобар
вул.Петлюри, 72, м.Стрий, Львівська обл., 82400","53","33","23","2","18","2","20","","0","18","2","20","1","19","0","1","4","1","7","0","0","0","0","0","2","4","29.10.12"
"461807","126","Львівська область","Стрийська центральна міська лікарня, кабінет рентгенолога
вул.Дрогобицька, 50, м.Стрий, Львівська обл., 82400","102","60","54","10","32","10","42","","0","32","10","42","0","42","0","1","10","2","6","1","0","2","0","2","2","16","29.10.12"
