"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Антілогов
Віктор
Миколайович","Банников
Олександр
Геннадійович","Букін
Денис
Олександрович","Вербов
Андрій
Олександрович","Гончаренко
Андрій
Андрійович","Жадов
Юрій
Дмитрович","Кулак
Костянтин
Васильович","Купчишина
Діна
Леонідівна","Льовочкіна
Юлія
Володимирівна","Меньщиков
Сергій
Олександрович","Мокренюк
Сергій
Миколайович","Погребняк
Ігор
Анатолійович","Самадінов
Алмір
Шевкетович","Татарінов
Юрій
Анатолійович","Ткачук
Сергій
Васильович","Харін
Олександр
Васильович","Чорний
Петро
Володимирович","Шувайников
Сергій
Іванович","Дата підписання протоколу"
"010984","6","Автономна Республіка Крим","Феодосійський високовольтний РЕМ, їдальня
шосе Керченське, 16, м.Феодосія, Автономна Республіка Крим, 98100","2160","1209","2143","31","922","29","951","","0","922","29","951","49","902","16","7","10","21","10","142","59","0","493","8","12","4","4","13","2","1","47","53","29.10.12"
"010985","6","Автономна Республіка Крим","школа-гімназія №17, вестибюль
вул.Гарнаєва, 70, м.Феодосія, Автономна Республіка Крим, 98100","2404","1223","2379","63","1134","47","1181","","0","1132","47","1179","58","1121","21","6","18","21","14","189","57","8","616","10","8","10","0","18","4","14","45","62","29.10.12"
"010986","6","Автономна Республіка Крим","школа №9, вестибюль
вул.Первушина, 24, м.Феодосія, Автономна Республіка Крим, 98100","2208","1109","2198","48","1051","48","1099","","0","1051","48","1099","31","1068","16","10","12","14","8","143","49","9","653","3","12","4","0","6","5","10","44","70","29.10.12"
"010987","6","Автономна Республіка Крим","бібліотека №4, читальна зала
вул.Кримська, 15, м.Феодосія, Автономна Республіка Крим, 98100","1772","870","1759","26","887","15","902","","0","887","15","902","36","866","19","6","8","24","16","118","37","8","508","4","11","6","1","8","3","4","25","60","29.10.12"
"010988","6","Автономна Республіка Крим","школа №12, вестибюль, 1-й поверх
вул.Дружби, 44, м.Феодосія, Автономна Республіка Крим, 98100","2224","1117","2214","27","1082","25","1107","","0","1082","25","1107","52","1055","29","12","10","17","7","182","53","16","561","3","23","5","2","16","2","9","41","67","29.10.12"
"010989","6","Автономна Республіка Крим","школа №12, танцювальний зал
вул.Дружби, 44, м.Феодосія, Автономна Республіка Крим, 98100","1536","832","1525","33","673","31","704","","0","673","31","704","27","677","11","9","11","6","10","109","31","9","358","2","7","6","8","8","2","5","19","66","29.10.12"
"010990","6","Автономна Республіка Крим","школа №11, хол, 1-й поверх
вул.Гагаріна, 11, смт Приморський, м.Феодосія, Автономна Республіка Крим, 98177","2052","1022","2044","31","1010","20","1030","","0","1010","20","1030","45","985","6","12","6","11","9","96","34","3","687","2","5","4","3","13","1","4","32","57","29.10.12"
"010991","6","Автономна Республіка Крим","школа №11, хол, 2-й поверх
вул.Гагаріна, 11, смт Приморський, м.Феодосія, Автономна Республіка Крим, 98177","2440","1397","2375","40","1014","29","1043","","0","1014","29","1043","41","1002","20","10","16","11","15","122","56","4","567","6","18","6","6","18","6","6","46","69","29.10.12"
"010992","6","Автономна Республіка Крим","будинок культури, хол, 2-й поверх, ліворуч
вул.Радянська, 6, смт Приморський, м.Феодосія, Автономна Республіка Крим, 98176","2080","1033","2065","41","1006","41","1047","","0","1006","41","1047","42","1005","22","8","7","6","6","104","26","4","687","4","11","7","0","16","4","6","20","67","29.10.12"
"010993","6","Автономна Республіка Крим","будинок культури, хол, 2-й поверх, праворуч
вул.Радянська, 6, смт Приморський, м.Феодосія, Автономна Республіка Крим, 98176","2040","1010","2020","54","986","44","1030","","0","986","44","1030","37","993","8","7","11","6","13","115","34","5","680","2","4","3","1","10","4","7","23","60","05.11.12"
"010994","6","Автономна Республіка Крим","школа №7, хол, 1-й поверх
вул.Керченська, 10, смт Приморський, м.Феодосія, Автономна Республіка Крим, 98176","1900","992","1893","92","837","71","908","","0","837","71","908","43","865","9","9","11","8","6","98","38","5","544","4","10","4","22","14","2","5","39","37","29.10.12"
"010995","6","Автономна Республіка Крим","будинок культури, хол
вул.Приморська, 11Б, с.Берегове, м.Феодосія, Автономна Республіка Крим, 98179","1444","680","1435","50","718","46","764","","0","718","46","764","20","744","8","3","10","10","8","94","52","2","434","6","5","4","6","8","1","5","46","42","29.10.12"
"010996","6","Автономна Республіка Крим","будинок культури, блакитний зал
вул.Леніна, 8, смт Орджонікідзе, м.Феодосія, Автономна Республіка Крим, 98184","2256","1043","2236","57","1163","50","1213","","0","1163","50","1213","42","1171","16","19","9","12","12","135","43","6","649","8","27","6","0","18","0","13","42","156","29.10.12"
"010997","6","Автономна Республіка Крим","клуб, хол
вул.Леніна, 10, с.Насипне, м.Феодосія, Автономна Республіка Крим, 98180","1236","596","1231","57","587","53","640","","0","587","53","640","34","606","8","2","3","2","3","70","17","6","376","5","20","3","34","6","3","1","25","22","29.10.12"
"010998","6","Автономна Республіка Крим","школа №15, актова зала
вул.Шкільна, 8, с.Ближнє, м.Феодосія, Автономна Республіка Крим, 98181","2192","1173","2178","84","955","64","1019","","0","955","64","1019","54","965","15","9","10","10","11","94","34","10","548","8","11","8","30","12","7","6","76","66","29.10.12"
"010999","6","Автономна Республіка Крим","клуб, зала
вул.Нова, 10, с.Підгірне, м.Феодосія, Автономна Республіка Крим, 98183","524","288","526","15","222","14","236","","0","222","14","236","13","223","1","1","3","0","5","15","6","2","134","2","0","1","18","1","2","2","27","3","28.10.12"
"011000","6","Автономна Республіка Крим","винзавод, бібліотека, читальна зала
вул.Таврійська, 4, с.Сонячне, м.Феодосія, Автономна Республіка Крим, 98105","888","454","889","18","418","16","434","","0","418","16","434","17","417","2","5","6","5","3","58","16","1","242","3","8","4","0","7","3","3","22","29","28.10.12"
"011001","6","Автономна Республіка Крим","клуб, хол
вул.Гірська, 31, с.Виноградне, м.Феодосія, Автономна Республіка Крим, 98109","252","105","255","3","144","3","147","","0","144","3","147","6","141","1","0","3","2","2","24","14","2","76","0","2","0","4","1","2","0","5","3","28.10.12"
"011002","6","Автономна Республіка Крим","будинок культури, хол, 1-й поверх
вул.Леніна, 70, смт Коктебель, м.Феодосія, Автономна Республіка Крим, 98186","2324","1304","2306","67","969","51","1020","","0","969","51","1020","35","985","24","11","15","13","14","160","47","6","582","8","5","14","13","10","4","2","31","26","29.10.12"
"011003","6","Автономна Республіка Крим","сільський клуб, хол
вул.Центральна, 17, с.Нанікове, м.Феодосія, Автономна Республіка Крим, 98185","412","173","409","9","232","7","239","","0","232","7","239","16","223","1","0","9","13","5","34","11","1","113","1","1","1","10","1","1","2","17","2","28.10.12"
"011004","6","Автономна Республіка Крим","будинок культури, хол, 2-й поверх
вул.Леніна, 33, смт Щебетовка, м.Феодосія, Автономна Республіка Крим, 98187","1064","553","1056","25","487","24","511","","0","487","24","511","35","476","1","3","6","4","3","59","9","1","317","4","2","0","12","6","7","4","23","15","29.10.12"
"011005","6","Автономна Республіка Крим","будинок культури, хол, 1-й поверх
вул.Леніна, 33, смт Щебетовка, м.Феодосія, Автономна Республіка Крим, 98187","1572","798","1558","30","749","25","774","","0","749","25","774","31","743","4","7","3","9","3","63","34","6","474","7","6","6","57","10","7","4","27","16","28.10.12"
"011006","6","Автономна Республіка Крим","пансіонат, хол
вул.Морська, 1, смт Курортне, м.Феодосія, Автономна Республіка Крим, 98188","276","120","276","8","149","7","156","","0","149","7","156","8","148","6","1","3","2","0","29","10","2","83","1","0","1","0","1","2","0","3","4","29.10.12"
"011007","6","Автономна Республіка Крим","школа №18, актова зала
вул.Кримська, 45, с.Краснокам’янка, м.Феодосія, Автономна Республіка Крим, 98186","1240","527","1185","10","705","8","713","","0","705","8","713","24","689","8","4","22","4","9","74","57","9","395","3","9","9","1","10","15","7","33","20","29.10.12"
"011008","6","Автономна Республіка Крим","Феодосійська міська лікарня №1, хол
вул.Корабельна, 33, м.Феодосія, Автономна Республіка Крим, 98100","124","77","62","27","26","21","47","","0","26","21","47","4","43","1","0","1","1","0","7","4","1","22","1","1","1","0","0","0","0","1","2","29.10.12"
"011009","6","Автономна Республіка Крим","Феодосійський міський пологовий будинок, хол
просп.І.К.Айвазовського, 51, м.Феодосія, Автономна Республіка Крим, 98100","60","19","41","0","41","0","41","","0","41","0","41","1","40","1","1","1","1","0","5","3","0","21","0","0","1","1","1","0","0","2","2","28.10.12"
"011010","6","Автономна Республіка Крим","Феодосійська міська станція швидкої медичної допомоги, хол
вул.Гріна, 27, м.Феодосія, Автономна Республіка Крим, 98100","104","77","37","15","18","9","27","","0","18","9","27","0","27","0","1","0","1","0","3","3","0","11","0","1","1","0","0","0","0","5","1","28.10.12"
"011011","6","Автономна Республіка Крим","Феодосійська міська психоневрологічна лікарня №3, хол
вул.Десантників, 5, м.Феодосія, Автономна Республіка Крим, 98100","80","40","41","0","40","0","40","","0","40","0","40","3","37","1","1","1","0","0","5","1","2","20","1","1","0","0","0","0","1","2","1","29.10.12"
