"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Аксьонова
Надія
Вікторівна","Андрєєва
Яна
Сергіївна","Белов
Дмитро
Юрійович","Гордієнко
Сергій
Володимирович","Горенкін
Валерій
Анатолійович","Золотарьов
Павло
Олександрович","Калюбін
Юрій
Олексійович","Кіскін
Степан
Степанович","Куценко
Сергій
Володимирович","Лось
Анатолій
Миколайович","Миримський
Лев
Юлійович","Міхайлутіна
Ніна
Петрівна","Новіков
Віталій
Сергійович","Петров
Анатолій
Іванович","Пруденко
Юрій
Валентинович","Сидорова
Абіба
Іскандарівна","Спірідонов
Олександр
Юрійович","Судраб
Андрій
Володимирович","Щербакова
Ангеліна
Миколаївна","Януцик
Олексій
Юрійович","Дата підписання протоколу"
"011160","2","Автономна Республіка Крим","Сімферопольський професійний будівельний ліцей, корпус №2, хол
вул.Будьонного, 28, м.Сімферополь, Автономна Республіка Крим, 95017","2488","1566","2482","16","907","15","922","","0","907","15","922","71","851","65","18","7","11","7","3","70","221","12","21","275","3","4","12","5","54","34","4","11","14","29.10.12"
"011161","2","Автономна Республіка Крим","міський дитячий будинок, їдальня
вул.Суходольна, 165А, м.Сімферополь, Автономна Республіка Крим, 95053","2336","1073","2322","24","1242","21","1263","","0","1242","21","1263","66","1197","60","17","9","18","9","6","100","404","10","35","341","4","3","21","15","45","74","5","13","8","29.10.12"
"011162","2","Автономна Республіка Крим","ТОВ ""Автотранспортне підприємство ""Хімпромсоюз"", диспетчерська, хол
вул.Будьонного, 32, м.Сімферополь, Автономна Республіка Крим, 95017","2104","1243","2090","22","840","21","861","","0","840","21","861","48","813","63","7","4","11","4","1","53","269","10","16","262","3","1","9","4","43","26","3","7","17","29.10.12"
"011163","2","Автономна Республіка Крим","школа №12, їдальня
вул.Блюхера, 7, м.Сімферополь, Автономна Республіка Крим, 95017","1828","921","1817","17","894","13","907","","0","894","13","907","64","843","36","9","7","13","2","5","64","260","9","26","294","1","5","10","7","36","45","0","8","6","29.10.12"
"011164","2","Автономна Республіка Крим","спеціальна школа-інтернат, спортивна зала
вул.Федька, 4/29, м.Сімферополь, Автономна Республіка Крим, 95017","2168","1219","2140","29","921","28","949","","0","920","28","948","68","880","21","13","8","8","16","5","61","304","5","20","267","2","2","12","1","43","68","3","15","6","29.10.12"
"011165","2","Автономна Республіка Крим","виробниче підприємство водопровідно-каналізаційного господарства, фойє, 1-й поверх
вул.Гурзуфська, 5, м.Сімферополь, Автономна Республіка Крим, 95053","1104","595","1103","27","484","25","509","","0","484","25","509","34","475","22","8","3","3","3","3","29","163","7","6","165","5","4","2","5","18","13","1","6","9","29.10.12"
"011166","2","Автономна Республіка Крим","школа-ліцей №41, хол №1
вул.Гурзуфська 6А, м.Сімферополь, Автономна Республіка Крим, 95053","2344","1073","2328","6","1266","5","1271","","0","1266","5","1271","68","1203","38","15","5","25","7","8","88","358","10","26","405","6","3","16","10","52","89","8","14","20","30.10.12"
"011167","2","Автономна Республіка Крим","школа-ліцей №41, хол №2
вул.Гурзуфська, 6А, м.Сімферополь, Автономна Республіка Крим, 95053","2184","1073","2182","27","1084","27","1111","","0","1084","27","1111","64","1047","34","13","9","11","7","5","60","407","8","24","306","3","3","19","9","49","56","6","7","11","29.10.12"
"011168","2","Автономна Республіка Крим","гуртожиток №3 Таврійського національного університету, зала засідань
вул.Радіщева, 76, м.Сімферополь, Автономна Республіка Крим, 95053","2012","987","2097","20","1008","17","1025","","0","1008","17","1025","78","947","30","25","16","18","4","1","128","209","28","26","288","4","4","22","7","61","40","4","16","16","29.10.12"
"011169","2","Автономна Республіка Крим","школа №28, актова зала
вул.Беспалова, 79, м.Сімферополь, Автономна Республіка Крим, 95023","1548","879","1557","18","653","16","669","","0","653","16","669","47","622","20","11","9","5","3","2","46","134","7","11","246","3","2","16","7","58","27","3","4","8","29.10.12"
"011170","2","Автономна Республіка Крим","школа №28, хол
вул.Беспалова, 79, м.Сімферополь, Автономна Республіка Крим, 95023","1260","701","1255","19","540","19","559","","0","539","19","558","30","528","19","5","4","6","2","2","39","155","5","15","189","4","0","7","3","31","25","1","3","13","29.10.12"
"011171","2","Автономна Республіка Крим","гімназія-школа-садок ""Консоль"", спортивна зала
вул.Морська, 5, м.Сімферополь, Автономна Республіка Крим, 95023","2356","1429","2350","23","906","21","927","","0","905","21","926","62","864","19","13","5","4","2","5","57","185","8","11","227","5","3","7","4","266","24","6","7","6","28.10.12"
"011172","2","Автономна Республіка Крим","диспетчерська КРВП ""Кримтролейбус"", актова зала
вул.Ялтинська, 189, м.Сімферополь, Автономна Республіка Крим, 95007","588","309","593","4","275","4","279","","0","275","4","279","24","255","4","8","1","5","3","2","21","67","6","3","90","1","0","4","2","18","11","2","2","5","29.10.12"
"011173","2","Автономна Республіка Крим","школа №19, спортивна зала
вул.Лугова, 97, м.Сімферополь, Автономна Республіка Крим, 95033","2388","1342","2381","11","1039","7","1046","","0","0","0","1046","75","971","35","21","11","14","8","3","70","310","6","26","310","8","3","12","5","56","36","7","18","12","30.10.12"
"011174","2","Автономна Республіка Крим","Сімферопольське спеціалізоване автопідприємство №1202, аудиторія
вул.Автомобілістів, 3, м.Сімферополь, Автономна Республіка Крим, 95004","460","226","462","8","228","6","234","","0","228","6","234","17","217","2","2","0","1","2","0","16","15","0","1","132","0","0","0","1","42","1","0","0","2","28.10.12"
"011175","2","Автономна Республіка Крим","школа №8, хол
вул.Беспалова, 43/1, м.Сімферополь, Автономна Республіка Крим, 95023","2252","1266","2241","50","941","45","986","","0","941","45","986","62","924","31","7","2","11","11","5","67","280","5","40","309","5","1","23","10","47","46","4","7","13","29.10.12"
"011176","2","Автономна Республіка Крим","школа №8, актова зала
вул.Беспалова, 43/1, м.Сімферополь, Автономна Республіка Крим, 95023","2308","1328","2303","26","963","17","980","","0","963","17","980","65","915","25","15","8","6","7","4","70","277","9","26","304","4","4","13","5","63","38","8","15","14","29.10.12"
"011177","2","Автономна Республіка Крим","Таврійський національний університет імені В.І.Вернадського, хол
просп.Вернадського, 4, м.Сімферополь, Автономна Республіка Крим, 95007","2028","1077","2021","7","945","6","951","","0","945","6","951","54","897","26","21","4","8","10","4","45","315","5","25","330","4","1","8","3","37","32","1","9","9","29.10.12"
"011178","2","Автономна Республіка Крим","Друга міська поліклініка, хол
вул.Лермонтова, 3А, м.Сімферополь, Автономна Республіка Крим, 95004","2360","1134","2349","23","1209","17","1226","","0","1209","17","1226","92","1134","32","11","19","15","10","1","55","346","6","23","431","2","3","22","7","34","83","8","8","18","29.10.12"
"011179","2","Автономна Республіка Крим","школа-гімназія №25, хол
просп.Победи, 58, м.Сімферополь, Автономна Республіка Крим, 95004","2356","1185","2333","28","1143","28","1171","","0","1143","28","1171","76","1095","30","16","8","20","6","3","60","361","12","29","359","7","1","22","6","49","72","5","19","10","29.10.12"
"011180","2","Автономна Республіка Крим","Кримський республіканський палац культури профспілок, виставкова зала, 1-й поверх
вул.Київська, 115, м.Сімферополь, Автономна Республіка Крим, 95034","1880","973","1862","15","893","14","907","","0","891","14","905","54","851","28","9","6","13","4","5","63","289","7","18","269","4","2","15","3","45","45","4","13","9","29.10.12"
"011181","2","Автономна Республіка Крим","Будинок культури імені Т.Г.Шевченка, глядацька зала
вул.Рєпіна, 66/18, м.Сімферополь, Автономна Республіка Крим, 95004","1760","942","1748","31","793","25","818","","0","793","25","818","55","763","28","14","9","10","9","7","49","247","6","28","237","5","3","11","4","34","33","7","14","8","29.10.12"
"011182","2","Автономна Республіка Крим","територіальний центр соціального обслуговування, актова зала
вул.Куйбишева, 3, м.Сімферополь, Автономна Республіка Крим, 95034","2396","1151","2396","32","1216","29","1245","","0","1216","29","1245","58","1187","30","14","11","17","10","5","45","419","9","31","402","5","3","24","11","52","79","3","13","4","29.10.12"
"011183","2","Автономна Республіка Крим","школа №40, кабінет рекреації, 2-й поверх
вул.Морозова Георгія, 18, м.Сімферополь, Автономна Республіка Крим, 95034","1588","866","1576","25","702","20","722","","0","701","20","721","45","676","30","14","3","10","6","1","57","230","7","14","196","3","3","11","6","35","36","2","7","5","29.10.12"
"011184","2","Автономна Республіка Крим","школа №40, кабінет рекреації, 1-й поверх
вул.Морозова Георгія, 18, м.Сімферополь, Автономна Республіка Крим, 95034","1660","806","1665","31","825","29","854","","0","825","29","854","42","812","28","6","3","7","6","9","57","287","8","28","252","4","2","10","6","33","48","5","9","4","29.10.12"
"011185","2","Автономна Республіка Крим","міська стоматологічна поліклініка, хол, 1-й поверх
вул.Київська, 66, м.Сімферополь, Автономна Республіка Крим, 95034","2216","1077","2217","37","1108","31","1139","","0","1107","31","1138","63","1075","36","20","10","9","5","7","59","373","7","20","358","1","2","14","3","53","56","2","18","22","29.10.12"
"011186","2","Автономна Республіка Крим","школа №24, основна школа, їдальня, 1-й поверх
вул.Тургенєва, 27А, м.Сімферополь, Автономна Республіка Крим, 95017","1616","782","1606","41","797","37","834","","0","797","37","834","51","783","28","4","10","7","4","5","34","205","8","21","353","2","3","13","3","37","27","0","7","12","29.10.12"
"011187","2","Автономна Республіка Крим","школа №24, початкова школа, спортивна зала, 1-й поверх
вул.Тургенєва, 27А, м.Сімферополь, Автономна Республіка Крим, 95017","1652","949","1637","21","683","20","703","","0","683","20","703","54","649","19","6","4","9","5","3","45","218","10","19","222","0","3","14","3","23","34","1","8","3","29.10.12"
"011188","2","Автономна Республіка Крим","Сімферопольське музичне училище імені П.І.Чайковського, фойє концертної зали
вул.Набережна, 31, м.Сімферополь, Автономна Республіка Крим, 95034","1668","846","1652","16","809","13","822","","0","809","13","822","51","771","19","13","6","6","5","5","60","238","5","22","260","3","1","21","9","31","50","4","8","5","29.10.12"
"011189","2","Автономна Республіка Крим","школа №7, актова зала
вул.Аксакова, 10, м.Сімферополь, Автономна Республіка Крим, 95017","1540","775","1527","14","755","10","765","","0","755","10","765","45","720","15","9","4","6","8","4","59","239","8","17","196","0","2","17","9","46","53","5","13","10","29.10.12"
"011190","2","Автономна Республіка Крим","факультет фізичної культури Таврійського національного університету, ауд.3
вул.Студенчеська, 13, м.Сімферополь, Автономна Республіка Крим, 95001","2432","1552","2436","21","861","19","880","","0","861","19","880","65","815","34","12","7","12","3","6","26","243","7","29","305","2","2","19","4","43","34","4","11","12","29.10.12"
"011191","2","Автономна Республіка Крим","школа ""Злагода"", актова зала
вул.Єфремова, 4, м.Сімферополь, Автономна Республіка Крим, 95001","2424","1442","2390","14","971","11","982","","0","971","11","982","93","889","31","10","9","16","9","4","70","254","13","17","299","3","4","11","11","48","49","4","14","13","29.10.12"
"011192","2","Автономна Республіка Крим","спеціальна школа №16, хол
вул.Кавказька, 5, м.Сімферополь, Автономна Республіка Крим, 95001","2483","1592","2473","15","880","11","891","","0","880","11","891","70","821","24","9","12","8","4","48","4","226","7","18","322","1","2","12","9","54","27","5","15","14","29.10.12"
"011193","2","Автономна Республіка Крим","Сімферопольська центральна районна клінічна лікарня, їдальня терапевтичного відділення
вул.Лугова, 73, м.Сімферополь, Автономна Республіка Крим, 95033","152","97","68","9","47","8","55","","0","47","8","55","1","54","5","0","2","1","1","1","2","9","0","0","26","0","1","1","0","2","0","0","1","2","28.10.12"
"011194","2","Автономна Республіка Крим","Кримська університетська клініка, зала для конференцій
вул.Київська, 69, м.Сімферополь, Автономна Республіка Крим, 95017","852","279","586","176","399","174","573","","0","399","174","573","97","476","30","17","6","13","5","8","36","92","19","14","126","5","6","8","10","27","13","7","17","17","28.10.12"
"011195","2","Автономна Республіка Крим","""2-га міська клінічна лікарня соматичного профілю"", хол фізіотерапевтичного кабінету
просп.Кірова, 72/2, м.Сімферополь, Автономна Республіка Крим, 95034","124","82","47","0","42","0","42","","0","42","0","42","2","40","2","1","0","0","2","1","3","10","1","0","14","1","1","1","0","1","0","1","0","1","29.10.12"
"011196","2","Автономна Республіка Крим","Наркологічний диспансер, корпус стаціонарного лікування хворих, 2-й поверх
вул.Февральська, 13, м.Сімферополь, Автономна Республіка Крим, 95034","76","38","41","0","38","0","38","","0","38","0","38","1","37","7","1","1","1","0","1","1","5","0","1","6","0","0","0","0","1","2","5","0","5","28.10.12"
"011197","2","Автономна Республіка Крим","Дитяча клінічна лікарня, велика актова зала
вул.Тітова, 77, м.Сімферополь, Автономна Республіка Крим, 95004","108","1","112","0","107","0","107","","0","107","0","107","10","97","8","6","2","2","0","1","6","10","7","4","26","2","2","1","1","7","3","2","3","4","28.10.12"
"011198","2","Автономна Республіка Крим","Міський клінічний пологовий будинок №1, акушерський корпус, 1-й поверх
вул.Воровського, 8, м.Сімферополь, Автономна Республіка Крим, 95017","60","0","64","0","60","0","60","","0","60","0","60","4","56","3","0","2","1","1","0","5","7","4","2","21","0","1","1","1","3","0","0","2","2","28.10.12"
"011199","2","Автономна Республіка Крим","Онкологічний клінічний диспансер, лікувальний корпус, хол адміністративної частини
вул.Беспалова, 49А, м.Сімферополь, Автономна Республіка Крим, 95023","372","122","368","84","200","50","250","","0","200","50","250","37","213","13","15","8","8","3","5","16","40","2","5","50","3","3","7","5","10","6","2","6","6","29.10.12"
"011200","2","Автономна Республіка Крим","Дитяча інфекційна клінічна лікарня, актова зала
вул.Генерала Родіонова, 3, м.Сімферополь, Автономна Республіка Крим, 95023","52","40","22","0","12","0","12","","0","12","0","12","1","11","0","1","0","0","0","0","1","1","0","0","6","0","0","0","0","1","0","0","1","0","28.10.12"
