"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Веніславський
Федір
Володимирович","Дзябко
Віктор
Васильович","Кадимян
Артур
Місакович","Легеза
Галина
Василівна","Макаренко
Валерій
Сергійович","Мураєв
Євгеній
Володимирович","Ребров
Олександр
Володимирович","Ярмолюк
Михайло
Михайлович","Дата підписання протоколу"
"630866","181","Харківська область","музична школа, актова зала
вул.Шкільна, 1, с-ще Комуніст, Харківський р-н, Харківська обл., 62482","1912","992","1918","17","905","15","920","","0","905","15","920","69","851","38","25","21","24","51","430","105","157","29.10.12"
"630867","181","Харківська область","Роганський аграрний ліцей, спортзал, 1-й поверх
Роганський аграрний ліцей, с-ще Комуніст, Харківський р-н, Харківська обл., 62483","2328","1024","2288","34","1276","28","1304","","0","1276","28","1304","103","1201","86","23","20","50","85","477","205","255","29.10.12"
"630868","181","Харківська область","головний корпус ХНАУ, фойє бібліотеки, 1-й поверх
головний корпус ХНАУ, с-ще Комуніст, Харківський р-н, Харківська обл., 62483","1496","291","1668","3","1204","1","1205","","0","1204","1","1205","89","1116","68","34","41","39","74","621","69","170","29.10.12"
"630869","181","Харківська область","Утківський клуб, актова зала
вул.Леніна, 82, смт Утківка, Харківський р-н, Харківська обл., 62471","1080","468","1070","54","567","45","612","","0","567","45","612","26","586","112","8","8","36","11","319","38","54","29.10.12"
"630870","181","Харківська область","ФАП Верхня Озеряна, фойє
вул.Мічуріна, 2Б, с.Верхня Озеряна, Харківський р-н, Харківська обл., 62471","272","156","267","20","98","18","116","","0","98","18","116","4","112","60","3","1","2","2","40","1","3","29.10.12"
"630871","181","Харківська область","ФАП Кринички, фойє
пров.Котляревського, 29, с.Кринички, Харківський р-н, Харківська обл., 62471","192","104","187","13","77","11","88","","0","77","11","88","3","85","9","2","2","2","1","50","8","11","29.10.12"
"630872","181","Харківська область","Хорошівська селищна рада, фойє
вул.Червоноармійська, 33, смт Хорошеве, Харківський р-н, Харківська обл., 62466","2224","1089","2201","53","1093","42","1135","","0","1093","42","1135","87","1048","82","23","36","29","35","591","78","174","29.10.12"
"630873","181","Харківська область","Хорошівська школа, мала актова зала
вул.Кірова, 30, смт Хорошеве, Харківський р-н, Харківська обл., 62466","1512","697","1469","216","608","207","815","","0","608","207","815","68","747","39","9","11","19","27","540","31","71","29.10.12"
"630880","181","Харківська область","Мереф’янська центральна районна лікарня, актова зала
вул.Дніпропетрівська, №148 м.Мерефа, Харківський р-н, Харківська обл., 62472","208","127","87","0","81","0","81","","0","81","0","81","2","79","9","1","0","5","1","56","2","5","29.10.12"
"630882","181","Харківська область","клуб Темнівської виправної колонії №100, актова зала
вул.Харківська, 3, с.Темнівка, Харківський р-н, Харківська обл., 62492","1456","48","1408","0","1408","0","1408","","0","1408","0","1408","4","1404","0","0","2","0","1","1397","1","3","29.10.12"
"630883","181","Харківська область","клуб установи, актова зала
вул.Червоноармійська, 8, с.Хроли, Харківський р-н, Харківська обл., 62480","200","28","173","0","172","0","172","","0","172","0","172","11","161","2","3","1","4","6","133","3","9","29.10.12"
