"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Беденко
Сергій
Олексійович","Васильєв
Микола
Валерійович","Остапчук
Віктор
Миколайович","Пивовар
Григорій
Вікторович","Ровчак
Андрій
Яковлевич","Рочняк
Сергій
Дмитрович","Фомичевський
Анатолій
Станіславович","Дата підписання протоколу"
"630957","177","Харківська область","палац молоді та підлітків ""Залізничник"", хол, 2-й поверх
в’їзд Ювілейний, 3, м.Ізюм, Харківська обл., 64300","1312","713","1314","16","584","15","599","","0","584","15","599","11","588","2","2","342","2","142","6","92","29.10.12"
"630958","177","Харківська область","Ізюмська дистанція колії, червоний уголок
вул.Київська, 1, м.Ізюм, Харківська обл., 64300","1768","895","1739","35","844","29","873","","0","844","29","873","33","840","4","3","509","6","175","9","134","29.10.12"
"630959","177","Харківська область","школа №12, спортивна зала, 1-й поверх
вул.Педагогічна, 4, м.Ізюм, Харківська обл., 64300","2200","1173","2173","38","998","29","1027","","0","998","29","1027","36","991","6","5","523","12","211","26","208","29.10.12"
"630960","177","Харківська область","Ізюмський професійний ліцей, актова зала
вул.Лізи Чайкіної, 24, м.Ізюм, Харківська обл., 64300","2096","1091","2070","23","986","19","1005","","0","986","19","1005","36","969","4","3","529","12","230","9","182","29.10.12"
"630961","177","Харківська область","школа №11, актова зала, 1-й поверх
вул.Петровського, 35А, м.Ізюм, Харківська обл., 64300","2144","1127","2109","27","994","23","1017","","0","994","23","1017","38","979","6","6","502","9","267","7","182","29.10.12"
"630962","177","Харківська область","школа №11, хол, 1-й поверх
вул.Петровського, 35А, м.Ізюм, Харківська обл., 64300","2136","1256","2112","25","863","17","880","","0","863","17","880","32","848","3","7","451","11","169","10","197","29.10.12"
"630963","177","Харківська область","міська центральна лікарня, хол, 1-й поверх
пров.Залікарняний, 2, м.Ізюм, Харківська обл., 64300","408","358","52","24","27","23","50","","0","27","23","50","3","47","0","0","29","0","12","1","5","28.10.12"
"630964","177","Харківська область","протитуберкульозний диспансер, актова зала
вул.Ентузіастів, 104, м.Ізюм, Харківська обл., 64300","104","85","24","1","18","1","19","","0","18","1","19","0","19","0","0","13","1","4","0","1","28.10.12"
"630965","177","Харківська область","міський будинок культури, хол, 1-й поверх
пров.Радянський, 2, м.Куп’янськ, Харківська обл., 63701","1808","834","1772","61","927","47","974","","0","927","47","974","31","943","6","5","503","6","209","27","187","28.10.12"
"630966","177","Харківська область","школа №1, хол, 1-й поверх
вул.1 Травня, 24, м.Куп’янськ, Харківська обл., 63705","1832","898","1781","46","897","37","934","","0","897","37","934","51","883","4","11","419","6","167","29","247","29.10.12"
"630967","177","Харківська область","медичний коледж, актова зала, 1-й поверх
вул.1 Травня, 26, м.Куп’янськ, Харківська обл., 63705","1920","831","1903","52","1047","42","1089","","0","1046","42","1088","49","1039","4","8","525","12","213","43","234","29.10.12"
"630968","177","Харківська область","школа №6, актова зала, 2-й поверх
вул.Гоголя, 4, м.Куп’янськ, Харківська обл., 63705","1792","800","1748","77","937","55","992","","0","937","55","992","44","948","5","7","428","9","177","37","285","29.10.12"
"630969","177","Харківська область","професійний аграрний ліцей, актова зала, 2-й поверх
вул.Сидоренка, 9, м.Куп’янськ, Харківська обл., 63705","1480","768","1472","43","678","34","712","","0","678","34","712","24","688","4","10","347","12","152","33","130","29.10.12"
"630970","177","Харківська область","професійний ліцей, хол, 1-й поверх
вул.Ювілейна, 4, м.Куп’янськ, Харківська обл., 63705","1304","753","1284","17","536","15","551","","0","536","15","551","26","525","1","3","307","6","100","15","93","29.10.12"
"630971","177","Харківська область","управління агропромислового комплексу, актова зала, 1-й поверх
вул.Садова, 52, м.Куп’янськ, Харківська обл., 63701","1600","871","1587","56","679","50","729","","0","679","50","729","30","699","5","4","424","4","112","31","119","29.10.12"
"630972","177","Харківська область","гімназія №1, спортивна зала, 1-й поверх
вул.Харківська, 26, м.Куп’янськ, Харківська обл., 63701","4296","3122","2274","153","1050","124","1174","","0","1050","124","1174","2","1172","8","8","631","10","298","39","178","29.10.12"
"630973","177","Харківська область","школа №4, спортивна зала, 1-й поверх
мікрорайон Ювілейний, м.Куп’янськ, Харківська обл., 63707","2336","1192","2293","28","1124","20","1144","","0","1124","20","1144","42","1102","8","6","646","8","220","38","176","29.10.12"
"630974","177","Харківська область","учбовий корпус автотранспортного коледжу, актова зала, 2-й поверх
вул.Комсомольська, 34, м.Куп’янськ, Харківська обл., 63701","2184","1106","2150","96","998","80","1078","","0","998","80","1078","70","1008","13","15","551","16","199","35","179","28.10.12"
"630975","177","Харківська область","гуртожиток автотранспортного коледжу, спортивна зала, 1-й поверх
вул.Комсомольська, 51, м.Куп’янськ, Харківська обл., 63701","928","537","954","28","369","22","391","","0","369","22","391","15","376","0","2","213","4","63","21","73","29.10.12"
"630976","177","Харківська область","навчально-виховний комплекс №2, хол, 2-й поверх
вул.3-я Цукрозаводська, 5, м.Куп’янськ, Харківська обл., 63702","2296","1152","2246","58","1094","50","1144","","0","1094","50","1144","52","1092","5","11","521","14","212","41","288","28.10.12"
"630977","177","Харківська область","ЗАТ ""Куп’янський молочноконсервний комбінат"", актова зала, 1-й поверх
вул.Ломоносова, 26, м.Куп’янськ, Харківська обл., 63702","1816","942","1796","82","813","61","874","","0","813","61","874","49","825","7","6","463","2","146","24","177","29.10.12"
"630978","177","Харківська область","будинок відпочинку локомотивних бригад, актова зала, 1-й поверх
вул.Красна, 212, м.Куп’янськ, Харківська обл., 63706","1168","489","1155","46","646","33","679","","0","646","33","679","27","652","6","5","515","4","46","9","67","28.10.12"
"630979","177","Харківська область","навчально-виховний комплекс №7, хол, 1-й поверх
вул.Жуковського, 10, смт Куп’янськ-Вузловий, м.Куп’янськ, Харківська обл., 63706","1024","386","1015","44","594","44","638","","0","594","44","638","16","622","1","2","505","2","44","13","55","29.10.12"
"630980","177","Харківська область","спортивний клуб ""Локомотив"", спортивна зала, 1-й поверх
вул.Печериці, 15, смт Куп’янськ-Вузловий, м.Куп’янськ, Харківська обл., 63709","1936","791","1889","31","1114","31","1145","","0","1114","31","1145","36","1109","5","4","907","6","87","9","91","28.10.12"
"630981","177","Харківська область","ВАТ ""Будтехнологія-Н"", кабінет директора, 2-й поверх
вул.Силікатна, 1, смт Куп’янськ-Вузловий, м.Куп’янськ, Харківська обл., 63709","640","280","643","39","324","36","360","","0","324","36","360","16","344","2","2","266","2","31","5","36","29.10.12"
"630982","177","Харківська область","Куп’янськ-Вузловська дистанції колії, червоний куточок, 1-й поверх
площа Радянська, 10, смт Куп’янськ-Вузловий, м.Куп’янськ, Харківська обл., 63709","912","342","880","31","540","30","570","","0","540","30","570","19","551","5","3","442","4","51","11","35","28.10.12"
"630983","177","Харківська область","будівельно-монтажне експлуатаційне управління-4, червоний куточок, 2-й поверх
вул.Авіаційна, 1Б, смт Куп’янськ-Вузловий, м.Куп’янськ, Харківська обл., 63709","840","332","833","31","478","30","508","","0","478","30","508","13","495","4","3","397","4","34","8","45","28.10.12"
"630984","177","Харківська область","гімназія №3, хол, 1-й поверх
вул.Комарова, 1, смт Куп’янськ-Вузловий, м.Куп’янськ, Харківська обл., 63709","1336","497","1326","11","830","9","839","","0","830","9","839","29","810","3","9","651","4","60","14","69","29.10.12"
"630985","177","Харківська область","будинок науки і техніки, лекційна зала, 2-й поверх
вул.Дарвіна, 33, смт Куп’янськ-Вузловий, м.Куп’янськ, Харківська обл., 63709","1160","419","1138","35","711","30","741","","0","711","30","741","28","713","2","1","571","3","39","12","85","29.10.12"
"630986","177","Харківська область","навчальний корпус вищого професійного училища №27, хол, 1-й поверх
смт Ківшарівка, м.Куп’янськ, Харківська обл., 63734","1528","789","1515","33","716","23","739","","0","716","23","739","40","699","4","3","460","4","109","15","104","29.10.12"
"630987","177","Харківська область","учбово-виробничий комплекс ""Вогник"", актова зала, 1-й поверх
смт Ківшарівка, м.Куп’янськ, Харківська обл., 63734","1800","943","1759","45","812","45","857","","0","812","45","857","33","824","7","4","500","11","140","21","141","29.10.12"
"630988","177","Харківська область","1Б, хол, 1-й поверх
смт Ківшарівка, м.Куп’янськ, Харківська обл., 63734","1792","1213","1763","21","561","18","579","","0","561","18","579","34","545","1","7","334","6","60","12","125","28.10.12"
"630989","177","Харківська область","палац культури ім. В.І. Кошелєва, хол, 1-й поверх
смт Ківшарівка, м.Куп’янськ, Харківська обл., 63736","2088","1169","2051","19","902","17","919","","0","902","17","919","35","884","2","7","577","10","101","30","157","28.10.12"
"630990","177","Харківська область","гімназія №2, хол, 1-й поверх
смт Ківшарівка, м.Куп’янськ, Харківська обл., 63736","1552","858","1538","14","681","13","694","","0","681","13","694","25","669","8","5","422","8","99","26","101","29.10.12"
"630991","177","Харківська область","гімназія №2, спортивна зала, 1-й поверх
смт Ківшарівка, м.Куп’янськ, Харківська обл., 63736","1416","805","1391","9","605","6","611","","0","605","6","611","26","585","4","9","354","9","100","20","89","28.10.12"
"630992","177","Харківська область","фізкультурно-оздоровчий комплекс, спортивна зала, 1-й поверх
смт Ківшарівка, м.Куп’янськ, Харківська обл., 63734","1688","918","1656","27","747","23","770","","0","747","23","770","23","747","4","5","483","5","115","19","116","31.10.12"
"630993","177","Харківська область","школа №11, актова зала, 2-й поверх
смт Ківшарівка, м.Куп’янськ, Харківська обл., 63734","1704","842","1669","36","829","33","862","","0","829","33","862","37","825","6","5","515","7","94","32","166","28.10.12"
"630994","177","Харківська область","школа №12, актова зала, 2-й поверх
смт Ківшарівка, м.КУп’янськ, Харківська обл., 63734","1792","1016","1742","27","751","25","776","","0","751","25","776","48","728","3","7","430","6","100","28","154","28.10.12"
"630995","177","Харківська область","центральна міська лікарня, хол, 1-й поверх
вул.Лікарняна, 2, м.Куп’янськ, Харківська обл., 63701","208","148","100","38","24","36","60","","0","24","36","60","4","56","0","0","36","0","11","5","4","30.10.12"
"630996","177","Харківська область","Обласний протитуберкульозний диспансер №5, кабінет лікарського прийому, 1-й поверх
вул.Леніна, 101, м.Куп’янськ, Харківська обл., 63705","56","12","44","0","44","0","44","","0","44","0","44","2","42","3","0","23","0","9","3","4","28.10.12"
"630997","177","Харківська область","відділкова лікарня станції Куп’янськ, актова зала, 2-й поверх
вул.Кірова, 26, смт Куп’янськ-Вузловий, м.Куп’янськ, Харківська обл., 63709","56","9","47","11","36","11","47","","0","36","11","47","1","46","0","1","33","0","7","1","4","28.10.12"
"630998","177","Харківська область","міська лікарня, хол
смт Ківшарівка, м.Куп’янськ, Харківська обл., 63734","104","25","80","16","63","16","79","","0","63","16","79","2","77","1","3","54","3","9","1","6","28.10.12"
