"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Денисенко
Анатолій
Петрович","Картельов
Микола
Михайлович","Салигін
Васілій
Вікторовіч","Старков
Костянтин
Олександрович","Туренко
Іван
Андрійович","Ханафеєв
Владислав
Олексійович","Христенко
Юрій
Петрович","Дата підписання протоколу"
"631660","173","Харківська область","АТ ""Ефект"", вестибюль, 1-й поверх
вул.Георгіївська, 10, м.Харків, 61010","1432","854","1433","15","563","15","578","","0","562","15","577","28","549","225","9","94","93","71","27","30","29.10.12"
"631661","173","Харківська область","коледж Національного фармацевтичного університету, вестибюль, 1-й поверх
вул.Олександра Невського, 18, м.Харків, 61140","2312","951","2304","36","1329","32","1361","","0","1329","32","1361","75","1286","563","44","170","192","184","75","58","29.10.12"
"631662","173","Харківська область","дитячо-юнацька спортивна школа №9, вестибюль, 1-й поверх
вул.Чугуївська, 35, м.Харків, 61140","2176","968","2140","48","1173","35","1208","","0","1173","35","1208","62","1146","466","36","156","222","140","59","67","29.10.12"
"631663","173","Харківська область","гімназія №12, вестибюль, 1-й поверх
вул.Чугуївська, 35А, м.Харків, 61140","1968","857","1938","41","1077","34","1111","","0","1077","34","1111","65","1046","419","35","138","211","139","55","49","29.10.12"
"631664","173","Харківська область","гімназія №12, спортзал, 1-й поверх
вул.Чугуївська, 35А, м.Харків, 61140","2248","995","2212","37","1223","30","1253","","0","1223","30","1253","64","1189","482","30","207","198","165","53","54","29.10.12"
"631665","173","Харківська область","АТ ""ХЗІАМ"", актовий зал, 1-й поверх
вул.Біологічна, 10, м.Харків, 61030","608","294","613","4","310","4","314","","0","310","4","314","22","292","156","10","52","36","17","9","12","29.10.12"
"631666","173","Харківська область","бібліотека-філія №35, читальна зала, 1-й поверх
вул.Сидоренківська, 36/1, корп.6, м.Харків, 61035","1288","715","1275","13","561","12","573","","0","561","12","573","29","544","290","14","58","64","71","23","24","29.10.12"
"631667","173","Харківська область","Харківський державний інститут метрології, вестибюль, 1-й поверх
вул.Саратовська, 36, м.Харків, 61030","536","276","521","2","258","2","260","","0","258","2","260","15","245","117","6","47","39","20","10","6","29.10.12"
"631668","173","Харківська область","центр дитячої та юнацької творчості №7, актова зала, 1-й поверх
вул.Грозненська, 56, м.Харків, 61124","1936","1101","1907","18","821","14","835","","0","821","14","835","37","798","417","18","122","102","76","40","23","29.10.12"
"631669","173","Харківська область","центр дитячої та юнацької творчості №7, танцювальний зал, 1-й поверх
вул.Грозненська, 56, м.Харків, 61124","2136","1085","2128","16","1040","11","1051","","0","1039","11","1050","44","1006","524","36","128","127","116","37","38","29.10.12"
"631670","173","Харківська область","школа №53, вестибюль, 1-й поверх
вул.Грозненська, 48, м.Харків, 61124","2328","1184","2309","19","1134","10","1144","","0","1134","10","1144","49","1095","613","29","124","144","107","44","34","29.10.12"
"631671","173","Харківська область","школа №53, вестибюль, 1-й поверх
вул.Грозненська, 48, м.Харків, 61124","2184","993","2164","18","1177","14","1191","","0","1176","14","1190","74","1116","537","23","147","175","132","49","53","29.10.12"
"631672","173","Харківська область","школа №53, спортзал, 1-й поверх
вул.Грозненська, 48, м.Харків, 61124","2192","1005","2178","26","1168","19","1187","","0","1168","19","1187","74","1113","581","24","114","176","140","44","34","29.10.12"
"631673","173","Харківська область","дошкільний навчальний заклад №353, актова зала, 1-й поверх
вул.Валдайська, 19А, м.Харків, 61009","2376","1336","2364","32","1020","20","1040","","0","1020","20","1040","63","977","504","15","151","145","89","39","34","29.10.12"
"631674","173","Харківська область","спеціалізована школа №66, вестибюль, 1-й поверх
просп.Гагаріна, 260, м.Харків, 61009","2198","1099","2171","52","1055","44","1099","","0","1055","44","1099","68","1031","428","27","123","248","117","32","56","29.10.12"
"631675","173","Харківська область","школа №35, вестибюль, 1-й поверх
пров.Лиманський, 1, м.Харків, 61009","2282","1250","2270","46","1000","32","1032","","0","1000","32","1032","64","968","503","25","106","138","97","49","50","29.10.12"
"631676","173","Харківська область","вокзал залізничної станції Основа, зал очікування, 1-й поверх
вул.Привокзальна, 1, м.Харків, 61009","2448","1237","2412","24","1190","21","1211","","0","1190","21","1211","80","1131","578","15","153","206","98","42","39","29.10.12"
"631677","173","Харківська область","Основ’янська дистанція колії, актова зала, 1-й поверх
вул.Привокзальна, 5А, м.Харків, 61009","2376","1258","2347","33","1090","28","1118","","0","1088","28","1116","68","1048","509","31","154","189","95","35","35","29.10.12"
"631678","173","Харківська область","школа №41, спортзал, 1-й поверх
вул.Достоєвського, 14, м.Харків, 61102","2464","1427","2433","33","1007","30","1037","","0","1007","30","1037","55","982","529","26","120","155","73","34","45","29.10.12"
"631679","173","Харківська область","гімназія №34, вестибюль, 1-й поверх
вул.Локомотивна, 2, м.Харків, 61080","2168","1165","2140","24","985","18","1003","","0","985","18","1003","48","955","483","27","121","148","107","30","39","29.10.12"
"631680","173","Харківська область","гімназія №34, вестибюль, 2-й поверх
вул.Локомотивна, 2, м.Харків, 61080","2248","1199","2237","32","1023","26","1049","","0","1023","26","1049","63","986","523","22","146","143","76","40","36","29.10.12"
"631681","173","Харківська область","дошкільний навчальний заклад (ясла-садок) №13, актова зала, 2-й поверх
Мереф’янське шосе, 20А, м.Харків, 61081","2368","1306","2327","14","1050","12","1062","","0","1050","12","1062","59","1003","534","12","185","135","81","30","26","29.10.12"
"631682","173","Харківська область","дошкільний навчальний заклад №345, актова зала, 1-й поверх
вул.Літакова, 13, м.Харків, 61031","2480","1364","2432","17","1104","12","1116","","0","1104","12","1116","48","1068","651","26","121","92","100","45","33","29.10.12"
"631683","173","Харківська область","школа №48, вестибюль, 1 поверх
вул.Тернопільська, 19, м.Харків, 61109","1848","1097","1854","35","725","26","751","","0","725","26","751","25","726","420","15","95","66","71","35","24","29.10.12"
"631684","173","Харківська область","школа №48, вестибюль, 1-й поверх
вул.Тернопільська, 19, м.Харків, 61109","1728","970","1722","15","745","13","758","","0","745","13","758","49","709","397","11","90","98","61","26","26","29.10.12"
"631685","173","Харківська область","школа №48, вестибюль, 1-й поверх
вул.Тернопільська, 19, м.Харків, 61109","1744","1029","1745","14","704","11","715","","0","704","11","715","30","685","354","15","85","100","65","32","34","29.10.12"
"631686","173","Харківська область","терапевтичне відділення міської клінічної лікарні №11, каб.39, 2-й поверх
пров.Руставелі, 10, м.Харків, 61050","104","5","100","5","94","5","99","","0","94","5","99","2","97","79","0","4","7","1","1","5","29.10.12"
"631687","173","Харківська область","міський клінічний пологовий будинок № 7, каб.3, 4-й поверх
вул.Руставелі, 12, м.Харків, 61050","128","47","83","3","78","3","81","","0","78","3","81","9","72","27","6","16","5","7","7","4","29.10.12"
"631688","173","Харківська область","Диканівська виправна колонія №12, клуб для засуджених, 3-й поверх
вул.Лелюківська, 1, м.Харків, 61030","1504","95","1409","0","1409","0","1409","","0","1409","0","1409","26","1383","1341","15","9","6","6","4","2","29.10.12"
"631689","173","Харківська область","протитуберкульозний диспансер, їдальня
вул.Ньютона, 145, м.Харків, 61096","184","38","162","10","136","10","146","","0","136","10","146","12","134","66","7","21","18","12","8","2","29.10.12"
