"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Гіршфельд
Анатолій
Мусійович","Мішуровська
Світлана
Тимофіївна","Петренко
Сергій
Миколайович","Полковниченко
Олександр
Миколайович","Тимошенко
Володимир
Миколайович","Ткаченко
Олександр
Іванович","Шахматенко
Сергій
Іванович","Ярещенко
Михайло
Євгенович","Дата підписання протоколу"
"630754","179","Харківська область","сільська рада, кімната засідань
вул.Кооперативна, 1, с.Катеринівка, Сахновщинський р-н, Харківська обл., 64552","792","341","781","41","416","35","451","","0","416","35","451","18","433","211","20","74","39","9","20","26","34","28.10.12"
"630755","179","Харківська область","сільський будинок культури, зал
вул.Центральна, 7, с.Красноярка, Сахновщинський р-н, Харківська обл., 64514","240","89","236","17","134","17","151","","0","134","17","151","8","143","49","12","15","41","9","3","8","6","29.10.12"
"630756","179","Харківська область","навчально-виховний комплекс, актовий зал
вул.Леніна, 3, с.Лебедівка, Сахновщинський р-н, Харківська обл., 64512","520","195","514","13","313","12","325","","0","313","12","325","6","319","87","23","88","54","7","6","27","27","28.10.12"
"630757","179","Харківська область","школа, актовий зал
вул.Центральна, 19, с.Бондарівка, Сахновщинський р-н, Харківська обл., 64515","216","79","212","11","126","11","137","","0","126","11","137","7","130","47","2","12","19","5","2","36","7","28.10.12"
"630758","179","Харківська область","навчально-виховний комплекс, актовий зал
вул.Шкільна, 2, с.Лигівка, Сахновщинський р-н, Харківська обл., 64514","832","447","819","29","356","29","385","","0","356","29","385","17","368","138","20","68","63","8","11","33","27","29.10.12"
"630759","179","Харківська область","школа, їдальня
вул.Чкалова, 26, с.Новоолександрівка, Сахновщинський р-н, Харківська обл., 64550","600","300","592","34","266","34","300","","0","266","34","300","12","288","111","7","46","64","2","3","42","13","28.10.12"
"630760","179","Харківська область","школа, актовий зал
вул.1 Травня, 4А, с.Новодмитрівка, Сахновщинський р-н, Харківська обл., 64551","384","203","376","32","152","29","181","","0","152","29","181","7","174","44","6","31","34","8","5","14","32","29.10.12"
"630761","179","Харківська область","бібліотека, читальний зал
вул.Перемоги, 25, с.Надеждине, Сахновщинський р-н, Харківська обл., 64514","192","79","194","19","95","18","113","","0","95","18","113","4","109","63","1","11","19","1","3","5","6","29.10.12"
"630762","179","Харківська область","сільська рада, фойє
вул.Дружби, 85, с.Нова Чернещина, Сахновщинський р-н, Харківська обл., 64530","376","144","377","22","210","22","232","","0","210","22","232","13","219","87","7","30","29","3","7","39","17","28.10.12"
"630763","179","Харківська область","сільський будинок культури, зал
вул.Центральна, 33, с.Костянтинівка, Сахновщинський р-н, Харківська обл., 64531","272","99","266","13","160","13","173","","0","160","13","173","7","166","63","4","11","40","6","3","32","7","29.10.12"
"630764","179","Харківська область","сільська рада, кімната засідань
вул.Пожидаєва, 2, с.Огіївка, Сахновщинський р-н, Харківська обл., 64532","720","300","710","78","343","77","420","","0","343","77","420","11","409","230","7","83","31","3","2","27","26","29.10.12"
"630765","179","Харківська область","школа, актовий зал
пров.Шкільний, 2, с.Олійники, Сахновщинський р-н, Харківська обл., 64510","456","164","465","38","263","29","292","","0","263","29","292","17","275","122","8","53","43","9","10","10","20","29.10.12"
"630766","179","Харківська область","амбулаторія, кабінет прийому громадян
вул.Мирного, 37, с.Мар’ївка, Сахновщинський р-н, Харківська обл., 64510","232","77","230","14","142","13","155","","0","142","13","155","5","150","45","9","23","16","8","21","13","15","29.10.12"
"630767","179","Харківська область","школа, актовий зал
вул.Шкільна, 10, с.Новомихайлівка, Сахновщинський р-н, Харківська обл., 64511","112","32","111","8","72","8","80","","0","72","8","80","4","76","28","2","6","21","1","1","12","5","29.10.12"
"630768","179","Харківська область","школа, актовий зал
вул.Шуліки, 48/2, с.Тавежня, Сахновщинський р-н, Харківська обл., 64561","216","78","211","13","125","13","138","","0","125","13","138","5","133","52","5","24","14","8","5","16","9","28.10.12"
"630769","179","Харківська область","дитячий садок, великий зал
вул.Шевченка, 34/2, с.Шевченкове, Тавежнянська сільська рада, Сахновщинський р-н, Харківська обл., 64561","200","82","192","22","97","21","118","","0","97","21","118","2","116","72","5","18","10","1","0","7","3","29.10.12"
"630770","179","Харківська область","школа, актовий зал
вул.Шкільна, 14, с.Шевченкове, Шевченківська сільська рада, Сахновщинський р-н, Харківська обл., 64513","648","316","636","17","322","10","332","","0","322","10","332","26","306","88","12","101","25","19","9","31","21","28.10.12"
"630771","179","Харківська область","ПСП ""Маяк"", зал для відпочинку
вул.Комарова, 68, смт Сахновщина, Сахновщинський р-н, Харківська обл., 64501","544","310","531","14","220","14","234","","0","220","14","234","14","220","74","11","38","51","8","5","19","14","29.10.12"
"630772","179","Харківська область","школа, фойє
школа, с.Чорнолозка, Сахновщинський р-н, Харківська обл., 64509","176","76","187","16","84","16","100","","0","84","16","100","9","91","41","6","4","13","1","2","19","5","29.10.12"
"630773","179","Харківська область","ВАТ ""20-річчя Жовтня"", фойє
ВАТ ""20-річчя Жовтня"", с.Жовтень, Сахновщинський р-н, Харківська обл., 64508","456","161","459","26","274","21","295","","0","274","21","295","12","283","151","9","32","14","5","10","12","50","28.10.12"
"630774","179","Харківська область","гімназія, актовий зал
вул.Червоноармійська, 14, смт Сахновщина, Сахновщинський р-н, Харківська обл., 64501","1472","754","1425","14","705","13","718","","0","705","13","718","33","685","278","28","128","72","7","20","35","117","29.10.12"
"630775","179","Харківська область","районний будинок культури, фойє
вул.Народна, 2, смт Сахновщина, Сахновщинський р-н, Харківська обл., 64501","1464","761","1407","10","695","8","703","","0","695","8","703","43","660","243","13","147","77","7","27","42","104","29.10.12"
"630776","179","Харківська область","школа №2, фойє
вул.Остапченко, 56, смт Сахновщина, Сахновщинський р-н, Харківська обл., 64501","1560","888","1537","19","658","14","672","","0","658","14","672","44","628","276","17","139","57","13","11","30","85","29.10.12"
"630777","179","Харківська область","ДП Сахновщинський елеватор, кімната відпочинку
вул.17 Вересня, 70, смт Сахновщина, Сахновщинський р-н, Харківська обл., 64501","1136","648","1123","11","481","7","488","","0","481","7","488","32","456","167","19","100","64","7","14","38","47","29.10.12"
"630778","179","Харківська область","ВАТ ""Сахновщинське РТП"", кімната відпочинку
вул.Пархоменко, 26, смт Сахновщина, Сахновщинський р-н, Харківська обл., 64501","448","219","455","10","219","10","229","","0","219","10","229","10","219","74","11","51","25","3","2","28","25","28.10.12"
"630999","179","Харківська область","дитяча музична школа, актова зала
вул.Жовтнева, 10, м.Лозова, Харківська обл., 64602","1528","603","1497","38","891","34","925","","0","891","34","925","18","907","376","63","142","121","5","10","89","101","29.10.12"
"631000","179","Харківська область","училище культури і мистецтв, фойє
вул.Урицького, 2, м.Лозова, Харківська обл., 64602","1384","597","1352","74","729","58","787","","0","729","58","787","19","768","311","37","101","109","10","16","69","115","28.10.12"
"631001","179","Харківська область","відділення НАСК ""Оранта"", к.6
вул.Некрасова, 21, м.Лозова, Харківська обл., 64602","1216","551","1198","43","630","35","665","","0","630","35","665","16","649","263","29","93","102","7","17","55","83","29.10.12"
"631002","179","Харківська область","автошкола, вестибюль
вул.Рози Люксембург, 74А, м.Лозова, Харківська обл., 64602","840","405","821","39","399","36","435","","0","399","36","435","10","425","203","20","45","76","6","2","35","38","28.10.12"
"631003","179","Харківська область","Лозівський професійний ліцей, вестибюль
вул.Свободи, 4А, м.Лозова, Харківська обл., 64602","856","426","859","17","413","17","430","","0","413","17","430","14","416","209","16","45","54","4","6","44","38","28.10.12"
"631004","179","Харківська область","школа №1, спортзал
мікрорайон 5, 3, м.Лозова, Харківська обл., 64606","2048","881","2011","22","1148","19","1167","","0","1148","19","1167","39","1128","625","49","145","84","23","15","83","104","29.10.12"
"631005","179","Харківська область","школа №1, їдальня
мікрорайон 5, 3, м.Лозова, Харківська обл., 64606","1784","776","1758","18","990","18","1008","","0","990","18","1008","25","983","523","52","151","95","13","11","76","62","28.10.12"
"631006","179","Харківська область","школа №7, їдальня
мікрорайон 3, 29, м.Лозова, Харківська обл., 64606","1792","902","1757","22","876","14","890","","0","876","14","890","27","863","456","57","108","94","8","5","64","71","29.10.12"
"631007","179","Харківська область","школа №7, лівий коридор
мікрорайон 3, 29, м.Лозова, Харківська обл., 64606","1848","899","1835","11","941","8","949","","0","941","8","949","36","913","506","58","131","74","12","13","65","54","29.10.12"
"631008","179","Харківська область","школа №7, правий коридор
мікрорайон 3, 29, м.Лозова, Харківська обл., 64606","1752","749","1722","22","984","19","1003","","0","984","19","1003","24","979","518","63","116","133","13","8","47","81","29.10.12"
"631009","179","Харківська область","школа №3, їдальня
мікрорайон 2, 8, м.Лозова, Харківська обл., 64606","2128","1047","2098","33","1054","27","1081","","0","1054","27","1081","42","1039","555","54","124","104","9","12","86","95","29.10.12"
"631010","179","Харківська область","школа №3, вестибюль
мікрорайон 2, 8, м.Лозова, Харківська обл., 64606","1912","878","1882","35","1005","29","1034","","0","1005","29","1034","37","997","529","66","124","77","17","11","74","99","29.10.12"
"631011","179","Харківська область","КП ""ЖУК"", актова зала
мікрорайон 1, 17, м.Лозова, Харківська обл., 64604","1659","788","1612","51","825","46","871","","0","825","46","871","26","845","448","46","88","70","19","13","40","121","29.10.12"
"631012","179","Харківська область","школа №12, актова зала
мікрорайон 1, 30, м.Лозова, Харківської обл., 64604","1568","750","1548","28","797","21","818","","0","797","21","818","29","789","393","39","82","64","10","6","66","129","29.10.12"
"631013","179","Харківська область","Лозівський колегіум №2, вестибюль
мікрорайон 4, 3, м.Лозова, Харківська обл., 64604","2000","938","1959","36","1033","29","1062","","0","1033","29","1062","27","1035","526","63","136","113","11","9","95","82","29.10.12"
"631014","179","Харківська область","Лозівський колегіум №2, фойє
мікрорайон 4, 3, м.Лозова, Харківська обл., 64604","1696","859","1646","17","826","11","837","","0","826","11","837","12","825","449","47","117","82","7","5","52","66","29.10.12"
"631015","179","Харківська область","Лозівський ліцей №4, приміщення рекреації
мікрорайон 4, 45, м.Лозова, Харківська обл., 64604","2048","962","1999","23","1068","18","1086","","0","1068","18","1086","33","1053","534","57","155","85","7","7","116","92","29.10.12"
"631016","179","Харківська область","Лозівський ліцей №4, приміщення рекреації закладу
мікрорайон 4, 45, м.Лозова, Харківська обл., 64604","1768","755","1723","12","1003","10","1013","","0","1003","10","1013","33","980","480","49","135","100","13","11","86","106","29.10.12"
"631017","179","Харківська область","міський Палац культури, фойє
просп.Перемоги, 1, м.Лозова, Харківська обл., 64604","1784","875","1748","13","901","8","909","","0","901","8","909","19","890","454","51","130","93","11","9","69","73","29.10.12"
"631018","179","Харківська область","технікум, вестибюль
мікрорайон 9, 7, м.Лозова, Харківська обл., 64604","2296","1159","2234","9","1129","8","1137","","0","1129","8","1137","43","1094","656","55","120","85","5","21","71","81","29.10.12"
"631019","179","Харківська область","технікум, вестибюль
мікрорайон 9, 7, м.Лозова, Харківська обл., 64604","864","435","846","61","386","43","429","","0","386","43","429","13","416","213","16","44","37","3","8","42","53","28.10.12"
"631020","179","Харківська область","ДЮСШ ""Юність"", вестибюль
пл.Леніна, 1, м.Лозова, Харківська обл., 64602","1400","643","1382","11","747","10","757","","0","747","10","757","19","738","308","47","118","100","5","7","60","93","28.10.12"
"631021","179","Харківська область","стадіон ""Локомотив"", спортзал
вул.Жовтнева, 64, м.Лозова, Харківська обл., 64602","1136","519","1125","33","584","33","617","","0","584","33","617","23","594","339","26","50","70","7","5","46","51","29.10.12"
"631022","179","Харківська область","школа №10, вестибюль
вул.Жовтнева, 15, м.Лозова, Харківська обл., 64602","1080","522","1062","53","508","50","558","","0","508","50","558","22","536","237","35","72","66","5","10","40","71","29.10.12"
"631023","179","Харківська область","адмінспоруда, хол
вул.Профінтерну, 5, м.Лозова, Харківська обл., 64602","1216","613","1169","28","577","26","603","","0","577","26","603","28","575","260","32","60","66","13","8","56","80","29.10.12"
"631024","179","Харківська область","школа №11, приміщення рекреації
вул.Абросимова, 65А, м.Лозова, Харківська обл., 64602","1128","493","1113","55","584","51","635","","0","584","51","635","18","617","315","27","78","73","9","13","47","55","29.10.12"
"631025","179","Харківська область","ВАТ ""Лозівське"", червоний куточок
вул.Танкістів, 2, м.Лозова, Харківська обл., 64605","1272","602","1278","73","608","62","670","","0","608","62","670","27","643","303","37","74","98","4","10","41","76","29.10.12"
"631026","179","Харківська область","школа №8, приміщення рекреації
вул.Червонопартизанська, 43А, м.Лозова, Харківська обл., 64605","1272","607","1267","80","599","66","665","","0","599","66","665","13","652","293","36","71","62","3","2","86","99","28.10.12"
"631027","179","Харківська область","школа №8, їдальня
вул.Червонопартизанська, 43А, м.Лозова, Харківська обл., 64605","1016","487","1009","66","477","52","529","","0","477","52","529","27","502","256","31","67","52","4","10","38","44","29.10.12"
"631028","179","Харківська область","дистанція електропостачання, клас техбезпеки
вул.Потьомкіна, 7, м.Лозова, Харківська обл., 64605","968","513","956","42","415","40","455","","0","415","40","455","17","438","188","22","45","89","6","7","41","40","28.10.12"
"631029","179","Харківська область","Лозівська дистанція колії, вестибюль
вул.38 Гвардійської дивізії, 1, м.Лозова, Харківська обл., 64605","872","439","865","51","383","50","433","","0","383","50","433","9","424","204","11","37","54","2","7","45","64","29.10.12"
"631030","179","Харківська область","Панютинська школа №2, к.7
вул.Петровського, 32, с.Хлібне, м.Лозова, Харківська обл., 64660","504","205","509","41","264","35","299","","0","264","35","299","10","289","164","8","15","41","5","3","19","34","29.10.12"
"631031","179","Харківська область","БК ДП ""Укрспецвагон"", фойє
вул.Леніна, 2, смт Панютине, м.Лозова, Харківська обл., 64660","1456","631","1444","83","746","79","825","","0","746","79","825","32","793","340","40","82","108","6","9","69","139","29.10.12"
"631032","179","Харківська область","Панютинська школа №1, фойє
вул.Миру, 33, смт Панютине, м.Лозова, Харківська обл., 64660","1464","578","1427","65","834","52","886","","0","834","52","886","43","843","314","33","82","122","9","15","62","206","28.10.12"
"631033","179","Харківська область","Панютинська селищна рада, фойє
вул.Леніна, 11, смт Панютине, м.Лозова, Харківська обл., 64660","1248","512","1230","24","716","20","736","","0","716","20","736","28","708","311","35","71","89","10","9","80","103","29.10.12"
"631034","179","Харківська область","спортзал ДП ""Укрспецвагон""
вул.Леніна, 4, смт Панютине, м.Лозова, Харківська обл., 64660","1256","615","1242","171","533","108","641","","0","533","108","641","47","594","287","24","52","39","9","11","79","93","29.10.12"
"631035","179","Харківська область","Домаський НВК, актова зала
вул.Чапаєва, 11, с.Домаха, м.Лозова, Харківська обл., 64603","1200","530","1189","73","598","72","670","","0","598","72","670","14","656","401","15","58","70","7","5","60","40","28.10.12"
"631036","179","Харківська область","вузлова лікарня ст.Лозова, фойє
вул.Жовтнева, 1, м.Лозова, Харківська обл., 64602","40","4","36","3","33","3","36","","0","33","3","36","1","35","19","4","4","3","0","1","1","3","28.10.12"
"631037","179","Харківська область","Лозівська міська лікарня, фойє
вул.Червоних Артилеристів, 29, м.Лозова, Харківська обл., 64604","208","141","73","21","49","18","67","","0","49","18","67","1","66","30","4","14","4","1","1","5","7","28.10.12"
