"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Дебелий
Олег
Віталійович","Луценко
Ігор
Іванович","Мірошніков
Віталій
Юрійович","Петрик
Сергій
Володимирович","Тищенко
Павло
Васильович","Фельдман
Олександр
Борисович","Фукс
Андрій
Едуардович","Чорний
Дмитро
Валентинович","Шевченко
Жанна
Олександрівна","Дата підписання протоколу"
"631402","174","Харківська область","9-й Гарнізонний Будинок офіцерів, фойє, 1-й поверх
вул.Полтавський Шлях, 184, м.Харків, 61098","2096","963","2078","31","1103","30","1133","","0","1103","30","1133","28","1105","117","136","17","150","15","637","13","10","10","29.10.12"
"631403","174","Харківська область","школа №87, фойє, 2-й поверх
вул.Башкирська, 2, м.Харків, 61177","2320","1203","2294","32","1092","25","1117","","0","1092","25","1117","45","1072","125","118","6","126","6","660","6","9","16","29.10.12"
"631404","174","Харківська область","школа №87, їдальня, 1-й поверх
вул.Башкирська, 2, м.Харків, 61177","2200","1035","2166","23","1143","22","1165","","0","1143","22","1165","42","1123","105","158","16","120","17","676","6","15","10","29.10.12"
"631405","174","Харківська область","школа №87, фойє, 1-й поверх
вул.Башкирська, 2, м.Харків, 61177","2063","1023","2050","40","1005","35","1040","","0","1004","35","1039","28","1011","94","91","13","124","11","659","9","5","5","29.10.12"
"631406","174","Харківська область","гімназія №86, права рекреація, 1-й поверх
пров.Золочівський 1-й, 3, м.Харків, 61177","2264","1079","2230","30","1161","24","1185","","0","1161","24","1185","49","1136","95","118","13","124","19","735","6","11","15","29.10.12"
"631407","174","Харківська область","гімназія №86, ліва рекреація, 1-й поверх
пров.Золочівський 1-й, 3, м.Харків, 61177","2288","1100","2266","22","1167","21","1188","","0","1167","21","1188","48","1140","119","146","8","144","20","654","7","14","28","29.10.12"
"631408","174","Харківська область","дільниця №29 КП ""Жилкомсервіс"", актова зала, 2-й поверх
просп.Слави, 5, м.Харків, 61177","2280","1016","2262","36","1231","33","1264","","0","1231","33","1264","46","1218","120","150","15","142","33","727","3","13","15","29.10.12"
"631409","174","Харківська область","дільниця №29 КП ""Жилкомсервіс"", актова зала, 2-й поверх
просп.Слави, 5, м.Харків, 61177","2168","918","2100","42","1212","38","1250","","0","1212","38","1250","53","1197","102","123","10","150","19","740","15","15","23","29.10.12"
"631410","174","Харківська область","пансіонат ветеранів праці, фойє, 1-й поверх
вул.Тінякова, 7, м.Харків, 61177","352","20","351","149","196","136","332","","0","196","136","332","6","326","16","15","6","8","9","263","5","2","2","29.10.12"
"631411","174","Харківська область","дорожня клінічна лікарня Південної залізниці
вул.Тінякова, 9, м.Харків, 61177","344","124","225","17","204","16","220","","0","204","16","220","14","206","15","34","2","26","2","113","4","2","8","29.10.12"
"631412","174","Харківська область","КЗОЗ ХОК ""Перинатальний центр""
вул.Маліновського, 4, м.Харків, 61052","224","159","65","3","62","3","65","","0","62","3","65","8","57","4","3","2","5","1","32","4","1","5","29.10.12"
"631413","174","Харківська область","шкірно-венерологічний диспансер №1
вул.Карла Маркса, 17, м.Харків, 61052","80","4","95","0","76","0","76","","0","76","0","76","0","76","6","2","0","5","1","62","0","0","0","29.10.12"
"631414","174","Харківська область","пологовий будинок Південної залізниці
вул.Полтавський Шлях, 52, м.Харків, 61052","72","30","43","0","42","0","42","","0","42","0","42","1","41","4","5","1","4","0","25","0","0","2","30.10.12"
