"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Біловол
Олександр
Миколайович","Дмитрієв
Анатолій
Анатолійович","Логінов
Віталій
Вікторович","Нагорний
Олексій
Павлович","Пелехатий
Олександр
Олексійович","Салюк
Іван
Лукич","Дата підписання протоколу"
"630692","180","Харківська область","Просянська сільська рада, зала засідань
вул.Піонерська, 2, с.Просяне, Нововодолазький р-н, Харківська обл., 63230","736","373","718","55","310","53","363","","0","310","53","363","12","351","176","93","30","12","33","7","29.10.12"
"630693","180","Харківська область","будинок культури, фойє
просп.Московський, 6, с.Просяне, Нововодолазький р-н, Харківська обл., 63230","280","130","271","20","132","18","150","","0","132","18","150","4","146","70","30","13","2","28","3","28.10.12"
"630694","180","Харківська область","ТОВ ""Норма"", зала засідань
вул.Свердлова, 4, с.Дерегівка, Нововодолазький р-н, Харківська обл., 63231","344","174","337","25","147","23","170","","0","147","23","170","13","157","109","18","3","3","21","3","29.10.12"
"630695","180","Харківська область","Рокитненська школа, хол
вул.Пролетарська, 1, с.Рокитне, Нововодолазький р-н, Харківська обл., 63211","920","429","896","60","437","54","491","","0","437","54","491","28","463","251","72","28","18","88","6","29.10.12"
"630696","180","Харківська область","Сосонівська школа, хол
вул.Миру, 6, с.Сосонівка, Нововодолазький р-н, Харківська обл., 63224","664","289","664","79","301","74","375","","0","301","74","375","11","364","192","113","14","10","32","3","29.10.12"
"630697","180","Харківська область","Станичненська школа, хол
вул.Шкільна, 8, с.Станичне, Нововодолазький р-н, Харківська обл., 63232","872","421","864","85","367","84","451","","0","367","84","451","28","423","196","74","24","10","110","9","29.10.12"
"630698","180","Харківська область","Комінтернівська школа, хол
вул.Шкільна, 6, с.Комінтерн, Нововодолазький р-н, Харківська обл., 63235","792","317","786","58","424","51","475","","0","424","51","475","37","438","209","82","20","6","111","10","29.10.12"
"630699","180","Харківська область","Литовчанський навчально-виховний комплекс, актова зала
вул.Вихорєва, 1, с.Литовки, Нововодолазький р-н, Харківська обл., 63235","240","73","238","7","160","7","167","","0","160","7","167","7","160","106","28","5","0","21","0","29.10.12"
"630700","180","Харківська область","Старовірівська сільська рада, зала засідань
вул.Радянська, 60, с.Старовірівка, Нововодолазький р-н, Харківська обл., 63250","1072","516","1064","95","462","94","556","","0","462","94","556","28","528","325","34","37","7","121","4","29.10.12"
"630701","180","Харківська область","2 Старовірівська школа, хол
вул.Гагаріна, 35, с.Старовірівка, Нововодолазький р-н, Харківська обл., 63252","536","229","525","50","257","50","307","","0","257","50","307","6","301","230","36","16","3","14","2","29.10.12"
"630702","180","Харківська область","3 Старовірівська школа, каб.2
вул.50 років Жовтня, 6, с.Старовірівка, Нововодолазький р-н, Харківська обл., 63254","488","189","480","72","228","71","299","","0","228","71","299","4","295","188","34","26","5","41","1","29.10.12"
"630703","180","Харківська область","сільський клуб, мала зала
вул.Побєди, 5, с.Старовірівка, Нововодолазький р-н, Харківська обл., 63254","360","111","355","59","191","58","249","","0","191","58","249","8","241","162","32","12","6","29","0","29.10.12"
"630704","180","Харківська область","сільський клуб, глядацька зала
вул.Леніна, сільський клуб, с.Муравлинка, Нововодолазький р-н, Харківська обл., 63259","136","25","140","31","80","31","111","","0","80","31","111","9","102","67","17","2","0","14","2","03.11.12"
"630705","180","Харківська область","школа, хол
вул.Карпова, 3, с.Дячківка, Нововодолазький р-н, Харківська обл., 63257","112","25","109","18","70","17","87","","0","70","17","87","1","86","56","21","3","0","5","1","29.10.12"
"630706","180","Харківська область","Власівська школа, хол
вул.Леніна, 1, с-ще Палатки, Нововодолазький р-н, Харківська обл., 63258","608","276","591","37","295","37","332","","0","295","37","332","13","319","197","46","11","14","47","4","29.10.12"
"630707","180","Харківська область","Староводолазька школа, кабінет української мови
вул.Ребрика, 102, с.Стара Водолага, Нововодолазький р-н, Харківська обл., 63213","544","217","547","66","272","55","327","","0","272","55","327","11","316","86","124","18","9","77","2","29.10.12"
"630708","180","Харківська область","Нововодолазька центральна районна лікарня, неврологічне відділення, зала засідань
вул.Пушкіна, 16, смт Нова Водолага, Нововодолазький р-н, Харківська обл., 63200","112","1","157","12","100","11","111","","0","100","11","111","6","105","69","15","5","3","10","3","28.10.12"
"630820","180","Харківська область","Манченківська селищна рада, актова зала
вул.Пушкіна, 6/11, смт Манченки, Харківський р-н, Харківська обл., 62448","1416","593","1414","80","743","80","823","","0","743","80","823","81","742","448","137","57","28","51","21","29.10.12"
"630821","180","Харківська область","ТОВ ""Люботинська птахофабрика"", актова зала
вул.Фабрична, 15, с-ще Травневе, Харківський р-н, Харківська обл., 62448","1440","777","1426","70","600","63","663","","0","599","63","662","58","604","383","86","39","20","59","17","31.10.12"
"630822","180","Харківська область","Манченківський селищний клуб, актова зала
вул.Шкільна, 40, с-ще Ударне, Харківський р-н, Харківська обл., 62448","608","222","597","38","348","38","386","","0","348","38","386","43","343","222","50","25","13","25","8","29.10.12"
