"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бережна
Ірина
Григоріївна","Білогрищенко
Андрій
Іванович","Кірш
Олександр
Вікторович","Почапський
Максим
Дмитрович","Сидорченко
Віктор
Олександрович","Старих
Олег
Анатолійович","Стеценко
Ігор
Олександрович","Дата підписання протоколу"
"631308","169","Харківська область","Міська клінічна лікарня №30
вул.Гуданова, 5/7, м.Харків, 61024","72","0","81","0","72","0","72","","0","72","0","72","3","69","36","5","16","3","9","0","0","28.10.12"
"631309","169","Харківська область","Міська студентська лікарня
вул.Дарвіна, 8/10, м.Харків, 61002","248","8","240","0","240","0","240","","0","240","0","240","8","232","174","3","23","5","17","4","6","28.10.12"
"631310","169","Харківська область","ХМКШВД №5
вул.Революції, 15, м.Харків, 61002","72","22","51","1","49","1","50","","0","49","1","50","5","45","29","0","10","1","3","1","1","28.10.12"
"631311","169","Харківська область","Акушерський корпус пологового будинку №3
вул.Мельникова, 46А, м.Харків, 61002","72","37","35","3","32","3","35","","0","32","3","35","0","35","27","0","5","0","2","0","1","28.10.12"
"631312","169","Харківська область","Харківська міська лікарня №28
вул.Помірки, 27, м.Харків, 61070","136","36","102","7","93","7","100","","0","93","7","100","5","95","75","2","7","2","7","1","1","28.10.12"
"631313","169","Харківська область","ДУ ІПЕП ім. В.Я.Данилевського
вул.Помірки, 27, м.Харків, 61070","104","20","99","0","84","0","84","","0","84","0","84","13","71","33","3","16","6","9","2","2","29.10.12"
"631314","169","Харківська область","Обласний онкологічний центр
вул.Лісопарківська, 4, м.Харків, 61070","480","214","308","60","207","59","266","","0","206","59","265","23","242","104","5","48","9","51","6","19","30.10.12"
"631315","169","Харківська область","ДЗ ""Спеціалізована медико-санітарна частина №13""
просп.Академіка Курчатова, 29, м.Харків, 61108","64","36","31","0","28","0","28","","0","28","0","28","0","28","12","2","9","0","4","1","0","29.10.12"
"631415","169","Харківська область","Українська державна академія залізничного транспорту, ауд.114
майдан Фейєрбаха, 7, м.Харків, 61001","1400","753","1394","13","639","8","647","","0","639","8","647","43","604","246","23","212","13","74","7","29","29.10.12"
"631416","169","Харківська область","школа №19, спортивна зала
вул.Куйбишева, 19, м.Харків, 61001","1880","814","1858","12","1055","11","1066","","0","1055","11","1066","67","999","349","45","390","19","126","24","46","29.10.12"
"631417","169","Харківська область","спеціалізована школа №33, спортивна зала
вул.Іскринська, 28, м.Харків, 61005","2264","1144","2242","9","1113","7","1120","","0","1113","7","1120","86","1034","453","34","351","25","119","15","37","29.10.12"
"631418","169","Харківська область","Харківське вище професійне училище сфери послуг, актова зала
вул.Якіра, 5, м.Харків, 61005","1600","800","1592","14","790","10","800","","3","787","10","797","39","758","295","22","292","18","86","21","24","29.10.12"
"631419","169","Харківська область","спеціалізована школа №3, 1-й поверх, рекреація
вул.Лесі Українки, 4, м.Харків, 61068","1384","735","1380","24","628","21","649","","0","628","21","649","38","611","271","14","224","8","67","10","17","29.10.12"
"631420","169","Харківська область","гімназія №23, спортивна зала
вул.Якіра, 40, м.Харків, 61161","1176","666","1186","16","496","14","510","","0","496","14","510","31","479","197","10","192","9","54","8","9","29.10.12"
"631421","169","Харківська область","гімназія №23, актова зала
вул.Якіра, 40, м.Харків, 61161","1216","667","1222","17","538","11","549","","0","538","11","549","48","501","196","13","209","4","48","15","16","28.10.12"
"631481","169","Харківська область","школа №123, 2-й поверх, рекреація
вул.Академіка Павлова, 142А, м.Харків, 61146","2024","873","1998","17","1134","17","1151","","0","1134","17","1151","82","1069","435","46","336","19","184","21","28","28.10.12"
"631482","169","Харківська область","школа №123, 2-й поверх, рекреація
вул.Академіка Павлова, 142А, м.Харків, 61146","1776","823","1732","17","940","13","953","","0","940","13","953","136","817","361","28","250","11","128","14","25","29.10.12"
"631483","169","Харківська область","школа №123, 1-й поверх, рекреація
вул.Академіка Павлова, 142А, м.Харків, 61146","1912","899","1880","8","1007","6","1013","","0","1007","6","1013","67","946","400","41","279","17","167","18","24","29.10.12"
"631484","169","Харківська область","школа №123, 1-й поверх, рекреація
вул.Академіка Павлова, 142А, м.Харків, 61146","2264","1078","2247","23","1168","18","1186","","0","1168","18","1186","120","1066","428","25","373","14","186","11","29","29.10.12"
"631525","169","Харківська область","стаціонар дорожньої клінічної лікарні СГТО ""Південна залізниця"", актова зала
вул.Фейєрбаха, 13, м.Харків, 61001","80","11","72","0","69","0","69","","0","69","0","69","4","65","25","3","16","1","14","3","3","28.10.12"
"631526","169","Харківська область","пологовий будинок №2 імені М.Х. Гельферіха, вестибюль
вул.Чигирина Юлія, 7, м.Харків, 61001","72","20","54","0","52","0","52","","0","52","0","52","5","47","26","4","10","1","2","0","4","28.10.12"
"631527","169","Харківська область","Акушерське відділення пологового будинку №2 імені М.Х. Гельферіха, вестибюль
просп.Московський, 145, м.Харків, 61068","104","57","50","0","47","0","47","","0","47","0","47","2","45","23","1","12","2","3","1","3","28.10.12"
