"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Дяків
Богдан
Степанович","Іванов
Володимир
Миколайович","Каплін
Євген
Володимирович","Мисик
Володимир
Юрійович","Обрядін
Володимир
Владиславович","Оглоданий
Андрій
Романович","Приліпко
Віталій
Вікторович","Штучний
Михайло
Миколайович","Дата підписання протоколу"
"631575","172","Харківська область","клуб за місцем проживання, зала
вул.Зубарєва, 33, м.Харків, 61172","2184","1142","2153","29","1019","23","1042","","0","1019","23","1042","61","981","17","22","34","535","152","11","188","22","29.10.12"
"631576","172","Харківська область","школа №85, спортивна зала, 1-й поверх
вул.Зубарєва, 29, м.Харків, 61172","2432","1212","2409","21","1205","15","1220","","0","1205","15","1220","68","1152","33","23","30","614","159","13","247","33","29.10.12"
"631577","172","Харківська область","школа №85, вестибюль, 1-й поверх
вул.Зубарєва, 29, м.Харків, 61172","2408","1106","2368","16","1288","14","1302","","0","1288","14","1302","94","1208","41","19","35","699","132","9","239","34","29.10.12"
"631578","172","Харківська область","гімназія №163, спортивна зала
вул.Луї Пастера, 330, м.Харків, 61172","2432","1363","2410","20","1057","12","1069","","0","1057","12","1069","53","1016","45","23","45","496","158","5","217","27","29.10.12"
"631579","172","Харківська область","школа №75, вестибюль
вул.Шарикова, 46, м.Харків, 61189","2392","1226","2383","45","1132","34","1166","","0","1132","34","1166","86","1080","35","23","29","599","153","5","215","21","29.10.12"
"631580","172","Харківська область","школа №168, рекреація
вул.Велика Кільцева, 12, м.Харків, 61143","2280","1214","2280","11","1058","8","1066","","0","1058","8","1066","65","1001","36","13","27","591","119","5","191","19","29.10.12"
"631581","172","Харківська область","школа №168, рекреація
вул.Велика Кільцева, 12, м.Харків, 61143","2072","1175","2052","17","883","14","897","","0","883","14","897","64","833","30","12","23","477","127","1","156","7","29.10.12"
"631582","172","Харківська область","школа №168, спортивна зала
вул.Велика Кільцева, 12, м.Харків, 61143","2176","1070","2150","16","1092","14","1106","","0","1092","14","1106","81","1025","21","13","18","670","112","6","158","27","29.10.12"
"631583","172","Харківська область","школа №168, рекреація
вул.Велика Кільцева, 12, м.Харків, 61143","2096","973","2074","8","1118","5","1123","","0","1118","5","1123","57","1066","37","21","31","618","131","7","207","14","29.10.12"
"631584","172","Харківська область","лікарня №25, кафедра терапії
просп.Косіора, 122, м.Харків, 61115","464","196","294","95","182","86","268","","0","182","86","268","9","259","8","4","8","158","39","2","35","5","29.10.12"
"631585","172","Харківська область","пологовий будинок №6, кафедра
вул.Луї Пастера, 2, м.Харків, 61075","144","122","25","0","22","0","22","","0","22","0","22","0","22","1","1","1","15","1","0","3","0","29.10.12"
"631586","172","Харківська область","дитяча лікарня №16, 1-й поверх
вул.Луї Пастера, 2, м.Харків, 61075","232","217","18","0","15","0","15","","0","15","0","15","0","15","0","0","1","10","1","0","3","0","29.10.12"
"631587","172","Харківська область","ХОСПІС, палати
вул.Луї Пастера, 4А, м.Харків, 61075","80","37","119","97","18","25","43","","0","18","25","43","0","43","1","4","2","28","5","0","2","1","29.10.12"
"631588","172","Харківська область","тубдиспансер №1, їдальня
вул.Пирогова, 6, м.Харків, 61075","40","7","35","0","33","0","33","","0","33","0","33","3","30","3","2","5","13","3","0","4","0","29.10.12"
"631589","172","Харківська область","туберкульозна лікарня №3, палати
вул.Пирогова, 8, м.Харків, 61075","104","43","68","0","61","0","61","","0","61","0","61","6","55","4","4","4","21","7","5","5","5","29.10.12"
"631590","172","Харківська область","ХВК №43, клуб, 2-й поверх
вул.Таджицька, 17, м.Харків, 61089","1304","25","1300","0","1279","0","1279","","0","0","0","1279","56","1223","7","5","11","1143","14","4","35","4","29.10.12"
