"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Авдєєва
Лілія
Геннадіївна","Александровська
Алла
Олександрівна","Карбань
Ігор
Семенович","Котуков
Олександр
Анатолійович","Святаш
Дмитро
Володимирович","Середа
Анатолій
Миколайович","Тарасенко
Анатолій
Володимирович","Дата підписання протоколу"
"631486","170","Харківська область","школа №139, 2-й поверх, рекреація
вул.Гвардійців-Широнінців, 40Ж, м.Харків, 61123","1960","924","1940","13","1027","9","1036","","0","1027","9","1036","34","1002","184","188","9","114","475","12","20","29.10.12"
"631487","170","Харківська область","школа №139, 2-й поверх, рекреація
вул.Гвардійців-Широнінців, 40Ж, м.Харків, 61123","2056","928","2028","22","1112","16","1128","","0","1112","16","1128","44","1084","254","216","14","119","434","20","27","29.10.12"
"631488","170","Харківська область","школа №139, 1-й поверх, рекреація
вул.Гвардійців-Широнінців, 40Ж, м.Харків, 61123","2072","1040","2057","7","1026","6","1032","","0","1026","6","1032","32","1000","187","211","13","138","411","16","24","29.10.12"
"631489","170","Харківська область","школа №25, 1-й поверх, рекреація
просп.Тракторобудівників, 87В, м.Харків, 61123","2224","1172","2188","14","1040","12","1052","","0","1040","12","1052","36","1016","188","228","20","145","405","12","18","29.10.12"
"631490","170","Харківська область","школа №25, 2-й поверх, рекреація
просп.Тракторобудівників, 87В, м.Харків, 61123","2096","999","2065","15","1084","13","1097","","0","1082","13","1095","37","1058","222","220","13","117","451","12","23","29.10.12"
"631491","170","Харківська область","школа №25, 3-й поверх, рекреація
просп.Тракторобудівників, 87В, м.Харків, 61123","1968","996","1955","7","965","7","972","","0","965","7","972","39","933","151","194","9","120","427","10","22","29.10.12"
"631492","170","Харківська область","школа №25, 1-й поверх, рекреація
просп.Тракторобудівників, 87В, м.Харків, 61123","2016","1031","1991","11","974","11","985","","0","973","11","984","46","938","209","179","12","109","390","18","21","29.10.12"
"631506","170","Харківська область","школа №122, 1-й поверх, рекреація
вул.Уборевіча, 34Г, м.Харків, 61136","2208","1137","2177","15","1059","12","1071","","0","1059","12","1071","23","1048","213","247","18","129","402","18","21","29.10.12"
"631507","170","Харківська область","школа №122, спортивна зала
вул.Уборевіча, 34Г, м.Харків, 61136","2128","1115","2094","19","999","14","1013","","0","998","14","1012","36","976","191","212","8","145","390","14","16","31.10.12"
"631508","170","Харківська область","школа №122, 2-й поверх, рекреація
вул.Уборевіча, 34Г, м.Харків, 61136","1936","1000","1904","15","923","13","936","","0","923","13","936","31","905","196","221","17","117","318","13","23","29.10.12"
"631509","170","Харківська область","школа №122, 2-й поверх, рекреація
вул.Уборевіча, 34Г, м.Харків, 61136","2224","1105","2201","1","1118","1","1119","","0","1118","1","1119","30","1089","223","245","17","145","416","14","29","29.10.12"
"631510","170","Харківська область","гімназія №144, 2-й поверх, рекреація
вул.Уборевіча, 30Е, м.Харків, 61136","2128","1104","2100","13","1012","12","1024","","0","1012","12","1024","37","987","193","241","5","123","396","16","13","29.10.12"
"631511","170","Харківська область","гімназія №144, 2-й поверх, рекреація
вул.Уборевіча, 30Е, м.Харків, 61136","1912","963","1890","6","943","6","949","","0","943","6","949","28","921","185","243","9","96","355","10","23","29.10.12"
"631512","170","Харківська область","гімназія №144, 1-й поверх, рекреація
вул.Уборевіча, 30Е, м.Харків, 61136","2048","974","2013","8","1067","7","1074","","0","1067","7","1074","39","1035","221","238","11","114","423","9","19","29.10.12"
"631513","170","Харківська область","школа №111, 2-й поверх, рекреація
вул.Уборевіча, 18Д, м.Харків, 61144","2280","1160","2245","14","1107","13","1120","","0","1107","13","1120","42","1078","217","283","14","113","412","13","26","29.10.12"
"631514","170","Харківська область","школа №111, 2-й поверх, актова зала
вул.Уборевіча, 18Д, м.Харків, 61144","2224","1035","2207","15","1176","13","1189","","0","1175","13","1188","44","1144","201","261","16","187","428","18","33","31.10.12"
"631515","170","Харківська область","школа №111, спортивна зала
вул.Уборевіча, 18Д, м.Харків, 61144","2240","1310","2212","4","926","4","930","","0","924","4","928","25","903","235","169","10","186","263","11","29","31.10.12"
"631516","170","Харківська область","школа №111, 2-й поверх, рекреація
вул.Уборевіча, 18Д, м.Харків, 61144","2408","1373","2385","6","1029","6","1035","","0","1029","6","1035","39","996","199","214","13","147","369","21","33","29.10.12"
"631517","170","Харківська область","школа №124, 2-й поверх, рекреація
вул.Гвардійців-Широнінців, 75А, м.Харків, 61144","2240","1130","2217","13","1098","12","1110","","0","1098","12","1110","32","1078","236","248","13","153","381","17","30","29.10.12"
"631518","170","Харківська область","школа №124, 2-й поверх, рекреація
вул.Гвардійців-Широнінців, 75А, м.Харків, 61144","2184","1114","2161","13","1060","10","1070","","0","1060","10","1070","48","1022","227","218","10","132","393","18","24","29.10.12"
"631519","170","Харківська область","школа №124, актова зала
вул.Гвардійців-Широнінців, 75А, м.Харків, 61144","1960","957","1941","18","990","13","1003","","0","990","13","1003","30","973","194","213","9","159","359","23","16","29.10.12"
"631520","170","Харківська область","школа №124, спортивна зала
вул.Гвардійців-Широнінців, 75А, м.Харків, 61144","2360","1143","2338","4","1213","4","1217","","0","1213","4","1217","51","1166","232","277","13","134","459","22","29","29.10.12"
"631521","170","Харківська область","школа №124, їдальня
вул.Гвардійців-Широнінців, 75А, м.Харків, 61144","2192","1106","2162","13","1074","12","1086","","0","1074","12","1086","39","1047","188","273","17","134","393","19","23","29.10.12"
"631522","170","Харківська область","центральна бібліотека, читальна зала
вул.Гвардійців-Широнінців, 83/26, м.Харків, 61144","2344","1250","2300","5","1089","5","1094","","0","1089","5","1094","27","1067","272","229","13","167","350","12","24","29.10.12"
"631523","170","Харківська область","дошкільний навчальний заклад 363, к.1
вул.Дружби Народів, 234А, м.Харків, 61183","2328","1161","2310","3","1164","3","1167","","0","1164","3","1167","33","1134","274","242","16","151","403","19","29","29.10.12"
"631524","170","Харківська область","клуб юних моряків, актова зала
вул.Уборевіча, 14А, м.Харків, 61144","2368","1369","2344","1","999","0","999","","0","998","0","998","25","973","256","185","9","158","327","10","28","29.10.12"
"631528","170","Харківська область","клінічна лікарня №2, процедурна зала
просп.Московський, 197, м.Харків, 61037","232","109","144","47","83","40","123","","0","83","40","123","12","111","11","26","3","9","52","6","4","29.10.12"
"631529","170","Харківська область","багатопрофільна лікарня №17, вестибюль
просп.Московський, 195, м.Харків, 61037","472","367","131","95","36","69","105","","0","36","69","105","3","102","13","23","0","16","46","1","3","29.10.12"
"631530","170","Харківська область","центр урології, нефрології імені В.І.Шаповала, лекційна зала
просп.Московський, 195, м.Харків, 61037","208","129","87","19","63","16","79","","0","63","16","79","7","72","12","17","0","3","37","1","2","29.10.12"
"631531","170","Харківська область","психіатрична лікарня №3, вестибюль
вул.Академіка Павлова, 46, м.Харків, 61068","1272","606","683","99","569","97","666","","0","569","97","666","116","550","87","125","35","46","185","36","36","29.10.12"
"631532","170","Харківська область","Інститут неврології, психіатрії і наркології АМН України, лекційна зала
вул.Академіка Павлова, 46, м.Харків, 61068","56","11","73","6","39","6","45","","0","39","6","45","8","37","8","6","1","7","11","3","1","28.10.12"
