"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Білоусов
Віктор
Федорович","Булатецький
Микола
Іванович","Жуковська
Валентина
Борисівна","Кондратенко
Андрій
Олександрович","Майборода
Любов
Володимирівна","Отрешко
Сергій
Володимирович","Парамонов
Віктор
Володимирович","Трофімова
Світлана
Владиславівна","Дата підписання протоколу"
"711041","194","Черкаська область","школа №10, спортивна зала
просп.Хіміків, 36, м.Черкаси, 18018","2192","991","2187","24","1180","21","1201","","0","1180","21","1201","35","1166","107","520","247","134","46","17","56","39","29.10.12"
"711042","194","Черкаська область","Черкаський обласний центр еколого-натуралістичної творчості, фойє, 2-й поверх
вул.Смілянська, 132, м.Черкаси, 18029","1864","908","1865","6","953","3","956","","0","953","3","956","23","933","64","414","191","132","33","4","65","30","29.10.12"
"711044","194","Черкаська область","Черкаський кооперативний економіко-правовий коледж, спортивна зала
вул.Смілянська, 92, м.Черкаси, 18008","1728","880","1736","19","833","15","848","","0","833","15","848","21","827","81","263","217","123","25","19","61","38","29.10.12"
"711049","194","Черкаська область","вечірня школа, актова зала
вул.Вернигори, 19, м.Черкаси, 18008","2216","1070","2207","22","1126","20","1146","","0","1126","20","1146","32","1114","126","438","222","142","40","34","74","38","01.11.12"
"711080","194","Черкаська область","Дитяча юнацька школа олімпійського резерву, хол адміністративного приміщення
вул.Пастерівська, 102, м.Черкаси, 18003","1920","837","1909","15","1072","11","1083","","0","1072","11","1083","14","1069","110","480","221","109","46","18","56","29","29.10.12"
"711081","194","Черкаська область","приміщення міжгалузевого промислового підприємства залізничного транспорту, актова зала, 2-й поверх
пров.Залізничний, 16, м.Черкаси, 18000","1696","884","1691","19","798","14","812","","0","798","14","812","26","786","53","345","174","113","31","13","34","23","29.10.12"
"711082","194","Черкаська область","Дитяча юнацька школа олімпійського резерву, хол адміністративного приміщення
вул.Пастерівська, 102, м.Черкаси, 18003","2384","1146","2368","7","1231","7","1238","","0","1231","7","1238","41","1197","77","606","250","144","32","13","49","26","31.10.12"
"711083","194","Черкаська область","школа №24, мала спортивна зала
вул.Бидгощська, 1, м.Черкаси, 18003","2288","1275","2276","4","1010","3","1013","","0","1010","3","1013","28","985","50","383","268","143","40","19","40","42","29.10.12"
"711084","194","Черкаська область","спеціалізована школа №20, фойє, 1-й поверх
вул.Бидгощська, 3, м.Черкаси, 18003","2056","896","2033","9","1155","5","1160","","0","1155","5","1160","29","1131","83","512","273","140","31","17","41","34","29.10.12"
"711085","194","Черкаська область","школа №24, фойє, 1-й поверх
вул.Бидгощська, 1, м.Черкаси, 18003","1576","795","1573","20","763","18","781","","0","763","18","781","24","757","67","270","226","87","21","13","46","27","29.10.12"
"711086","194","Черкаська область","спеціалізована школа №20, фойє, 2-й поверх
вул.Бидгощська, 3, м.Черкаси, 18003","1136","546","1131","8","582","8","590","","0","582","8","590","19","571","52","192","159","64","13","15","56","20","29.10.12"
"711087","194","Черкаська область","школа №2, спортивна зала
вул.Рози Люксембург, 187, м.Черкаси, 18028","2408","1331","2405","3","1075","2","1077","","0","1075","2","1077","24","1053","69","418","262","155","31","15","56","47","29.10.12"
"711088","194","Черкаська область","школа №2, актова зала
вул.Рози Люксембург, 187, м.Черкаси, 18028","2352","1231","2346","20","1101","20","1121","","0","1101","20","1121","23","1098","104","462","288","115","33","13","51","32","29.10.12"
"711089","194","Черкаська область","школа №2, спортивна зала
вул.Рози Люксембург, 187, м.Черкаси, 18028","2144","958","2122","22","1167","19","1186","","0","1167","19","1186","36","1150","125","420","278","119","37","16","86","69","30.10.12"
"711090","194","Черкаська область","гуртожиток банківського інституту, фойє, 1-й поверх
вул.Чиковані, 17, м.Черкаси, 18028","1696","804","1724","7","886","6","892","","0","886","6","892","25","867","80","296","248","131","21","9","38","44","29.10.12"
"711091","194","Черкаська область","Черкаський обласний шкірно-венерологічний диспансер, ординаторська
вул.Можайського, 50, м.Черкаси, 18009","144","115","34","1","28","1","29","","0","28","1","29","0","29","2","6","9","5","0","0","5","2","28.10.12"
"711092","194","Черкаська область","КЗ ""Черкаський міський пологовий будинок ""Центр матері та дитини"", хол жіночої консультації
вул.30-річчя Перемоги, 16/1, м.Черкаси, 18029","56","1","65","47","15","40","55","","0","15","40","55","1","54","3","28","8","5","4","0","2","4","28.10.12"
"711093","194","Черкаська область","Черкаський обласний протитуберкульозний диспансер, актова зала
вул.Диспансерна, 1, с.Геронимівка, Черкаський р-н, Черкаська обл., 19601","152","75","77","28","49","28","77","","0","49","28","77","7","70","5","8","3","4","2","14","33","1","28.10.12"
"711094","194","Черкаська область","Черкаський обласний психоневрологічний диспансер, фойє
вул.Кавказька, 229, м.Черкаси, 18001","72","29","44","0","43","0","43","","0","43","0","43","2","41","3","17","6","3","4","0","7","1","28.10.12"
"711095","194","Черкаська область","Третя Черкаська міська лікарня швидкої медичної допомоги, конференц-зала
вул.Рози Люксембург, 210, м.Черкаси, 18028","304","196","125","80","43","65","108","","0","43","65","108","2","106","8","37","24","10","10","5","7","5","28.10.12"
"711096","194","Черкаська область","Черкаська міська інфекційна лікарня, фойє
вул.Рози Люксембург, 210, м.Черкаси, 18028","24","5","25","0","19","0","19","","0","19","0","19","0","19","2","5","4","3","1","1","0","3","28.10.12"
"711097","194","Черкаська область","Перша Черкаська міська лікарня, фізіотерапевтичне відділення
вул.Дахнівська, 32, м.Черкаси, 18009","208","131","93","45","35","42","77","","0","35","42","77","1","76","10","25","20","8","4","0","6","3","31.10.12"
"711098","194","Черкаська область","Черкаська обласна лікарня, 4-й корпус
вул.Менделєєва, 3, м.Черкаси, 18009","704","164","574","131","425","115","540","","21","425","115","540","21","519","31","112","86","37","24","25","186","18","30.10.12"
"711099","194","Черкаська область","Черкаський обласний госпіталь для інвалідів ВВВ, бібліотека
вул.Ворошилова, 1, м.Черкаси, 18035","104","1","140","15","91","12","103","","0","91","12","103","7","96","21","32","6","15","5","3","11","3","28.10.12"
"711100","194","Черкаська область","Черкаський обласний онкологічний диспансер, актова зала
вул.Менделєєва, 7, м.Черкаси, 18009","104","0","204","116","74","30","104","","0","74","30","104","4","100","6","15","6","4","1","1","65","2","28.10.12"
