"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бабенко
Руслан
Володимирович","Бондаренко
Анатолій
Васильович","Гвоздь
Віктор
Михайлович","Гречаний
Борис
Павлович","Доманський
Ігор
Ростиславович","Єлізаров
Павло
Олександрович","Нечипоренко
Анатолій
Олексійович","Ничипоренко
Валентин
Миколайович","Рибченко
Олександр
Володимирович","Ружин
Зоя
Володимирівна","Терещук
Сергій
Миколайович","Фурман
Василь
Миколайович","Якібчук
Мирослав
Ілліч","Дата підписання протоколу"
"710162","199","Черкаська область","будинок культури, фойє
вул.К.Маркса, 2Б, с.Стецівка, Звенигородський р-н, Черкаська обл., 20216","1446","542","1437","71","843","61","904","","0","843","61","904","18","886","14","227","10","25","1","10","20","329","0","1","111","93","45","29.10.12"
"710163","199","Черкаська область","будинок культури, фойє
вул.Ювілейна, 34, с.Тарасівка, Звенигородський р-н, Черкаська обл., 20216","690","238","682","58","394","58","452","","0","394","58","452","5","447","12","93","5","9","3","10","13","189","1","1","52","34","25","29.10.12"
"710164","199","Черкаська область","сільський клуб, фойє
вул.Трояна, 2, с.Хлипнівка, Звенигородський р-н, Черкаська обл., 20220","420","126","426","20","277","17","294","","0","277","17","294","1","293","3","44","9","3","0","6","9","136","3","0","40","21","19","28.10.12"
"710165","199","Черкаська область","будинок культури, фойє
вул.Шевченка, 63, с.Майданівка, Звенигородський р-н, Черкаська обл., 20221","180","43","176","22","115","22","137","","0","115","22","137","1","136","4","6","5","2","0","10","2","44","0","0","17","22","24","28.10.12"
"710166","199","Черкаська область","школа, фойє
вул.Лугова, 26, с.Чемериське, Звенигородський р-н, Черкаська обл., 20263","180","48","181","11","123","9","132","","0","123","9","132","0","132","0","19","1","0","0","0","6","51","0","2","33","8","12","28.10.12"
"710167","199","Черкаська область","школа, фойє
вул.Леніна, 34, с.Чижівка, Звенигородський р-н, Черкаська обл., 20230","714","252","708","46","421","41","462","","0","421","41","462","12","450","8","83","2","10","3","5","16","175","6","5","75","42","20","28.10.12"
"710168","199","Черкаська область","школа, фойє
вул.Шостацького, 33, с.Чичиркозівка, Звенигородський р-н, Черкаська обл., 20244","540","193","527","59","294","53","347","","0","294","53","347","10","337","5","69","1","9","1","6","9","128","3","0","58","26","22","28.10.12"
"710169","199","Черкаська область","будинок культури, танцювальна зала
вул.Шевченка, 53, с.Шевченкове, Звенигородський р-н, Черкаська обл., 20214","1146","366","1136","31","750","30","780","","0","750","30","780","20","760","25","151","12","17","5","9","18","224","9","25","160","77","28","28.10.12"
"710170","199","Черкаська область","коледж, актова зала
вул.Шевченка, 74, с.Шевченкове, Звенигородський р-н, Черкаська обл., 20214","636","220","631","25","393","23","416","","0","393","23","416","8","408","12","70","5","6","6","3","9","129","2","24","80","57","5","31.10.12"
"710171","199","Черкаська область","школа, фойє
вул.Жовтнева, 152, с.Юрківка, Звенигородський р-н, Черкаська обл., 20245","1254","533","1249","59","671","50","721","","0","671","50","721","8","713","9","170","8","7","7","16","21","290","7","0","68","83","27","29.10.12"
"710172","199","Черкаська область","будинок культури, актова зала
вул.Шолохова, 5, с.Юрківка, Звенигородський р-н, Черкаська обл., 20245","1170","495","1157","43","635","40","675","","0","635","40","675","11","664","10","171","6","6","2","7","23","293","2","1","66","58","19","28.10.12"
"710173","199","Черкаська область","центральна районна лікарня, фойє
вул.Піонерська, 79, м.Звенигородка, Звенигородський р-н, Черкаська обл., 20200","192","86","113","39","72","34","106","","0","72","34","106","4","102","1","15","9","1","0","3","9","33","1","0","17","6","7","28.10.12"
"710397","199","Черкаська область","районний будинок культури, фойє
вул.Леніна, 1, смт Лисянка, Лисянський р-н, Черкаська обл., 19300","2262","954","2242","23","1285","23","1308","","0","1285","23","1308","12","1296","15","487","13","18","7","30","22","259","6","5","97","204","133","29.10.12"
"710398","199","Черкаська область","школа №1, фойє
вул.Леніна, 13, смт Лисянка, Лисянський р-н, Черкаська обл., 19300","2292","906","2272","34","1362","24","1386","","0","1362","24","1386","18","1368","18","485","16","25","5","42","11","340","11","1","87","207","120","29.10.12"
"710399","199","Черкаська область","школа №2, спортивна зала
вул.Котовського, 10, смт Лисянка, Лисянський р-н, Черкаська обл., 19300","2268","950","2236","36","1284","34","1318","","0","1284","34","1318","18","1300","16","414","16","31","2","35","13","328","10","3","147","186","99","29.10.12"
"710400","199","Черкаська область","будинок культури, зал
вул.Ястребцова, 49, с.Босівка, Лисянський р-н, Черкаська обл., 19341","594","158","583","66","374","62","436","","0","374","62","436","6","430","3","101","7","10","7","21","9","117","4","0","79","42","30","29.10.12"
"710401","199","Черкаська область","сільський клуб, фойє
вул.Шкільна, 27, с.Товсті Роги, Лисянський р-н, Черкаська обл., 19341","90","18","86","10","63","9","72","","0","63","9","72","0","72","0","13","1","8","0","5","3","26","1","0","8","0","7","28.10.12"
"710402","199","Черкаська область","будинок культури, танцювальний зал
вул.50-річчя Перемоги, 61, с.Боярка, Лисянський р-н, Черкаська обл., 19311","504","146","502","56","304","54","358","","0","304","54","358","5","353","3","52","5","8","1","6","10","123","0","0","101","13","31","28.10.12"
"710405","199","Черкаська область","будинок культури, зал
вул.Жовтнева, 9, с.Бужанка, Лисянський р-н, Черкаська обл., 19333","1254","440","1240","90","746","68","814","","0","746","68","814","18","796","8","145","3","32","2","70","25","289","4","1","45","125","47","29.10.12"
"710406","199","Черкаська область","школа, фойє
вул.Леніна, 44, с.Виноград, Лисянський р-н, Черкаська обл., 19340","828","237","812","55","537","54","591","","0","537","54","591","9","582","7","78","3","42","5","81","17","157","7","0","79","66","40","29.10.12"
"710407","199","Черкаська область","школа, їдальня
пров.Весняний, 9, с.Вотилівка, Лисянський р-н, Черкаська обл., 19314","534","180","527","39","315","39","354","","0","315","39","354","8","346","3","33","0","16","5","8","10","193","2","0","32","26","18","29.10.12"
"710408","199","Черкаська область","сільська рада, зал
вул.Ювілейна, 30, с.Дашуківка, Лисянський р-н, Черкаська обл., 19330","306","57","316","31","219","30","249","","0","219","30","249","2","247","3","44","1","14","1","7","6","93","1","0","46","22","9","29.10.12"
"710409","199","Черкаська область","сільський клуб, зал
вул.Центральна, 3, с.Дібрівка, Лисянський р-н, Черкаська обл., 19326","162","35","158","18","111","16","127","","0","111","16","127","2","125","2","13","2","2","0","7","7","66","0","1","16","3","6","30.10.12"
"710410","199","Черкаська область","сільський клуб, зал
вул.Черняховського, 1, с.Жаб’янка, Лисянський р-н, Черкаська обл., 19334","342","77","339","34","231","34","265","","0","231","34","265","7","258","4","39","4","27","1","14","6","100","1","0","15","12","35","30.10.12"
"710413","199","Черкаська область","школа, спортивна зала
вул.Шкільна, 1, с.Кам’яний Брід, Лисянський р-н, Черкаська обл., 19331","648","152","639","47","450","46","496","","0","450","46","496","5","491","8","72","2","5","2","37","12","202","1","1","86","45","18","29.10.12"
"710414","199","Черкаська область","будинок культури, фойє
вул.Шкільна, 1, с-ще Мар’янівка, Лисянський р-н, Черкаська обл., 19344","294","124","291","8","164","6","170","","0","164","6","170","9","161","3","28","1","0","0","5","2","66","2","0","10","33","11","28.10.12"
"710415","199","Черкаська область","сільський клуб, фойє
вул.Ватутіна, 60, с.Розкошівка, Лисянський р-н, Черкаська обл., 19344","276","78","273","17","181","17","198","","0","181","17","198","6","192","5","41","1","5","0","10","7","44","3","0","20","28","28","30.10.12"
"710416","199","Черкаська область","школа, актова зала
вул.ім.Шевченка, 92, с.Петрівка-Попівка, Лисянський р-н, Черкаська обл., 19313","156","18","166","9","129","9","138","","0","129","9","138","3","135","0","15","0","4","0","6","4","73","0","1","24","5","3","28.10.12"
"710417","199","Черкаська область","сільський клуб, зал
вул.Медвинська, 1А, с.Писарівка, Лисянський р-н, Черкаська обл., 19310","150","36","149","4","110","4","114","","0","110","4","114","3","111","0","53","0","1","0","5","2","22","1","0","10","8","9","28.10.12"
"710418","199","Черкаська область","будинок культури, фойє
вул.Слави, 34, с.Погибляк, Лисянський р-н, Черкаська обл., 19315","276","53","276","25","202","21","223","","0","202","21","223","5","218","7","18","0","10","2","10","8","102","0","1","13","24","23","28.10.12"
"710419","199","Черкаська область","сільський клуб, фойє
вул.Лісова, 15, с-ще Дубина, Лисянський р-н, Черкаська обл., 19315","42","12","36","6","24","6","30","","0","24","6","30","1","29","1","11","0","3","0","0","0","7","0","0","0","3","4","28.10.12"
"710422","199","Черкаська область","сільський клуб, зал
вул.Леніна, 7, с.Ріпки, Лисянський р-н, Черкаська обл., 19332","384","106","380","29","255","23","278","","0","255","23","278","4","274","3","92","1","9","0","6","7","68","1","0","51","15","21","28.10.12"
"710423","199","Черкаська область","сільський клуб, фойє
вул.Леніна, 13, с.Рубаний Міст, Лисянський р-н, Черкаська обл., 19343","258","52","264","29","178","28","206","","0","178","28","206","5","201","0","14","1","2","0","3","8","103","9","0","35","14","12","28.10.12"
"710424","199","Черкаська область","будинок культури, зал
вул.Слави, 48, с.Семенівка, Лисянський р-н, Черкаська обл., 19315","240","48","239","24","168","24","192","","0","168","24","192","2","190","1","32","0","0","1","13","8","90","0","0","31","11","3","29.10.12"
"710425","199","Черкаська область","школа, фойє
вул.Леніна, 46А, с.Смільчинці, Лисянський р-н, Черкаська обл., 19310","444","138","431","25","284","22","306","","0","284","22","306","5","301","5","78","2","11","3","5","5","133","0","1","33","10","15","29.10.12"
"710426","199","Черкаська область","сільський клуб, зал
вул.Пролетарська, 47А, с.Ганжалівка, Лисянський р-н, Черкаська обл., 19325","138","35","136","19","85","18","103","","0","85","18","103","4","99","0","35","0","0","0","0","1","42","0","0","17","1","3","31.10.12"
"710427","199","Черкаська область","сільський клуб, зал
вул.Євстігнєєва, 25, с.Тихонівка, Лисянський р-н, Черкаська обл., 19335","204","43","198","9","152","9","161","","0","152","9","161","6","155","0","10","3","2","2","12","3","90","0","0","19","12","2","03.11.12"
"710428","199","Черкаська область","будинок культури, зал
вул.Мереняшева, 80А, с.Федюківка, Лисянський р-н, Черкаська обл., 19312","408","110","405","46","256","42","298","","0","256","42","298","6","292","4","71","3","5","2","7","0","91","0","0","44","24","41","28.10.12"
"710429","199","Черкаська область","школа, спортивна зала
вул.Леніна, 7А, с.Хижинці, Лисянський р-н, Черкаська обл., 19320","504","179","507","40","289","36","325","","0","289","36","325","6","319","7","82","14","3","3","5","9","137","1","2","28","26","2","28.10.12"
"710430","199","Черкаська область","сільський клуб, зал
вул.Кооперативна, 49, с.Чеснівка, Лисянський р-н, Черкаська обл., 19320","96","24","91","10","64","8","72","","0","64","8","72","3","69","0","15","2","1","0","7","1","25","0","0","8","7","3","30.10.12"
"710431","199","Черкаська область","будинок культури, зал
вул.Леніна, 57, с.Чаплинка, Лисянський р-н, Черкаська обл., 19310","468","99","464","53","317","52","369","","0","317","52","369","6","363","1","61","6","7","0","16","15","161","0","0","62","19","15","28.10.12"
"710432","199","Черкаська область","сільський клуб, фойє
вул.50-річчя Перемоги, 35, с.Шушківка, Лисянський р-н, Черкаська обл., 19310","60","3","61","7","50","7","57","","0","50","7","57","1","56","2","10","0","0","0","3","4","20","0","0","13","3","1","28.10.12"
"710434","199","Черкаська область","будинок культури, зал
вул.Свердлова, 1Г, с.Шубині Стави, Лисянський р-н, Черкаська обл., 19342","510","122","501","39","349","39","388","","0","349","39","388","3","385","6","69","2","4","0","12","6","168","6","0","52","16","44","29.10.12"
"710435","199","Черкаська область","школа, спортивна зала
вул.Шевченка, 9, с.Яблунівка, Лисянський р-н, Черкаська обл., 19335","414","103","413","25","286","25","311","","0","286","25","311","4","307","3","50","2","6","6","66","4","108","0","0","28","18","16","29.10.12"
"710436","199","Черкаська область","будинок культури, фойє
вул.Гагаріна, 1, смт Буки, Маньківський р-н, Черкаська обл., 20114","1512","621","1498","124","811","80","891","","0","811","80","891","21","870","4","263","26","51","1","59","15","215","4","2","105","109","16","30.10.12"
"710437","199","Черкаська область","будинок культури, фойє
вул.Шевченка, 22, смт Маньківка, Маньківський р-н, Черкаська обл., 20100","2106","820","2086","13","1275","11","1286","","0","1275","11","1286","16","1270","7","395","25","53","3","212","20","194","13","2","165","126","55","29.10.12"
"710438","199","Черкаська область","школа мистецтв, фойє
вул.Щорса, 20, смт Маньківка, Маньківський р-н, Черкаська обл., 20100","1668","704","1660","14","953","11","964","","0","953","11","964","15","949","13","326","16","30","5","137","22","131","1","2","117","97","52","29.10.12"
"710439","199","Черкаська область","школа-гімназія, фойє
вул.Леніна, 56, смт Маньківка, Маньківський р-н, Черкаська обл., 20100","2040","856","2024","27","1162","22","1184","","0","1162","22","1184","14","1170","6","386","23","50","1","201","13","158","7","3","130","118","74","29.10.12"
"710440","199","Черкаська область","районна лікарня, актовий зал
вул.Павлова, 16, смт Маньківка, Маньківський р-н, Черкаська обл., 20100","918","309","924","30","586","23","609","","0","586","23","609","5","604","4","209","8","25","3","97","13","75","6","1","76","63","24","29.10.12"
"710441","199","Черкаська область","будинок культури, фойє
вул.Жовтнева, 27, смт Маньківка, Маньківський р-н, Черкаська обл., 20100","348","110","354","36","202","36","238","","0","202","36","238","8","230","3","89","4","10","0","17","6","54","1","0","28","7","11","29.10.12"
"710442","199","Черкаська область","будинок культури, танцювальний зал
вул.Шевченка, 39, с.Багва, Маньківський р-н, Черкаська обл., 20112","450","131","446","24","295","24","319","","0","295","24","319","4","315","3","48","3","11","1","31","6","94","0","1","65","20","32","29.10.12"
"710443","199","Черкаська область","сільська рада, каб.2
вул.Леніна, 61, с.Березівка, Маньківський р-н, Черкаська обл., 20116","384","120","385","50","217","47","264","","0","217","47","264","3","261","1","59","14","10","0","41","7","31","1","1","65","11","20","29.10.12"
"710444","199","Черкаська область","будинок культури, фойє
вул.Леніна, 2А, с.Вікторівка, Маньківський р-н, Черкаська обл., 20144","888","228","886","69","598","62","660","","0","598","62","660","15","645","9","156","12","28","3","73","8","104","1","1","82","48","120","28.10.12"
"710445","199","Черкаська область","будинок культури, каб.1
вул.Центральна, 6, с.Дзензелівка, Маньківський р-н, Черкаська обл., 20141","1254","412","1246","76","768","74","842","","0","768","74","842","19","823","5","274","10","31","5","66","26","262","1","0","62","43","38","29.10.12"
"710446","199","Черкаська область","будинок культури, фойє
вул.Червоноармійська, 51, с.Добра, Маньківський р-н, Черкаська обл., 20142","660","177","655","50","433","50","483","","0","433","50","483","15","468","4","123","10","29","4","39","17","127","1","0","75","21","18","29.10.12"
"710447","199","Черкаська область","будинок культури цукрового заводу, фойє
вул.Заводська, 2, с.Іваньки, Маньківський р-н, Черкаська обл., 20132","1086","436","1071","17","634","16","650","","0","634","16","650","18","632","7","147","9","21","1","230","9","112","1","1","43","22","29","29.10.12"
"710448","199","Черкаська область","школа, фойє
вул.Леніна, 6, с.Іваньки, Маньківський р-н, Черкаська обл., 20132","1092","385","1076","33","675","32","707","","0","675","32","707","14","693","8","113","14","49","4","223","11","106","4","3","58","55","45","29.10.12"
"710449","199","Черкаська область","адмінприміщення, каб.2
вул.Леніна, 19, с.Тимошівка, Маньківський р-н, Черкаська обл., 20131","174","40","166","9","125","9","134","","0","125","9","134","0","134","1","18","3","16","0","20","1","13","0","0","2","12","48","28.10.12"
"710450","199","Черкаська область","будинок культури, фойє
вул.Шевченка, 31, с.Кислин, Маньківський р-н, Черкаська обл., 20110","348","111","344","36","204","33","237","","0","204","33","237","2","235","3","49","5","8","2","19","6","80","0","0","24","31","8","29.10.12"
"710451","199","Черкаська область","будинок культури, фойє
вул.Генерала Андрія Дрофи, 49, с.Кищенці, Маньківський р-н, Черкаська обл., 20121","666","157","677","62","452","57","509","","0","452","57","509","20","489","4","153","15","17","2","47","11","113","1","2","55","35","34","29.10.12"
"710452","199","Черкаська область","будинок культури, актовий зал
вул.Леніна, 2А, с.Крачківка, Маньківський р-н, Черкаська обл., 20123","534","150","528","46","338","46","384","","0","338","46","384","6","378","2","162","5","19","0","53","8","63","2","0","26","19","19","29.10.12"
"710453","199","Черкаська область","будинок культури, фойє
вул.Леніна, 21, с.Кривець, Маньківський р-н, Черкаська обл., 20115","516","197","510","7","313","6","319","","0","313","6","319","6","313","7","83","6","7","0","37","5","76","0","0","50","24","18","28.10.12"
"710454","199","Черкаська область","будинок культури, фойє
вул.Перемоги, 1, с.Кути, Маньківський р-н, Черкаська обл., 20113","318","71","318","34","215","32","247","","0","215","32","247","2","245","1","36","5","12","1","18","5","89","0","1","45","14","18","28.10.12"
"710455","199","Черкаська область","будинок культури, фойє
вул.Леніна, 1А, с.Молодецьке, Маньківський р-н, Черкаська обл., 20146","1272","412","1266","44","823","37","860","","0","823","37","860","21","839","14","192","25","36","5","65","18","163","2","2","149","139","29","28.10.12"
"710456","199","Черкаська область","будинок культури, фойє
вул.Леніна, 6, с.Нестерівка, Маньківський р-н, Черкаська обл., 20140","618","222","612","60","337","59","396","","0","337","59","396","10","386","5","96","13","26","2","22","16","127","2","1","38","28","10","28.10.12"
"710457","199","Черкаська область","ОТ ""Дивокрай"", фойє
вул.Шевченка, 90, с.Паланочка, Маньківський р-н, Черкаська обл., 20133","300","85","301","12","206","9","215","","0","206","9","215","4","211","2","30","7","67","1","12","3","35","3","0","24","16","11","28.10.12"
"710458","199","Черкаська область","сільська рада, актовий зал
вул.Урицького, 7А, с.Подібна, Маньківський р-н, Черкаська обл., 20143","684","195","675","58","438","51","489","","0","438","51","489","3","486","11","111","6","10","2","49","16","169","1","1","49","27","34","29.10.12"
"710459","199","Черкаська область","будинок культури, актовий зал
вул.Шевченка, 1, с.Попівка, Маньківський р-н, Черкаська обл., 20120","528","187","523","36","308","33","341","","0","308","33","341","8","333","1","61","14","15","2","78","5","60","0","1","52","27","17","29.10.12"
"710460","199","Черкаська область","школа, фойє
вул.Зінчук, 75, с.Поташ, Маньківський р-н, Черкаська обл., 20109","1014","382","999","48","595","37","632","","0","595","37","632","10","622","12","150","12","28","4","63","13","130","4","1","78","56","71","29.10.12"
"710461","199","Черкаська область","будинок культури, танцювальний зал
вул.Кірова, 48А, с.Роги, Маньківський р-н, Черкаська обл., 20145","738","198","744","34","506","34","540","","0","506","34","540","7","533","7","109","5","27","1","56","10","157","0","1","97","21","42","28.10.12"
"710462","199","Черкаська область","будинок культури, фойє
вул.Шевченка, 51, с.Русалівка, Маньківський р-н, Черкаська обл., 20111","438","130","436","47","264","44","308","","0","264","44","308","6","302","2","80","8","19","0","72","6","33","0","2","21","50","9","31.10.12"
"710463","199","Черкаська область","будинок культури, фойє
вул.Леніна, 5, с.Харківка, Маньківський р-н, Черкаська обл., 20130","324","77","324","26","223","24","247","","0","223","24","247","4","243","3","51","4","2","0","33","6","84","1","0","39","10","10","28.10.12"
"710464","199","Черкаська область","сільський клуб, актовий зал
вул.Ватутіна, 54А, с.Мала Маньківка, Маньківський р-н, Черкаська обл., 20131","126","18","130","5","103","5","108","","0","103","5","108","1","107","1","10","0","7","0","18","1","40","0","0","15","3","12","28.10.12"
"710465","199","Черкаська область","адміністративний будинок, актовий зал
вул.Шевченка, 83, с.Чорна Кам’янка, Маньківський р-н, Черкаська обл., 20122","630","193","626","55","391","46","437","","0","391","46","437","8","429","8","123","11","50","5","63","4","75","2","0","64","11","13","30.10.12"
"710466","199","Черкаська область","сільський клуб, фойє
вул.Леніна, 23, с.Юрпіль, Маньківський р-н, Черкаська обл., 20122","78","22","72","14","44","12","56","","0","44","12","56","1","55","0","5","0","1","0","9","1","17","1","0","8","9","4","28.10.12"
"710548","199","Черкаська область","дитячий садочок ""Берізка"", музична зала, 2-й поверх
вул.1-го Травня, 59, м.Тальне, Тальнівський р-н, Черкаська обл., 20400","684","301","675","7","376","7","383","","0","376","7","383","7","376","4","111","7","10","1","9","8","76","0","0","79","51","20","29.10.12"
"710549","199","Черкаська область","дитячий садочок ""Світлячок"", музична зала, 2-й поверх
вул.Вільних Козаків, 83А, м.Тальне, Тальнівський р-н, Черкаська обл., 20400","522","229","510","11","284","9","293","","0","284","9","293","9","284","0","94","2","8","0","9","6","48","4","1","50","42","20","31.10.12"
"710550","199","Черкаська область","загальноосвітня школа №2, фойє, 1-й поверх
вул.Майданецька, 1, м.Тальне, Тальнівський р-н, Черкаська обл., 20400","1260","445","1236","11","807","8","815","","0","807","8","815","16","799","9","223","10","29","4","31","21","104","20","1","171","155","21","29.10.12"
"710551","199","Черкаська область","дитячий садочок ""Ромашка"", музична зала, 1-й поверх
вул.Майданецька, 15, м.Тальне, Тальнівський р-н, Черкаська обл., 20400","1278","493","1273","9","777","8","785","","0","777","8","785","12","773","4","265","20","9","0","48","1","139","13","3","129","123","19","29.10.12"
"710552","199","Черкаська область","Тальнівський будівельно-економічний коледж УДАУ, ауд.101, 1-й поверх
вул.Радянська, 93, м.Тальне, Тальнівський р-н, Черкаська обл., 20400","858","306","853","4","548","4","552","","0","548","4","552","11","541","5","167","3","16","2","25","11","97","5","2","93","101","14","31.10.12"
"710553","199","Черкаська область","дитячий садочок ""Струмочок"", музична зала, 1-й поверх
вул.Самойлова, 2, м.Тальне, Тальнівський р-н, Черкаська обл., 20400","744","266","741","47","451","27","478","","0","451","27","478","8","470","2","156","9","16","2","34","4","109","5","0","63","61","9","29.10.12"
"710554","199","Черкаська область","ветеринарна лікарня, фойє, 1-й поверх
вул.Котовського, 58, м.Тальне, Тальнівський р-н, Черкаська обл., 20400","882","342","864","11","530","10","540","","0","530","10","540","7","533","5","132","10","17","3","36","11","149","4","1","74","78","13","28.10.12"
"710555","199","Черкаська область","школа-інтернат, фойє, 1-й поверх
вул.Соборна, 144, м.Тальне, Тальнівський р-н, Черкаська обл., 20400","840","318","832","3","519","3","522","","0","519","3","522","12","510","5","131","4","35","1","37","9","113","5","2","86","69","13","29.10.12"
"710556","199","Черкаська область","районний будинок дітей та юнацтва, групова кімната, 1-й поверх
вул.Соборна, 120, м.Тальне, Тальнівський р-н, Черкаська обл., 20400","696","234","704","5","457","5","462","","0","457","5","462","8","454","4","114","13","14","0","28","7","136","4","0","59","67","8","29.10.12"
"710557","199","Черкаська область","загальноосвітня школа №1, фойє, 1-й поверх
вул.Попова-Гертлейна, 15, м.Тальне, Тальнівський р-н, Черкаська обл., 20400","600","226","603","5","371","3","374","","0","371","3","374","7","367","7","112","6","19","0","17","6","43","4","0","80","63","10","30.10.12"
"710558","199","Черкаська область","дит. садочок "" Золотий ключик"", музична зала, 2-й поверх
пров.Зелений, 3, м.Тальне, Тальнівський р-н, Черкаська обл., 20400","468","136","478","4","329","3","332","","0","329","3","332","2","330","1","105","3","11","1","7","2","80","2","2","41","72","3","29.10.12"
"710559","199","Черкаська область","клуб ПСП ім. Чкалова, актова зала
вул.Незалежності, 1Б, м.Тальне, Тальнівський р-н, Черкаська обл., 20400","1332","498","1317","7","828","6","834","","0","828","6","834","21","813","15","264","7","16","6","34","14","175","14","0","134","105","29","31.10.12"
"710560","199","Черкаська область","ТОВ ""Інтерагросс"", актова зала
вул.Вокзальна, 107, м.Тальне, Тальнівський р-н, Черкаська обл., 20400","720","299","712","4","418","3","421","","0","418","3","421","8","413","1","113","1","16","1","37","10","57","3","2","80","67","25","29.10.12"
"710561","199","Черкаська область","дитячий садочок ""Сонечко"", музична зала, 1-й поверх
вул.Толстого, 5А, м.Тальне, Тальнівський р-н, Черкаська обл., 20400","534","211","536","2","321","2","323","","0","321","2","323","4","319","4","84","6","8","0","15","9","83","6","0","60","37","7","28.10.12"
