"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Ващенок
Вадим
Володимирович","Гнатовський
Володимир
Євгенійович","Дикун
Андрій
Євгенович","Карчевська
Алла
Олександрівна","Костенко
Павло
Іванович","Кучер
Галина
Михайлівна","Наконечний
Микола
Петрович","Поляков
Максим
Анатолійович","Ратушний
Микола
Семенович","Роєнко
Віктор
Григорович","Хмельницький
Богдан
Станіславович","Яценко
Антон
Володимирович","Дата підписання протоколу"
"710632","200","Черкаська область","будинок культури, фойє клубу
вул.Центральна, 2, с-ще Політвідділовець, Уманський р-н, Черкаська обл., 20384","120","30","116","5","85","5","90","","0","85","5","90","2","88","1","1","6","0","2","3","0","18","2","0","0","55","29.10.12"
"710633","200","Черкаська область","школа, фойє
вул.Радянська, 3, с.Рижавка, Уманський р-н, Черкаська обл., 20381","690","184","678","61","448","58","506","","0","448","58","506","17","489","2","0","40","0","19","10","7","130","3","6","1","271","29.10.12"
"710634","200","Черкаська область","бувший дитячий садок, актовий зал
вул.Жовтневої революції, 32, с.Рогова, Уманський р-н, Черкаська обл., 20363","354","88","346","27","243","23","266","","0","243","23","266","5","261","0","0","28","0","6","5","3","91","2","8","1","117","29.10.12"
"710635","200","Черкаська область","будинок культури, фойє клубу
вул.Київська, 97, с.Родниківка, Уманський р-н, Черкаська обл., 20324","1362","539","1368","23","805","18","823","","0","805","18","823","14","809","2","3","146","5","73","24","144","196","10","8","6","192","28.10.12"
"710636","200","Черкаська область","будинок культури, зал урочистих подій
вул.Київська, 97, с.Родниківка, Уманський р-н, Черкаська обл., 20324","1470","562","1445","25","886","22","908","","0","886","22","908","20","888","6","1","126","2","60","40","116","216","11","7","9","294","29.10.12"
"710637","200","Черкаська область","будинок культури, зал урочистих подій
вул.Леніна, 4-А, с.Ропотуха, Уманський р-н, Черкаська обл., 20375","492","127","493","35","333","32","365","","0","333","32","365","10","355","1","2","26","0","61","9","25","46","2","107","2","74","29.10.12"
"710638","200","Черкаська область","будинок культури, зал урочистих подій
вул.Крупської, 11А, с.Свинарка, Уманський р-н, Черкаська обл., 20351","252","37","245","34","181","34","215","","0","181","34","215","5","210","0","0","12","0","7","5","5","36","0","7","0","138","29.10.12"
"710639","200","Черкаська область","будинок культури, зал урочистих подій
вул.Леніна, 15, с.Собківка, Уманський р-н, Черкаська обл., 20352","636","178","632","60","398","60","458","","0","398","60","458","17","441","0","0","29","5","40","14","24","103","1","7","8","210","01.11.12"
"710640","200","Черкаська область","будинок культури, зал урочистих подій
вул.Шевченка, 2, с.Старі Бабани, Уманський р-н, Черкаська обл., 20330","1242","439","1235","73","739","64","803","","0","739","64","803","16","787","10","0","66","3","54","31","50","278","9","11","5","270","30.10.12"
"710641","200","Черкаська область","будинок культури, зал урочистих подій
пров.Шкільний, 7, с.Степківка, Уманський р-н, Черкаська обл., 20354","276","81","273","37","164","31","195","","0","164","31","195","5","190","1","1","15","0","11","14","32","10","1","9","0","96","29.10.12"
"710642","200","Черкаська область","будинок культури, малий зал
вул.Леніна, 53, с.Сушківка, Уманський р-н, Черкаська обл., 20353","888","271","887","51","570","47","617","","0","570","47","617","18","599","9","2","64","5","49","17","70","116","9","19","5","234","29.10.12"
"710643","200","Черкаська область","будинок культури, кабінет директора
вул.Жовтнева, 15, с.Заячківка, Уманський р-н, Черкаська обл., 20353","144","41","143","13","93","10","103","","0","93","10","103","1","102","8","1","15","0","5","6","15","16","0","2","0","34","29.10.12"
"710644","200","Черкаська область","сільська рада, актовий зал
вул.Свердлова, 9, с.Танське, Уманський р-н, Черкаська обл., 20334","642","182","632","40","426","34","460","","0","426","34","460","7","453","0","0","37","2","59","24","27","65","3","8","3","225","30.10.12"
"710645","200","Черкаська область","будинок культури, обрядовий зал
вул.Перемоги, 3, с.Текуча, Уманський р-н, Черкаська обл., 20380","744","218","733","54","473","53","526","","0","473","53","526","12","514","4","0","31","2","71","17","28","91","9","25","1","235","29.10.12"
"710646","200","Черкаська область","будинок культури, обрядовий зал
вул.Леніна, 26, с.Томашівка, Уманський р-н, Черкаська обл., 20344","444","95","447","42","309","40","349","","0","309","40","349","11","338","5","0","41","2","36","5","38","69","3","7","1","131","30.10.12"
"710647","200","Черкаська область","будинок культури, фойє клубу
вул.Леніна, 6, с.Фурманка, Уманський р-н, Черкаська обл., 20371","360","82","353","14","266","12","278","","0","266","12","278","3","275","10","0","21","0","33","6","10","18","1","25","1","150","29.10.12"
"710648","200","Черкаська область","будинок культури, зал урочистих подій
вул.Благовісна, 30, с.Черповоди, Уманський р-н, Черкаська обл., 20370","534","133","525","55","350","51","401","","0","350","51","401","12","389","3","0","14","2","55","12","11","49","6","7","4","226","28.10.12"
"710649","200","Черкаська область","будинок культури, зал урочистих подій
вул.Котовського, 1А, с.Шарин, Уманський р-н, Черкаська обл., 20346","396","85","400","24","288","23","311","","0","288","23","311","12","299","1","1","16","1","34","6","13","53","6","18","1","149","29.10.12"
"710650","200","Черкаська область","будинок культури, зал урочистих подій
вул.Леніна, 110Б, с.Юрківка, Уманський р-н, Черкаська обл., 20372","684","177","682","79","433","74","507","","0","433","74","507","12","495","0","0","60","3","40","14","44","156","3","11","3","161","29.10.12"
"710651","200","Черкаська область","будинок культури, читальний зал
пл.Леніна, 3, с.Ятранівка, Уманський р-н, Черкаська обл., 20361","666","202","655","40","425","39","464","","0","425","39","464","8","456","4","2","31","3","50","13","67","43","6","4","7","226","29.10.12"
"710652","200","Черкаська область","виправна колонія, клас службової підготовки
СВК-92, вул.Шевченка, с.Старі Бабани, Уманський р-н, Черкаська обл., 20330","1320","52","1270","0","1268","0","1268","","0","1268","0","1268","79","1189","16","1","14","21","34","22","23","67","5","9","39","938","30.10.12"
"710653","200","Черкаська область","Будинок дитячої та юнацької творчості, актовий зал
вул.Першотравнева, 54, м.Христинівка, Христинівський р-н, Черкаська обл., 20000","2400","911","2392","15","1475","14","1489","","0","0","0","1488","25","1463","1","0","43","1","40","17","1158","96","4","29","3","71","02.11.12"
"710654","200","Черкаська область","Будинок культури, фойє
вул.Шевченка, 9, м.Христинівка, Христинівський р-н, Черкаська обл., 20000","2364","1016","2350","56","1304","44","1348","","0","1304","44","1348","10","1338","0","1","40","1","32","18","1063","106","3","20","2","52","01.11.12"
"710655","200","Черкаська область","школа №1, малий спортивний зал
вул.К.Маркса, 7, м.Христинівка, Христинівський р-н, Черкаська обл., 20000","2046","874","2035","45","1141","31","1172","","0","1141","31","1172","16","1156","3","1","28","0","22","10","946","77","3","27","1","38","30.10.12"
"710656","200","Черкаська область","бар ""Принцип"", великий зал
вул.Леніна, 89, м.Христинівка, Христинівський р-н, Черкаська обл., 20000","2340","965","2336","23","1357","18","1375","","0","1357","18","1375","20","1355","2","0","28","2","48","10","1067","114","6","34","0","44","29.10.12"
"710657","200","Черкаська область","Будинок культури, зал
вул.Леніна, 4, смт Верхнячка, Христинівський р-н, Черкаська обл., 20022","1308","530","1293","49","743","35","778","","0","743","35","778","22","756","2","1","19","0","17","4","460","119","1","21","1","111","29.10.12"
"710658","200","Черкаська область","школа №2, фойє
вул.Шкільна, 4, смт Верхнячка, Христинівський р-н, Черкаська обл., 20022","852","305","860","23","529","18","547","","0","529","18","547","18","529","2","1","18","2","12","7","322","60","3","6","0","96","29.10.12"
"710659","200","Черкаська область","Будинок культури, зал
вул.Черняховського, 4, смт Верхнячка, Христинівський р-н, Черкаська обл., 20022","1032","373","1026","28","634","25","659","","0","634","25","659","22","637","1","4","22","2","17","10","364","72","1","11","1","132","28.10.12"
"710660","200","Черкаська область","школа, спортзал
вул.Леніна, 25, с.Ботвинівка, Христинівський р-н, Черкаська обл., 20010","252","73","246","23","160","19","179","","0","160","19","179","3","176","0","1","5","1","3","1","71","10","0","14","1","69","28.10.12"
"710661","200","Черкаська область","контора, фойє
вул.Жовтнева, 5, с.Гребля, Христинівський р-н, Черкаська обл., 20010","120","36","117","2","82","2","84","","0","82","2","84","1","83","0","0","1","1","0","0","35","3","0","0","6","37","29.10.12"
"710662","200","Черкаська область","Центральний Будинок культури, зал
вул.Дзержинського, 20, с.Велика Севастянівка, Христинівський р-н, Черкаська обл., 20045","1038","430","1023","58","559","49","608","","0","559","49","608","11","597","4","5","70","3","53","11","218","81","2","10","4","136","29.10.12"
"710663","200","Черкаська область","Сільський клуб, зал
вул.Леніна, 97А, с.Велика Севастянівка, Христинівський р-н, Черкаська обл., 20045","942","401","930","27","515","26","541","","0","515","26","541","14","527","6","1","38","3","37","9","223","82","2","20","3","103","28.10.12"
"710664","200","Черкаська область","Сільська рада, фойє
вул.Леніна, 1, с.Вербувата, Христинівський р-н, Черкаська обл., 20020","294","78","295","32","187","29","216","","0","187","29","216","3","213","1","0","12","0","3","3","81","24","3","4","1","81","29.10.12"
"710665","200","Черкаська область","Контора СТОВ ""Верхнячка-АГРО"", фойє
вул.Центральна, 4А, с.Багачівка, Христинівський р-н, Черкаська обл., 20021","102","20","104","11","74","8","82","","0","74","8","82","0","82","1","0","3","0","4","1","33","6","0","2","0","32","28.10.12"
"710666","200","Черкаська область","школа, спортзал
вул.Свердлова, 1А, с.Заячківка, Христинівський р-н, Черкаська обл., 20043","432","79","435","42","312","41","353","","0","312","41","353","6","347","0","2","11","0","15","0","122","10","0","11","0","176","28.10.12"
"710667","200","Черкаська область","Сільський клуб, зал
вул.Південна, 63, с.Зоряне, Христинівський р-н, Черкаська обл., 20012","168","28","166","16","125","15","140","","0","125","15","140","2","138","0","0","12","1","6","1","32","36","0","2","0","48","29.10.12"
"710668","200","Черкаська область","адмінбудинок, фойє
вул.Леніна, 1, с.Івангород, Христинівський р-н, Черкаська обл., 20040","828","320","824","59","454","54","508","","0","454","54","508","18","490","0","1","30","3","63","19","150","80","4","14","0","126","29.10.12"
"710669","200","Черкаська область","школа, спортзал
вул.Леніна, 8, с.Кузьмина Гребля, Христинівський р-н, Черкаська обл., 20051","918","246","915","53","625","47","672","","0","625","47","672","18","654","1","1","36","3","22","12","181","105","3","36","2","252","29.10.12"
"710670","200","Черкаська область","Школа, актовий зал
вул.Леніна,37А, с.Ліщинівка, Христинівський р-н, Черкаська обл., 20013","528","152","535","71","305","71","376","","0","305","71","376","7","369","0","0","10","2","27","2","123","56","2","6","0","141","28.10.12"
"710671","200","Черкаська область","Будинок культури, зал
вул.Українська, 56А, с.Мала Севастянівка, Христинівський р-н, Черкаська обл., 20030","432","119","431","46","271","42","313","","0","271","42","313","2","311","0","1","9","1","15","5","213","18","2","2","0","45","29.10.12"
"710672","200","Черкаська область","ФАП, фойє
вул.Ватутіна, 6А, с.Козаче, Христинівський р-н, Черкаська обл., 20030","180","34","177","23","123","23","146","","0","123","23","146","3","143","0","0","5","0","3","0","80","3","0","0","1","51","29.10.12"
"710673","200","Черкаська область","Приміщення їдальні, зал
вул.Робітнича, 1А, с-ще Іванівка, Христинівський р-н, Черкаська обл., 20000","252","70","249","2","180","2","182","","0","180","2","182","4","178","0","1","4","2","3","1","107","13","0","7","0","40","30.10.12"
"710674","200","Черкаська область","школа, спортзал
вул.Калініна, 152, с.Осітна, Христинівський р-н, Черкаська обл., 20052","522","159","510","29","343","20","363","","0","343","20","363","11","352","3","1","29","1","18","3","68","44","2","4","1","178","29.10.12"
"710675","200","Черкаська область","адмінбудинок, фойє
вул.Першотравнева, 6А, с.Орадівка, Христинівський р-н, Черкаська обл., 20034","714","181","699","55","486","47","533","","0","486","47","533","6","527","0","0","21","3","30","9","336","22","6","13","5","82","29.10.12"
"710676","200","Черкаська область","Школа, спортзал
вул.Леніна,1, с.Пеніжкове, Христинівський р-н, Черкаська обл., 20025","384","92","392","28","267","25","292","","0","267","25","292","5","287","1","0","11","1","12","5","112","19","0","6","0","120","28.10.12"
"710677","200","Черкаська область","школа, спортзал
вул.Комінтерна, 100, с.Розсішки, Христинівський р-н, Черкаська обл., 20033","1008","309","1000","52","651","48","699","","0","651","48","699","13","686","5","0","44","5","17","8","322","47","1","58","4","175","29.10.12"
"710678","200","Черкаська область","Сільський клуб, зал
вул.Першотравнева, 30, с.Веселівка, Христинівський р-н, Черкаська обл., 20032","300","94","299","24","186","20","206","","0","186","20","206","3","203","1","1","14","0","4","3","89","24","0","13","1","53","29.10.12"
"710679","200","Черкаська область","школа, спортзал
вул.Леніна, 65, с.Синиця, Христинівський р-н, Черкаська обл., 20050","630","169","632","46","431","30","461","","0","431","30","461","9","452","1","0","19","1","23","5","106","46","1","5","0","245","29.10.12"
"710680","200","Черкаська область","школа, актовий зал
вул.С.Галети, 1А, с.Сичівка, Христинівський р-н, Черкаська обл., 20041","660","193","652","68","407","60","467","","0","407","60","467","10","457","1","3","27","1","19","4","170","51","4","19","3","155","29.10.12"
"710681","200","Черкаська область","Сільський клуб, зал
вул.Жовтнева, 23, с.Талалаївка, Христинівський р-н, Черкаська обл., 20031","372","108","367","19","245","19","264","","0","245","19","264","3","261","1","2","17","1","18","4","101","14","0","13","2","88","28.10.12"
"710682","200","Черкаська область","Будинок культури, зал
вул.Забенкова, 1А, с.Углуватка, Христинівський р-н, Черкаська обл., 20011","528","104","530","67","362","62","424","","0","362","62","424","13","411","5","1","34","1","9","10","150","62","4","17","0","118","28.10.12"
"710683","200","Черкаська область","будинок тваринника, фойє
вул.Кооперативна, 1А, с.Чайківка, Христинівський р-н, Черкаська обл., 20011","78","15","78","5","59","4","63","","0","59","4","63","2","61","0","0","4","0","3","1","27","2","0","1","0","23","28.10.12"
"710684","200","Черкаська область","школа, зал
вул.Леніна, 121, с.Христинівка, Христинівський р-н, Черкаська обл., 20009","1338","563","1335","38","748","27","775","","0","748","27","775","15","760","1","2","49","2","17","4","457","57","2","41","3","125","29.10.12"
"710685","200","Черкаська область","Дитячий садок, фойє
вул.Набережна, 80, с.Христинівка, Христинівський р-н, Черкаська обл., 20009","702","237","701","38","432","33","465","","0","432","33","465","16","449","2","0","27","1","11","3","219","67","0","10","0","109","29.10.12"
"710686","200","Черкаська область","школа, спортзал
вул.Леніна, 6, с.Шукайвода, Христинівський р-н, Черкаська обл., 20014","690","238","681","30","429","23","452","","0","429","23","452","6","446","0","0","24","1","12","1","259","49","1","3","0","96","29.10.12"
"710687","200","Черкаська область","Сільський клуб, зал
вул.Гагаріна, 34, с.Вікторівка, Христинівський р-н, Черкаська обл., 20014","210","144","205","10","56","10","66","","0","56","10","66","1","65","2","1","5","0","3","1","29","3","1","1","0","19","29.10.12"
"710688","200","Черкаська область","школа, спортзал
вул.Леніна, 113, с.Шельпахівка, Христинівський р-н, Черкаська обл., 20044","552","147","547","44","366","39","405","","0","366","39","405","16","389","1","2","14","0","20","7","165","40","0","22","0","118","29.10.12"
"710689","200","Черкаська область","школа, спортзал
вул.Шевченка, 11, с.Ягубець, Христинівський р-н, Черкаська обл., 20042","666","217","667","21","430","19","449","","0","430","19","449","10","439","1","0","13","0","11","2","185","53","0","18","0","156","29.10.12"
"710940","200","Черкаська область","школа №9, спортивна зала
вул.Інтернаціональна, 77, м.Умань, Черкаська обл., 20300","1770","750","1758","24","1004","16","1020","","0","1004","16","1020","16","1004","8","0","160","5","78","87","264","225","12","15","7","143","29.10.12"
"710941","200","Черкаська область","школа №9, спортивна зала
вул.Інтернаціональна, 77, м.Умань, Черкаська обл., 20300","1512","630","1527","101","817","65","882","","0","817","65","882","16","866","3","3","159","5","79","73","185","214","4","25","9","107","29.10.12"
"710942","200","Черкаська область","Уманський національний університет садівництва, ауд.48
вул.Інститутська, 1, м.Умань, Черкаська обл., 20300","2148","961","2065","19","1172","15","1187","","1","1171","15","1186","21","1165","8","2","329","2","40","49","240","193","7","24","37","234","29.10.12"
"710943","200","Черкаська область","школа №5, вестибюль
вул.Київська, 19, м.Умань, Черкаська обл., 20300","2286","945","2264","38","1309","32","1341","","0","1308","32","1340","24","1316","10","0","329","2","57","128","221","203","8","103","14","241","29.10.12"
"710944","200","Черкаська область","школа №5, спортивна зала
вул.Київська, 19, м.Умань, Черкаська обл., 20300","2376","962","2350","65","1364","50","1414","","0","1364","50","1414","18","1396","18","0","266","6","92","103","288","248","6","74","12","283","29.10.12"
"710945","200","Черкаська область","школа №5, спортивна зала
вул.Київська, 19, м.Умань, Черкаська обл., 20300","2040","860","2021","22","1164","16","1180","","0","1164","16","1180","18","1162","12","1","263","1","74","72","272","287","13","16","11","140","29.10.12"
"710946","200","Черкаська область","Уманський професійний аграрний ліцей, актова зала
вул.Залізняка, 4, м.Умань, Черкаська обл., 20300","2238","912","2219","53","1287","39","1326","","0","1287","39","1326","23","1303","15","3","231","2","97","113","204","234","13","70","21","300","29.10.12"
