"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вчорашній
Павло
Юрійович","Гавриленко
Володимир
Іванович","Гвоздь
Микола
Гаврилович","Гресь
Володимир
Анатолійович","Гришкін
Олександр
Петрович","Згура
Віталій
Олександрович","Зубик
Володимир
Володимирович","Кравченко
Наталія
Іванівна","Малий
Олег
Георгійович","Островський
Олег
Анатолійович","Пацьора
Михайло
Іванович","Радуцький
Олександр
Романович","Чуприна
Олександр
Олександрович","Дата підписання протоколу"
"000001","195","Черкаська область","фойє
вул.Конєва, 4, м.Черкаси, 18029","30","8","22","0","22","0","22","","0","22","0","22","0","22","2","0","0","0","0","0","19","0","0","0","0","0","1","28.10.12"
"000002","195","Черкаська область","фойє
вул. 30-річчя Перемоги, 16, м. Черкаси, 18029","84","24","64","0","60","0","60","","0","60","0","60","4","56","2","0","0","7","4","0","25","4","2","1","0","3","8","28.10.12"
"710036","195","Черкаська область","школа, актова зала
вул.Леніна, 37, с.Безпальче, Драбівський р-н, Черкаська обл., 19832","492","120","487","27","349","23","372","","0","349","23","372","11","361","3","1","3","132","1","4","169","10","3","8","0","8","19","29.10.12"
"710037","195","Черкаська область","будинок культури, фойє
вул.Громова, 13, с.Безбородьки, Драбівський р-н, Черкаська обл., 19835","840","259","839","31","551","30","581","","0","551","30","581","19","562","2","4","3","128","4","7","351","10","9","3","1","14","26","28.10.12"
"710038","195","Черкаська область","будинок культури, малий зал
вул.Леніна, 24, с.Бирлівка, Драбівський р-н, Черкаська обл., 19821","1278","351","1262","108","819","108","927","","0","819","108","927","20","907","2","4","2","176","3","9","648","20","13","5","0","5","20","29.10.12"
"710039","195","Черкаська область","фельдшерський пункт, кабінет прийому громадян
вул.Петровського, 19, с.Перше Травня, Драбівський р-н, Черкаська обл., 19821","96","11","103","7","79","6","85","","0","79","6","85","1","84","0","0","0","23","1","1","52","1","0","0","0","5","1","29.10.12"
"710040","195","Черкаська область","будинок культури №1, фойє
вул.Калініна, 17, с.Білоусівка, Драбівський р-н, Черкаська обл., 19845","522","149","517","36","337","36","373","","0","337","36","373","8","365","3","4","3","95","0","3","211","7","12","0","1","6","20","29.10.12"
"710041","195","Черкаська область","будинок культури №2, фойє
вул.Комсомольська, 14, с.Білоусівка, Драбівський р-н, Черкаська обл., 19845","1074","358","1062","35","682","34","716","","0","682","34","716","29","687","1","3","8","258","7","9","317","11","6","4","1","7","55","28.10.12"
"710042","195","Черкаська область","будинок культури, актова зала
вул.Леніна, 6, с.Бойківщина, Драбівський р-н, Черкаська обл., 19853","480","116","477","79","287","77","364","","0","287","77","364","5","359","3","2","4","88","0","2","232","3","4","4","2","2","13","29.10.12"
"710043","195","Черкаська область","будинок культури, актова зала
вул.Шевченка, 38, с.Вершина-Згарська, Драбівський р-н, Черкаська обл., 19855","204","41","202","4","159","4","163","","0","159","4","163","2","161","0","0","1","50","1","1","86","3","4","0","2","4","9","28.10.12"
"710044","195","Черкаська область","будинок культури, зал засідань
вул.Леніна, 125, с.Великий Хутір, Драбівський р-н, Черкаська обл., 19854","846","336","830","40","474","36","510","","0","474","36","510","15","495","6","8","7","168","8","2","195","38","15","6","0","13","29","28.10.12"
"710045","195","Черкаська область","сільський клуб, зал засідань
вул.Центральна, 21, с.Великий Хутір, Драбівський р-н, Черкаська обл., 19854","702","303","694","54","347","52","399","","0","347","52","399","12","387","2","0","10","196","1","0","101","10","14","10","3","6","34","29.10.12"
"710046","195","Черкаська область","будинок культури, фойє
вул.Леніна, 39, с.Демки, Драбівський р-н, Черкаська обл., 19822","618","200","614","2","416","2","418","","0","416","2","418","19","399","3","1","5","122","2","3","222","10","5","4","1","5","16","28.10.12"
"710047","195","Черкаська область","сільський клуб, фойє
вул.Комінтерна, 1/4, с.Новомиколаївка, Драбівський р-н, Черкаська обл., 19822","186","59","184","2","125","2","127","","0","125","2","127","8","119","1","0","1","42","1","3","57","2","3","1","0","2","6","29.10.12"
"710048","195","Черкаська область","сільський клуб, глядацький зал
вул.Жовтнева, сільський клуб, с-ще Драбове-Барятинське, Драбівський р-н, Черкаська обл., 19842","1344","452","1328","84","810","82","892","","0","810","82","892","22","870","9","2","8","291","4","10","395","12","41","14","4","18","62","29.10.12"
"710049","195","Черкаська область","будинок культури, фойє
вул.Леніна, будинок культури, с-ще Драбове-Барятинське, Драбівський р-н, Черкаська обл., 19842","540","145","544","14","383","12","395","","0","383","12","395","11","384","0","1","2","138","2","9","185","6","9","0","1","5","26","29.10.12"
"710050","195","Черкаська область","сільський клуб, зал засідань
вул.Шевченка, 37, с.Жорнокльови, Драбівський р-н, Черкаська обл., 19833","294","75","293","2","217","2","219","","0","217","2","219","3","216","2","0","4","35","1","2","142","5","12","4","1","3","5","28.10.12"
"710051","195","Черкаська область","будинок культури, фойє
вул.Шевченка, 30, с.Золотоношка, Драбівський р-н, Черкаська обл., 19830","498","136","494","17","348","14","362","","0","348","14","362","8","354","2","2","4","65","0","7","224","6","8","5","5","5","21","28.10.12"
"710052","195","Черкаська область","будинок культури, глядацький зал
вул.Леніна, 2, с.Кантакузівка, Драбівський р-н, Черкаська обл., 19823","606","179","602","7","420","7","427","","0","420","7","427","5","422","5","2","6","129","3","11","232","5","10","0","3","6","10","28.10.12"
"710053","195","Черкаська область","будинок культури, глядацький зал
вул.Леніна, 53, с.Коломиці, Драбівський р-н, Черкаська обл., 19824","528","64","515","57","407","57","464","","0","407","57","464","4","460","4","0","5","119","0","7","282","7","12","2","1","5","16","30.10.12"
"710054","195","Черкаська область","будинок культури, фойє
вул.Паркова, 3, с.Кононівка, Драбівський р-н, Черкаська обл., 19810","552","226","542","6","321","5","326","","0","321","5","326","14","312","4","2","3","162","3","2","74","9","11","4","0","4","34","29.10.12"
"710055","195","Черкаська область","ТОВ ""Інагро-Драбів"", зал їдальні
вул.Молодіжна, 8, с-ще Кононівка, Драбівський р-н, Черкаська обл., 19810","336","121","342","11","205","10","215","","0","205","10","215","7","208","5","0","1","103","2","3","63","3","7","3","1","2","15","29.10.12"
"710056","195","Черкаська область","будинок культури, зал урочистих подій
вул.Кірова, 1, с.Ковалівка, Драбівський р-н, Черкаська обл., 19811","486","128","482","11","347","11","358","","0","347","11","358","9","349","3","2","4","92","1","7","202","9","5","2","1","6","15","28.10.12"
"710057","195","Черкаська область","школа, спортивний зал
вул.Залізнична, 18, с.Гречанівка, Драбівський р-н, Черкаська обл., 19811","186","67","179","3","116","3","119","","0","116","3","119","0","119","1","1","2","48","0","2","46","4","1","2","0","1","11","28.10.12"
"710058","195","Черкаська область","ТОВ ""Аграрник"", зал
вул.Жовтнева, 3, с.Криштопівка, Драбівський р-н, Черкаська обл., 19830","282","92","281","6","184","6","190","","0","184","6","190","4","186","0","0","0","48","0","3","124","2","3","1","2","1","2","29.10.12"
"710059","195","Черкаська область","будинок культури, фойє
вул.Радянська, 27А, с.Левченкове, Драбівський р-н, Черкаська обл., 19834","366","80","361","16","271","15","286","","0","271","15","286","2","284","0","0","3","103","0","3","148","5","3","1","1","4","13","29.10.12"
"710060","195","Черкаська область","сільський клуб, фойє
вул.Подільська, 74А, с.Тополі, Драбівський р-н, Черкаська обл., 19834","174","47","168","12","116","11","127","","0","116","11","127","2","125","1","1","2","37","0","1","79","1","0","0","0","2","1","28.10.12"
"710061","195","Черкаська область","будинок культури, фойє
вул.Шкільна, будинок культури, с.Ленінське, Драбівський р-н, Черкаська обл., 19852","318","106","309","3","209","3","212","","0","209","3","212","10","202","0","3","4","89","1","2","81","4","1","6","0","5","6","28.10.12"
"710062","195","Черкаська область","сільська рада, зал засідань
вул.Леніна, 151, с.Мехедівка, Драбівський р-н, Черкаська обл., 19851","546","158","536","51","340","48","388","","0","340","48","388","7","381","1","5","2","74","2","5","258","4","16","1","2","2","9","28.10.12"
"710063","195","Черкаська область","будинок культури, фойє
вул.Жовтнева, 198, с.Митлашівка, Драбівський р-н, Черкаська обл., 19841","678","79","670","39","560","39","599","","0","560","39","599","6","593","1","0","5","167","2","9","343","11","14","2","1","10","28","28.10.12"
"710064","195","Черкаська область","сільський клуб, актова зала
вул.Жовтнева, сільський клуб, с.Олімпіадівка, Драбівський р-н, Черкаська обл., 19841","282","62","279","17","203","17","220","","0","203","17","220","10","210","1","0","2","49","2","3","116","11","7","6","0","2","11","28.10.12"
"710065","195","Черкаська область","будинок культури, фойє
вул.Леніна, будинок культури, с.Михайлівка, Драбівський р-н, Черкаська обл., 19850","828","234","822","20","576","18","594","","0","576","18","594","4","590","2","3","3","153","3","6","356","11","8","8","4","8","25","29.10.12"
"710066","195","Черкаська область","сільський клуб, глядацький зал
вул.Неверовського, сільський клуб, с.Павлівщина, Драбівський р-н, Черкаська обл., 19850","216","51","219","17","149","16","165","","0","149","16","165","5","160","1","1","1","24","1","3","111","6","2","3","0","2","5","28.10.12"
"710067","195","Черкаська область","сільський клуб, глядацький зал
вул.Мічуріна, 2, с.Мойсівка, Драбівський р-н, Черкаська обл., 19815","444","116","441","7","323","5","328","","0","323","5","328","14","314","0","0","0","69","0","4","221","6","4","0","0","6","4","29.10.12"
"710068","195","Черкаська область","сільський клуб, фойє
вул.Ворошилова, 2, с.Нехайки, Драбівський р-н, Черкаська обл., 19831","774","223","769","39","512","39","551","","0","512","39","551","10","541","1","5","10","203","1","12","241","6","17","4","0","9","32","28.10.12"
"710069","195","Черкаська область","сільський клуб, фойє
вул.Петровського, 19, с.Петровського, Драбівський р-н, Черкаська обл., 19831","180","41","180","6","133","6","139","","0","133","6","139","1","138","1","2","0","36","0","1","82","1","10","1","0","1","3","28.10.12"
"710070","195","Черкаська область","сільський клуб, актова зала
вул.Шевченка, 141, с.Остапівка, Драбівський р-н, Черкаська обл., 19825","288","56","290","2","230","2","232","","0","230","2","232","2","230","1","1","0","50","1","3","148","3","1","3","2","2","15","28.10.12"
"710071","195","Черкаська область","школа, актова зала
вул.Жовтнева, 13, с.Перервинці, Драбівський р-н, Черкаська обл., 19840","612","186","602","53","376","50","426","","0","376","50","426","8","418","3","2","2","155","3","2","186","6","18","4","1","7","29","28.10.12"
"710072","195","Черкаська область","будинок культури, великий зал
вул.Леніна, 68, с.Погреби, Драбівський р-н, Черкаська обл., 19814","882","336","870","50","504","42","546","","0","504","42","546","15","531","2","6","3","251","3","5","194","18","10","1","2","10","26","29.10.12"
"710073","195","Черкаська область","будинок культури, читальний зал
вул.Леніна, будинок культури, с-ще Рецюківщина, Драбівський р-н, Черкаська обл., 19836","354","105","353","12","237","12","249","","0","237","12","249","6","243","2","0","1","43","2","4","168","4","4","1","0","3","11","28.10.12"
"710074","195","Черкаська область","сільський клуб, актова зала
вул.Набережна, 137, с.Рождественське, Драбівський р-н, Черкаська обл., 19855","240","69","232","10","161","10","171","","0","161","10","171","3","168","1","0","2","64","0","1","70","6","10","2","1","4","7","28.10.12"
"710075","195","Черкаська область","будинок культури, фойє
вул.Леніна, 31, с.Степанівка, Драбівський р-н, Черкаська обл., 19813","750","258","736","71","427","65","492","","0","427","65","492","12","480","9","3","6","184","9","11","184","10","11","6","3","9","35","29.10.12"
"710076","195","Черкаська область","сільський клуб, фойє
вул.Леніна, 31А, с.Свічківка, Драбівський р-н, Черкаська обл., 19825","396","94","396","18","285","17","302","","0","285","17","302","3","299","1","0","4","70","3","5","177","4","8","4","0","9","14","29.10.12"
"710077","195","Черкаська область","будинок культури, фойє
вул.Леніна, 131, с.Яворівка, Драбівський р-н, Черкаська обл., 19820","594","189","592","16","389","16","405","","0","389","16","405","10","395","4","0","0","141","1","4","204","7","5","0","2","7","20","29.10.12"
"710078","195","Черкаська область","Центр культури і дозвілля, фойє
вул.Леніна, 40, смт Драбів, Драбівський р-н, Черкаська обл., 19800","2292","863","2260","27","1403","26","1429","","0","1403","26","1429","29","1400","3","3","12","532","6","14","595","35","38","20","5","20","117","29.10.12"
"710079","195","Черкаська область","школа імені Васильченка, фойє
вул.Молодіжна, 1, смт Драбів, Драбівський р-н, Черкаська обл., 19800","1776","691","1764","13","1072","13","1085","","0","1072","13","1085","24","1061","2","4","7","374","2","17","450","24","54","28","0","16","83","28.10.12"
"710080","195","Черкаська область","кінотеатр імені Шевченка, фойє
вул.Шевченка, 1, смт Драбів, Драбівський р-н, Черкаська обл., 19800","1212","452","1206","51","709","51","760","","0","709","51","760","10","750","2","4","7","292","2","8","337","24","15","9","2","10","38","29.10.12"
"710081","195","Черкаська область","бібліотека №1, читальний зал
вул.Червоноармійська, 2, смт Драбів, Драбівський р-н, Черкаська обл., 19800","480","166","481","9","306","8","314","","0","306","8","314","11","303","0","1","3","114","1","6","139","5","4","11","1","5","13","28.10.12"
"710082","195","Черкаська область","будинок культури, фойє
вул.Декабристів, 1, смт Шрамківка, Драбівський р-н, Черкаська обл., 19812","2274","1031","2248","46","1198","45","1243","","0","1198","45","1243","46","1197","4","4","11","432","5","9","553","30","39","16","8","12","74","29.10.12"
"710083","195","Черкаська область","сільський клуб, фойє
вул.Гагаріна, 9, с-ще Вишневе, Драбівський р-н, Черкаська обл., 19812","192","57","200","1","134","1","135","","0","134","1","135","4","131","1","3","2","23","1","4","75","2","4","1","0","1","14","28.10.12"
"710738","195","Черкаська область","школа, спортзал
вул.Алея Миру, 10, с.Боровиця, Чигиринський р-н, Черкаська обл., 20921","1356","272","1353","88","999","85","1084","","0","999","85","1084","17","1067","6","4","4","254","6","10","663","17","16","20","5","11","51","29.10.12"
"710739","195","Черкаська область","Будинок культури, актова зала
вул.Стежка, 28А, с.Вершаці, Чигиринський р-н, Черкаська обл., 20943","534","147","527","31","358","29","387","","0","358","29","387","13","374","1","0","3","34","1","7","292","3","17","2","0","1","13","28.10.12"
"710740","195","Черкаська область","Будинок культури, актова зала
вул.Знам’янська, 24А, с.Тарасо-Григорівка, Чигиринський р-н, Черкаська обл., 20943","144","42","140","7","95","7","102","","0","95","7","102","0","102","0","0","0","5","0","3","82","0","4","3","0","0","5","28.10.12"
"710741","195","Черкаська область","школа, спортзал
вул.Б.Хмельницького, 135А, с.Галаганівка, Чигиринський р-н, Черкаська обл., 20915","726","215","715","50","465","46","511","","0","465","46","511","8","503","0","0","2","55","2","6","373","4","18","11","1","4","27","29.10.12"
"710742","195","Черкаська область","школа, їдальня
вул.Шкільна, 56, с.Головківка, Чигиринський р-н, Черкаська обл., 20936","936","278","930","58","605","53","658","","0","605","53","658","19","639","0","5","1","96","4","11","432","12","19","10","1","7","41","29.10.12"
"710743","195","Черкаська область","контора ТОВ ""Церматт"", актова зала
вул.Хутір, 2, с.Зам’ятниця, Чигиринський р-н, Черкаська обл., 20931","174","32","174","39","108","34","142","","0","108","34","142","0","142","0","0","0","27","1","1","96","2","7","3","1","0","4","28.10.12"
"710744","195","Черкаська область","сільський будинок культури, актова зала
пров.Садовий, 1, с.Іванівка, Чигиринський р-н, Черкаська обл., 20942","528","193","526","49","291","44","335","","0","291","44","335","10","325","1","5","6","50","2","0","179","4","38","10","1","1","28","29.10.12"
