"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Алєксєєва
Ірина
Володимирівна","Блажевич
Олександр
Петрович","Блажевич
Сергій
Петрович","Бобов
Геннадій
Борисович","Величенко
Микола
Максимович","Кекух
Віталій
Володимирович","Лішавський
Володимир
Гаврилович","Ляшенко
Юрій
Васильович","Маштепа
Олександр
Петрович","Педченко
Сергій
Іванович","Плосконос
Олексій
Олександрович","Пономаренко
Інна
Віталіївна","Сінгаєвський
Олександр
Миколайович","Яременко
Алла
Миколаївна","Дата підписання протоколу"
"710593","196","Черкаська область","загальноосвітня школа, фойє
вул.Коцюбинського, 22, с.Соколівочка, Тальнівський р-н, Черкаська обл., 20423","392","78","392","13","301","13","314","","0","301","13","314","12","302","3","1","4","193","2","1","0","11","21","0","0","2","61","3","28.10.12"
"710594","196","Черкаська область","сільський клуб, фойє
вул.Леніна, 27А, с-ще Степне, Тальнівський р-н, Черкаська обл., 20423","88","23","86","0","65","0","65","","0","65","0","65","2","63","0","0","0","36","1","0","0","5","8","1","0","0","11","1","28.10.12"
"710595","196","Черкаська область","сільський клуб, фойє
вул.Гагарніа, 1Б, с.Червоне, Тальнівський р-н, Черкаська обл., 20423","180","45","177","8","127","8","135","","0","127","8","135","3","132","0","0","1","81","0","0","0","1","4","5","0","0","40","0","28.10.12"
"710596","196","Черкаська область","Тальянківський коледж УНУС, фойє
вул.Комсомольська, 80, с.Тальянки, Тальнівський р-н, Черкаська обл., 20434","984","394","984","9","581","9","590","","0","581","9","590","25","565","10","3","6","193","9","2","4","14","29","22","1","10","253","9","29.10.12"
"710597","196","Черкаська область","сільська рада, зала засідань
вул.Космонавтів, 9, с.Шаулиха, Тальнівський р-н, Черкаська обл., 20411","304","91","301","3","210","3","213","","0","210","3","213","3","210","2","1","3","139","1","0","2","9","9","5","1","0","37","1","28.10.12"
"710820","196","Черкаська область","районний будинок культури, фойє
вул.Леніна, 8, м.Шпола, Шполянський р-н, Черкаська обл., 20600","2364","1005","2338","56","1311","48","1359","","0","1311","48","1359","49","1310","18","7","26","288","16","16","8","239","88","32","30","8","523","11","29.10.12"
"710821","196","Черкаська область","кінотеатр ""Космос"", фойє
вул.Леніна, 2, м.Шпола, Шполянський р-н, Черкаська обл., 20600","2224","1003","2205","68","1173","48","1221","","1","1171","48","1219","63","1156","15","2","12","302","18","7","1","207","81","37","53","11","401","9","28.10.12"
"710822","196","Черкаська область","музична школа, фойє
вул.Леніна, 18, м.Шпола, Шполянський р-н, Черкаська обл., 20600","2388","1288","2333","57","1060","40","1100","","0","1060","40","1100","47","1052","17","1","9","244","13","3","8","151","57","27","26","8","474","14","29.10.12"
"710823","196","Черкаська область","школа-ліцей №2, фойє
вул.Піонерська, 95, м.Шпола, Шполянський р-н, Черкаська обл., 20600","2228","1069","2200","33","1129","30","1159","","0","1129","30","1159","38","1121","12","8","17","242","23","3","3","207","88","28","44","7","423","16","29.10.12"
"710824","196","Черкаська область","міжшкільний виробничий комбінат, фойє
вул.Леніна, 45, м.Шпола, Шполянський р-н, Черкаська обл., 20600","1948","922","1925","41","998","28","1026","","0","998","28","1026","28","998","10","2","22","218","16","11","5","169","79","25","29","5","397","10","29.10.12"
"710825","196","Черкаська область","будинок культури ім.Горького, фойє
вул.Шевченка, 99, м.Шпола, Шполянський р-н, Черкаська обл., 20600","1660","759","1639","69","858","43","901","","0","858","43","901","34","867","9","2","15","227","16","7","1","190","37","20","23","3","314","3","29.10.12"
"710826","196","Черкаська область","контора СПОП ""Відродження"", актова зала
вул.Володарського, 101, м.Шпола, Шполянський р-н, Черкаська обл., 20600","1048","453","1043","40","568","27","595","","0","568","27","595","21","574","4","2","4","116","8","3","1","139","17","7","10","4","249","10","29.10.12"
"710827","196","Черкаська область","міська школа №5, фойє
вул.Слобідська, 120, м.Шпола, Шполянський р-н, Черкаська обл., 20600","1916","922","1899","67","938","56","994","","0","938","56","994","41","953","14","5","11","315","13","7","5","135","51","35","24","5","324","9","29.10.12"
"710828","196","Черкаська область","клуб райлікарні, конференцзал
вул.Комінтерна, 10, м.Шпола, Шполянський р-н, Черкаська обл., 20600","200","39","213","4","157","4","161","","0","157","4","161","7","154","1","2","4","46","0","1","2","23","3","2","2","3","64","1","28.10.12"
"710829","196","Черкаська область","будинок культури, танцювальна зала
вул.Шкільна, 23, с.Антонівка, Шполянський р-н, Черкаська обл., 20653","504","206","496","41","262","36","298","","0","262","36","298","10","288","10","3","3","113","1","0","2","82","12","4","1","2","55","0","28.10.12"
"710830","196","Черкаська область","сільська школа, фойє
вул.Кірова, 1, с.Бурти, Шполянський р-н, Черкаська обл., 20610","556","141","555","67","354","61","415","","0","354","61","415","10","405","4","3","8","143","3","1","2","26","142","20","1","0","51","1","29.10.12"
"710831","196","Черкаська область","будинок культури, фойє
вул.Пролетарська, 137, с.Васильків, Шполянський р-н, Черкаська обл., 20624","1192","458","1191","138","607","127","734","","0","607","127","734","17","717","5","4","3","394","17","1","3","94","27","5","7","4","149","4","28.10.12"
"710832","196","Черкаська область","приміщення приватного кафе, танцювальна зала
вул.Васильківська, 59А, с.Васильків, Шполянський р-н, Черкаська обл., 20624","412","144","410","50","223","45","268","","0","223","45","268","11","257","2","1","4","141","0","0","1","32","8","5","2","0","59","2","28.10.12"
"710833","196","Черкаська область","будинок культури, глядацька зала
пров.Шевченка, 3, с.Веселий Кут, Шполянський р-н, Черкаська обл., 20655","156","47","154","22","90","19","109","","0","90","19","109","3","106","2","0","0","77","1","0","0","7","0","2","0","0","16","1","28.10.12"
"710834","196","Черкаська область","будинок культури, танцювальна зала
вул.Шкільна, 15А, с.Водяне, Шполянський р-н, Черкаська обл., 20641","656","202","653","70","385","69","454","","0","385","69","454","12","442","5","5","7","226","1","2","5","23","21","6","4","0","136","1","28.10.12"
"710835","196","Черкаська область","будинок культури, фойє
вул.Першотравнева, 133, с.Журавка, Шполянський р-н, Черкаська обл., 20637","928","317","927","82","529","82","611","","0","529","82","611","19","592","8","2","9","422","4","3","2","44","6","13","5","4","69","1","29.10.12"
"710836","196","Черкаська область","будинок культури, глядацька зала
вул.Хрещатик, 50, с.Іскрене, Шполянський р-н, Черкаська обл., 20623","712","213","705","68","438","61","499","","0","438","61","499","11","488","3","0","8","242","1","1","2","164","3","19","1","2","40","2","29.10.12"
"710837","196","Черкаська область","будинок культури, глядацька зала
вул.Антонівська, 93, с.Кавунівка, Шполянський р-н, Черкаська обл., 20642","172","49","169","24","104","19","123","","0","104","19","123","11","112","3","1","2","53","0","0","1","13","1","1","1","2","33","1","28.10.12"
"710838","196","Черкаська область","будинок культури, глядацька зала
вул.Новошкільна, 18, с.Капустине, Шполянський р-н, Черкаська обл., 20622","444","88","356","51","305","51","356","","0","305","51","356","2","354","0","3","2","230","1","2","1","31","5","6","2","0","71","0","29.10.12"
"710839","196","Черкаська область","будинок культури, мала зала
вул.Центральна, 29, с.Кримки, Шполянський р-н, Черкаська обл., 20640","668","287","664","50","339","42","381","","0","339","42","381","17","364","6","8","6","156","2","1","0","40","33","7","2","3","98","2","29.10.12"
"710840","196","Черкаська область","сільська рада, зала засідань
вул.Леніна, 131, с.Лебедин, Шполянський р-н, Черкаська обл., 20634","1100","529","1085","112","465","106","571","","0","465","106","571","24","547","3","4","3","190","1","2","5","57","10","7","10","7","243","5","28.10.12"
"710841","196","Черкаська область","будинок культури, фойє
вул.Віктора Кравченка, 48, с.Лебедин, Шполянський р-н, Черкаська обл., 20634","1296","598","1287","94","605","93","698","","0","605","93","698","21","677","10","1","10","308","6","1","1","82","12","4","2","8","227","5","28.10.12"
"710842","196","Черкаська область","сільський клуб, глядацька зала
вул.Ватутіна, 71, с.Лебедин, Шполянський р-н, Черкаська обл., 20634","896","338","894","101","460","98","558","","0","460","98","558","21","537","6","2","7","206","9","2","2","82","11","28","9","3","166","4","29.10.12"
"710843","196","Черкаська область","будинок культури, фойє
вул.Івана Гончара, 1К, с.Лип’янка, Шполянський р-н, Черкаська обл., 20650","892","308","881","116","470","114","584","","0","470","114","584","27","557","6","3","5","319","7","5","3","85","12","9","3","3","94","3","29.10.12"
"710844","196","Черкаська область","школа, спортивна зала
вул.Шкільна, 3, с.Лозуватка, Шполянський р-н, Черкаська обл., 20621","1016","383","1008","80","568","65","633","","0","568","65","633","23","610","8","4","4","169","2","0","3","67","53","14","5","2","275","4","29.10.12"
"710845","196","Черкаська область","будинок культури, фойє
вул.Леніна, 32, с.Мар’янівка, Шполянський р-н, Черкаська обл., 20633","968","445","960","72","467","56","523","","0","467","56","523","25","498","10","2","4","212","9","4","4","65","22","7","9","6","140","4","29.10.12"
"710846","196","Черкаська область","сільський клуб, глядацька зала
вул.Степова, 11, с.Маслове, Шполянський р-н, Черкаська обл., 20652","180","40","180","19","122","18","140","","0","122","18","140","9","131","2","1","0","82","0","0","1","13","2","3","0","1","26","0","29.10.12"
"710847","196","Черкаська область","школа №1, фойє
вул.Станіславська, 40, с.Матусів, Шполянський р-н, Черкаська обл., 20630","784","262","777","90","441","81","522","","0","441","81","522","17","505","5","3","4","172","4","2","1","68","16","5","0","5","220","0","29.10.12"
"710848","196","Черкаська область","контора фермерського господарства ""Деметра"", зала засідань
вул.Чернишевського, 22, с.Матусів, Шполянський р-н, Черкаська обл., 20630","844","329","835","65","456","59","515","","0","456","59","515","14","501","7","2","5","148","9","1","4","91","19","2","5","6","197","5","28.10.12"
"710849","196","Черкаська область","школа №2, фойє
вул.Хмельницького, 243, с.Матусів, Шполянський р-н, Черкаська обл., 20630","984","498","967","79","423","63","486","","0","423","63","486","29","457","6","3","6","146","3","2","0","55","43","11","9","2","164","7","28.10.12"
"710850","196","Черкаська область","будинок культури, фойє
вул.Центральна, 78, с.Надточаївка, Шполянський р-н, Черкаська обл., 20612","420","90","419","52","280","50","330","","0","280","50","330","10","320","0","0","1","153","0","0","1","42","19","5","3","1","92","3","28.10.12"
"710851","196","Черкаська область","будинок культури, глядацька зала
вул.Центральна, 79, с.Нечаєве, Шполянський р-н, Черкаська обл., 20651","332","93","329","14","225","14","239","","0","225","14","239","8","231","2","0","7","96","1","1","0","38","1","0","2","1","82","0","28.10.12"
"710852","196","Черкаська область","сільська рада, актова зала
вул.Шевченка, 226, с.Сердегівка, Шполянський р-н, Черкаська обл., 20614","192","55","194","16","122","15","137","","0","122","15","137","1","136","0","0","0","56","2","1","0","11","11","0","1","0","54","0","28.10.12"
"710853","196","Черкаська область","будинок культури, актова зала
вул.Радянська, 53, с.Сигнаївка, Шполянський р-н, Черкаська обл., 20615","1424","639","1408","88","709","76","785","","0","709","76","785","29","756","12","3","8","287","7","2","3","92","40","18","8","1","274","1","28.10.12"
"710854","196","Черкаська область","школа, спортивна кімната
вул.Кушнова, 55А, с.Скотареве, Шполянський р-н, Черкаська обл., 20625","524","153","522","53","323","48","371","","0","323","48","371","10","361","0","1","2","91","1","1","1","83","7","3","1","0","170","0","28.10.12"
"710855","196","Черкаська область","будинок культури, глядацька зала
вул.Центральна, 21, с.Соболівка, Шполянський р-н, Черкаська обл., 20644","400","93","397","50","257","50","307","","0","257","50","307","4","303","7","2","1","97","1","0","1","96","1","3","0","0","93","1","29.10.12"
"710856","196","Черкаська область","школа, кабінет біології
вул.Центральна, 10, с.Станіславчик, Шполянський р-н, Черкаська обл., 20611","432","156","429","56","225","51","276","","0","225","51","276","10","266","0","0","7","64","2","0","0","31","7","5","1","1","145","3","28.10.12"
"710857","196","Черкаська область","контора ЗАТ ім.Шевченка, актова зала
вул.Комсомольська, 2, с.Терешки, Шполянський р-н, Черкаська обл., 20613","644","229","633","51","366","49","415","","11","355","49","404","4","400","6","3","4","223","4","3","0","37","11","7","5","5","91","1","29.10.12"
"710858","196","Черкаська область","будинок культури, фойє
вул.Центральна, будинок культури, с.Товмач, Шполянський р-н, Черкаська обл., 20643","624","259","616","58","319","46","365","","0","319","46","365","10","355","5","1","6","57","3","2","1","25","36","4","0","3","211","1","28.10.12"
"710859","196","Черкаська область","будинок культури, фойє
вул.Т.Г.Шевченка, 29В, с.Топильна, Шполянський р-н, Черкаська обл., 20620","608","248","607","43","320","40","360","","0","320","40","360","19","341","2","2","1","183","5","0","5","44","12","11","2","1","71","2","28.10.12"
"710860","196","Черкаська область","будинок культури, актова зала
вул.Томенка М.Д., 50, с.Ярославка, Шполянський р-н, Черкаська обл., 20654","320","104","315","26","191","25","216","","0","191","25","216","9","207","0","2","4","116","0","1","1","29","1","1","2","5","43","2","28.10.12"
"710861","196","Черкаська область","Райлікарня, кабінет лікувальної фізкультури
вул.Комінтерна, 10, м.Шпола, Шполянський р-н, Черкаська обл., 20600","232","182","54","12","39","11","50","","0","39","11","50","0","50","0","0","1","32","0","1","0","5","1","0","1","0","9","0","28.10.12"
