"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вовк
Віктор
Іванович","Губський
Богдан
Володимирович","Дарійчук
Дарина
Володимирівна","Даценко
Леонід
Миколайович","Довгаль
Сергій
Миколайович","Замідра
Сергій
Володимирович","Кібальник
Олексій
Павлович","Корж
Віктор
Петрович","Корчовий
Юрій
Олександрович","Костогриз
Іван
Іванович","Липкань
Микола
Борисович","Малиновський
Олексій
Петрович","Маліков
Олександр
Володимирович","Матюша
Володимир
Миколайович","Орленко
Віктор
Юрійович","Педченко
Михайло
Вікторович","Полях
Віталій
Іванович","Свічинський
Василь
Миколайович","Фесенко
Руслан
Сергійович","Філіпенко
Павло
Сергійович","Дата підписання протоколу"
"710279","197","Черкаська область","сільський клуб, актова зала, 1-й поверх
вул.Центральна, 2, с.Ковалі, Канівський р-н, Черкаська обл., 19030","152","60","151","15","81","11","92","","0","81","11","92","7","85","1","19","1","31","3","0","2","11","0","7","0","4","1","0","0","0","3","1","0","1","03.11.12"
"710286","197","Черкаська область","сільська рада, кімната для виборів, 1-й поверх
вул.Асатіані Кітовані, 2А, с.Озерище, Канівський р-н, Черкаська обл., 19021","212","62","213","21","131","19","150","","0","131","19","150","6","144","2","52","4","17","6","0","5","35","0","11","0","3","1","0","1","0","0","1","0","6","28.10.12"
"710288","197","Черкаська область","будинок культури, фойє, 1-й поверх
вул.Шевченка, 68, с.Пекарі, Канівський р-н, Черкаська обл., 19025","324","106","324","20","198","20","218","","0","198","20","218","9","209","1","47","3","76","3","0","1","48","1","8","0","1","1","0","1","0","2","2","1","13","28.10.12"
"710292","197","Черкаська область","школа, хол, 1-й поверх
вул.Чапаєва, 65, с.Потапці, Канівський р-н, Черкаська обл., 19013","216","85","214","13","118","13","131","","0","118","13","131","3","128","1","20","0","47","1","0","0","36","0","7","1","1","0","0","0","0","3","0","2","9","29.10.12"
"710293","197","Черкаська область","фельдшерський пункт, хол, 1-й поверх
вул.Молодіжна, 2, с.Лазірці, Канівський р-н, Черкаська обл., 19013","72","18","70","13","43","11","54","","0","43","11","54","1","53","0","20","0","18","0","0","1","10","0","2","0","1","0","1","0","0","0","0","0","0","04.11.12"
"710294","197","Черкаська область","сільський клуб, актова зала, 1-й поверх
вул.Л.Українки, 16, с.Пищальники, Канівський р-н, Черкаська обл., 19013","112","47","108","11","54","11","65","","0","54","11","65","1","64","0","26","1","15","0","0","0","7","1","1","1","2","0","0","0","0","1","1","0","8","28.10.12"
"710295","197","Черкаська область","сільський клуб, актова зала, 1-й поверх
вул.Максимовича, 10, с.Прохорівка, Канівський р-н, Черкаська обл., 19023","252","84","245","21","150","18","168","","0","150","18","168","3","165","1","78","2","35","3","0","1","25","3","3","1","1","2","1","0","0","2","0","1","6","04.11.12"
"710296","197","Черкаська область","будинок культури, актова зала, 1-й поверх
вул.70-річчя Жовтня, 13, с.Сушки, Канівський р-н, Черкаська обл., 19024","576","172","572","75","333","71","404","","0","333","71","404","4","400","2","113","2","156","1","1","2","89","2","2","0","15","1","1","0","1","3","1","0","8","29.10.12"
"710297","197","Черкаська область","будинок культури, фойє, 1-й поверх
вул.Колгоспна, 8/1, с.Пшеничники, Канівський р-н, Черкаська обл., 19011","220","93","218","26","101","26","127","","0","101","26","127","7","120","1","35","0","15","0","0","0","35","2","15","0","8","1","0","1","2","0","0","0","5","29.10.12"
"710304","197","Черкаська область","сільський клуб, актова зала, 1-й поверх
вул.Ветеранів, 47, с.Тростянець, Канівський р-н, Черкаська обл., 19015","224","97","223","13","115","12","127","","0","115","12","127","5","122","1","51","0","19","3","1","0","29","0","6","1","1","0","0","0","1","1","0","0","8","28.10.12"
"710305","197","Черкаська область","школа, актова зала, 1-й поверх
вул.Миру, 48, с.Хмільна, Канівський р-н, Черкаська обл., 19026","456","174","450","24","259","23","282","","0","259","23","282","11","271","0","72","0","132","4","0","5","23","1","7","0","0","1","1","0","0","3","1","4","17","28.10.12"
"710306","197","Черкаська область","сільський клуб, фойє, 1-й поверх
вул.Шевченка, 239, с.Хутір-Хмільна, Канівський р-н, Черкаська обл., 19026","260","94","258","12","154","12","166","","0","154","12","166","3","163","5","64","3","60","4","0","1","5","0","7","1","0","1","0","0","0","1","0","1","10","04.11.12"
"710307","197","Черкаська область","адмінбудинок лісництва, актова зала, 1-й поверх
вул.Лісова, 45, с.Михайлівка, Канівський р-н, Черкаська обл., 19027","280","116","275","33","133","31","164","","0","133","31","164","2","162","5","87","6","32","1","0","0","11","0","5","0","1","1","1","0","0","0","0","2","10","29.10.12"
"710308","197","Черкаська область","сільська рада, хол, 1-й поверх
вул.Гора, 1, с.Черниші, Канівський р-н, Черкаська обл., 19011","116","39","113","7","70","7","77","","0","70","7","77","0","77","1","25","2","14","0","0","0","24","1","6","0","1","0","0","1","1","0","0","0","1","28.10.12"
"710309","197","Черкаська область","фельдшерсько-акушерський пункт, хол, 1-й поверх
вул.Канівська, 6, с.Яблунів, Канівський р-н, Черкаська обл., 19032","396","147","400","7","242","7","249","","0","242","7","249","9","240","1","61","3","83","3","1","1","78","0","2","0","1","1","0","0","0","0","1","0","4","28.10.12"
"710691","197","Черкаська область","будинок культури, фойє
вул.Рябоконя, 75, с.Байбузи, Черкаський р-н, Черкаська обл., 19617","1419","480","1413","133","811","128","939","","0","811","128","939","14","925","3","531","4","189","4","0","8","143","2","8","2","4","2","0","1","0","1","0","2","21","29.10.12"
"710696","197","Черкаська область","будинок культури, фойє
вул.30 років Перемоги, 27, с.Будище, Черкаський р-н, Черкаська обл., 19620","1532","593","1519","46","896","43","939","","0","896","43","939","33","906","6","393","7","315","9","0","7","66","2","12","2","3","0","3","2","3","3","5","2","66","29.10.12"
"710697","197","Черкаська область","сільський клуб с.Лозівок, актовий зал
вул.Шевченка, 2А, с.Лозівок, Черкаський р-н, Черкаська обл., 19621","672","215","667","49","418","39","457","","0","418","39","457","23","434","12","82","2","177","2","1","9","72","3","11","2","7","1","4","0","2","1","4","2","40","29.10.12"
"710700","197","Черкаська область","ДНЗ ""Сонечко"", спортивний зал
вул.Л.Українки, 22А, с.Геронимівка, Черкаський р-н, Черкаська обл., 19601","1292","368","1279","14","912","12","924","","0","912","12","924","19","905","18","361","8","308","5","0","21","39","2","10","0","5","2","6","3","3","4","6","3","101","30.10.12"
"710701","197","Черкаська область","школа, фойє
вул.Вернигори, 25, с.Геронимівка, Черкаський р-н, Черкаська обл., 19601","1308","363","1294","20","925","20","945","","0","925","20","945","30","915","17","481","6","216","7","0","13","42","4","13","1","6","1","4","8","1","3","3","3","86","29.10.12"
"710706","197","Черкаська область","будинок культури, актовий зал
вул.Перемоги, 20, с.Кумейки, Черкаський р-н, Черкаська обл., 19614","652","235","650","63","362","55","417","","0","362","55","417","13","404","5","155","3","149","0","0","6","43","0","8","1","2","0","2","1","2","4","2","2","19","29.10.12"
"710709","197","Черкаська область","будинок культури, обрядовий зал
вул.Леніна, 56В, с.Мошни, Черкаський р-н, Черкаська обл., 19615","1984","786","1984","43","1157","41","1198","","0","1157","41","1198","0","1198","18","909","0","112","0","1","7","27","0","45","0","4","2","0","4","1","3","1","2","62","29.10.12"
"710710","197","Черкаська область","школа, фойє
вул.Савченка, 39, с.Мошни, Черкаський р-н, Черкаська обл., 19615","1848","798","1841","34","1016","34","1050","","0","1016","34","1050","1","1049","8","795","0","95","0","0","6","44","0","36","0","0","0","0","2","1","3","0","2","57","29.10.12"
"710711","197","Черкаська область","ВАТ ""РПМК"", актовий зал
вул.Чигирина, 111, с.Руська Поляна, Черкаський р-н, Черкаська обл., 19602","1776","765","1753","6","1005","6","1011","","0","1005","6","1011","31","980","19","413","6","284","6","0","30","74","3","27","4","9","1","5","1","2","12","1","4","79","29.10.12"
"710712","197","Черкаська область","будинок культури, фойє
вул.Шраменка, 53, с.Руська Поляна, Черкаський р-н, Черкаська обл., 19602","2412","904","2412","9","1502","6","1508","","0","1502","6","1508","46","1462","49","593","14","379","8","2","27","161","4","45","5","7","2","6","5","3","10","4","7","131","29.10.12"
"710713","197","Черкаська область","початкова школа, фойє
вул.Чапаєва, 39, с.Руська Поляна, Черкаський р-н, Черкаська обл., 19602","2444","1018","2431","24","1407","19","1426","","0","1407","19","1426","52","1374","41","506","16","396","10","4","43","153","6","35","5","10","4","8","3","3","8","4","12","107","29.10.12"
"710716","197","Черкаська область","будинок культури, глядацький зал
вул.Партизанська, 9, с.Свидівок, Черкаський р-н, Черкаська обл., 19622","2068","749","2053","59","1263","56","1319","","0","1263","56","1319","31","1288","22","439","2","390","3","0","18","245","1","14","4","11","1","6","3","2","9","3","2","113","29.10.12"
"710717","197","Черкаська область","фельшерський пункт, кабінет №30
вул.Польова, 30, с-ще Сокирна, Черкаський р-н, Черкаська обл., 19622","192","62","198","0","130","0","130","","0","130","0","130","4","126","1","28","3","49","1","0","7","19","0","4","0","1","0","2","2","1","0","0","1","7","29.10.12"
"710718","197","Черкаська область","будинок культури, фойє
вул.Шевченка, 45А, с.Софіївка, Черкаський р-н, Черкаська обл., 19610","616","170","610","75","371","75","446","","0","371","75","446","10","436","4","122","2","133","6","0","11","100","2","20","0","3","1","2","0","1","3","1","1","24","29.10.12"
"710719","197","Черкаська область","клуб, актовий зал
вул.Черкаська, 62, с.Шелепухи, Черкаський р-н, Черкаська обл., 19610","524","206","515","38","280","38","318","","0","280","38","318","9","309","6","102","2","96","4","0","8","36","4","17","1","6","1","2","0","0","2","1","0","21","03.11.12"
"710722","197","Черкаська область","школа, актовий зал
вул.Шевченка, 121, с.Тубільці, Черкаський р-н, Черкаська обл., 19611","1012","460","996","68","495","57","552","","0","495","57","552","19","533","2","122","8","226","3","1","11","91","0","17","2","4","1","0","2","1","0","2","2","38","29.10.12"
"710723","197","Черкаська область","сільський клуб, актовий зал
вул.Криворучка, 22, с.Березняки, Черкаський р-н, Черкаська обл., 19611","432","164","434","32","238","30","268","","0","238","30","268","12","256","4","63","7","91","2","1","7","34","1","13","0","1","2","2","1","1","0","6","4","16","29.10.12"
"710724","197","Черкаська область","сільський клуб, актовий зал
вул.Черкаська, 26А, с.Первомайське, Черкаський р-н, Черкаська обл., 19611","452","173","439","32","247","32","279","","0","247","32","279","11","268","4","51","5","104","1","0","8","68","0","1","0","3","0","1","2","0","1","1","1","17","29.10.12"
"710725","197","Черкаська область","сільський клуб, актовий зал
вул.Татояна, 59А, с.Хрещатик, Черкаський р-н, Черкаська обл., 19611","268","80","273","33","155","33","188","","0","155","33","188","6","182","5","70","0","39","1","0","4","29","0","4","1","1","1","4","0","1","8","3","1","10","28.10.12"
"710735","197","Черкаська область","будинок культури, обрядовий зал
вул.Шевченка, 2, с.Яснозір’я, Черкаський р-н, Черкаська обл., 19616","1288","471","1247","34","783","34","817","","0","783","34","817","17","800","6","455","7","152","4","2","6","81","3","10","1","5","0","1","0","0","7","4","2","54","29.10.12"
"710736","197","Черкаська область","школа, фойє
вул.Леніна, 72, с.Яснозір’я, Черкаський р-н, Черкаська обл., 19616","1436","565","1416","46","827","44","871","","0","827","44","871","29","842","10","509","8","171","1","0","1","59","0","18","0","1","2","1","4","1","6","1","3","46","28.10.12"
"710876","197","Черкаська область","Золотоніський професійний ліцей, актова зала, 2-й поверх
вул.Шевченка, 33, м.Золотоноша, Черкаська обл., 19702","1468","734","1463","62","681","53","734","","0","681","53","734","13","721","13","198","3","327","2","0","53","30","0","14","2","4","1","3","1","6","24","1","1","38","03.11.12"
"710877","197","Черкаська область","міський центр дозвілля молоді, урочиста зала
вул.Шевченка, 18, м.Золотоноша, Черкаська обл., 19702","2220","946","2203","60","1225","49","1274","","0","1225","49","1274","47","1227","24","542","92","336","4","3","12","99","2","42","5","4","3","4","9","13","11","3","5","14","29.10.12"
"710878","197","Черкаська область","школа №3, хол
вул.Гоголя, 7, м.Золотоноша, Черкаська обл., 19702","2248","1070","2230","53","1131","47","1178","","0","1131","47","1178","35","1143","11","588","0","421","1","0","28","25","0","9","0","1","0","1","8","3","15","1","0","31","29.10.12"
"710879","197","Черкаська область","міський клуб (мікрорайон Гришківка), концертна зала
вул.Гришківка, 23, с-ще Гришківка, м.Золотоноша, Черкаська обл., 19701","140","49","138","4","89","2","91","","0","89","2","91","2","89","2","42","0","20","0","1","4","6","1","3","0","1","0","0","0","1","2","0","0","6","28.10.12"
"710880","197","Черкаська область","школа №5, коридор, 1-й поверх
вул.Баха, 57, м.Золотоноша, Черкаська обл., 19702","2500","1349","2490","36","1122","29","1151","","0","1122","29","1151","35","1116","13","309","11","421","5","1","75","93","3","39","0","2","0","4","6","11","39","4","3","77","30.10.12"
"710881","197","Черкаська область","гуртожиток технікуму ветмедицини, читальна зала бібліотеки
вул.Садовий Проїзд, 1, м.Золотоноша, Черкаська обл., 19702","1784","797","1766","43","953","34","987","","0","953","34","987","27","960","2","404","0","372","0","0","19","105","0","10","0","0","0","1","2","2","14","3","1","25","29.10.12"
"710882","197","Черкаська область","Черкаський навчальний центр, хол
вул.Обухова, 48Б, м.Золотоноша, Черкаська обл., 19702","2200","1078","2183","56","1081","41","1122","","0","1055","41","1096","26","1070","6","519","1","373","1","1","32","22","1","6","1","2","1","1","2","1","12","1","1","86","29.10.12"
"710883","197","Черкаська область","районний будинок культури, хол
проїзд Театральний, 14, м.Золотоноша, Черкаська обл., 19702","1708","743","1689","29","939","26","965","","0","939","26","965","15","950","6","497","0","333","7","0","23","23","0","10","1","2","0","1","3","7","12","0","2","23","29.10.12"
"710884","197","Черкаська область","гімназія ім. С.Д.Скляренка, хол
вул.Черкаська, 54, м.Золотоноша, Черкаська обл., 19702","1768","855","1749","77","862","51","913","","0","862","51","913","23","890","1","451","1","325","1","1","19","65","0","1","4","6","1","0","1","0","8","2","0","3","29.10.12"
"710885","197","Черкаська область","спеціалізована школа №1, хол
вул.Черкаська, 12, м.Золотоноша, Черкаська обл., 19702","2308","1029","2300","102","1198","81","1279","","0","1198","81","1279","41","1238","35","354","12","386","4","0","67","114","1","65","2","5","0","3","28","16","34","2","4","106","29.10.12"
"710886","197","Черкаська область","дитяча дошкільна установа ""Веселка"", хол
вул.Шепелівська, 14, м.Золотоноша, Черкаська обл., 19702","2020","952","2013","64","1016","52","1068","","0","1016","52","1068","28","1040","18","286","8","389","3","0","80","71","2","33","7","6","0","5","11","7","34","0","3","77","29.10.12"
"710887","197","Черкаська область","школа №6, хол
вул.Благовіщенська, 96А, м.Золотоноша, Черкаська обл., 19702","2216","1047","2219","84","1112","57","1169","","0","1112","57","1169","27","1142","3","551","1","467","0","2","28","34","0","11","0","3","0","1","2","1","13","0","1","24","29.10.12"
"710888","197","Черкаська область","школа №6, коридор
вул.Шевченка, 83, м.Канів, Черкаська обл., 19000","1956","802","1930","23","1132","22","1154","","0","1132","22","1154","30","1124","2","819","0","127","27","1","1","34","0","43","0","0","0","0","4","0","1","1","1","63","29.10.12"
"710889","197","Черкаська область","бібліотека, хол
вул.Шевченка, 47, м.Канів, Черкаська обл., 19000","968","366","961","9","596","6","602","","0","596","6","602","13","589","1","186","0","301","0","2","4","23","0","37","0","5","2","0","2","0","5","1","1","19","29.10.12"
"710890","197","Черкаська область","школа №4, актовий зал
вул.Дніпробудівська, 2, м.Канів, Черкаська обл., 19000","1936","893","1910","19","1028","15","1043","","0","1028","15","1043","38","1005","19","149","13","426","23","3","15","162","3","53","2","6","1","6","1","2","8","2","5","106","29.10.12"
"710891","197","Черкаська область","дошкільний навчальний заклад ""Білочка"", каб. №2
вул.Кошового, 12, м.Канів, Черкаська обл., 19000","1952","873","1925","43","1043","36","1079","","0","1043","36","1079","35","1044","13","155","10","459","27","2","9","161","1","50","1","16","1","5","5","1","11","2","1","114","29.10.12"
"710892","197","Черкаська область","міський виконавчий комітет, сесійна зала будинку рад
вул.Кошового, 3, м.Канів, Черкаська обл., 19000","1940","831","1923","31","1086","23","1109","","0","1086","23","1109","40","1069","26","192","10","450","20","2","10","161","3","53","1","13","1","5","2","3","14","10","3","90","29.10.12"
"710893","197","Черкаська область","кінотеатр, хол
вул.Кошового, 1, м.Канів, Черкаська обл., 19000","1900","795","1875","25","1082","23","1105","","0","1082","23","1105","39","1066","13","624","0","263","0","1","2","59","0","38","0","0","0","0","2","1","5","4","4","50","29.10.12"
"710894","197","Черкаська область","Канівське училище культури і мистецтв обласної ради, читальний зал
вул.Федоренка, 28, м.Канів, Черкаська обл., 19000","1960","957","1953","51","969","34","1003","","0","969","34","1003","33","970","7","655","0","115","0","1","3","59","0","38","0","8","0","0","2","1","9","0","2","70","29.10.12"
"710895","197","Черкаська область","школа №1, коридор
вул.1 Травня, 76, м.Канів, Черкаська обл., 19000","1996","854","1977","29","1115","27","1142","","0","1115","27","1142","33","1109","23","139","7","588","27","3","6","148","3","55","0","11","3","2","0","2","10","3","2","77","29.10.12"
"710896","197","Черкаська область","гуртожиток, актовий зал
вул.Енергетиків, 22, м.Канів, Черкаська обл., 19000","992","459","980","4","531","2","533","","0","531","2","533","22","511","3","113","4","245","13","0","14","61","2","8","0","1","0","0","0","1","3","0","3","40","29.10.12"
"710897","197","Черкаська область","спортивний клуб, тренувальний зал
вул.Леніна, 158, м.Канів, Черкаська обл., 19000","2016","1052","1998","26","941","23","964","","0","941","23","964","26","938","5","779","0","54","0","1","1","26","0","38","0","1","0","0","2","1","1","1","2","26","29.10.12"
