"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Василина
Роман
Петрович","Давиденко
Олексій
Григорович","Запорожець
Володимир
Олексійович","Колесник
Андрій
Валерійович","Курудз
Богдан
Михайлович","Логін
Петро
Зіновійович","Макуха
Роман
Васильович","Нікітченко
Ольга
Петрівна","Палютін
Пилип
Юрійович","Решетняк
Вадим
Володимирович","Рудик
Сергій
Ярославович","Савченко
Ігор
Васильович","Семинога
Анатолій
Іванович","Таран
Сергій
Миколайович","Тимошенко
Віктор
Анатолійович","Харламов
Олександр
Володимирович","Цоньо
Віктор
Михайлович","Чегровой
Максим
Павлович","Чекаленко
Ігор
Миколайович","Дата підписання протоколу"
"710230","198","Черкаська область","АТП 17142, актова зала
вул.Заводська, 4, м.Кам’янка, Кам’янський р-н, Черкаська обл., 20800","776","318","776","28","431","27","458","","0","431","27","458","17","441","4","9","16","13","0","0","1","8","0","119","166","1","14","1","81","8","0","0","0","29.10.12"
"710231","198","Черкаська область","Сортодослідна станція, актова зала
вул.Червоноармійська, 31, м.Кам’янка, Кам’янський р-н, Черкаська обл., 20800","1556","600","1560","40","916","40","956","","0","916","40","956","20","936","11","12","22","25","0","1","3","3","2","205","350","5","36","15","228","15","1","0","2","29.10.12"
"710232","198","Черкаська область","школа №2, фойє
вул.Леніна, 55, м.Кам’янка, Кам’янський р-н, Черкаська обл., 20800","1572","589","1554","22","965","18","983","","0","965","18","983","20","963","33","10","31","19","2","0","2","11","1","166","367","2","50","7","252","7","0","1","2","29.10.12"
"710233","198","Черкаська область","Будинок культури, фойє
вул.Сердюка, 1, м.Кам’янка, Кам’янський р-н, Черкаська обл., 20800","1276","538","1256","55","700","38","738","","0","700","38","738","8","730","9","9","12","17","1","0","2","11","0","106","251","1","10","6","290","4","0","1","0","29.10.12"
"710234","198","Черкаська область","школа №1, фойє
вул.Леніна, 18А, м.Кам’янка, Кам’янський р-н, Черкаська обл., 20800","1216","394","1212","19","805","17","822","","0","805","17","822","13","809","17","8","29","32","0","1","1","17","1","216","255","1","41","2","180","7","1","0","0","29.10.12"
"710235","198","Черкаська область","""Райавтодор"", фойє
вул.Чехова, 6, м.Кам’янка, Кам’янський р-н, Черкаська обл., 20800","1124","428","1123","29","670","26","696","","0","670","26","696","14","682","15","9","20","18","1","1","0","35","1","118","241","1","24","6","180","10","1","1","0","29.10.12"
"710236","198","Черкаська область","районна бібліотека, фойє
вул.Людмили Борисової, 4, м.Кам’янка, Кам’янський р-н, Черкаська обл., 20800","836","337","815","6","494","5","499","","0","494","5","499","6","493","12","3","15","21","0","0","0","15","0","94","196","5","34","3","81","10","0","0","4","29.10.12"
"710237","198","Черкаська область","Будинок культури, фойє
вул.Декабристів, 9, м.Кам’янка, Кам’янський р-н, Черкаська обл., 20800","1356","509","1355","41","808","39","847","","0","808","39","847","15","832","20","17","29","19","0","0","2","20","3","161","250","7","24","6","256","13","3","1","1","29.10.12"
"710238","198","Черкаська область","школа №3, їдальня
вул.Декабристів, 68, м.Кам’янка, Кам’янський р-н, Черкаська обл., 20800","1392","462","1389","64","866","64","930","","0","866","64","930","22","908","15","6","27","25","0","1","0","10","0","237","371","0","17","8","165","17","0","0","9","29.10.12"
"710239","198","Черкаська область","Будинок культури, фойє
вул.Перемоги, 22, с.Баландине, Кам’янський р-н, Черкаська обл., 20843","648","205","639","59","397","46","443","","0","397","46","443","9","434","2","6","7","7","1","4","0","17","1","77","100","1","13","2","195","1","0","0","0","29.10.12"
"710240","198","Черкаська область","школа, фойє
вул.Центральна, 26, с.Вербівка, Кам’янський р-н, Черкаська обл., 20841","480","144","470","63","276","60","336","","0","276","60","336","5","331","5","12","7","8","0","0","2","5","1","139","76","4","15","2","49","5","0","1","0","29.10.12"
"710241","198","Черкаська область","школа, фойє
вул.Леніна, 95, с.Грушківка, Кам’янський р-н, Черкаська обл., 20810","784","267","772","79","444","73","517","","0","444","73","517","4","513","4","13","5","4","2","0","0","2","0","85","43","1","31","6","315","1","0","0","1","29.10.12"
"710242","198","Черкаська область","школа, фойє
вул.Шкільна, 10, с.Жаботин, Кам’янський р-н, Черкаська обл., 20822","828","244","837","57","529","55","584","","0","529","55","584","10","574","8","14","11","3","0","0","2","6","2","210","121","1","24","5","161","3","2","1","0","29.10.12"
"710243","198","Черкаська область","сільський клуб, концертний зал
вул.Шевченка, 6, с.Флярківка, Кам’янський р-н, Черкаська обл., 20822","332","68","322","17","249","15","264","","0","249","15","264","2","262","2","8","6","1","0","2","1","0","2","58","41","2","3","12","121","2","0","0","1","28.10.12"
"710244","198","Черкаська область","школа, кімната №2
вул.Жовтнева, 12А, с.Катеринівка, Кам’янський р-н, Черкаська обл., 20831","324","90","319","31","207","27","234","","0","207","27","234","6","228","0","5","3","4","0","0","1","3","0","18","15","1","20","0","156","1","0","1","0","29.10.12"
"710245","198","Черкаська область","Будинок культури, фойє
вул.Кірова, 6, с.Косарі, Кам’янський р-н, Черкаська обл., 20813","464","171","461","40","254","39","293","","0","254","39","293","9","284","2","7","3","6","0","1","0","4","0","52","108","1","11","4","82","2","0","0","1","29.10.12"
"710246","198","Черкаська область","школа, фойє
вул.Перемоги, 3, с.Косарі, Кам’янський р-н, Черкаська обл., 20813","1208","409","1187","164","661","138","799","","0","661","138","799","22","777","14","26","9","10","2","1","0","18","1","135","237","1","38","7","255","19","3","1","0","29.10.12"
"710247","198","Черкаська область","сільський клуб, фойє
вул.Щорса, 71, с.Коханівка, Кам’янський р-н, Черкаська обл., 20833","140","35","137","17","91","14","105","","0","91","14","105","2","103","1","0","12","1","1","0","0","2","0","47","13","0","5","1","20","0","0","0","0","29.10.12"
"710248","198","Черкаська область","дитячий садок, кімната №1
вул.Жовтнева, 33, с.Лебедівка, Кам’янський р-н, Черкаська обл., 20840","428","127","424","34","269","32","301","","0","269","32","301","3","298","7","16","8","7","3","0","1","15","1","51","70","2","12","2","96","5","2","0","0","28.10.12"
"710249","198","Черкаська область","школа, фойє
вул.Зозулевича, 38, с.Лубенці, Кам’янський р-н, Черкаська обл., 20820","184","63","175","23","99","22","121","","0","99","22","121","2","119","0","3","1","2","0","1","1","1","0","18","20","2","6","0","61","1","0","1","1","29.10.12"
"710250","198","Черкаська область","Будинок культури, фойє
вул.Лигіна, 54, с.Куликівка, Кам’янський р-н, Черкаська обл., 20821","148","37","146","20","91","20","111","","0","91","20","111","1","110","0","3","4","3","0","1","0","0","0","26","4","0","0","2","65","0","0","0","2","29.10.12"
"710251","198","Черкаська область","школа, фойє
вул.Комсомольська, 12, с.Лузанівка, Кам’янський р-н, Черкаська обл., 20830","484","168","479","47","270","46","316","","0","270","46","316","8","308","4","14","5","7","0","3","2","7","2","99","24","0","24","5","111","0","0","1","0","29.10.12"
"710252","198","Черкаська область","Будинок культури, фойє
вул.Леніна, 27, с.Михайлівка, Кам’янський р-н, Черкаська обл., 20825","1540","679","1515","62","802","59","861","","0","802","59","861","24","837","37","17","16","25","5","0","2","20","3","214","271","11","38","11","158","3","1","3","2","30.10.12"
"710253","198","Черкаська область","школа, фойє
вул.Леніна, 1, с.Радиванівка, Кам’янський р-н, Черкаська обл., 20832","280","69","283","27","185","26","211","","0","185","26","211","1","210","0","1","1","0","0","0","0","0","0","22","16","0","120","0","48","0","0","0","2","29.10.12"
"710254","198","Черкаська область","ФАП, кімната №2
вул.Жовтнева, 32, с.Олянине, Кам’янський р-н, Черкаська обл., 20832","68","20","67","7","41","7","48","","0","41","7","48","1","47","0","4","1","0","0","0","0","0","0","2","4","1","18","1","16","0","0","0","0","29.10.12"
"710255","198","Черкаська область","Будинок культури, фойє
вул.Червоноармійська, 8, с.Райгород, Кам’янський р-н, Черкаська обл., 20824","896","262","889","129","511","123","634","","0","511","123","634","11","623","10","32","20","6","2","0","2","7","3","129","61","5","40","7","293","5","1","0","0","29.10.12"
"710256","198","Черкаська область","фельдшерський пункт, кабінет фельдшера
вул.Хліборобів, 1, с.Ярове, Кам’янський р-н, Черкаська обл., 20824","108","31","108","11","67","10","77","","0","67","10","77","2","75","1","9","0","0","0","0","0","0","1","12","8","2","2","1","39","0","0","0","0","29.10.12"
"710257","198","Черкаська область","школа, фойє
вул.Кам’янська, 17, с.Ребедайлівка, Кам’янський р-н, Черкаська обл., 20811","828","287","816","49","499","42","541","","0","499","42","541","13","528","6","20","12","17","1","0","0","12","0","146","87","2","34","5","182","4","0","0","0","29.10.12"
"710258","198","Черкаська область","школа, спортивна зала
вул.Воронкова, 23, с.Ревівка, Кам’янський р-н, Черкаська обл., 20812","416","116","405","43","257","43","300","","0","257","43","300","6","294","0","7","14","3","0","0","0","3","0","63","41","2","14","1","146","0","0","0","0","29.10.12"
"710259","198","Черкаська область","сільський клуб, фойє
вул.Жовтнева, 17, с.Пляківка, Кам’янський р-н, Черкаська обл., 20812","584","256","576","51","293","35","328","","0","293","35","328","5","323","5","13","7","9","1","3","1","8","0","81","59","0","8","2","124","2","0","0","0","30.10.12"
"710260","198","Черкаська область","Будинок культури, фойє
вул.Леніна, 54, с.Телепине, Кам’янський р-н, Черкаська обл., 20842","1152","466","1140","75","619","67","686","","0","619","67","686","21","665","13","14","13","11","2","2","1","7","4","160","142","5","72","3","206","3","2","2","3","29.10.12"
"710261","198","Черкаська область","Будинок культури, фойє
вул.Леніна, 13, с.Тимошівка, Кам’янський р-н, Черкаська обл., 20815","604","171","596","40","397","36","433","","0","397","36","433","6","427","2","0","10","13","0","1","0","2","0","81","69","2","25","22","195","2","1","0","2","29.10.12"
"710262","198","Черкаська область","Будинок культури, фойє
вул.Казаряна, 1, с.Юрчиха, Кам’янський р-н, Черкаська обл., 20814","868","322","862","71","475","71","546","","0","475","71","546","12","534","6","16","17","13","0","0","0","9","0","92","109","6","24","6","232","3","0","0","1","29.10.12"
"710510","198","Черкаська область","школа №1, вестибюль
вул.Незалежності, 5, с.Балаклея, Смілянський р-н, Черкаська обл., 20721","1560","683","1543","60","823","54","877","","0","823","54","877","16","861","20","56","4","39","1","1","2","14","1","141","105","14","61","11","388","0","1","2","0","29.10.12"
"710511","198","Черкаська область","школа №2, вестибюль, 2-й корпус
вул.Коцюбинського, 9, с.Балаклея, Смілянський р-н, Черкаська обл., 20721","1468","613","1456","51","812","43","855","","0","812","43","855","19","836","19","83","6","44","1","3","2","6","4","150","94","1","61","15","343","0","1","2","1","29.10.12"
"710512","198","Черкаська область","школа №3, вестибюль, 1-й корпус
вул.Гайдара, 19, с.Балаклея, Смілянський р-н, Черкаська обл., 20721","628","219","628","42","374","35","409","","0","374","35","409","15","394","5","26","2","9","0","0","0","3","0","39","33","1","11","10","249","2","2","1","1","30.10.12"
"710513","198","Черкаська область","школа, спортивна зала
вул.Леніна, 36, с.Теклине, Смілянський р-н, Черкаська обл., 20723","448","130","450","47","273","45","318","","0","273","45","318","8","310","2","36","16","19","0","0","1","1","0","62","17","3","43","6","103","0","0","0","1","29.10.12"
"710514","198","Черкаська область","будинок культури, мала зала
вул.Химичів, 1В, с.Березняки, Смілянський р-н, Черкаська обл., 20746","1856","829","1828","102","952","75","1027","","0","952","75","1027","32","995","31","66","11","45","4","3","2","26","7","306","158","6","58","20","244","1","4","1","2","29.10.12"
"710515","198","Черкаська область","школа, спортивна зала
вул.Данільченка, 1А, с.Велика Яблунівка, Смілянський р-н, Черкаська обл., 20745","1608","699","1577","119","794","115","909","","0","794","115","909","13","896","11","75","7","1","33","0","4","28","3","147","149","6","30","23","367","5","4","2","1","29.10.12"
"710516","198","Черкаська область","школа, спортивна зала
вул.Котляра, 4, с.Голов’ятине, Смілянський р-н, Черкаська обл., 20740","380","84","376","35","262","34","296","","0","262","34","296","13","283","3","12","2","7","0","0","0","12","1","49","37","1","32","1","122","1","0","0","3","29.10.12"
"710517","198","Черкаська область","фельдшерсько-акушерський пункт, к.1
пров.Набережний, 4, с.Гуляйгородок, Смілянський р-н, Черкаська обл., 20740","76","16","73","9","52","8","60","","0","52","8","60","0","60","0","0","4","0","0","0","1","2","0","21","5","0","6","0","20","0","1","0","0","28.10.12"
"710518","198","Черкаська область","сільський клуб, глядацька зала
вул.Шевченка, 111, с.Малий Бузуків, Смілянський р-н, Черкаська обл., 20740","212","50","215","14","149","13","162","","0","149","13","162","7","155","0","6","2","11","0","0","0","2","0","28","16","0","21","1","63","0","0","1","4","30.10.12"
"710519","198","Черкаська область","сільський клуб, глядацька зала
вул.Леніна, 10, с.Залевки, Смілянський р-н, Черкаська обл., 20742","476","168","474","42","271","37","308","","0","271","37","308","11","297","3","11","9","10","0","0","1","1","1","67","43","1","12","4","132","1","1","0","0","29.10.12"
"710520","198","Черкаська область","школа, вестибюль
вул.Першотравнева, 2, с.Ковалиха, Смілянський р-н, Черкаська обл., 20734","552","179","546","55","323","50","373","","0","323","50","373","4","369","4","16","2","11","0","0","2","8","1","80","38","2","46","2","156","0","0","1","0","30.10.12"
"710521","198","Черкаська область","школа, вестибюль
вул.Миру, 1, с.Костянтинівка, Смілянський р-н, Черкаська обл., 20724","2208","853","2173","87","1284","71","1355","","0","1284","71","1355","26","1329","9","78","7","54","1","0","2","19","3","260","160","7","138","26","560","2","3","0","0","29.10.12"
"710522","198","Черкаська область","сільський клуб, глядацька зала
вул.Леніна, 206, с.Будки, Смілянський р-н, Черкаська обл., 20724","1108","339","1088","62","708","61","769","","0","708","61","769","13","756","3","26","2","21","0","0","1","10","2","75","96","4","53","13","449","1","0","0","0","29.10.12"
"710523","198","Черкаська область","будинок культури, глядацька зала
вул.Карпенка Карого, 2, с.Плоске, Смілянський р-н, Черкаська обл., 20710","1292","480","1274","58","759","53","812","","0","759","53","812","11","801","10","57","6","36","1","2","1","19","3","164","138","10","81","7","260","0","4","1","1","29.10.12"
"710524","198","Черкаська область","будинок культури, фойє
вул.Леніна, 2, с.Куцівка, Смілянський р-н, Черкаська обл., 20750","556","219","549","50","294","43","337","","0","294","43","337","12","325","2","44","5","9","1","0","1","7","4","38","76","3","56","10","65","2","1","1","0","29.10.12"
"710525","198","Черкаська область","будинок культури, фойє
вул.Леніна, 18, с.Макіївка, Смілянський р-н, Черкаська обл., 20754","972","307","964","115","565","100","665","","0","565","100","665","11","654","6","9","5","6","1","0","2","5","3","40","13","0","496","1","63","1","1","1","1","28.10.12"
"710526","198","Черкаська область","сільський клуб, глядацька зала
вул.Красна, 53, с.Буда-Макіївка, Смілянський р-н, Черкаська обл., 20755","216","47","212","30","143","26","169","","0","143","26","169","7","162","0","4","1","4","0","1","0","1","1","7","3","0","118","0","22","0","0","0","0","29.10.12"
"710527","198","Черкаська область","школа, вестибюль
вул.Центральна, 4, с.Мельниківка, Смілянський р-н, Черкаська обл., 20728","484","156","486","49","280","48","328","","0","280","48","328","9","319","2","12","3","4","0","3","1","2","0","74","26","3","11","30","146","2","0","0","0","28.10.12"
"710528","198","Черкаська область","сільський клуб, фойє
вул.Леніна, 9, с.Мала Смілянка, Смілянський р-н, Черкаська обл., 20730","704","206","695","54","452","46","498","","0","452","46","498","9","489","2","22","4","12","1","0","0","11","4","41","37","2","17","3","332","1","0","0","0","29.10.12"
"710529","198","Черкаська область","школа, 2-й корпус
вул.Шкільна, 11, с.Миколаївка, Смілянський р-н, Черкаська обл., 20732","472","155","466","45","280","37","317","","0","280","37","317","4","313","2","10","4","12","0","0","0","9","2","54","27","3","14","3","173","0","0","0","0","30.10.12"
"710530","198","Черкаська область","будинок культури, фойє
вул.Докучаєва, 17, с-ще Холоднянське, Смілянський р-н, Черкаська обл., 20731","916","281","902","22","613","22","635","","0","613","22","635","13","622","4","41","8","28","2","0","3","25","1","127","165","2","18","24","167","1","0","2","4","29.10.12"
"710531","198","Черкаська область","школа, вестибюль
вул.Леніна, 130, с.Мале Старосілля, Смілянський р-н, Черкаська обл., 20720","612","178","603","80","365","69","434","","0","365","69","434","21","413","4","5","4","9","3","1","3","1","0","65","36","13","30","0","232","3","2","1","1","29.10.12"
"710532","198","Черкаська область","школа, вестибюль
вул.Першотравнева, 3, с.Носачів, Смілянський р-н, Черкаська обл., 20727","728","273","720","59","404","51","455","","0","404","51","455","10","445","1","17","2","18","1","2","0","9","3","128","45","3","40","13","160","2","1","0","0","29.10.12"
"710533","198","Черкаська область","дитячий садок ""Ромашка"", вестибюль
вул.Леніна, 279, с.Носачів, Смілянський р-н, Черкаська обл., 20727","376","110","370","48","223","43","266","","0","223","43","266","5","261","1","8","2","6","0","0","0","1","0","49","35","1","22","5","130","1","0","0","0","29.10.12"
