"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Білик
Руслан
Григорович","Буденко
Вячеслав
Євгенійович","Ковальчук
Василь
Іванович","Мельниченко
Володимир
Володимирович","Приступа
Петро
Адольфович","Товкайло
Василь
Тихонович","Шовкошитний
Володимир
Федорович","Ярема
Ростислав
Тарасович","Дата підписання протоколу"
"681343","193","Хмельницька область","дошкільний навчальний заклад №2, спортивний зал
вул.Черняхівського, 60, м.Кам’янець-Подільський, Хмельницька обл., 32300","2496","1001","2500","24","1473","22","1495","","0","1473","22","1495","33","1462","14","3","30","579","34","152","73","577","29.10.12"
"681344","193","Хмельницька область","Подільський Державний аграрно-технічний університет, гуртожиток, вестибюль
вул.Тімірязєва, 114А, м.Кам’янець-Подільський, Хмельницька обл., 32300","2176","1156","2203","6","1016","4","1020","","0","1016","4","1020","13","1007","3","2","9","710","35","55","20","173","29.10.12"
"681345","193","Хмельницька область","головний корпус Подільського Державного аграрно-технічного університету, хол
вул.Шевченка, 12, м.Кам’янець-Подільський, Хмельницька обл., 32300","1864","767","1883","26","1079","18","1097","","0","1079","18","1097","20","1077","17","3","17","464","42","122","58","354","29.10.12"
"681346","193","Хмельницька область","навчально-виховний комплекс №9, вестибюль
вул.Драгоманова, 12, м.Кам’янець-Подільський, Хмельницька обл., 32300","1672","706","1674","33","936","30","966","","0","936","30","966","22","944","5","3","17","388","28","108","73","322","29.10.12"
"681347","193","Хмельницька область","медичне училище, коридор, 2-й поверх
вул.Пушкінська, 31, м.Кам’янець-Подільський, Хмельницька обл., 32300","1552","660","1549","38","860","32","892","","0","860","32","892","37","855","6","3","12","325","15","89","58","347","29.10.12"
"681348","193","Хмельницька область","ііндустріаль коледж, гуртожиток №2, вестибюль
вул.Лесі Українки, 8, м.Кам’янець-Подільський, Хмельницька обл., 32300","1392","537","1398","39","821","34","855","","0","821","34","855","20","835","6","6","7","357","27","71","56","305","29.10.12"
"681349","193","Хмельницька область","Гімназія, вестибюль
вул.Червоноармійська, 17, м.Кам’янець-Подільський, Хмельницька обл., 32300","1848","730","1832","42","1080","38","1118","","0","1079","38","1117","28","1089","10","5","19","447","34","76","99","399","29.10.12"
"681350","193","Хмельницька область","коледж культури та мистецтв, гуртожиток, актова зала
вул.Тімірязєва, 111, м.Кам’янець-Подільський, Хмельницька обл., 32300","1296","538","1277","25","740","18","758","","0","740","18","758","24","734","12","1","5","300","21","52","54","289","29.10.12"
"681351","193","Хмельницька область","навчально-виховний комплекс №16, спортивний зал
вул.Північна, 102, м.Кам’янець-Подільський, Хмельницька обл., 32300","2200","1065","2193","40","1097","38","1135","","0","1097","38","1135","23","1112","17","4","27","476","35","108","65","380","29.10.12"
"681352","193","Хмельницька область","професійний художній ліцей, актова зала, 3-й поверх
вул.Червоноармійська, 43, м.Кам’янець-Подільський, Хмельницька обл., 32300","1496","534","1508","47","925","37","962","","0","925","37","962","32","930","9","3","16","386","36","105","62","313","29.10.12"
"681353","193","Хмельницька область","школа №15, актова зала, 2-й поверх
просп.Грушевського, 17, м.Кам’янець-Подільський, Хмельницька обл., 32300","1928","875","1910","46","1018","35","1053","","0","1017","35","1052","34","1018","16","4","18","425","43","114","69","329","29.10.12"
"681354","193","Хмельницька область","коледж будівництва, архітектури та дизайну, гуртожиток, столова
просп.Грушевського, 36, м.Кам’янець-Подільський, Хмельницька обл., 32300","1792","705","1794","34","1056","31","1087","","0","1056","31","1087","30","1057","9","0","9","484","48","86","50","371","29.10.12"
"681355","193","Хмельницька область","Кам’янець-Подільський національний університет, навчальний корпус
вул.Гагаріна, 47, м.Кам’янець-Подільський, Хмельницька обл., 32300","1296","570","1300","16","715","11","726","","0","715","11","726","19","707","11","4","12","262","23","70","60","265","29.10.12"
"681356","193","Хмельницька область","Кам’янець-Подільський національний університет, навчальний корпус, ауд.103
вул.Уральська, 1Б, м.Кам’янець-Подільський, Хмельницька обл., 32300","1120","407","1129","35","682","31","713","","0","682","31","713","12","701","3","0","12","284","21","67","64","250","29.10.12"
"681357","193","Хмельницька область","Кам’янець-Подільський національний університет, навчальний корпус
вул.Уральська, 1, м.Кам’янець-Подільський, Хмельницька обл., 32300","1144","481","1139","24","642","21","663","","0","642","21","663","17","646","4","0","10","293","22","63","54","200","29.10.12"
"681358","193","Хмельницька область","Кам’янець-Подільський національний університет, гуртожиток №3
вул.Уральська, 3, м.Кам’янець-Подільський, Хмельницька обл., 32300","1568","565","1570","4","1000","3","1003","","0","1000","3","1003","16","987","10","5","10","522","22","83","36","299","29.10.12"
"681359","193","Хмельницька область","Міська лікарня, терапевтичне відділення
вул.Матросова, 17, м.Кам’янець-Подільський, Хмельницька обл., 32300","1488","594","1474","5","891","3","894","","0","891","3","894","24","870","9","3","16","282","23","100","83","354","29.10.12"
"681360","193","Хмельницька область","обласний навчально-курсовий комбінат, навчально-виставковий клас
вул.Князів Коріатовичів, 27, м.Кам’янець-Подільський, Хмельницька обл., 32300","1448","601","1429","13","838","9","847","","0","838","9","847","18","829","11","0","24","301","18","77","58","340","29.10.12"
"681361","193","Хмельницька область","Кам’янець-Подільський національний університет, гуртожиток №5, хол
просп.Грушевського, 31 корп.А, м.Кам’янець-Подільський, Хмельницька обл., 32300","2264","867","2268","13","1387","10","1397","","0","1387","10","1397","25","1372","14","7","10","734","21","156","63","367","29.10.12"
"681362","193","Хмельницька область","школа №5, вестибюль
вул.Лесі Українки, 59, м.Кам’янець-Подільський, Хмельницька обл., 32300","1264","492","1259","38","743","29","772","","0","743","29","772","17","755","5","2","17","302","23","87","58","261","29.10.12"
"681363","193","Хмельницька область","Планово-економічний технікум, вестибюль
вул.Годованця, 13, м.Кам’янець-Подільський, Хмельницька обл., 32300","2360","1036","2332","31","1300","24","1324","","0","1300","24","1324","35","1289","13","3","28","471","22","130","92","530","29.10.12"
"681364","193","Хмельницька область","коледж Подільського Державного аграрно-технічного університету, вестибюль
вул.Лесі Українки, 95 м.Кам’янець-Подільський, Хмельницька обл., 32300","1560","535","1576","37","990","35","1025","","0","990","35","1025","27","998","8","3","12","368","47","104","65","391","29.10.12"
"681365","193","Хмельницька область","Державний професійно-технічний заклад ""Кам’янець-Подільське вище професійне училище"", фойє
просп.Грушевського, 41В, м.Кам’янець-Подільський, Хмельницька обл., 32300","1048","517","1036","9","528","3","531","","0","528","3","531","16","515","4","1","11","181","16","73","34","195","29.10.12"
"681366","193","Хмельницька область","школа №12, вестибюль
вул.Будівельників, 19, м.Кам’янець-Подільський, Хмельницька обл., 32300","1728","659","1730","29","1045","24","1069","","0","1045","24","1069","16","1053","10","4","11","352","25","98","75","478","29.10.12"
"681367","193","Хмельницька область","дошкільний навчальний заклад №12, приміщення патронатної групи
вул.Фрунзе, 15, м.Кам’янець-Подільський, Хмельницька обл., 32300","1440","689","1434","15","738","13","751","","0","738","13","751","23","728","5","2","12","284","19","58","46","302","29.10.12"
"681368","193","Хмельницька область","філія ПВНЗ""Європейський університет"", хол
вул.Івана Франка, 10, м.Кам’янець-Подільський, Хмельницька обл., 32300","1392","602","1390","36","762","28","790","","0","762","28","790","26","764","8","1","13","246","23","77","61","335","29.10.12"
"681369","193","Хмельницька область","спеціалізована школа №1, вестибюль
пл.Польський ринок, 6, м.Кам’янець-Подільський, Хмельницька обл., 32300","1664","781","1654","28","857","26","883","","0","857","26","883","33","850","5","1","18","312","19","94","59","342","29.10.12"
"681370","193","Хмельницька область","школа №11, актова зала
вул.Козицького, 27Б, м.Кам’янець-Подільський, Хмельницька обл., 32300","1816","765","1826","60","993","58","1051","","0","993","58","1051","22","1029","14","1","8","451","13","71","76","395","29.10.12"
"681371","193","Хмельницька область","факультет військової підготовки при К-ПНУ, клуб, глядацька зала
вул.Гагаріна, 54, м.Кам’янець-Подільський, Хмельницька обл., 32300","1224","714","791","6","506","4","510","","0","506","4","510","11","499","11","3","10","180","10","48","35","202","29.10.12"
"681372","193","Хмельницька область","міська лікарня №1, клуб
вул.Пушкінська, 31, м.Кам’янець-Подільський, Хмельницька обл., 32300","104","32","81","51","28","44","72","","0","28","44","72","4","68","0","0","0","49","4","2","2","11","28.10.12"
"681373","193","Хмельницька область","кардіологічне відділення, кімната відпочинку
вул.Матросова, 17, м.Кам’янець-Подільський, Хмельницька обл., 32300","264","164","127","55","55","45","100","","0","55","45","100","4","96","0","0","0","53","2","6","7","28","04.11.12"
"681374","193","Хмельницька область","Медико-соціальний центр ""Довголіття""
вул.Івана Франка, 30, м.Кам’янець-Подільський, Хмельницька обл., 32300","64","18","48","13","33","13","46","","0","33","13","46","0","46","0","0","1","37","1","1","1","5","28.10.12"
