"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Браславець
Ольга
Василівна","Вінський
Йосип
Вікентійович","Герега
Олександр
Володимирович","Довгань
Валерій
Іванович","Купчик
Олег
Леонідович","Мусій
Мирослав
Ярославович","Орлов
Володимир
Іванович","Пятак
Галина
Василівна","Свято
Василь
Петрович","Дата підписання протоколу"
"681277","192","Хмельницька область","сільський будинок культури, к.2
вул.Молодіжна, 1, с.Вербка-Мурована, Ярмолинецький р-н, Хмельницька обл., 32142","384","92","375","67","229","63","292","","0","229","63","292","15","277","1","8","227","2","7","19","7","6","0","29.10.12"
"681278","192","Хмельницька область","школа, к.2
вул.Центральна, 3, с.Виноградівка, Ярмолинецький р-н, Хмельницька обл., 32123","384","100","386","92","198","86","284","","0","198","86","284","6","278","6","20","204","0","8","32","5","2","1","29.10.12"
"681279","192","Хмельницька область","сільська бібліотека, к.2
вул.Центральна, 1, с.Слобідка, Ярмолинецький р-н, Хмельницька обл., 32123","128","38","123","32","63","27","90","","0","63","27","90","3","87","1","16","51","0","1","14","2","2","0","29.10.12"
"681280","192","Хмельницька область","сільський будинок культури, к.2
вул.Лесі Українки, 29, с.Глушківці, Ярмолинецький р-н, Хмельницька обл., 32160","824","331","813","47","447","46","493","","0","447","46","493","26","467","10","93","189","2","17","141","5","6","4","29.10.12"
"681281","192","Хмельницька область","сільський будинок культури, к.2
вул.Б.Хмельницького, 29, с.Слобідка Глушковецька, Ярмолинецький р-н, Хмельницька обл., 32160","168","63","159","16","90","15","105","","0","90","15","105","5","100","1","12","51","1","3","26","2","2","2","29.10.12"
"681282","192","Хмельницька область","сільський клуб, к.2
вул.Суворова, 1, с.Жилинці, Ярмолинецький р-н, Хмельницька обл., 32131","612","277","463","47","292","43","335","","0","292","43","335","11","324","4","23","197","2","19","77","0","2","0","29.10.12"
"681283","192","Хмельницька область","ЛОК ""Яблуневий сад"", к.2
вул.Піонерська, 1, с.Жилинці (Левківці), Ярмолинецький р-н, Хмельницька обл., 32131","232","55","227","33","145","32","177","","0","145","32","177","4","173","4","29","98","0","3","36","1","1","1","29.10.12"
"681284","192","Хмельницька область","адмінбудинок сільської ради, к.2
вул.Перемоги, 6, с.Кадиївка, Ярмолинецький р-н, Хмельницька обл., 32112","408","132","404","22","256","20","276","","0","256","20","276","5","271","6","23","176","3","10","45","5","3","0","29.10.12"
"681285","192","Хмельницька область","сільський клуб, к.2
вул.Шкільна, 1, с.Волудринці, Ярмолинецький р-н, Хмельницька обл., 32112","264","96","254","22","146","22","168","","0","146","22","168","4","164","11","37","58","3","14","38","1","0","2","29.10.12"
"681286","192","Хмельницька область","ФАП, к.2
вул.Першотравнева, 8А, с.Слобідка-Кадиївська, Ярмолинецький р-н, Хмельницька обл., 32112","120","37","116","18","66","17","83","","0","66","17","83","5","78","0","20","39","1","1","8","5","0","4","29.10.12"
"681287","192","Хмельницька область","школа, к.2
вул.Кам’янецька, 16, с.Косогірка, Ярмолинецький р-н, Хмельницька обл., 32115","376","116","375","32","228","32","260","","0","228","32","260","14","246","2","14","140","1","10","70","4","4","1","29.10.12"
"681288","192","Хмельницька область","контора СТОВ ""Михайлівський"", к.2
вул.Центральна, 3, с.Михайлівка, Ярмолинецький р-н, Хмельницька обл., 32140","424","139","412","52","237","48","285","","0","237","48","285","3","282","7","39","133","4","18","58","11","8","4","29.10.12"
"681289","192","Хмельницька область","ветлікарня, к.2
вул.Степова, 2, с.Видошня, Ярмолинецький р-н, Хмельницька обл., 32140","144","36","139","12","97","11","108","","0","97","11","108","0","108","2","9","68","0","4","19","4","2","0","29.10.12"
"681290","192","Хмельницька область","сільський клуб, к.2
вул.Пушкіна, 1, с.Іванівка, Ярмолинецький р-н, Хмельницька обл., 32140","136","35","131","34","68","33","101","","0","68","33","101","2","99","2","10","59","1","2","14","5","4","2","29.10.12"
"681291","192","Хмельницька область","ФАП, к.2
вул.Лесі Українки, 54, с.Королівка, Ярмолинецький р-н, Хмельницька обл., 32140","120","27","118","31","65","28","93","","0","65","28","93","2","91","0","20","32","2","7","22","5","2","1","29.10.12"
"681292","192","Хмельницька область","сільський клуб, к.2
вул.Ветеранів, 23, с.Микитинці, Ярмолинецький р-н, Хмельницька обл., 32140","56","17","51","9","30","9","39","","0","30","9","39","0","39","0","12","3","2","3","14","3","1","1","31.10.12"
"681293","192","Хмельницька область","сільський будинок культури, к.2
вул.Б.Хмельницького, 5Б, с.Монастирок, Ярмолинецький р-н, Хмельницька обл., 32125","176","62","171","20","99","15","114","","0","99","15","114","6","108","3","21","67","1","1","10","1","1","3","29.10.12"
"681294","192","Хмельницька область","сільський клуб, к.2
вул.Центральна, 5А, с.Іванківці, Ярмолинецький р-н, Хмельницька обл., 32126","248","90","240","41","120","38","158","","0","120","38","158","4","154","5","27","72","2","13","25","5","3","2","29.10.12"
"681295","192","Хмельницька область","сільський клуб, к.2
вул.Шевченка, 19А, с.Михалківці, Ярмолинецький р-н, Хмельницька обл., 32125","232","86","228","26","123","23","146","","0","123","23","146","10","136","6","24","68","3","5","21","5","2","2","29.10.12"
"681296","192","Хмельницька область","сільський будинок культури, к.2
вул.40-річчя Перемоги, 1, с.Москалівка, Ярмолинецький р-н, Хмельницька обл., 32110","456","141","447","43","275","40","315","","0","275","40","315","10","305","16","23","200","6","6","44","6","3","1","29.10.12"
"681297","192","Хмельницька область","сільський клуб, к.2
вул.Котовського, 10, с.Верхівці, Ярмолинецький р-н, Хмельницька обл., 32110","120","36","122","28","58","26","84","","0","58","26","84","6","78","1","4","43","0","3","24","2","0","1","29.10.12"
"681298","192","Хмельницька область","сільський клуб, к.2
вул.Рибалко, 8, с.Коритна, Ярмолинецький р-н, Хмельницька обл., 32110","288","86","274","48","157","45","202","","0","157","45","202","6","196","5","55","72","2","6","51","4","1","0","29.10.12"
"681299","192","Хмельницька область","сільський будинок культури, к.2
вул.Центральна, 1, с.Пасічна, Ярмолинецький р-н, Хмельницька обл., 32133","216","58","209","18","144","14","158","","0","144","14","158","7","151","1","16","102","0","6","22","3","1","0","29.10.12"
"681300","192","Хмельницька область","ФАП, к.2
вул.Центральна, 1, с.Васильківці, Ярмолинецький р-н, Хмельницька обл., 32133","88","25","86","11","52","11","63","","0","52","11","63","1","62","1","19","29","1","2","7","1","1","1","29.10.12"
"681301","192","Хмельницька область","ФАП, к.2
вул.Центральна, 1, с.Магнишівка, Ярмолинецький р-н, Хмельницька обл., 32133","120","30","117","24","67","23","90","","0","67","23","90","2","88","1","8","60","1","3","12","0","1","2","29.10.12"
"681302","192","Хмельницька область","школа, к.2
вул.Центральна, 138А, с.Правдівка, Ярмолинецький р-н, Хмельницька обл., 32130","752","235","742","98","432","85","517","","0","432","85","517","5","512","9","94","195","7","22","166","5","13","1","29.10.12"
"681303","192","Хмельницька область","сільський клуб, к.2
пров.Сельського, 9А, с.Вихилівка, Ярмолинецький р-н, Хмельницька обл., 32130","176","61","168","35","83","32","115","","0","83","32","115","5","110","0","13","40","2","9","40","1","3","2","29.10.12"
"681304","192","Хмельницька область","школа, к.2
вул.Шкільна, 1, с.Проскурівка, Ярмолинецький р-н, Хмельницька обл., 32164","592","241","577","60","301","50","351","","0","301","50","351","7","344","12","23","169","7","19","94","14","6","0","29.10.12"
"681305","192","Хмельницька область","школа, к.2
вул.Романа Шухевича, 1, с.Корначівка, Ярмолинецький р-н, Хмельницька обл., 32165","232","86","226","25","126","20","146","","0","126","20","146","4","142","4","10","93","1","9","20","3","2","0","28.10.12"
"681306","192","Хмельницька область","будинок тваринника, к.2
вул.Лесі Українки, 1, с.Майдан-Морозівський, Ярмолинецький р-н, Хмельницька обл., 32165","80","15","80","12","58","7","65","","0","58","7","65","2","63","2","10","28","0","4","13","1","5","0","28.10.12"
"681307","192","Хмельницька область","сільський будинок культури, к.2
вул.Центральна, 39, с.Савинці, Ярмолинецький р-н, Хмельницька обл., 32156","488","111","491","62","315","62","377","","0","315","62","377","12","365","5","40","223","3","14","69","9","1","1","29.10.12"
"681308","192","Хмельницька область","школа, к.2
вул.Садова, 14, с.Скаржинці, Ярмолинецький р-н, Хмельницька обл., 32120","736","246","714","36","457","33","490","","0","457","33","490","12","478","6","49","203","5","21","185","5","2","2","29.10.12"
"681309","192","Хмельницька область","ФАП, к.1
вул.Садова, 1, с.Лехнівка, Ярмолинецький р-н, Хмельницька обл., 32120","240","80","238","25","138","22","160","","0","138","22","160","1","159","1","21","86","2","7","36","2","4","0","29.10.12"
"681310","192","Хмельницька область","школа, к.2
вул.В.Чорновола, 5А, с.Перегінка, Ярмолинецький р-н, Хмельницька обл., 32121","488","202","472","42","252","34","286","","0","252","34","286","4","282","8","36","91","1","18","117","4","3","4","29.10.12"
"681311","192","Хмельницька область","сільський будинок культури, к.2
вул.Центральна, 22А, с.Соколівка, Ярмолинецький р-н, Хмельницька обл., 32153","1232","437","1204","108","696","99","795","","0","696","99","795","15","780","16","70","356","9","43","260","9","12","5","29.10.12"
"681312","192","Хмельницька область","школа, к.2
вул.М.Грушевського, 27, с.Солобківці, Ярмолинецький р-н, Хмельницька обл., 32162","1672","657","1642","118","923","92","1015","","0","923","92","1015","28","987","18","83","451","8","80","306","22","6","13","29.10.12"
"681313","192","Хмельницька область","школа, к.2
вул.Подільська, 2А, с.Соснівка, Ярмолинецький р-н, Хмельницька обл., 32154","360","98","361","48","218","44","262","","0","218","44","262","2","260","1","35","140","6","5","51","12","7","3","29.10.12"
"681314","192","Хмельницька область","сільська рада, к.2
вул.Сугерова, 1, с.Стріхівці, Ярмолинецький р-н, Хмельницька обл., 32163","520","166","505","34","321","33","354","","0","321","33","354","13","341","3","20","232","2","14","60","6","2","2","29.10.12"
"681315","192","Хмельницька область","школа, к.2
вул.Соборна, 16, с.Сутківці, Ярмолинецький р-н, Хмельницька обл., 32134","840","291","827","119","433","116","549","","0","433","116","549","11","538","19","82","241","5","27","144","17","1","2","29.10.12"
"681316","192","Хмельницька область","школа, к.2
вул.Романа Шухевича, 27, с.Лисівка, Ярмолинецький р-н, Хмельницька обл., 32134","184","50","179","33","102","32","134","","0","102","32","134","5","129","3","23","45","2","4","44","2","5","1","29.10.12"
"681317","192","Хмельницька область","сільський клуб, к.2
вул.Молодіжна, 1, с.Тарасівка, Ярмолинецький р-н, Хмельницька обл., 32170","232","45","221","29","162","25","187","","0","162","25","187","5","182","5","18","130","1","9","15","4","0","0","28.10.12"
"681318","192","Хмельницька область","приміщення магазину, к.2
вул.Баранова, 15, с.Андріївка, Ярмолинецький р-н, Хмельницька обл., 32170","56","13","57","6","37","6","43","","0","37","6","43","2","41","0","8","20","0","0","12","1","0","0","29.10.12"
"681319","192","Хмельницька область","сільська рада, к.2
вул.Крупської, 57, с.Томашівка, Ярмолинецький р-н, Хмельницька обл., 32151","616","213","608","75","329","74","403","","0","329","74","403","20","383","19","40","195","4","26","88","3","7","1","29.10.12"
"681320","192","Хмельницька область","сільський клуб, к.2
вул.Леніна, 1, с.Нове Село, Ярмолинецький р-н, Хмельницька обл., 32152","560","200","559","64","307","53","360","","0","307","53","360","11","349","6","22","112","3","9","168","16","8","5","29.10.12"
"681321","192","Хмельницька область","сільський клуб, к.2
вул.Шкільна, 17, с.Шарівка, Ярмолинецький р-н, Хмельницька обл., 32132","888","284","867","74","539","65","604","","0","539","65","604","14","590","16","26","373","6","27","121","11","7","3","29.10.12"
"681322","192","Хмельницька область","сільський будинок культури, к.2
вул.Шевченка, 6, с.Ясенівка, Ярмолинецький р-н, Хмельницька обл., 32150","576","157","568","66","355","64","419","","0","355","64","419","9","410","12","32","265","2","15","73","3","7","1","29.10.12"
"681323","192","Хмельницька область","сільський клуб, к.2
вул.Нахімова, 1, с.Шевченка, Ярмолинецький р-н, Хмельницька обл., 32100","208","59","206","7","142","7","149","","0","142","7","149","8","141","0","25","84","0","3","28","0","1","0","29.10.12"
"681324","192","Хмельницька область","школа №2, к.1
вул.Чапаєва, 24, смт Ярмолинці, Ярмолинецький р-н, Хмельницька обл., 32100","2448","981","2408","43","1431","36","1467","","0","1431","36","1467","45","1422","38","120","704","16","118","357","38","22","9","29.10.12"
"681325","192","Хмельницька область","районний будинок культури, к.2
пл.600-річчя Ярмолинець, 3, смт Ярмолинці, Ярмолинецький р-н, Хмельницька обл., 32100","1944","771","1919","29","1148","25","1173","","0","1148","25","1173","23","1150","23","90","614","8","86","283","27","14","5","29.10.12"
"681326","192","Хмельницька область","школа №1, к.2
вул.Пушкіна, 1, смт Ярмолинці, Ярмолинецький р-н, Хмельницька обл., 32100","1792","736","1772","38","1022","34","1056","","0","1022","34","1056","38","1018","29","96","479","12","67","276","42","16","1","29.10.12"
"681327","192","Хмельницька область","школа, к.2
вул.Шкільна, 1, смт Ярмолинці, Ярмолинецький р-н, Хмельницька обл., 32101","1248","597","1213","4","649","2","651","","0","649","2","651","19","632","12","75","280","3","47","141","43","25","6","29.10.12"
"681328","192","Хмельницька область","обласна психіатрична лікарня, адмінбудинок, к.2
пров. Олімпійський, 2, с.Скаржинці, Ярмолинецький р-н, Хмельницька обл., 32120","1016","393","754","169","470","153","623","","0","470","153","623","68","555","34","32","307","25","48","50","14","33","12","29.10.12"
