"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Барабаш
Віктор
Васильович","Буряк
Сергій
Васильович","Герасименко
Олена
Михайлівна","Дем’янов
Анатолій
Анатолійович","Нагорна
Віра
Микитівна","Побережна
Анна
Валеріївна","Сидор
Василь
Богданович","Халілов
Рафаел
Муршудович","Дата підписання протоколу"
"680772","190","Хмельницька область","школа, спортивна зала
вул.Центральна, 28, с.Білецьке, Полонський р-н, Хмельницька обл., 30543","320","135","323","25","164","21","185","","0","164","21","185","8","177","6","91","6","5","37","11","20","1","29.10.12"
"680773","190","Хмельницька область","сільський клуб, мала зала
вул.Центральна, 9, с.Бражинці, Полонський р-н, Хмельницька обл., 30536","384","131","374","28","229","24","253","","0","229","24","253","9","244","5","171","5","2","22","5","34","0","29.10.12"
"680774","190","Хмельницька область","сільський клуб, актова зала
вул.І.Франка, 39, с.Кіпчинці, Полонський р-н, Хмельницька обл., 30536","200","37","197","29","138","25","163","","0","138","25","163","3","160","0","87","1","2","4","1","64","1","29.10.12"
"680775","190","Хмельницька область","сільський клуб, фойє
вул.Шевченка, 19, с.Фадіївка, Полонський р-н, Хмельницька обл., 30536","80","18","80","5","57","5","62","","0","57","5","62","0","62","0","32","1","3","5","2","19","0","29.10.12"
"680776","190","Хмельницька область","сільська рада, актова зала
вул.Перемоги, 28, с.Буртин, Полонський р-н, Хмельницька обл., 30510","664","223","645","36","406","35","441","","0","406","35","441","13","428","5","210","9","14","42","31","116","1","06.11.12"
"680777","190","Хмельницька область","сільський клуб, актова зала
вул.Івана Франка, 6, с.Залісся, Полонський р-н, Хмельницька обл., 30510","88","26","86","0","62","0","62","","0","62","0","62","2","60","1","35","0","0","1","2","21","0","29.10.12"
"680778","190","Хмельницька область","адмінбудинок заводу ""Маяк"", актова зала
вул.Заводська, 4, с.Новаки, Полонський р-н, Хмельницька обл., 30510","40","12","41","1","27","1","28","","0","27","1","28","1","27","0","20","0","0","0","4","3","0","29.10.12"
"680779","190","Хмельницька область","будинок культури, актова зала
вул.Леніна, 40А, с.Велика Березна, Полонський р-н, Хмельницька обл., 30530","832","306","818","65","461","65","526","","0","461","65","526","16","510","12","173","17","27","82","69","128","2","29.10.12"
"680780","190","Хмельницька область","сільський клуб, актова зала
вул.Земнухова, 2, с.Варварівка, Полонський р-н, Хмельницька обл., 30530","288","74","284","34","180","34","214","","0","180","34","214","5","209","3","100","9","6","15","24","51","1","29.10.12"
"680781","190","Хмельницька область","сільський клуб, фойє
вул.Чапаєва, 2, с.Адамів, Полонський р-н, Хмельницька обл., 30530","240","105","236","11","126","9","135","","0","126","9","135","11","124","1","51","2","4","18","6","41","1","29.10.12"
"680782","190","Хмельницька область","медичний пункт, к.2
вул.Чкалова, 27, с.Радгоспне, Полонський р-н, Хмельницька обл., 30530","152","57","146","10","85","10","95","","0","85","10","95","2","93","2","52","3","5","9","4","17","1","29.10.12"
"680783","190","Хмельницька область","сільський клуб, мала зала
вул.Соборна, сільський клуб, с.Великі Каленичі, Полонський р-н, Хмельницька обл., 30521","336","121","322","30","187","28","215","","0","187","28","215","3","212","4","149","5","5","19","4","25","1","29.10.12"
"680784","190","Хмельницька область","сільський клуб, мала зала
вул.Шевченка, сільський клуб, с.Коханівка, Полонський р-н, Хмельницька обл., 30521","296","89","290","28","180","27","207","","0","180","27","207","16","191","0","87","0","5","22","18","59","0","29.10.12"
"680785","190","Хмельницька область","сільський клуб, актова зала
вул.Дружби, 1А, с.Воробіївка, Полонський р-н, Хмельницька обл., 30545","472","143","464","44","290","39","329","","0","290","39","329","11","318","2","144","6","11","42","15","97","1","29.10.12"
"680786","190","Хмельницька область","школа, спортивна зала
вул.Шевченка, 11, с.Котелянка, Полонський р-н, Хмельницька обл., 30534","608","205","596","63","345","58","403","","0","345","58","403","6","397","5","251","2","7","30","11","91","0","29.10.12"
"680787","190","Хмельницька область","школа, їдальня
вул.Л.Войтюк, школа, с.Котюржинці, Полонський р-н, Хмельницька обл., 30514","376","133","371","50","195","48","243","","0","195","48","243","4","239","3","140","4","4","17","12","58","1","29.10.12"
"680788","190","Хмельницька область","сільський клуб, актова зала
вул.Лесі Українки, сільський клуб, с.Блидні, Полонський р-н, Хмельницька обл., 30514","112","34","109","10","69","9","78","","0","69","9","78","2","76","1","47","1","0","3","1","22","1","29.10.12"
"680789","190","Хмельницька область","будинок культури, актова зала
вул.Терешкової, 68, с.Кустівці, Полонський р-н, Хмельницька обл., 30542","664","253","620","41","375","36","411","","0","375","36","411","9","402","2","219","5","6","34","20","116","0","29.10.12"
"680790","190","Хмельницька область","фельдшерсько-акушерський пункт, к.2
вул.Шевченка, 68, с.Голубча, Полонський р-н, Хмельницька обл., 30542","112","30","111","6","76","6","82","","0","76","6","82","1","81","2","40","0","3","4","0","32","0","29.10.12"
"680791","190","Хмельницька область","сільський клуб, актова зала
вул.Пролетарська, 45, с.Москалівка, Полонський р-н, Хмельницька обл., 30542","136","33","135","17","87","16","103","","0","87","16","103","2","101","2","60","3","2","10","5","19","0","29.10.12"
"680792","190","Хмельницька область","сільська рада, зала засідань
вул.Лесі Українки, 20, с.Москвитянівка, Полонський р-н, Хмельницька обл., 30540","424","110","415","61","254","60","314","","0","254","60","314","12","302","4","129","6","15","24","14","109","1","29.10.12"
"680793","190","Хмельницька область","сільська рада, зала засідань
вул.Миру, 4, с.Микулин, Полонський р-н, Хмельницька обл., 30525","592","219","582","33","344","29","373","","0","344","29","373","5","368","1","245","4","6","34","8","70","0","29.10.12"
"680794","190","Хмельницька область","сільський клуб, актова зала
вул.Леніна, 5, с.Новолабунь, Полонський р-н, Хмельницька обл., 30522","424","148","415","24","252","24","276","","0","252","24","276","7","269","2","90","3","5","86","5","78","0","29.10.12"
"680795","190","Хмельницька область","сільський клуб, актова зала
вул.Леніна, 27, с.Титьків, Полонський р-н, Хмельницька обл., 30522","328","126","323","28","175","27","202","","0","175","27","202","4","198","3","60","4","9","58","10","54","0","29.10.12"
"680796","190","Хмельницька область","сільський клуб, актова зала
вул.Мічуріна, 2, с.Троєщина, Полонський р-н, Хмельницька обл., 30522","528","180","506","30","319","29","348","","0","319","29","348","13","335","1","116","1","9","99","5","104","0","29.10.12"
"680797","190","Хмельницька область","ліцей, фойє
вул.Соборна, 122, с.Новоселиця, Полонський р-н, Хмельницька обл., 30533","1296","530","1273","26","742","24","766","","0","742","24","766","28","738","6","288","10","26","64","59","280","5","29.10.12"
"680798","190","Хмельницька область","будинок культури, фойє
вул.Соборна, 150, с.Новоселиця, Полонський р-н, Хмельницька обл., 30533","1272","608","1246","38","627","37","664","","0","627","37","664","17","647","12","259","6","20","73","72","197","8","29.10.12"
"680799","190","Хмельницька область","адмінбудинок колишнього ВСАТ ""Новоселицьке"", к.2
вул.Центральна, 2, с.Дубовий Гай, Полонський р-н, Хмельницька обл., 30533","144","33","140","21","93","18","111","","0","93","18","111","4","107","1","49","4","4","1","4","44","0","28.10.12"
"680800","190","Хмельницька область","будинок культури, фойє
вул.Шевченка, 77, с.Онацьківці, Полонський р-н, Хмельницька обл., 30544","488","135","481","61","304","49","353","","0","304","49","353","8","345","3","280","4","2","18","3","35","0","29.10.12"
"680801","190","Хмельницька область","Районний будинок культури, дискозала
вул.Л.Українки, 95, м.Полонне, Полонський р-н, Хмельницька обл., 30500","2504","1129","2481","38","1338","37","1375","","0","1338","37","1375","44","1331","11","418","32","64","207","153","443","3","29.10.12"
"680802","190","Хмельницька область","школа №3, спортивна зала
вул.Ходякова, 86, м.Полонне, Полонський р-н, Хмельницька обл., 30500","2504","1294","2488","12","1199","11","1210","","0","1199","11","1210","36","1174","16","336","45","54","147","170","400","6","29.10.12"
"680803","190","Хмельницька область","школа №4, фойє
вул.Л.Українки, 199, м.Полонне, Полонський р-н, Хмельницька обл., 30500","2528","1275","2479","59","1194","59","1253","","0","1194","59","1253","40","1213","10","413","32","20","159","180","395","4","29.10.12"
"680804","190","Хмельницька область","дитячий садок №3, к.2
вул.Заводська, 16, м.Полонне, Полонський р-н, Хмельницька обл., 30502","2504","1367","2485","19","1122","15","1137","","0","1122","15","1137","31","1106","16","344","36","57","142","172","334","5","29.10.12"
"680805","190","Хмельницька область","школа №5, каб.2
вул.Академіка Герасимчука, 166, м.Полонне, Полонський р-н, Хмельницька обл., 30500","2144","1048","2139","7","1092","4","1096","","0","1092","4","1096","32","1064","11","268","30","50","159","153","391","2","29.10.12"
"680806","190","Хмельницька область","школа №7, спортивна зала
вул.Пушкіна, 151, м.Полонне, Полонський р-н, Хмельницька обл., 30500","2072","967","2051","22","1086","19","1105","","0","1086","19","1105","54","1051","5","323","20","28","127","144","404","0","29.10.12"
"680807","190","Хмельницька область","школа №2, спортивна зала
вул.Л.Українки, 108, м.Полонне, Полонський р-н, Хмельницька обл., 30500","2055","951","2029","23","1081","23","1104","","0","1081","23","1104","42","1062","13","329","26","41","160","121","372","0","29.10.12"
"680808","190","Хмельницька область","школа №6, спортивна зала
вул.Забілінська, 79, м.Полонне, Полонський р-н, Хмельницька обл., 30500","1248","645","1242","10","593","10","603","","0","593","10","603","15","588","5","171","13","17","81","59","240","2","29.10.12"
"680809","190","Хмельницька область","школа, каб.2
вул.Урожайна, школа, с.Ганнусине, Полонський р-н, Хмельницька обл., 30502","240","85","242","2","153","2","155","","0","153","2","155","4","151","0","90","3","2","9","9","37","1","29.10.12"
"680810","190","Хмельницька область","Понінківський професійний ліцей, спортивна зала
вул.Перемоги, 38, смт Понінка, Полонський р-н, Хмельницька обл., 30511","1368","601","1361","43","727","40","767","","0","727","40","767","22","745","9","199","8","34","30","294","168","3","29.10.12"
"680811","190","Хмельницька область","дитячий садок №2 ""Барвінок"", спортивна зала
вул.Будівельників, 2А, смт Понінка, Полонський р-н, Хмельницька обл., 30511","1232","619","1213","23","592","21","613","","0","592","21","613","20","593","7","202","16","9","16","146","196","1","29.10.12"
"680812","190","Хмельницька область","гімназія, актова зала
вул.Папірників, 20, смт Понінка, Полонський р-н, Хмельницька обл., 30511","1344","714","1348","29","605","25","630","","0","605","25","630","23","607","4","200","22","8","32","169","171","1","29.10.12"
"680813","190","Хмельницька область","селищна рада, актова зала
вул.Перемоги, 51, смт Понінка, Полонський р-н, Хмельницька обл., 30511","968","387","953","26","563","18","581","","0","563","18","581","17","564","10","160","7","19","16","201","149","2","29.10.12"
"680814","190","Хмельницька область","школа, каб.2
вул.Боженка, 9, смт Понінка, Полонський р-н, Хмельницька обл., 30511","456","249","444","6","201","6","207","","0","201","6","207","9","198","11","93","6","7","7","33","40","1","29.10.12"
"680815","190","Хмельницька область","контора деревообробного цеху, к.2
вул.Щорса, 129, смт Понінка, Полонський р-н, Хмельницька обл., 30511","592","313","581","21","260","19","279","","0","260","19","279","13","266","4","83","4","5","10","79","80","1","29.10.12"
"680816","190","Хмельницька область","сільський клуб, фойє
вул.Калініна, 35, с.Лодзянівка, Полонський р-н, Хмельницька обл., 30511","144","51","134","7","88","5","93","","0","88","5","93","2","91","4","31","4","2","2","7","41","0","29.10.12"
"680817","190","Хмельницька область","школа, спортивна зала
вул.Гагаріна, 3, с.Прислуч, Полонський р-н, Хмельницька обл., 30535","496","180","486","45","277","39","316","","0","277","39","316","9","307","14","172","5","6","17","17","71","5","29.10.12"
"680818","190","Хмельницька область","колишня їдальня СТОВ ""Перемога"", к.2
вул.Комсомольська, 11, с.Колосівка, Полонський р-н, Хмельницька обл., 30535","96","19","95","11","68","9","77","","0","68","9","77","2","75","1","39","0","2","3","5","24","1","29.10.12"
"680819","190","Хмельницька область","сільський клуб, актова зала
вул.Перемоги, 25, с.Любомирка, Полонський р-н, Хмельницька обл., 30535","264","67","256","27","172","25","197","","0","172","25","197","8","189","1","87","2","1","20","8","69","1","29.10.12"
"680820","190","Хмельницька область","дитячий садок ""Берізка"", актова зала
вул.Б.Хмельницького, 8, с.Роговичі, Полонський р-н, Хмельницька обл., 30520","144","49","139","7","89","6","95","","0","89","6","95","2","93","1","59","1","3","1","0","28","0","28.10.12"
"680821","190","Хмельницька область","сільський клуб, фойє
вул.Л.Українки, 49, с.Сягрів, Полонський р-н, Хмельницька обл., 30520","184","32","183","13","142","10","152","","0","142","10","152","0","152","1","98","1","2","8","9","32","1","29.10.12"
"680822","190","Хмельницька область","школа, фойє
вул.Кошового, 27, с.Червоне, Полонський р-н, Хмельницька обл., 30520","200","49","196","11","142","9","151","","0","142","9","151","8","143","0","105","1","1","6","9","20","1","29.10.12"
"680823","190","Хмельницька область","школа, фойє
вул.Колгоспна, 17, с.Сасанівка, Полонський р-н, Хмельницька обл., 30526","384","140","378","51","200","44","244","","0","200","44","244","8","236","4","124","0","2","19","3","84","0","29.10.12"
"680824","190","Хмельницька область","школа, фойє, к.2
вул.Сонячна, 37А, с.Бачманівка, Славутський р-н, Хмельницька обл., 30019","288","94","283","28","169","25","194","","0","169","25","194","7","187","2","95","7","6","3","3","68","3","29.10.12"
"680825","190","Хмельницька область","будинок культури, фойє, к.2
вул.Леніна, 5А, с.Берездів, Славутський р-н, Хмельницька обл., 30053","992","378","916","64","559","55","614","","0","559","55","614","15","599","4","244","7","13","16","22","292","1","28.10.12"
"680826","190","Хмельницька область","магазин с.Селичів, торговий зал, к.2
вул.Жовтнева, 42, с.Селичів, Славутський р-н, Хмельницька обл., 30053","448","137","439","27","284","27","311","","0","284","27","311","9","302","5","151","1","5","6","13","120","1","28.10.12"
"680827","190","Хмельницька область","сільська рада, актовий зал, к.2
вул.Шкільна, 42, с.Варварівка, Славутський р-н, Хмельницька обл., 30016","336","117","327","14","206","13","219","","0","206","13","219","9","210","2","99","1","1","3","9","95","0","28.10.12"
"680828","190","Хмельницька область","сільський клуб, фойє, к.2
вул.Церковна, 2, с.Голики, Славутський р-н, Хмельницька обл., 30017","288","105","283","15","170","13","183","","0","170","13","183","6","177","5","84","1","5","9","6","67","0","28.10.12"
"680829","190","Хмельницька область","школа, фойє, к.2
вул.Шкільна, 1А, с.Великий Правутин, Славутський р-н, Хмельницька обл., 30055","320","84","314","34","206","30","236","","0","206","30","236","10","226","5","106","3","4","4","2","102","0","29.10.12"
"680830","190","Хмельницька область","сільський клуб, фойє, к.2
вул.Тараса Шевченка, 25, с.Великий Скнит, Славутський р-н, Хмельницька обл., 30023","376","101","370","35","242","33","275","","0","242","33","275","12","263","4","141","1","3","4","7","103","0","29.10.12"
"680831","190","Хмельницька область","сільський клуб, фойє, к.2
вул.Перемоги, 2, с.Нараївка, Славутський р-н, Хмельницька обл., 30023","256","61","254","27","170","25","195","","0","170","25","195","10","185","2","85","14","2","9","2","71","0","29.10.12"
"680832","190","Хмельницька область","школа, фойє, к.2
вул.Церковна, 140, с.Рівки, Славутський р-н, Хмельницька обл., 30023","392","90","385","34","273","29","302","","0","273","29","302","6","296","3","175","4","10","1","2","101","0","29.10.12"
"680833","190","Хмельницька область","школа, фойє, к.2
вул.В’ячеслава Чорновола, 1А, с.Волиця, Славутський р-н, Хмельницька обл., 30071","272","71","265","24","178","23","201","","0","178","23","201","4","197","14","57","3","8","1","3","111","0","28.10.12"
"680834","190","Хмельницька область","школа, фойє, к.2
вул.Центральна, 1А, с.Губельці, Славутський р-н, Хмельницька обл., 30071","344","91","337","15","238","15","253","","0","238","15","253","4","249","0","99","3","1","3","3","140","0","28.10.12"
"680835","190","Хмельницька область","будинок культури, фойє, к.2
вул.Будьонного, 16, с.Ганнопіль, Славутський р-н, Хмельницька обл., 30030","984","390","970","73","527","67","594","","0","527","67","594","21","573","4","215","14","15","10","29","282","4","29.10.12"
"680836","190","Хмельницька область","сільський клуб, фойє, к.2
вул.Козацька, 46, с.Досін, Славутський р-н, Хмельницька обл., 30030","152","52","148","22","81","19","100","","0","81","19","100","0","100","1","28","0","9","2","2","57","1","29.10.12"
"680837","190","Хмельницька область","будинок культури, фойє, к.2
вул.Лесі Українки, 1, с.Соснівка, Славутський р-н, Хмельницька обл., 30030","144","34","141","16","95","15","110","","0","95","15","110","0","110","1","25","2","3","3","2","74","0","28.10.12"
"680838","190","Хмельницька область","сільський клуб, глядацький зал, к.2
вул.Зарічна, 61, с.Хоросток, Славутський р-н, Хмельницька обл., 30032","320","123","316","25","175","22","197","","0","175","22","197","4","193","7","70","5","5","5","1","100","0","29.10.12"
"680839","190","Хмельницька область","будинок культури, фойє, к.2
вул.Шкільна, 1А, с.Головлі, Славутський р-н, Хмельницька обл., 30060","432","113","430","65","258","61","319","","0","258","61","319","12","307","10","143","7","10","9","12","115","1","28.10.12"
"680840","190","Хмельницька область","навчально-виховний комплекс, спортивна зала, к.2
вул.Шкільна, 3, с.Гориця, Славутський р-н, Хмельницька обл., 30084","416","117","402","47","266","33","299","","0","266","33","299","7","292","5","111","2","6","13","5","150","0","29.10.12"
"680841","190","Хмельницька область","школа, фойє, к.2
вул.Лісова, 1, с.Красностав, Славутський р-н, Хмельницька обл., 30085","320","83","317","31","207","30","237","","0","207","30","237","6","231","4","82","11","4","2","13","114","1","29.10.12"
"680842","190","Хмельницька область","школа, спортивна зала, к.2
вул.В’ячеслава Чорновола, 112, с.Довжки, Славутський р-н, Хмельницька обл., 30022","648","239","636","27","384","25","409","","0","384","25","409","14","395","8","101","7","11","13","6","247","2","29.10.12"
"680843","190","Хмельницька область","сільський клуб, глядацький зал, к.2
вул.Перемоги, 80, с.Дяків, Славутський р-н, Хмельницька обл., 30057","320","90","314","36","197","33","230","","0","197","33","230","7","223","0","114","3","7","4","12","82","1","29.10.12"
"680844","190","Хмельницька область","сільський клуб, глядацький зал, к.2
вул.Гагаріна, 68, с.Красносілка, Славутський р-н, Хмельницька обл., 30057","160","34","159","19","108","18","126","","0","108","18","126","1","125","1","50","6","2","6","4","56","0","29.10.12"
"680845","190","Хмельницька область","навчально-виховний комплекс, фойє, к.2
вул.Шевченка, 3, с.Жуків, Славутський р-н, Хмельницька обл., 30075","456","142","446","35","279","35","314","","0","279","35","314","10","304","4","140","3","4","1","8","143","1","28.10.12"
"680846","190","Хмельницька область","сільська рада, зал засідань, к.2
вул.Валі Котика, 8А, с.Іванівка, Славутський р-н, Хмельницька обл., 30074","392","126","387","32","240","26","266","","0","240","26","266","11","255","0","75","3","3","1","3","170","0","06.11.12"
"680847","190","Хмельницька область","сільський клуб, фойє, к.2
вул.Богдана Хмельницького, 1А, с.Пузирки, Славутський р-н, Хмельницька обл., 30074","120","28","118","10","82","10","92","","0","82","10","92","2","90","0","41","1","5","3","2","38","0","29.10.12"
"680848","190","Хмельницька область","навчально-виховний комплекс, спортивна зала, к.2
вул.Козацький Шлях, 24А, с.Киликиїв, Славутський р-н, Хмельницька обл., 30042","584","254","567","53","291","39","330","","0","291","39","330","15","315","5","128","3","16","23","14","125","1","28.10.12"
"680849","190","Хмельницька область","будинок культури, фойє, к.2
вул.Шевченка, 1, с.Клепачі, Славутський р-н, Хмельницька обл., 30036","512","155","496","33","326","31","357","","0","326","31","357","16","341","4","165","5","5","3","6","153","0","29.10.12"
"680850","190","Хмельницька область","будинок культури, фойє, к.2
вул.Богдана Хмельницького, 98, с.Крупець, Славутський р-н, Хмельницька обл., 30068","1000","351","995","50","605","44","649","","0","605","44","649","30","619","12","207","11","8","6","41","334","0","29.10.12"
"680851","190","Хмельницька область","школа, фойє, к.2
вул.Ганни Охман, 33А, с.Стригани, Славутський р-н, Хмельницька обл., 30068","344","130","340","37","178","36","214","","0","178","36","214","7","207","3","71","5","33","2","9","84","0","29.10.12"
"680852","190","Хмельницька область","фельдшерсько-акушерський пункт, к.2
вул.Садова, 8, с.Дідова Гора, Славутський р-н, Хмельницька обл., 30061","136","47","127","10","80","9","89","","0","80","9","89","3","86","8","30","2","1","6","0","39","0","28.10.12"
"680853","190","Хмельницька область","сільський клуб, глядацький зал, к.2
вул.Московська, 5, с.Лисиче, Славутський р-н, Хмельницька обл., 30061","352","100","345","36","222","30","252","","0","222","30","252","7","245","3","78","8","8","7","8","131","2","29.10.12"
"680854","190","Хмельницька область","навчально-виховний комплекс, спортивна зала, к.2
вул.Шкільна, 1, с.Малий Правутин, Славутський р-н, Хмельницька обл., 30056","440","125","317","26","291","24","315","","0","291","24","315","10","305","2","117","3","1","7","8","166","1","29.10.12"
"680855","190","Хмельницька область","навчально-виховний комплекс, спортивна зала, к.2
вул.Шевченка, 2, с.Малий Скнит, Славутський р-н, Хмельницька обл., 30020","648","186","639","51","414","48","462","","0","414","48","462","16","446","2","200","5","2","7","5","223","2","29.10.12"
"680856","190","Хмельницька область","навчально-виховний комплекс, спортивна зала, к.2
вул.Вишнева, 51, с.Манятин, Славутський р-н, Хмельницька обл., 30086","336","104","325","18","214","18","232","","0","214","18","232","7","225","3","68","2","3","9","2","137","1","29.10.12"
"680857","190","Хмельницька область","сільський клуб, глядацький зал, к.2
вул.Ватутіна, 12, с.Яблунівка, Славутський р-н, Хмельницька обл., 30087","200","49","197","17","134","17","151","","0","134","17","151","2","149","1","37","1","1","3","4","102","0","29.10.12"
"680858","190","Хмельницька область","сільський клуб, глядацький зал, к.2
вул.Пушкіна, 47А, с.Марачівка, Славутський р-н, Хмельницька обл., 30019","248","81","243","25","143","24","167","","0","143","24","167","7","160","1","44","0","2","2","2","109","0","29.10.12"
"680859","190","Хмельницька область","сільська рада, зал засідань, к.2
вул.Центральна, 74, с.Миньківці, Славутський р-н, Хмельницька обл., 30018","704","293","698","51","369","42","411","","0","369","42","411","17","394","8","171","10","11","4","12","174","4","29.10.12"
"680860","190","Хмельницька область","магазин, торговий зал, к.2
вул.Партизанська, 69, с.Романіни, Славутський р-н, Хмельницька обл., 30018","160","55","148","5","100","5","105","","0","100","5","105","1","104","2","21","1","2","2","1","75","0","29.10.12"
"680861","190","Хмельницька область","сільський клуб, глядацький зал, к.2
вул.Чкалова, 47, с.Шевченка, Славутський р-н, Хмельницька обл., 30018","96","25","97","4","67","4","71","","0","67","4","71","1","70","0","27","1","5","1","3","33","0","29.10.12"
"680862","190","Хмельницька область","навчально-виховний комплекс, спортивна зала, к.2
вул.Центральна, 63, с.Мирутин, Славутський р-н, Хмельницька обл., 30051","384","148","381","10","227","9","236","","0","227","9","236","13","223","1","99","9","8","5","7","93","1","28.10.12"
"680863","190","Хмельницька область","будинок культури, фойє, к.2
вул.Перемоги, 1А, с.Плоска, Славутський р-н, Хмельницька обл., 30051","280","84","273","6","190","6","196","","0","190","6","196","7","189","0","73","0","6","8","7","95","0","29.10.12"
"680864","190","Хмельницька область","навчально-виховний комплекс, спортивна зала, к.2
вул.Шкільна, 20, с.Мухарів, Славутський р-н, Хмельницька обл., 30043","464","182","462","9","273","9","282","","0","273","9","282","12","270","5","134","6","5","13","6","100","1","29.10.12"
"680865","190","Хмельницька область","сільський клуб, фойє, к.2
вул.Івана Федоровича Кузьмука, 58, с.Дятилівка, Славутський р-н, Хмельницька обл., 30080","144","34","140","17","94","16","110","","0","94","16","110","6","104","2","45","2","2","4","1","48","0","28.10.12"
"680866","190","Хмельницька область","сільський клуб, фойє, к.2
вул.Перемоги, 2А, с.Ногачівка, Славутський р-н, Хмельницька обл., 30080","176","43","150","20","114","19","133","","0","114","19","133","3","130","1","42","0","0","1","1","85","0","29.10.12"
"680867","190","Хмельницька область","сільський клуб, глядацький зал, к.2
вул.Островського, 5, с.Піддубці, Славутський р-н, Хмельницька обл., 30040","448","136","439","55","264","48","312","","0","264","48","312","14","298","6","160","5","4","7","12","102","2","29.10.12"
"680868","190","Хмельницька область","сільська рада, зал засідань, к.2
вул.Пархоменка, 56А, с.Печиводи, Славутський р-н, Хмельницька обл., 30041","336","140","330","44","155","41","196","","0","155","41","196","3","193","2","104","10","5","10","7","55","0","29.10.12"
"680869","190","Хмельницька область","сільський клуб, глядацький зал, к.2
вул.Шевченка, 7, с.Колом’є, Славутський р-н, Хмельницька обл., 30066","368","122","359","25","224","22","246","","0","224","22","246","17","229","2","89","5","6","10","10","106","1","29.10.12"
"680870","190","Хмельницька область","фельдшерсько-акушерський пункт, к.2
вул.Лесі Українки, 23А, с.Комарівка, Славутський р-н, Хмельницька обл., 30065","280","114","268","27","142","24","166","","0","142","24","166","11","155","1","70","1","10","1","7","65","0","29.10.12"
"680871","190","Хмельницька область","сільський клуб, фойє, к.2
вул.Вишнева, 38, с.Полянь, Славутський р-н, Хмельницька обл., 30065","328","101","321","33","197","30","227","","0","197","30","227","9","218","2","92","9","13","8","12","82","0","29.10.12"
"680872","190","Хмельницька область","сільський клуб, глядацький зал, к.2
вул.Лісна, 2А, с.Сьомаки, Славутський р-н, Хмельницька обл., 30081","280","66","275","23","192","22","214","","0","192","22","214","5","209","2","106","3","8","2","11","77","0","29.10.12"
"680873","190","Хмельницька область","школа, фойє, к.2
вул.Шкільна, 9А, с.Кутки, Славутський р-н, Хмельницька обл., 30045","208","59","200","29","122","27","149","","0","122","27","149","2","147","1","63","4","7","2","0","70","0","29.10.12"
"680874","190","Хмельницька область","навчально-виховний комплекс, фойє, к.2
вул.Шкільна, 1А, с.Ставичани, Славутський р-н, Хмельницька обл., 30045","256","69","249","37","154","33","187","","0","154","33","187","5","182","5","91","2","5","0","5","74","0","29.10.12"
"680875","190","Хмельницька область","будинок культури, глядацький зал, к.2
вул.Перемоги, 93В, с.Старий Кривин, Славутський р-н, Хмельницька обл., 30063","1024","430","916","91","516","78","594","","0","516","78","594","13","581","7","207","12","19","15","35","286","0","06.11.12"
"680876","190","Хмельницька область","фельдшерсько-акушерський пункт, к.2
вул.Михайлова, 2Б, с.Вачів, Славутський р-н, Хмельницька обл., 30070","184","56","182","17","113","15","128","","0","113","15","128","6","122","1","37","2","12","0","2","68","0","29.10.12"
"680877","190","Хмельницька область","навчально-виховний комплекс, фойє, к.2
вул.Молодіжна, 86, с.Перемишель, Славутський р-н, Хмельницька обл., 30073","528","190","524","38","301","37","338","","0","301","37","338","10","328","5","96","2","4","9","13","197","2","30.10.12"
"680878","190","Хмельницька область","навчально-виховний комплекс, фойє, к.2
вул.Шкільна, 1, с.Улашанівка, Славутський р-н, Хмельницька обл., 30070","1080","554","1071","38","496","30","526","","0","496","30","526","11","515","5","165","7","6","10","21","301","0","06.11.12"
"680879","190","Хмельницька область","магазин, торговий зал, к.2
вул.Шевченка, 28, с.Бесідки, Славутський р-н, Хмельницька обл., 30046","176","45","163","37","97","34","131","","0","97","34","131","8","123","2","89","2","0","4","1","24","1","28.10.12"
"680880","190","Хмельницька область","сільська рада, зал засідань, к.2
вул.Поштова, 1А, с.Хвощівка, Славутський р-н, Хмельницька обл., 30046","280","90","272","37","156","34","190","","0","156","34","190","10","180","2","124","3","3","1","4","42","1","28.10.12"
"680881","190","Хмельницька область","сільський клуб, глядацький зал, к.2
вул.Незалежності, 103, с.Понора, Славутський р-н, Хмельницька обл., 30033","320","110","316","29","186","24","210","","0","186","24","210","8","202","0","100","2","2","1","9","88","0","28.10.12"
"680882","190","Хмельницька область","фельдшерсько-акушерський пункт, к.2
вул.Кузнєцова, 31А, с.Прикордонна Улашанівка, Славутський р-н, Хмельницька обл., 30033","128","26","128","15","89","13","102","","0","89","13","102","7","95","1","41","4","3","2","2","39","3","29.10.12"
