"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Беспалов
Дмитро
Анатолійович","Божук
Олександр
Миколайович","Гуцул
Іван
Володимирович","Кліщ
Віктор
Васильович","Коліщак
Віктор
Михайлович","Кушнір
Віктор
Миколайович","Лабазюк
Сергій
Петрович","Мазуренко
Андрій
Вікторович","Мовчан
Віталій
Андрійович","Плюта
Вадим
Олександрович","Селіфонтьєв
Сергій
Іванович","Співачук
Вадим
Володимирович","Теленько
Богдан
Петрович","Туркот
Микола
Петрович","Шевчук
Анатолій
Петрович","Шемчук
Олександр
Олександрович","Дата підписання протоколу"
"681444","188","Хмельницька область","МАУП, хол
просп.Миру, 99, м.Хмельницький, 29000","1820","628","1800","18","1177","15","1192","","0","1177","15","1192","11","1181","388","2","48","13","345","2","112","9","181","27","1","9","21","17","2","4","29.10.12"
"681445","188","Хмельницька область","гімназія №2, хол
просп.Миру, 84/2, м.Хмельницький, 29000","2180","789","2156","27","1383","8","1391","","0","1383","8","1391","36","1355","301","0","42","15","371","10","217","8","191","86","2","14","14","68","6","10","29.10.12"
"681446","188","Хмельницька область","навчально-виховне об’єднання №1, спортивна зала
вул.Старокостянтинівське шосе, 3Б, м.Хмельницький, 29000","2208","831","2205","21","1363","14","1377","","0","1363","14","1377","27","1350","399","5","49","13","328","5","183","7","226","53","4","13","17","38","1","9","29.10.12"
"681447","188","Хмельницька область","школа №13 (1-й корпус), хол
вул.Профспілкова, 39, м.Хмельницький, 29000","2132","722","2149","22","1393","17","1410","","0","1393","17","1410","23","1387","496","3","64","17","411","3","86","7","221","26","0","11","16","12","4","10","29.10.12"
"681448","188","Хмельницька область","школа №13 (2-й корпус), спортивна зала
вул.Профспілкова, 39, м.Хмельницький, 29000","1460","559","1437","20","885","16","901","","0","885","16","901","14","887","249","2","22","18","351","3","90","3","106","13","2","2","9","10","3","4","29.10.12"
"681449","188","Хмельницька область","навчально-виховне об’єднання №28 (початкова школа), актова зала
вул.Залізняка, 14/1, м.Хмельницький, 29000","2408","896","2391","9","1503","9","1512","","0","1503","9","1512","24","1488","453","4","88","13","399","6","194","3","238","32","2","7","14","25","2","8","29.10.12"
"681450","188","Хмельницька область","навчально-виховне об’єднання №28, хол 2
вул.Мирного, 27/1, м.Хмельницький, 29000","2364","822","2341","20","1528","14","1542","","0","1528","14","1542","35","1507","441","3","87","13","372","8","199","7","256","37","1","9","39","20","5","10","29.10.12"
"681451","188","Хмельницька область","навчально-виховне об’єднання №28, хол
вул.Мирного, 27/1, м.Хмельницький, 29000","2524","1049","2376","11","1465","10","1475","","0","1465","10","1475","33","1442","411","4","78","14","421","6","163","5","258","35","3","4","11","17","1","11","29.10.12"
"681452","188","Хмельницька область","ЖЕК №7, зала засідань
вул.Мирного, 31, м.Хмельницький, 29000","2116","844","2101","5","1268","4","1272","","0","1268","4","1272","28","1244","368","2","53","14","353","10","136","4","218","24","1","10","19","25","2","5","29.10.12"
"681453","188","Хмельницька область","дитячий садок №29 ""Ранкова зірка"", актова зала
вул.Кармелюка, 6/1, м.Хмельницький, 29000","2496","959","2504","10","1533","4","1537","","0","1533","4","1537","44","1493","395","3","58","8","492","5","159","4","268","39","1","9","21","18","3","10","29.10.12"
"681454","188","Хмельницька область","дитяча музична школа №3, актова зала
вул.Кармелюка, 8/1, м.Хмельницький, 29000","2376","879","2356","7","1493","4","1497","","0","1493","4","1497","30","1467","407","3","71","19","400","7","197","6","273","29","2","11","19","11","3","9","29.10.12"
