"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бондар
Віктор
Васильович","Бондар
Віктор
Григорович","Гнатюк
Микола
Григорович","Дерикот
Микола
Васильович","Корнійчук
Ігор
Володимирович","Мурза
Валерій
Григорович","Притула
Михайло
Михайлович","Слободянюк
Віталій
Борисович","Чиж
Іван
Сергійович","Шпак
Василь
Володимирович","Шпак
Василь
Федорович","Дата підписання протоколу"
"680066","191","Хмельницька область","сільський клуб, актовий зал
вул.Леніна, 40, с.Адамівка, Віньковецький р-н, Хмельницька обл., 32511","774","317","752","60","397","60","457","","0","397","60","457","10","447","164","5","8","115","3","97","1","3","6","10","35","29.10.12"
"680067","191","Хмельницька область","районний будинок культури, фойє
вул.Заславська, 8, смт Віньківці, Віньковецький р-н, Хмельницька обл., 32500","1596","614","1574","27","958","24","982","","0","958","24","982","21","961","527","17","13","106","11","125","0","0","6","24","132","29.10.12"
"680068","191","Хмельницька область","ТОВ ""Віньківці сирзавод"", зал засідань
вул.Першотравнева, 6, смт Віньківці, Віньковецький р-н, Хмельницька обл., 32500","1572","690","1564","28","854","28","882","","0","854","28","882","23","859","512","19","14","64","11","120","1","2","11","17","88","29.10.12"
"680069","191","Хмельницька область","приміщення ""райавтодору"", актова зала
вул.Заславська, 75, смт Віньківці, Віньковецький р-н, Хмельницька обл., 32500","954","416","946","17","522","16","538","","0","522","16","538","16","522","254","11","5","41","5","80","0","1","9","21","95","28.10.12"
"680070","191","Хмельницька область","сільський клуб, фойє
вул.Володимирська, 19, смт Віньківці, Віньковецький р-н, Хмельницька обл., 32500","1050","412","1037","23","616","22","638","","0","616","22","638","9","629","383","16","9","44","3","63","0","2","15","17","77","29.10.12"
"680071","191","Хмельницька область","сільський клуб, актовий зал
вул.Заньковецької, 4, с.Гринева, Віньковецький р-н, Хмельницька обл., 32500","102","34","97","3","66","2","68","","0","66","2","68","1","67","52","1","0","2","1","5","0","0","0","0","6","29.10.12"
"680072","191","Хмельницька область","школа, фойє
вул.Чехова, 118, с.Карижин, Віньковецький р-н, Хмельницька обл., 32506","450","160","441","40","251","39","290","","0","251","39","290","7","283","109","11","3","29","2","96","0","0","1","10","22","29.10.12"
"680073","191","Хмельницька область","школа, актовий зал
вул.Козацька, 60, с.Подолянське, Віньковецький р-н, Хмельницька обл., 32507","666","237","654","40","392","37","429","","0","392","37","429","4","425","165","3","10","25","1","58","0","1","3","26","133","29.10.12"
"680074","191","Хмельницька область","будинок культури, актовий зал
вул.Леніна, 4/А, с.Великий Олександрів, Віньковецький р-н, Хмельницька обл., 32508","438","98","437","48","292","48","340","","0","292","48","340","8","332","114","10","8","39","19","49","3","2","4","16","68","29.10.12"
"680075","191","Хмельницька область","школа, актовий зал
вул.Петровського, 3, с.Великий Олександрів, Віньковецький р-н, Хмельницька обл., 32508","162","36","160","14","112","14","126","","0","112","14","126","5","121","40","0","1","14","3","8","0","1","4","13","37","29.10.12"
"680076","191","Хмельницька область","Говірський Професійно-аграрний ліцей, актовий зал
вул.Леніна, 8, с.Говори, Віньковецький р-н, Хмельницька обл., 32536","348","97","351","25","228","23","251","","0","228","23","251","12","239","44","6","12","41","30","36","4","1","3","21","41","29.10.12"
"680077","191","Хмельницька область","сільський клуб, фойє
вул.Гагаріна, 1/1, с.Ломачинці, Віньковецький р-н, Хмельницька обл., 32537","294","67","293","26","201","26","227","","0","201","26","227","6","221","103","9","3","25","6","39","0","2","5","14","15","29.10.12"
"680078","191","Хмельницька область","будинок культури, фойє
вул.Центральна, 32, с.Грим’ячка, Віньковецький р-н, Хмельницька обл., 32510","486","125","466","57","304","57","361","","0","304","57","361","13","348","67","8","7","175","3","32","2","3","3","12","36","29.10.12"
"680079","191","Хмельницька область","будинок культури, фойє
вул.Затонського, 32, с.Дашківці, Віньковецький р-н, Хмельницька обл., 32530","900","220","894","88","598","82","680","","0","598","82","680","23","657","293","14","9","4","14","9","1","0","4","26","283","29.10.12"
"680080","191","Хмельницька область","будинок культури, актовий зал
вул.Грушевського, 10А, с.Женишківці, Віньковецький р-н, Хмельницька обл., 32524","804","357","799","47","406","41","447","","0","406","41","447","16","431","227","17","14","32","21","41","0","1","1","14","63","28.10.12"
"680081","191","Хмельницька область","сільський клуб, актовий зал
вул.Радянська, 1А, с.Гоголі, Віньковецький р-н, Хмельницька обл., 32524","204","46","191","15","143","15","158","","0","143","15","158","4","154","80","4","2","18","2","18","0","2","2","3","23","29.10.12"
"680082","191","Хмельницька область","сільська рада, зал засідань
вул.Писаренка, 46, с.Зіньків, Віньковецький р-н, Хмельницька обл., 32514","1086","398","1082","58","633","55","688","","0","633","55","688","28","660","352","9","13","84","13","128","0","2","12","9","38","29.10.12"
"680083","191","Хмельницька область","будинок культури, актовий зал
вул.Л.Українки, 53, с.Зіньків, Віньковецький р-н, Хмельницька обл., 32514","204","95","199","18","91","18","109","","0","91","18","109","5","104","62","2","2","19","1","8","0","2","3","0","5","29.10.12"
"680084","191","Хмельницька область","будинок культури, актовий зал
вул.Кузнєцова, 58Б, с.Станіслаівка, Віньковецький р-н, Хмельницька обл., 32515","474","222","468","23","232","20","252","","0","232","20","252","13","239","166","3","2","18","3","29","0","2","3","4","9","29.10.12"
"680085","191","Хмельницька область","школа, фойє
вул.Героя Козловського, 39, с.Зоряне, Віньньковецький р-н, Хмельницька обл., 32531","474","176","468","33","271","27","298","","0","271","27","298","17","281","100","7","3","72","2","42","1","0","2","8","44","29.10.12"
"680086","191","Хмельницька область","школа, актовий зал
вул.Центральна, 55, с.Карачіївці, Віньковецький р-н, Хмельницька обл., 32534","414","127","411","40","251","36","287","","0","251","36","287","5","282","116","5","8","29","19","51","1","0","4","6","43","28.10.12"
"680087","191","Хмельницька область","будинок культури, актовий зал
вул.Центральна, 23, с.Майдан-Карачіївецький, Віньковецький р-н, Хмельницька обл., 32534","150","41","145","17","93","16","109","","0","93","16","109","4","105","33","3","7","18","5","28","1","0","1","1","8","29.10.12"
"680088","191","Хмельницька область","школа, спортивний зал
вул.Центральна, 33, с.Калюсик, Віньковецький р-н, Хмельницька обл., 32535","402","111","400","29","264","27","291","","0","264","27","291","10","281","85","6","5","28","5","41","1","0","0","17","93","29.10.12"
"680089","191","Хмельницька область","ФАП, к.1
вул.Набережна, 5, с.Бистриця, Віньковецький р-н, Хмельницька обл., 32534","66","4","68","11","52","10","62","","0","52","10","62","1","61","14","0","1","29","0","5","0","0","0","2","10","29.10.12"
"680090","191","Хмельницька область","будинок культури, фойє
вул.Жовтнева, 30, с.Майдан-Олександрівський, Віньковецький р-н, Хмельницька обл., 32533","744","160","742","64","530","54","584","","0","530","54","584","23","561","200","14","5","135","18","96","2","4","7","18","62","29.10.12"
"680091","191","Хмельницька область","ФАП, к.1
вул.Радянська, 20, с.Гута, Віньковецький р-н, Хмельницька обл., 32533","78","22","75","12","44","12","56","","0","44","12","56","0","56","6","0","0","29","1","9","0","0","1","0","10","29.10.12"
"680092","191","Хмельницька область","школа, спортивний зал
вул.Шкільна, 5, с.Нетечинці, Віньковецький р-н, Хмельницька обл., 32526","390","148","386","18","225","17","242","","0","225","17","242","2","240","70","6","4","49","4","32","2","1","3","17","52","29.10.12"
"680093","191","Хмельницька область","будинок культури, фойє
вул.Подільська, 34, с.Нетечинці, Віньковецький р-н, Хмельницька обл., 32526","366","101","361","30","238","27","265","","0","238","27","265","4","261","157","7","4","19","1","30","0","2","3","10","28","29.10.12"
"680094","191","Хмельницька область","будинок культури, актовий зал
вул.Мічуріна, 30, с.Славута, Віньковецький р-н, Хмельницька обл., 32526","102","24","100","18","60","18","78","","0","60","18","78","1","77","43","0","2","21","0","4","0","0","1","2","4","28.10.12"
"680095","191","Хмельницька область","адмінбудинок, зал засідань
вул.Леніна, 1, с.Осламів, Віньковецький р-н, Хмельницька обл., 32532","1008","406","1000","55","551","51","602","","0","551","51","602","28","574","341","13","18","19","12","57","0","5","14","24","71","29.10.12"
"680096","191","Хмельницька область","школа, актовий зал
вул.Нова, 1, с.Охрімівці, Віньковецький р-н, Хмельницька обл., 32522","654","230","644","59","366","58","424","","0","366","58","424","5","419","110","9","7","91","25","36","1","0","1","18","121","29.10.12"
"680097","191","Хмельницька область","Школа, фойє
вул.Крупської,8, с.Слобідка-Охрімовецька, Віньковецький р-н, Хмельницька обл., 32523","666","254","661","58","355","57","412","","0","355","57","412","15","397","144","13","11","58","13","60","0","4","5","20","69","29.10.12"
"680098","191","Хмельницька область","школа, фойє
вул.Перемоги, 110, с.Петрашівка, Віньковецький р-н, Хмельницька обл., 32512","426","189","426","11","226","11","237","","0","226","11","237","6","231","108","5","9","34","7","2","17","1","7","18","23","29.10.12"
"680099","191","Хмельницька область","ФАП, к.1
вул.Пушкіна, 48А, с.Петрашівка, Віньковецький р-н, Хмельницька обл., 32512","342","169","319","19","158","15","173","","0","158","15","173","3","170","21","3","1","123","1","10","0","0","0","1","10","28.10.12"
"680100","191","Хмельницька область","школа, фойє
вул.Шкільна, 28А, с.Пирогівка, Віньковецький р-н, Хмельницька обл., 32513","462","145","452","28","289","28","317","","0","289","28","317","15","302","153","9","7","21","3","24","0","1","3","17","64","29.10.12"
"680101","191","Хмельницька область","будинок культури, фойє
вул.Комсомольська, 11Б, с.Пилипи-Олександрівські, Віньковецький р-н, Хмельницька обл., 32509","642","221","660","30","393","28","421","","0","393","28","421","9","412","136","10","14","49","17","46","1","1","6","23","109","29.10.12"
"680102","191","Хмельницька область","будинок культури, актовий зал
вул.Леніна, 85, с.Покутинці, Віньковецький р-н, Хмельницька обл., 32516","522","140","514","65","325","57","382","","0","325","57","382","19","363","87","9","15","126","4","27","1","0","3","31","60","29.10.12"
"680103","191","Хмельницька область","будинок культури, актовий зал
вул.Леніна, 1, с.Яснозір’я, Віньковецький р-н, Хмельницька обл., 32520","456","165","442","28","265","26","291","","0","265","26","291","9","282","85","10","5","51","6","61","2","4","2","11","45","29.10.12"
"680104","191","Хмельницька область","будинок культури, актовий зал
вул.Щорса, 17, с.Фащіївка, Віньковецький р-н, Хмельнцька обл., 32520","168","58","171","22","92","18","110","","0","92","18","110","1","109","37","1","0","10","4","19","0","2","4","8","24","29.10.12"
"680257","191","Хмельницька область","сільський будинок культури, к.1
вул.Миру, 10, с.Богданівці, Деражнянський р-н, Хмельницька обл., 32211","690","237","674","80","385","68","453","","0","385","68","453","18","435","103","13","23","62","22","108","2","10","13","36","43","29.10.12"
"680258","191","Хмельницька область","сільський будинок культури, к.1
вул.Седзюка, 22/1, с.Божиківці, Деражнянський р-н, Хмельницька обл., 32262","564","157","554","64","344","63","407","","0","344","63","407","10","397","173","17","17","64","14","67","2","6","9","12","16","29.10.12"
"680259","191","Хмельницька область","школа, к.1
вул.Маяковського, 4/1, с.Радянське, Деражнянський р-н, Хмельницька обл., 32263","354","129","350","75","169","56","225","","0","169","56","225","9","216","78","7","6","50","5","33","1","1","6","11","18","29.10.12"
"680260","191","Хмельницька область","сільський клуб, к.1
вул.Незалежності, 24/1, с.Шелехове, Деражнянський р-н, Хмельницька обл., 32264","120","29","117","20","74","17","91","","0","74","17","91","4","87","12","2","1","40","5","12","1","0","5","1","8","29.10.12"
"680261","191","Хмельницька область","будинок культури, к.1
вул.Миру, 26, смт Вовковинці, Деражнянський р-н, Хмельницька обл., 32223","1014","423","1012","41","551","40","591","","0","551","40","591","18","573","222","23","38","75","48","117","0","18","9","6","17","29.10.12"
"680262","191","Хмельницька область","хлібоприймальне підприємство, к.1
вул.Вокзальна, 12, смт Вовковинці, Деражнянський р-н, Хмельницька обл., 32223","822","357","815","52","418","47","465","","0","418","47","465","16","449","151","21","37","61","57","80","1","6","9","13","13","29.10.12"
"680263","191","Хмельницька область","фельдшерсько-акушерський пункт, к.1
вул.Лісова, 4, с.Кайтанівка, Деражнянський р-н, Хмельницька обл., 32223","138","40","133","11","87","11","98","","0","87","11","98","5","93","55","5","2","10","0","8","0","0","0","5","8","29.10.12"
"680264","191","Хмельницька область","сільський клуб, к.1
вул.Миру, 7, с.Садове, Деражнянський р-н, Хмельницька обл., 32223","156","37","151","8","111","8","119","","0","111","8","119","1","118","27","4","3","13","13","38","3","3","4","5","5","29.10.12"
"680265","191","Хмельницька область","сільський будинок культури, к.1
вул.Шереметівка, 2А, с.Волоське, Деражнянський р-н, Хмельницька обл., 32251","462","143","461","71","250","69","319","","0","250","69","319","11","308","124","14","5","42","3","56","0","2","7","18","37","29.10.12"
"680266","191","Хмельницька область","школа, спортивний зал
вул.Шкільна, 24, с.Галузинці, Деражнянський р-н, Хмельницька обл., 32226","390","119","385","45","230","41","271","","0","230","41","271","12","259","56","6","14","53","14","73","2","5","7","15","14","29.10.12"
"680267","191","Хмельницька область","сільський будинок культури, к.1
вул.Куйбишева, 3, с.Гатна, Деражнянський р-н, Хмельницька обл., 32215","390","123","381","40","231","36","267","","0","231","36","267","10","257","70","5","10","51","7","80","0","0","4","10","20","29.10.12"
"680268","191","Хмельницька область","пункт прийому хворих, к.1
вул.Фрунзе, 2, с.Марківка, Деражнянський р-н, Хмельницька обл., 32215","72","20","67","9","43","9","52","","0","43","9","52","2","50","4","0","2","10","2","7","0","2","1","2","20","29.10.12"
"680269","191","Хмельницька область","сільський будинок культури, к.1
вул.Семенюка, 16, с.Городище, Деражнянський р-н, Хмельницька обл., 32221","276","79","271","37","162","35","197","","0","162","35","197","3","194","30","5","8","50","4","54","1","4","5","15","18","29.10.12"
"680270","191","Хмельницька область","будинок творчості, хореографічний зал
вул.Заводська, 3, м.Деражня, Деражнянський р-н, Хмельницька обл., 32200","1500","649","1493","11","840","11","851","","0","840","11","851","23","828","223","13","60","101","25","258","3","6","13","17","109","29.10.12"
"680271","191","Хмельницька область","міський клуб, глядацький зал
вул.Проскурівська, 77, м.Деражня, Деражнянський р-н, Хмельницька обл., 32200","1374","551","1348","21","804","19","823","","0","804","19","823","27","796","251","15","38","108","18","246","1","12","7","19","81","28.10.12"
"680272","191","Хмельницька область","школа №3, актовий зал
вул.Заводська, 2, м.Деражня, Деражнянський р-н, Хмельницька обл., 32200","1398","647","1388","5","748","3","751","","0","748","3","751","14","737","256","24","39","100","14","212","1","10","10","21","50","29.10.12"
"680273","191","Хмельницька область","районний будинок культури, хореографічний зал
вул.Миру, 42, м.Деражня, Деражнянський р-н, Хмельницька обл., 32200","2334","975","2311","39","1322","37","1359","","0","1322","37","1359","29","1330","466","23","59","184","55","339","6","16","23","33","126","29.10.12"
"680274","191","Хмельницька область","РЕМ, актовий зал
вул.Миру, 130, м.Деражня, Деражнянський р-н, Хмельницька обл., 32200","1656","759","1633","13","888","9","897","","0","888","9","897","32","865","285","28","38","94","34","232","2","12","13","28","99","29.10.12"
"680275","191","Хмельницька область","сільський будинок культури, к.1
вул.Берегова, 2/1, с.Загінці, Деражнянський р-н, Хмельницька обл., 32245","498","108","497","81","313","77","390","","0","313","77","390","12","378","89","13","22","51","6","135","3","10","10","18","21","29.10.12"
"680276","191","Хмельницька область","сільський будинок культури, к.1
вул.Центральна, 22, с.Зяньківці, Деражнянський р-н, Хмельницька обл., 32250","594","225","582","66","308","61","369","","0","308","61","369","11","358","76","7","12","63","21","64","3","14","13","27","58","29.10.12"
"680277","191","Хмельницька область","сільський будинок культури, к.1
вул.Кармелюка, 57, с.Згарок, Деражнянський р-н, Хмельницька обл., 32222","294","85","291","27","183","26","209","","0","183","26","209","2","207","53","7","5","58","12","32","1","0","6","9","24","29.10.12"
"680278","191","Хмельницька область","сільський клуб, к.1
вул.Мануїльського, 1, с.Новостроївка, Деражнянський р-н, Хмельницька обл., 32222","96","14","96","19","66","16","82","","0","66","16","82","0","82","9","0","5","23","3","9","0","1","1","6","25","30.10.12"
"680279","191","Хмельницька область","сільський клуб, к.1
вул.Куйбишева, 7/1, с.Кальна, Деражнянський р-н, Хмельницька обл., 32220","468","156","460","29","285","27","312","","0","285","27","312","12","300","59","15","14","41","10","108","0","11","9","12","21","29.10.12"
"680280","191","Хмельницька область","сільський будинок культури, к.1
вул.Центральна, 20, с.Клопотівці, Деражнянський р-н, Хмельницька обл., 32232","132","35","125","2","95","2","97","","0","95","2","97","2","95","38","1","0","8","5","23","0","0","1","8","11","29.10.12"
"680281","191","Хмельницька область","сільський клуб, к.1
вул.Леніна, 21, с.Вівсяники, Деражнянський р-н, Хмельницька обл., 32233","144","38","137","9","97","9","106","","0","97","9","106","4","102","22","2","1","22","8","26","0","1","2","4","14","29.10.12"
"680282","191","Хмельницька область","фельдшерсько-акушерський пунк, к.1
вул.Шевчука, 6, с.Чернелівці, Деражнянський р-н, Хмельницька обл., 32234","120","26","119","16","78","16","94","","0","78","16","94","6","88","31","9","1","15","6","22","1","0","0","0","3","29.10.12"
"680283","191","Хмельницька область","будинок культури, к.1
вул.Миру, 99, с.Копачівка, Деражнянський р-н, Хмельницька обл., 32210","594","158","586","44","399","37","436","","0","399","37","436","24","412","54","5","19","41","17","140","2","5","6","47","76","29.10.12"
"680284","191","Хмельницька область","сільський клуб, к.1
вул.Л.Українки, 53, с.Коржівці, Деражнянський р-н, Хмельницька обл., 32217","366","113","358","52","206","47","253","","0","206","47","253","16","237","91","7","5","28","14","19","1","8","1","14","49","29.10.12"
"680285","191","Хмельницька область","сільський клуб, к.1
вул.Незалежності, 1, с.Коричинці, Деражнянський р-н, Хмельницька обл., 32225","528","203","516","33","296","29","325","","0","296","29","325","17","308","107","15","15","64","13","41","1","10","7","16","19","29.10.12"
"680286","191","Хмельницька область","будинок культури, к.1
вул.Радянська, 13, смт Лозове, Деражнянський р-н, Хмельницька обл., 32216","1128","425","1113","37","667","36","703","","0","667","36","703","22","681","226","22","32","53","26","196","1","6","19","35","65","29.10.12"
"680287","191","Хмельницька область","торговий центр, к.1
вул.Пролетарська, 13, смт Лозове, Деражнянський р-н, Хмельницька обл., 32216","114","46","108","2","66","2","68","","0","66","2","68","1","67","1","0","2","25","2","9","0","0","0","4","24","29.10.12"
"680288","191","Хмельницька область","будинок культури, к.2
вул.Соборна, 1, с.Мазники, Деражнянський р-н, Хмельницька обл., 32265","492","123","482","69","300","69","369","","0","300","69","369","10","359","143","10","10","48","19","65","2","1","7","13","41","28.10.12"
"680289","191","Хмельницька область","сільський будинок культури, к.1
вул.Вишнева, 7, с.Майдан-Чернелевецький, Деражнянський р-н, Хмельницька обл., 32230","216","54","210","34","132","30","162","","0","132","30","162","4","158","17","5","2","34","12","12","0","1","4","31","40","29.10.12"
"680290","191","Хмельницька область","сільський клуб, к.1
вул.Шкільна, 11, с.Макарове, Деражнянський р-н, Хмельницька обл., 32231","138","26","133","22","92","20","112","","0","92","20","112","4","108","24","1","2","18","14","29","0","1","1","4","14","29.10.12"
"680291","191","Хмельницька область","сільський клуб, к.1
вул.Дружби, 13, с.Степівка, Деражнянський р-н, Хмельницька обл., 32230","144","31","139","19","95","18","113","","0","95","18","113","5","108","17","5","0","32","12","24","2","1","0","5","10","29.10.12"
"680292","191","Хмельницька область","сільський будинок культури, фойє
вул.Янна Ольшанського, 42, с.Маниківці, Деражнянський р-н, Хмельницька обл., 32244","816","264","811","87","468","84","552","","0","468","84","552","13","539","138","14","16","47","14","244","1","14","4","15","32","28.10.12"
"680293","191","Хмельницька область","сільський будинок культури, к.1
вул.Центральна, 34, с.Нижнє, Деражнянський р-н, Хмельницька обл., 32206","456","135","450","23","298","23","321","","0","298","23","321","12","309","95","16","13","47","5","79","0","11","9","7","27","28.10.12"
"680294","191","Хмельницька область","сільський клуб, к.1
вул.Котовського, 30, с.Черешенька, Деражнянський р-н, Хмельницька обл., 32206","204","51","204","27","129","24","153","","0","129","24","153","7","146","20","2","2","44","10","33","1","1","6","15","12","28.10.12"
"680295","191","Хмельницька область","сільський клуб, к.1
вул.Центральна, 1, с.Слобідка, Деражнянський р-н, Хмельницька обл., 32220","138","27","138","5","106","5","111","","0","106","5","111","3","108","12","3","5","21","3","37","3","4","3","6","11","29.10.12"
"680296","191","Хмельницька область","сільський будинок культури, к.1
вул.Подільська, 20/7, с.Новосілка, Деражнянський р-н, Хмельницька обл., 32240","360","98","355","32","230","32","262","","0","230","32","262","4","258","55","8","5","55","29","63","3","4","1","11","24","29.10.12"
"680297","191","Хмельницька область","сільський клуб, к.1
вул.Польова, 6/1, с.Літки, Деражнянський р-н, Хмельницька обл., 32241","288","83","280","23","184","21","205","","0","184","21","205","4","201","47","6","6","74","2","43","1","0","2","7","13","28.10.12"
"680298","191","Хмельницька область","сільська бібліотека, к.1
вул.Козацька, 10/1, с.Підлісне, Деражнянський р-н, Хмельницька обл., 32242","162","37","157","20","109","16","125","","0","109","16","125","2","123","26","2","0","15","7","24","0","0","6","5","38","29.10.12"
"680299","191","Хмельницька область","СТОВ, адмінбудинок, к.1
вул.Центральна, 9, с.Пилипи, Деражнянський р-н, Хмельницька обл., 32252","252","66","250","30","160","26","186","","0","160","26","186","4","182","88","9","9","9","8","27","1","0","0","6","25","28.10.12"
"680300","191","Хмельницька область","школа, актовий зал
вул.Коцюбинського, 22, с.Радівці, Деражнянський р-н, Хмельницька обл., 32235","618","213","608","46","359","46","405","","0","359","46","405","17","388","155","30","14","36","36","83","2","3","7","5","17","29.10.12"
"680301","191","Хмельницька область","сільський клуб, глядацький зал
вул.Жовтнева, 2, с.Шиїнці, Деражнянський р-н, Хмельницька обл., 32253","156","37","153","19","100","19","119","","0","100","19","119","4","115","24","1","2","38","9","24","0","1","0","5","11","29.10.12"
"680302","191","Хмельницька область","сільський будинок культури, к.1
вул.Гагаріна, 5, с.Шпичинці, Деражнянський р-н, Хмельницька обл., 32212","480","149","470","46","288","43","331","","0","288","43","331","25","306","64","16","18","36","12","71","2","3","11","23","50","28.10.12"
"680303","191","Хмельницька область","сільський клуб, к.1
вул.Ватутіна, 3, с.Розсохи, Деражнянський р-н, Хмельницька обл., 32213","162","47","159","23","92","23","115","","0","92","23","115","8","107","26","3","2","25","5","18","0","0","0","8","20","29.10.12"
"680304","191","Хмельницька область","сільський клуб, к.1
вул.Центральна, 38, с.Теперівка, Деражнянський р-н, Хмельницька обл., 32214","384","116","380","5","264","4","268","","0","264","4","268","12","256","86","6","11","42","8","71","0","5","10","4","13","29.10.12"
"680305","191","Хмельницька область","сільський будинок культури, к.1
вул.Центральна, 40, с.Яблунівка, Деражнянський р-н, Хмельницька обл., 32207","342","76","336","34","235","31","266","","0","235","31","266","11","255","74","8","6","72","3","44","2","1","1","15","29","28.10.12"
"680306","191","Хмельницька область","сільський клуб, к.1
вул.Центральна, 1/3, с.Буцневе, Деражнянський р-н, Хмельницька обл., 32208","288","82","287","33","176","30","206","","0","176","30","206","8","198","91","5","6","13","2","63","0","1","1","1","15","29.10.12"
"680307","191","Хмельницька область","гостиний будинок музею А.Ахматової к.2
вул.Вакарів 5/1В с.Слобідка-Шелехівська, Деражнянський р-н, Хмельницька обл., 32261","108","36","98","17","56","16","72","","0","56","16","72","2","70","11","1","3","32","0","10","0","0","1","2","10","28.10.12"
"680308","191","Хмельницька область","сільський клуб, к.1
вул.Першого Травня, 2/А, с.Шарки, Деражнянський р-н, Хмельницька обл., 32209","258","87","256","19","152","19","171","","0","152","19","171","3","168","79","1","5","17","9","23","0","2","4","6","22","29.10.12"
"680309","191","Хмельницька область","сільський будинок культури, к.1
вул.Центральна, 34А, с.Явтухи, Деражнянський р-н, Хмельницька обл., 32260","414","116","404","42","256","42","298","","0","256","42","298","12","286","54","9","4","57","7","43","2","1","4","20","85","29.10.12"
"680310","191","Хмельницька область","сільський будинок культури, к.2
вул.Центральна, 44, с.Яськівці, Деражнянський р-н, Хмельницька обл., 32243","456","131","447","31","297","28","325","","0","297","28","325","16","309","99","13","6","33","6","116","0","6","7","8","15","29.10.12"
"680311","191","Хмельницька область","сільський клуб, к.2
вул.Свободи, 17, с.Красносілка, Деражнянський р-н, Хмельницька обл., 32218","114","22","112","16","78","14","92","","0","78","14","92","2","90","5","4","0","42","7","17","0","1","1","4","9","29.10.12"
"680312","191","Хмельницька область","сільський будинок культури, к.1
вул.Шевченка, 5, с.Гришки, Деражнянський р-н, Хмельницька обл., 32220","234","97","227","17","121","16","137","","0","121","16","137","6","131","21","7","4","4","9","12","0","3","8","12","51","28.10.12"
"680664","191","Хмельницька область","будинок сільської ради, актова зала
вул.Першотравнева, 17/1, с.Волосівці, Летичівський р-н, Хмельницька обл., 31510","348","77","346","47","227","44","271","","0","227","44","271","7","264","53","2","13","98","9","50","1","6","2","10","20","28.10.12"
"680665","191","Хмельницька область","школа, фойє
вул.Центральна, 65, с.Голенищеве, Летичівський р-н, Хмельницька обл., 31553","498","147","489","61","294","57","351","","0","294","57","351","17","334","29","9","6","68","8","80","2","9","19","24","80","29.10.12"
"680666","191","Хмельницька область","сільський клуб, фойє
вул.Жовтнева, 13/1, с.Буцні, Летичівський р-н, Хмельницька обл., 31554","102","32","99","5","65","5","70","","0","65","5","70","4","66","21","0","4","8","1","10","0","2","0","3","17","29.10.12"
"680667","191","Хмельницька область","сільський клуб, актова зала
вул.Колгоспна, 13, с.Майдан-Голенищівський, Летичівський р-н, Хмельницька обл., 31553","168","32","168","19","117","19","136","","0","117","19","136","7","129","28","2","1","34","1","6","2","0","6","6","43","29.10.12"
"680668","191","Хмельницька область","сільський клуб, актова зала
вул.Берегова, 4, с.Прилужне, Летичівський р-н, Хмельницька обл., 31554","174","59","168","6","111","4","115","","0","111","4","115","8","107","32","5","4","20","3","13","1","5","3","7","14","29.10.12"
"680669","191","Хмельницька область","будинок культури, фойє
вул.Центральна, 56, с.Голосків, Летичівський р-н, Хмельницька обл., 31535","930","343","928","58","532","55","587","","0","532","55","587","15","572","131","8","23","108","21","211","0","19","6","13","32","29.10.12"
"680670","191","Хмельницька область","сільський клуб, актова зала
вул.Набережна, 4, с.Русанівці, Летичівський р-н, Хмельницька обл., 31535","186","46","182","32","108","32","140","","0","108","32","140","6","134","31","5","3","30","1","23","0","2","0","8","31","29.10.12"
"680671","191","Хмельницька область","школа, к.2
вул.Шкільна, 1, с.Горбасів, Летичівський р-н, Хмельницька обл., 31540","312","54","309","33","228","30","258","","0","228","30","258","18","240","54","10","7","81","10","49","2","5","3","11","8","29.10.12"
"680672","191","Хмельницька область","сільський клуб, актова зала
вул.Центральна, 70, с.Марківці, Летичівський р-н, Хмельницька обл., 31540","150","27","153","14","110","13","123","","0","110","13","123","8","115","21","3","1","27","3","22","1","5","1","12","19","29.10.12"
"680673","191","Хмельницька область","сільський клуб, фойє
вул.Колгоспна, 23, с.Гречинці, Летичівський р-н, Хмельницька обл., 31515","456","147","455","26","283","26","309","","0","283","26","309","17","292","74","4","10","87","14","52","2","11","9","5","24","29.10.12"
"680674","191","Хмельницька область","сільський клуб, актова зала
вул.Центральна, 13, с.Іванинці, Летичівський р-н, Хмельницька обл., 31515","210","73","200","33","108","29","137","","0","108","29","137","6","131","19","3","2","52","17","18","1","3","5","6","5","29.10.12"
"680675","191","Хмельницька область","школа, к.7
вул.Печенюка, 36/1, с.Грушківці, Летичівський р-н, Хмельницька обл., 31544","474","165","467","31","279","30","309","","0","279","30","309","7","302","94","13","6","57","34","46","0","3","9","15","25","29.10.12"
