"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Баранов
Костянтин
Володимирович","Бойко
Володимир
Богданович","Бойко
Володимир
Іванович","Болєщук
Володимир
Михайлович","Вихрущ
Анатолій
Володимирович","Петровський
Володимир
Михайлович","Ткач
Володимир
Михайлович","Чайківський
Іван
Адамович","Шевченко
Лілія
Антонівна","Шевчук
Олексій
Панасович","Дата підписання протоколу"
"610528","165","Тернопільська область","сільський клуб, каб.2
вул.Центральна, 20, с.Козівка, Козівський р-н, Тернопільська обл., 47642","516","158","507","34","327","31","358","","0","327","31","358","3","355","3","176","5","18","8","74","2","65","3","1","28.10.12"
"610529","165","Тернопільська область","сільський клуб, к.1
вул.Центральна, 110, с.Мала Плавуча, Козівський р-н, Тернопільська обл., 47621","318","98","308","27","193","27","220","","0","193","27","220","8","212","5","85","11","10","11","43","1","41","2","3","28.10.12"
"610530","165","Тернопільська область","школа, каб.10
вул.Шевченка, 29, с.Олесине, Козівський р-н, Тернопільська обл., 47641","390","119","379","30","244","27","271","","0","244","27","271","4","267","1","113","7","16","16","51","3","57","3","0","28.10.12"
"610531","165","Тернопільська область","фельдшерсько-акушерський пункт, каб.2
вул.Стара Уритва, 26, с.Уритва, Козівський р-н, Тернопільська обл., 47641","144","40","140","15","90","14","104","","0","90","14","104","5","99","6","14","2","8","2","27","1","39","0","0","28.10.12"
"610532","165","Тернопільська область","сільський клуб, к.1
вул.Центральна, 126, с.Покропивна, Козівський р-н, Тернопільська обл., 47630","432","74","429","36","323","35","358","","0","323","35","358","5","353","1","163","7","5","2","85","3","83","3","1","29.10.12"
"610533","165","Тернопільська область","школа, каб.4
вул.Шевченка, 7, с.Потік, Козівський р-н, Тернопільська обл., 47684","384","85","374","44","256","43","299","","0","256","43","299","5","294","4","130","13","14","17","49","2","64","1","0","31.10.12"
"610534","165","Тернопільська область","сільська рада, к.2
вул.Грушевського, 16, с.Плотича, Козівський р-н, Тернопільська обл., 47650","408","110","406","16","284","14","298","","0","284","14","298","7","291","2","70","16","16","47","57","3","74","4","2","28.10.12"
"610535","165","Тернопільська область","сільський клуб, к.1
вул.Львівська, 9, с.Слобідка, Козівський р-н, Тернопільська обл., 47632","492","157","483","31","306","29","335","","0","306","29","335","13","322","1","135","20","27","6","51","2","79","1","0","28.10.12"
"610536","165","Тернопільська область","дитячий садок, ігрова кімната
вул.Центральна, 10, с.Таурів, Козівський р-н, Тернопільська обл., 47622","744","223","728","72","449","72","521","","0","449","72","521","14","507","4","142","7","60","11","145","6","130","2","0","28.10.12"
"610537","165","Тернопільська область","будинок культури, глядацький зал
вул.Мічуріна, 60, с.Теофіпілка, Козівський р-н, Тернопільська обл., 47652","666","197","652","36","436","33","469","","0","436","33","469","3","466","1","122","6","18","2","45","5","264","2","1","28.10.12"
"610538","165","Тернопільська область","сільський клуб, к.3
вул.Центральна, 16, с.Ценів, Козівський р-н, Тернопільська обл., 47640","798","244","783","93","466","88","554","","0","466","88","554","11","543","7","239","16","6","71","91","3","103","3","4","28.10.12"
"610539","165","Тернопільська область","сільський клуб, к.1
вул.Центральна, 6, с.Щепанів, Козівський р-н, Тернопільська обл., 47671","456","159","451","28","270","27","297","","0","270","27","297","14","283","2","63","5","11","11","56","3","129","2","1","28.10.12"
"610540","165","Тернопільська область","сільський клуб, к.1
вул.Івана Мазепи, 4, с.Яструбове, Козівський р-н, Тернопільська обл., 47661","780","266","678","48","466","48","514","","0","466","48","514","11","503","2","209","18","18","12","91","10","140","2","1","28.10.12"
"610541","165","Тернопільська область","Центральна районна комунальна лікарня, актова зала, к.2
вул.Зелена, 19, смт Козова, Козівський р-н, Тернопільська обл., 47600","186","150","39","19","17","19","36","","0","17","19","36","0","36","0","16","2","3","1","6","0","8","0","0","28.10.12"
"610542","165","Тернопільська область","сільський клуб, глядацький зал
вул.Леніна, 2, с.Башуки, Кременецький р-н, Тернопільська обл., 47065","612","182","602","58","373","57","430","","0","373","57","430","11","419","10","126","28","53","10","107","4","63","13","5","29.10.12"
"610543","165","Тернопільська область","сільський клуб, глядацький зал
вул.Почаївська, 1, с.Новий Олексинець, Кременецький р-н, Тернопільська обл., 47077","420","129","422","40","256","35","291","","0","256","35","291","19","272","20","86","13","17","11","55","6","58","4","2","29.10.12"
"610553","165","Тернопільська область","сільський клуб, глядацький зал
вул.Шевченка, 59, с.Велика Горянка, Кременецький р-н, Тернопільська обл., 47054","528","310","526","36","190","28","218","","0","190","28","218","16","202","18","39","8","11","3","42","0","71","8","2","29.10.12"
"610588","165","Тернопільська область","сільська рада, зал засідань
вул.Леніна, 24, с.Лопушне, Кременецький р-н, Тернопільська обл., 47054","534","200","527","46","289","45","334","","0","289","45","334","4","330","17","99","12","32","6","75","0","83","6","0","29.10.12"
"610589","165","Тернопільська область","сільський клуб, глядацький зал
вул.Перемоги, 30, с.Крутнів, Кременецький р-н, Тернопільська обл., 47053","432","204","426","37","196","32","228","","0","196","32","228","11","217","15","49","7","10","6","72","2","44","7","5","29.10.12"
"610590","165","Тернопільська область","сільський клуб, глядацький зал
вул.Комсомольська, 49, с.Раславка, Кременецький р-н, Тернопільська обл., 47054","288","106","281","39","143","39","182","","0","143","39","182","8","174","12","56","7","15","5","34","1","40","2","2","28.10.12"
"610593","165","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 17, с.Млинівці, Кременецький р-н, Тернопільська обл., 47061","324","117","318","27","182","25","207","","0","182","25","207","3","204","6","36","3","28","3","40","0","82","5","1","29.10.12"
"610594","165","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 14, с.Бакоти, Кременецький р-н, Тернопільська обл., 47061","186","69","180","29","88","29","117","","0","88","29","117","2","115","7","14","9","11","0","20","0","54","0","0","28.10.12"
"610595","165","Тернопільська область","фельдшерсько-акушерський пункт, фойє
вул.Центральна, 35, с.Хотовиця, Кременецький р-н, Тернопільська обл., 47061","264","90","259","25","152","22","174","","0","152","22","174","5","169","6","41","5","10","1","41","1","61","1","2","28.10.12"
"610605","165","Тернопільська область","сільська рада, зал засідань
вул.Леніна, 93, с.Ридомиль, Кременецький р-н, Тернопільська обл., 47060","1206","498","1197","51","662","46","708","","0","662","46","708","50","658","12","249","40","39","11","184","8","100","11","4","29.10.12"
"610606","165","Тернопільська область","будинок культури, глядацький зал
вул.Спортивна, 8, с.Розтоки, Кременецький р-н, Тернопільська обл., 47055","768","297","754","89","386","85","471","","0","386","85","471","14","457","8","131","18","57","11","81","9","129","12","1","29.10.12"
"610608","165","Тернопільська область","сільська рада, зал засідань
вул.Перемоги, 3, с.Старий Олексинець, Кременецький р-н, Тернопільська обл., 47063","792","220","782","71","506","66","572","","0","506","66","572","26","546","19","212","27","31","11","95","3","126","18","4","28.10.12"
"610611","165","Тернопільська область","школа, актова зала
вул.Шкільна, 11, с.Устечко, Кременецький р-н, Тернопільська обл., 47062","408","132","402","44","235","41","276","","0","235","41","276","6","270","23","109","23","13","2","41","2","46","9","2","29.10.12"
"610612","165","Тернопільська область","школа, актова зала
вул.Миру, 42, с.Очеретне, Кременецький р-н, Тернопільська обл., 47064","258","92","253","39","131","35","166","","0","131","35","166","4","162","5","62","8","21","4","14","4","38","3","3","29.10.12"
"610781","165","Тернопільська область","школа, кабінет хімії
вул.Тараса Шевченка, 68А, с.Білокриниця, Підгаєцький р-н, Тернопільська обл., 48014","426","156","415","39","231","39","270","","0","231","39","270","15","255","6","71","5","2","3","73","7","85","3","0","28.10.12"
"610782","165","Тернопільська область","сільський клуб, глядацький зал
вул.Степана Бандери, 2, с.Боків, Підгаєцький р-н, Тернопільська обл., 48032","294","79","287","30","187","28","215","","0","187","28","215","11","204","0","106","11","1","5","33","3","42","2","1","28.10.12"
"610783","165","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 24, с.Бронгалівка, Підгаєцький р-н, Тернопільська обл., 48013","258","66","251","36","156","36","192","","0","156","36","192","0","192","1","81","10","24","0","47","2","26","1","0","29.10.12"
"610784","165","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 19, с.Михайлівка, Підгаєцький р-н, Тернопільська обл., 48013","66","17","66","14","36","13","49","","0","36","13","49","0","49","0","1","11","0","0","20","2","15","0","0","31.10.12"
"610785","165","Тернопільська область","сільська рада, актова зала
вул.Центральна, 96, с.Вербів, Підгаєцький р-н, Тернопільська обл., 48022","648","196","636","37","416","36","452","","0","416","36","452","13","439","1","305","23","10","2","40","13","42","2","1","29.10.12"
"610786","165","Тернопільська область","сільський клуб, глядацький зал
вул.Димитрова, 61А, с.Галич, Підгаєцький р-н, Тернопільська обл., 48000","414","124","414","33","261","29","290","","0","261","29","290","5","285","2","135","9","0","2","61","7","67","2","0","28.10.12"
"610787","165","Тернопільська область","сільська рада, актова зала, 1-й поверх
вул.Центральна, 6А, с.Голгоча, Підгаєцький р-н, Тернопільська обл., 48024","528","217","520","39","272","39","311","","0","272","39","311","4","307","6","160","18","8","22","58","5","27","1","2","28.10.12"
"610788","165","Тернопільська область","школа, актова зала, 1-й поверх
вул.Монастириська, 1, с.Голгоча, Підгаєцький р-н, Тернопільська обл., 48024","660","241","660","55","366","53","419","","0","366","53","419","9","410","3","219","29","15","43","67","1","31","2","0","28.10.12"
"610789","165","Тернопільська область","школа, початковий клас
вул.Колонія, 1Б, с.Волиця, Підгаєцький р-н, Тернопільська обл., 48024","474","155","422","46","275","44","319","","0","275","44","319","8","311","4","142","16","10","10","70","2","55","1","1","28.10.12"
"610790","165","Тернопільська область","сільський клуб, глядацький зал
вул.Незалежності, 5А, с.Гнильче, Підгаєцький р-н, Тернопільська обл., 48034","300","102","296","20","178","20","198","","0","178","20","198","8","190","3","43","9","4","3","62","2","63","0","1","28.10.12"
"610791","165","Тернопільська область","сільський клуб, глядацький зал
вул.Шкільна, 4А, с.Пановичі, Підгаєцький р-н, Тернопільська обл., 48034","96","30","91","7","59","7","66","","0","59","7","66","1","65","1","15","0","0","0","31","0","16","0","2","28.10.12"
"610792","165","Тернопільська область","сільський клуб, глядацький зал
вул.Лісова, 14А, с.Червень, Підгаєцький р-н, Тернопільська обл., 48034","132","72","126","3","57","3","60","","0","57","3","60","2","58","0","12","5","2","0","21","0","18","0","0","28.10.12"
"610793","165","Тернопільська область","школа, актова зала, 1-й поверх
вул.Центральна, 26, с.Завалів, Підгаєцький р-н, Тернопільська обл., 48023","528","220","521","33","279","29","308","","0","279","29","308","9","299","0","147","13","14","1","62","56","3","3","0","29.10.12"
"610794","165","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 61, с.Затурин, Підгаєцький р-н, Тернопільська обл., 48023","114","32","112","4","78","4","82","","0","78","4","82","4","78","0","25","0","11","0","23","0","19","0","0","31.10.12"
"610795","165","Тернопільська область","сільський клуб, глядацький зал
вул.Середнянська, 117, с.Середнє, Підгаєцький р-н, Тернопільська обл., 48023","138","43","135","6","90","5","95","","0","90","5","95","3","92","0","43","1","14","0","22","3","9","0","0","28.10.12"
"610796","165","Тернопільська область","сільський клуб, глядацький зал
вул.Калнишевського, 26, с.Лиса, Підгаєцький р-н, Тернопільська обл., 48033","228","73","228","22","136","19","155","","0","136","19","155","9","146","1","78","11","0","2","37","2","10","4","1","28.10.12"
"610797","165","Тернопільська область","школа, фойє
вул.Бережанська, 104, с.Литвинів, Підгаєцький р-н, Тернопільська обл., 48030","636","244","633","53","345","47","392","","0","345","47","392","10","382","1","212","15","11","0","70","4","67","1","1","28.10.12"
"610798","165","Тернопільська область","сільський клуб, глядацький зал
вул.Підгаєцька, 54, с.Рудники, Підгаєцький р-н, Тернопільська обл., 48030","180","55","174","21","110","15","125","","0","110","15","125","5","120","1","55","2","1","31","30","0","0","0","0","28.10.12"
"610799","165","Тернопільська область","сільський клуб, глядацький зал
вул.Івана Франка, 51, с.Мирне, Підгаєцький р-н, Тернопільська обл., 48010","468","105","465","22","342","21","363","","0","342","21","363","11","352","2","161","14","24","5","87","5","50","3","1","28.10.12"
"610800","165","Тернопільська область","сільський клуб, глядацький зал
вул.Лесі Українки, 23, с.Мозолівка, Підгаєцький р-н, Тернопільська обл., 48024","138","62","129","8","69","7","76","","0","69","7","76","1","75","0","22","2","1","2","21","2","25","0","0","28.10.12"
"610801","165","Тернопільська область","будинок культури, глядацький зал
вул.Лесі Українки, 1, с.Мужилів, Підгаєцький р-н, Тернопільська обл., 48011","1062","390","1044","39","634","38","672","","0","634","38","672","10","662","8","361","16","109","1","89","6","68","2","2","28.10.12"
"610802","165","Тернопільська область","школа, спортивний зал
вул.Загора, 67, с.Новосілка, Підгаєцький р-н, Тернопільська обл., 48012","762","288","745","40","438","36","474","","0","438","36","474","5","469","3","228","27","8","4","123","1","73","0","2","28.10.12"
"610803","165","Тернопільська область","школа, кабінет музики
вул.Івана Франка, 4А, с.Носів, Підгаєцький р-н, Тернопільська обл., 48033","474","151","467","34","290","33","323","","0","290","33","323","8","315","1","168","17","8","1","92","5","21","1","1","29.10.12"
"610804","165","Тернопільська область","народний дім, глядацький зал, 2-й поверх
вул.Бережанська, 13, м.Підгайці, Підгаєцький р-н, Тернопільська обл., 48000","1200","533","1183","19","648","19","667","","0","648","19","667","18","649","3","359","18","17","11","113","4","116","5","3","28.10.12"
"610805","165","Тернопільська область","школа, актова зала, 2-й поверх
вул.Василя Стуса, 1, м.Підгайці, Підгаєцький р-н, Тернопільська обл., 48000","1158","371","1147","30","765","22","787","","0","765","22","787","14","773","7","445","29","23","7","115","4","140","3","0","29.10.12"
"610806","165","Тернопільська область","будинок культури, глядацький зал
вул.Тараса Шевченка, 57, с.Поплави, Підгаєцький р-н, Тернопільська обл., 48013","432","144","429","23","265","23","288","","0","265","23","288","2","286","0","65","6","10","5","111","1","83","4","1","28.10.12"
"610807","165","Тернопільська область","сільський клуб, глядацький зал
вул.Монастириська, 11, с.Сільце, Підгаєцький р-н, Тернопільська обл., 48021","882","289","870","48","545","48","593","","0","545","48","593","5","588","4","317","24","14","11","83","11","119","2","3","28.10.12"
"610808","165","Тернопільська область","будинок культури, глядацький зал
вул.Староміська, 37, с.Старе Місто, Підгаєцький р-н, Тернопільська обл., 48042","1308","443","1250","54","812","53","865","","0","812","53","865","15","850","1","422","35","33","10","145","11","189","4","0","29.10.12"
"610809","165","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 61, с.Угринів, Підгаєцький р-н, Тернопільська обл., 48020","606","268","602","29","315","23","338","","0","315","23","338","10","328","9","192","12","8","2","64","2","37","2","0","31.10.12"
"610810","165","Тернопільська область","сільський клуб, глядацький зал
вул.Галицька, 101, с.Яблунівка, Підгаєцький р-н, Тернопільська обл., 48020","330","135","319","20","180","15","195","","0","180","15","195","11","184","1","104","4","5","6","29","5","28","2","0","28.10.12"
"610811","165","Тернопільська область","сільський клуб, глядацький зал
вул.Тараса Шевченка, 28, с.Шумляни, Підгаєцький р-н, Тернопільська обл., 48031","738","274","731","84","380","84","464","","0","380","84","464","11","453","2","237","22","7","7","78","5","89","4","2","28.10.12"
"610812","165","Тернопільська область","школа, їдальня
вул.Тараса Шевченка, 23, с.Юстинівка, Підгаєцький р-н, Тернопільська обл., 48012","246","77","239","12","157","12","169","","0","157","12","169","5","164","0","62","12","1","0","33","0","56","0","0","28.10.12"
"610813","165","Тернопільська область","центральна районна комунальна лікарня, актова зала, 2-й поверх
вул.Тараса Шевченка, 19, м.Підгайці, Підгаєцький р-н, Тернопільська обл., 48000","132","77","55","22","33","22","55","","0","33","22","55","2","53","2","17","1","0","0","6","0","27","0","0","28.10.12"
"610893","165","Тернопільська область","сільський клуб, глядацький зал
вул.Лесі Українки, 1А, с.Баворів, Тернопільський р-н, Тернопільська обл., 47743","498","119","500","35","347","32","379","","0","347","32","379","9","370","4","110","19","47","14","29","3","144","0","0","28.10.12"
"610894","165","Тернопільська область","школа, глядацький зал
вул.Шевченка, 8, с.Застав’є, Тернопільський р-н, Тернопільська обл., 47743","324","79","322","24","221","24","245","","0","221","24","245","7","238","1","125","10","17","6","35","1","42","1","0","29.10.12"
"610895","165","Тернопільська область","будинок культури, танцювальний зал
вул.Січових Стрільців, 41, с.Байківці, Тернопільський р-н, Тернопільська обл., 47711","1368","427","1357","78","868","73","941","","0","868","73","941","29","912","16","248","38","130","23","172","16","255","12","2","29.10.12"
"610896","165","Тернопільська область","сільський клуб, глядацький зал
вул.Крушельницької, 49, с.Біла, Тернопільський р-н, Тернопільська обл., 47707","1812","581","1789","47","1186","45","1231","","0","1186","45","1231","36","1195","14","415","33","142","33","267","16","260","14","1","29.10.12"
"610897","165","Тернопільська область","сільська рада, кабінет сільського голови
вул.Мазепи, 27, с.Біла, Тернопільський р-н, Тернопільська обл., 47707","852","220","851","16","618","14","632","","0","618","14","632","27","605","9","190","19","102","35","155","10","72","6","7","29.10.12"
"610898","165","Тернопільська область","будинок культури, глядацький зал
вул.Шевченка, 35, с.Буцнів, Тернопільський р-н, Тернопільська обл., 47730","978","298","973","50","633","47","680","","0","633","47","680","9","671","4","163","11","47","4","111","7","319","2","3","31.10.12"
"610899","165","Тернопільська область","сільський клуб, глядацький зал
вул.Серединецька, 41А, с.Серединки, Тернопільський р-н, Тернопільська обл., 47730","174","42","172","11","121","11","132","","0","121","11","132","2","130","0","23","3","12","2","16","1","73","0","0","28.10.12"
"610900","165","Тернопільська область","будинок культури, глядацький зал
вул.Шевченка, 2, смт Велика Березовиця, Тернопільський р-н, Тернопільська обл., 47725","2292","819","2279","67","1409","64","1473","","0","1409","64","1473","27","1446","8","574","38","96","36","307","20","348","10","9","29.10.12"
"610901","165","Тернопільська область","школа, глядацький зал
вул.Лесі Українки, 4, смт Велика Березовиця, Тернопільський р-н, Тернопільська обл., 47724","2004","717","2003","29","1260","27","1287","","0","1260","27","1287","38","1249","8","466","35","118","34","236","24","311","11","6","29.10.12"
"610902","165","Тернопільська область","селищна рада, глядацький зал
вул.С.Бандери, 26, смт Велика Березовиця, Тернопільський р-н, Тернопільська обл., 47724","1542","550","1541","58","961","31","992","","0","961","31","992","31","961","10","322","39","84","34","249","20","185","9","9","29.10.12"
"610903","165","Тернопільська область","сільський клуб, глядацький зал
вул.Івана Франка, 4, с.Кип’ячка, Тернопільський р-н, Тернопільська обл., 47729","216","55","219","10","153","8","161","","0","153","8","161","2","159","7","39","2","30","2","37","1","40","1","0","28.10.12"
"610904","165","Тернопільська область","школа, спортивний зал
вул.Шкільна, 1, смт Великі Бірки, Тернопільський р-н, Тернопільська обл., 47740","2028","744","1993","49","1239","45","1284","","0","1239","45","1284","28","1256","13","581","49","121","16","233","11","219","8","5","29.10.12"
"610905","165","Тернопільська область","будинок культури, фойє
вул.Шевченка, 2, смт Великі Бірки, Тернопільський р-н, Тернопільська обл., 47740","714","278","696","19","421","15","436","","0","421","15","436","12","424","6","167","12","33","12","71","3","113","5","2","29.10.12"
"610906","165","Тернопільська область","школа, фойє
вул.Галицька, 44А, с.Великі Гаї, Тернопільський р-н, Тернопільська обл., 47722","1716","484","1698","40","1192","40","1232","","0","1178","40","1218","23","1195","13","414","28","95","49","288","20","278","7","3","29.10.12"
"610907","165","Тернопільська область","сільський клуб, глядацький зал
вул.Галицька, 50, с.Великі Гаї, Тернопільський р-н, Тернопільська обл., 47722","1638","509","1620","41","1088","41","1129","","0","1088","41","1129","24","1105","7","329","26","122","63","290","17","238","9","4","29.10.12"
"610908","165","Тернопільська область","будинок культури, фойє
просп.Шевченка, 16, с.Великий Глибочок, Тернопільський р-н, Тернопільська обл., 47703","1854","546","1827","116","1198","110","1308","","0","1198","110","1308","33","1275","8","603","51","132","26","174","16","253","8","4","29.10.12"
"610909","165","Тернопільська область","сільський клуб, глядацький зал
вул.Лесі Українки, 15, с.Велика Лука, Тернопільський р-н, Тернопільська обл., 47732","995","202","1006","53","740","53","793","","0","740","53","793","24","769","0","222","28","43","1","61","12","396","5","1","28.10.12"
"610910","165","Тернопільська область","сільська рада, глядацький зал
вул.Тернопільська, 10, с.Гаї-Шевченківські, Тернопільський р-н, Тернопільська обл., 47705","1200","401","1193","16","784","15","799","","0","784","15","799","56","743","12","260","18","101","58","139","10","133","10","2","29.10.12"
"610911","165","Тернопільська область","сільський клуб, глядацький зал
вул.Шевченка, 12, с.Грабовець, Тернопільський р-н, Тернопільська обл., 47716","648","162","647","40","448","38","486","","0","448","38","486","18","468","10","164","31","73","3","59","9","114","2","3","29.10.12"
"610912","165","Тернопільська область","сільський клуб, глядацький зал
вул.Шевченка, 36А, с.Білоскірка, Тернопільський р-н, Тернопільська обл., 47716","300","57","298","20","223","20","243","","0","223","20","243","6","237","2","132","7","27","4","19","2","42","1","1","29.10.12"
"610913","165","Тернопільська область","школа, фойє
вул.Шевченка, 26, с.Дичків, Тернопільський р-н, Тернопільська обл., 47736","594","159","591","39","398","37","435","","0","398","37","435","17","418","7","129","23","59","6","69","7","112","4","2","28.10.12"
"610914","165","Тернопільська область","сільський клуб, глядацький зал
вул.Б.Хмельницького, 46, с.Красівка, Тернопільський р-н, Тернопільська обл., 47736","330","98","327","18","214","18","232","","0","214","18","232","9","223","3","80","10","38","5","34","2","48","2","1","29.10.12"
"610915","165","Тернопільська область","школа, фойє
вул.Містечко, 46, с.Довжанка, Тернопільський р-н, Тернопільська обл., 47708","792","204","785","74","514","74","588","","0","514","74","588","12","576","10","217","18","24","9","102","17","172","6","1","28.10.12"
"610916","165","Тернопільська область","школа, фойє
вул.І.Франка, 4, с.Домаморич, Тернопільський р-н, Тернопільська обл., 47709","516","126","512","44","348","42","390","","0","348","42","390","6","384","1","110","15","68","8","60","2","114","5","1","28.10.12"
"610917","165","Тернопільська область","сільський клуб, глядацький зал
вул.8 Березня, 2, с.Драганівка, Тернопільський р-н, Тернопільська обл., 47721","720","186","715","59","478","56","534","","0","478","56","534","8","526","5","99","15","62","10","83","3","246","3","0","29.10.12"
"610918","165","Тернопільська область","школа, їдальня
вул.Шевченка, 3, с.Дубівці, Тернопільський р-н, Тернопільська обл., 47717","564","146","491","64","354","64","418","","0","354","64","418","6","412","4","180","14","30","6","11","1","165","1","0","28.10.12"
"610919","165","Тернопільська область","сільський клуб, глядацький зал
вул.Незалежності, 60, с.Івачів Долішній, Тернопільський р-н, Тернопільська обл., 47704","426","89","422","25","312","25","337","","0","312","25","337","7","330","3","90","11","29","9","49","2","131","6","0","28.10.12"
"610920","165","Тернопільська область","сільський клуб, глядацький зал
вул.Миру, 3А, с.Івачів Горішній, Тернопільський р-н, Тернопільська обл., 47717","216","46","210","12","158","12","170","","0","158","12","170","3","167","1","47","0","15","4","13","2","84","1","0","31.10.12"
"610921","165","Тернопільська область","сільська рада, кабінет секретаря
вул.Гагаріна, 57, с.Ігровиця, Тернопільський р-н, Тернопільська обл., 47701","828","248","810","87","494","86","580","","0","494","86","580","24","556","4","239","17","64","4","67","10","144","4","3","29.10.12"
"610922","165","Тернопільська область","сільська рада, глядацький зал
вул.Дружби, 4, с.Йосипівка, Тернопільський р-н, Тернопільська обл., 47735","366","100","363","34","237","29","266","","0","237","29","266","7","259","1","67","8","21","1","33","1","125","2","0","29.10.12"
"610923","165","Тернопільська область","будинок культури, глядацький зал
вул.Шевченка, 82, с.Козівка, Тернопільський р-н, Тернопільська обл., 47745","630","189","625","49","397","44","441","","0","397","44","441","16","425","1","118","13","169","5","49","0","65","5","0","29.10.12"
"610924","165","Тернопільська область","будинок культури, фойє
вул.Грушевського, 63, с.Лозова, Тернопільський р-н, Тернопільська обл., 47710","522","97","523","26","400","25","425","","0","400","25","425","9","416","3","139","15","26","5","21","2","204","1","0","28.10.12"
"610925","165","Тернопільська область","сільський клуб, глядацький зал
вул.Шевченка, 57, с.Курники, Тернопільський р-н, Тернопільська обл., 47717","306","64","298","8","234","8","242","","0","234","8","242","3","239","2","48","3","11","3","21","2","148","0","1","28.10.12"
"610926","165","Тернопільська область","сільський клуб, глядацький зал
вул.Січових Стрільців, 2, с.Малий Ходачків, Тернопільський р-н, Тернопільська обл., 47741","1038","243","1024","64","731","64","795","","0","731","64","795","23","772","5","192","24","111","10","125","10","283","6","6","29.10.12"
"610927","165","Тернопільська область","сільський клуб, глядацький зал
вул.Т.Шевченка, 4А, с.Костянтинівка, Тернопільський р-н, Тернопільська обл., 47741","126","31","120","7","89","6","95","","0","89","6","95","0","95","2","49","3","11","2","15","1","12","0","0","28.10.12"
"610928","165","Тернопільська область","школа, кабінет трудового навчання
вул.Івана Франка, 43, с.Мар’янівка, Тернопільський р-н, Тернопільська обл., 47735","390","125","385","35","230","35","265","","0","230","35","265","4","261","0","52","5","5","2","36","3","158","0","0","28.10.12"
"610929","165","Тернопільська область","школа-садок, спортивний зал
вул.І.Франка, 8, с.Миролюбівка, Тернопільський р-н, Тернопільська обл., 47716","438","115","427","33","291","32","323","","0","291","32","323","3","320","1","75","10","23","2","34","2","171","1","1","28.10.12"
"610930","165","Тернопільська область","сільський клуб, глядацький зал
вул.Л.Українки, 21, с.Лучка, Тернопільський р-н, Тернопільська обл., 47716","618","124","610","45","451","43","494","","0","451","43","494","10","484","5","132","10","18","0","61","5","251","1","1","28.10.12"
"610931","165","Тернопільська область","будинок культури, фойє
вул.Січових Стрільців, 25, с.Мишковичі, Тернопільський р-н, Тернопільська обл., 47732","1686","463","1670","55","1168","55","1223","","0","1168","55","1223","20","1203","7","426","29","70","9","128","3","527","3","1","28.10.12"
"610932","165","Тернопільська область","школа, глядацький зал
вул.Шкільна, 301, с.Настасів, Тернопільський р-н, Тернопільська обл., 47734","1416","423","1405","85","910","83","993","","0","910","83","993","16","977","0","137","20","25","10","120","10","651","2","2","29.10.12"
"610933","165","Тернопільська область","сільський клуб, глядацький зал
вул.М.Кордуби, 98, с.Острів, Тернопільський р-н, Тернопільська обл., 47728","1458","480","1437","48","933","45","978","","0","933","45","978","21","957","7","328","24","86","20","183","44","261","3","1","29.10.12"
"610934","165","Тернопільська область","сільський клуб, глядацький зал
вул.Шептицького, 118А, с.Петриків, Тернопільський р-н, Тернопільська обл., 47720","2172","746","2145","45","1386","40","1426","","0","1386","40","1426","46","1380","16","527","28","100","49","367","21","254","9","9","29.10.12"
"610935","165","Тернопільська область","сільський клуб, танцювальний зал
вул.Шептицького, 118Б, с.Петриків, Тернопільський р-н, Тернопільська обл., 47720","762","253","760","25","485","24","509","","0","485","24","509","17","492","5","148","5","36","18","108","20","143","6","3","31.10.12"
"610936","165","Тернопільська область","обласний геріатричний будинок, фойє
вул.Зелена, 15, с.Петриків, Тернопільський р-н, Тернопільська обл., 47720","126","4","127","67","56","66","122","","0","56","66","122","3","119","0","5","3","0","1","2","0","106","1","1","30.10.12"
"610937","165","Тернопільська область","сільський клуб, глядацький зал
вул.Бережанська, 1, с.Підгородне, Тернопільський р-н, Тернопільська обл., 47726","1458","419","1450","42","1002","37","1039","","0","1002","37","1039","25","1014","14","344","35","94","48","211","24","220","21","3","28.10.12"
"610938","165","Тернопільська область","будинок культури, глядацький зал
вул.Садова, 8А, с.Плотича, Тернопільський р-н, Тернопільська обл., 47704","1074","304","1048","52","719","51","770","","0","719","51","770","32","738","11","400","19","84","17","98","14","80","13","2","29.10.12"
