"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бочаров
Михайло
Григорович","Будкевич
Андрій
Андрійович","Головко
Михайло
Йосифович","Гульовський
Володимир
Орестович","Клименко
Володимир
Олександрович","Ковальчук
Іван
Григорович","Липка
Василь
Іванович","Ломакович
Віталій
Афанасійович","Муц
Орест
Павлович","Негода
Любомир
Миколайович","Пліш
Іван
Едуардович","Самойлович
Костянтин
Альбінович","Тарасенко
Андрій
Іванович","Дата підписання протоколу"
"610653","164","Тернопільська область","школа, актова зала
вул.Шкільна, 7А, с.Осники, Лановецький р-н, Тернопільська обл., 47451","156","44","155","6","106","6","112","","0","106","6","112","1","111","0","2","44","0","36","0","0","6","20","0","1","2","0","29.10.12"
"610654","164","Тернопільська область","школа, актова зала
вул.Дружба, 3, с.Москалівка, Лановецький р-н, Тернопільська обл., 47454","402","96","398","34","274","32","306","","0","274","32","306","6","300","4","2","113","4","59","6","4","41","60","2","2","1","2","28.10.12"
"610655","164","Тернопільська область","школа, актова зала
вул.Кленова, 39, с.Плиска, Лановецький р-н, Тернопільська обл., 47454","198","38","196","26","135","25","160","","0","135","25","160","6","154","1","1","43","2","23","8","0","9","64","2","0","1","0","28.10.12"
"610656","164","Тернопільська область","дитячий садок, кабінет №1
вул.Шевченка, 1, с.Передмірка, Лановецький р-н, Тернопільська обл., 47416","528","142","519","42","344","42","386","","0","344","42","386","14","372","3","2","218","5","40","9","2","33","60","0","0","0","0","29.10.12"
"610657","164","Тернопільська область","школа, актова зала
вул.Шкільна, 6, с.Печірна, Лановецький р-н, Тернопільська обл., 47444","270","57","269","35","182","31","213","","0","182","31","213","5","208","0","0","98","0","29","1","0","12","68","0","0","0","0","29.10.12"
"610658","164","Тернопільська область","фельдшерсько-акушерський пункт, кабінет №1
вул.Центральна, 42, с.Кутиска, Лановецький р-н, Тернопільська обл., 47444","114","24","113","10","84","6","90","","0","84","6","90","4","86","0","0","35","7","20","0","0","4","20","0","0","0","0","28.10.12"
"610659","164","Тернопільська область","школа, актова зала
вул.Центральна, 15, с.Снігурівка, Лановецький р-н, Тернопільська обл., 47411","612","146","605","52","414","52","466","","0","414","52","466","7","459","5","3","279","4","73","9","0","38","44","1","2","0","1","29.10.12"
"610660","164","Тернопільська область","фельдшерсько-акушерський пункт, кабінет №1
пров.Манівський, 2, с.Маневе, Лановецький р-н, Тернопільська обл., 47411","294","77","289","15","203","14","217","","0","203","14","217","7","210","0","0","103","0","64","1","2","21","17","1","0","0","1","29.10.12"
"610661","164","Тернопільська область","сільська рада, зал засідань
вул.Підлісна, 28, с.Чайчинці, Лановецький р-н, Тернопільська обл., 47414","402","103","397","54","247","52","299","","0","247","52","299","5","294","0","2","142","4","56","7","5","41","35","1","0","1","0","29.10.12"
"610662","164","Тернопільська область","школа, актова зала
вул.Шкільна, 5, с.Юськівці, Лановецький р-н, Тернопільська обл., 47422","744","267","734","26","451","26","477","","0","451","26","477","9","468","6","1","203","15","96","19","4","53","64","2","0","2","3","29.10.12"
"610663","164","Тернопільська область","дитячий садок, кабінет №1
вул.Центральна, 5, с.Якимівці, Лановецький р-н, Тернопільська обл., 47420","342","105","341","26","213","24","237","","0","213","24","237","8","229","4","1","95","3","36","16","1","26","45","0","1","0","1","29.10.12"
"610664","164","Тернопільська область","школа, актова зала
вул.Шкільна, 21, с.Татаринці, Лановецький р-н, Тернопільська обл., 47420","354","100","348","26","230","24","254","","0","230","24","254","11","243","0","2","59","2","29","9","1","34","104","1","2","0","0","29.10.12"
"610717","164","Тернопільська область","будинок культури, глядацький зал
вул.Шевченка, 66А, с.Богданівка, Підволочиський р-н, Тернопільська обл., 47832","798","278","789","96","430","90","520","","0","430","90","520","10","510","4","1","326","9","35","7","5","48","47","20","3","2","3","29.10.12"
"610718","164","Тернопільська область","школа, актова зала
вул.Великий вигін, 9, с.Воробіївка, Підволочиський р-н, Тернопільська обл., 47824","198","50","197","25","124","24","148","","0","124","24","148","3","145","0","1","80","0","32","0","0","15","17","0","0","0","0","28.10.12"
"610719","164","Тернопільська область","школа, фойє
вул.Шкільна, 10, с.Медин, Підволочиський р-н, Тернопільська обл., 47873","390","100","390","31","261","29","290","","0","261","29","290","6","284","4","1","153","7","27","2","2","22","64","0","0","1","1","28.10.12"
"610720","164","Тернопільська область","сільський клуб, глядацький зал
вул.Вишнева, 4, с.Пеньківці, Підволочиський р-н, Тернопільська обл., 47814","90","19","86","11","60","11","71","","0","60","11","71","2","69","0","0","10","1","18","0","1","4","35","0","0","0","0","28.10.12"
"610721","164","Тернопільська область","сільський клуб, глядацький зал
вул.Центр, 1, с.Просівці, Підволочиський р-н, Тернопільська обл., 47814","60","10","59","7","43","7","50","","0","43","7","50","1","49","0","0","27","0","8","0","0","0","14","0","0","0","0","29.10.12"
"610722","164","Тернопільська область","сільська рада, кабінет спеціалістів
вул.Відродження, 31, с.Галущинці, Підволочиський р-н, Тернопільська обл., 47841","492","125","482","46","321","46","367","","0","321","46","367","4","363","2","0","117","8","142","2","3","46","38","0","4","0","1","29.10.12"
"610723","164","Тернопільська область","будинок культури, глядацький зал
вул.Гайова, 31, с.Гнилиці, Підволочиський р-н, Тернопільська обл., 47820","492","157","485","68","271","64","335","","0","271","64","335","5","330","7","0","124","5","127","0","2","21","44","0","0","0","0","29.10.12"
"610724","164","Тернопільська область","школа, спортивний зал
вул.Сонячна, 7, с.Городниця, Підволочиський р-н, Тернопільська обл., 47854","786","146","782","53","588","52","640","","0","588","52","640","7","633","2","2","431","7","81","5","1","55","41","3","4","1","0","28.10.12"
"610725","164","Тернопільська область","сільський клуб, глядацький зал
вул.Шкільна, 19, с.Дорофіївка, Підволочиський р-н, Тернопільська обл., 47833","336","91","334","17","230","15","245","","0","230","15","245","2","243","2","0","90","3","46","2","2","28","64","4","1","0","1","29.10.12"
"610726","164","Тернопільська область","школа, спортивний зал
вул.Шевченка, 73А, с.Жеребки, Підволочиський р-н, Тернопільська обл., 47843","516","156","507","47","316","44","360","","0","316","44","360","6","354","0","2","174","3","52","5","2","78","32","1","2","2","1","29.10.12"
"610727","164","Тернопільська область","школа, фойє
вул.Незалежності, 131, с.Зарубинці, Підволочиський р-н, Тернопільська обл., 47871","372","73","368","55","247","52","299","","0","247","52","299","3","296","1","1","153","1","59","0","1","52","17","1","10","0","0","29.10.12"
"610728","164","Тернопільська область","школа, актова зала
вул.Шкільна, 8, с.Іванівка, Підволочиський р-н, Тернопільська обл., 47855","816","248","802","77","495","73","568","","0","495","73","568","5","563","0","2","357","4","69","1","0","36","92","0","2","0","0","29.10.12"
"610729","164","Тернопільська область","школа, фойє
вул.Тернопільська, 32А, с.Кам’янки, Підволочиський р-н, Тернопільська обл., 47840","1116","336","1097","77","708","72","780","","0","708","72","780","25","755","3","1","407","7","73","7","1","99","60","93","3","1","0","29.10.12"
"610730","164","Тернопільська область","школа, спортивний зал
вул.Шкільна, 1, с.Мовчанівка, Підволочиський р-н, Тернопільська обл., 47840","294","87","294","26","186","21","207","","0","186","21","207","2","205","1","2","117","7","18","1","1","18","13","21","5","0","1","29.10.12"
"610731","164","Тернопільська область","школа, спортивний зал
вул.Шкільна, 16, с.Качанівка, Підволочиський р-н, Тернопільська обл., 47852","918","288","909","50","588","42","630","","0","588","42","630","23","607","0","1","365","5","109","2","1","27","94","1","0","0","2","29.10.12"
"610732","164","Тернопільська область","школа, фойє
вул.Івана Франка, 87, с.Клебанівка, Підволочиський р-н, Тернопільська обл., 47830","366","87","362","44","238","41","279","","0","238","41","279","5","274","3","2","125","5","22","1","0","92","15","7","0","0","2","28.10.12"
"610733","164","Тернопільська область","сільський клуб, глядацький зал
вул.Зелена, 32, с.Шевченкове, Підволочиський р-н, Тернопільська обл., 47830","120","32","120","13","77","11","88","","0","77","11","88","1","87","0","2","56","0","8","0","3","3","15","0","0","0","0","28.10.12"
"610734","164","Тернопільська область","школа, актова зала
вул.Задвір Верхня, 2, с.Колодіївка, Підволочиський р-н, Тернопільська обл., 47844","816","261","814","51","506","49","555","","0","506","49","555","13","542","6","6","272","15","128","5","1","39","46","13","5","1","5","29.10.12"
"610735","164","Тернопільська область","сільський клуб, глядацький зал
вул.Зарічна, 18А, с.Панасівка, Підволочиський р-н, Тернопільська обл., 47844","312","91","306","20","202","19","221","","0","202","19","221","8","213","1","1","103","3","30","1","5","12","52","1","3","1","0","29.10.12"
"610736","164","Тернопільська область","школа, фойє
вул.Шевченка, 30, с.Кошляки, Підволочиський р-н, Тернопільська обл., 47822","630","163","626","67","404","63","467","","0","404","63","467","9","458","8","4","234","32","55","2","3","68","47","1","3","1","0","28.10.12"
"610737","164","Тернопільська область","сільський клуб, глядацький зал
вул.Шевченка, 30, с.Голотки, Підволочиський р-н, Тернопільська обл., 47822","264","62","260","17","185","17","202","","0","185","17","202","7","195","0","1","110","0","25","2","0","22","32","0","2","0","1","28.10.12"
"610738","164","Тернопільська область","сільський клуб, глядацький зал
вул.Т.Г.Шевченка, 59, с.Криве, Підволочиський р-н, Тернопільська обл., 47872","582","197","575","15","372","13","385","","0","372","13","385","22","363","3","6","181","7","86","6","1","50","11","9","3","0","0","28.10.12"
"610739","164","Тернопільська область","сільський клуб, глядацький зал
вул.Шевченка, 13, с.Лисичинці, Підволочиський р-н, Тернопільська обл., 47810","324","84","319","38","202","38","240","","0","202","38","240","2","238","2","3","101","30","33","3","1","19","46","0","0","0","0","28.10.12"
"610740","164","Тернопільська область","сільський клуб, глядацький зал
вул.Шевченка, 15, с.Шельпаки, Підволочиський р-н, Тернопільська обл., 47810","348","92","349","26","231","25","256","","0","231","25","256","4","252","3","2","102","62","25","3","0","34","19","0","0","2","0","28.10.12"
"610741","164","Тернопільська область","школа, фойє
вул.Сонячна, 1, с.Магдалівка, Підволочиський р-н, Тернопільська обл., 47850","498","133","492","38","329","36","365","","0","329","36","365","10","355","1","0","230","7","80","1","0","22","13","0","0","0","1","29.10.12"
"610742","164","Тернопільська область","сільська рада, фойє
вул.Л.Українки, 8, с.Теклівка, Підволочиський р-н, Тернопільська обл., 47850","312","70","305","25","217","25","242","","0","217","25","242","11","231","0","0","133","6","45","0","1","25","17","3","1","0","0","29.10.12"
"610743","164","Тернопільська область","сільська рада, зал засідань
вул.Бойчука, 42, с.Мислова, Підволочиський р-н, Тернопільська обл., 47804","342","106","339","19","217","19","236","","0","217","19","236","4","232","2","0","144","2","12","1","0","22","39","3","6","1","0","29.10.12"
"610744","164","Тернопільська область","сільський клуб, глядацький зал
вул.Л.Українки, 31А, с.Новосілка, Підволочиський р-н, Тернопільська обл., 47874","1152","286","1147","69","799","67","866","","0","799","67","866","36","830","9","0","522","11","117","5","10","126","10","10","6","2","2","29.10.12"
"610745","164","Тернопільська область","будинок культури, глядацький зал
вул.І.Франка, 41, с.Нове Село, Підволочиський р-н, Тернопільська обл., 47811","348","100","342","12","236","12","248","","0","236","12","248","6","242","24","4","125","24","27","5","0","22","10","0","0","1","0","28.10.12"
"610746","164","Тернопільська область","сільський клуб, глядацький зал
вул.Шевченка, 55, с.Сухівці, Підволочиський р-н, Тернопільська обл., 47876","414","123","412","32","259","32","291","","0","259","32","291","7","284","4","1","170","27","35","0","3","21","19","2","0","0","2","28.10.12"
"610747","164","Тернопільська область","сільський клуб, глядацький зал
вул.Шевченка, 17, с.Гнилички, Підволочиський р-н, Тернопільська обл., 47811","300","67","294","22","213","20","233","","0","213","20","233","5","228","0","1","158","9","19","2","1","19","15","0","2","0","2","29.10.12"
"610748","164","Тернопільська область","сільський клуб, глядацький зал
вул.Садова, 17, с.Козярі, Підволочиський р-н, Тернопільська обл., 47811","264","79","262","33","152","33","185","","0","152","33","185","2","183","6","2","107","14","19","2","5","11","17","0","0","0","0","29.10.12"
"610749","164","Тернопільська область","будинок культури, глядацький зал
вул.Майдан Центральний, 2, с.Оріховець, Підволочиський р-н, Тернопільська обл., 47853","594","168","583","37","392","34","426","","0","392","34","426","9","417","1","1","291","6","39","1","2","48","25","0","1","1","1","29.10.12"
"610750","164","Тернопільська область","школа, їдальня
вул.Кривляни, 182, с.Остап’є, Підволочиський р-н, Тернопільська обл., 47861","1290","353","1287","125","816","121","937","","0","816","121","937","0","937","2","0","620","14","90","8","1","95","85","2","17","1","2","29.10.12"
"610751","164","Тернопільська область","школа, фойє
вул.Шевченка, 9, с.Пальчинці, Підволочиський р-н, Тернопільська обл., 47821","396","109","390","32","260","27","287","","0","260","27","287","5","282","0","1","135","5","67","3","1","20","48","1","0","0","1","29.10.12"
"610752","164","Тернопільська область","сільський клуб, глядацький зал
вул.Козацька, 2, с.Щаснівка, Підволочиський р-н, Тернопільська обл., 47821","72","18","71","7","48","6","54","","0","48","6","54","0","54","0","0","33","0","10","0","1","5","5","0","0","0","0","29.10.12"
"610753","164","Тернопільська область","будинок культури, фойє
вул.Д.Галицького, 35, смт Підволочиськ, Підволочиський р-н, Тернопільська обл., 47800","1300","464","1278","36","808","28","836","","0","808","28","836","18","818","3","5","500","6","76","24","7","91","80","13","9","3","1","29.10.12"
"610754","164","Тернопільська область","музична школа, фойє
вул.Шевченка, 18, смт Підволочиськ, Підволочиський р-н, Тернопільська обл., 47800","996","376","982","21","602","18","620","","0","602","18","620","11","609","1","2","394","8","54","18","4","58","46","5","17","1","1","29.10.12"
"610755","164","Тернопільська область","гімназія імені І.Франка, фойє
вул.П.Мстислава, 54, смт Підволочиськ, Підволочиський р-н, Тернопільська обл., 47800","1986","729","1953","15","1242","15","1257","","0","1242","15","1257","28","1229","5","4","743","14","153","8","4","191","63","8","31","2","3","29.10.12"
"610756","164","Тернопільська область","школа, кабінет математики
вул.Надзбручанська, 48, смт Підволочиськ, Підволочиський р-н, Тернопільська обл., 47800","816","276","820","10","531","9","540","","0","531","9","540","6","534","3","1","360","6","26","1","4","64","50","3","15","1","0","29.10.12"
"610757","164","Тернопільська область","територіальний центр, актова зала
вул.Лисенка, 2, смт Підволочиськ, Підволочиський р-н, Тернопільська обл., 47800","1656","617","1638","24","1016","23","1039","","0","1016","23","1039","30","1009","5","3","583","22","138","21","7","137","74","4","13","1","1","29.10.12"
"610758","164","Тернопільська область","школа, фойє
вул.Шкільна, 2, с.Поділля, Підволочиський р-н, Тернопільська обл., 47860","366","85","361","38","249","32","281","","0","249","32","281","5","276","0","2","136","1","66","1","6","26","32","1","2","1","2","29.10.12"
"610759","164","Тернопільська область","сільський клуб, глядацький зал
вул.Миру, 6, с.Хоптянка, Підволочиський р-н, Тернопільська обл., 47860","126","35","124","18","76","15","91","","0","76","15","91","2","89","0","1","28","1","11","0","0","31","15","1","0","0","1","29.10.12"
"610760","164","Тернопільська область","сільська рада, зал засідань
вул.Центральна, 43, с.Рожиськ, Підволочиський р-н, Тернопільська обл., 47853","246","79","246","30","140","27","167","","0","140","27","167","2","165","1","0","87","3","37","0","2","10","25","0","0","0","0","28.10.12"
"610761","164","Тернопільська область","міська рада, зал засідань
вул.Грушевського, 2, м.Скалат, Підволочиський р-н, Тернопільська обл., 47851","1188","451","1178","40","698","39","737","","0","698","39","737","19","718","5","6","429","11","102","5","4","109","39","3","3","0","2","29.10.12"
"610762","164","Тернопільська область","ПТУ №23, актова зала, 1-й поверх
вул.Курбаса, 30, м.Скалат, Підволочиський р-н, Тернопільська обл., 47851","1002","354","992","39","609","39","648","","0","609","39","648","16","632","2","3","361","9","100","13","6","96","27","5","5","2","3","29.10.12"
"610763","164","Тернопільська область","ТК ""Фортуна"", актова зала
вул.Тернопільська, 60, м.Скалат, Підволочиський р-н, Тернопільська обл., 47851","936","310","932","39","588","38","626","","0","588","38","626","13","613","3","1","368","19","96","6","2","62","42","5","4","3","2","29.10.12"
"610764","164","Тернопільська область","сільський клуб, глядацький зал
вул.Зелена, 1А, с.Поплави, Підволочиський р-н, Тернопільська обл., 47851","72","16","70","7","49","7","56","","0","49","7","56","1","55","0","2","30","0","15","1","0","4","3","0","0","0","0","28.10.12"
"610765","164","Тернопільська область","будинок культури, глядацький зал
вул.Б.Хмельницького, 5А, с.Скорики, Підволочиський р-н, Тернопільська обл., 47814","486","124","485","40","323","39","362","","0","323","39","362","5","357","0","1","213","12","51","8","5","48","14","3","2","0","0","28.10.12"
"610766","164","Тернопільська область","сільський клуб, глядацький зал
вул.Віри Савич, 19А, с.Климківці, Підволочиський р-н, Тернопільська обл., 47814","204","48","199","23","135","21","156","","0","135","21","156","4","152","1","0","109","0","11","1","3","18","7","1","1","0","0","29.10.12"
"610767","164","Тернопільська область","будинок культури, концертний зал
вул.Майдан Волі, 3, с.Староміщина, Підволочиський р-н, Тернопільська обл., 47834","618","162","608","39","417","39","456","","0","417","39","456","14","442","1","3","286","4","2","34","2","43","53","1","12","0","1","29.10.12"
"610768","164","Тернопільська область","будинок культури, глядацький зал
вул.Шевченка, 13Б, с.Старий Скалат, Підволочиський р-н, Тернопільська обл., 47845","996","287","986","30","679","30","709","","0","679","30","709","21","688","5","5","325","11","138","5","4","117","52","9","9","3","5","29.10.12"
"610769","164","Тернопільська область","сільський клуб, глядацький зал
вул.Л.Українки, 22, с.Полупанівка, Підволочиський р-н, Тернопільська обл., 47845","594","242","589","7","346","6","352","","0","346","6","352","10","342","4","3","181","3","65","4","3","49","21","6","2","0","1","28.10.12"
"610770","164","Тернопільська область","будинок культури, глядацький зал
вул.Центральна, 44, с.Супранівка, Підволочиський р-н, Тернопільська обл., 47831","288","49","288","23","217","22","239","","0","217","22","239","3","236","0","1","113","9","25","5","3","16","52","0","12","0","0","29.10.12"
"610771","164","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 62, с.Коршилівка, Підволочиський р-н, Тернопільська обл., 47831","114","28","112","17","72","14","86","","0","72","14","86","2","84","0","0","47","1","11","1","0","4","14","1","5","0","0","29.10.12"
"610772","164","Тернопільська область","школа, фойє
вул.Центральна, 72, с.Росохуватець, Підволочиський р-н, Тернопільська обл., 47831","228","56","222","15","157","15","172","","0","157","15","172","3","169","1","1","90","2","27","2","1","19","16","5","4","1","0","29.10.12"
"610773","164","Тернопільська область","будинок культури, глядацький зал
вул.Центральна, 31, с.Терпилівка, Підволочиський р-н, Тернопільська обл., 47813","240","46","238","24","171","23","194","","0","171","23","194","1","193","4","0","110","1","30","0","1","18","27","0","1","0","1","28.10.12"
"610774","164","Тернопільська область","сільський клуб, глядацький зал
вул.Центральна, 42, с.Лозівка, Підволочиський р-н, Тернопільська обл., 47812","252","73","250","20","162","17","179","","0","162","17","179","2","177","1","0","106","6","33","1","1","12","15","1","0","1","0","28.10.12"
"610775","164","Тернопільська область","сільський клуб, глядацький зал
вул.Церковна, 2, с.Гущанки, Підволочиський р-н, Тернопільська обл., 47812","108","31","104","10","69","8","77","","0","69","8","77","1","76","0","0","45","1","9","0","0","3","18","0","0","0","0","29.10.12"
"610776","164","Тернопільська область","будинок культури, глядацький зал
вул.Шевченка, 49, с.Токи, Підволочиський р-н, Тернопільська обл., 47823","852","226","858","97","547","79","626","","0","547","79","626","8","618","1","2","306","10","104","2","0","85","108","0","0","0","0","29.10.12"
"610777","164","Тернопільська область","будинок культури, глядацький зал
вул.І.Франка, 3, с.Турівка, Підволочиський р-н, Тернопільська обл., 47862","486","119","483","56","314","53","367","","0","314","53","367","4","363","0","0","209","3","23","0","3","16","104","1","2","2","0","29.10.12"
"610778","164","Тернопільська область","сільський клуб, глядацький зал
вул.Д.Галицького, 19, с.Фащівка, Підволочиський р-н, Тернопільська обл., 47862","138","47","132","17","77","14","91","","0","77","14","91","2","89","0","0","58","2","9","0","0","6","13","1","0","0","0","29.10.12"
"610779","164","Тернопільська область","сільський клуб, глядацький зал
пров.Шевченка, 24, с.Хмелиська, Підволочиський р-н, Тернопільська обл., 47842","516","132","517","32","355","29","384","","0","355","29","384","8","376","2","1","240","2","36","2","4","45","18","18","4","3","1","29.10.12"
"610780","164","Тернопільська область","сільський клуб, концертний зал
вул.Центральна, 2, с.Чернилівка, Підволочиський р-н, Тернопільська обл., 47877","378","88","370","35","257","33","290","","0","257","33","290","6","284","3","2","168","5","69","1","1","14","18","1","2","0","0","29.10.12"
"611034","164","Тернопільська область","сільська рада, каб.2
вул.Радянська, 50, с.Андрушівка, Шумський р-н, Тернопільська обл., 47111","246","63","242","15","169","14","183","","0","169","14","183","3","180","0","1","72","1","38","3","0","22","38","1","2","2","0","28.10.12"
"611035","164","Тернопільська область","школа, фойє
вул.Піонерська, 37, с.Кутянка, Шумський р-н, Тернопільська обл., 47111","336","97","337","17","225","14","239","","0","225","14","239","6","233","0","0","74","0","89","2","2","25","38","0","2","1","0","28.10.12"
"611036","164","Тернопільська область","будинок церковної громади, каб.2
вул.Лазня, 5, с.Переморівка, Шумський р-н, Тернопільська обл., 47111","120","33","118","17","73","14","87","","0","73","14","87","3","84","1","0","25","1","16","3","2","3","31","0","1","0","1","29.10.12"
"611037","164","Тернопільська область","сільська рада, приймальна
вул.Садова, 12, с.Биківці, Шумський р-н, Тернопільська обл., 47141","534","129","520","32","375","30","405","","0","375","30","405","7","398","1","2","163","7","63","9","1","33","112","1","1","3","2","28.10.12"
"611038","164","Тернопільська область","будинок культури, глядацький зал
вул.Кооперативна, 9, с.Боложівка, Шумський р-н, Тернопільська обл., 47115","624","219","615","34","371","34","405","","0","371","34","405","6","399","4","3","98","1","190","2","0","31","66","1","0","3","0","29.10.12"
"611039","164","Тернопільська область","сільська рада, зал засідань
вул.Українська, 48, с.Бриків, Шумський р-н, Тернопільська обл., 47140","816","223","811","53","547","46","593","","0","547","46","593","15","578","8","3","173","3","119","2","4","61","199","0","0","6","0","29.10.12"
"611040","164","Тернопільська область","сільський клуб, глядацький зал
вул.Шевченка, 107, с.Васьківці, Шумський р-н, Тернопільська обл., 47113","642","197","631","29","418","27","445","","0","418","27","445","9","436","2","1","172","4","103","4","5","56","82","1","1","5","0","29.10.12"
"611041","164","Тернопільська область","зал другого поверху торгового комплексу
вул.Миру, 4, с.Кути, Шумський р-н, Тернопільська обл., 47172","414","114","411","18","282","18","300","","0","282","18","300","3","297","2","0","100","2","33","2","0","15","140","0","1","1","1","30.10.12"
"611042","164","Тернопільська область","сільський клуб, глядацький зал
вул.Радянська, 58Б, с.Малі Садки, Шумський р-н, Тернопільська обл., 47114","288","81","286","8","199","8","207","","0","199","8","207","1","206","2","1","64","0","37","2","3","20","76","0","0","1","0","29.10.12"
"611043","164","Тернопільська область","будинок культури, глядацький зал
вул.Садова, 7, с.Великі Дедеркали, Шумський р-н, Тернопільська обл., 47144","900","287","897","51","565","48","613","","0","565","48","613","10","603","4","1","220","5","145","11","4","38","166","2","1","5","1","29.10.12"
"611044","164","Тернопільська область","сільський клуб, глядацький зал
вул.Дружба, 1А, с.Малі Дедеркали, Шумський р-н, Тернопільська обл., 47173","480","153","477","21","306","21","327","","0","306","21","327","3","324","2","0","128","1","57","1","7","19","106","2","0","1","0","28.10.12"
"611045","164","Тернопільська область","сільський клуб, фойє
вул.Дружби, 52, с.Вовківці, Шумський р-н, Тернопільська обл., 47171","336","106","326","21","209","21","230","","0","209","21","230","3","227","2","1","86","1","69","2","1","22","38","1","2","1","1","28.10.12"
"611046","164","Тернопільська область","будинок культури, глядацький зал
вул.Приклубна, 1, с.Великі Загайці, Шумський р-н, Тернопільська обл., 47153","882","253","872","75","559","70","629","","0","559","70","629","11","618","2","1","185","3","259","7","3","54","98","1","2","1","2","29.10.12"
"611047","164","Тернопільська область","фельдшерсько-акушерський пункт, оглядова
вул.Дедеркальська, 1, с.Малі Загайці, Шумський р-н, Тернопільська обл., 47153","228","72","225","23","134","22","156","","0","134","22","156","4","152","2","1","13","0","48","1","0","4","81","0","1","1","0","28.10.12"
"611048","164","Тернопільська область","школа, спортивний зал
вул.Шкільна, 17, с.Вілія, Шумський р-н, Тернопільська обл., 47150","378","107","372","26","248","23","271","","0","248","23","271","4","267","4","0","87","1","73","2","4","27","62","1","1","5","0","28.10.12"
"611049","164","Тернопільська область","фельдшерсько-акушерський пункт, маніпуляційна
вул.Набережна, 42, с.Новосілка, Шумський р-н, Тернопільська обл., 47150","54","3","62","4","47","4","51","","0","47","4","51","1","50","0","0","5","2","19","1","1","10","12","0","0","0","0","28.10.12"
"611050","164","Тернопільська область","школа, каб.2
вул.Шкільна, 5, с.Тетильківці, Шумський р-н, Тернопільська обл., 47175","420","126","412","29","266","28","294","","0","266","28","294","5","289","5","1","82","3","80","7","3","33","72","0","1","2","0","28.10.12"
"611051","164","Тернопільська область","сільська рада, зал засідань
вул.Садова, 2, с.Жолобки, Шумський р-н, Тернопільська обл., 47125","294","88","289","15","193","13","206","","0","193","13","206","9","197","1","0","82","2","58","1","1","14","35","0","1","2","0","28.10.12"
"611052","164","Тернопільська область","фельдшерсько-акушерський пункт, приймальна
вул.З.Космодем’янської, 24, с.Забара, Шумський р-н, Тернопільська обл., 47122","78","19","78","7","53","6","59","","0","53","6","59","2","57","0","0","20","0","26","3","0","4","4","0","0","0","0","28.10.12"
"611053","164","Тернопільська область","школа, спортивний зал
вул.Каштанова, 11, с.Залісці, Шумський р-н, Тернопільська обл., 47122","546","198","540","44","304","44","348","","0","304","44","348","8","340","1","0","143","1","81","3","0","35","64","0","0","11","1","29.10.12"
"611054","164","Тернопільська область","сільський клуб, танцювальний зал
вул.Миру, 4, с.Велика Іловиця, Шумський р-н, Тернопільська обл., 47110","240","37","240","13","191","12","203","","0","191","12","203","9","194","1","1","42","3","61","3","1","27","53","0","0","1","1","29.10.12"
"611055","164","Тернопільська область","фельдшерсько-акушерський пункт, приймальна
вул.Ясенова, 8, с.Мала Іловиця, Шумський р-н, Тернопільська обл., 47110","162","41","160","10","113","8","121","","0","113","8","121","3","118","0","3","29","0","38","2","0","5","38","1","0","1","1","29.10.12"
"611056","164","Тернопільська область","школа, фойє
вул.Українська, 29, с.Кордишів, Шумський р-н, Тернопільська обл., 47131","618","196","610","45","377","45","422","","0","377","45","422","12","410","4","0","144","3","95","2","4","42","94","0","1","21","0","28.10.12"
"611057","164","Тернопільська область","сільський клуб, глядацький зал
вул.Будівельників, 1, с.Мирове, Шумський р-н, Тернопільська обл., 47131","348","93","343","14","243","12","255","","0","243","12","255","0","255","2","2","92","2","72","2","3","18","52","0","0","9","1","29.10.12"
"611058","164","Тернопільська область","сільський клуб, глядацький зал
вул.Зота Бондарука, 4, с.Літовище, Шумський р-н, Тернопільська обл., 47112","300","90","290","19","191","19","210","","0","191","19","210","4","206","0","2","64","5","56","5","0","9","64","1","0","0","0","29.10.12"
"611059","164","Тернопільська область","фельдшерсько-акушерський пункт, маніпуляційна
вул.Сонячна, 9, с.Сошище, Шумський р-н, Тернопільська обл., 47112","120","26","119","12","83","11","94","","0","83","11","94","1","93","0","1","28","1","42","2","1","4","11","0","0","2","1","28.10.12"
"611060","164","Тернопільська область","сільський клуб, глядацький зал
вул.Перемоги, 4, с.Людвище, Шумський р-н, Тернопільська обл., 47130","582","170","573","59","356","56","412","","0","356","56","412","14","398","3","3","150","7","93","5","1","41","88","1","0","6","0","29.10.12"
