"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Апостол
Михайло
Володимирович","Давиденко
Андрій
Анатолійович","Люшняк
Микола
Володимирович","Півторак
Роман
Євстахійович","Савчук
Михайло
Дмитрович","Стецюк
Тетяна
Іванівна","Хоптян
Надія
Андріївна","Дата підписання протоколу"
"610873","166","Тернопільська область","сільська рада, зал засідань
вул.Миру, 3, с.Струсів, Теребовлянський р-н, Тернопільська обл., 48127","1152","353","1151","49","751","48","799","","0","751","48","799","26","773","243","244","204","6","36","2","38","29.10.12"
"610874","166","Тернопільська область","школа, фойє
вул.Братів Шкамбар, 42, с.Варваринці, Теребовлянський р-н, Тернопільська обл., 48126","1080","348","1068","42","692","40","732","","0","692","40","732","28","704","253","122","287","2","8","8","24","29.10.12"
"610875","166","Тернопільська область","школа-сад, каб.1
вул.Дружби, 42, с.Налужжя, Теребовлянський р-н, Тернопільська обл., 48176","376","105","364","12","260","11","271","","0","260","11","271","13","258","65","108","51","1","1","1","31","29.10.12"
"610876","166","Тернопільська область","бібліотека, каб.1
вул.Центральна, 40, с.Бернадівка, Теребовлянський р-н, Тернопільська обл., 48127","200","68","198","16","116","16","132","","0","116","16","132","2","130","18","21","67","1","7","2","14","29.10.12"
"610877","166","Тернопільська область","будинок культури, глядацький зал
вул.Сонячна, 20, с.Хмелівка, Теребовлянський р-н, Тернопільська обл., 48144","720","274","715","55","397","49","446","","0","397","49","446","16","430","164","136","77","4","3","3","43","29.10.12"
"610878","166","Тернопільська область","фельдшерсько-акушерський пункт, кабінет завідувача
вул.Центральна, 50, с.Нова Брикуля, Теребовлянський р-н, Тернопільська обл., 48145","208","60","205","32","118","30","148","","0","118","30","148","3","145","42","67","12","1","1","0","22","29.10.12"
"610879","166","Тернопільська область","будинок культури, глядацький зал
вул.Лесі Українки, 6А, смт Дружба, Теребовлянський р-н, Тернопільська обл., 48130","1448","553","1439","26","874","21","895","","0","874","21","895","17","878","373","286","159","8","16","3","33","29.10.12"
"610880","166","Тернопільська область","будинок культури, великий зал
вул.22 Січня, 8, смт Микулинці, Теребовлянський р-н, Тернопільська обл., 48120","1736","663","1725","63","1012","61","1073","","0","1012","61","1073","33","1040","400","341","173","8","21","16","81","29.10.12"
"610881","166","Тернопільська область","ВАТ ""Булат"", їдальня
вул.Тернопільська, 35, смт Микулинці, Теребовлянський р-н, Тернопільська обл., 48120","1000","363","997","17","623","14","637","","0","623","14","637","23","614","281","159","116","4","10","9","35","29.10.12"
"610882","166","Тернопільська область","школа-сад, каб.1
вул.Стебніцького, 50, с.Воля, Теребовлянський р-н, Тернопільська обл., 48171","600","214","587","31","355","31","386","","0","355","31","386","29","357","88","163","61","2","10","8","25","29.10.12"
"610883","166","Тернопільська область","сільський клуб, глядацький зал
вул.Коновальця, 1, с.Конопківка, Теребовлянський р-н, Тернопільська обл., 48122","520","141","517","30","353","26","379","","0","353","26","379","15","364","119","111","70","4","3","3","54","29.10.12"
"610884","166","Тернопільська область","сільський клуб, глядацький зал
вул.Зелена, 25А, с.Кривки, Теребовлянський р-н, Тернопільська обл., 48120","176","54","171","12","110","12","122","","0","110","12","122","7","115","44","37","11","1","1","0","21","29.10.12"
"610885","166","Тернопільська область","сільський клуб, глядацький зал
вул.Шевченка, 12А, с.Боричівка, Теребовлянський р-н, Тернопільська обл., 48106","456","139","457","54","263","54","317","","0","263","54","317","8","309","100","105","62","2","4","2","34","29.10.12"
"610886","166","Тернопільська область","спортивна школа, спортивний зал
вул.Князя Василька, 106, м.Теребовля, Теребовлянський р-н, Тернопільська обл., 48100","1560","602","1540","32","933","25","958","","0","933","25","958","24","934","329","258","267","4","36","5","35","29.10.12"
"610887","166","Тернопільська область","районний будинок культури, фойє
вул.Шевченка, 3, м.Теребовля, Теребовлянський р-н, Тернопільська обл., 48100","1008","447","994","19","546","15","561","","0","546","15","561","18","543","184","120","181","5","8","5","40","29.10.12"
"610888","166","Тернопільська область","школа №2, фойє
вул.Січових Стрільців, 28, м.Теребовля, Теребовлянський р-н, Тернопільська обл., 48100","1440","578","1395","24","847","15","862","","0","847","15","862","33","829","240","219","271","5","22","0","72","29.10.12"
"610889","166","Тернопільська область","школа №1, актова зала
вул.Січових Стрільців, 51А, м.Теребовля, Теребовлянський р-н, Тернопільська обл., 48100","2320","924","2294","30","1370","26","1396","","0","1370","26","1396","43","1353","469","280","460","10","26","16","92","29.10.12"
"610890","166","Тернопільська область","гімназія, актова зала
вул.Застіноцька, 41, м.Теребовля, Теребовлянський р-н, Тернопільська обл., 48100","1032","438","1030","23","573","21","594","","0","573","21","594","15","579","182","136","214","5","1","4","37","29.10.12"
"610891","166","Тернопільська область","школа №3, актова зала
вул.Шевченка, 188, м.Теребовля, Теребовлянський р-н, Тернопільська обл., 48100","2248","952","2233","218","1129","167","1296","","0","1129","167","1296","31","1265","441","363","333","9","25","6","88","29.10.12"
"610892","166","Тернопільська область","школа-інтернат для дітей з фізичними вадами, фойє
вул.Залізнична, 8, м.Теребовля, Теребовлянський р-н, Тернопільська обл., 48100","1160","436","1120","39","685","39","724","","0","685","39","724","6","718","217","203","215","2","35","7","39","29.10.12"
