"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Драніков
Олександр
Едуардович","Дудка
Олександр
Іванович","Кривохатько
Вадим
Вікторович","Кузьменко
Олег
Анатолійович","Куценко
Владислав
Ігорович","Мараховська
Вікторія
Юріївна","Дата підписання протоколу"
"230232","82","Запорізька область","комунальна установа ""Обласна туберкульозна лікарня"", кімната харчоблоку
вул.Миру, 5, с.Веселянка, Запорізький р-н, Запорізька обл., 70453","96","56","41","0","40","0","40","","0","40","0","40","3","37","4","9","8","2","9","5","28.10.12"
"230233","82","Запорізька область","Біленьківська виправна колонія №99, підсобне приміщення
вул.Запорізька, 32, с.Біленьке, Запорізький р-н, Запорізька обл., 70441","1232","37","1195","0","1195","0","1195","","0","1195","0","1195","39","1156","11","1063","42","7","13","20","29.10.12"
"230359","82","Запорізька область","районний будинок культури, фойє
вул.Леніна, 25, смт Новомиколаївка, Новомиколаївський р-н, Запорізька обл., 70100","1928","841","1901","65","1036","51","1087","","0","1036","51","1087","36","1051","14","328","592","22","32","63","29.10.12"
"230360","82","Запорізька область","районний центр дитячої творчості, актова зала
вул.Леніна, 35, смт Новомиколаївка, Новомиколаївський р-н, Запорізька обл., 70100","1752","728","1730","31","999","25","1024","","0","999","25","1024","33","991","18","299","526","13","50","85","29.10.12"
"230361","82","Запорізька область","адмінбудинок ТОВ ""Запорожець"", актова зала
вул.Комсомольська, 168, смт Новомиколаївка, Новомиколаївський р-н, Запорізька обл., 70100","1224","514","1203","69","642","68","710","","0","642","68","710","32","678","13","286","273","11","43","52","29.10.12"
"230362","82","Запорізька область","школа, хол
вул.Леніна, 20, смт Тернувате, Новомиколаївський р-н, Запорізька обл., 70150","1184","547","1165","74","578","59","637","","0","578","59","637","23","614","7","169","187","13","49","189","29.10.12"
"230363","82","Запорізька область","сільський будинок культури, актова зала
вул.Леніна, 1В, с.Барвінівка, Новомиколаївський р-н, Запорізька обл., 70151","432","178","415","32","229","25","254","","0","229","25","254","10","244","0","82","121","6","20","15","28.10.12"
"230364","82","Запорізька область","школа, фойє
вул.Первомайська, 21, с.Веселий Гай, Новомиколаївський р-н, Запорізька обл., 70120","448","131","437","29","290","27","317","","0","290","27","317","12","305","5","167","97","3","15","18","29.10.12"
"230365","82","Запорізька область","сільський будинок культури, обрядова зала
вул.Миру, 19, с.Зелене, Новомиколаївський р-н, Запорізька обл., 70140","480","206","477","34","244","30","274","","0","244","30","274","9","265","3","119","83","4","35","21","29.10.12"
"230366","82","Запорізька область","сільський будинок культури, фойє
вул.Леніна, 3, с.Любицьке, Новомиколаївський р-н, Запорізька обл., 70153","536","145","543","139","258","133","391","","0","258","133","391","12","379","7","202","81","6","41","42","28.10.12"
"230367","82","Запорізька область","школа, хол
вул.Гриценка, 8, с.Новоіванківка, Новомиколаївський р-н, Запорізька обл., 70110","568","182","563","85","302","84","386","","0","302","84","386","18","368","8","98","164","5","34","59","29.10.12"
"230368","82","Запорізька область","сільський будинок культури, актова зала
вул.Миру, 1А, с.Підгірне, Новомиколаївський р-н, Запорізька обл., 70121","880","305","873","59","528","47","575","","0","528","47","575","28","547","2","217","255","7","25","41","28.10.12"
"230369","82","Запорізька область","сільський будинок культури, фойє
вул.Леніна, 32, с.Різдвянка, Новомиколаївський р-н, Запорізька обл., 70152","448","182","446","44","223","43","266","","0","223","43","266","9","257","2","46","114","11","15","69","28.10.12"
"230370","82","Запорізька область","сільський будинок культури, актова зала
вул.Центральна, 46, с.Самійлівка, Новомиколаївський р-н, Запорізька обл., 70142","520","202","512","74","246","72","318","","0","246","72","318","12","306","2","117","92","4","25","66","29.10.12"
"230371","82","Запорізька область","сільський будинок культури, фойє
вул.Комсомольська, 3, с.Софіївка, Новомиколаївський р-н, Запорізька обл., 70113","672","210","651","67","399","63","462","","0","399","63","462","11","451","6","217","150","11","17","50","29.10.12"
"230372","82","Запорізька область","сільський будинок культури, актова зала
вул.Центральна, 12, с.Сторчове, Новомиколаївський р-н, Запорізька обл., 70112","640","290","622","93","271","79","350","","0","271","79","350","13","337","3","101","125","7","49","52","28.10.12"
"230373","82","Запорізька область","навчально-виховний комплекс, спортивна зала
вул.імені Євгена Карташова, 84, с.Терсянка, Новомиколаївський р-н, Запорізька обл., 70132","1064","478","1055","76","517","69","586","","0","517","69","586","29","557","15","189","262","9","38","44","29.10.12"
"230374","82","Запорізька область","школа, спортивна зала
вул.Будьонного, 1, с-ще Трудове, Новомиколаївський р-н, Запорізька обл., 70130","688","265","681","48","382","41","423","","0","382","41","423","19","404","10","111","149","6","58","70","28.10.12"
"230375","82","Запорізька область","центральна районна лікарня, каб.4
вул.Стадіонна, 2, с.Михайлівське, Новомиколаївський р-н, Запорізька обл., 70100","56","36","21","2","18","2","20","","0","18","2","20","0","20","0","6","12","0","0","2","28.10.12"
"230387","82","Запорізька область","школа, спортивна зала
вул.Космічна, 46А, с.Вільнянка, Оріхівський р-н, Запорізька обл., 70520","440","191","431","21","229","20","249","","0","229","20","249","10","239","5","87","73","2","51","21","28.10.12"
"230393","82","Запорізька область","адміністративна будівля сільської ради, кабінет сільського голови
вул.40 років Перемоги, 57, с.Микільське, Оріхівський р-н, Запорізька обл., 70521","312","128","305","25","160","24","184","","0","160","24","184","14","170","3","55","18","4","54","36","28.10.12"
"230400","82","Запорізька область","школа, спортивна зала
вул.Шкільна, 11, с.Новоселівка, Оріхівський р-н, Запорізька обл., 70523","448","164","434","44","244","40","284","","0","244","40","284","6","278","4","132","10","4","70","58","29.10.12"
"230407","82","Запорізька область","адміністративна будівля сільської ради, зала засідань
вул.Перемоги, 4, с.Омельник, Оріхівський р-н, Запорізька обл., 70522","552","191","545","46","316","45","361","","0","316","45","361","15","346","5","196","26","1","75","43","29.10.12"
"230415","82","Запорізька область","ПП ""Полетехніка-Сервіс"", їдальня
вул.Зарічна, 55А, м.Пологи, Пологівський р-н, Запорізька обл., 70602","696","331","694","62","303","62","365","","0","303","62","365","21","344","14","140","62","19","46","63","28.10.12"
"230416","82","Запорізька область","колегіум №1, велика спортзала
вул.Пролетарська, 18, м.Пологи, Пологівський р-н, Запорізька обл., 70600","1672","772","1656","54","857","43","900","","0","856","43","899","44","855","29","267","267","49","74","169","30.10.12"
"230417","82","Запорізька область","школа №4, актова зала
вул.імені Героя України Сацького В.А., 3, м.Пологи, Пологівський р-н, Запорізька обл., 70600","2232","957","2197","49","1235","40","1275","","0","1235","40","1275","48","1227","56","352","434","65","126","194","29.10.12"
"230418","82","Запорізька область","районний будинок культури, мала зала
вул.імені Героя України Сацького В.А., 7, м.Пологи, Пологівський р-н, Запорізька обл., 70600","1392","608","1375","25","759","25","784","","0","759","25","784","42","742","41","227","234","24","91","125","29.10.12"
"230419","82","Запорізька область","адмінбудівля ТОВ ""ОМЗ ГРУП"", актова зала
вул.К.Маркса, 291, м.Пологи, Пологівський р-н, Запорізька обл., 70607","1896","782","1880","39","1077","37","1114","","0","1077","37","1114","56","1058","114","354","288","29","126","147","29.10.12"
"230420","82","Запорізька область","комунальний будинок культури ""Гірник"", хол
вул.К.Маркса, 500, м.Пологи, Пологівський р-н, Запорізька обл., 70605","2248","1043","2223","47","1168","37","1205","","0","1168","37","1205","59","1146","102","295","393","45","176","135","29.10.12"
"230421","82","Запорізька область","школа №2, спортзала
вул.Червоногвардійська, 29, м.Пологи, Пологівський р-н, Запорізька обл., 70605","1176","575","1150","18","590","11","601","","0","590","11","601","27","574","73","156","183","25","75","62","29.10.12"
"230422","82","Запорізька область","гімназія ""Основа"", спортзала
вул.МТС, 2, м.Пологи, Пологівський р-н, Запорізька обл., 70604","944","441","916","27","477","26","503","","0","477","26","503","25","478","19","172","126","30","47","84","29.10.12"
"230423","82","Запорізька область","адмінбудівля Пологівського АТП, актова зала
вул.Східна, 15, м.Пологи, Пологівський р-н, Запорізька обл., 70606","2416","1056","2375","37","1335","25","1360","","0","1335","25","1360","68","1292","46","387","464","71","144","180","29.10.12"
"230424","82","Запорізька область","професійний ліцей, хол
вул.Дружби, 70, м.Пологи, Пологівський р-н, Запорізька обл., 70607","1360","573","1352","51","740","47","787","","0","740","47","787","40","747","41","249","203","36","108","110","29.10.12"
"230425","82","Запорізька область","адмінбудівля локомотивного депо, зала
вул.Ульянова, 1, м.Пологи, Пологівський р-н, Запорізька обл., 70604","1248","561","1228","26","664","23","687","","0","664","23","687","37","650","21","204","192","49","64","120","29.10.12"
"230426","82","Запорізька область","будинок культури, глядацька зала
вул.Леніна, 173А, с.Басань, Пологівський р-н, Запорізька обл., 70643","488","223","482","53","220","45","265","","0","220","45","265","11","254","3","99","44","13","60","35","29.10.12"
"230427","82","Запорізька область","школа, хол
вул.Шкільна, 1, с.Басань, Пологівський р-н, Запорізька обл., 70640","680","319","676","24","341","20","361","","0","341","20","361","16","345","24","135","75","23","30","58","29.10.12"
"230428","82","Запорізька область","будинок культури, глядацька зала
вул.Леніна, 179, с.Вербове, Пологівський р-н, Запорізька обл., 70633","752","321","742","65","376","55","431","","0","376","55","431","22","409","28","167","54","7","86","67","29.10.12"
"230429","82","Запорізька область","школа, зала
вул.Леніна, 44А, с.Григорівка, Пологівський р-н, Запорізька обл., 70661","808","325","796","103","392","91","483","","0","392","91","483","12","471","47","128","37","17","87","155","28.10.12"
"230430","82","Запорізька область","сільська рада, актова зала
вул.Шевченка, 43Б, с.Інженерне, Пологівський р-н, Запорізька обл., 70635","600","243","600","30","330","27","357","","0","330","27","357","15","342","49","141","71","14","22","45","29.10.12"
"230431","82","Запорізька область","школа, спортзала
вул.Леніна, 93Б, с.Інженерне, Пологівський р-н, Запорізька обл., 70631","776","308","759","63","414","54","468","","0","414","54","468","19","449","19","182","92","30","50","76","28.10.12"
"230432","82","Запорізька область","школа, спортзала
вул.Молодіжна, 100, с.Новофедорівка, Пологівський р-н, Запорізька обл., 70632","328","136","327","37","159","33","192","","0","159","33","192","3","189","7","118","11","3","23","27","28.10.12"
"230433","82","Запорізька область","навчально-виховний комплекс, хол
вул.Леніна, 60, с.Кінські Роздори, Пологівський р-н, Запорізька обл., 70651","1016","454","1005","45","517","45","562","","0","517","45","562","32","530","50","182","76","33","72","117","28.10.12"
"230434","82","Запорізька область","клуб ""Зелений Яр"", хол
вул.Щорса, 36, с.Кінські Роздори, Пологівський р-н, Запорізька обл., 70650","1096","465","1080","48","589","42","631","","0","589","42","631","26","605","30","216","92","80","68","119","29.10.12"
"230435","82","Запорізька область","фельдшерсько-акушерський пункт, каб.1
вул.Центральна, 1, с-ще Магедове, Пологівський р-н, Запорізька обл., 70652","168","53","159","16","102","13","115","","0","102","13","115","3","112","2","62","10","6","12","20","28.10.12"
"230436","82","Запорізька область","сільський клуб, глядацька зала
вул.Калініна, 31, с.Костянтинівка, Пологівський р-н, Запорізька обл., 70618","456","176","443","41","243","37","280","","0","243","37","280","15","265","13","149","22","9","41","31","28.10.12"
"230437","82","Запорізька область","будинок культури, зала
вул.Гагаріна, 82, с.Новоселівка, Пологівський р-н, Запорізька обл., 70620","744","311","731","49","386","47","433","","0","386","47","433","19","414","5","204","65","28","48","64","28.10.12"
"230438","82","Запорізька область","адмінбудівля ТОВ ""Пологівський шляхбуд"", актова зала
вул.Леніна, 162, с.Пологи, Пологівський р-н, Запорізька обл., 70615","1152","529","1120","41","586","37","623","","0","586","37","623","24","599","26","202","193","34","54","90","29.10.12"
"230439","82","Запорізька область","сільський клуб, глядацька зала
вул.Леніна, 186, с.Пологи, Пологівський р-н, Запорізька обл., 70615","1296","512","1278","51","740","44","784","","0","740","44","784","35","749","62","238","160","104","60","125","28.10.12"
"230440","82","Запорізька область","фельдшерсько-акушерський пункт, каб.2
вул.Миру, 45А, с.Івана Франка, Пологівський р-н, Запорізька обл., 70615","200","56","203","8","137","7","144","","0","137","7","144","12","132","7","55","18","8","29","15","29.10.12"
"230441","82","Запорізька область","сільська рада, зала засідань
вул.Жовтнева, 6, с.Семенівка, Пологівський р-н, Запорізька обл., 70660","800","358","789","81","368","74","442","","0","368","74","442","13","429","122","109","43","16","72","67","29.10.12"
"230442","82","Запорізька область","школа, спортзала
вул.Леніна, 78, с.Тарасівка, Пологівський р-н, Запорізька обл., 70640","1008","492","995","78","444","72","516","","0","444","72","516","14","502","14","199","82","22","123","62","29.10.12"
"230443","82","Запорізька область","школа, хол
вул.Горького, 34А, с.Шевченкове, Пологівський р-н, Запорізька обл., 70642","440","164","436","60","220","56","276","","0","220","56","276","8","268","12","116","50","22","39","29","29.10.12"
"230444","82","Запорізька область","будинок культури, зала
вул.Леніна, 153, с.Чапаєвка, Пологівський р-н, Запорізька обл., 70625","640","307","629","22","314","19","333","","0","314","19","333","16","317","7","111","23","81","63","32","28.10.12"
"230445","82","Запорізька область","середня школа, спортзала
вул.Матросова, 2, с.Чапаєвка, Пологівський р-н, Запорізька обл., 70624","1976","1031","1946","21","925","20","945","","0","925","20","945","42","903","23","317","177","115","149","122","29.10.12"
"230446","82","Запорізька область","будинок культури, глядацька зала
вул.Леніна, 38, с.Чубарівка, Пологівський р-н, Запорізька обл., 70627","816","363","801","45","412","41","453","","0","412","41","453","23","430","16","103","85","29","100","97","28.10.12"
"230447","82","Запорізька область","професійний ліцей, хол
вул.Артема, 1, с.Чубарівка, Пологівський р-н, Запорізька обл., 70627","576","296","573","57","225","55","280","","0","225","55","280","7","273","6","118","46","7","61","35","29.10.12"
"230448","82","Запорізька область","їдальня сільської ради, зала
вул.Суворова, 66, с.Чубарівка, Пологівський р-н, Запорізька обл., 70627","256","117","249","25","116","23","139","","0","116","23","139","6","133","17","38","22","3","16","37","28.10.12"
"230449","82","Запорізька область","школа, хол
вул.Леніна, 4, с.Балочки, Пологівський р-н, Запорізька обл., 70628","304","136","298","21","149","19","168","","0","149","19","168","6","162","5","68","20","7","36","26","29.10.12"
"230450","82","Запорізька область","центральна районна лікарня, хол
вул.імені Героя України Сацького В.А., 6/90, м.Пологи, Пологівський р-н, Запорізька обл., 70600","40","4","48","13","23","13","36","","0","23","13","36","3","33","1","14","7","0","4","7","28.10.12"
