"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Варданян
Армен
Фрунзікович","Варецький
Василь
Іванович","Зубко
Ігор
Владиславович","Карташов
Євген
Григорович","Кравець
Костянтин
Євгенійович","Лєх
Ірина
Іванівна","Пшигоцький
Сергій
Володимирович","Тимченко
Артем
Олегович","Ткаченко
Олег
Валентинович","Харламов
Дмитро
Вікторович","Дата підписання протоколу"
"231028","76","Запорізька область","школа №32, спортивна зала
вул.Чотирнадцятого жовтня, 13, м.Запоріжжя, 69123","1920","906","1908","22","1000","14","1014","","0","1000","14","1014","30","984","121","176","45","311","23","86","168","20","18","16","29.10.12"
"231029","76","Запорізька область","гімназія №45, актова зала
просп.Ювілейний, 30А, м.Запоріжжя, 69076","2124","870","2096","25","1238","16","1254","","0","1236","16","1252","39","1213","141","195","32","406","24","61","289","12","29","24","05.11.12"
"231030","76","Запорізька область","гімназія №45, спортивна зала
просп.Ювілейний, 30А, м.Запоріжжя, 69076","2250","914","2223","25","1319","17","1336","","0","1319","17","1336","41","1295","159","246","42","368","23","52","349","17","23","16","29.10.12"
"231031","76","Запорізька область","гімназія №45, мала спортивна зала
просп.Ювілейний, 30А, м.Запоріжжя, 69076","2250","1000","2209","23","1232","18","1250","","0","1232","18","1250","56","1194","126","215","40","376","28","68","272","36","17","16","29.10.12"
"231032","76","Запорізька область","багатопрофільний ліцей №99, центральне фойє
вул.Гудименка, 13А, м.Запоріжжя, 69114","1968","883","1954","13","1079","6","1085","","0","1079","6","1085","36","1049","128","181","28","317","21","61","232","25","27","29","29.10.12"
"231033","76","Запорізька область","багатопрофільний ліцей №99, велике фойє
вул.Гудименка, 13А, м.Запоріжжя, 69114","1734","701","1714","9","1024","9","1033","","0","1024","9","1033","40","993","126","174","38","283","19","63","222","23","19","26","29.10.12"
"231034","76","Запорізька область","навчально-виховний комплекс ""Мала гуманітарна академія"", актова зала
вул.Гудименка, 13, м.Запоріжжя, 69114","2178","843","2153","36","1307","28","1335","","0","1307","28","1335","57","1278","165","172","34","384","29","65","344","21","23","41","29.10.12"
"231035","76","Запорізька область","багатопрофільний ліцей №99, спортивна зала
вул.Гудименка, 13А, м.Запоріжжя, 69114","1656","676","1658","20","967","13","980","","0","967","13","980","46","934","120","178","28","305","24","45","182","14","13","25","31.10.12"
"231036","76","Запорізька область","навчально-виховний комплекс ""Мала гуманітарна академія"", спортивна зала
вул.Гудименка, 13, м.Запоріжжя, 69114","1674","603","1652","28","1050","21","1071","","0","1050","21","1071","45","1026","139","159","29","310","20","51","231","29","14","44","29.10.12"
"231037","76","Запорізька область","школа №51, мала спортивна зала
вул.Воронезька, 4, м.Запоріжжя, 69114","1758","721","1731","17","1029","8","1037","","0","1028","8","1036","36","1000","110","145","31","326","22","72","235","14","19","26","04.11.12"
"231038","76","Запорізька область","школа №51, спортивна зала
вул.Воронезька, 4, м.Запоріжжя, 69114","1956","851","1916","8","1100","5","1105","","0","1100","5","1105","37","1068","179","160","27","361","25","52","185","23","24","32","29.10.12"
"231039","76","Запорізька область","станція юних техніків, центральне фойє
вул.Воронезька, 22, м.Запоріжжя, 69114","2154","923","2127","16","1221","10","1231","","0","1221","10","1231","37","1194","137","186","37","403","29","54","253","29","26","40","29.10.12"
"231040","76","Запорізька область","школа №51, актова зала
вул.Воронезька, 4, м.Запоріжжя, 69114","1956","850","1941","16","1095","11","1106","","0","1095","11","1106","46","1060","160","130","33","346","23","62","225","29","19","33","29.10.12"
"231041","76","Запорізька область","школа №51, їдальня
вул.Воронезька, 4, м.Запоріжжя, 69114","2124","956","2091","25","1149","19","1168","","0","1149","19","1168","45","1123","144","171","30","387","26","65","223","38","15","24","29.10.12"
"231042","76","Запорізька область","спеціалізована школа №40, актова зала, частина 1
вул.Гудименка, 18А, м.Запоріжжя, 69114","2100","922","2078","21","1157","21","1178","","0","1157","21","1178","40","1138","127","145","43","375","23","69","254","18","21","63","29.10.12"
"231043","76","Запорізька область","спеціалізована школа №40, актова зала, частина 2
вул.Гудименка, 18А, м.Запоріжжя, 69114","2298","929","2278","35","1343","26","1369","","0","1343","26","1369","47","1322","157","194","43","434","32","88","253","39","33","49","29.10.12"
"231044","76","Запорізька область","спеціалізована школа №40, адміністративне фойє
вул.Гудименка, 18А, м.Запоріжжя, 69114","2220","911","2204","23","1294","15","1309","","0","1294","15","1309","46","1263","151","215","33","399","22","73","258","29","23","60","29.10.12"
"231045","76","Запорізька область","спеціалізована школа №40, спортивна зала
вул.Гудименка, 18А, м.Запоріжжя, 69114","2238","901","2195","27","1320","17","1337","","0","1320","17","1337","49","1288","152","233","28","402","29","88","255","23","21","57","29.10.12"
"231046","76","Запорізька область","школа №91, спортивна зала
вул.Лахтінська, 6А, м.Запоріжжя, 69076","2100","877","2090","31","1201","22","1223","","0","1200","22","1222","41","1181","127","189","20","452","33","56","251","12","18","23","05.11.12"
"231047","76","Запорізька область","школа №91, парадне фойє
вул.Лахтінська, 6А, м.Запоріжжя, 69076","1584","652","1566","15","922","10","932","","0","922","10","932","41","891","112","171","17","286","21","42","181","27","16","18","29.10.12"
"231048","76","Запорізька область","школа №49, адміністративне фойє, частина 1
вул.Будьонного, 16А, м.Запоріжжя, 69097","2028","836","1992","17","1182","10","1192","","0","1182","10","1192","43","1149","176","170","34","352","23","56","239","40","27","32","29.10.12"
"231049","76","Запорізька область","школа №49, адміністративне фойє, частина 2
вул.Будьонного, 16А, м.Запоріжжя, 69097","2106","857","2085","20","1232","17","1249","","0","1232","17","1249","45","1204","201","202","35","367","29","64","229","25","29","23","29.10.12"
"231050","76","Запорізька область","школа №49, актова зала
вул.Будьонного, 16А, м.Запоріжжя, 69097","2112","840","2090","19","1254","18","1272","","0","1254","18","1272","48","1224","133","204","51","365","18","76","290","29","33","25","29.10.12"
"231051","76","Запорізька область","навчальний заклад ""Запорізький будівельний центр професійно-технічної освіти"", парадне фойє
вул.Жукова, 6, м.Запоріжжя, 69076","2472","1164","2451","23","1296","12","1308","","0","1295","12","1307","52","1255","151","237","37","414","27","59","247","26","29","28","05.11.12"
"231052","76","Запорізька область","школа №92, фойє початкових класів
вул.Лахтінська, 9, м.Запоріжжя, 69076","2040","846","2009","18","1182","12","1194","","0","1182","12","1194","43","1151","140","177","41","387","25","51","281","21","18","10","29.10.12"
"231053","76","Запорізька область","школа №92, парадне фойє
вул.Лахтінська, 9, м.Запоріжжя, 69076","2226","885","2205","21","1323","18","1341","","0","1323","18","1341","47","1294","173","205","40","403","28","73","282","42","29","19","29.10.12"
"231054","76","Запорізька область","школа №92, фойє
вул.Лахтінська, 9, м.Запоріжжя, 69076","2214","991","2188","26","1202","21","1223","","0","1202","21","1223","47","1176","153","173","30","405","24","62","277","14","18","20","29.10.12"
"231055","76","Запорізька область","школа №91, фойє початкових класів
вул.Лахтінська, 6А, м.Запоріжжя, 69076","1542","642","1523","16","884","16","900","","0","884","16","900","35","865","90","140","25","269","21","44","234","14","16","12","29.10.12"
"231056","76","Запорізька область","школа №24, актова зала
вул.Задніпровська, 12А, м.Запоріжжя, 69097","2262","1070","2222","26","1169","23","1192","","0","1169","23","1192","52","1140","156","176","40","379","25","49","234","33","30","18","29.10.12"
"231057","76","Запорізька область","школа №24, адміністративне фойє
вул.Задніпровська, 12А, м.Запоріжжя, 69097","2172","904","2178","15","1259","9","1268","","0","1259","9","1268","56","1212","136","219","47","435","22","42","237","26","24","24","29.10.12"
"231058","76","Запорізька область","КП ""ВРЕЖО №6"", актова зала, частина 1
вул.Задніпровська, 6А, м.Запоріжжя, 69097","1974","864","1957","40","1075","35","1110","","0","1072","35","1107","45","1062","143","180","30","286","16","47","284","24","24","28","05.11.12"
"231059","76","Запорізька область","КП ""ВРЕЖО №6"", актова зала, частина 2
вул.Задніпровська, 6А, м.Запоріжжя, 69097","2172","917","2153","16","1247","8","1255","","0","1247","8","1255","50","1205","158","169","26","424","26","50","273","24","32","23","05.11.12"
"231060","76","Запорізька область","КУ ""Пологовий будинок №9"", актова зала
вул.Новгородська, 28, м.Запоріжжя, 69076","120","91","31","0","29","0","29","","0","29","0","29","0","29","2","1","1","19","0","0","3","0","0","3","28.10.12"
