"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вовк
Василь
Васильович","Галушко
Леонід
Володимирович","Джига
Микола
Васильович","Коваль
Катерина
Петрівна","Ковальов
Володимир
Аркадійович","Мельник
Світлана
Миколаївна","Продан
Сергій
Олександрович","Рекало
Олександр
Анатолійович","Стус
Олександр
Іванович","Третьяков
Олександр
Миколайович","Дата підписання протоколу"
"051204","15","Вінницька область","школа, спортивний зал
вул.Радянська, 2, с.Тиманівка, Тульчинський р-н, Вінницька обл., 23644","864","316","867","30","518","30","548","","0","518","30","548","21","527","172","46","142","45","13","60","35","4","1","9","29.10.12"
"051205","15","Вінницька область","приміщення магазину, зал
вул.Паризької комуни, 49, с.Тиманівка, Тульчинський р-н, Вінницька обл., 23644","438","159","425","31","249","30","279","","0","249","30","279","6","273","132","5","60","21","6","34","8","3","3","1","29.10.12"
"051206","15","Вінницька область","школа, спортивний зал
вул.Леніна, 1, с.Торків, Тульчинський р-н, Вінницька обл., 23613","630","206","634","55","372","52","424","","0","372","52","424","17","407","137","62","145","3","5","38","10","5","2","0","28.10.12"
"051207","15","Вінницька область","будинок культури, малий зал
вул.Жовтнева, 12, с.Холодівка, Тульчинський р-н, Вінницька обл., 23632","738","271","738","38","435","32","467","","0","435","32","467","18","449","192","16","180","10","6","19","18","3","1","4","29.10.12"
"051208","15","Вінницька область","будинок культури, хол
вул.Леніна, 102А, с.Шура-Копіївська, Тульчинський р-н, Вінницька обл., 23622","792","273","781","24","497","22","519","","0","497","22","519","27","492","107","12","290","12","9","43","14","3","1","1","29.10.12"
"051209","15","Вінницька область","будинок культури, хол
вул.50-річчя Жовтня, 58, с.Юрківка, Тульчинський р-н, Вінницька обл., 23620","972","434","958","38","504","34","538","","0","504","34","538","20","518","119","19","267","19","6","45","30","6","1","6","29.10.12"
"051285","15","Вінницька область","школа №1, спортзал
вул.Леніна, 198, смт Чернівці, Чернівецький р-н, Вінницька обл., 24100","1362","664","1335","7","691","7","698","","0","691","7","698","8","690","111","77","221","27","7","10","233","2","0","2","29.10.12"
"051286","15","Вінницька область","школа №2, приміщення для засідань
вул.Леніна, 11, смт Чернівці, Чернівецький р-н, Вінницька обл., 24100","948","406","937","23","522","20","542","","0","522","20","542","20","522","58","54","161","17","7","10","211","2","2","0","29.10.12"
"051287","15","Вінницька область","сільський клуб, зал
вул.Польова, 2/64, с.Йосипівка, Чернівецький р-н, Вінницька обл., 24100","102","26","105","2","74","2","76","","0","74","2","76","4","72","14","5","25","2","0","5","21","0","0","0","31.10.12"
"051288","15","Вінницька область","школа, приміщення для засідань
вул.Мостова, 12, с.Бабчинці, Чернівецький р-н, Вінницька обл., 24132","402","168","400","17","219","15","234","","0","219","15","234","6","228","59","11","129","2","6","11","10","0","0","0","29.10.12"
"051289","15","Вінницька область","будинок культури, приміщення для засідань
вул.50-річчя Жовтня, 12, с.Бабчинці, Чернівецький р-н, Вінницька обл., 24132","540","203","530","17","320","17","337","","0","320","17","337","14","323","96","22","125","4","8","19","42","4","2","1","28.10.12"
"051290","15","Вінницька область","будинок культури, зал
вул.Леніна, 38, с.Бабчинці, Чернівецький р-н, Вінницька обл., 24132","870","323","854","42","509","38","547","","0","509","38","547","23","524","131","15","247","5","5","23","92","1","3","2","29.10.12"
"051291","15","Вінницька область","сільський клуб, зал
вул.Петровського, 41, с.Вазлуївка, Чернівецький р-н, Вінницька обл., 24132","174","56","169","8","111","7","118","","0","111","7","118","3","115","13","7","87","0","1","1","4","0","0","2","28.10.12"
"051292","15","Вінницька область","сільський клуб, зал
вул.Жовтнева, 55, с.Нове Життя, Чернівецький р-н, Вінницька обл., 24132","78","19","80","6","53","6","59","","0","53","6","59","2","57","11","8","31","0","0","3","4","0","0","0","28.10.12"
"051293","15","Вінницька область","будинок тваринника, їдальня
вул.Леніна, 11, с.Березівка, Чернівецький р-н, Вінницька обл., 24111","600","236","594","23","344","20","364","","0","344","20","364","14","350","97","22","116","7","19","41","40","2","2","4","29.10.12"
"051294","15","Вінницька область","будинок культури, приміщення для засідань
вул.Леніна, 7, с.Березівка, Чернівецький р-н, Вінницька обл., 24111","828","353","819","64","415","60","475","","0","415","60","475","24","451","128","31","177","9","14","39","40","5","3","5","29.10.12"
"051295","15","Вінницька область","сільський клуб, зал
вул.Леніна, 38А, с.Лужок, Чернівецький р-н, Вінницька обл., 24111","258","75","253","24","160","23","183","","0","160","23","183","6","177","77","5","54","4","11","13","9","0","4","0","28.10.12"
"051296","15","Вінницька область","школа, спортзал
вул.Котовського, 2, с.Біляни, Чернівецький р-н, Вінницька обл., 24110","534","228","526","24","283","23","306","","0","283","23","306","16","290","93","20","113","3","2","28","29","1","0","1","29.10.12"
"051297","15","Вінницька область","сільський будинок культури, малий зал
вул.Миру, 2, с.Біляни, Чернівецький р-н, Вінницька обл., 24110","570","248","556","38","290","32","322","","0","290","32","322","6","316","90","21","159","7","2","10","25","1","0","1","28.10.12"
"051298","15","Вінницька область","будинок культури, приміщення для засідань
вул.Перемоги, 23, с.Борівка, Чернівецький р-н, Вінницька обл., 24123","1362","660","1341","16","687","15","702","","0","687","15","702","30","672","274","22","234","25","6","57","42","4","2","6","29.10.12"
"051299","15","Вінницька область","сільський клуб, зал
вул.Дружби, 33, с.Борівка, Чернівецький р-н, Вінницька обл., 24123","990","497","985","17","476","17","493","","0","476","17","493","19","474","176","18","184","5","3","39","40","2","2","5","29.10.12"
"051300","15","Вінницька область","сільськогосподарське публічне акціонерне товариство ""Моївське"", їдальня
вул.Радгоспна, сільськогосподарське публічне акціонерне товариство ""Моївське"", с-ще Трактове, Чернівецький р-н, Вінницька обл., 24123","156","59","154","0","97","0","97","","0","97","0","97","4","93","26","14","32","5","2","8","0","5","0","1","29.10.12"
"051301","15","Вінницька область","будинок культури, приміщення для засідань
вул.Леніна, 29, с.Вила-Ярузькі, Чернівецький р-н, Вінницька обл., 24130","294","124","290","9","162","8","170","","0","162","8","170","9","161","21","7","89","8","2","17","12","2","1","2","29.10.12"
"051302","15","Вінницька область","сільський клуб, зал
вул.Варшка, 45, с.Букатинка, Чернівецький р-н, Вінницька обл., 24131","228","70","227","21","139","19","158","","0","139","19","158","2","156","54","8","79","0","1","6","8","0","0","0","29.10.12"
"051303","15","Вінницька область","будинок культури, приміщення для засідань
вул.Леніна, 22, с.Володіївці, Чернівецький р-н, Вінницька обл., 24120","618","219","611","44","356","43","399","","0","356","43","399","14","385","63","114","136","4","20","23","22","2","0","1","29.10.12"
"051304","15","Вінницька область","сільський клуб, приміщення для засідань
вул.Перемоги, 1, с.Пелинівка, Чернівецький р-н, Вінницька обл., 24121","216","53","210","15","148","15","163","","0","148","15","163","7","156","55","11","77","0","4","5","3","0","1","0","29.10.12"
"051305","15","Вінницька область","школа, приміщення для засідань
вул.Гонти, 1, с.Гонтівка, Чернівецький р-н, Вінницька обл., 24112","780","303","770","114","373","104","477","","0","373","104","477","9","468","88","26","174","13","16","44","2","102","3","0","28.10.12"
"051306","15","Вінницька область","сільський ФАП, оглядова зала
вул.Леніна, сільський ФАП, с.Котлубаївка, Чернівецький р-н, Вінницька обл., 24112","54","11","55","5","39","4","43","","0","39","4","43","3","40","18","0","15","1","0","4","2","0","0","0","28.10.12"
"051307","15","Вінницька область","сільський будинок культури, зал
вул.Леніна, 3, с.Лозове, Чернівецький р-н, Вінницька обл., 24114","462","155","451","32","284","23","307","","0","284","23","307","14","293","61","34","139","7","7","17","25","0","2","1","29.10.12"
"051308","15","Вінницька область","сільський клуб, зал
вул.Жовтнева, 1, с.Коси, Чернівецький р-н, Вінницька обл., 24114","96","18","96","5","74","4","78","","0","74","4","78","2","76","24","1","35","2","8","1","4","0","0","1","28.10.12"
"051309","15","Вінницька область","сільський клуб, зал
вул.Набережна, 3, с.Скалопіль, Чернівецький р-н, Вінницька обл., 24114","54","8","62","4","42","4","46","","0","42","4","46","2","44","15","0","18","2","1","4","3","1","0","0","28.10.12"
"051310","15","Вінницька область","сільський будинок культури, хол
вул.Леніна, 28, с.Мазурівка, Чернівецький р-н, Вінницької обл., 24106","1638","819","1616","24","799","20","819","","0","799","20","819","11","808","164","101","197","36","8","29","262","4","0","7","29.10.12"
"051311","15","Вінницька область","школа, спортзал
вул.Шкільна, 10, с.Мазурівка, Чернівецький р-н, Вінницької обл., 24106","852","373","836","25","454","25","479","","0","454","25","479","8","471","84","32","144","14","5","9","183","0","0","0","29.10.12"
"051312","15","Вінницька область","школа, коридор
вул.Полбіна, 37, с.Абрамівська Долина, Чернівецький р-н, Вінницької обл., 24106","228","94","231","7","127","7","134","","0","127","7","134","8","126","14","15","66","3","2","5","21","0","0","0","28.10.12"
"051313","15","Вінницька область","сільський клуб, зал
вул.Кутузова, 112, с.Весняне, Чернівецький р-н, Вінницької обл., 24106","156","47","155","26","83","26","109","","0","83","26","109","2","107","31","16","46","1","3","3","5","1","1","0","29.10.12"
"051314","15","Вінницька область","сільський будинок культури, хол
вул.Леніна, 73В, с.Моївка, Чернівецький р-н, Вінницька обл., 24133","1398","529","1387","69","808","61","869","","0","808","61","869","32","837","232","11","505","7","16","37","23","2","1","3","29.10.12"
"051315","15","Вінницька область","будинок культури, приміщення для засідань
вул.З.Космодемянської, 1, с.Саїнка, Чернівецький р-н, Вінницька обл., 24122","552","145","539","56","358","49","407","","0","358","49","407","22","385","72","19","216","7","7","26","30","3","1","4","28.10.12"
"051316","15","Вінницька область","сільський будинок культури, зал
вул.Незалежності, 86, с.Сокіл, Чернівецький р-н, Вінницька обл., 24124","930","279","928","39","614","37","651","","0","614","37","651","23","628","225","20","294","14","1","15","56","0","1","2","29.10.12"
"051317","15","Вінницька область","сільський клуб, зал
вул.Перемоги, 19, с.Шендерівка, Чернівецький р-н, Вінницька обл., 24113","270","84","269","19","167","19","186","","0","167","19","186","9","177","43","15","74","6","2","12","25","0","0","0","28.10.12"
"051318","15","Вінницька область","приватна оселя, зал
вул.Партизанська, 5, с.Дубина, Чернівецький р-н, Вінницька обл., 24113","120","34","117","3","83","3","86","","0","83","3","86","2","84","20","6","41","2","2","5","6","0","2","0","28.10.12"
"051319","15","Вінницька область","центральна районна лікарня, актовий зал
вул.Кірова, 25, смт Чернівці, Чернівецький р-н, Вінницька обл., 24100","126","44","86","6","77","5","82","","0","77","5","82","2","80","13","5","59","0","0","0","3","0","0","0","28.10.12"
"051344","15","Вінницька область","Гибалівська школа, спортивний зал
вул.Комсомольська, 23, с.Гибалівка, Шаргородський р-н, Вінницька обл., 23507","1692","672","1676","47","977","43","1020","","0","977","43","1020","20","1000","251","25","434","53","20","56","132","9","17","3","28.10.12"
"051345","15","Вінницька область","сільський будинок культури, зал
вул.Щорса, 21, с.Дерев’янки, Шаргородський р-н, Вінницька обл., 23508","660","261","655","41","362","37","399","","0","362","37","399","16","383","90","6","232","5","7","20","13","4","4","2","28.10.12"
"051346","15","Вінницька область","школа, коридор
вул.Шевченка, 8, с.Голинчинці, Шаргородський р-н, Вінницька обл., 23552","738","291","728","26","422","25","447","","0","422","25","447","18","429","193","7","178","7","5","6","22","4","3","4","30.10.12"
"051347","15","Вінницька область","Деребчинська школа, спортивний зал
вул.Дзержинського, 4, с.Деребчин, Шаргородський р-н, Вінницька обл., 23532","1080","524","1067","41","524","32","556","","0","524","32","556","20","536","161","12","214","7","49","39","48","1","1","4","29.10.12"
"051348","15","Вінницька область","сільський будинок культури, хол
вул.Калініна, 62, с.Деребчин, Шаргородський р-н, Вінницька обл., 23532","564","275","554","25","266","23","289","","0","266","23","289","18","271","98","1","121","25","4","8","12","0","1","1","29.10.12"
"051349","15","Вінницька область","сільський клуб, хол
вул.70-річчя Жовтня, 22, с.Мала Деребчинка, Шаргородський р-н, Вінницька обл., 23532","150","59","148","13","79","12","91","","0","79","12","91","9","82","19","2","50","5","2","0","2","1","0","1","28.10.12"
"051350","15","Вінницька область","сільський клуб, хол
вул.Коцюбинського, 105, с.Семенівка, Шаргородський р-н, Вінницька обл., 23532","300","130","287","9","164","6","170","","0","164","6","170","3","167","28","2","111","5","3","10","4","2","1","1","29.10.12"
"051351","15","Вінницька область","сільський клуб, хол
вул.Леніна, 14, с.Вербівка, Шаргородський р-н, Вінницька обл., 23532","222","70","218","22","130","22","152","","0","130","22","152","1","151","51","4","80","8","0","2","2","4","0","0","29.10.12"
"051352","15","Вінницька область","сільський будинок культури, хол
вул.Заводська, 3, с.Джурин, Шаргородський р-н, Вінницька обл., 23545","1308","580","1289","25","704","24","728","","0","704","24","728","33","695","254","19","290","25","15","26","50","7","4","5","29.10.12"
"051353","15","Вінницька область","контора СТОВ ""Мрія"", зал
вул.Смавзюка, 59, с.Джурин, Шаргородський р-н, Вінницька обл., 23545","1320","636","1295","31","654","30","684","","0","654","30","684","24","660","228","23","284","27","5","12","71","2","6","2","29.10.12"
"051354","15","Вінницька область","сільський клуб, актовий зал
вул.Леніна, 96, с.Зведенівка, Шаргородський р-н, Вінницька обл., 23551","846","212","835","44","590","44","634","","0","590","44","634","13","621","39","5","498","15","18","17","21","4","1","3","29.10.12"
"051355","15","Вінницька область","сільський будинок культури, обрядова кімната
вул.Леніна, 8, с.Івашківці, Шаргородський р-н, Вінницька обл., 23516","1092","414","1066","84","598","80","678","","0","598","80","678","15","663","319","24","248","6","16","15","25","5","4","1","29.10.12"
"051356","15","Вінницька область","сільський будинок культури, актовий зал
вул.Пархоменка, 43, с.Калитинка, Шаргородський р-н, Вінницька обл., 23553","516","120","512","31","368","28","396","","0","368","28","396","5","391","92","10","258","5","5","11","6","1","1","2","28.10.12"
"051357","15","Вінницька область","будинок культури, актовий зал
вул.Леніна, 3, с.Покутине, Шаргородський р-н, Вінницька обл., 23554","510","151","498","25","334","25","359","","0","334","25","359","6","353","141","14","168","4","7","10","5","2","1","1","29.10.12"
"051358","15","Вінницька область","Козлівська школа, хол
вул.Молодіжна, 2, с.Козлівка, Шаргородський р-н, Вінницька обл., 23514","798","246","793","32","522","30","552","","0","522","30","552","15","537","134","13","283","6","10","13","71","2","3","2","29.10.12"
"051359","15","Вінницька область","сільський будинок культури, хол
вул.Леніна, 21, с.Конатківці, Шаргородський р-н, Вінницька обл., 23517","600","219","586","26","358","23","381","","0","358","23","381","8","373","177","11","113","13","14","17","13","5","9","1","28.10.12"
"051360","15","Вінницька область","сільський будинок культури, глядацький зал
вул.Леніна, 67, с.Копистирин, Шаргородський р-н, Вінницька обл., 23526","642","208","644","57","379","55","434","","0","379","55","434","16","418","183","6","185","5","7","14","8","5","2","3","29.10.12"
"051361","15","Вінницька область","сільський будинок культури, хол
вул.Вишнева, 88, с.Клекотина, Шаргородський р-н, Вінницька обл., 23525","1674","703","1650","41","936","35","971","","0","936","35","971","45","926","261","88","243","75","22","54","142","12","19","10","28.10.12"
"051362","15","Вінницька область","Клекотинська школа, актовий зал
вул.Вишнева, 41, с.Клекотина, Шаргородський р-н, Вінницька обл., 23525","1092","471","1091","53","569","52","621","","0","569","52","621","28","593","190","68","179","25","14","33","67","4","6","7","28.10.12"
"051363","15","Вінницька область","Лозівський будинок культури, танцювальний зал
вул.Леніна, 165, с.Лозова, Шаргородський р-н, Вінницька обл., 23540","888","294","878","66","531","63","594","","0","531","63","594","31","563","256","17","223","8","8","24","23","0","3","1","29.10.12"
"051364","15","Вінницька область","Теклівський будинок культури, хол
вул.Комсомольська, 6, с.Теклівка, Шаргородський р-н, Вінницька обл., 23541","228","66","223","12","150","12","162","","0","150","12","162","8","154","72","3","64","5","1","1","7","0","1","0","29.10.12"
"051365","15","Вінницька область","Мурафська школа, хол
вул.Коцюбинського, 1А, с.Мурафа, Шаргородський р-н, Вінницька обл., 23530","2034","857","2024","52","1127","50","1177","","0","1127","50","1177","15","1162","215","82","554","45","21","49","163","10","12","11","29.10.12"
"051366","15","Вінницька область","Довжанська школа, приміщення для засідань
вул.Молодіжна, 1, с.Довжок, Шаргородський р-н, Вінницька обл., 23531","678","209","674","31","438","31","469","","0","438","31","469","19","450","160","8","208","16","14","25","13","1","2","3","29.10.12"
"051367","15","Вінницька область","сільський будинок культури, актовий зал
вул.Леніна, 47, с.Михайлівка, Шаргородський р-н, Вінницька обл., 23523","1332","555","1313","77","724","53","777","","0","724","53","777","31","746","269","17","341","18","16","28","43","1","4","9","29.10.12"
"051368","15","Вінницька область","сільський будинок культури, зал
вул.Жовтнева, 8, с.Носиківка, Шаргородський р-н, Вінницька обл., 23513","624","264","616","32","332","28","360","","0","332","28","360","10","350","112","2","208","4","10","8","3","1","1","1","29.10.12"
"051369","15","Вінницька область","сільський клуб, приміщення для засідань
вул.Карла Маркса, 16А, с.Андріївка, Шаргородський р-н, Вінницька обл., 23513","198","40","201","20","138","20","158","","0","138","20","158","3","155","45","14","82","2","2","0","8","1","0","1","29.10.12"
"051370","15","Вінницька область","сільський клуб, актовий зал
вул.Леніна, 50, с.Пасинки, Шаргородський р-н, Вінницька обл., 23520","576","184","566","37","357","35","392","","0","357","35","392","9","383","139","17","166","2","11","21","17","4","3","3","29.10.12"
"051371","15","Вінницька область","будинок культури, актовий зал
вул.Жовтнева, 10, с.Пеньківка, Шаргородський р-н, Вінницька обл., 23521","1674","772","1663","73","858","44","902","","0","858","44","902","39","863","365","22","316","16","21","45","48","9","8","13","30.10.12"
"051372","15","Вінницька область","клуб-бібліотека, читацький зал
вул.Кошового, 31, с.Бабина Долина, Шаргородський р-н, Вінницька обл., 23521","234","68","234","11","155","11","166","","0","155","11","166","8","158","80","3","45","4","9","2","6","4","2","3","28.10.12"
"051373","15","Вінницька область","сільський будинок культури, хол
вул.Леніна, 40, с.Перепільчинці, Шаргородський р-н, Вінницька обл., 23511","744","252","747","59","439","53","492","","0","439","53","492","14","478","217","12","204","1","10","7","24","0","0","3","29.10.12"
"051374","15","Вінницька область","сільський будинок культури, хол
вул.Леніна, 4, с.Писарівка, Шаргородський р-н, Вінницька обл., 23543","504","153","495","48","308","43","351","","0","308","43","351","9","342","139","2","150","4","13","20","7","1","5","1","29.10.12"
"051375","15","Вінницька область","будинок культури, танцювальний зал
вул.І Травня, 34, с.Плебанівка, Шаргородський р-н, Вінницька обл., 23510","1284","432","1288","43","817","35","852","","0","817","35","852","34","818","352","15","246","37","27","35","79","8","8","11","29.10.12"
"051376","15","Вінницька область","сільський клуб, зал
вул.Леніна, 30, с.Калинівка, Шаргородський р-н, Вінницька обл., 23510","264","87","261","16","163","14","177","","0","163","14","177","9","168","50","5","98","1","0","4","4","1","4","1","29.10.12"
"051377","15","Вінницька область","сільський будинок культури, обрядовий зал
вул.Суворова, 34, с.Політанки, Шаргородський р-н, Вінницька обл., 23542","534","155","533","57","327","52","379","","0","327","52","379","4","375","217","7","121","3","8","7","8","1","3","0","29.10.12"
"051378","15","Вінницька область","сільський будинок культури, танцювальний зал
вул.Леніна, 25А, с.Руданське, Шаргородський р-н, Вінницька обл., 23515","810","240","795","35","539","31","570","","0","539","31","570","13","557","417","9","110","0","4","8","4","1","2","2","29.10.12"
"051379","15","Вінницька область","сільський будинок культури, актовий зал
вул.Леніна, 92/2, с.Рахни-Лісові, Шаргородський р-н, Вінницька обл., 23536","1890","923","1874","18","949","18","967","","0","949","18","967","25","942","239","51","377","65","20","37","104","12","11","26","29.10.12"
"051380","15","Вінницька область","школа №1, коридор
вул.Макаренка, 3, с.Рахни-Лісові, Шаргородський р-н, Вінницька обл., 23536","1830","886","1817","8","940","4","944","","0","940","4","944","43","901","194","51","415","43","11","29","120","13","9","16","29.10.12"
"051381","15","Вінницька область","сільський будинок культури, хол
вул.Горького, 13, с.Садківці, Шаргородський р-н, Вінницька обл., 23555","414","144","413","29","250","20","270","","0","250","20","270","13","257","60","3","175","7","4","6","2","0","0","0","28.10.12"
"051382","15","Вінницька область","сільський клуб, глядацький зал
вул.Леніна, 148, с.Сапіжанка, Шаргородський р-н, Вінницька обл., 23556","726","281","724","26","423","22","445","","0","423","22","445","17","428","153","27","194","3","6","15","14","5","6","5","29.10.12"
"051383","15","Вінницька область","Слободо-Шаргородська школа, їдальня
вул.Першотравнева, 11, с.Слобода-Шаргородська, Шаргородський р-н, Вінницька обл., 23505","2088","916","2039","49","1132","40","1172","","0","1132","40","1172","41","1131","445","6","384","49","45","39","103","4","50","6","29.10.12"
"051384","15","Вінницька область","Буднянський навчально-виховний комплекс, їдальня
вул.Колгоспна, 3, с.Будне, Шаргородський р-н, Вінницька обл., 23505","432","132","426","35","268","32","300","","0","268","32","300","3","297","159","5","90","3","3","14","16","0","6","1","29.10.12"
"051385","15","Вінницька область","сільський клуб, приміщення для засідань
вул.Леніна, 21, с.Стрільники, Шаргородський р-н, Вінницька обл., 23534","702","251","688","18","433","18","451","","0","433","18","451","13","438","81","5","288","13","10","12","21","3","2","3","28.10.12"
"051386","15","Вінницька область","будинок культури, приміщення для засідань
вул.Коцюбинського, 40, с.Лопатинці, Шаргородський р-н, Вінницька обл., 23534","180","76","176","4","100","4","104","","0","100","4","104","1","103","17","0","69","1","2","8","2","2","1","1","29.10.12"
"051387","15","Вінницька область","сільський будинок культури, хол
вул.60-річчя Жовтня, 2, с.Федорівка, Шаргородський р-н, Вінницька обл., 23522","600","184","590","45","377","39","416","","0","377","39","416","9","407","117","9","220","4","3","27","12","0","13","2","29.10.12"
"051388","15","Вінницька область","сільський будинок культури, хол
вул.Івана Цурканя, 25, с.Хоменки, Шаргородський р-н, Вінницька обл., 23544","1770","718","1756","55","1000","52","1052","","0","1000","52","1052","32","1020","491","8","404","12","12","33","50","2","3","5","29.10.12"
"051389","15","Вінницька область","сільська рада, зал
вул.Леніна, 34А, с.Юліямпіль, Шаргородський р-н, Вінницька обл., 23550","138","38","135","11","89","11","100","","0","89","11","100","2","98","20","1","64","0","3","5","4","1","0","0","29.10.12"
"051390","15","Вінницька область","сільський будинок культури, зал
вул.Садова, 1, с.Ярове, Шаргородський р-н, Вінницька обл., 23550","312","21","313","22","269","22","291","","0","269","22","291","0","291","2","0","284","0","0","4","1","0","0","0","28.10.12"
"051391","15","Вінницька область","сільський будинок культури, зал
вул.Леніна, 1А, с.Юхимівка, Шаргородський р-н, Вінницький обл., 23524","846","283","842","45","521","42","563","","0","521","42","563","17","546","135","12","310","14","11","19","24","2","14","5","28.10.12"
"051392","15","Вінницька область","районний будинок культури, хол
вул.Леніна, 217, м.Шаргород, Шаргородський р-н, Вінницька обл., 23500","1650","693","1630","17","943","14","957","","0","943","14","957","24","933","274","22","378","54","13","29","114","10","35","4","29.10.12"
"051393","15","Вінницька область","спортивний комплекс, спортивний зал
вул. Леніна, 272У, м.Шаргород, Шаргородський р-н, Вінницька обл., 23500","1416","526","1393","7","883","7","890","","0","883","7","890","29","861","260","9","346","61","16","25","109","2","27","6","28.10.12"
"051394","15","Вінницька область","Шаргородська школа №2, спортивний зал
вул.Леніна, 373, м.Шаргород, Шаргородський р-н, Вінницька обл., 23500","2424","970","2373","71","1398","56","1454","","0","1398","56","1454","18","1436","447","84","523","87","27","38","79","4","139","8","29.10.12"
"051395","15","Вінницька область","Шаргородська центральна районна лікарня, коридор
вул.Пархоменка, 9, м.Шаргород, Шаргородський р-н, Вінницька обл., 23500","228","100","141","29","100","28","128","","0","100","28","128","4","124","32","3","75","4","3","3","1","1","2","0","28.10.12"
