"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Борисюк
Тарас
Григорович","Гайдаєв
Юрій
Олександрович","Герасимова
Ірина
Дмитрівна","Добруцький
Ігор
Ігорович","Зубко
Ігор
Миколайович","Кавунець
Андрій
Володимирович","Катеринчук
Микола
Дмитрович","Климчук
Олександр
Миколайович","Коваль
Тарас
Іванович","Негруб
Микола
Іванович","Оніщенко
Сергій
Вікторович","Палій
Ліна
Миколаївна","Сусла
Василь
Станіславович","Черній
Василь
Васильович","Шепелев
Олександр
Олександрович","Юрчишин
Петро
Васильович","Яремчук
Юрій
Якович","Дата підписання протоколу"
"051217","13","Вінницька область","сільська рада, зал
вул.8 Березня, 1, с.Великий Острожок, Хмільницький р-н, Вінницька обл., 22040","360","112","356","16","233","15","248","","0","233","15","248","6","242","0","9","0","0","7","1","186","1","0","0","0","1","0","4","3","29","1","29.10.12"
"051218","13","Вінницька область","сільський клуб, зал
вул.Поштова, 12, с.Вишенька, Хмільницький р-н, Вінницька обл., 22041","516","230","509","0","286","0","286","","0","286","0","286","10","276","1","10","0","1","5","1","193","3","0","0","0","0","0","2","9","49","2","28.10.12"
"051219","13","Вінницька область","фельдшерсько-акушерський пункт, хол
вул.Польська, 3, с.Малий Острожок, Хмільницький р-н, Вінницька обл., 22041","60","21","59","0","39","0","39","","0","39","0","39","0","39","0","3","0","1","0","0","30","0","0","0","0","0","0","0","0","5","0","28.10.12"
"051220","13","Вінницька область","школа, хол
вул.Миру, 50А, с.Голодьки, Хмільницький р-н, Вінницька обл., 22084","692","250","692","12","430","12","442","","0","430","12","442","2","440","1","19","0","2","20","1","248","1","2","0","0","1","0","2","6","135","2","28.10.12"
"051221","13","Вінницька область","сільський клуб, зал
вул.Шевченка, 55А, с.Стара Гута, Хмільницький р-н, Вінницька обл., 22084","260","75","255","0","185","0","185","","0","185","0","185","3","182","0","16","0","5","1","1","79","1","0","0","0","0","0","1","0","76","2","29.10.12"
"051222","13","Вінницька область","будинок культури, зал
вул.Заводська, 2А, с.Жданівка, Хмільницький р-н, Вінницька обл., 22050","1560","849","1547","17","695","16","711","","0","695","16","711","20","691","1","57","2","4","22","10","390","2","3","0","1","2","0","6","2","189","0","29.10.12"
"051223","13","Вінницька область","сільський клуб, зал
вул.Шкільна, 4, с.Дібрівка, Хмільницький р-н, Вінницька обл., 22051","468","213","466","6","249","6","255","","0","249","6","255","11","244","1","11","2","1","14","2","142","3","4","1","0","1","1","0","2","59","0","28.10.12"
"051224","13","Вінницька область","сільська рада, зал
вул.Миру, 14, с.Качанівка, Хмільницький р-н, Вінницька обл., 22015","988","486","974","24","481","21","502","","0","481","21","502","7","495","1","46","1","7","16","3","309","4","0","0","1","1","0","4","3","99","0","29.10.12"
"051225","13","Вінницька область","школа, хол
вул.Івана Франка, 11, с.Семки, Хмільницький р-н, Вінницька обл., 22016","436","198","427","14","227","11","238","","0","227","11","238","1","237","1","14","3","1","1","1","148","4","0","0","1","1","0","3","0","58","1","29.10.12"
"051226","13","Вінницька область","молодіжний центр, зал
вул.Гагаріна, 45А, с.Кривошиї, Хмільницький р-н, Вінницька обл., 22073","348","122","345","14","212","14","226","","0","212","14","226","12","214","0","15","1","0","1","2","127","4","0","1","0","0","0","6","2","53","2","29.10.12"
"051227","13","Вінницька область","школа, зал
вул.Поштова, 1А, с.Колибабинці, Хмільницький р-н, Вінницька обл., 22072","392","142","390","8","242","8","250","","0","242","8","250","4","246","2","1","0","1","0","0","60","0","0","0","0","0","0","4","1","177","0","29.10.12"
"051228","13","Вінницька область","Прат ""Зернопродукт"", зал
вул.Привокзальна, 1, с.Крижанівка, Хмільницький р-н, Вінницька обл., 22042","40","17","39","1","22","1","23","","0","22","1","23","2","21","0","1","0","0","0","0","11","0","0","0","0","0","0","0","0","6","3","29.10.12"
"051229","13","Вінницька область","сільський клуб, зал
вул.Крамнична, 11А, с.Слобода-Кустовецька, Хмільницький р-н, Вінницька обл., 22042","152","50","148","1","101","1","102","","0","101","1","102","3","99","0","4","0","0","2","3","53","0","0","0","0","0","0","4","0","32","1","29.10.12"
"051230","13","Вінницька область","школа, хол, зал
вул.Шкільна, 2, с.Осична, Хмільницький р-н, Вінницька обл., 22042","156","48","152","0","108","0","108","","0","108","0","108","2","106","0","4","0","2","1","1","39","2","0","0","0","1","0","2","4","49","1","28.10.12"
"051231","13","Вінницька область","школа, хол, зал
вул.Гагаріна, 6, с.Кропивна, Хмільницький р-н, Вінницька обл., 22026","328","83","325","33","213","32","245","","0","213","32","245","5","240","0","21","0","3","3","3","168","2","1","2","1","0","0","4","2","30","0","28.10.12"
"051232","13","Вінницька область","школа, зал
вул.1-го Травня, 50, с.Ступник, Хмільницький р-н, Вінницька обл., 22026","236","66","232","19","155","15","170","","0","155","15","170","2","168","1","9","0","0","12","4","109","2","10","0","1","1","0","8","1","10","0","28.10.12"
"051233","13","Вінницька область","школа, хол, зал
вул.Стельмаха, 1, с.Клітенка, Хмільницький р-н, Вінницька обл., 22026","216","69","214","13","134","13","147","","0","134","13","147","5","142","1","3","0","1","2","5","104","2","0","0","1","0","1","2","2","15","3","28.10.12"
"051234","13","Вінницька область","школа, хол, зал
вул.Кошового, 1А, с.Куманівці, Хмільницький р-н, Вінницька обл., 22053","504","160","502","21","325","19","344","","0","325","19","344","5","339","0","5","1","1","5","4","185","3","1","2","0","1","0","2","6","121","2","28.10.12"
"051235","13","Вінницька область","сільський клуб, зал
вул.Коцюбинського, 2, с.Кустівці, Хмільницький р-н, Вінницька обл., 22081","260","102","257","21","138","20","158","","0","138","20","158","2","156","1","15","1","1","1","4","101","1","0","0","0","0","0","4","2","24","1","29.10.12"
"051236","13","Вінницька область","сільський клуб, зал
вул.Леніна, 2, с.Рогинці, Хмільницький р-н, Вінницька обл., 22044","240","60","236","23","158","22","180","","0","158","22","180","2","178","0","2","0","1","1","3","151","4","0","1","0","0","0","2","3","10","0","29.10.12"
"051237","13","Вінницька область","школа, хол, клас 1
вул.Леніна, 23Б, с.Лелітка, Хмільницький р-н, Вінницька обл., 22008","712","274","707","18","425","13","438","","0","425","13","438","13","425","0","10","0","2","16","1","215","1","3","0","2","1","1","1","3","169","0","28.10.12"
"051238","13","Вінницька область","школа, зал
вул.Радянська, 2, с.Лип’ятин, Хмільницький р-н, Вінницька обл., 22020","392","109","381","10","274","9","283","","0","274","9","283","3","280","0","2","0","2","2","2","222","0","0","0","1","1","0","2","1","45","0","29.10.12"
"051239","13","Вінницька область","фельдшерсько-акушерський пункт, хол, кабінет медсестри
вул.Радісна, 34А, с.Чеснівка, Хмільницький р-н, Вінницька обл., 22020","188","58","185","3","127","3","130","","0","127","3","130","6","124","0","14","0","0","7","2","83","1","0","0","0","0","0","4","2","11","0","28.10.12"
"051240","13","Вінницька область","сільський клуб, хол
вул.Леніна, 25, с.Морозівка, Хмільницький р-н, Вінницька обл., 22021","380","113","375","15","252","15","267","","0","252","15","267","6","261","0","16","2","0","13","2","138","3","0","0","0","0","0","2","5","80","0","29.10.12"
"051241","13","Вінницька область","школа, хол
вул.Дачна, 5А, с.Лозова, Хмільницький р-н, Вінницька обл., 22054","172","57","169","2","113","2","115","","0","113","2","115","1","114","0","2","1","1","25","0","65","1","0","0","0","0","1","1","0","16","1","28.10.12"
"051242","13","Вінницька область","школа, зал
вул.Чкалова, 10А, с.Вугли, Хмільницький р-н, Вінницька обл., 22054","240","78","235","0","162","0","162","","0","162","0","162","5","157","0","6","0","1","7","3","90","2","0","0","0","0","0","2","2","43","1","28.10.12"
"051243","13","Вінницька область","сільський клуб, зал
вул.В.Стуса, 25А, с.Педоси, Хмільницький р-н, Вінницька обл., 22054","168","56","166","3","109","3","112","","0","109","3","112","3","109","0","14","1","0","0","0","73","1","0","1","0","0","0","4","1","14","0","31.10.12"
"051244","13","Вінницька область","сільський клуб, зал
вул.Шевченка, 3А, с.Думенки, Хмільницький р-н, Вінницька обл., 22055","304","103","301","8","193","8","201","","0","193","8","201","7","194","1","20","0","2","0","2","118","3","0","0","0","0","0","0","0","48","0","29.10.12"
"051245","13","Вінницька область","школа, зал
вул.Шкільна, 4, с.Лозна, Хмільницький р-н, Вінницька обл., 22045","508","209","504","47","255","44","299","","0","255","44","299","3","296","0","10","1","0","0","0","191","0","0","1","0","1","0","1","2","89","0","29.10.12"
"051246","13","Вінницька область","сільський клуб, зал
вул.Шкільна, 1, с.Хутори-Кривошиїнецькі, Хмільницький р-н, Вінницька обл., 22045","280","108","277","0","172","0","172","","0","172","0","172","5","167","1","8","0","0","2","3","116","2","0","0","1","0","0","6","0","28","0","31.10.12"
"051247","13","Вінницька область","сільський клуб, зал
вул.Леніна, 14, с.Маркуші, Хмільницький р-н, Вінницька обл., 22030","504","158","498","27","323","23","346","","0","323","23","346","15","331","1","91","1","0","6","0","171","0","0","2","1","0","0","4","2","50","2","29.10.12"
"051248","13","Вінницька область","сільська бібліотека, читальний зал
вул.Леніна, 1, с.Митинці, Хмільницький р-н, Вінницька обл., 22030","236","95","232","16","128","13","141","","0","128","13","141","6","135","1","21","1","2","3","2","82","1","1","0","0","0","1","1","0","19","0","28.10.12"
"051249","13","Вінницька область","сільський клуб, зал
вул.Леніна, 48, с.Мар’янівка, Хмільницький р-н, Вінницька обл., 22010","288","89","286","5","194","5","199","","0","194","5","199","4","195","0","15","1","0","1","2","145","0","0","1","0","0","0","1","2","25","2","28.10.12"
"051250","13","Вінницька область","сільський клуб, зал
вул.Щорса, 15, с.Лісогірка, Хмільницький р-н, Вінницька обл., 22010","140","42","140","3","95","3","98","","0","95","3","98","3","95","0","9","0","1","3","2","66","0","0","0","0","1","0","0","0","12","1","28.10.12"
"051251","13","Вінницька область","сільський клуб, зал
вул.1-го Травня, 25, с.Червона Володимирівка, Хмільницький р-н, Вінницька обл., 22010","92","25","91","2","65","2","67","","0","65","2","67","4","63","2","3","1","2","1","2","31","0","0","0","0","0","0","3","0","18","0","28.10.12"
"051252","13","Вінницька область","сільська рада, зал
вул.Леніна, 20, с.Петриківці, Хмільницький р-н, Вінницька обл., 22023","332","108","325","13","213","11","224","","0","213","11","224","3","221","0","3","1","1","6","3","156","1","0","0","0","0","1","2","0","42","5","28.10.12"
"051253","13","Вінницька область","школа, зал
вул.Леніна, 7, с.Подорожня, Хмільницький р-н, Вінницька обл., 22024","204","57","209","0","147","0","147","","0","147","0","147","3","144","0","34","1","2","0","1","83","2","0","0","0","0","0","1","2","17","1","28.10.12"
"051254","13","Вінницька область","школа, хол
вул.Шевченка, 15, с.Сміла, Хмільницький р-н, Вінницька обл., 22023","232","100","229","6","127","5","132","","0","127","5","132","4","128","1","17","1","1","1","1","95","0","0","0","0","1","0","2","0","8","0","28.10.12"
"051255","13","Вінницька область","будинок культури, зал
вул.Леніна, 70А, с.Порик, Хмільницький р-н, Вінницька обл., 22066","456","125","456","15","316","15","331","","0","316","15","331","6","325","0","43","0","1","3","1","195","1","3","0","0","0","0","6","3","69","0","28.10.12"
"051256","13","Вінницька область","сільський клуб, зал
вул.Гагаріна, 67Б, с.Порик, Хмільницький р-н, Вінницька обл., 22066","332","133","327","13","186","13","199","","0","186","13","199","7","192","0","11","2","0","3","5","125","0","1","0","1","1","0","1","4","35","3","28.10.12"
"051257","13","Вінницька область","сільський клуб, зал
вул.Кошового, 131В, с.Курилівка, Хмільницький р-н, Вінницька обл., 22068","564","206","555","11","347","11","358","","0","347","11","358","8","350","0","39","0","1","7","3","244","2","1","0","0","1","0","3","0","47","2","28.10.12"
"051258","13","Вінницька область","школа, хол
вул.І.Богуна, 16, с.Томашпіль, Хмільницький р-н, Вінницька обл., 22067","416","135","410","6","276","5","281","","0","276","5","281","10","271","1","2","0","0","1","1","68","2","0","0","0","0","0","2","0","194","0","28.10.12"
"051259","13","Вінницька область","сільський клуб, зал
вул.Леніна, 152Б, с.Пустовійти, Хмільницький р-н, Вінницька обл., 22036","396","131","394","24","241","24","265","","0","241","24","265","3","262","0","3","2","2","4","5","174","1","0","0","1","1","0","1","1","65","2","28.10.12"
"051260","13","Вінницька область","школа, хол
вул.Шевченка, 141А, с.Зозулинці, Хмільницький р-н, Вінницька обл., 22036","336","124","328","18","197","15","212","","0","197","15","212","0","212","1","4","2","3","3","1","127","0","0","1","0","0","1","13","4","49","3","29.10.12"
"051261","13","Вінницька область","школа, хол
вул.Шкільна, 79, с.Чернятинці, Хмільницький р-н, Вінницька обл., 22036","268","72","251","15","182","14","196","","0","182","14","196","5","191","0","9","1","3","4","2","120","3","0","0","0","1","0","1","3","44","0","29.10.12"
"051262","13","Вінницька область","школа, хол, зал
вул.Леніна, 89, с.Рибчинці, Хмільницький р-н, Вінницька обл., 22031","412","134","409","21","259","19","278","","0","259","19","278","3","275","1","15","1","4","28","1","157","4","0","0","0","1","0","1","3","57","2","31.10.12"
"051263","13","Вінницька область","сільська рада, зал
вул.Колгоспна, 1, с.Рибчинці, Хмільницький р-н, Вінницька обл., 22031","420","137","415","28","256","27","283","","0","256","27","283","4","279","0","5","3","2","33","4","152","3","2","0","0","1","0","10","4","59","1","30.10.12"
"051264","13","Вінницька область","сільська рада, зал
вул.Леніна, 38, с.Сальниця, Хмільницький р-н, Вінницька обл., 22022","776","315","769","6","455","6","461","","0","455","6","461","14","447","1","19","0","3","20","2","342","5","0","0","0","0","0","5","2","45","3","29.10.12"
"051265","13","Вінницька область","школа, зал
вул.Леніна, 52, с.Сальниця, Хмільницький р-н, Вінницька обл., 22022","816","282","811","3","531","3","534","","0","531","3","534","7","527","1","8","0","3","68","7","358","0","0","0","1","0","0","8","5","67","1","28.10.12"
"051266","13","Вінницька область","магазин ССТ, торгівельний зал
вул.Леніна, 11, с.Гнатівка, Хмільницький р-н, Вінницька обл., 22082","200","66","192","4","130","4","134","","0","130","4","134","8","126","1","5","1","1","8","3","82","0","0","0","1","0","0","2","1","19","2","28.10.12"
"051267","13","Вінницька область","будинок культури, зал
вул.Парсяка, 10, с.Скаржинці, Хмільницький р-н, Вінницька обл., 22011","436","144","434","21","271","21","292","","0","271","21","292","6","286","3","21","1","1","1","2","160","2","0","0","0","0","1","0","3","90","1","29.10.12"
"051268","13","Вінницька область","сільський клуб, зал
вул.Гагаріна, 100, с.Соколова, Хмільницький р-н, Вінницька обл., 22009","580","143","571","13","424","13","437","","0","424","13","437","7","430","0","7","0","2","7","2","135","2","1","0","1","1","1","3","3","264","1","29.10.12"
"051269","13","Вінницька область","сільська рада, зал
вул.Л.Українки, 27, с.Сулківка, Хмільницький р-н, Вінницька обл., 22013","264","93","263","23","149","22","171","","0","149","22","171","7","164","0","26","1","0","13","0","100","0","0","0","1","1","0","5","0","17","0","28.10.12"
"051270","13","Вінницька область","школа, хол, зал
вул.Коцюбинського, 8, с.Торчин, Хмільницький р-н, Вінницька обл., 22013","216","70","219","1","145","1","146","","0","145","1","146","4","142","1","28","3","0","2","5","69","1","0","0","1","0","0","1","3","27","1","28.10.12"
"051271","13","Вінницька область","сільський клуб, зал
вул.Шкільна, 2, с.Сьомаки, Хмільницький р-н, Вінницька обл., 22070","424","118","420","5","302","4","306","","0","302","4","306","5","301","0","23","0","1","0","49","0","0","0","0","0","2","0","4","3","218","1","28.10.12"
"051272","13","Вінницька область","сільський клуб, зал
пров.Шкільний, 6, с.Сербанівка, Хмільницький р-н, Вінницька обл., 22070","244","97","240","1","146","1","147","","0","146","1","147","1","146","0","2","0","0","0","0","21","0","0","0","0","0","1","2","2","118","0","28.10.12"
"051273","13","Вінницька область","сільський клуб, зал
вул.Леніна, 39А, с.Білий Рукав, Хмільницький р-н, Вінницька обл., 22071","456","142","451","4","310","4","314","","0","310","4","314","6","308","2","14","0","1","2","4","241","1","0","0","0","1","1","1","2","37","1","28.10.12"
"051274","13","Вінницька область","сільська рада, зал
вул.Леніна, 1, с.Терешпіль, Хмільницький р-н, Вінницька обл., 22014","488","202","480","26","266","20","286","","0","266","20","286","7","279","0","2","1","2","4","1","179","1","1","0","0","3","0","10","0","72","3","28.10.12"
"051275","13","Вінницька область","сільська бібліотека, читальний зал
вул.Калініна, 10, с.Держанівка, Хмільницький р-н, Вінницька обл., 22014","112","32","110","5","77","3","80","","0","77","3","80","2","78","0","9","0","0","0","0","50","0","0","0","0","1","0","4","0","12","2","28.10.12"
"051276","13","Вінницька область","будинок культури, зал
вул.Миру, 7, с.Уланів, Хмільницький р-н, Вінницька обл., 22032","1396","504","1383","49","845","47","892","","0","845","47","892","13","879","0","64","5","5","47","9","548","2","2","2","0","1","1","18","0","169","6","29.10.12"
"051277","13","Вінницька область","школа естетичного виховання, зал
вул.Леніна, 51, с.Уланів, Хмільницький р-н, Вінницька обл., 22032","952","360","893","52","545","47","592","","0","545","47","592","7","585","0","42","1","3","37","8","355","5","2","2","0","3","1","10","3","111","2","29.10.12"
"051278","13","Вінницька область","сільський клуб, зал
вул.Шкільна, 2, с.Воронівці, Хмільницький р-н, Вінницька обл., 22034","516","153","512","58","307","56","363","","0","307","56","363","7","356","1","12","1","0","10","2","233","1","1","0","0","1","0","6","6","80","2","28.10.12"
"051279","13","Вінницька область","школа, зал
вул.Леніна, 26, с.Пагурці, Хмільницький р-н, Вінницька обл., 22035","404","136","398","29","241","27","268","","0","241","27","268","3","265","0","13","1","0","7","1","164","1","1","0","0","0","1","1","1","72","2","29.10.12"
"051280","13","Вінницька область","школа, зал
вул.Шкільна, 24, с.Тараски, Хмільницький р-н, Вінницька обл., 22033","352","123","352","19","212","17","229","","0","212","17","229","10","219","0","21","0","0","5","3","173","2","0","0","0","0","0","3","0","10","2","28.10.12"
"051281","13","Вінницька область","магазин ССТ, торгівельний зал
вул.Коцюбинського, 2А, с.Чепелі, Хмільницький р-н, Вінницька обл., 22032","144","50","140","10","84","10","94","","0","84","10","94","2","92","1","0","1","0","6","1","72","0","0","0","0","0","1","2","1","7","0","28.10.12"
"051282","13","Вінницька область","школа, зал
вул.Леніна, 75, с.Широка Гребля, Хмільницький р-н, Вінницька обл., 22065","916","393","914","2","521","2","523","","0","521","2","523","6","517","2","61","3","10","17","6","287","9","1","0","0","0","1","12","7","100","1","28.10.12"
"051283","13","Вінницька область","сільська рада, зал
вул.Першотравнева, 80, с.Широка Гребля, Хмільницький р-н, Вінницька обл., 22065","584","263","581","10","311","10","321","","0","311","10","321","12","309","1","39","1","10","5","0","164","1","0","1","0","0","0","0","5","82","0","29.10.12"
"051284","13","Вінницька область","районна лікарня, хол
вул.Миру, 4, с.Уланів, Хмільницький р-н, Вінницька обл., 22032","40","25","16","0","15","0","15","","0","15","0","15","0","15","0","1","0","0","0","0","11","0","0","0","0","0","0","1","0","1","1","28.10.12"
"051608","13","Вінницька область","школа №1, їдальня
вул.Винниченка, 29, м.Козятин, Вінницька обл., 22100","2168","884","2132","37","1254","30","1284","","0","1254","30","1284","29","1255","0","101","6","4","103","24","906","6","4","2","2","4","0","9","4","75","5","29.10.12"
"051609","13","Вінницька область","міський будинок культури, хол
вул.Леніна, 22, м.Козятин, Вінницька обл., 22100","1924","726","1880","17","1183","15","1198","","0","1183","15","1198","21","1177","1","102","2","6","72","19","857","3","3","6","0","3","0","10","3","83","7","29.10.12"
"051610","13","Вінницька область","ліцей, спортзал
вул.Червоноармійська, 57, м.Козятин, Вінницька обл., 22100","1700","672","1660","41","994","34","1028","","0","994","34","1028","19","1009","2","70","3","5","67","13","776","5","3","0","0","2","1","8","2","44","8","29.10.12"
"051611","13","Вінницька область","школа №4, хол
вул.Котовського, 20, м.Козятин, Вінницька обл., 22100","1848","670","1815","34","1152","26","1178","","0","1152","26","1178","35","1143","0","88","3","2","94","14","799","2","1","1","0","1","2","21","7","103","5","29.10.12"
"051612","13","Вінницька область","школа №2, актова зала
вул.Леніна, 2, м.Козятин, Вінницька обл., 22100","2044","795","2016","26","1230","19","1249","","0","1230","19","1249","26","1223","5","106","3","3","85","26","876","2","6","3","0","4","1","7","4","86","6","29.10.12"
"051613","13","Вінницька область","школа №6, хол
вул.Дружби, 55, смт Залізничне, м.Козятин, Вінницька обл., 22131","700","261","698","11","428","11","439","","0","428","11","439","7","432","1","6","4","1","41","7","295","5","0","1","2","2","1","14","3","47","2","29.10.12"
"051614","13","Вінницька область","школа №5, коридор, 2-й поверх
вул.Боженка, 4, м.Козятин, Вінницька обл., 22100","1660","686","1660","26","953","21","974","","0","953","21","974","27","947","1","49","2","4","75","13","714","6","6","0","0","4","1","15","3","51","3","29.10.12"
"051615","13","Вінницька область","школа №3, хол, 2-й поверх
вул.Матросова, 41, м.Козятин, Вінницька обл., 22100","1544","625","1528","31","897","22","919","","0","897","22","919","27","892","0","73","2","3","122","21","567","3","5","3","0","3","0","6","5","73","6","29.10.12"
"051616","13","Вінницька область","дирекція залізничних перевезень, зал засідань
вул.Васьковського, 8, м.Козятин, Вінницька обл., 22100","1168","513","1160","17","643","12","655","","0","643","12","655","19","636","1","59","2","3","61","6","419","5","2","2","0","3","0","3","1","61","8","29.10.12"
"051617","13","Вінницька область","дистанція сигналізації та зв’язку, актова зала
вул.Васьковського, 10, м.Козятин, Вінницька обл., 22100","1156","489","1125","18","650","17","667","","0","650","17","667","10","657","3","45","2","4","35","16","485","3","2","0","0","2","0","7","5","44","4","29.10.12"
"051618","13","Вінницька область","спортивний клуб ""Молодіжний"", зал для занять
вул.І.Франка, 2, м.Козятин, Вінницька обл., 22100","984","364","974","23","598","22","620","","0","598","22","620","13","607","1","28","3","1","37","8","481","6","2","1","2","0","0","6","4","25","2","29.10.12"
"051619","13","Вінницька область","управління газового господарства, кабінет
вул.Кондрацького, 2, м.Козятин, Вінницька обл., 22100","664","300","653","6","359","5","364","","0","359","5","364","5","359","0","27","1","1","23","4","280","0","0","0","1","0","0","6","0","14","2","29.10.12"
"051620","13","Вінницька область","Козятинське міжрегіональне вище професійне училище залізничного транспорту, хол
вул.Катукова, 44, м.Козятин, Вінницька обл., 22100","2200","847","2186","9","1347","6","1353","","0","1347","6","1353","17","1336","2","77","1","7","115","15","974","5","1","3","0","5","1","18","4","98","10","29.10.12"
"051621","13","Вінницька область","дитячо-юнацька спортивна школа, спортзал
вул.Олега Кошового, 38, м.Козятин, Вінницька обл., 22100","1708","748","1683","20","949","11","960","","0","949","11","960","23","937","2","69","5","5","64","13","718","5","2","0","0","1","3","10","2","33","5","29.10.12"
"051622","13","Вінницька область","Козятинська центральна районна лікарня, оргметодкабінет
вул.Червоноармійська, 75, м.Козятин, Вінницька обл., 22100","264","230","42","7","27","7","34","","0","27","7","34","1","33","0","5","0","0","2","0","22","0","0","0","0","1","0","0","0","3","0","28.10.12"
"051623","13","Вінницька область","відділкова лікарня станції Козятин, зимовий сад
вул.Винниченка, 9, м.Козятин, Вінницька обл., 22100","184","115","79","20","52","17","69","","0","52","17","69","5","64","0","4","0","0","4","4","34","0","0","0","0","0","0","4","0","12","2","30.10.12"
"051656","13","Вінницька область","ТОВ ""Укрпромексім"" (АТП-10511), актова зала, каб.25, 1-й поверх
вул.Василя Порика, 23, м.Хмільник, Вінницька обл., 22000","2276","934","2252","20","1327","15","1342","","0","1327","15","1342","15","1327","5","59","2","15","17","6","798","6","12","4","0","2","0","6","4","390","1","29.10.12"
"051657","13","Вінницька область","школа №2, їдальня, 1-й поверх
вул.Столярчука, 27, м.Хмільник, Вінницька обл., 22000","2048","769","2022","21","1261","18","1279","","0","1261","18","1279","22","1257","1","44","4","8","10","6","761","2","14","2","1","5","0","7","4","385","3","29.10.12"
"051658","13","Вінницька область","школа №1, актова зала, 1-й поверх
вул.Леніна, 62, м.Хмільник, Вінницька обл., 22000","2004","784","1977","26","1196","24","1220","","0","1196","24","1220","23","1197","1","52","2","15","30","6","736","7","11","1","1","1","2","7","6","316","3","30.10.12"
"051659","13","Вінницька область","школа №3, актова зала, 2-й поверх
вул.Некрасова, 2, м.Хмільник, Вінницька обл., 22000","2088","788","2083","18","1285","15","1300","","0","1285","15","1300","18","1282","2","56","1","30","36","5","745","2","13","1","1","3","0","3","0","379","5","28.10.12"
"051660","13","Вінницька область","школа естетичного виховання, концертно-виставковий зал
вул.Червоного козацтва, 24, м.Хмільник, Вінницька обл., 22000","1964","668","1949","17","1280","16","1296","","0","1280","16","1296","17","1279","0","62","4","25","21","6","700","5","12","3","0","1","0","1","5","432","2","29.10.12"
"051661","13","Вінницька область","районний Будинок культури, вестибюль
вул.Леніна, 12, м.Хмільник, Вінницька обл., 22000","2104","789","2082","21","1297","18","1315","","0","1297","18","1315","21","1294","0","72","1","8","18","4","796","4","14","0","0","1","0","6","5","361","4","29.10.12"
"051662","13","Вінницька область","дошкільний навчальний заклад №5, спортивний зал
вул.Кутузова, 5, м.Хмільник, Вінницька обл., 22000","2016","813","1983","11","1193","10","1203","","0","1193","10","1203","24","1179","0","38","1","7","24","12","631","5","8","4","0","1","0","2","6","437","3","29.10.12"
"051663","13","Вінницька область","школа №4, вестибюль
вул.1Травня, 39, м.Хмільник, Вінницька обл., 22000","1900","762","1859","17","1121","17","1138","","0","1121","17","1138","15","1123","1","33","2","10","9","8","682","5","17","2","0","0","0","9","7","336","2","29.10.12"
"051664","13","Вінницька область","Центральний клінічний військовий санаторій ""Хмільник"", клуб, танцювальний зал
вул.1Травня, 39, м.Хмільник, Вінницька обл., 22000","1988","702","1975","21","1270","16","1286","","0","1270","16","1286","15","1271","1","49","0","12","13","6","727","3","10","1","0","5","1","12","0","430","1","29.10.12"
"051665","13","Вінницька область","технічна школа ТСОУ, хол, 2-й поверх
вул.Кірова, 59, м.Хмільник, Вінницька обл., 22000","1528","580","1513","14","935","13","948","","0","935","13","948","9","939","0","32","1","8","22","5","553","1","2","1","0","2","1","6","2","302","1","29.10.12"
"051666","13","Вінницька область","ДП Клінічний санаторій ""Хмільник"", Палац культури, танцювальний зал, 2-й поверх
вул.Курортна, 2, м.Хмільник, Вінницька обл., 22003","248","97","246","1","150","1","151","","0","150","1","151","1","150","1","8","0","0","1","0","80","0","1","0","0","0","0","3","2","54","0","28.10.12"
"051667","13","Вінницька область","обласна фізіотерапевтична лікарня, хол клубу, 2-й поверх
вул.Шолом Алейхема, 8, м.Хмільник, Вінницька обл., 22000","256","240","24","0","16","0","16","","0","16","0","16","1","15","0","1","0","0","0","0","13","0","1","0","0","0","0","0","0","0","0","28.10.12"
"051668","13","Вінницька область","центральна районна лікарня, дитяче відділення, актова зала, 3-й поверх
вул.Кірова, 71, м.Хмільник, Вінницька обл., 22000","232","185","64","28","20","27","47","","0","20","27","47","1","46","0","4","0","1","1","1","28","0","0","0","0","1","0","1","0","9","0","28.10.12"
