"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Антемюк
Віктор
Дмитрович","Бевз
Валерій
Ананійович","Березовський
В’ячеслав
Миколайович","Добринська
Наталія
Володимирівна","Добровольський
Віталій
Олександрович","Домбровський
Олександр
Георгійович","Кулініч
Роман
Олександрович","Солейко
Наталія
Петрівна","Станіславенко
Людмила
Анатоліївна","Дата підписання протоколу"
"051518","11","Вінницька область","ЖЕК №7, актова зала
вул.600-річчя, 80, м.Вінниця, 21027","2232","838","2210","15","1382","12","1394","","0","0","0","1394","142","1252","29","165","24","70","43","365","11","337","208","03.11.12"
"051519","11","Вінницька область","електро-господарча служба ВТТУ, актова зала
вул.Келецька, 23, м.Вінниця, 21036","2136","907","2123","9","1221","8","1229","","0","1221","8","1229","26","1203","30","111","17","54","42","385","5","408","151","29.10.12"
"051520","11","Вінницька область","товариство ""Вікітан"", 1-й поверх, хол
вул.Л.Ратушної, 130, м.Вінниця, 21036","2204","944","2193","16","1250","10","1260","","0","0","0","1260","83","1177","36","113","20","54","29","468","12","283","162","03.11.12"
"051521","11","Вінницька область","товариство ""Поділля"", фойє
вул.30-річчя Перемоги, 16, м.Вінниця, 21100","1908","799","1877","10","1101","8","1109","","0","1101","8","1109","31","1078","27","72","13","36","45","321","8","398","158","29.10.12"
"051522","11","Вінницька область","спортклуб ""Крепиш"", актова зала
вул.Дачна, 7, м.Вінниця, 21037","2010","757","1987","12","1244","9","1253","","0","1244","9","1253","39","1214","30","97","19","43","41","399","10","407","168","29.10.12"
"051523","11","Вінницька область","Вінницький національний медичний університет імені М.І.Пирогова, лекційна зала
вул.Пирогова, 56, м.Вінниця, 21018","2100","790","2063","16","1297","13","1310","","0","1297","13","1310","24","1286","53","111","28","58","36","385","6","427","182","29.10.12"
"051524","11","Вінницька область","Вінницький національний медичний університет імені М.І.Пирогова, корп.6, хол
вул.Пирогова, 52, м.Вінниця, 21018","1506","660","1487","38","823","23","846","","0","823","23","846","22","824","20","61","16","28","31","260","13","288","107","29.10.12"
"051525","11","Вінницька область","товариство Вінницький регіональний ""Бізнес-центр"", актова зала
вул.Пирогова, 144, м.Вінниця, 21037","1386","697","1100","4","687","2","689","","0","687","2","689","16","673","21","53","8","20","27","280","5","175","84","29.10.12"
"051526","11","Вінницька область","Вінницький медичний коледж імені академіка Д.К.Заболотного, хол
вул.Пирогова, 57, м.Вінниця, 21037","2418","916","2410","9","1494","8","1502","","2","1494","8","1502","47","1455","43","134","33","76","50","477","13","433","196","29.10.12"
"051527","11","Вінницька область","Вінницький фінансово-економічний університет, корп.2, хол
вул.Пирогова, 71А, м.Вінниця, 21037","2160","866","2141","14","1281","13","1294","","0","1281","13","1294","39","1255","47","130","16","69","23","431","9","370","160","29.10.12"
"051528","11","Вінницька область","Вінницький обласний інститут післядипломної освіти педагогічних працівників, гуртожиток, актова зала
вул.Р.Скалецького, 33, м.Вінниця, 21018","2130","880","2109","15","1243","7","1250","","0","0","0","1250","36","1214","34","152","28","105","37","328","13","360","157","02.11.12"
"051529","11","Вінницька область","Вінницькі високовольтні електромережі, вестибюль
вул.Пирогова, 131, м.Вінниця, 21037","2292","1252","2264","12","1031","9","1040","","0","1031","9","1040","17","1023","28","112","16","46","28","349","3","294","147","29.10.12"
"051530","11","Вінницька область","Вінницький міжрегіональний центр реабілітації інвалідів, реабілітаційна зала
вул.Пирогова, 135А, м.Вінниця, 21100","2489","1076","2538","7","1409","4","1413","","0","1409","4","1413","28","1385","18","103","28","78","40","471","9","443","195","29.10.12"
"051531","11","Вінницька область","МКУП ""Міськсвітло"", 3-й поверх, фойє
вул.Р.Скалецького, 17, м.Вінниця, 21018","1692","686","1681","13","998","8","1006","","0","0","0","1006","184","799","25","102","24","43","35","298","6","138","128","03.11.12"
"051532","11","Вінницька область","школа №16, блок 3, хол
вул.Матроса Кішки, 30, м.Вінниця, 21018","2328","905","2314","18","1410","13","1423","","0","1410","13","1423","32","1391","34","143","37","70","58","389","9","469","182","29.10.12"
"051533","11","Вінницька область","школа №16, блок 2, ліве крило, хол
вул.Матроса Кішки, 30, м.Вінниця, 21018","2316","871","2287","27","1424","21","1445","","0","1423","21","1444","40","1404","43","160","29","65","36","401","9","495","166","29.10.12"
"051534","11","Вінницька область","військово-медичний клінічний центр Центрального регіону, клуб, зал хореографїі
вул.Свердлова, 185, м.Вінниця, 21018","2434","1033","2404","23","1379","22","1401","","0","0","0","1401","172","1229","40","111","30","61","45","436","13","305","188","03.11.12"
"051535","11","Вінницька область","бібліотека-філія №11, читальна зала
вул.Свердлова, 189, м.Вінниця, 21018","1818","698","1807","9","1113","7","1120","","46","0","0","1120","150","970","48","142","23","70","41","311","13","189","133","03.11.12"
"051536","11","Вінницька область","Головне управління статистики у Вінницькій області, вестибюль
вул.Хмельницьке шосе, 15, м.Вінниця, 21036","1974","730","1951","11","1235","9","1244","","0","1235","9","1244","23","1221","35","138","22","71","48","330","7","407","163","29.10.12"
"051537","11","Вінницька область","управління спільної комунальної власності територіальних громад Вінницької області, хол
вул.Хмельницьке шосе, 7, м.Вінниця, 21036","2316","1053","2416","4","1259","4","1263","","0","0","0","1263","126","1137","16","73","27","55","39","357","12","324","234","03.11.12"
"051538","11","Вінницька область","школа №4, фойє
вул.Гоголя, 18, м.Вінниця, 21018","1992","711","1988","31","1258","23","1281","","0","1258","23","1281","28","1253","30","188","31","84","47","349","16","360","148","29.10.12"
"051539","11","Вінницька область","школа №1, фойє
вул.Малиновського, 7, м.Вінниця, 21018","1597","521","1587","32","1049","27","1076","","0","1049","27","1076","33","1043","33","219","25","71","37","260","8","263","127","29.10.12"
"051540","11","Вінницька область","Вінницький торговельно-економічний інститут КНТЕУ, 1-й корпус, коридор
вул.Соборна, 87, м.Вінниця, 21050","2153","790","2136","21","1350","13","1363","","0","0","0","1363","50","1313","45","195","26","74","62","368","14","349","180","03.11.12"
"051541","11","Вінницька область","експоцентр Вінницької торгово-промислової палати, хол
вул.Соборна, 68, м.Вінниця, 21050","1986","793","1954","37","1172","21","1193","","0","0","0","1193","123","1033","30","196","22","108","37","310","4","188","138","03.11.12"
"051542","11","Вінницька область","Вінницьке училище культури і мистецтв, фойє
вул.Чкалова, 40, м.Вінниця, 21050","1740","793","1737","24","931","16","947","","2","929","16","945","17","928","24","84","22","59","49","302","11","265","112","29.10.12"
"051543","11","Вінницька область","школа №17, 2-й поверх, коридор
вул.Інтернаціональна, 2, м.Вінниця, 21050","2022","861","1996","30","1136","25","1161","","0","0","0","1161","33","1128","44","133","21","73","42","340","16","291","168","02.11.12"
"051544","11","Вінницька область","школа №36, хол актової зали
вул.Пирогова, 191, м.Вінниця, 21008","2056","785","2051","5","1266","5","1271","","0","0","0","1271","193","1078","56","88","27","43","34","355","3","272","200","03.11.12"
"051545","11","Вінницька область","Вінницький національний аграрний університет, бібліотека
вул.Сонячна, 3, м.Вінниця, 21008","1596","658","1597","16","927","11","938","","0","927","11","938","12","926","48","96","24","33","24","228","4","334","135","29.10.12"
"051546","11","Вінницька область","Вінницький національний аграрний університет, корп.2, ауд.2120
вул.Сонячна, 3, м.Вінниця, 21008","1590","702","1569","1","887","1","888","","0","887","1","888","27","861","32","75","26","78","32","224","20","159","215","29.10.12"
"051547","11","Вінницька область","клуб ""Сабарів"", фойє
вул.Черняховського, 78, м.Вінниця, 21037","1955","710","1937","35","1213","32","1245","","0","1213","32","1245","31","1214","34","86","12","46","61","433","9","359","174","29.10.12"
"051575","11","Вінницька область","Вінницький обласний клінічний ендокринологічний диспансер, клуб
вул.Мічуріна, 32, м.Вінниця, 21010","54","28","29","9","20","6","26","","0","20","6","26","0","26","1","4","0","8","2","4","0","4","3","29.10.12"
"051576","11","Вінницька область","міська клінічна лікарня №1, конференцзал
вул.Хмельницьке шосе, 96, м.Вінниця, 21029","306","132","190","46","130","44","174","","0","130","44","174","8","166","6","18","4","12","9","34","1","62","20","29.10.12"
"051577","11","Вінницька область","Вінницький міський клінічний пологовий будинок №1, лекційна зала
вул.Хмельницьке шосе, 98, м.Вінниця, 21029","72","18","57","0","54","0","54","","0","54","0","54","1","53","5","6","2","2","1","21","0","6","10","29.10.12"
"051578","11","Вінницька область","НДІ реабілітації інвалідів ВНМУ ім.М.І.Пирогова, вестибюль
вул.Хмельницьке шосе, 104, м.Вінниця, 21029","54","2","68","5","47","5","52","","0","47","5","52","1","51","2","5","1","4","4","9","0","22","4","29.10.12"
"051579","11","Вінницька область","Вінницький обласний клінічний онкологічний диспансер, актова зала
вул.Хмельницьке шосе, 84, м.Вінниця, 21021","102","0","115","27","75","27","102","","0","75","27","102","5","97","5","7","3","27","7","32","1","12","3","29.10.12"
"051580","11","Вінницька область","Вінницька обласна дитяча клінічна лікарня, актова зала
вул.Хмельницьке шосе, 108, м.Вінниця, 21029","204","67","159","0","137","0","137","","0","137","0","137","1","136","4","4","1","19","8","61","2","27","10","29.10.12"
"051581","11","Вінницька область","Вінницька обласна психоневрологічна лікарня, актова зала
вул.Пирогова, 109, м.Вінниця, 21005","1212","672","601","218","346","194","540","","0","346","194","540","77","463","39","49","21","66","55","134","9","57","33","29.10.12"
"051582","11","Вінницька область","Вінницький обласний клінічний госпіталь для інвалідів ВВв, кімната відпочинку
вул.Пирогова, 109А, м.Вінниця, 21005","252","21","240","24","208","23","231","","0","208","23","231","11","220","10","29","5","42","17","43","4","57","13","30.10.12"
"051583","11","Вінницька область","Вінницький обласний наркодиспансер ""Соціотерапія"", актова зала водійської комісії
вул.Пирогова, 109В, м.Вінниця, 21037","204","51","159","0","153","0","153","","0","153","0","153","12","141","14","10","1","19","8","36","6","42","5","29.10.12"
"051584","11","Вінницька область","обласна клінічна лікарня ім.М.І.Пирогова, актова зала
вул.Пирогова, 46, м.Вінниця, 21018","204","8","317","147","118","78","196","","0","118","78","196","11","185","8","18","6","12","15","50","3","54","19","29.10.12"
"051585","11","Вінницька область","обласний диспансер радіаційного захисту, актова зала
вул.В.Стуса, 11, м.Вінниця, 21018","102","79","25","2","21","2","23","","0","0","0","23","1","22","0","2","0","5","0","13","0","2","0","03.11.12"
"051586","11","Вінницька область","обласний шкірвендиспансер, оргметодкабінет
вул.Першотравнева, 21, м.Вінниця, 21050","102","16","103","0","86","0","86","","0","86","0","86","4","82","5","6","0","26","4","25","0","6","10","29.10.12"
