"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бойдаченко
Антон
Павлович","Волковський
Володимир
Григорович","Заболотний
Григорій
Михайлович","Капітан
Олександр
Олександрович","Кирилюк
Максим
Анатолійович","Кольцов
Микола
Гнатович","Кучер
Микола
Іванович","Мальченко
Олександр
Андрійович","Мельник
Юрій
Іванович","Попенко
Ігор
Петрович","Чумак
Сергій
Вікторович","Дата підписання протоколу"
"051011","17","Вінницька область","сільський клуб, зала
вул.Щорса, 33, с.Кожухівка, Теплицький р-н, Вінницька обл., 23851","186","38","188","30","119","29","148","","0","119","29","148","2","146","7","0","77","4","1","0","54","0","1","0","2","29.10.12"
"051012","17","Вінницька область","сільський клуб, хол
вул.1Травня, 31, с.Кам’янки, Теплицький р-н, Вінницька обл., 23851","144","43","139","17","86","15","101","","0","86","15","101","5","96","0","0","33","4","1","0","54","0","1","2","1","29.10.12"
"051013","17","Вінницька область","сільський клуб, фойє
вул.Леніна, 48, с.Саша, Теплицький р-н, Вінницька обл., 23843","306","83","307","23","204","19","223","","0","204","19","223","8","215","15","0","96","11","1","0","88","1","1","2","0","29.10.12"
"051014","17","Вінницька область","дитячий навчальний заклад, актова зала
пров.Леніна, 8, с.Соболівка, Теплицький р-н, Вінницька обл., 23820","930","440","917","34","461","29","490","","0","461","29","490","25","465","65","4","143","16","4","2","218","2","3","7","1","29.10.12"
"051015","17","Вінницька область","школа, вестибюль
вул.Братів Скакодубів, 2, с.Соболівка, Теплицький р-н, Вінницька обл., 23820","738","278","727","36","424","36","460","","0","424","36","460","11","449","38","0","202","23","10","3","164","2","6","0","1","29.10.12"
"051016","17","Вінницька область","школа, спортивний зал
вул.Суворова, 12, с.Соболівка, Теплицький р-н, Вінницька обл., 23820","804","290","791","52","470","44","514","","0","470","44","514","22","492","79","0","182","9","18","3","192","0","3","4","2","28.10.12"
"051017","17","Вінницька область","школа, кл.1
вул.Богдана Хмельницького, 1, с.Антонівка, Теплицький р-н, Вінницька обл., 23821","210","61","204","15","135","14","149","","0","135","14","149","3","146","0","0","88","3","0","0","53","1","0","1","0","29.10.12"
"051018","17","Вінницька область","школа, фойє
вул.Перемоги, 13, с.Сокиряни, Теплицький р-н, Вінницька обл., 23842","300","62","297","31","212","26","238","","0","212","26","238","17","221","9","1","126","9","4","1","70","0","0","1","0","01.11.12"
"051019","17","Вінницька область","школа, хол
вул.Леніна, 3А, с.Степанівка, Теплицький р-н, Вінницька обл., 23814","732","291","719","4","437","4","441","","0","437","4","441","13","428","35","2","197","14","4","0","171","1","2","2","0","29.10.12"
"051020","17","Вінницька область","дитячий садок, зала
вул.Чапаєва, 51А, с.Важне, Теплицький р-н, Вінницька обл., 23814","270","74","267","4","193","3","196","","0","193","3","196","7","189","12","0","55","4","1","3","113","0","0","0","1","29.10.12"
"051021","17","Вінницька область","сільський клуб, хол
вул.Івана Франка, сільський клуб, с.Карабелівка, Теплицький р-н, Вінницька обл., 23816","450","100","442","33","317","33","350","","0","317","33","350","10","340","22","0","132","25","8","2","148","0","1","1","1","30.10.12"
"051022","17","Вінницька область","сільський клуб, хол
вул.Леонтовича, 4, с.Марківка, Теплицький р-н, Вінницька обл., 23815","318","88","317","23","207","23","230","","0","0","0","230","6","224","22","2","73","3","4","0","118","1","0","1","0","05.11.12"
"051023","17","Вінницька область","контора ТОВ""Кублич ХПП"", зала
вул.Залізнична, 12, с-ще Кублич, Теплицький р-н, Вінницька обл., 23814","168","48","165","2","118","2","120","","0","118","2","120","1","119","4","0","77","0","0","0","37","1","0","0","0","29.10.12"
"051024","17","Вінницька область","сільський клуб, зала
вул.Садова, 13, с.Стражгород, Теплицький р-н, Вінницька обл., 23807","564","171","557","6","388","5","393","","0","388","5","393","8","385","19","6","231","25","5","0","93","2","2","0","2","30.10.12"
"051025","17","Вінницька область","сільський клуб, фойє
вул.Центральна, 105, с.Розкошівка, Теплицький р-н, Вінницька обл., 23813","420","114","408","7","299","7","306","","0","299","7","306","16","290","24","2","135","16","12","1","92","1","1","0","6","29.10.12"
"051026","17","Вінницька область","сільський клуб, фойє
вул.Мічуріна, 1А, с.Тополівка, Теплицький р-н, Вінницька обл., 23811","426","155","404","16","255","16","271","","0","255","16","271","7","264","15","0","132","4","6","2","102","0","1","2","0","29.10.12"
"051027","17","Вінницька область","цукровий завод, агітпункт
вул.Заводська, 1, с.Удич, Теплицький р-н, Вінницька обл., 23853","684","284","673","47","361","39","400","","0","361","39","400","18","382","18","1","199","52","10","2","96","0","0","1","3","29.10.12"
"051028","17","Вінницька область","сільський клуб, зала
вул.1Травня, 2, с.Шиманівка, Теплицький р-н, Вінницька обл., 23822","324","124","315","1","199","1","200","","0","199","1","200","4","196","1","0","51","0","0","1","143","0","0","0","0","28.10.12"
"051029","17","Вінницька область","лікарня, фізіотерапевтичний кабінет 2
вул.Незалежності, 2, смт Теплик, Теплицький р-н, Вінницька обл., 23800","132","92","43","18","22","18","40","","0","22","18","40","0","40","3","0","15","2","2","0","16","0","1","0","1","29.10.12"
"051030","17","Вінницька область","амбулаторія сімейної медицини, хол
вул.Яблунева, 1, с.Соболівка, Теплицький р-н, Вінницька обл., 23820","24","8","16","16","0","16","16","","0","0","16","16","0","16","2","0","7","0","1","0","6","0","0","0","0","29.10.12"
"051129","17","Вінницька область","районний будинок культури, фойє
вул.Леніна, 56, смт Тростянець, Тростянецький р-н, Вінницька обл., 24300","1884","685","1866","14","1185","14","1199","","0","1185","14","1199","34","1165","106","2","448","8","12","1","568","2","11","4","3","29.10.12"
"051130","17","Вінницька область","школа №2, коридор
вул.Леніна, 94, смт Тростянець, Тростянецький р-н, Вінницька обл., 24300","2226","861","2211","22","1347","18","1365","","0","1347","18","1365","34","1331","78","6","497","21","7","1","703","7","1","0","10","29.10.12"
"051131","17","Вінницька область","приміщення райавтодору, актовий зал
вул.ХХ Партз’їзду, 42, смт Тростянець, Тростянецький р-н, Вінницька обл., 24300","2208","843","2141","34","1331","34","1365","","0","1331","34","1365","32","1333","127","1","484","26","16","5","659","1","12","0","2","29.10.12"
"051132","17","Вінницька область","будинок культури, фойє
вул.Леніна, 1, с.Глибочок, Тростянецький р-н, Вінницька обл., 24340","600","161","598","42","398","41","439","","0","398","41","439","5","434","10","1","127","19","5","3","261","0","8","0","0","29.10.12"
"051133","17","Вінницька область","клуб-бібліотека, фойє
вул.Смовзюка, 38А, с.Скибинці, Тростянецький р-н, Вінницька обл., 24341","180","51","174","28","104","25","129","","0","104","25","129","6","123","4","1","33","2","0","0","81","0","2","0","0","28.10.12"
"051134","17","Вінницька область","будинок культури, актова зала
вул.Леніна, 59А, с.Гордіївка, Тростянецький р-н, Вінницька обл., 24313","906","178","895","53","678","50","728","","0","678","50","728","12","716","21","0","135","2","3","2","547","1","3","0","2","29.10.12"
"051135","17","Вінницька область","сільський клуб, актова зала
вул.Піонерська, 19А, с.Велика Стратіївка, Тростянецький р-н, Вінницька обл., 24314","552","144","546","19","389","19","408","","0","389","19","408","6","402","22","0","72","5","2","1","299","1","0","0","0","30.10.12"
"051136","17","Вінницька область","сільський клуб, актова зала, 2-й поверх
вул.Набережна, 41А, с.Митківка, Тростянецький р-н, Вінницька обл., 24313","66","14","60","7","45","7","52","","0","45","7","52","2","50","0","0","16","0","1","0","33","0","0","0","0","30.10.12"
"051137","17","Вінницька область","будинок обрядових подій, актова зала
вул.Леніна, 194, с.Летківка, Тростянецький р-н, Вінницька обл., 24310","1164","443","1158","41","682","39","721","","0","682","39","721","14","707","26","0","247","9","2","1","416","0","2","1","3","29.10.12"
"051138","17","Вінницька область","школа, приміщення гардеробу
вул.Леніна, 136, с.Летківка, Тростянецький р-н, Вінницька обл., 24310","1182","493","1173","37","654","35","689","","0","654","35","689","18","671","39","0","244","18","9","1","349","2","6","0","3","29.10.12"
"051139","17","Вінницька область","сільський будинок культури, фойє
вул.Леніна, 14А, с.Оляниця, Тростянецький р-н, Вінницька обл., 24326","978","272","970","61","646","60","706","","0","646","60","706","18","688","22","3","237","2","7","1","411","2","1","1","1","29.10.12"
"051140","17","Вінницька область","будинок культури, фойє
вул.Котовського, 1, с.Тростянчик, Тростянецький р-н, Вінницька обл., 24342","1152","366","1142","38","748","38","786","","0","748","38","786","25","761","17","0","301","6","5","1","419","0","12","0","0","29.10.12"
"051141","17","Вінницька область","будинок культури, актова зала
вул.Гагаріна, 41, с.Четвертинівка, Тростянецький р-н, Вінницька обл., 24327","1068","306","1059","51","715","47","762","","0","715","47","762","23","739","18","1","285","14","9","2","406","1","1","1","1","29.10.12"
"051142","17","Вінницька область","школа, фойє
вул.Могильчака, 9, с.Демидівка, Тростянецький р-н, Вінницька обл., 24343","594","163","583","45","394","37","431","","0","394","37","431","15","416","6","0","90","5","2","1","310","1","1","0","0","29.10.12"
"051143","17","Вінницька область","будинок культури, фойє
вул.Котовського, 2, с.Ободівка, Тростянецький р-н, Вінницька обл., 24353","1578","658","1559","28","901","19","920","","0","901","19","920","37","883","31","5","421","8","25","2","379","1","4","1","6","29.10.12"
"051144","17","Вінницька область","школа, спортивний зал
вул.Леніна, 179, с.Ободівка, Тростянецький р-н, Вінницька обл., 24353","768","316","761","10","442","10","452","","0","442","10","452","20","432","13","5","156","6","10","1","236","0","2","0","3","29.10.12"
"051145","17","Вінницька область","будинок культури, фойє, 1-й поверх
вул.Мічуріна, 1, с.Савинці, Тростянецький р-н, Вінницька обл., 24335","708","244","707","43","428","36","464","","0","428","36","464","15","449","11","4","309","14","1","1","106","0","2","0","1","28.10.12"
"051146","17","Вінницька область","сільський клуб, фойє
вул.Дружби, 88, с.Китайгород, Тростянецький р-н, Вінницька обл., 24335","228","68","222","11","149","11","160","","0","149","11","160","9","151","4","0","94","5","10","0","35","0","2","0","1","29.10.12"
"051147","17","Вінницька область","сільський клуб, фойє
вул.Довжок, 60, с-ще Довжок, Тростянецький р-н, Вінницька обл., 24335","156","48","154","8","102","6","108","","0","102","6","108","0","108","0","0","74","9","2","1","21","1","0","0","0","28.10.12"
"051148","17","Вінницька область","сільський будинок культури, фойє
вул.Леніна, 131, с.Торканівка, Тростянецький р-н, Вінницька обл., 24361","684","211","674","61","415","58","473","","0","415","58","473","6","467","13","1","109","10","14","2","314","2","2","0","0","29.10.12"
"051149","17","Вінницька область","будинок культури, актова зала
вул.Леніна, 76, с.Цибулівка, Тростянецький р-н, Вінницька обл., 24360","1194","404","1181","63","732","58","790","","0","732","58","790","28","762","5","1","275","14","9","0","452","1","2","1","2","29.10.12"
"051150","17","Вінницька область","будинок культури, фойє
вул.Леніна, 1, с.Нова Ободівка, Тростянецький р-н, Вінницька обл., 24357","1224","490","1215","8","727","7","734","","0","727","7","734","32","702","19","1","338","13","9","1","311","1","4","1","4","29.10.12"
"051151","17","Вінницька область","клуб цукрового заводу, фойє
вул.Призаводська, 20, с.Нова Ободівка, Тростянецький р-н, Вінницька обл., 24357","840","356","834","17","467","17","484","","0","467","17","484","16","468","17","4","154","5","14","2","267","0","2","1","2","29.10.12"
"051152","17","Вінницька область","сільський клуб, фойє
вул.Леніна, 369, с.Мала Стратіївка, Тростянецький р-н, Вінницька обл., 24352","492","149","488","28","315","28","343","","0","315","28","343","8","335","13","0","181","5","3","0","131","0","1","0","1","30.10.12"
"051153","17","Вінницька область","будинок культури, актова зала
вул.Шкільна, 23, с.Бережанка, Тростянецький р-н, Вінницька обл., 24356","360","123","358","3","234","3","237","","0","234","3","237","12","225","3","4","119","1","5","2","85","0","5","1","0","29.10.12"
"051154","17","Вінницька область","сільський будинок культури, фойє
вул.Леніна, 30В, с.Олександрівка, Тростянецький р-н, Вінницька обл., 24333","930","354","916","20","561","15","576","","0","561","15","576","20","556","31","3","318","17","5","2","168","0","8","1","3","29.10.12"
"051155","17","Вінницька область","школа, коридор
вул.Шкільна, 1А, с.Демківка, Тростянецький р-н, Вінницька обл., 24334","774","317","765","18","445","12","457","","0","445","12","457","10","447","21","6","243","22","9","2","135","2","2","1","4","29.10.12"
"051156","17","Вінницька область","залізнична станція, зал
вул.Привокзальна, 43/1, с-ще Демківське, Тростянецький р-н, Вінницька обл., 24333","90","16","90","1","73","1","74","","0","73","1","74","3","71","1","0","33","1","1","0","33","0","1","0","1","28.10.12"
"051157","17","Вінницька область","сільський будинок культури, актова зала
вул.С.Мурованого, 9А, с.Капустяни, Тростянецький р-н, Вінницька обл., 24332","1284","429","1275","82","778","77","855","","0","778","77","855","39","816","54","2","387","31","14","0","308","0","3","11","6","29.10.12"
"051158","17","Вінницька область","сільський будинок культури, танцювальний зал
вул.50-річчя Жовтня, 43, с.Буди, Тростянецький р-н, Вінницька обл., 24312","966","316","959","52","598","52","650","","0","598","52","650","18","632","40","3","346","19","7","2","209","0","3","1","2","29.10.12"
"051159","17","Вінницька область","столова, зал
вул.Садова, 20, с-ще Дубина, Тростянецький р-н, Вінницька обл., 24312","138","39","132","0","99","0","99","","0","99","0","99","2","97","1","0","49","6","1","0","38","2","0","0","0","29.10.12"
"051160","17","Вінницька область","будинок культури, фойє
вул.Леніна, 84, с.Верхівка, Тростянецький р-н, Вінницька обл., 24350","618","209","611","9","402","7","409","","0","402","7","409","11","398","7","4","177","11","1","1","192","2","1","1","1","30.10.12"
"051161","17","Вінницька область","сільський клуб, фойє
вул.Леніна, 117, с.Козинці, Тростянецький р-н, Вінницька обл., 24351","528","204","522","7","317","7","324","","0","317","7","324","11","313","9","0","163","7","9","0","122","0","3","0","0","28.10.12"
"051162","17","Вінницька область","школа, фойє
вул.30 років Перемоги, 1, с.Ілляшівка, Тростянецький р-н, Вінницька обл., 24330","678","237","673","15","433","8","441","","0","433","8","441","16","425","17","1","182","6","10","0","199","0","1","7","2","29.10.12"
"051163","17","Вінницька область","сільський будинок культури, актова зала
вул.Партизанська, 2, с.Красногірка, Тростянецький р-н, Вінницька обл., 24331","288","109","279","15","168","11","179","","0","168","11","179","12","167","4","0","48","8","3","0","99","0","2","3","0","29.10.12"
"051164","17","Вінницька область","районна лікарня, актова зала
вул.Мічуріна, 66, смт Тростянець, Тростянецький р-н, Вінницька обл., 24300","186","149","59","33","19","18","37","","0","19","18","37","2","35","0","0","0","12","1","0","0","21","0","1","0","29.10.12"
"051624","17","Вінницька область","палац культури ""Прометей"", диско-зал
вул.П.Кравчика, 4, м.Ладижин, Вінницька обл., 24321","2106","819","2085","23","1267","20","1287","","0","1267","20","1287","35","1252","112","12","596","25","34","3","457","2","7","1","3","29.10.12"
"051625","17","Вінницька область","школа №4, вестибюль
вул.Будівельників, 63, м.Ладижин, Вінницька обл., 24321","2160","776","2103","31","1361","23","1384","","0","1361","23","1384","41","1343","125","11","702","17","21","3","443","3","8","4","6","29.10.12"
"051626","17","Вінницька область","будинок культури ""Лада"", диско-зал
вул.Карла Маркса, 39, м.Ладижин, Вінницька обл., 24321","918","342","908","20","557","19","576","","0","557","19","576","13","563","59","3","256","5","20","1","212","3","1","3","0","29.10.12"
"051627","17","Вінницька область","школа №1, вестибюль
вул.Леніна, 2, м.Ладижин, Вінницька обл., 24321","1728","731","1707","56","955","42","997","","0","955","42","997","38","959","57","11","390","10","14","2","466","2","3","2","2","29.10.12"
"051628","17","Вінницька область","будинок культури ПАТ ""Біолік"", актова зала
вул.Леніна, 120, м.Ладижин, Вінницька обл., 24321","1152","436","1139","15","702","14","716","","0","702","14","716","17","699","60","2","355","9","10","0","257","0","1","0","5","29.10.12"
"051629","17","Вінницька область","будинок культури, глядацька зала
вул.Першотравнева, 57, с.Лукашівка, м.Ладижин, Вінницька обл., 24325","594","227","600","45","326","41","367","","0","326","41","367","14","353","15","4","145","4","6","2","175","0","2","0","0","28.10.12"
"051630","17","Вінницька область","адмінбудівля Ладижинського кар’єроуправління, зал засідань
вул.Ружицьких, 9, с-ще Губник, м.Ладижин, Вінницька обл., 24324","288","107","291","5","176","5","181","","0","176","5","181","2","179","4","0","92","0","0","0","83","0","0","0","0","29.10.12"
"051631","17","Вінницька область","Ладижинський коледж Вінницького національного аграрного університету, вестибюль
вул.П.Кравчика, 3, м.Ладижин, Вінницька обл., 24321","1104","393","1091","8","705","6","711","","0","705","6","711","21","690","70","4","337","6","12","1","251","1","5","1","2","29.10.12"
"051632","17","Вінницька область","школа №3, вестибюль
вул.П.Кравчика, 53, м.Ладижин, Вінницька обл., 24321","2100","712","2071","30","1364","24","1388","","0","1364","24","1388","40","1348","101","21","668","43","36","3","463","1","4","4","4","29.10.12"
"051633","17","Вінницька область","адмінбудівля житлово-комунального господарства Ладижинської ТЕС, актова зала
вул.Процишина, 12, м.Ладижин, Вінницька обл., 24321","2256","889","2220","16","1357","10","1367","","0","1357","10","1367","46","1321","136","14","649","19","23","2","455","2","10","3","8","29.10.12"
"051634","17","Вінницька область","школа №2, вестибюль
вул.Процишина, 21, м.Ладижин, Вінницька обл., 24321","2238","882","2224","25","1340","16","1356","","0","1340","16","1356","46","1310","125","11","648","36","29","2","444","1","6","3","5","29.10.12"
"051635","17","Вінницька область","ПрАТ ""Ладижинський завод залізобетонних конструкцій"", зал засідань
вул.Наконечного, 184, м.Ладижин, Вінницька обл., 24321","1128","401","1130","9","721","6","727","","0","721","6","727","21","706","58","12","374","15","13","0","224","0","4","1","5","30.10.12"
"051636","17","Вінницька область","Ладижинське міське територіальне медичне об’єднання, вестибюль
вул.Ентузіастів, 24, м.Ладижин, Вінницька обл., 24321","54","25","33","6","24","5","29","","0","24","5","29","0","29","4","2","4","3","0","0","16","0","0","0","0","29.10.12"
"051637","17","Вінницька область","Ладижинська виправна колонія №39, навчальний клас
вул.Гранітна, 15, с-ще Губник, м.Ладижин, Вінницька обл., 24324","564","1","563","65","498","65","563","","0","0","0","563","62","501","54","3","26","20","9","4","355","8","10","5","7","29.10.12"
