"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Калетник
Оксана
Миколаївна","Ковальчук
Микола
Анатолійович","Лантух
Олег
Петрович","Лосенко
Михайло
Михайлович","Македон
Юрій
Миколайович","Паримський
Ігор
Святославович","Потурнак
Іван
Євгенійович","Свиридівський
Ярослав
Ігорович","Стойлов
Володимир
Петрович","Дата підписання протоколу"
"051333","16","Вінницька область","будинок культури, зал
вул.Леніна, 133, с.Ольгопіль, Чечельницький р-н, Вінницька обл., 24830","1552","640","1526","38","877","35","912","","0","877","35","912","29","883","319","10","23","20","474","17","6","2","12","29.10.12"
"051334","16","Вінницька область","сільська школа, кімната відпочинку
вул.1 Травня, 15, с.Ольгопіль, Чечельницький р-н, Вінницька обл., 24830","1016","472","1003","59","491","53","544","","0","491","53","544","6","538","205","7","11","12","280","9","2","1","11","29.10.12"
"051335","16","Вінницька область","будинок культури, зал
вул.Леніна, 247, с.Рогізка, Чечельницький р-н, Вінницька обл., 24815","776","304","734","59","414","58","472","","0","414","58","472","17","455","225","4","6","6","200","3","3","2","6","29.10.12"
"051336","16","Вінницька область","медпункт, кабінет фельдшера
вул.Шевченка, 15, с.Тарасівка, Чечельницький р-н, Вінницька обл., 24815","52","9","48","9","34","9","43","","0","34","9","43","1","42","23","1","0","1","14","1","0","1","1","29.10.12"
"051337","16","Вінницька область","будинок культури, зал
вул.Жовтнева, 3, с.Стратіївка, Чечельницький р-н, Вінницька обл., 24831","872","374","858","42","459","39","498","","0","459","39","498","12","486","223","15","9","11","219","2","0","0","7","29.10.12"
"051338","16","Вінницька область","Тартацька сільська рада, кімната засідань
вул.Підгаєцького, 222, с.Тартак, Чечельницький р-н, Вінницька обл., 24805","848","327","833","13","508","13","521","","0","508","13","521","9","512","168","15","15","9","271","11","4","1","18","01.11.12"
"051339","16","Вінницька область","школа, класна кімната
вул.Підгаєцького, 100, с.Тартак, Чечельницький р-н, Вінницька обл., 24805","744","279","731","21","446","19","465","","0","446","19","465","8","457","142","2","14","5","282","6","1","0","5","29.10.12"
"051340","16","Вінницька область","школа, коридор
вул.Чапаєва, 2, с.Червона Гребля, Чечельницький р-н, Вінницька обл., 24824","816","305","803","64","451","60","511","","0","451","60","511","11","500","232","5","0","6","248","0","2","1","6","28.10.12"
"051341","16","Вінницька область","будинок культури, хол
вул.Леніна, 37, с-ще Чечельник, Чечельницький р-н, Вінницька обл., 24800","2512","1080","2494","16","1416","16","1432","","0","1416","16","1432","23","1409","447","16","39","54","788","33","6","8","18","29.10.12"
"051342","16","Вінницька область","школа №2, спортзал
вул.Радянська, 199, с-ще Чечельник, Чечельницький р-н, Вінницька обл., 24800","2008","866","1992","62","1091","51","1142","","0","1091","51","1142","31","1111","427","28","19","52","557","17","2","2","7","29.10.12"
"051343","16","Вінницька область","Чечельницька центральна районна лікарня, кабінет стаціонарного відділення терапії
вул.Карла Маркса, 60, с-ще Чечельник, Чечельницький р-н, Вінницька обл., 24800","128","86","48","3","39","3","42","","0","39","3","42","3","39","25","0","0","0","13","0","0","0","1","29.10.12"
"051396","16","Вінницька область","школа №2, к.2
вул.Леніна, 154/2, м.Ямпіль, Ямпільський р-н, Вінницька обл., 24500","2480","1364","2468","15","1105","11","1116","","0","1105","11","1116","43","1073","563","15","72","27","378","5","2","0","11","02.11.12"
"051397","16","Вінницька область","спортивна школа, к.2
вул.Комсомольська, 40, м.Ямпіль, Ямпільський р-н, Вінницька обл., 24500","2384","1210","2350","29","1151","23","1174","","0","1151","23","1174","33","1141","563","14","86","32","410","19","4","2","11","29.10.12"
"051398","16","Вінницька область","районний будинок культури, к.2
вул.Леніна, 134, м.Ямпіль, Ямпільський р-н, Вінницька обл., 24500","2136","1083","2099","27","1029","24","1053","","0","1029","24","1053","28","1025","458","11","71","30","415","20","5","0","15","29.10.12"
"051399","16","Вінницька область","приміщення ПП ""Саланг"", к.2
вул.Леніна, 11, м.Ямпіль, Ямпільський р-н, Вінницька обл., 24500","2360","1235","2305","21","1108","17","1125","","0","1108","17","1125","36","1089","521","21","67","28","420","10","6","4","12","29.10.12"
"051400","16","Вінницька область","будинок культури, к.2
вул.Будьонного, 22, с.Безводне, Ямпільський р-н, Вінницька обл., 24530","600","193","546","54","356","51","407","","0","356","51","407","14","393","336","2","20","1","29","1","0","1","3","06.11.12"
"051401","16","Вінницька область","будинок культури, к.2
вул.Леніна, 42, с.Буша, Ямпільський р-н, Вінницька обл., 24523","568","261","554","25","289","18","307","","0","289","18","307","10","297","218","3","23","5","45","0","1","0","2","29.10.12"
"051402","16","Вінницька область","будинок культури, к.2
вул.Леніна, 66, с.Дорошівка, Ямпільський р-н, Вінницька обл., 24524","288","86","300","37","167","35","202","","0","167","35","202","7","195","119","2","14","4","55","0","0","0","1","29.10.12"
"051403","16","Вінницька область","будинок культури, к.2
вул.Леніна, 84, с.Велика Кісниця, Ямпільський р-н, Вінницька обл., 24546","1024","318","1014","74","646","60","706","","0","646","60","706","24","682","374","13","46","13","225","6","0","2","3","29.10.12"
"051404","16","Вінницька область","школа, к.2
вул.Шевченка, 89, с.Велика Кісниця, Ямпільський р-н, Вінницька обл., 24546","1104","343","1101","73","692","69","761","","0","692","69","761","19","742","447","7","42","11","225","7","2","0","1","29.10.12"
"051405","16","Вінницька область","будинок культури, к.2
вул.Урсола, 28, с.Гальжбіївка, Ямпільський р-н, Вінницька обл., 24504","912","474","904","27","412","26","438","","0","412","26","438","18","420","168","11","33","13","187","2","0","0","6","29.10.12"
"051406","16","Вінницька область","сільський клуб, к.2
вул.Шкільна, 16, с.Біла, Ямпільський р-н, Вінницька обл., 24505","600","320","597","42","239","41","280","","0","239","41","280","8","272","137","10","25","6","88","1","2","3","0","29.10.12"
"051407","16","Вінницька область","сільський клуб, к.2
вул.О.Дудніцької, 7, с.Оксанівка, Ямпільський р-н, Вінницька обл., 24505","96","28","94","7","61","7","68","","0","61","7","68","3","65","46","1","7","0","9","0","1","0","1","28.10.12"
"051408","16","Вінницька область","сільська рада, к.2
вул.Леніна, 15, с.Дзигівка, Ямпільський р-н, Вінницька обл., 24531","936","415","929","24","497","24","521","","0","497","24","521","25","496","216","7","54","17","194","3","2","0","3","29.10.12"
"051409","16","Вінницька область","будинок культури, к.2
вул.Леніна, 63, с.Дзигівка, Ямпільський р-н, Вінницька обл., 24531","832","378","825","54","423","31","454","","0","423","31","454","28","426","165","5","27","16","206","1","2","1","3","29.10.12"
"051410","16","Вінницька область","школа, к.2
вул.Леніна, 65, с.Дзигівка, Ямпільський р-н, Вінницька обл., 24531","664","281","663","35","348","35","383","","0","348","35","383","14","369","217","4","14","6","118","5","2","0","3","06.11.12"
"051411","16","Вінницька область","будинок культури, к.2
вул.Леніна, 87, с.Довжок, Ямпільський р-н, Вінницька обл., 24544","1288","505","1274","75","731","52","783","","0","731","52","783","25","758","467","20","26","12","224","2","4","1","2","29.10.12"
"051412","16","Вінницька область","сільська рада, к.2
вул.Рутковського, 118, с.Качківка, Ямпільський р-н, Вінницька обл., 24533","1240","492","1238","101","656","92","748","","0","656","92","748","24","724","387","7","16","8","296","1","1","2","6","29.10.12"
"051413","16","Вінницька область","амбулаторія, к.2
вул.Леніна, 2, с.Клембівка, Ямпільський р-н, Вінницька обл., 24532","504","198","502","30","276","30","306","","0","276","30","306","8","298","216","4","12","6","58","0","1","0","1","29.10.12"
"051414","16","Вінницька область","будинок культури, к.2
вул.Леніна, 36, с.Клембівка, Ямпільський р-н, Вінницька обл., 24532","1032","449","1020","42","542","41","583","","0","542","41","583","14","569","411","3","34","4","115","0","2","0","0","28.10.12"
"051415","16","Вінницька область","початкова школа, к.2
вул.Пирогова, 55, с.Клембівка, Ямпільський р-н, Вінницька обл., 24532","1024","402","1020","100","544","78","622","","0","544","78","622","14","608","453","6","18","15","109","5","2","0","0","29.10.12"
"051416","16","Вінницька область","будинок культури, к.2
вул.Леніна, 46, с.Михайлівка, Ямпільський р-н, Вінницька обл., 24527","720","254","714","47","422","44","466","","0","422","44","466","11","455","331","1","14","7","100","0","0","0","2","29.10.12"
"051417","16","Вінницька область","будинок культури, к.2
вул.Леніна, 21, с.Петрашівка, Ямпільський р-н, Вінницька обл., 24525","408","146","408","34","230","32","262","","0","230","32","262","7","255","156","4","18","8","65","0","0","1","3","28.10.12"
"051418","16","Вінницька область","школа, к.2
вул.Комсомольська, 32, с.Миронівка, Ямпільський р-н, Вінницька обл., 24526","464","151","469","34","280","33","313","","0","280","33","313","4","309","196","2","23","6","72","3","3","0","4","29.10.12"
"051419","16","Вінницька область","сільський клуб, к.2
вул.Леніна, 25, с.Писарівка, Ямпільський р-н, Вінницька обл., 24535","1216","424","1212","47","745","47","792","","0","745","47","792","45","747","349","10","33","31","311","1","1","1","10","29.10.12"
"051420","16","Вінницька область","сільський клуб, к.2
вул.Леніна, 29, с.Пороги, Ямпільський р-н, Вінницька обл., 24512","640","242","629","38","363","35","398","","0","363","35","398","11","387","189","10","13","12","152","2","1","2","6","29.10.12"
"051421","16","Вінницька область","фельдшерський пункт, к.2
вул.Леніна, 15, с.Добрянка, Ямпільський р-н, Вінницька обл., 24513","360","121","353","29","211","28","239","","0","211","28","239","4","235","128","4","9","5","83","3","0","1","2","29.10.12"
"051422","16","Вінницька область","сільський клуб, к.2
вул.Незалежності, 55, с.Ратуш, Ямпільський р-н, Вінницька обл., 24534","440","143","437","34","270","27","297","","0","270","27","297","12","285","100","1","2","10","167","1","0","2","2","28.10.12"
"051423","16","Вінницька область","сільський клуб, к.2
пл.Перемоги, 4, с.Русава, Ямпільський р-н, Вінницька обл., 24510","840","379","829","32","430","31","461","","0","430","31","461","20","441","240","8","18","16","139","5","3","3","9","28.10.12"
"051424","16","Вінницька область","сільський клуб, к.2
вул.Леніна, 9, с.Радянське, Ямпільський р-н, Вінницька обл., 24510","224","51","236","13","163","10","173","","0","163","10","173","4","169","72","6","4","3","78","3","0","0","3","29.10.12"
"051425","16","Вінницька область","сільський клуб, к.2
вул.Радянська, 8, с.Северинівка, Ямпільський р-н, Вінницька обл., 24540","544","173","539","38","334","37","371","","0","334","37","371","11","360","223","17","13","11","86","2","2","1","5","29.10.12"
"051426","16","Вінницька область","фельдшерський пункт, к.2
вул.Прикордонників, 56, с.Іванків, Ямпільський р-н, Вінницька обл., 24540","208","70","203","21","120","18","138","","0","120","18","138","3","135","108","0","0","4","20","1","0","1","1","29.10.12"
"051427","16","Вінницька область","сільський клуб, к.2
вул.1 Травня, 1А, с.Придністрянське, Ямпільський р-н, Вінницька обл., 24541","359","127","350","28","208","24","232","","0","208","24","232","4","228","141","2","8","4","60","6","1","2","4","29.10.12"
"051428","16","Вінницька область","сільський клуб, к.2
вул.Котовського, 35, с.Слобода-Підлісівська, Ямпільський р-н, Вінницька обл., 24541","384","146","374","33","206","32","238","","0","206","32","238","12","226","101","5","9","4","102","1","1","0","3","29.10.12"
"051429","16","Вінницька область","школа, к.2
вул.Щорса, 52, с.Підлісівка, Ямпільський р-н, Вінницька обл., 24541","384","68","382","49","267","49","316","","0","267","49","316","13","303","186","7","12","1","91","1","1","1","3","06.11.12"
"051430","16","Вінницька область","сільський клуб, к.2
вул.Центральна, 49А, с.Тростянець, Ямпільський р-н, Вінницька обл., 24520","656","282","651","49","332","42","374","","0","332","42","374","18","356","247","2","12","4","80","2","4","0","5","30.10.12"
"051431","16","Вінницька область","будинок культури, к.2
вул.40 річчя Перемоги, 6А, с.Гонорівка, Ямпільський р-н, Вінницька обл., 24522","656","300","650","30","327","29","356","","0","327","29","356","9","347","224","5","19","4","89","2","1","0","3","29.10.12"
"051432","16","Вінницька область","сільський клуб, к.2
вул.Леніна, 14А, с.Вітрівка, Ямпільський р-н, Вінницька обл., 24521","272","92","274","31","149","31","180","","0","149","31","180","9","171","123","0","6","0","42","0","0","0","0","28.10.12"
"051433","16","Вінницька область","будинок культури, к.2
вул.Леніна, 71, с.Цекинівка, Ямпільський р-н, Вінницька обл., 24545","1376","617","1361","56","710","49","759","","0","710","49","759","21","738","430","10","37","15","196","18","3","3","26","29.10.12"
"051434","16","Вінницька область","Ямпільська районна лікарня, к.2
вул.Пирогова, 1, м.Ямпіль, Ямпільський р-н, Вінницька обл., 24500","56","9","48","21","27","20","47","","0","27","20","47","4","43","37","0","1","0","5","0","0","0","0","29.10.12"
"051638","16","Вінницька область","школа №5, хол
вул.Полтавська, 23, м.Могилів-Подільський, Вінницька обл., 24000","1104","517","1098","6","581","6","587","","0","581","6","587","17","570","190","4","58","45","251","3","8","2","9","29.10.12"
"051639","16","Вінницька область","ПАТ ""Завод газового устаткування та приладів"", їдальня
вул.Строкача, 13, м.Могилів-Подільський, Вінницька обл., 24000","944","418","946","18","511","15","526","","0","511","15","526","10","516","149","3","82","41","223","9","2","1","6","28.10.12"
"051640","16","Вінницька область","СТОВ ""Україна"", актовий зал
вул.Пушкінська, 65, м.Могилів-Подільський, Вінницька обл., 24000","1736","808","1719","6","922","6","928","","0","922","6","928","25","903","263","3","171","86","354","3","2","0","21","29.10.12"
"051641","16","Вінницька область","клуб ВАТ ""Машзавод ім.Кірова"", хол
вул.Грецька, 26/2, м.Могилів-Подільський, Вінницька обл., 24000","1928","950","1909","11","969","9","978","","0","969","9","978","25","953","282","13","174","72","370","14","8","1","19","29.10.12"
"051642","16","Вінницька область","монтажно-економічний коледж, гуртожиток, кімната відпочинку
вул.В.Стуса, 58, м.Могилів-Подільський, Вінницька обл., 24000","1368","607","1346","17","746","15","761","","0","746","15","761","17","744","213","12","163","59","251","8","5","1","32","29.10.12"
"051643","16","Вінницька область","гімназія, хол
вул.Ринкова, 33, м.Могилів-Подільський, Вінницька обл., 24000","1872","864","1866","6","1002","6","1008","","0","1002","6","1008","35","973","269","16","138","81","423","7","12","0","27","29.10.12"
"051644","16","Вінницька область","ВАТ ""Швейна фабрика ""Аліса"""", їдальня
вул.Сагайдачного, 8/2, м.Могилів-Подільський, Вінницька обл., 24000","1832","833","1834","20","982","17","999","","0","982","17","999","34","965","296","12","160","63","400","4","9","1","20","28.10.12"
"051645","16","Вінницька область","клуб медичного коледжу, актовий зал
вул.Київська, 36, м.Могилів-Подільський, Вінницька обл., 24000","1848","882","1830","5","963","3","966","","0","963","3","966","18","948","312","15","151","83","345","14","7","1","20","29.10.12"
"051646","16","Вінницька область","школа №1, їдальня
пров.О.Пчілки, 11, м.Могилів-Подільський, Вінницька обл., 24000","1736","851","1727","18","868","17","885","","0","868","17","885","21","864","233","13","145","80","358","9","9","2","15","29.10.12"
"051647","16","Вінницька область","школа №4, актовий зал
вул.Київська, 38/2, м.Могилів-Подільський, Вінницька обл., 24000","1424","766","1420","5","653","5","658","","0","653","5","658","23","635","181","10","99","46","266","6","10","3","14","28.10.12"
"051648","16","Вінницька область","МКП ""Житловокомунгосп"", актовий зал
вул.Шевченка, 63, м.Могилів-Подільський, Вінницька обл., 24000","1328","583","1345","6","740","5","745","","0","740","5","745","29","716","202","5","119","44","314","6","5","1","20","29.10.12"
"051649","16","Вінницька область","школа №3, хол
просп.Незалежності, 110/2, м.Могилів-Подільський, Вінницька обл., 24000","2424","1073","2396","38","1315","36","1351","","0","1315","36","1351","37","1314","342","8","261","88","557","9","7","2","40","29.10.12"
"051650","16","Вінницька область","ВАТ ""Консервний завод"", актовий зал
вул.Дністровська, 60, м.Могилів-Подільський, Вінницька обл., 24000","1912","844","1890","8","1064","4","1068","","0","1064","4","1068","18","1050","269","13","264","72","392","5","7","4","24","29.10.12"
"051651","16","Вінницька область","Приватне акціонерне товариство №Могилів-Подільське АТП-10508""
просп.Незалежності, 315, м.Могилів-Подільський, Вінницька обл., 24000","1288","571","1271","17","701","16","717","","0","701","16","717","19","698","252","7","149","28","244","5","4","0","9","29.10.12"
"051652","16","Вінницька область","КП ""МДСОК ""Наддністрянський"""", їдальня
вул.Горького, 256, м.Могилів-Подільський, Вінницька обл., 24000","1592","762","1576","16","814","16","830","","0","814","16","830","28","802","252","8","191","47","286","3","3","1","11","29.10.12"
"051653","16","Вінницька область","адмінбудинок, актовий зал
вул.Яблунева, 1, с-ще Одая, м.Могилів-Подільський, Вінницька обл., 24000","256","105","251","0","151","0","151","","0","151","0","151","1","150","46","1","23","9","64","0","3","0","4","28.10.12"
"051654","16","Вінницька область","міське територіальне медичне об’єднання, актовий зал
вул.Полтавська, 89/2, м.Могилів-Подільський, Вінницька обл., 24000","256","189","71","22","49","18","67","","0","49","18","67","1","66","41","0","7","4","13","0","0","0","1","28.10.12"
"051655","16","Вінницька область","обласна туберкульозна лікарня, коридор
просп.Незалежності, 62, м.Могилів-Подільський, Вінницька обл., 24000","56","20","40","0","36","0","36","","0","36","0","36","1","35","22","0","3","4","5","0","0","0","1","30.10.12"
