"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Власюк
Віктор
Васильович","Гнатюк
Юрій
Петрович","Жеребнюк
Віктор
Миколайович","Загороднюк
Юрій
Вікторович","Закусилова
Лідія
Олексіївна","Зелена
Катерина
Вітославівна","Козловський
Юрій
Борисович","Кривак
Іван
Васильович","Мельничук
Іван
Іванович","Онопенко
Василь
Васильович","Погодін
Олексій
Олександрович","Дата підписання протоколу"
"051072","14","Вінницька область","сільський клуб, хол
вул.Ленінська, 4, с.Мала Вулига, Тиврівський р-н, Вінницька обл., 23353","210","60","209","23","127","23","150","","0","127","23","150","2","148","0","2","35","3","17","4","1","0","69","16","1","29.10.12"
"051073","14","Вінницька область","сільський клуб, кабінет завідуючого
вул.Шевченка, 74, с.Рогізна, Тиврівський р-н, Вінницька обл., 23353","126","36","124","11","79","11","90","","0","79","11","90","1","89","1","2","25","1","9","2","1","1","33","14","0","29.10.12"
"051074","14","Вінницька область","сільський клуб, хол
вул.О.Кошового, 4, с.Марківка, Тиврівський р-н, Вінницька обл., 23333","180","44","175","6","130","6","136","","0","130","6","136","1","135","1","2","46","1","11","11","0","0","51","11","1","29.10.12"
"051075","14","Вінницька область","фельдшерський пункт, зал
вул.50 років Перемоги, 58, с.Кальнишівка, Тиврівський р-н, Вінницька обл., 23333","192","63","187","11","118","11","129","","0","118","11","129","8","121","5","3","36","2","11","2","0","1","36","23","2","29.10.12"
"051076","14","Вінницька область","фельдшерський пункт, каб.2
вул.Шевченка, 38, с.Федорівка, Тиврівський р-н, Вінницька обл., 23333","96","21","96","6","69","6","75","","0","69","6","75","1","74","1","1","41","0","8","4","0","1","10","6","2","29.10.12"
"051077","14","Вінницька область","бібліотека, зал
вул.Коцюбинського, 30А, с.Нове Місто, Тиврівський р-н, Вінницька обл., 23341","504","218","500","39","249","37","286","","0","249","37","286","12","274","6","9","72","6","36","18","1","5","81","39","1","29.10.12"
"051078","14","Вінницька область","школа, приміщення для засідань
вул.Базарна,49А, с.Красне, Тиврівський р-н, Вінницька обл., 23342","882","342","873","48","492","48","540","","0","492","48","540","16","524","10","27","111","4","33","28","1","3","150","152","5","29.10.12"
"051079","14","Вінницька область","сільська бібліотека, обрядовий зал
вул.Першотравнева, 11, с.Пилява, Тиврівський р-н, Вінницька обл., 23330","612","238","603","24","353","21","374","","0","353","21","374","13","361","22","9","95","2","24","16","6","0","141","44","2","29.10.12"
"051080","14","Вінницька область","кабінет завідуючого сільським клубом
вул.Лесі Українки, 2, с.Рахни-Польові, Тиврівський р-н, Вінницька обл., 23352","228","83","222","4","141","4","145","","0","141","4","145","4","141","3","7","49","4","14","4","2","2","44","12","0","29.10.12"
"051081","14","Вінницька область","школа, каб.1
вул.Грушевського, 1, с.Пирогів, Тиврівський р-н, Вінницька обл., 23352","138","42","134","12","86","10","96","","0","86","10","96","2","94","0","3","32","1","14","3","0","0","21","20","0","29.10.12"
"051082","14","Вінницька область","будинок культури, приміщення для засідань
вул.Жовтнева, 41, с.Селище, Тиврівський р-н, Вінницька обл., 23316","1746","665","1729","34","1049","32","1081","","0","1049","32","1081","30","1051","27","41","143","15","68","85","3","6","463","196","4","29.10.12"
"051083","14","Вінницька область","сільський клуб, зал
вул.Шевченка, 43В, с.Урожайне, Тиврівський р-н, Вінницька обл., 23316","234","76","226","7","151","7","158","","0","151","7","158","6","152","3","2","51","0","10","11","0","2","51","22","0","29.10.12"
"051084","14","Вінницька область","школа, спортивний зал
вул.Молодіжна, 18, с.Сліди, Тиврівський р-н, Вінницький обл., 23346","510","216","501","24","277","17","294","","0","277","17","294","13","281","7","11","80","0","26","16","5","3","87","37","9","29.10.12"
"051085","14","Вінницька область","будинок культури, малий зал
вул.Мічуріна, 8, с.Строїнці, Тиврівський р-н, Вінницька обл., 23340","1110","554","1098","22","537","19","556","","0","0","0","556","136","420","4","14","132","3","22","17","2","6","125","92","3","31.10.12"
"051086","14","Вінницька область","будинок культури, зал
вул.Андрійчука, 70, с.Тростянець, Тиврівський р-н, Вінницька обл., 23332","174","62","171","10","104","8","112","","0","104","8","112","6","106","5","1","5","2","14","6","1","0","57","15","0","29.10.12"
"051087","14","Вінницька область","школа, спортивний зал
вул.Жовтнева, 59, с.Тростянець, Тиврівський р-н, Вінницька обл., 23332","774","287","768","41","448","39","487","","0","448","39","487","22","465","14","14","40","6","37","21","3","2","173","154","1","29.10.12"
"051088","14","Вінницька область","будинок культури, малий зал
вул.Миру, 1, с.Уяринці, Тиврівський р-н, Вінницька обл., 23344","354","115","349","34","208","31","239","","0","208","31","239","14","225","4","7","85","1","18","7","1","5","65","30","2","29.10.12"
"051089","14","Вінницька область","будинок культури, зал
вул.Червоноармійська, 15, с.Черемошне, Тиврівський р-н, Вінницька обл., 23325","438","141","432","9","290","7","297","","0","290","7","297","15","282","3","8","81","2","59","12","0","1","85","30","1","29.10.12"
"051090","14","Вінницька область","сільський клуб, зал
вул.Жовтнева, 11, с.Шендерів, Тиврівський р-н, Вінницька обл., 23334","210","53","208","20","138","19","157","","0","138","19","157","4","153","2","7","64","1","9","7","0","0","33","30","0","29.10.12"
"051091","14","Вінницька область","сільський клуб, зал
вул.Можайського, 15, с.Потуш, Тиврівський р-н, Вінницька обл., 23334","78","28","77","11","39","11","50","","0","39","11","50","1","49","4","1","5","0","5","1","1","1","22","8","1","07.11.12"
"051092","14","Вінницька область","сільський клуб, зал
вул.Щорса, 1, с.Шершні, Тиврівський р-н, Вінницька обл., 23304","714","252","699","31","436","26","462","","0","436","26","462","14","448","4","7","104","1","16","20","2","2","222","68","2","29.10.12"
"051093","14","Вінницька область","школа, хол
вул.Шкільна, 1, с.Яришівка, Тиврівський р-н, Вінницька обл., 23317","894","319","890","30","548","27","575","","0","548","27","575","12","563","20","16","109","5","34","26","4","1","233","112","3","29.10.12"
"051094","14","Вінницька область","сільський клуб, зала
вул.Дружби, 5, с.Лани, Тиврівський р-н, Вінницька обл., 23317","96","32","90","17","48","16","64","","0","48","16","64","2","62","1","1","11","1","8","2","0","0","31","7","0","29.10.12"
"051591","14","Вінницька область","підприємство ""Експрес"", зал диско-клубу
пров.Червоний, 4, м.Жмеринка, Вінницька обл., 23100","1722","715","1712","20","990","17","1007","","0","990","17","1007","19","988","4","15","484","4","62","33","4","7","202","170","3","29.10.12"
"051592","14","Вінницька область","школа № 6, спортивний зал
вул.Ударника, 3, м.Жмеринка, Вінницька обл., 23100","1704","596","1668","16","1095","13","1108","","0","1095","13","1108","25","1083","6","20","572","4","53","32","0","6","210","177","3","29.10.12"
"051593","14","Вінницька область","школа № 6, актова зала
вул.Ударника, 3, м.Жмеринка, Вінницька обл., 23100","2262","988","2233","15","1262","12","1274","","0","1262","12","1274","18","1256","10","15","570","4","77","44","2","8","268","257","1","29.10.12"
"051594","14","Вінницька область","ЗАТ ""Хліб Жмеринщини"", актова зала
вул.Барляєва, 2, м.Жмеринка, Вінницька обл., 23100","1752","738","1735","10","1004","10","1014","","0","1004","10","1014","15","999","5","16","450","1","47","50","3","35","208","184","0","29.10.12"
"051595","14","Вінницька область","РП ""Агромаш"", кабінет керуючого
вул.Кірова, 169, м.Жмеринка, Вінницька обл., 23100","2436","1115","2406","17","1305","16","1321","","0","1305","16","1321","21","1300","9","18","641","7","62","42","2","28","285","204","2","29.10.12"
"051596","14","Вінницька область","школа №1, їдальня
вул.Коцюбинського, 39, м.Жмеринка, Вінницька обл., 23100","2436","1105","2418","30","1303","28","1331","","0","1303","28","1331","39","1292","8","20","721","2","69","50","3","13","214","188","4","29.10.12"
"051597","14","Вінницька область","будинок науки та техніки, танцювальний зал
вул.Б.Хмельницького, 1, м.Жмеринка, Вінницька обл., 23100","2346","955","2307","16","1378","13","1391","","0","1378","13","1391","36","1355","8","20","654","4","89","77","1","16","232","248","6","07.11.12"
"051598","14","Вінницька область","відділкова лікарня, зал
вул.Добролюбова, 2, м.Жмеринка, Вінницька обл., 23100","2382","892","2357","31","1465","25","1490","","0","0","0","1490","189","1301","9","28","653","63","139","6","2","18","105","271","7","31.10.12"
"051599","14","Вінницька область","психоневрологічний інтернат, приміщення клубу
вул.Петровського, 12, м.Жмеринка, Вінницька обл., 23100","1530","587","1517","66","878","65","943","","0","878","65","943","74","869","11","21","431","10","39","25","16","6","190","114","6","30.10.12"
"051600","14","Вінницька область","школа №3, спортивний зал
пров.Лютневий, 3, м.Жмеринка, Вінницька обл., 23100","2208","896","2189","15","1299","13","1312","","0","1299","13","1312","16","1296","9","27","613","2","71","46","4","10","220","290","4","29.10.12"
"051601","14","Вінницька область","школа-ліцей, спортивний зал
вул.Центральна, 2, м.Жмеринка, Вінницька обл., 23100","2148","798","2089","21","1331","19","1350","","0","1331","19","1350","24","1326","9","19","592","10","86","57","1","8","249","293","2","29.10.12"
"051602","14","Вінницька область","центр позашкільної роботи, актова зала
вул.Урицького, 7/2, м.Жмеринка, Вінницька обл., 23100","1884","864","1864","9","1011","9","1020","","0","1011","9","1020","21","999","7","6","490","6","55","43","5","6","176","203","2","29.10.12"
"051603","14","Вінницька область","школа №4, спортивний зал
вул.Київська, 1, м.Жмеринка, Вінницька обл., 23100","1512","556","1500","21","936","20","956","","0","936","20","956","13","943","7","20","446","4","55","62","2","2","135","209","1","29.10.12"
"051604","14","Вінницька область","Київський славістичний університет, актовий зал, 1-й поверх
вул.Училищна, 9, м.Жмеринка, Вінницька обл., 23100","1278","540","1265","10","732","6","738","","0","732","6","738","23","715","2","9","371","1","46","33","3","7","123","114","6","29.10.12"
"051605","14","Вінницька область","Жмеринське АТП-10512, зал для засідань
вул.Київська, 115, м.Жмеринка, Вінницька обл., 23100","1662","787","1630","6","871","4","875","","0","871","4","875","20","855","4","11","383","3","88","35","0","9","148","169","5","29.10.12"
"051606","14","Вінницька область","Приміщення кафе ""Золушка"", зал
вул.Гайдара, 2, м.Жмеринка, Вінницька обл., 23100","1512","693","1503","13","810","9","819","","0","810","9","819","24","795","5","14","357","4","71","35","4","7","139","151","8","29.10.12"
"051607","14","Вінницька область","районний медичний центр первинної медико-санітарної допомоги, навчальна кімната, 3-й корпус
вул.Київська, 288, м.Жмеринка, Вінницька обл., 23100","102","27","91","28","57","18","75","","0","57","18","75","3","72","0","3","41","0","4","2","0","0","6","14","2","29.10.12"
